,Concept_ID,tr,es
367,Entfernung::N,mesafe,distancia
368,Entfernung::N,uzaklık,distancia
369,Gegend::N,yöre,región
370,Gegend::N,yöre,comarca
371,Platz::N,yer,espacio
372,Ort::N,yer,sitio
373,Seite::N,yan,lado
374,Seite::N,yan,costado
375,Seite::N,taraf,lado
376,Seite::N,taraf,costado
377,Mitte::N,orta,medio
378,Mitte::N,orta,centro
379,Mitte::N,merkez,medio
380,Mitte::N,merkez,centro
381,Gegenstand::N,şey,objeto
382,Sache::N,iş,cosa
383,Sache::N,şey,cosa
384,Rand::N,kenar,borde
385,Kante::N,kenar,borde
386,Ecke::N,köşe,esquina
387,Spitze::N,uç,punta
388,Spitze::N,baş,punta
389,Ende::N,uç,cabo
390,Ende::N,uç,extremo
391,Loch::N,oyuk,agujero
392,Loch::N,oyuk,abertura
393,Loch::N,delik,agujero
394,Loch::N,delik,abertura
395,Winkel::N,köşe,ángulo
396,Muster::N,örnek,dibujo
397,Größe::N,büyüklük,tamaño
398,Länge::N,uzunluk,longitud
399,Höhe::N,yükseklik,altura
400,Höhe::N,yükseklik,altitud
401,Gewicht::N,ağırlık,peso
402,Menge::N,miktar,cantidad
403,Haufen::N,küme,montón
404,Haufen::N,yığın,montón
405,Reihe::N,sıra,fila
406,Boot::N,kayık,bote
407,Boot::N,kayık,barca
408,Boot::N,sandal,bote
409,Boot::N,sandal,barca
410,Ruder::N,kürek,remo
411,Schlitten::N,kızak,trineo
412,Ski::N,kayak,esquí
413,Lagerfeuer::N,kamp ateşi,hoguera
414,Last::N,yük,carga
415,Gang::N,gidiş,marcha
416,Gang::N,yürüyüş,marcha
417,Schritt::N,adım,paso
418,Norden::N,kuzey,norte
419,Süden::N,güney,sur
420,Westen::N,batı,oeste
421,Osten::N,doğu,este
422,Holz::N,ağaç,madera
423,Holz::N,tahta,madera
424,Brett::N,tahta,tabla
425,Platte::N,levha,placa
426,Platte::N,levha,plancha
427,Stütze::N,dayak,sostén
428,Stütze::N,dayak,soporte
429,Stütze::N,destek,sostén
430,Stütze::N,destek,soporte
431,Stange::N,çubuk,vara
432,Stange::N,çubuk,percha
433,Stock::N,sopa,palo
434,Stock::N,sopa,bastón
435,Stock::N,değnek,palo
436,Stock::N,değnek,bastón
437,Stab::N,sırık,vara
438,Stab::N,sırık,bastón
439,Stab::N,baston,vara
440,Stab::N,baston,bastón
441,Rohr::N,boru,tubo
442,Haus::N,ev,casa
443,Heim::N,ev,hogar
444,Heim::N,yurt,hogar
445,Ofen::N,soba,estufa
446,Fußboden::N,taban,suelo
447,Fußboden::N,döşeme,suelo
448,Tisch::N,masa,mesa
449,Stuhl::N,iskemle,silla
450,Stuhl::N,sandalye,silla
451,Wiege::N,beşik,cuna
452,Bett::N,yatak,cama
453,Regal::N,raf,estantería
454,Kiste::N,sandık,caja
455,Fenster::N,pencere,ventana
456,Tür::N,kapı,puerta
457,Tor::N,kapı,puerta
458,Zaun::N,çit,valla
459,Zaun::N,çit,cercado
460,Dach::N,dam,techo
461,Dach::N,dam,tejado
462,Dach::N,çatı,techo
463,Dach::N,çatı,tejado
464,Leiter::N,merdiven,escalera
465,Besen::N,süpürge,escoba
466,Spaten::N,bel,pala
467,Schaufel::N,kürek,pala
468,Schaufel::N,kürek,paleta
469,Gabel::N,çatal,tenedor
470,Löffel::N,kaşık,cuchara
471,Messer::N,bıçak,cuchillo
472,Nagel::N,çivi,clavo
473,Netz::N,ağ,red
474,Haken::N,çengel,gancho
475,Haken::N,çengel,corchete
476,Griff::N,kulp,asa
477,Griff::N,kulp,mango
478,Griff::N,tutamak,asa
479,Griff::N,tutamak,mango
480,Schloss::N,kilit,cerradura
481,Bild::N,imaj,imagen
482,Bild::N,resim,imagen
483,Figur::N,şekil,figura
484,Figur::N,heykel,figura
485,Puppe::N,kukla,muñeca
486,Beutel::N,kese,bolsa
487,Beutel::N,torba,bolsa
488,Bündel::N,deste,haz
489,Tasche::N,çanta,bolso
490,Eimer::N,kova,cubo
491,Deckel::N,kapak,tapa
492,Deckel::N,kapak,tapadera
493,Geschirr::N,kap kacak,vajilla
494,Sack::N,torba,saco
495,Tasse::N,fincan,taza
496,Topf::N,tencere,olla
497,Topf::N,tencere,marmita
498,Kessel::N,kazan,caldera
499,Essen::N,yemek,comida
500,Nahrung::N,gıda,alimento
501,Nahrung::N,besin,alimento
502,Speise::N,yemek,plato
503,Fleisch::N,et,carne
504,Getreide::N,tahıl,cereales
505,Getreide::N,hububat,cereales
506,Brei::N,ezme,puré
507,Brei::N,ezme,papilla
508,Brot::N,ekmek,pan
509,Scheibe::N,dilim,lonja
510,Scheibe::N,dilim,rebanada
511,Fett::N,yağ,grasa
512,Butter::N,tereyağı,mantequilla
513,Öl::N,yağ,aceite
514,Öl::N,akar yağ,aceite
515,Salz::N,tuz,sal
516,Suppe::N,çorba,sopa
517,Honig::N,bal,miel
518,Milch::N,süt,leche
519,Tee::N,çay,té
520,Leder::N,deri,cuero
521,Leder::N,meşin,cuero
522,Wolle::N,yün,lana
523,Stoff::N,kumaş,tela
524,Stoff::N,kumaş,tejido
525,Nadel::N,iğne,aguja
526,Faden::N,tire,hilo
527,Faden::N,iplik,hilo
528,Knopf::N,düğme,botón
529,Knoten::N,düğüm,nudo
530,Farbe::N,boya,pintura
531,Kleidung::N,giyim,ropa
532,Kleidung::N,giyim,vestidos
533,Hemd::N,gömlek,camisa
534,Kragen::N,yaka,cuello
535,Ärmel::N,yen,manga
536,Ärmel::N,elbise kolu,manga
537,Hose::N,pantolon,pantalón
538,Gürtel::N,kuşak,cinturón
539,Mütze::N,bere,gorro
540,Mütze::N,kasket,gorro
541,Schuh::N,kundura,zapato
542,Schuh::N,ayakkabı,zapato
543,Stiefel::N,çizme,bota
544,Ring::N,yüzük,anillo
545,Band::N,bağ,cinta
546,Band::N,şerit,cinta
547,Kamm::N,tarak,peine
548,Spiegel::N,ayna,espejo
549,Riemen::N,kayış,correa
550,Schnur::N,ip,cuerda
551,Schnur::N,sicim,cuerda
552,Leine::N,kayış,correa
553,Decke::N,örtü,manta
554,Decke::N,yorgan,manta
555,Kissen::N,yastık,almohada
556,Tuch::N,bez,pañuelo
557,Handtuch::N,havlu,toalla
558,Kraft::N,güç,fuerza
559,Kraft::N,kuvvet,fuerza
560,Stärke::N,kuvvet,fuerza
561,Gesundheit::N,sağlık,salud
562,Krankheit::N,hastalık,enfermedad
563,Schmerz::N,ağrı,dolor
564,Schmerz::N,sancı,dolor
565,Wunde::N,yara,llaga
566,Wunde::N,yara,herida
567,Fieber::N,ateş,fiebre
568,Arznei::N,ilâç,medicina
569,Arznei::N,ilâç,medicamento
570,Brücke::N,köprü,puente
571,Brunnen::N,kuyu,pozo
572,Brunnen::N,çeşme,pozo
573,Weide::N,otlak,pasto
574,Pfad::N,patika,sendero
575,Pfad::N,keçiyolu,sendero
576,Weg::N,yol,camino
577,Straße::N,yol,vía
578,Straße::N,yol,carretera
579,Straße::N,cadde,vía
580,Straße::N,cadde,carretera
581,Dorf::N,köy,aldea
582,Dorf::N,köy,pueblo
583,Stadt::N,kent,ciudad
584,Stadt::N,şehir,ciudad
585,Brief::N,mektup,carta
586,Buch::N,kitap,libro
587,Buchstabe::N,harf,letra
588,Buchstabe::N,harf,carácter
589,Zeitung::N,gazete,diario
590,Zeitung::N,gazete,periódico
591,Leben::N,hayat,vida
592,Tod::N,ölüm,muerte
593,Grab::N,kabir,tumba
594,Grab::N,kabir,sepulcro
595,Kirche::N,kilise,iglesia
596,Sünde::N,günah,pecado
597,Gott::N,tanrı,dios
598,Arbeiter::N,işçi,obrero
599,Arbeiter::N,işçi,trabajador
600,Chef::N,şef,jefe
601,Chef::N,müdür,jefe
602,Meister::N,usta,maestro
603,Arzt::N,hekim,médico
604,Arzt::N,doktor,médico
605,Lehrer::N,hoca,profesor
606,Lehrer::N,öğretmen,profesor
607,Geld::N,para,dinero
608,Geschäft::N,ticaret,negocio
609,Laden::N,dükkân,tienda
610,Preis::N,fiyat,precio
611,Ware::N,mal,mercancía
612,Nutzen::N,fayda,provecho
613,Reichtum::N,servet,riqueza
614,Reichtum::N,zenginlik,riqueza
615,Welt::N,dünya,mundo
616,Land::N,ülke,país
617,Staat::N,devlet,Estado
618,König::N,kral,rey
619,Macht::N,kudret,poder
620,Macht::N,kudret,potencia
621,Macht::N,iktidar,poder
622,Macht::N,iktidar,potencia
623,Grenze::N,had,frontera
624,Grenze::N,sınır,frontera
625,Krieg::N,savaş,guerra
626,Feind::N,düşman,enemigo
627,Gewalt::N,zor,violencia
628,Gewalt::N,cebir,violencia
629,Kampf::N,savaş,lucha
630,Kampf::N,savaş,combate
631,Bogen[Waffe]::N,yay,arco
632,Pfeil::N,ok,flecha
633,Gewehr::N,tüfek,fusil
634,Gewehr::N,tüfek,escopeta
635,Fehler::N,hata,error
636,Fehler::N,yanlış,error
637,Lüge::N,yalan,mentira
638,Schaden::N,zarar,daño
639,Unglück::N,felâket,desgracia
640,Unglück::N,talihsizlik,desgracia
641,Schuld::N,suç,culpa
642,Schuld::N,kabahat,culpa
643,Alter::N,yaş,edad
644,Schluss::N,son,fin
645,Schluss::N,son,final
646,Zeit::N,zaman,tiempo
647,Tag::N,gün,día
648,Morgen::N,sabah,mañana
649,Mittag::N,öğle,mediodía
650,Abend::N,akşam,noche
651,Nacht::N,gece,noche
652,Woche::N,hafta,semana
653,Monat::N,ay,mes
654,Jahr::N,yıl,año
655,Jahr::N,sene,año
656,Frühling::N,ilkbahar,primavera
657,Sommer::N,yaz,verano
658,Herbst::N,güz,otoño
659,Herbst::N,sonbahar,otoño
660,Winter::N,kış,invierno
661,Januar::N,ocak,enero
662,Februar::N,şubat,febrero
663,März::N,mart,marzo
664,April::N,nisan,abril
665,Mai::N,mayıs,mayo
666,Juni::N,haziran,junio
667,Juli::N,temmuz,julio
668,August::N,ağustos,agosto
669,September::N,eylül,septiembre
670,Oktober::N,ekim,octubre
671,November::N,kasım,noviembre
672,Dezember::N,aralık,diciembre
673,Montag::N,pazartesi,lunes
674,Dienstag::N,salı,martes
675,Mittwoch::N,çarşamba,miércoles
676,Donnerstag::N,perşembe,jueves
677,Freitag::N,cuma,viernes
678,Samstag::N,cumartesi,sábado
679,Sonntag::N,pazar,domingo
680,groß::A,büyük,grande
681,klein::A,ufak,pequeño
682,klein::A,küçük,pequeño
683,lang::A,uzun,largo
684,kurz::A,kısa,corto
685,breit::A,enli,ancho
686,breit::A,geniş,ancho
687,schmal::A,dar,estrecho
688,dicht::A,sık,denso
689,dicht::A,yoğun,denso
690,dick[Gegenstand]::A,kalın,grueso
691,dick[Gegenstand]::A,iri,grueso
692,dünn::A,ince,fino
693,dünn::A,ince,delgado
694,fein::A,ince,fino
695,fein::A,ince,delicado
696,fein::A,narin,fino
697,fein::A,narin,delicado
698,fest::A,sabit,firme
699,fest::A,sabit,sólido
700,fest::A,sağlam,firme
701,fest::A,sağlam,sólido
702,flach::A,düz,plano
703,flach::A,yassı,plano
704,glatt::A,düz,liso
705,hart::A,katı,duro
706,weich::A,yumuşak,muelle
707,rund::A,yuvarlak,redondo
708,spitz::A,sivri,agudo
709,spitz::A,sivri,apuntado
710,scharf::A,keskin,agudo
711,scharf::A,keskin,afilado
712,stumpf::A,kör,sin filo
713,schwer::A,ağır,pesado
714,schön::A,güzel,bello
715,schön::A,güzel,hermoso
716,heiß::A,kızgın,caluroso
717,warm::A,sıcak,cálido
718,warm::A,sıcak,caliente
719,kalt::A,soğuk,frío
720,kühl::A,serin,fresco
721,frisch::A,taze,fresco
722,feucht::A,nemli,húmedo
723,feucht::A,rutubetli,húmedo
724,nass::A,yaş,mojado
725,nass::A,ıslak,mojado
726,trocken::A,kuru,seco
727,voll::A,dolu,lleno
728,voll::A,dolmuş,lleno
729,leer::A,boş,vacío
730,offen::A,açık,abierto
731,geschlossen::A,kapalı,cerrado
732,sauber::A,pak,limpio
733,sauber::A,temiz,limpio
734,schmutzig::A,pis,sucio
735,schmutzig::A,kirli,sucio
736,roh::A,çiğ,crudo
737,reif::A,olgun,maduro
738,lecker::A,lezzetli,rico
739,lecker::A,lezzetli,sabroso
740,süß::A,tatlı,dulce
741,süß::A,şekerli,dulce
742,bitter::A,acı,amargo
743,sauer::A,ekşi,agrio
744,hell::A,aydınlık,claro
745,dunkel::A,karanlık,oscuro
746,schwarz::A,kara,negro
747,schwarz::A,siyah,negro
748,weiß::A,ak,blanco
749,weiß::A,beyaz,blanco
750,rot::A,kırmızı,rojo
751,gelb::A,sarı,amarillo
752,blau::A,mavi,azul
753,grün::A,yeşil,verde
754,grau::A,boz,gris
755,bunt::A,renkli,multicolor
756,billig::A,ucuz,barato
757,teuer::A,pahalı,caro
758,wertvoll::A,değerli,valioso
759,wertvoll::A,değerli,precioso
760,blind::A,kör,ciego
761,taub::A,sağır,sordo
762,kräftig::A,dinç,fuerte
763,kräftig::A,kuvvetli,fuerte
764,stark::A,güçlü,fuerte
765,stark::A,güçlü,vigoroso
766,stark::A,kuvvetli,fuerte
767,stark::A,kuvvetli,vigoroso
768,schwach::A,zayıf,débil
769,schwach::A,güçsüz,débil
770,fett::A,şişman,obeso
771,schlank::A,narin,esbelto
772,hübsch::A,güzel,mono
773,hübsch::A,güzel,guapo
774,hübsch::A,sevimli,mono
775,hübsch::A,sevimli,guapo
776,böse::A,kötü,malo
777,dumm::A,aptal,tonto
778,dumm::A,aptal,estúpido
779,faul::A,tembel,vago
780,faul::A,tembel,perezoso
781,fleißig::A,çalışkan,aplicado
782,fleißig::A,çalışkan,diligente
783,geizig::A,cimri,avaro
784,klug::A,zekî,sensato
785,klug::A,zekî,inteligente
786,klug::A,akıllı,sensato
787,klug::A,akıllı,inteligente
788,geschickt::A,becerikli,hábil
789,lieb::A,sevimli,querido
790,lustig::A,neşeli,alegre
791,sanft::A,nazik,suave
792,hungrig::A,aç,hambriento
793,krank::A,hasta,enfermo
794,krank::A,rahatsız,enfermo
795,nackt::A,çıplak,desnudo
796,traurig::A,kederli,triste
797,traurig::A,üzüntülü,triste
798,lebendig::A,canlı,vivo
799,lebendig::A,canlı,viviente
800,gut::A,iyi,bueno
801,schlecht::A,kötü,malo
802,richtig::A,doğru,justo
803,richtig::A,doğru,correcto
804,schlimm::A,kötü,malo
805,schlimm::A,kötü,grave
806,wahr::A,doğru,verídico
807,wahr::A,doğru,verdadero
808,wahr::A,gerçek,verídico
809,wahr::A,gerçek,verdadero
810,alt::A,eski,viejo
811,neu::A,yeni,nuevo
812,ehemalig::A,önceki,antiguo
813,alt[Lebewesen]::A,yaşlı,viejo
814,jung::A,genç,joven
815,arm::A,fakir,pobre
816,reich::A,zengin,rico
817,bekannt::A,bilinen,conocido
818,berühmt::A,ünlü,famoso
819,berühmt::A,ünlü,célebre
820,berühmt::A,meşhur,famoso
821,berühmt::A,meşhur,célebre
822,fremd::A,yabancı,extraño
823,verschieden::A,ayrı,diverso
824,verschieden::A,ayrı,distinto
825,verschieden::A,ayrı,diferente
826,verschieden::A,farklı,diverso
827,verschieden::A,farklı,distinto
828,verschieden::A,farklı,diferente
829,nah::A,yakın,cercano
830,nah::A,bitişik,cercano
831,fern::A,uzak,lejano
832,linker::A,sol,izquierdo
833,rechter::A,sağ,derecho
834,anderer::A,diğer,otro
835,erster::A,ilk,primero
836,erster::A,birinci,primero
837,zweiter::A,ikinci,segundo
838,dritter::A,üçüncü,tercero
839,letzter::A,son,último
