,Concept_ID,he,xal
91,Schaum::N,קצף,көөсн
92,Schmutz::N,לכלוך,кир
93,See::N,אגם,нур
94,Sumpf::N,בצה,унул
95,Moor::N,בצה,улм
96,Wiese::N,מרעה,хадлһн
97,Wald::N,יער,ө-модн
98,Hügel::N,תל,толһа
99,Anhöhe::N,מעלה,хамр
100,Berg::N,הר,уул
101,Gipfel::N,פסגה,ора
102,Höhle::N,מערה,хадин көндә
103,Abhang::N,מדרון,ташу
104,Abhang::N,שפוע,ташу
105,Quelle::N,מעין,булг
106,Bach::N,נחל,һооҗур
107,Fluss::N,נהר,һол
108,Ufer::N,גדה,көвә
109,Küste::N,חוף,көвә
110,Küste::N,חוף,теңгсин көвә
111,Festland::N,יבשה,хүүрә һазр
112,Meer::N,ים,теңгс
113,Bucht::N,מפרץ,цекә
114,Bucht::N,מפרץ,теңгсин цекә
115,Insel::N,אי,арл
116,Blume::N,פרח,цецг
117,Gras::N,דשא,ноһан
118,Wurzel::N,שרש,уңг
119,Baum::N,עץ,модн
120,Stamm::N,גזע,шилв
121,Stamm::N,גזע,һол модн
122,Rinde::N,קלפת עץ,көрсн
123,Ast::N,ענף,ац
124,Zweig::N,ענף,ац
125,Blatt::N,עלה,хамтхасн
126,Birke::N,שדר,хусм модн
127,Kiefer[Baum]::N,ארן,шар харһа
128,Weide[Baum]::N,ערבה,удн
129,Tanne::N,אשוח,җөөлн цаһан модн
130,Horn::N,קרן,өвр
131,Feder::N,נוצה,өрвлг
132,Fell::N,פרוה,арсн
133,Flügel::N,כנף,җивр
134,Klaue::N,טלף,хумсн
135,Kralle::N,טפר,тавг
136,Schwanz::N,זנב,сүл
137,Ei::N,ביצה,өндгн
138,Nest::N,קן,үр
139,Bau::N,מחלה,нүкн
140,Tier::N,חיה,мал
141,Herde::N,עדר,сүрг мал
142,Kuh::N,פרה,үкр
143,Bulle::N,פר,бух
144,Pferd::N,סוס,мөрн
145,Schaf::N,כבשה,хөн
146,Schwein::N,חזיר,һаха
147,Hund::N,כלב,ноха
148,Katze::N,חתול,мис
149,Bär::N,דב,аю
150,Eichhörnchen::N,סנאי,кермн
151,Elch::N,דישון,хандһа
152,Fuchs::N,שועל,арат
153,Hase::N,ארנב,туула
154,Maus::N,עכבר,хулһн
155,Wolf::N,זאב,чон
156,Vogel::N,צפור,шовун
157,Schwarm::N,נחיל,зел
158,Schwarm::N,להקה,зел
159,Huhn::N,תרנגלת,така
160,Hahn::N,תרנגול,эр така
161,Gans::N,אוז,һалун
162,Adler::N,עיט,һәрд
163,Ente::N,ברוז,нуһсн
164,Eule::N,ינשוף,һурвлһ
165,Kranich::N,עגור,тоһрун
166,Kranich::N,כרוכיה,тоһрун
167,Krähe::N,עורב,шаазһа
168,Kuckuck::N,קוקיה,эргин хуцдг
169,Schwan::N,ברבור,хун
170,Fisch::N,דג,заһсн
171,Barsch::N,אוקונוס,шүрг
172,Hecht::N,זאב הים,цурх
173,Schlange[Tier]::N,נחש,моһа
174,Wurm::N,תולעת,өтн
175,Spinne::N,עכביש,аралҗн
176,Ameise::N,נמלה,шорһлҗн
177,Laus::N,כנה,бөөсн
178,Mücke::N,יתוש,бөкүн
179,Fliege::N,זבוב,батхн
180,Schmetterling::N,פרפר,эрвәкә
181,Beere::N,ענבה,бөөлҗрһн
182,Apfel::N,תפוח,альмн
183,Pilz::N,פטריה,теңгрин ки
184,Zwiebel::N,בצל,мәңгрснә толһа
185,Saat::N,זרעים,буудян экн
186,Korn::N,גרעין,экн
187,Heu::N,חציר,өвсн
188,Schale::N,קלפה,хальсн
189,Grube::N,בור,нүкн
190,Grube::N,שוחה,нүкн
191,Falle::N,מלכדת,урх
192,Falle::N,מלכדת,хавх
193,Schlinge::N,לולאה,бүтү
194,Spur::N,עקבה,мөр
195,Asche::N,אפר,үмсн
196,Dreck::N,זהמה,бальчг
197,Eisen::N,ברזל,төмр
198,Gold::N,זהב,алтн
199,Silber::N,כסף,мөңгн
200,Silber::N,כסף,цаһан мөңгн
201,Kohle::N,פחם,нүүрсн
202,Glas::N,זכוכית,шил
203,Lehm::N,חרסית,шавр
204,Sand::N,חול,элсн
205,Mensch::N,אדם,күн
206,Mensch::N,אדם,күмн
207,Mann::N,איש,эр
208,Mann::N,גבר,эр
209,Frau::N,אשה,күүкд күн
210,Frau::N,גברת,күүкд күн
211,Kind::N,ילד,үрн
212,Junge::N,ילד,көвүн
213,Mädchen::N,נערה,бичкн күүкн
214,Familie::N,משפחה,бүл
215,Großvater::N,סבא,өвк эцк
216,Großvater::N,סבא,наһц эцк
217,Großmutter::N,סבתא,эмг эк
218,Großmutter::N,סבתא,наһц эк
219,Eltern::N,הורים,эк эцк хойр
220,Vater::N,אב,эцк
221,Mutter::N,אם,эк
222,Sohn::N,בן,көвүн
223,Tochter::N,בת,күүкн
224,Bruder::N,אח,дү көвүн
225,Schwester::N,אחות,эгч
226,Schwester::N,אחות,дү күүкн
227,Onkel::N,דוד,авһ
228,Onkel::N,דוד,наһцх
229,Tante::N,דודה,наһц эгч
230,Ehemann::N,איש,залу
231,Ehemann::N,בעל,залу
232,Ehefrau::N,אשה,гергн
233,Freude::N,שמחה,байр
234,Gelächter::N,צחוק,инәдн
235,Glück::N,אשר,җирһл
236,Glück::N,אשר,сәәхн җирһл
237,Kummer::N,יגון,зовлң
238,Kummer::N,עגמה,зовлң
239,Wunsch::N,אחול,дурн
240,Wunsch::N,משאלה,дурн
241,Lust::N,חשק,җилвтлһн
242,Lust::N,תשוקה,җилвтлһн
243,Geist::N,רוח,зөрг
244,Gedanke::N,מחשבה,ухан
245,Gedächtnis::N,זכרון,чееҗин тодлвр
246,Verstand::N,שכל,ухан
247,Sinn::N,מובן,учр-утх
248,Sinn::N,משמעות,учр-утх
249,Grund::N,סבה,учр
250,Grund::N,סבה,шалтан
251,Wahrheit::N,אמת,үнн
252,Gespräch::N,דיון,күүндвүр
253,Märchen::N,אגדה,тууль
254,Erzählung::N,ספור,келвр
255,Nachricht::N,ידיעה,медүллһн
256,Neuigkeit::N,חדשה,зәңг
257,Name::N,שם,нерн
258,Rätsel::N,תעלומה,тәәлвртә тууль
259,Rede::N,נאום,келлһн
260,Sprache::N,לשון,келн
261,Stimme::N,קול,дун
262,Wort::N,מלה,үг
263,Zeichen::N,סימן,темдг
264,Ruf::N,קריאה,дуудлһн
265,Lärm::N,רעש,шууган
266,Laut::N,הגה,ә
267,Ton::N,צליל,дун
268,Lied::N,שיר,дун
269,Ruhe::N,שלוה,амулң
270,Leute::N,אנשים,әмтн
271,Volk::N,עם,улс
272,Arbeit::N,עבודה,көдлмш
273,Gast::N,אורח,гиич
274,Geschenk::N,מתנה,белг
275,Spiel::N,משחק,наадн
276,Gesellschaft::N,חברה,олн
277,Hilfe::N,עזרה,нөкд
278,Freund::N,חבר,иньг
279,Freund::N,ידיד,иньг
280,Kamerad::N,רע,үр
281,Angelegenheit::N,ענין,керг
282,Anzahl::N,מספר,то
283,Art::N,סוג,зүүл
284,Stück::N,חתיכה,хусг
285,Teil::N,פרק,хүв
286,Hälfte::N,חצי,өрәл
287,Kreis::N,מעגל,төгрг
288,Kreuz::N,צלב,кирс
289,Linie::N,קו,зурасн
290,Strich::N,קו קצר,татасн
291,Abstand::N,מרחק,зә
292,Entfernung::N,מרחק,һазр
293,Gegend::N,נוף,һазр
294,Platz::N,שטח,зә
295,Ort::N,אתר,бәәрн
296,Ort::N,מקום,бәәрн
297,Seite::N,צד,тал
298,Seite::N,צד,хаҗу
299,Seite::N,צד,хәврһ
300,Mitte::N,אמצע,дунд
301,Gegenstand::N,אוביקט,юмн
302,Sache::N,דבר,юмн
303,Rand::N,פרור,зах
304,Kante::N,קצה,ирмәг
305,Ecke::N,פנה,өнцг
306,Spitze::N,קצה,үзүр
307,Ende::N,סוף,үзүр
308,Loch::N,חר,хаһрха
309,Winkel::N,פנה,булң
310,Muster::N,תבנית,намч
311,Größe::N,גדל,кемҗән
312,Länge::N,ארך,ут
313,Höhe::N,קומה,өндр
314,Höhe::N,גבה,өндр
315,Gewicht::N,משקל,күнд
316,Gewicht::N,משקל,чиңнүр
317,Menge::N,כמות,ик
318,Haufen::N,ערמה,ова
319,Reihe::N,רצף,зерг
320,Reihe::N,רצף,зерглән
321,Boot::N,סירה,оңһц
322,Ruder::N,משוט,хәәв
323,Schlitten::N,מזחלת,цан
324,Ski::N,מגלשים,лыҗ
325,Lagerfeuer::N,מדורה,костёр
326,Last::N,משא,күнд
327,Gang::N,הליכה,йовлһн
328,Schritt::N,צעד,ишкм
329,Norden::N,צפון,ар үзг
330,Süden::N,דרום,өмн
331,Süden::N,דרום,өмн үзг
332,Westen::N,מערב,барун
333,Westen::N,מערב,барун үзг
334,Osten::N,מזרח,зүн
335,Osten::N,מזרח,зүн үзг
336,Holz::N,עץ,модн
337,Brett::N,קרש,харһа
338,Platte::N,לוח,хавтха чолун
339,Stütze::N,משען,тулг
340,Stange::N,מוט,уньн
341,Stock::N,מקל,модн
342,Stab::N,מוט,шуург
343,Rohr::N,צנור,турва
344,Haus::N,בית,гер
345,Heim::N,בית,гер-бул
346,Ofen::N,תנור,беш
347,Fußboden::N,רצפה,девскр
348,Tisch::N,שלחן,ширә
349,Stuhl::N,כסא,стул
350,Wiege::N,ערש,өлгә
351,Wiege::N,ערש,дүүҗң
352,Bett::N,מטה,орн
353,Bett::N,מטה,орндг
354,Regal::N,מדף,таг
355,Regal::N,מדף,тәвц
356,Kiste::N,תבה,яршг
357,Kiste::N,ארגז,яршг
358,Fenster::N,חלון,терз
359,Tür::N,דלת,үүдн
360,Tor::N,שער,үүдн
361,Tor::N,שער,өргн үүдн
362,Tor::N,שער,хашан үүдн
363,Zaun::N,גדר,хаша
364,Dach::N,גג,деевр
365,Leiter::N,סלם,шат
366,Leiter::N,סלם,давшур
367,Besen::N,מטאטא,сәвүр
368,Spaten::N,את,күрз
369,Schaufel::N,את,совг
370,Gabel::N,מזלג,серә
371,Löffel::N,כף,ухр
372,Messer::N,סכין,утх
373,Nagel::N,מסמר,хадасн
374,Netz::N,רשת,гөлм
375,Haken::N,וו,дегә
376,Haken::N,קרס,дегә
377,Griff::N,ידית,иш
378,Griff::N,ידית,бәрүл
379,Schloss::N,מנעול,оньс
380,Bild::N,תמונה,зург
381,Figur::N,פסל,фигур
382,Puppe::N,בבה,наадһа
383,Beutel::N,שק,мишг
384,Bündel::N,צרור,багла
385,Bündel::N,צרור,боодһа
386,Tasche::N,שקית,сумк
387,Eimer::N,דלי,суулһ
388,Deckel::N,מכסה,бүркәсн
389,Geschirr::N,כלים,сав
390,Geschirr::N,כלים,сав-сарх
391,Sack::N,שק,мишг
392,Tasse::N,ספל,ааһ
393,Topf::N,סיר,кастрюль
394,Kessel::N,קנקן,хәәсн
395,Essen::N,אכל,зоогллһн
396,Essen::N,ארוחה,зоогллһн
397,Nahrung::N,הזנה,теҗәл
398,Nahrung::N,תזונה,теҗәл
399,Speise::N,מאכל,хот
400,Speise::N,ארוחה,хот
401,Fleisch::N,בשר,махн
402,Getreide::N,דגן,хот болҗ эдлгддг цецгүдтә урһмл
403,Brei::N,מחית,хаш
404,Brot::N,לחם,өдмг
405,Scheibe::N,עגול,зүсм
406,Scheibe::N,פרוסה,зүсм
407,Fett::N,שמן,өөкн
408,Butter::N,חמאה,тосн
409,Öl::N,שמן,тосн
410,Salz::N,מלח,давсн
411,Suppe::N,מרק,шөлн
412,Honig::N,דבש,бал
413,Milch::N,חלב,үсн
414,Tee::N,תה,цә
415,Leder::N,עור,арсн
416,Wolle::N,צמר,утцн
417,Wolle::N,צמר,эд
418,Stoff::N,בד,эд
419,Stoff::N,אריג,эд
420,Nadel::N,מחט,зүн
421,Faden::N,חוט,утцн
422,Knopf::N,כפתור,товч
423,Knoten::N,קשר,зәңгдә
424,Farbe::N,צבע,будг
425,Kleidung::N,בגדים,хувцн
426,Kleidung::N,בגדים,хувц-хунр
427,Hemd::N,חלצה,киилг
428,Kragen::N,צוארון,зах
429,Ärmel::N,שרוול,ханцн
430,Hose::N,מכנסים,шалвур
431,Gürtel::N,חגורה,бүс
432,Mütze::N,כובע,махла
433,Schuh::N,נעל,башмгуд
434,Stiefel::N,מגף,һосн
435,Ring::N,טבעת,билцг
436,Band::N,סרט,лент
437,Kamm::N,מסרק,сам
438,Spiegel::N,מראה,толь
439,Riemen::N,רצועה,бүс
440,Schnur::N,חבל,деесн
441,Leine::N,מושכות,бурнтг
442,Leine::N,מושכות,нохан көтлвр
443,Decke::N,שמיכה,көнҗл
444,Kissen::N,כרית,дер
445,Tuch::N,צעיף,альчур
446,Handtuch::N,מגבת,полотенц
447,Handtuch::N,מגבת,һар-нүүрин альчур
448,Kraft::N,כוח,күчн
449,Stärke::N,און,чидл
450,Gesundheit::N,בריאות,эрүл-менд
451,Krankheit::N,מחלה,өвчн
452,Schmerz::N,כאב,өвдлһн
453,Wunde::N,פציעה,шав
454,Fieber::N,חם,безг
455,Arznei::N,תרופה,эм
456,Brücke::N,גשר,тагт
457,Brunnen::N,באר,худг
458,Weide::N,אחו,малын идг
459,Weide::N,מרעה,малын идг
460,Pfad::N,שביל,цувг
461,Pfad::N,מדרכה,цувг
462,Weg::N,דרך,хаалһ
463,Straße::N,כביש,зам
464,Dorf::N,כפר,хотн
465,Stadt::N,עיר,балһсн
466,Brief::N,מכתב,бичг
467,Buch::N,ספר,дегтр
468,Buchstabe::N,אות,үзг
469,Zeitung::N,עתון,газет
470,Leben::N,חיים,җирһл
471,Tod::N,מות,үкл
472,Tod::N,מות,өңгрлһн
473,Grab::N,קבר,оршалһна нүкн
474,Kirche::N,כנסיה,чонҗ
475,Sünde::N,חטא,нүл
476,Sünde::N,חטא,килнц
477,Gott::N,אל,бурхн
478,Arbeiter::N,פועל,көдлмшч
479,Chef::N,ראש,толһач
480,Chef::N,מנהל,толһач
481,Meister::N,ממחה,урн
482,Arzt::N,רופא,эмч
483,Lehrer::N,מורה,багш
484,Geld::N,כסף,мөңгн
485,Geschäft::N,עסקה,көдлмш
486,Laden::N,חנות,лавк
487,Preis::N,מחיר,үн
488,Ware::N,סחורה,эд-тавр
489,Nutzen::N,תועלת,олз
490,Reichtum::N,עשר,зөөр
491,Welt::N,עולם,орчлң
492,Welt::N,עולם,делкә
493,Land::N,ארץ,орн-нутг
494,Staat::N,מדינה,государств
495,König::N,מלך,хан
496,Macht::N,כוח,йосн
497,Grenze::N,גבול,меҗә
498,Krieg::N,מלחמה,дән
499,Feind::N,אויב,дәәсн
500,Gewalt::N,אלימות,күч һарһлһн
501,Kampf::N,קרב,ноолдан
502,Kampf::N,קרב,бәрлдлһн
503,Kampf::N,לחימה,ноолдан
504,Kampf::N,לחימה,бәрлдлһн
505,Bogen[Waffe]::N,קשת,саадг
506,Pfeil::N,חץ,сумн
507,Gewehr::N,רובה,бу
508,Fehler::N,טעות,алдг
509,Lüge::N,שקר,худл
510,Schaden::N,נזק,хорлт
511,Unglück::N,מזל רע,гүрм
512,Schuld::N,אשמה,гем
513,Schuld::N,אשמה,буру
514,Alter::N,גיל,насн
515,Schluss::N,סיום,чилгч
516,Zeit::N,זמן,цаг
517,Tag::N,יום,өдр
518,Morgen::N,בקר,өрүн
519,Mittag::N,צהרים,үд
520,Abend::N,ערב,асхн
521,Nacht::N,לילה,сө
522,Woche::N,שבוע,долан хонг
523,Monat::N,חדש,сар
524,Jahr::N,שנה,җил
525,Frühling::N,אביב,хавр
526,Sommer::N,קיץ,зун
527,Herbst::N,סתו,намр
528,Winter::N,חרף,үвл
529,Januar::N,ינואר,январь
530,Februar::N,פברואר,февраль
531,März::N,מרץ,март
532,März::N,מרץ,моһа сар
533,April::N,אפריל,апрель
534,Mai::N,מאי,май
535,Juni::N,יוני,июнь
536,Juni::N,יוני,мөчн сар
537,Juli::N,יולי,июль
538,August::N,אוגוסט,август
539,September::N,ספטמבר,һаха сар
540,Oktober::N,אוקטובר,октябрь
541,November::N,נובמבר,ноябрь
542,November::N,נובמבר,үкр сар
543,Dezember::N,דצמבר,бар сар
544,Montag::N,יום שני,понедельник
545,Dienstag::N,יום שלישי,вторник
546,Mittwoch::N,יום רביעי,среда
547,Mittwoch::N,יום רביעי,үлмҗ өдр
548,Donnerstag::N,יום חמישי,четверг
549,Donnerstag::N,יום חמישי,пүрвә өдр
550,Freitag::N,יום ששי,пятниц
551,Samstag::N,יום שבת,суббот
552,Sonntag::N,יום ראשון,нарн өдр
553,Sonntag::N,יום ראשון,воскресень
554,groß::A,גדול,ик
555,klein::A,קטן,бичкн
556,lang::A,ארך,ут
557,kurz::A,קצר,оһтр
558,breit::A,רחב,өргн
559,schmal::A,צר,уутьхн
560,dicht::A,צפוף,нигт
561,dick[Gegenstand]::A,עבה,зузан
562,dünn::A,דק,нимгн
563,fein::A,מעדן,нәрхн
564,fest::A,מוצק,бат
565,flach::A,שטוח,хавтха
566,glatt::A,חלק,тегш
567,glatt::A,חלק,тиньгр
568,hart::A,קשיח,хату
569,weich::A,רך,җөөлн
570,weich::A,רך,җөөлкн
571,rund::A,עגל,төгрг
572,spitz::A,חד,шовһр
573,scharf::A,חד,хурц
574,stumpf::A,קהה,мука
575,schwer::A,כבד,күнд
576,schön::A,יפה,сәәхн
577,heiß::A,חם,халун
578,warm::A,חם,дулан
579,kalt::A,קר,киитн
580,kühl::A,צונן,серүн
581,frisch::A,טרי,серүн
582,feucht::A,לח,чиигтә
583,nass::A,רטוב,чиигтә
584,trocken::A,יבש,хагсу
585,voll::A,מלא,дүүрң
586,leer::A,ריק,сул
587,leer::A,ריק,хоосн
588,offen::A,פתוח,секәтә
589,geschlossen::A,סגור,хаалһата
590,sauber::A,נקי,цевр
591,schmutzig::A,מלכלך,киртә
592,roh::A,חי,түүкә
593,reif::A,בשל,болсн
594,lecker::A,טעים,әмтәхн
595,süß::A,מתוק,әмтәхн
596,bitter::A,מר,һашун
597,bitter::A,מר,һашута
598,sauer::A,חמוץ,ишклң
599,hell::A,בהיר,герлтә
600,dunkel::A,עמום,харңһу
601,schwarz::A,שחר,хар
602,weiß::A,לבן,цаһан
603,rot::A,אדם,улан
604,gelb::A,צהב,шар
605,blau::A,כחל,көк
606,grün::A,ירק,көк
607,grau::A,אפר,бор
608,bunt::A,צבעוני,алг
609,bunt::A,צבעוני,эрәтә
610,billig::A,זול,кимд
611,teuer::A,יקר,үнтә
612,wertvoll::A,יקר ערך,үнтә
613,wertvoll::A,יקר ערך,эрднь
614,blind::A,עור,сохр
615,taub::A,חרש,дүлә
616,kräftig::A,חסן,күчтә
617,stark::A,חזק,чаңһ
618,schwach::A,חלש,күчн тату
619,fett::A,שמן,тарһн
620,schlank::A,רזה,эццн
621,hübsch::A,יפה תאר,көркхн
622,böse::A,רשע,уурта
623,dumm::A,טפש,тенг
624,faul::A,עצלן,залху
625,fleißig::A,חרוץ,кинән
626,fleißig::A,חרוץ,кинмһә
627,geizig::A,קמצן,ховдг
628,klug::A,נבון,ухата
629,klug::A,פקח,ухата
630,geschickt::A,מימן,чадмг
631,lieb::A,יקר,эңкр
632,lieb::A,אהוב,эңкр
633,lustig::A,עליז,сергмҗтә
634,lustig::A,עליז,җирһлтә
635,sanft::A,עדין,номһн
636,hungrig::A,רעב,өлн
637,hungrig::A,רעב,харһнсн
638,krank::A,חולה,өвчтә
639,krank::A,חולה,шалтгта
640,nackt::A,ערום,нүцкн
641,traurig::A,עצוב,һундлта
642,lebendig::A,חי,әмд
643,gut::A,טוב,сән
644,schlecht::A,גרוע,му
645,richtig::A,נכון,зөвтә
646,schlimm::A,רע,җигшүртә
647,wahr::A,אמתי,үнн
648,wahr::A,אמתי,мөн
649,alt::A,ישן,хуучн
650,neu::A,חדש,шин
651,ehemalig::A,לשעבר,хуучн
652,alt[Lebewesen]::A,זקן,көгшн
653,jung::A,צעיר,баһ
654,arm::A,עני,угатя
655,reich::A,עשיר,байн
656,bekannt::A,ידוע,таньл
657,bekannt::A,ידוע,таньдг
658,berühmt::A,מפרסם,туурсн
659,fremd::A,זר,күүнә
660,verschieden::A,שונה,әдл биш
661,verschieden::A,שונה,йилһәтә
662,nah::A,קרוב,өөрхн
663,fern::A,רחוק,хол
664,linker::A,שמאלי,зүн
665,rechter::A,ימין,барун
666,anderer::A,אחר,талдан
667,erster::A,ראשון,негдгч
668,zweiter::A,שני,хойрдгч
669,dritter::A,שלישי,һурвдгч
670,letzter::A,אחרון,отхн
671,allein::ADV,לבד,һанцарн
672,auf einmal::ADV,בו-זמנית,нег дәкҗ
673,zusammen::ADV,ביחד,хамдан
674,lange::ADV,הרבה זמן,удан
675,plötzlich::ADV,לפתע,генткн
676,plötzlich::ADV,פתאום,генткн
677,sofort::ADV,מיד,дарунь
678,später::ADV,לאחר זמן,сүүлд
679,später::ADV,יותר מאחר,сүүлд
680,jetzt::ADV,עכשיו,ода
681,heute::ADV,היום,эндр
682,morgen::ADV,מחר,маңһдур
683,bald::ADV,בקרוב,дарунь
684,dann::ADV,אחר-כך,дәкәд
685,gestern::ADV,אתמול,өцклдүр
686,einst::ADV,לפנים,нег саамд
687,damals::ADV,אז,тиигхд
688,danach::ADV,אחר-כך,тегәд
689,vorher::ADV,לפני זה,урд
690,zuerst::ADV,קדם,түрүләд
691,einmal::ADV,פעם,нег дәкҗ
692,manchmal::ADV,לפעמים,зәрмдән
693,oft::ADV,לעתים קרובות,хара биш
694,oft::ADV,לעתים קרובות,хатяр биш
695,oft::ADV,לעתים קרובות,дару-дарунь
696,immer::ADV,תמיד,оньдинд
697,niemals::ADV,אף פעם,кезә чмгн биш
698,hier::ADV,כאן,энд
699,hier::ADV,כאן,энүнд
700,hierhin::ADV,פה,нааран
701,von hier::ADV,מפה,эндәс
702,dort::ADV,שם,тенд
703,dorthin::ADV,שם,тиигән
704,geradeaus::ADV,ישר,шуд
705,vorwärts::ADV,קדימה,уралан
706,rückwärts::ADV,לאחור,гедргән
707,zurück::ADV,בחזרה,хәрү
708,zurück::ADV,אחורנית,хәрү
709,unten::ADV,למטה,дор
710,hinab::ADV,למטה,дор
711,hinab::ADV,למטה,доракшан
712,oben::ADV,מעל,деер
713,oben::ADV,למעלה,деер
714,hinauf::ADV,למעלה,өөдән
715,hinauf::ADV,למעלה,деер
716,überall::ADV,בכל מקום,альд болв чигн
717,nicht::ADV,לא,эс
718,nicht::ADV,לא,биш
719,nicht::ADV,לא,бичә
720,ein wenig::ADV,קצת,баахн
721,ein wenig::ADV,קצת,баахнар
722,kaum::ADV,בקשי,әрә
723,sehr::ADV,מאוד,йир
724,so::ADV,כך,иигҗ
725,so::ADV,ככה,иигҗ
726,noch::ADV,עוד,ода чигн
727,noch::ADV,עדין,ода чигн
728,nur::ADV,רק,һанцхн
729,schon::ADV,כבר,одх
730,wieder::ADV,שוב,бас
731,vergebens::ADV,לריק,киидән
732,vergebens::ADV,לשוא,киидән
733,vor::PRP,מול,урд
734,hinter::PRP,מאחורי,ца
735,unter::PRP,מתחת,дор
736,durch::PRP,דרך,ивт
737,durch::PRP,דרך,дундаһур
738,neben::PRP,ליד,хаҗуд
739,neben::PRP,על-יד,хаҗуд
740,zwischen::PRP,בין,хоорнд
741,wegen::PRP,בשל,көлтә
742,wegen::PRP,בשל,деерәс
743,wegen::PRP,בגלל,көлтә
744,wegen::PRP,בגלל,деерәс
745,dies::PRN,זה,эн
746,das::PRN,זה,тер
747,alles::PRN,הכל,цуһар
748,ich::PRN,אני,би
749,du::PRN,את,чи
750,du::PRN,אתה,чи
751,er::PRN,הוא,тер
752,wir::PRN,אנחנו,мадн
753,ihr::PRN,לה,та
754,sie::PRN,הם,тедн
755,was::FPRN,מה,юн
756,wer::FPRN,מי,кен
757,wo::FADV,איפה,хама
758,wohin::FADV,לאן,хамаран
759,wie::FADV,איך,яһҗ
760,wie::FADV,איך,яһад
761,warum::FADV,למה,юңгад
762,wieviel::FNUM,כמה,кедү
763,eins::NUM,אחד,негн
764,zwei::NUM,שתים,хойр
765,drei::NUM,שלושה,һурвн
766,vier::NUM,ארבעה,дөрвн
767,fünf::NUM,חמשה,тавн
768,sechs::NUM,ששה,зурһан
769,sieben::NUM,שבעה,долан
770,acht::NUM,שמונה,нәәмн
771,neun::NUM,תשעה,йисн
772,zehn::NUM,עשרה,арвн
773,elf::NUM,אחת עשרה,арвн негн
774,zwölf::NUM,שתים עשרה,арвн хойр
775,zwanzig::NUM,עשרים,хөрн
776,dreißig::NUM,שלושים,һучн
777,vierzig::NUM,ארבעים,дөчн
778,fünfzig::NUM,חמשים,тәвн
779,sechzig::NUM,ששים,җирн
780,siebzig::NUM,שבעים,далн
