,Concept_ID,ml,hu
60,Schlaf::N,ഉറകും,alvás
61,Traum::N,സ്വപ്നം,álom
62,Himmel::N,ആകാശം,ég
63,Himmel::N,ആകാശം,menny
64,Sonne::N,സൂര്യൻ,nap
65,Mond::N,ചന്ദ്രൻ,hold
66,Stern::N,നക്ഷത്രം,csillag
67,Luft::N,കാറ്റ്,levegő
68,Wind::N,കാറ്റ്,szél
69,Welle::N,തിരമാല,hullám
70,Wasser::N,വെള്ളം,víz
71,Stein::N,ശില,kő
72,Stein::N,കല്ല്,kő
73,Boden::N,തറ,föld
74,Boden::N,തറ,talaj
75,Boden::N,നിലം,föld
76,Boden::N,നിലം,talaj
77,Erde::N,മണ്ണ്,föld
78,Staub::N,പൊടി,por
79,Rauch::N,പുക,füst
80,Funke::N,തീപ്പൊരി,szikra
81,Feuer::N,തീ,tűz
82,Licht::N,വിളക്ക്,fény
83,Licht::N,സൂര്യപ്രകാശം,fény
84,Schatten::N,തണൽ,árnyék
85,Wetter::N,കാലാവസ്ഥ,idő
86,Wetter::N,കാലാവസ്ഥ,időjárás
87,Nebel::N,മൂടൽമഞ്ഞ്,köd
88,Wolke::N,മേഘം,felhő
89,Regen::N,മഴ,eső
90,Schnee::N,മഞ്ഞ്,hó
91,Eis::N,ഐസ്,jég
92,Frost::N,മൂടൽമഞ്ഞ്,fagy
93,Kälte::N,തണുപ്പ്,hideg
94,Hitze::N,ചൂട്,hő
95,Hitze::N,ചൂട്,hőség
96,Raureif::N,കോടമഞ്ഞ്,zúzmara
97,Regenbogen::N,മഴവില്ല്,szivárvány
98,Donner::N,ഇടി,dörgés
99,Donner::N,ഇടി,mennydörgés
100,Strömung::N,പ്രവാഹം,áramlat
101,Tropfen::N,തുള്ളി,csepp
102,Schaum::N,നുര,hab
103,Schaum::N,നുര,tajték
104,Schmutz::N,അഴുക്ക്,piszok
105,See::N,തടാകം,tó
106,Sumpf::N,ചതുപ്പുനിലം,mocsár
107,Moor::N,പാഴ്നിലം,láp
108,Wiese::N,പുൽത്തകിടി,rét
109,Wiese::N,പുൽത്തകിടി,mező
110,Wald::N,വനം,erdő
111,Wald::N,കാട്,erdő
112,Hügel::N,കുന്ന്,domb
113,Anhöhe::N,ഉയർന്ന ഭൂമി,magaslat
114,Berg::N,പർവ്വതം,hegy
115,Gipfel::N,ഉച്ചകോടി,csúcs
116,Höhle::N,ഗുഹ,barlang
117,Abhang::N,ചരിവ്,lejtő
118,Quelle::N,ഉറവിടം,forrás
119,Bach::N,അരുവി,patak
120,Fluss::N,നദി,folyó
121,Ufer::N,തീരം,part
122,Küste::N,കടൽത്തീരം,tengerpart
123,Festland::N,കര,szárazföld
124,Meer::N,കടൽ,tenger
125,Bucht::N,ഉൾക്കടല്,öböl
126,Insel::N,ദ്വീപ്,sziget
127,Blume::N,പൂവ്,virág
128,Gras::N,പുല്ല്,fű
129,Wurzel::N,വേര്,gyökér
130,Baum::N,മരം,fa
131,Stamm::N,തായ്ത്തടി,tő
132,Stamm::N,തായ്ത്തടി,törzs
133,Rinde::N,പട്ട,kéreg
134,Ast::N,ശാഖ,ág
135,Zweig::N,ശാഖ,gally
136,Blatt::N,ഇല,levél
137,Birke::N,പൂവരശ്,nyír
138,Kiefer[Baum]::N,പൈൻമരം,fenyő
139,Weide[Baum]::N,വില്ലോ,fűz
140,Tanne::N,ദേവദാരു,fenyő
141,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,szarv
142,Feder::N,തൂവൽ,toll
143,Fell::N,മൃദുരോമം,szőr
144,Fell::N,മൃദുരോമം,bunda
145,Flügel::N,ചിറക്,szárny
146,Klaue::N,നഖം,köröm
147,Kralle::N,നഖം,karom
148,Schwanz::N,വാൽ,farok
149,Ei::N,മുട്ട,tojás
150,Nest::N,കൂട്,fészek
151,Bau::N,മാളം,odú
152,Tier::N,മൃഗം,állat
153,Herde::N,കൂട്ടം,nyáj
154,Herde::N,കൂട്ടം,csorda
155,Kuh::N,പശു,tehén
156,Bulle::N,കാള,bika
157,Pferd::N,കുതിര,ló
158,Schaf::N,ആട്,juh
159,Schaf::N,ആട്,birka
160,Schwein::N,പന്നി,sertés
161,Hund::N,നായ്,eb
162,Hund::N,നായ്,kutya
163,Katze::N,പൂച്ച,macska
164,Bär::N,കരടി,medve
165,Eichhörnchen::N,അണ്ണാൻ,mókus
166,Elch::N,കടമാന്,jávorszarvas
167,Fuchs::N,കുറുക്കൻ,róka
168,Hase::N,മുയൽ,nyúl
169,Maus::N,ചുണ്ടലി,egér
170,Wolf::N,ചെന്നായ,farkas
171,Vogel::N,പക്ഷി,madár
172,Schwarm::N,കൂട്ടം,raj
173,Huhn::N,കോഴി,tyúk
174,Hahn::N,പൂവൻകോഴി,kakas
175,Gans::N,അരയന്നം,lúd
176,Gans::N,അരയന്നം,liba
177,Adler::N,കഴുകൻ,sas
178,Ente::N,താറാവ്,kacsa
179,Eule::N,മൂങ്ങ,bagoly
180,Kranich::N,കൊക്ക്,daru
181,Krähe::N,കാക്ക,varjú
182,Kuckuck::N,കുയിൽ,kakukk
183,Schwan::N,അരയന്നം,hattyú
184,Fisch::N,മത്സ്യം,hal
185,Barsch::N,ഒരിനം മത്സ്യം,sügér
186,Hecht::N,ഒരു മത്സ്യം,csuka
187,Schlange[Tier]::N,പാമ്പ്,kígyó
188,Wurm::N,വിര,kukac
189,Spinne::N,ചിലന്തി,pók
190,Ameise::N,ഉറുമ്പ്,hangya
191,Laus::N,പേന്,tetű
192,Mücke::N,മശകം,szúnyog
193,Fliege::N,ഈച്ച,légy
194,Schmetterling::N,ചിത്രശലഭം,lepke
195,Schmetterling::N,ചിത്രശലഭം,pillangó
196,Beere::N,ബെറി,bogyó
197,Apfel::N,ആപ്പിൾ,alma
198,Pilz::N,കൂൺ,gomba
199,Zwiebel::N,സവാള,hagyma
200,Saat::N,വിത്ത്,vetőmag
201,Korn::N,ധാന്യം,mag
202,Korn::N,ധാന്യം,szem
203,Heu::N,വയ്ക്കോൽ,széna
204,Schale::N,തൊലി,héj
205,Grube::N,കുഴി,verem
206,Falle::N,കെണി,csapda
207,Schlinge::N,കുടുക്ക്,tőr
208,Spur::N,ചുവട്,nyom
209,Asche::N,ചാരം,hamu
210,Dreck::N,അഴുക്ക്,sár
211,Dreck::N,അഴുക്ക്,piszok
212,Eisen::N,ഇരുമ്പ്,vas
213,Gold::N,സ്വർണ്ണം,arany
214,Silber::N,വെള്ളി,ezüst
215,Kohle::N,കൽക്കരി,szén
216,Glas::N,ഗ്ലാസ്,üveg
217,Lehm::N,കളിമണ്ണ്,agyag
218,Lehm::N,കളിമണ്ണ്,vályog
219,Sand::N,മണൽ,homok
220,Mensch::N,മനുഷ്യർ,ember
221,Mann::N,പുരുഷൻ,úr
222,Mann::N,പുരുഷൻ,férfi
223,Frau::N,സ്ത്രീ,nő
224,Frau::N,സ്ത്രീ,asszony
225,Kind::N,കുഞ്ഞ്,gyerek
226,Kind::N,കുഞ്ഞ്,gyermek
227,Junge::N,ആൺകുട്ടി,fiú
228,Mädchen::N,പെൺകുട്ടി,lány
229,Familie::N,കുടുംബം,család
230,Großvater::N,അപ്പൂപ്പൻ,nagyapa
231,Großmutter::N,അമ്മുമ്മ,nagyanya
232,Eltern::N,മാതാപിതാക്കള്,szülők
233,Vater::N,അച്ഛൻ,apa
234,Vater::N,അച്ഛൻ,atya
235,Mutter::N,അമ്മ,anya
236,Sohn::N,മകൻ,fiú
237,Tochter::N,മകൾ,lány
238,Bruder::N,ചേട്ടൻ,fivér
239,Bruder::N,ചേട്ടൻ,testvér
240,Bruder::N,അനിയൻ,fivér
241,Bruder::N,അനിയൻ,testvér
242,Schwester::N,ചേച്ചി,nővér
243,Schwester::N,ചേച്ചി,lánytestvér
244,Schwester::N,അനിയത്തി,nővér
245,Schwester::N,അനിയത്തി,lánytestvér
246,Onkel::N,അമ്മാവൻ,nagybácsi
247,Tante::N,മാമി,nagynéni
248,Ehemann::N,ഭർത്താവ്,férj
249,Ehefrau::N,ഭാര്യ,feleség
250,Freude::N,ആഹ്ലാദം,öröm
251,Gelächter::N,ചിരിയുടെ ശബ്ദം,nevetés
252,Gelächter::N,ചിരിയുടെ ശബ്ദം,hahotázás
253,Glück::N,സന്തോഷം,boldogság
254,Glück::N,സന്തുഷ്ടി,boldogság
255,Kummer::N,ശോകം,bánat
256,Wunsch::N,ആഗ്രഹം,óhaj
257,Lust::N,ആഗ്രഹം,kedv
258,Geist::N,ചുറുചുറുക്ക്,elme
259,Geist::N,ചുറുചുറുക്ക്,szellem
260,Gedanke::N,ചിന്ത,gondolat
261,Gedächtnis::N,ഓർമ്മശക്തി,emlékezet
262,Verstand::N,മനസ്സ്,ész
263,Verstand::N,മനസ്സ്,értelem
264,Sinn::N,അർത്ഥം,értelem
265,Grund::N,കാരണം,ok
266,Grund::N,കാരണം,alap
267,Wahrheit::N,സത്യം,igaz
268,Wahrheit::N,സത്യം,igazság
269,Gespräch::N,സല്ലാപം,beszélgetés
270,Märchen::N,യക്ഷിക്കഥ,mese
271,Erzählung::N,കഥ,elbeszélés
272,Nachricht::N,സന്ദേശം,hír
273,Nachricht::N,സന്ദേശം,híradás
274,Neuigkeit::N,വാർത്ത,újság
275,Name::N,പേര്,név
276,Rätsel::N,പ്രഹേളിക,rejtvény
277,Rede::N,സംസാരം,beszéd
278,Rede::N,സംസാരം,szónoklat
279,Sprache::N,ഭാഷ,nyelv
280,Stimme::N,സ്വരം,hang
281,Wort::N,വാക്ക്,szó
282,Zeichen::N,സംജ്ഞ,jel
283,Ruf::N,വിളി,kiáltás
284,Lärm::N,ആരവം,zaj
285,Laut::N,ശബ്ദം,hang
286,Ton::N,സ്വരഭേദം,hang
287,Lied::N,പാട്ട്,dal
288,Lied::N,പാട്ട്,ének
289,Ruhe::N,നിശ്ചലത,csend
290,Ruhe::N,നിശ്ചലത,nyugalom
291,Leute::N,ജനങ്ങൾ,emberek
292,Volk::N,രാഷ്ടം,nép
293,Arbeit::N,ജോലി,dolog
294,Gast::N,അതിലി,vendég
295,Geschenk::N,സമ്മാനം,ajándék
296,Spiel::N,കളി,játék
297,Gesellschaft::N,കൂട്ടായ്മ,társaság
298,Hilfe::N,സഹായം,segítség
299,Freund::N,സുഹൃത്ത്,barát
300,Kamerad::N,കൂട്ടാളി,társ
301,Angelegenheit::N,കാര്യം,ügy
302,Anzahl::N,എണ്ണം,szám
303,Art::N,തരം,faj
304,Art::N,തരം,fajta
305,Stück::N,കഷണം,darab
306,Teil::N,ഭാഗം,rész
307,Hälfte::N,പകുതി,fél
308,Kreis::N,വൃത്തം,kör
309,Kreuz::N,കുരിശടയാളം,kereszt
310,Linie::N,വര,vonal
311,Linie::N,രേഖ,vonal
312,Strich::N,പക്ഷാഘാതം,vonás
313,Abstand::N,വിടവ്,köz
314,Entfernung::N,അകലം,távolság
315,Gegend::N,പ്രദേശം,táj
316,Gegend::N,പ്രദേശം,vidék
317,Platz::N,ഇടം,hely
318,Ort::N,സ്ഥലം,hely
319,Seite::N,വശം,fél
320,Seite::N,വശം,oldal
321,Mitte::N,മധ്യസ്ഥാനം,közép
322,Gegenstand::N,സാധനം,tárgy
323,Sache::N,വസ്തു,dolog
324,Rand::N,തൊങ്ങൽ,szél
325,Rand::N,തൊങ്ങൽ,perem
326,Rand::N,തൊങ്ങൽ,szegély
327,Kante::N,അറ്റം,él
328,Ecke::N,മൂല,sarok
329,Ecke::N,മൂല,szöglet
330,Spitze::N,അഗ്രം,csúcs
331,Ende::N,അവസാനം,vég
332,Loch::N,ദ്വാരം,lyuk
333,Winkel::N,കോൺ,szög
334,Muster::N,ക്രമം,minta
335,Größe::N,വലുപ്പം,nagyság
336,Länge::N,നീളം,hossz
337,Länge::N,നീളം,hosszúság
338,Höhe::N,ഉയരം,magasság
339,Gewicht::N,കട്ടി,súly
340,Menge::N,അളവ്,sokaság
341,Menge::N,അളവ്,mennyiség
342,Haufen::N,കൂമ്പാരം,halom
343,Reihe::N,വരി,sor
344,Boot::N,ബോട്ട്,csónak
345,Ruder::N,പങ്കായം,evező
346,Schlitten::N,ഉരുളില്ലാവണ്ടി,szánkó
347,Ski::N,ഹിമപാദുകം,sí
348,Lagerfeuer::N,തീ,tábortűz
349,Last::N,ഭാരം,teher
350,Gang::N,നടത്തം,járás
351,Schritt::N,ചുവട്,lépés
352,Norden::N,വടക്ക്,észak
353,Süden::N,തെക്ക്,dél
354,Westen::N,പടിഞ്ഞാറ്,nyugat
355,Osten::N,കിഴക്ക്,kelet
356,Holz::N,തടി,fa
357,Brett::N,ബോർഡ്,deszka
358,Platte::N,തകിട്,lap
359,Platte::N,തകിട്,lemez
360,Stütze::N,താങ്ങ്,támasz
361,Stütze::N,താങ്ങ്,támaszték
362,Stange::N,കമ്പ്,rúd
363,Stange::N,കമ്പ്,pózna
364,Stock::N,വടി,pálca
365,Stab::N,കുറുവടി,bot
366,Rohr::N,കുഴൽ,cső
367,Haus::N,വീട്,ház
368,Heim::N,വീട്,otthon
369,Ofen::N,സ്റ്റൌ,kályha
370,Fußboden::N,തറ,padló
371,Tisch::N,മേശ,asztal
372,Stuhl::N,കസേര,szék
373,Wiege::N,തൊട്ടിൽ,bölcső
374,Bett::N,കിടക്ക,ágy
375,Regal::N,ഷെൽഫ്,polc
376,Regal::N,ഷെൽഫ്,állvány
377,Kiste::N,പെട്ടി,láda
378,Fenster::N,ജനൽ,ablak
379,Tür::N,വാതിൽ,ajtó
380,Tor::N,കവാടം,kapu
381,Zaun::N,വേലി,kerítés
382,Dach::N,മേൽക്കുര,tető
383,Leiter::N,ഏണി,létra
384,Besen::N,ചൂല്,seprű
385,Spaten::N,തൂമ്പ,ásó
386,Schaufel::N,തൂമ്പ,lapát
387,Gabel::N,മുൾക്കത്തി,villa
388,Löffel::N,സ്പൂൺ,kanál
389,Messer::N,കത്തി,kés
390,Nagel::N,ആണി,szeg
391,Netz::N,വല,háló
392,Haken::N,കൊളുത്ത്,kampó
393,Griff::N,കൈപ്പിടി,nyél
394,Griff::N,കൈപ്പിടി,fogantyú
395,Schloss::N,പൂട്ട്,zár
396,Bild::N,ചിത്രം,kép
397,Figur::N,കണക്ക്,alak
398,Puppe::N,പാവ,bábu
399,Beutel::N,ബാഗ്,zacskó
400,Bündel::N,കെട്ട്,köteg
401,Tasche::N,ബാഗ്,táska
402,Eimer::N,ബക്കറ്റ്,vödör
403,Deckel::N,ഉറ,fedő
404,Deckel::N,ഉറ,fedél
405,Geschirr::N,പിഞ്ഞാണം,edény
406,Sack::N,ചാക്ക്,zsák
407,Tasse::N,കപ്പ്,csésze
408,Topf::N,പാത്രം,fazék
409,Kessel::N,കെറ്റ്ല്,üst
410,Kessel::N,കെറ്റ്ല്,bogrács
411,Essen::N,ആഹാരസമയം,evés
412,Essen::N,ആഹാരസമയം,étkezés
413,Nahrung::N,ഭക്ഷണം,ennivaló
414,Speise::N,ഡിഷ്,étel
415,Fleisch::N,മാംസം,hús
416,Getreide::N,ചോളം,gabona
417,Brei::N,കഞ്ഞി,pép
418,Brei::N,കഞ്ഞി,kása
419,Brot::N,റോട്ടി,kenyér
420,Scheibe::N,തുണ്ട്,szelet
421,Fett::N,കൊഴുപ്പ്,háj
422,Fett::N,കൊഴുപ്പ്,zsír
423,Butter::N,വെണ്ണ,vaj
424,Öl::N,എണ്ണ,olaj
425,Salz::N,ഉപ്പ്,só
426,Suppe::N,സൂപ്പ്,leves
427,Honig::N,തേൻ,méz
428,Milch::N,പാൽ,tej
429,Tee::N,ചായ,tea
430,Leder::N,തുകൽ,bőr
431,Wolle::N,കമ്പിളി,gyapjú
432,Stoff::N,തുണി,szövet
433,Nadel::N,സൂചി,tű
434,Faden::N,നൂല്,fonál
435,Knopf::N,ബട്ടൺ,gomb
436,Knoten::N,കുരുക്ക്,csomó
437,Farbe::N,പെയിൻറ്,szín
438,Farbe::N,പെയിൻറ്,festék
439,Kleidung::N,വസ്ത്രങ്ങൾ,ruha
440,Kleidung::N,വസ്ത്രങ്ങൾ,ruházat
441,Hemd::N,ഷർട്ട്,ing
442,Kragen::N,കുപ്പായക്കഴുത്ത്,gallér
443,Ärmel::N,കുപ്പായക്കൈ,ujj
444,Hose::N,ട്രൌസർ,gatya
445,Hose::N,ട്രൌസർ,nadrág
446,Gürtel::N,ബെൽറ്റ്,öv
447,Mütze::N,തൊപ്പി,sapka
448,Schuh::N,ഷൂ,cipő
449,Stiefel::N,ബൂട്ട്,csizma
450,Ring::N,മോതിരം,gyűrű
451,Band::N,റിബൺ,szalag
452,Kamm::N,ചീപ്പ്,fésű
453,Spiegel::N,കണ്ണാടി,tükör
454,Riemen::N,സ്ട്രാപ്പ്,szíj
455,Schnur::N,ചരട്,zsinór
456,Leine::N,കെട്ടാനുള്ള തോൽവാർ,póráz
457,Decke::N,പുതപ്പ്,takaró
458,Kissen::N,തലയിണ,párna
459,Tuch::N,സ്കാർഫ്,kendő
460,Handtuch::N,തോർത്ത്,törülköző
461,Kraft::N,ശക്തി,erő
462,Stärke::N,ശക്തി,erő
463,Stärke::N,ശക്തി,erősség
464,Gesundheit::N,ആരോഗ്യം,egészség
465,Krankheit::N,അസുഖം,kór
466,Krankheit::N,അസുഖം,betegség
467,Schmerz::N,വേദന,fájdalom
468,Wunde::N,മുറിവ്,seb
469,Fieber::N,പനി,láz
470,Arznei::N,മരുന്ന്,orvosság
471,Arznei::N,മരുന്ന്,gyógyszer
472,Brücke::N,പാലം,híd
473,Brunnen::N,കിണർ,kút
474,Weide::N,മേച്ചൽ,legelő
475,Pfad::N,വഴി,ösvény
476,Weg::N,വഴി,út
477,Straße::N,റോഡ്,út
478,Dorf::N,ഗ്രാമം,falu
479,Stadt::N,നഗരം,város
480,Brief::N,കത്ത്,levél
481,Buch::N,പുസ്തകം,könyv
482,Buchstabe::N,അക്ഷരം,betű
483,Zeitung::N,വർത്തമാനപത്രം,újság
484,Zeitung::N,വർത്തമാനപത്രം,hírlap
485,Leben::N,ജീവൻ,élet
486,Tod::N,മരണം,halál
487,Grab::N,ശവക്കുഴി,sír
488,Kirche::N,പള്ളി,templom
489,Sünde::N,പാപം,bűn
490,Sünde::N,പാപം,vétek
491,Gott::N,ദൈവം,isten
492,Arbeiter::N,ജോലിക്കാരൻ,munkás
493,Chef::N,മേധാവി,főnök
494,Meister::N,യജമാനൻ,mester
495,Arzt::N,ഡോക്ടർ,orvos
496,Lehrer::N,അധ്യാപകൻ,tanár
497,Lehrer::N,അധ്യാപകൻ,tanító
498,Geld::N,പണം,pénz
499,Geschäft::N,ബിസിനസ്,üzlet
500,Laden::N,കട,bolt
501,Preis::N,വില,ár
502,Ware::N,ചരക്ക്,áru
503,Nutzen::N,ലാഭം,haszon
504,Reichtum::N,ധനം,gazdagság
505,Welt::N,ലോകം,világ
506,Land::N,രാജ്യം,ország
507,Staat::N,രാജ്യം,állam
508,König::N,രാജാവ്,király
509,Macht::N,അധികാരം,hatalom
510,Grenze::N,അതിർത്തി,határ
511,Krieg::N,യുദ്ധം,háború
512,Feind::N,ശത്രു,ellenség
513,Gewalt::N,അക്രമം,erőszak
514,Kampf::N,പോരാട്ടം,harc
515,Bogen[Waffe]::N,വില്ല്,íj
516,Pfeil::N,അമ്പ്,nyíl
517,Gewehr::N,തോക്ക്,puska
518,Gewehr::N,തോക്ക്,fegyver
519,Fehler::N,പിശക്,hiba
520,Lüge::N,കള്ളം,hazugság
521,Schaden::N,കേടുപാട്,kár
522,Unglück::N,ദൌർഭാഗ്യം,csapás
523,Unglück::N,ദൌർഭാഗ്യം,balszerencse
524,Schuld::N,തെറ്റ്,bűn
525,Alter::N,വയസ്സ്,kor
526,Schluss::N,നിഗമനം,vég
527,Schluss::N,നിഗമനം,befejezés
528,Zeit::N,സമയം,idő
529,Tag::N,ദിവസം,nap
530,Morgen::N,പ്രഭാതം,reggel
531,Mittag::N,ഉച്ച,dél
532,Abend::N,സായാഹ്നം,este
533,Nacht::N,രാത്രി,éj
534,Nacht::N,രാത്രി,éjszaka
535,Woche::N,ആഴ്ച,hét
536,Monat::N,മാസം,hó
537,Monat::N,മാസം,hónap
538,Jahr::N,വർഷം,év
539,Frühling::N,വസന്തം,tavasz
540,Sommer::N,വേനൽ,nyár
541,Herbst::N,ശരത്കാലം,ősz
542,Winter::N,ശൈത്യം,tél
543,Januar::N,ജനുവരി,január
544,Februar::N,ഫെബ്രുവരി,február
545,März::N,മാർച്ച്,március
546,April::N,ഏപ്രിൾ മാസം,április
547,Mai::N,മെയ് മാസം,május
548,Juni::N,ജൂൺ,június
549,Juli::N,ജൂലൈ,július
550,August::N,ആഗസ്റ്റ്,augusztus
551,September::N,സെപ്തംബർ,szeptember
552,Oktober::N,ഒക്ടോബർ,október
553,November::N,നവംബർ,november
554,Dezember::N,ഡിസംബർ,december
555,Montag::N,തിങ്കളാഴ്ച,hétfő
556,Dienstag::N,ചൊവ്വ,kedd
557,Mittwoch::N,ബുധനാഴ്ച,szerda
558,Donnerstag::N,വ്യാഴാഴ്ച,csütörtök
559,Freitag::N,വെള്ളിയാഴ്ച,péntek
560,Samstag::N,ശനിയാഴ്ച,szombat
561,Sonntag::N,ഞായറാഴ്ച,vasárnap
562,groß::A,വലിയ,nagy
563,klein::A,ചെറിയ,pici
564,klein::A,ചെറിയ,kicsi
565,lang::A,നീണ്ട,hosszú
566,kurz::A,ഹ്രസ്വമായ,rövid
567,breit::A,വിശാലമായ,széles
568,schmal::A,ഇടുങ്ങിയ,keskeny
569,dicht::A,നിബിഡമായ,sűrű
570,dick[Gegenstand]::A,തടിച്ച,vastag
571,dünn::A,മെലിഞ്ഞ,vékony
572,fein::A,നേർത്ത,vékony
573,fest::A,ഉറപ്പുള്ള,szilárd
574,flach::A,പരന്ന,sík
575,flach::A,പരന്ന,lapos
576,glatt::A,മിനുസമുള്ള,sima
577,hart::A,കട്ടിയുള്ള,kemény
578,weich::A,മൃദുവായ,puha
579,rund::A,വട്ടത്തിലുള്ള,kerek
580,spitz::A,മുനയുള്ള,hegyes
581,scharf::A,മൂർച്ചയുള്ള,éles
582,stumpf::A,തുറന്നടിക്കുന്ന,tompa
583,stumpf::A,തുറന്നടിക്കുന്ന,életlen
584,schwer::A,ഭാരമുള്ള,nehéz
585,schwer::A,ഭാരമുള്ള,súlyos
586,schön::A,മനോഹരമായ,szép
587,heiß::A,ചൂടുള്ള,forró
588,warm::A,ചൂടുള്ള,meleg
589,kalt::A,തണുത്ത,hideg
590,kühl::A,തണുപ്പുള്ള,hűs
591,kühl::A,തണുപ്പുള്ള,hűvös
592,frisch::A,ശുദ്ധമായ,üde
593,frisch::A,ശുദ്ധമായ,friss
594,feucht::A,ഈറനുള്ള,nedves
595,nass::A,നനഞ്ഞ,vizes
596,trocken::A,വരണ്ട,száraz
597,voll::A,നിറയെ,telt
598,leer::A,ഒഴിഞ്ഞ,üres
599,offen::A,തുറന്ന,nyílt
600,offen::A,തുറന്ന,nyitott
601,geschlossen::A,അടച്ച,zárt
602,geschlossen::A,അടച്ച,csukott
603,sauber::A,വൃത്തിയുള്ള,tiszta
604,schmutzig::A,അഴുക്കുനിറഞ്ഞ,piszkos
605,schmutzig::A,അഴുക്കുനിറഞ്ഞ,szennyes
606,roh::A,അസംസ്കൃതമായ,nyers
607,reif::A,പഴുത്ത,érett
608,lecker::A,രുചികരമായ,finom
609,süß::A,മധുരമുള്ള,édes
610,bitter::A,കടുത്ത,keserű
611,sauer::A,പുളിപ്പുള്ള,savanyú
612,hell::A,ജ്വലിക്കുന്ന,világos
613,dunkel::A,ഇരുണ്ട,sötét
614,schwarz::A,കറുത്ത,fekete
615,weiß::A,വെളുത്ത,fehér
616,rot::A,ചുവന്ന,vörös
617,gelb::A,മഞ്ഞനിറമായ,sárga
618,blau::A,നീലനിറമുള്ള,kék
619,grün::A,പച്ചനിറമുള്ള,zöld
620,grau::A,ചാരനിറത്തിലുള്ള,ősz
621,grau::A,ചാരനിറത്തിലുള്ള,szürke
622,bunt::A,വർണ്ണശബളമായ,tarka
623,bunt::A,വർണ്ണശബളമായ,színes
624,billig::A,വിലകുറഞ്ഞ,olcsó
625,teuer::A,ചെലവേറിയ,drága
626,wertvoll::A,വിലപിടിപ്പുള്ള,értékes
627,blind::A,അന്ധനായ,vak
628,taub::A,കേൾവിക്കുറവുള്ള,süket
629,kräftig::A,ശക്തിയുള്ള,erős
630,stark::A,ബലമുള്ള,erős
631,schwach::A,ക്ഷീണിച്ച,gyenge
632,schwach::A,ക്ഷീണിച്ച,erőtlen
633,fett::A,കൊഴുപ്പുള്ള,hájas
634,schlank::A,മെലിഞ്ഞ,karcsú
635,hübsch::A,മനോഹരമായ,csinos
636,böse::A,പാപിയായ,rossz
637,böse::A,പാപിയായ,gonosz
638,dumm::A,വിവരംകെട്ട,buta
639,dumm::A,വിവരംകെട്ട,ostoba
640,faul::A,അലസനായ,lusta
641,fleißig::A,അദ്ധ്വാനശീലമുള്ള,szorgalmas
642,geizig::A,പിശുക്കനായ,fukar
643,geizig::A,പിശുക്കനായ,fösvény
644,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,okos
645,klug::A,ബുദ്ധിസാമർഥ്യമുള്ള,eszes
646,geschickt::A,പ്രതിഭാശാലി,ügyes
