,Concept_ID,os,hu
1333,zerbrechen::V,асӕттын,eltör
1334,zerbrechen::V,асӕттын,széttör
1335,zerbrechen::V,асӕттын,kettétör
1336,zerreißen::V,аскъуынын,eltép
1337,zerreißen::V,аскъуынын,széttép
1338,zerstören::V,фехалын,elpusztít
1339,verbrennen::V,басудзын,éget
1340,verbrennen::V,басудзын,eléget
1341,geben::V,дӕттын,ad
1342,reichen::V,адæттын,nyújt
1343,schenken::V,лæвар кæнын,ajándékoz
1344,versprechen::V,дзырд раттын,ígér
1345,versprechen::V,зӕрдӕ бавӕрын,ígér
1346,wünschen::V,зæрдæ зæгъы,kíván
1347,loben::V,раппӕлын,dicsér
1348,küssen::V,пъа кæнын,csókol
1349,küssen::V,ба кæнын,csókol
1350,wiegen::V,узын,ringat
1351,zudecken::V,бамбӕрзын,betakar
1352,wecken::V,райхъал кӕнын,kelt
1353,wecken::V,райхъал кӕнын,ébreszt
1354,zeigen::V,амонын,mutat
1355,führen::V,кӕнын,visz
1356,führen::V,кӕнын,vezet
1357,führen::V,фæкæнын,visz
1358,führen::V,фæкæнын,vezet
1359,lehren::V,ахуыр кæнын,tanít
1360,unterrichten::V,ахуыр кæнын,tanít
1361,aufziehen::V,хъомыл кӕнын,felnevel
1362,leiten::V,разамынд дӕттын,vezet
1363,leiten::V,разамынд дӕттын,vezérel
1364,antreiben::V,тагъд кæнын,hajt
1365,antreiben::V,рог кæнын,hajt
1366,lassen::V,кæнын,-tat
1367,lassen::V,кæнын,-at
1368,einladen::V,ӕрхонын,meghív
1369,einladen::V,ӕрбахонын,meghív
1370,vereinigen::V,баиу кӕнын,egyesít
1371,besuchen::V,абæрæг кæнын,látogat
1372,besuchen::V,бабæрæг кæнын,látogat
1373,besuchen::V,бауайын,látogat
1374,treffen::V,фембæлын,talál
1375,sich versammeln::V,æрæмбырд уын,gyülekezik
1376,sich versammeln::V,æрæмбырд уын,összegyűlik
1377,spielen::V,хъазын,játszik
1378,singen::V,зарын,énekel
1379,tanzen::V,кафын,táncol
1380,sich trennen::V,фæйнæрдæм фæцæуын айхæлын,elválik
1381,verlassen::V,ныууадзын,elhagy
1382,retten::V,фервӕзын кӕнын,ment
1383,bewachen::V,хъахъхъӕнын,őriz
1384,schützen::V,хъахъхъӕнын,óv
1385,schützen::V,хъахъхъӕнын,véd
1386,verteidigen::V,бахизын,véd
1387,sich schlagen::V,хыл кæнын,verekszik
1388,schießen::V,ӕхсын,lő
1389,siegen::V,басӕттын,győz
1390,siegen::V,фӕуӕлахиз уӕвын,győz
1391,ärgern::V,мӕсты кӕнын,bosszant
1392,schlagen::V,ныццæвын,üt
1393,schlagen::V,ныццæвын,ver
1394,stechen::V,фæрæхойын,döf
1395,stechen::V,фæрæхойын,szúr
1396,stoßen::V,риуыгъын,lök
1397,stehlen::V,давын,lop
1398,stören::V,хъыгдарын,zavar
1399,belästigen::V,хъыгдарын,zaklat
1400,verbergen::V,бамбӕхсын,rejt
1401,verbergen::V,бамбӕхсын,elrejt
1402,verbergen::V,басусӕг кӕнын,rejt
1403,verbergen::V,басусӕг кӕнын,elrejt
1404,täuschen::V,фӕливын,megtéveszt
1405,täuschen::V,асайын,megtéveszt
1406,betrügen::V,асайын,csal
1407,töten::V,амарын,öl
1408,wohnen::V,цӕрын,lakik
1409,arbeiten::V,кусын,dolgozik
1410,sammeln::V,æртонын,szed
1411,sammeln::V,æртонын,gyűjt
1412,pflücken::V,тонын,szed
1413,jagen::V,цуан кæнын,vadászik
1414,fischen::V,кæсаг ахсын æнгуырæй,halászik
1415,fischen::V,æнгуыр дарын,halászik
1416,fassen::V,ӕрцахсын,fog
1417,hüten::V,хизын,őriz
1418,hüten::V,хизын,legeltet
1419,treiben::V,скъӕрын,hajt
1420,anbinden::V,бабæттын,köt
1421,anbinden::V,æрбæттын,köt
1422,füttern::V,холлаг дæттын,etet
1423,füttern::V,холлаг æвæрын,etet
1424,füttern::V,дарын,etet
1425,melken::V,дуцын,fej
1426,hacken::V,кæрдын,vág
1427,hacken::V,лыгтæ кæнын,vág
1428,gießen::V,бакалын,öntöz
1429,reifen::V,срæгъæд уын,érik
1430,reifen::V,сцæттæ уын,érik
1431,zubereiten::V,сцӕттӕ кӕнын,elkészít
1432,kochen::V,фыцын,főz
1433,backen::V,фыцын,süt
1434,braten::V,цурын,süt
1435,umrühren::V,ахæццæ кæнын,megkever
1436,umrühren::V,азмæнтын,megkever
1437,umrühren::V,астауын,megkever
1438,stricken::V,кæнын,köt
1439,stricken::V,бийын,köt
1440,nähen::V,хуыйын,varr
1441,färben::V,ахорын,fest
1442,reinigen::V,ссыгъдæг кæнын,tisztít
1443,reinigen::V,ныссыгъдæг кæнын,tisztít
1444,reinigen::V,ныссæрфын,tisztít
1445,waschen::V,ӕхсын,mos
1446,abwischen::V,сӕрфын,letöröl
1447,spülen::V,æнхъæвзын,mosogat
1448,fegen::V,мӕрзын,söpör
1449,kehren::V,мӕрзын,söpör
1450,baden::V,хи найын,fürdik
1451,sich waschen::V,хи æхсын,mosdik
1452,sich waschen::V,хи æхсын,mosakszik
