,Concept_ID,sah,ady
285,Freund::N,доҕор,ныбджэгъу
286,Kamerad::N,атас,ныбджэгъу
287,Angelegenheit::N,дьыала,ӏофы́
288,Anzahl::N,ахсаан,пчъагъэ́
289,Art::N,биис,изэрэщы́т
290,Art::N,биис,лъэпкъ
291,Stück::N,кырбас,такъы́р
292,Teil::N,ирээт,щыщ
293,Teil::N,ирээт,ӏахь
294,Hälfte::N,аҥар,ныкъо́
295,Kreis::N,төгүрүк,хъура́й
296,Kreis::N,төгүрүмтэ,хъура́й
297,Kreuz::N,кириэс,къащ
298,Linie::N,сурааһын,хъахъ
299,Linie::N,сурааһын,итхъа́гъ
300,Strich::N,сурааһын,хъахъ
301,Strich::N,сурааһын,итхъагъ
302,Abstand::N,арыт,азыфагу
303,Entfernung::N,ыраах,чӏыгууанэ
304,Gegend::N,сир,чӏыпӏэ́
305,Platz::N,арыт,азыфагу
306,Ort::N,сир,чӏыпӏэ́
307,Seite::N,өрүт,лъэны́къу
308,Seite::N,сирэй,лъэны́къу
309,Mitte::N,орто,гузэ́гу
310,Gegenstand::N,предмет,пкъыгъо
311,Sache::N,мал,
312,Rand::N,кытыы,цакӏэ́
313,Rand::N,ойоҕос,цакӏэ́
314,Kante::N,кырыы,цэгэналъ
315,Ecke::N,муннук,къогъу
316,Spitze::N,чыпчаал,пакӏэ
317,Ende::N,төбө,кӏэ
318,Loch::N,тэһэҕэс,гъуа́н
319,Loch::N,дьөлөҕөс,гъуа́н
320,Winkel::N,муннук,къогъу
321,Muster::N,оһуор,тхыпхъэ
322,Größe::N,кээмэй,иина́гъ
323,Länge::N,уста,икӏыхьа́гъ
324,Höhe::N,үрдүк,лъэгагъ
325,Gewicht::N,ыйааһын,онтэгъугъэ́
326,Menge::N,ахсаан,пчъагъэ́
327,Haufen::N,чөмчөх,ӏат
328,Reihe::N,кэккэ,саты́р
329,Boot::N,оҥочо,къуашъо́
330,Ruder::N,эрдии,къошъобэ́щ
331,Schlitten::N,сыарҕа,
332,Ski::N,хайыһар,лыжэхэр
333,Lagerfeuer::N,кутаа,пхъэмашӏу
334,Last::N,ыарахан,
335,Gang::N,хаамыы,кӏоныр
