,Concept_ID,ta,it
61,Traum::N,கனவு,sogno
62,Himmel::N,வானம்,cielo
63,Sonne::N,சூரியன்,sole
64,Mond::N,சந்திரன்,luna
65,Stern::N,நட்சத்திரம்,stella
66,Luft::N,காறறு,aria
67,Wind::N,காற்று,vento
68,Welle::N,அலை,onda
69,Wasser::N,நீர்,acqua
70,Stein::N,கல்,sasso
71,Stein::N,கல்,pietra
72,Boden::N,தரை,suolo
73,Boden::N,தரை,terreno
74,Erde::N,மண்,terra
75,Staub::N,தூசி,polvere
76,Rauch::N,புகை,fumo
77,Funke::N,தீப்பொறி,scintilla
78,Feuer::N,தீ,fuoco
79,Licht::N,வெளிச்சம்,luce
80,Schatten::N,நிழல்,ombra
81,Wetter::N,வானிலை,tempo
82,Nebel::N,பனிமூட்டம்,nebbia
83,Wolke::N,மேகம்,nube
84,Wolke::N,மேகம்,nùvola
85,Regen::N,மழை,pioggia
86,Schnee::N,உறைபனி,neve
87,Eis::N,பனிக்கட்டி,ghiaccio
88,Frost::N,உறைபனி,gelo
89,Kälte::N,குளிர்ந்த,freddo
90,Hitze::N,சூடு,caldo
91,Hitze::N,சூடு,calura
92,Raureif::N,உறைபனி வெண்திரை,brina
93,Regenbogen::N,வானவில்,arcobaleno
94,Donner::N,இடி,tuono
95,Strömung::N,நீரோட்டம்,corrente
96,Tropfen::N,துளி,goccia
97,Schaum::N,நுரை,spuma
98,Schaum::N,நுரை,schiuma
99,Schmutz::N,அழுக்கு,sudiciume
100,See::N,ஏரி,lago
101,Sumpf::N,சதுப்பு நிலம்,palude
102,Moor::N,முட்புதற்காடு,torbiera
103,Wiese::N,பசும் புல்தரை,prato
104,Wald::N,காடு,bosco
105,Wald::N,காடு,foresta
106,Hügel::N,குன்று,colle
107,Hügel::N,குன்று,collina
108,Anhöhe::N,பதுக்கை,altura
109,Berg::N,மலை,monte
110,Berg::N,மலை,montagna
111,Gipfel::N,உச்சி மாநாடு,cima
112,Höhle::N,குகை,grotta
113,Höhle::N,குகை,caverna
114,Abhang::N,சரிவு,pendìo
115,Quelle::N,மூலம்,sorgente
116,Bach::N,ஓடை,ruscello
117,Fluss::N,ஆறு,fiume
118,Ufer::N,நீர்க்கரை,riva
119,Küste::N,கடற்கரை,costa
120,Festland::N,நிலம்,terraferma
121,Meer::N,கடல்,mare
122,Bucht::N,சிறுகுடா,cala
123,Insel::N,தீவு,ìsola
124,Blume::N,பூ,fiore
125,Gras::N,புல்தரை,erba
126,Wurzel::N,வேர்,radice
127,Baum::N,மரம்,àlbero
128,Stamm::N,அடிமரம்,tronco
129,Rinde::N,பட்டை,corteccia
130,Rinde::N,மரப்பட்டை,corteccia
131,Ast::N,கினை,ramo
132,Zweig::N,குச்சி,ramo
133,Blatt::N,இலை,foglia
134,Birke::N,பிர்ச் மரம்,betulla
135,Kiefer[Baum]::N,தேவதாரு மரம்,pino
136,Weide[Baum]::N,மர வகைகளுள் ஒன்று,sàlice
137,Tanne::N,சாதிக்கய்,abete
138,Horn::N,கொம்பு,corno
139,Feder::N,இறகு,penna
140,Fell::N,மென்முடி,manto
141,Fell::N,மென்முடி,pelame
142,Flügel::N,இறக்கை,ala
143,Klaue::N,நகம்,grinfia
144,Kralle::N,நகம்,unghia
145,Kralle::N,நகம்,artiglio
146,Schwanz::N,வால்,coda
147,Ei::N,முட்டை,uovo
148,Nest::N,கூடு,nido
149,Bau::N,குகை,covo
150,Tier::N,விலங்கு,bestia
151,Tier::N,விலங்கு,animale
152,Herde::N,கூட்டம்,gregge
153,Kuh::N,பசு,vacca
154,Bulle::N,காளை,toro
155,Pferd::N,குதிரை,cavallo
156,Schaf::N,செம்மறிஆடு,pècora
157,Schwein::N,பன்றி,porco
158,Schwein::N,பன்றி,maiale
159,Hund::N,நாய்,cane
160,Katze::N,பூனை,gatta
161,Bär::N,கரடி,orso
162,Eichhörnchen::N,அணில்,scoiàttolo
163,Elch::N,கடம்பை,alce
164,Fuchs::N,நரி,volpe
165,Hase::N,முயல்,lepre
166,Maus::N,எலி,topo
167,Maus::N,எலி,sorcio
168,Wolf::N,ஓநாய்,lupo
169,Vogel::N,பறவை,uccello
170,Schwarm::N,தொகுதி,stormo
171,Huhn::N,கோழிக்குஞசு,gallina
172,Hahn::N,சேவல்,gallo
173,Gans::N,பெண் வாத்து,oca
174,Adler::N,பருநது,àquila
175,Ente::N,வாத்து,ànatra
176,Eule::N,ஆந்தை,gufo
177,Eule::N,ஆந்தை,civetta
178,Kranich::N,நாரை,gru
179,Krähe::N,காகம்,cornacchia
180,Kuckuck::N,குயில்,cuccù
181,Kuckuck::N,குயில்,cùculo
182,Schwan::N,அன்னம்,cigno
183,Fisch::N,மீன்,pesce
184,Barsch::N,பேர்ச்,pèrsico
185,Hecht::N,கோலாச்சி மீன்,luccio
186,Schlange[Tier]::N,பாம்பு,serpente
187,Wurm::N,புழு,baco
188,Wurm::N,புழு,verme
189,Spinne::N,சிலந்தி,ragno
190,Ameise::N,எறும்பு,formica
191,Laus::N,பேன்,pidocchio
192,Mücke::N,கொசுவினப்பூச்சி,zanzara
193,Fliege::N,ஈ,mosca
194,Schmetterling::N,வண்ணத்துப்பூச்சி,farfalla
195,Beere::N,சதைப்பழம்,bacca
196,Apfel::N,ஆப்பிள பழம்,mela
197,Pilz::N,காளான்,fungo
198,Zwiebel::N,வெங்காயம்,cipolla
199,Saat::N,விதை,semente
200,Korn::N,தானியம்,grano
201,Heu::N,வைக்கோல்,fieno
202,Schale::N,தோல்,buccia
203,Grube::N,குழி,cava
204,Grube::N,குழி,fossa
205,Falle::N,பொறி,tràppola
206,Schlinge::N,கண்ணி,laccio
207,Spur::N,சுவடு,traccia
208,Asche::N,சாம்பல்,cenere
209,Dreck::N,அழுக்கு,fango
210,Eisen::N,இரும்பு,ferro
211,Gold::N,தங்கம்,oro
212,Silber::N,வெள்ளி,argento
213,Kohle::N,நிலக்கரி,carbone
214,Glas::N,கண்ணாடி,vetro
215,Lehm::N,களிமண்,argilla
216,Sand::N,மணல்,arena
217,Sand::N,மணல்,sabbia
218,Mensch::N,மனிதர்கள்,uomo
219,Mensch::N,மனிதர்கள்,èssere umano
220,Mann::N,மனிதன்,uomo
221,Frau::N,பெண்,donna
222,Kind::N,குழந்தை,bambino
223,Junge::N,பையன்,ragazzo
224,Mädchen::N,சிறுமி,ragazza
225,Familie::N,குடும்பம்,famiglia
226,Großvater::N,தாத்தா,nonno
227,Großmutter::N,பாட்டி,nonna
228,Eltern::N,பெற்றோர்,genitori
229,Vater::N,தந்தை,padre
230,Mutter::N,தாய்,madre
231,Sohn::N,மகன்,figlio
232,Tochter::N,மகள்,figlia
233,Bruder::N,சகோதரன்,fratello
234,Schwester::N,அக்கா,sorella
235,Onkel::N,தாய் மாமன்,zio
236,Tante::N,அத்தை,zia
237,Ehemann::N,கணவன்,marito
238,Ehefrau::N,மனைவி,moglie
239,Freude::N,கொண்டாட்டம்,gioia
240,Freude::N,கொண்டாட்டம்,piacere
241,Gelächter::N,சிரிப்பு,risata
242,Glück::N,மகிழ்ச்சி,felicità
243,Kummer::N,துயரம்,afflizione
244,Wunsch::N,விருப்பம்,desiderio
245,Lust::N,விருப்பம்,voglia
246,Geist::N,ஆன்மா,mente
247,Geist::N,ஆன்மா,spìrito
248,Gedanke::N,எண்ணம்,idea
249,Gedanke::N,எண்ணம்,pensiero
250,Gedächtnis::N,ஞாபகம்,memoria
251,Verstand::N,மனம்,intelletto
252,Sinn::N,அர்த்தம்,senso
253,Sinn::N,அர்த்தம்,significato
254,Grund::N,காரணம்,causa
255,Grund::N,காரணம்,motivo
256,Grund::N,காரணம்,ragione
257,Wahrheit::N,உண்நை,verità
258,Gespräch::N,பெசு,discorso
259,Gespräch::N,பெசு,conversazione
260,Märchen::N,நம்பத்தகாத கதை,fiaba
261,Märchen::N,நம்பத்தகாத கதை,fàvola
262,Erzählung::N,கதை,racconto
263,Erzählung::N,கதை,narrazione
264,Nachricht::N,செய்தி,messaggio
265,Neuigkeit::N,செய்தி,notizia
266,Name::N,பெயர்,nome
267,Rätsel::N,புதிர்,indovinello
268,Rede::N,பேச்சு,discorso
269,Sprache::N,மொழி,lingua
270,Sprache::N,மொழி,linguaggio
271,Stimme::N,குரல்,voce
272,Wort::N,வார்த்தை,parola
273,Zeichen::N,குறி,segno
274,Zeichen::N,குறி,segnale
275,Ruf::N,அழைப்பு,chiamata
276,Lärm::N,சத்தம்,chiasso
277,Lärm::N,சத்தம்,strèpito
278,Laut::N,ஒலி,suono
279,Ton::N,குரல்,tono
280,Lied::N,பாட்டு,canto
281,Lied::N,பாட்டு,canzone
282,Ruhe::N,அமைதி,calma
283,Ruhe::N,அமைதி,tranquillità
284,Leute::N,மக்கள்,gente
285,Volk::N,மக்கள்,pòpolo
286,Arbeit::N,வேலை,lavoro
287,Gast::N,விருந்தாளி,òspite
288,Gast::N,விருந்தாளி,invitato
289,Geschenk::N,பரிசுப் பொருள்,regalo
290,Spiel::N,விளையாட்டு,gioco
291,Gesellschaft::N,சமுதாயம்,compagnìa
292,Hilfe::N,உதவி,aiuto
293,Hilfe::N,உதவி,soccorso
294,Freund::N,நண்பன்,amico
295,Kamerad::N,உடனிருப்பவன்,camerata
296,Angelegenheit::N,செய்தி,affare
297,Angelegenheit::N,செய்தி,faccenda
298,Anzahl::N,எண்ணிக்கை,nùmero
299,Anzahl::N,எண்ணிக்கை,quantità
300,Art::N,வகை,tipo
301,Art::N,வகை,specie
302,Stück::N,துண்டம்,pezzo
303,Teil::N,பகுதி,parte
304,Hälfte::N,பாதி,metà
305,Kreis::N,வட்டம்,cìrcolo
306,Kreuz::N,சிலுவை,croce
307,Linie::N,கோடு,lìnea
308,Strich::N,வாத நோய்,tratto
309,Abstand::N,இடைவெளி,distanza
310,Entfernung::N,தூரம்,distanza
311,Entfernung::N,தூரம்,lontananza
312,Gegend::N,வட்டாரம்,regione
313,Platz::N,வெற்றிடம்,posto
314,Platz::N,வெற்றிடம்,spazio
315,Ort::N,இடம்,luogo
316,Ort::N,இடம்,località
317,Seite::N,பக்கம்,lato
318,Seite::N,பக்கம்,parte
319,Mitte::N,இடைப்பகுதி,mezzo
320,Mitte::N,இடைப்பகுதி,centro
321,Gegenstand::N,உருப்படி,oggetto
322,Sache::N,பொருள்,cosa
323,Rand::N,தொங்கு,orlo
324,Rand::N,தொங்கு,bordo
325,Kante::N,விளிம்பு,spìgolo
326,Ecke::N,மூலை,canto
327,Spitze::N,முனை,punta
328,Ende::N,முடிவு,capo
329,Ende::N,முடிவு,estremità
330,Loch::N,துளை,buco
331,Winkel::N,கோணம்,àngolo
332,Muster::N,பாங்கு,disegno
333,Größe::N,அளவு,taglia
334,Größe::N,அளவு,grandezza
335,Länge::N,நீளம்,lunghezza
336,Höhe::N,உயரம்,altezza
337,Gewicht::N,எடை,peso
338,Menge::N,தொகை,quantità
339,Haufen::N,குவியல்,cùmulo
340,Haufen::N,குவியல்,mucchio
341,Reihe::N,வரிசை,fila
342,Boot::N,படகு,barca
343,Boot::N,படகு,battello
344,Ruder::N,துடுப்பு,remo
345,Schlitten::N,சகடையிலா வண்டி,slitta
346,Ski::N,பனிச் சறுக்கல்,sci
347,Lagerfeuer::N,மூட்டம்,falò
348,Lagerfeuer::N,மூட்டம்,fuoco di bivacco
349,Last::N,பாரம்,càrico
350,Gang::N,நடை,andata
351,Schritt::N,காலடி,passo
352,Norden::N,வடக்கு,nord
353,Norden::N,வடக்கு,settentrione
354,Süden::N,தெற்கு,sud
355,Süden::N,தெற்கு,meridione
356,Westen::N,மேற்கு திசை,òvest
357,Westen::N,மேற்கு திசை,occidente
358,Osten::N,கிழக்கு,est
359,Osten::N,கிழக்கு,oriente
360,Holz::N,மரக்கட்டை,legno
361,Brett::N,பலகை,asse
362,Brett::N,பலகை,tàvola
363,Platte::N,பலகம்,lastra
364,Platte::N,பலகம்,piastra
365,Stütze::N,அடைப்புகன்,supporto
366,Stange::N,கம்பம்,sbarra
367,Stange::N,கம்பம்,pèrtica
368,Stock::N,குச்சி,verga
369,Stock::N,குச்சி,bastone
370,Stock::N,குச்சி,bacchetta
371,Stab::N,கம்பு,asta
372,Rohr::N,குழாய்,tubo
373,Haus::N,வீடு,casa
374,Heim::N,வீடு,casa
375,Ofen::N,அடுப்பு,stufa
376,Fußboden::N,தரை,pavimento
377,Tisch::N,மேசை,tàvolo
378,Stuhl::N,நாற்காலி,sedia
379,Wiege::N,தொட்டில்,culla
380,Bett::N,படுக்கை,letto
381,Regal::N,அலமாரி,scaffale
382,Kiste::N,பெட்டி,cassa
383,Fenster::N,சாளரம்,finestra
384,Tür::N,கதவு,porta
385,Tor::N,வாசற்கதவு,portone
386,Zaun::N,வேலி,recinto
387,Dach::N,கூரை,tetto
388,Leiter::N,ஏணி,scala
389,Leiter::N,ஏணி,scala a pioli
390,Besen::N,விளக்குமாறு,scopa
391,Spaten::N,மண்வெட்டி,vanga
392,Schaufel::N,அடிதண்டா,pala
393,Gabel::N,முட்கரண்டி,forchetta
394,Löffel::N,கரண்டி,cucchiaio
395,Messer::N,கத்தி,coltello
396,Nagel::N,ஆணி,chiodo
397,Netz::N,வலை,rete
398,Haken::N,கொக்கி,uncino
399,Griff::N,கைப்பிடி,mànico
400,Griff::N,கைப்பிடி,maniglia
401,Schloss::N,பூட்டு,serratura
402,Bild::N,படம்,quadro
403,Bild::N,படம்,immàgine
404,Figur::N,எண்ணிக்கை,figura
405,Puppe::N,பொம்மை,bàmbola
406,Beutel::N,பை,borsa
407,Beutel::N,பை,sacchetto
408,Bündel::N,பொதி,fascio
409,Bündel::N,பொதி,fagotto
410,Tasche::N,பை,borsa
411,Eimer::N,வாளி,secchio
412,Deckel::N,உறை,coperchio
413,Geschirr::N,பாத்திரம்,stoviglie
414,Sack::N,பை,sacco
415,Tasse::N,கிண்ணம்,tazza
416,Topf::N,பானை,pèntola
417,Kessel::N,கெண்டி,paiolo
418,Kessel::N,கெண்டி,calderone
419,Essen::N,உணவருந்துதல்,pasto
420,Essen::N,உணவருந்துதல்,mangiare
421,Nahrung::N,உணவு,cibo
422,Nahrung::N,உணவு,alimento
423,Speise::N,உணவு வகை,piatto
424,Fleisch::N,இறைச்சி,carne
425,Getreide::N,மக்காச்சோளம்,cereali
426,Brei::N,கஞ்சி,purè
427,Brei::N,கஞ்சி,pappa
428,Brot::N,ரொட்டி,pane
429,Scheibe::N,துண்டு,fetta
430,Scheibe::N,துண்டு,trancia
431,Fett::N,கொழுப்பு,grasso
432,Butter::N,வெண்ணெய்,burro
433,Öl::N,எண்ணெய்,olio
434,Salz::N,உப்பு,sale
435,Suppe::N,ரசம்,zuppa
436,Suppe::N,ரசம்,minestra
437,Honig::N,தேன்,miele
438,Milch::N,பால்,latte
439,Tee::N,தெனீர்,tè
440,Leder::N,பதம் செய்யப்பட்ட தோல்,pelle
441,Wolle::N,கம்பளி,lana
442,Stoff::N,துணி,panno
443,Stoff::N,துணி,tessuto
444,Nadel::N,ஊசி,ago
445,Faden::N,நூல்,filo
446,Knopf::N,பொத்தான்,bottone
447,Knoten::N,முடிச்சு,nodo
448,Farbe::N,வண்ணக் குழம்பு,pittura
449,Kleidung::N,ஆடைகள்,vestiti
450,Kleidung::N,ஆடைகள்,vestiario
451,Hemd::N,சட்டை,camicia
452,Kragen::N,கழுத்துப் பட்டை,bàvero
453,Kragen::N,கழுத்துப் பட்டை,colletto
454,Ärmel::N,சட்டைக்கை,mànica
455,Hose::N,கால்சட்டை,calzoni
456,Gürtel::N,பெல்ட்,cintura
457,Mütze::N,தொப்பி,berretto
458,Schuh::N,காலணி,scarpa
459,Stiefel::N,காலணி,stivale
460,Ring::N,மோதிரம்,anello
461,Band::N,நாடா,nastro
462,Band::N,நாடா,fettuccia
463,Kamm::N,கீப்பு,pèttine
464,Spiegel::N,ஆடி,specchio
465,Spiegel::N,கண்ணாடி,specchio
466,Riemen::N,வார்,cinghia
467,Schnur::N,கயிறு,corda
468,Leine::N,தோல்வார்,guinzaglio
469,Decke::N,போர்வை,coperta
470,Kissen::N,தலையணை,cuscino
471,Kissen::N,தலையணை,guanciale
472,Tuch::N,துணி,fazzoletto
473,Handtuch::N,தண்டு,asciugamano
474,Kraft::N,நிர்பந்தம்,forza
475,Stärke::N,பலம்,forza
476,Stärke::N,பலம்,vigore
477,Stärke::N,பலம்,fortezza
478,Gesundheit::N,ஆரோக்கியம்,salute
479,Krankheit::N,நோய்,malattìa
480,Schmerz::N,வலி,dolore
481,Wunde::N,காயம்,piaga
482,Wunde::N,காயம்,ferita
483,Fieber::N,காய்ச்சல்,febbre
484,Arznei::N,மருந்து,fàrmaco
485,Arznei::N,மருந்து,medicina
486,Brücke::N,பாலம்,ponte
487,Brunnen::N,கேணி,pozzo
488,Weide::N,மேய்ச்சல் நிலம்,pàscolo
489,Pfad::N,நடை வழி,sentiero
490,Weg::N,வழி,via
491,Weg::N,வழி,cammino
492,Straße::N,சாலை,strada
493,Dorf::N,கிராமம்,paese
494,Dorf::N,கிராமம்,villaggio
495,Stadt::N,நகரம்,città
496,Brief::N,கடிதம்,lèttera
497,Buch::N,புத்தகம்,libro
498,Buchstabe::N,எழத்து,lèttera
499,Zeitung::N,செய்தித்தாள்,giornale
500,Leben::N,வாழ்க்கை,vita
501,Tod::N,மரணம்,morte
502,Grab::N,சமாதி,tomba
503,Grab::N,சமாதி,sepolcro
504,Kirche::N,தேவாலயம்,chiesa
505,Sünde::N,பாவம்,peccato
506,Gott::N,கடவுள்,dio
507,Arbeiter::N,தொழிலாளி,operaio
508,Arbeiter::N,தொழிலாளி,lavoratore
509,Chef::N,மேலாளர்,capo
510,Chef::N,மேலாளர்,padrone
511,Meister::N,தலைவன்,mastro
512,Meister::N,தலைவன்,maestro
513,Arzt::N,மருத்துவர்,mèdico
514,Arzt::N,மருத்துவர்,dottore
515,Lehrer::N,ஆசிரியர்,professore
516,Geld::N,பணம்,soldi
517,Geld::N,பணம்,denaro
518,Geschäft::N,வாணிபம்,affare
519,Geschäft::N,வாணிபம்,negozio
520,Laden::N,கடை,negozio
521,Preis::N,விலை,prezzo
522,Ware::N,சாமன்கள்,merce
523,Nutzen::N,இலாபம்,ùtile
524,Nutzen::N,இலாபம்,profitto
525,Reichtum::N,சொத்து,ricchezza
526,Welt::N,உலகம்,mondo
527,Land::N,நாடு,paese
528,Staat::N,நாடு,Stato
529,König::N,அரசன்,re
530,Macht::N,அதிகாரம்,potere
531,Grenze::N,எல்லை,confine
532,Grenze::N,எல்லை,frontiera
533,Krieg::N,போர்,guerra
534,Feind::N,எதிரி,nemico
535,Gewalt::N,வன்முறை,violenza
536,Kampf::N,போராட்டம்,lotta
537,Bogen[Waffe]::N,வில்,arco
538,Pfeil::N,அம்பு,freccia
539,Gewehr::N,துப்பாக்கி,fucile
540,Fehler::N,தவறு,errore
541,Fehler::N,தவறு,sbaglio
542,Lüge::N,பொய்,bugìa
543,Lüge::N,பொய்,menzogna
544,Schaden::N,சேதாரம்,danno
545,Unglück::N,இடையூறு,sfortuna
546,Schuld::N,குற்றம்,colpa
547,Alter::N,வயது,età
548,Schluss::N,முடிவு,fine
549,Zeit::N,காலம்,tempo
550,Tag::N,நாள்,giorno
551,Tag::N,நாள்,giornata
552,Morgen::N,காலை நேரம்,mattina
553,Mittag::N,மதியம்,mezzogiorno
554,Abend::N,மாலைப் பொழுது,sera
555,Abend::N,மாலைப் பொழுது,serata
556,Nacht::N,இரவு,notte
557,Woche::N,வாரம்,settimana
558,Monat::N,மாதம்,mese
559,Jahr::N,வருடம்,anno
560,Frühling::N,வசந்தம்,primavera
561,Sommer::N,கோடை,estate
562,Herbst::N,இலையுதிர் காலம்,autunno
563,Winter::N,குளிர்காலம்,inverno
564,Januar::N,ஜனவரி,gennaio
565,Februar::N,பிபரவரி மாதம்,febbraio
566,März::N,மார்ச் மாதம்,marzo
567,April::N,ஏப்ரல் மாதம்,aprile
568,Mai::N,மே மாதம்,maggio
569,Juni::N,ஜூன் மாதம்,giugno
570,Juli::N,ஜூலை மாதம்,luglio
571,August::N,ஆகஸ்ட் மாதம்,agosto
572,September::N,செப்டம்பர் மாதம்,settembre
573,Oktober::N,அக்டோபர் மாதம்,ottobre
574,November::N,நவம்பர் மாதம்,novembre
575,Dezember::N,டிசம்பர்,dicembre
576,Montag::N,திங்கட் கிழமை,lunedì
577,Dienstag::N,செவ்வாய்க்கிழமை,martedì
578,Mittwoch::N,புதன் கிழமை,mercoledì
579,Donnerstag::N,வியாழக் கிழமை,giovedì
580,Freitag::N,வெள்ளிக்கிழமை,venerdì
581,Samstag::N,சனிக்கிழமை,sàbato
582,Sonntag::N,ஞாயிறுக் கிழமை,domenica
583,groß::A,பெரிய,grande
584,klein::A,சிறிய,pìccolo
585,lang::A,நீண்ட,lungo
586,kurz::A,குட்டையான,corto
587,breit::A,அகலமான,largo
588,schmal::A,குறுகலான,stretto
589,dicht::A,அடர்த்தியான,denso
590,dick[Gegenstand]::A,தடித்த,spesso
591,dünn::A,சன்னமான,sottile
592,fein::A,மெல்லிய,fine
593,fein::A,மெல்லிய,delicato
594,fest::A,உறுதியாள,sodo
595,fest::A,உறுதியாள,fisso
596,flach::A,தட்டையான,piano
597,flach::A,தட்டையான,piatto
598,glatt::A,வழுவழுப்பான,liscio
599,hart::A,கடினமான,duro
600,weich::A,மென்மையான,molle
601,rund::A,உருண்டையான,rotondo
602,spitz::A,திகந்தமாக,aguzzo
603,spitz::A,திகந்தமாக,appuntito
604,scharf::A,கூரான,affilato
605,scharf::A,கூரான,tagliente
606,stumpf::A,உளம் திறந்த,smussato
607,schwer::A,கனமான,pesante
608,schön::A,அழகான,bello
609,heiß::A,சூடான,caldo
610,heiß::A,சூடான,bollente
611,warm::A,இதமான,caldo
612,kalt::A,குளிர்ச்சியான,freddo
613,kühl::A,குளிர்ச்சியான,fresco
614,frisch::A,சுத்தமான,fresco
615,feucht::A,ஈரமான,ùmido
616,nass::A,ஈரமான,bagnato
617,trocken::A,உலர்ந்த,secco
618,voll::A,நிரம்பிய,pieno
619,leer::A,காலியான,vuoto
620,offen::A,திறந்த,aperto
621,geschlossen::A,மூடப்பட்ட,chiuso
622,sauber::A,சுத்தமான,netto
623,sauber::A,சுத்தமான,pulito
624,schmutzig::A,அழக்கான,sporco
625,schmutzig::A,அழக்கான,sùdicio
626,roh::A,கச்சா,crudo
627,reif::A,பழுத்த,maturo
628,lecker::A,சுவைமிக்க,ghiotto
629,lecker::A,சுவைமிக்க,squisito
630,süß::A,இனிப்பான,dolce
631,bitter::A,கசப்பான,amaro
632,sauer::A,புளிப்பாக,aspro
633,sauer::A,புளிப்பாக,acerbo
634,hell::A,பளபளப்பான,chiaro
635,dunkel::A,கருமையான,buio
636,dunkel::A,கருமையான,oscuro
637,schwarz::A,கருப்பு வண்ண,nero
638,weiß::A,வெண்மையன,bianco
639,rot::A,சிவப்பு,rosso
640,gelb::A,மஞ்சள் வண்ணம்,giallo
641,blau::A,நீல வண்ண,blu
642,blau::A,நீல வண்ண,azzurro
643,grün::A,பச்சை வண்ண,verde
644,grau::A,சாம்பல் நிற,grigio
645,bunt::A,வண்ண மயமான,variopinto
646,billig::A,மலிவான,a buon prezzo
647,billig::A,மலிவான,a buon mercato
648,teuer::A,விலை அதிகமான,caro
649,wertvoll::A,மதிப்புள்ள,prezioso
650,blind::A,பார்வையற்ற,cieco
651,taub::A,செவிடான,sordo
652,kräftig::A,வலிமையான,forte
653,kräftig::A,வலிமையான,robusto
654,stark::A,பலமான,forte
655,stark::A,பலமான,vigoroso
656,schwach::A,பலவீனமான,dèbole
657,fett::A,பருமனாக,grasso
658,schlank::A,ஒல்லியான,snello
659,schlank::A,ஒல்லியான,slanciato
660,hübsch::A,அழகிய,bello
661,hübsch::A,அழகிய,carino
662,böse::A,கேடு விளைவிக்கும்,cattivo
663,dumm::A,முட்டாள்தனமான,stùpido
664,faul::A,சோம்பலான,pigro
665,fleißig::A,ஊக்கந்தளராத,diligente
666,geizig::A,கஞேசத்தனமான,avaro
667,klug::A,சாதுரியமான,intelligente
668,geschickt::A,திறமையள்ள,àbile
669,lieb::A,அன்புக்குரிய,caro
670,lustig::A,களிப்புமிக்க,gaio
671,lustig::A,களிப்புமிக்க,allegro
672,sanft::A,சாதுவான,dolce
673,hungrig::A,பசியுடன்,affamato
674,krank::A,நோயுற்று,malato
675,krank::A,நோயுற்று,infermo
676,nackt::A,ஆடையற்ற,nudo
677,traurig::A,சோகமான,triste
678,lebendig::A,பிழைப்பு,vivo
679,gut::A,நல்ல,buono
680,schlecht::A,கெட்ட,cattivo
681,richtig::A,சரியான,giusto
682,schlimm::A,அருவருப்பான,grave
683,wahr::A,உண்மையான,vero
684,alt::A,பழைய,vecchio
685,neu::A,புதிய,nuovo
686,ehemalig::A,முன்நாள்,vecchio
687,ehemalig::A,முன்நாள்,d'una_volta
688,alt[Lebewesen]::A,வயதான,anziano
689,jung::A,இளமையான,giovane
690,arm::A,ஏழ்மையான,pòvero
691,reich::A,செல்வம் படைத்த,ricco
692,bekannt::A,பழக்கப்பட்ட,noto
693,bekannt::A,பழக்கப்பட்ட,conosciuto
694,berühmt::A,புகழ்பெற்ற,famoso
695,berühmt::A,புகழ்பெற்ற,cèlebre
696,fremd::A,அயல் நாட்டு,estràneo
697,fremd::A,அயல் நாட்டு,straniero
