,Concept_ID,pt,ps
188,Schwarm::N,bando,سېل
189,Schwarm::N,enxame,سېل
190,Huhn::N,galinha,چرګه
191,Hahn::N,galo,چرګ
192,Gans::N,ganso,بته
193,Adler::N,águia,عقاب
194,Ente::N,pata,ایلۍ
195,Eule::N,mocho,ګونګی
196,Eule::N,coruja,ګونګی
197,Kranich::N,grou,کلنګ
198,Krähe::N,gralha,کارغه
199,Kuckuck::N,cuco,فاخته
200,Schwan::N,cisne,قو
201,Fisch::N,peixe,کب
202,Fisch::N,peixe,ماهی
203,Barsch::N,perca,
204,Hecht::N,lúcio,
205,Schlange[Tier]::N,serpente,مار
206,Wurm::N,verme,چینجی
207,Spinne::N,aranha,غڼه
208,Spinne::N,aranha,تارکښ
209,Ameise::N,formiga,مېږی
210,Laus::N,piolho,سپږه
211,Mücke::N,mosquito,ماشی
212,Fliege::N,mosca,مچ
213,Schmetterling::N,borboleta,پتنګ
214,Beere::N,bago,مېوۍ
215,Apfel::N,maçã,مڼه
216,Pilz::N,fungo,خرېړی
217,Pilz::N,cogumelo,خرېړی
218,Zwiebel::N,cebola,پیاز
219,Saat::N,sementeira,تخم
220,Korn::N,grão,تخم
221,Korn::N,grão,دانه
222,Heu::N,feno,بوس
223,Heu::N,feno,پروړه
224,Schale::N,casca,پوستکی
225,Grube::N,cova,کنده
226,Grube::N,fossa,کنده
227,Falle::N,armadilha,دام
228,Falle::N,armadilha,لومه
229,Schlinge::N,laço,کړۍ
230,Spur::N,pista,نښه
231,Spur::N,vestígio,نښه
232,Asche::N,cinza,آس
233,Asche::N,cinza,ایره
234,Dreck::N,sujidade,ناپاکي
235,Eisen::N,ferro,اوسپنه
236,Gold::N,ouro,سره زر
237,Silber::N,prata,نقره
238,Silber::N,prata,سپین زر
239,Kohle::N,carvão,سکور
240,Kohle::N,carvão,سکاره
241,Glas::N,vidro,ښيښه
242,Lehm::N,barro,خټه
243,Lehm::N,argila,خټه
244,Sand::N,areia,شګه
245,Mensch::N,homem,انسان
246,Mensch::N,pessoa,انسان
247,Mann::N,homem,سړی
248,Mann::N,homem,نارینه
249,Frau::N,mulher,ښځه
250,Kind::N,filho,بچی
251,Kind::N,filho,ماشوم
252,Kind::N,criança,بچی
253,Kind::N,criança,ماشوم
254,Junge::N,rapaz,هلک
255,Junge::N,menino,هلک
256,Mädchen::N,menina,نجلۍ
257,Mädchen::N,rapariga,نجلۍ
258,Familie::N,família,کورنۍ
259,Großvater::N,avô,بابا
260,Großmutter::N,avó,انا
261,Eltern::N,pais,مور او پلار
262,Vater::N,pai,پلار
263,Mutter::N,mãe,مور
264,Sohn::N,filho,زوی
265,Tochter::N,filha,لور
266,Bruder::N,irmão,ورور
267,Schwester::N,irmã,خور
268,Onkel::N,tio,تره
269,Onkel::N,tio,ماما
270,Tante::N,tia,خاله
271,Ehemann::N,esposo,مېړه
272,Ehefrau::N,esposa,مېرمن
273,Freude::N,prazer,خوشحالي
274,Freude::N,alegria,خوشحالي
275,Gelächter::N,risada,خندا
276,Gelächter::N,gargalhada,خندا
277,Glück::N,felicidade,بخت
278,Kummer::N,aflição,غم
279,Kummer::N,desgosto,غم
280,Wunsch::N,desejo,هيله
281,Wunsch::N,desejo,غوښتنه
282,Lust::N,vontade,شوق
283,Lust::N,vontade,مینه
284,Geist::N,mente,روح
285,Geist::N,espírito,روح
286,Gedanke::N,ideia,فکر
287,Gedanke::N,pensamento,فکر
288,Gedächtnis::N,memória,یاد
289,Gedächtnis::N,memória,حافظه
290,Verstand::N,razão,عقل
291,Verstand::N,razão,شعور
292,Verstand::N,inteligência,عقل
293,Verstand::N,inteligência,شعور
294,Sinn::N,sentido,معنی
295,Sinn::N,significado,معنی
296,Grund::N,causa,علت
297,Grund::N,causa,اساس
298,Grund::N,motivo,علت
299,Grund::N,motivo,اساس
300,Wahrheit::N,verdade,حقیقت
301,Gespräch::N,conversa,مرکه
302,Gespräch::N,conversa,خبرې اترې
303,Gespräch::N,conversação,مرکه
304,Gespräch::N,conversação,خبرې اترې
305,Märchen::N,conto,افسانه
306,Erzählung::N,conto,قصه
307,Erzählung::N,conto,کیسه
308,Erzählung::N,narrativa,قصه
309,Erzählung::N,narrativa,کیسه
310,Nachricht::N,mensagem,خبر
311,Neuigkeit::N,notícia,نوی خبر
312,Neuigkeit::N,novidade,نوی خبر
313,Name::N,nome,نوم
314,Rätsel::N,adivinha,کیسۍ
315,Rätsel::N,adivinha,چیستان
316,Rede::N,oração,وینا
317,Rede::N,discurso,وینا
318,Sprache::N,língua,ژبه
319,Stimme::N,voz,غږ
320,Stimme::N,voz,اواز
321,Wort::N,palavra,لغت
322,Wort::N,palavra,کلمه
323,Zeichen::N,marca,نښه
324,Zeichen::N,marca,اشاره
325,Ruf::N,grito,ږغ
326,Ruf::N,grito,بلنه
327,Ruf::N,chamada,ږغ
328,Ruf::N,chamada,بلنه
329,Lärm::N,ruído,غالمغال
330,Lärm::N,barulho,غالمغال
331,Laut::N,som,ږغ
332,Ton::N,tom,اواز
333,Lied::N,canção,غزله
334,Lied::N,canção,سندره
335,Ruhe::N,calma,ارامي
336,Ruhe::N,silêncio,ارامي
337,Leute::N,gente,خلک
338,Leute::N,pessoas,خلک
339,Volk::N,povo,ولس
340,Volk::N,nação,ولس
341,Arbeit::N,trabalho,کار
342,Gast::N,hóspede,مېلمه
343,Gast::N,convidado,مېلمه
344,Geschenk::N,prenda,تحفه
345,Geschenk::N,prenda,سوغات
346,Geschenk::N,presente,تحفه
347,Geschenk::N,presente,سوغات
348,Spiel::N,jogo,لوبه
349,Gesellschaft::N,companhia,ډله
350,Hilfe::N,ajuda,کومک
351,Hilfe::N,ajuda,مرسته
352,Hilfe::N,socorro,کومک
353,Hilfe::N,socorro,مرسته
354,Freund::N,amigo,ملګری
355,Kamerad::N,camarada,انډيوال
356,Angelegenheit::N,assunto,موضوع
357,Anzahl::N,número,شمېر
358,Anzahl::N,número,تعداد
359,Anzahl::N,quantidade,شمېر
360,Anzahl::N,quantidade,تعداد
361,Art::N,tipo,ډول
362,Art::N,espécie,ډول
363,Stück::N,pedaço,ټوټه
364,Teil::N,peça,برخه
365,Teil::N,parte,برخه
366,Hälfte::N,metade,نیم
367,Kreis::N,círculo,دایره
368,Kreuz::N,cruz,صلیب
369,Linie::N,linha,خط
370,Linie::N,linha,لیکه
371,Strich::N,traço,کرښه
372,Abstand::N,distância,فاصله
373,Entfernung::N,distância,واټن
374,Gegend::N,área,سیمه
375,Gegend::N,área,منطقه
376,Gegend::N,região,سیمه
377,Gegend::N,região,منطقه
378,Platz::N,lugar,ځای
379,Ort::N,sítio,ځای
380,Seite::N,lado,مخ
381,Seite::N,lado,اړخ
382,Mitte::N,meio,وسط
383,Mitte::N,meio,مینځ
384,Gegenstand::N,objecto,شی
385,Sache::N,coisa,شی
386,Sache::N,coisa,څيز
387,Rand::N,bordo,څنډه
388,Rand::N,bordo,کناره
389,Rand::N,margem,څنډه
390,Rand::N,margem,کناره
391,Kante::N,borda,اړخ
392,Kante::N,aresta,اړخ
393,Ecke::N,esquina,ګوټ
394,Spitze::N,ponta,څوکه
395,Ende::N,cabo,څوکه
396,Ende::N,extremo,څوکه
397,Loch::N,furo,سوری
398,Loch::N,buraco,سوری
399,Winkel::N,canto,کنج
400,Winkel::N,canto,کوتی
401,Winkel::N,ângulo,کنج
402,Winkel::N,ângulo,کوتی
403,Muster::N,padrão,نمونه
404,Muster::N,desenho,نمونه
405,Größe::N,tamanho,قد
406,Größe::N,tamanho,لويوالی
407,Länge::N,comprimento,طول
408,Länge::N,comprimento,اوږد والی
409,Höhe::N,altura,جګوالی
410,Höhe::N,altitude,جګوالی
411,Gewicht::N,peso,وزن
412,Menge::N,quantidade,اندازه
413,Haufen::N,pilha,کوټه
414,Reihe::N,fila,صف
415,Reihe::N,fila,کتار
416,Boot::N,barco,قايق
417,Ruder::N,remo,چپه
418,Schlitten::N,trenó,ښویېدونی
419,Ski::N,esqui,سکي
420,Lagerfeuer::N,fogueira,اور
421,Last::N,carga,بار
422,Last::N,carga,پېټی
423,Gang::N,curso,تګ
424,Gang::N,caminhada,تګ
425,Schritt::N,passo,ګام
426,Norden::N,norte,شمال
427,Süden::N,sul,سوېل
428,Westen::N,oeste,لوېدېځ
429,Westen::N,ocidente,لوېدېځ
430,Osten::N,este,شرق
431,Osten::N,este,ختیځ
432,Osten::N,leste,شرق
433,Osten::N,leste,ختیځ
434,Osten::N,oriente,شرق
435,Osten::N,oriente,ختیځ
436,Holz::N,madeira,لرګی
437,Brett::N,tábua,تخته
438,Brett::N,prancha,تخته
439,Platte::N,laje,تخته
440,Platte::N,chapa,تخته
441,Stütze::N,apoio,تکیوان
442,Stütze::N,suporte,تکیوان
443,Stange::N,vara,ډاګه
444,Stange::N,barra,ډاګه
445,Stock::N,pau,لرګی
446,Stock::N,bengala,لرګی
447,Stab::N,bastão,چيخله
448,Rohr::N,cano,نل
449,Haus::N,casa,کور
450,Heim::N,lar,کور
451,Heim::N,casa,کور
452,Ofen::N,estufa,تودنۍ
453,Ofen::N,aquecedor,تودنۍ
454,Fußboden::N,piso,غولی
455,Tisch::N,mesa,مېز
456,Stuhl::N,cadeira,چوکۍ
457,Wiege::N,berço,زانګو
458,Bett::N,cama,کټ
459,Bett::N,cama,چپرکټ
460,Regal::N,estante,تاخچۍ
461,Regal::N,prateleira,تاخچۍ
462,Kiste::N,caixa,صندوق
463,Fenster::N,janela,کړکۍ
464,Tür::N,porta,دروازه
465,Tor::N,portão,دروازه
466,Zaun::N,cerca,کټاره
467,Zaun::N,vedação,کټاره
468,Dach::N,telhado,بام
469,Leiter::N,escada,زينه
470,Leiter::N,escada móvel,زينه
471,Besen::N,vassoura,جارو
472,Spaten::N,pá,یوم
473,Schaufel::N,pá,بېلچه
474,Gabel::N,garfo,پنجه
475,Löffel::N,colher,کاشوغه
476,Messer::N,faca,چاقو
477,Nagel::N,cravo,ميخ
478,Netz::N,rede,جال
479,Haken::N,gancho,څنګک
480,Griff::N,asa,لاستی
481,Griff::N,cabo,لاستی
482,Schloss::N,fechadura,کلپ
483,Bild::N,imagem,رسم
484,Figur::N,figura,قدوقامت
485,Puppe::N,boneca,ګوډۍ
486,Beutel::N,saco,کڅوړه
487,Beutel::N,bolsa,کڅوړه
488,Bündel::N,fardo,دسته
489,Tasche::N,saco,بکس
490,Tasche::N,saco,توبره
491,Tasche::N,bolso,بکس
492,Tasche::N,bolso,توبره
493,Eimer::N,balde,سطل
494,Deckel::N,tampa,سرپوښ
495,Geschirr::N,louça,لوښی
496,Sack::N,saca,جوال
497,Tasse::N,chávena,پیاله
498,Topf::N,tacho,دېګی
499,Topf::N,panela,دېګی
500,Kessel::N,caldeira,دېګ
501,Essen::N,refeição,خوراک
502,Nahrung::N,comida,خوراک
503,Nahrung::N,alimento,خوراک
504,Speise::N,prato,خواړه
505,Fleisch::N,carne,غوښه
506,Getreide::N,cereais,غله
507,Brei::N,puré,اوګره
508,Brot::N,pão,ډوډۍ
509,Scheibe::N,fatia,مړۍ
510,Fett::N,banha,غوړي
511,Fett::N,gordura,غوړي
512,Butter::N,manteiga,کوچ
513,Öl::N,azeite,تېل
514,Salz::N,sal,مالګه
515,Suppe::N,sopa,شوربا
516,Suppe::N,caldo,شوربا
517,Honig::N,mel,شات
518,Milch::N,leite,شوده
519,Tee::N,chá,چای
520,Leder::N,couro,څرمن
521,Wolle::N,lã,پشم
522,Stoff::N,pano,ټوټه
523,Stoff::N,tecido,ټوټه
524,Nadel::N,agulha,ستن
525,Faden::N,fio,تار
526,Knopf::N,botão,تڼۍ
527,Knopf::N,botão,تکمه
528,Knoten::N,nó,غوټه
529,Farbe::N,corante,رنګ
530,Kleidung::N,roupa,کالي
531,Kleidung::N,vestuário,کالي
532,Hemd::N,camisa,کميس
533,Kragen::N,gola,غاړه
534,Ärmel::N,manga,لستوڼی
535,Hose::N,calça,پطلون
536,Gürtel::N,cinto,کمربند
537,Mütze::N,boné,خولۍ
538,Mütze::N,barrete,خولۍ
539,Schuh::N,sapato,بوټ
540,Stiefel::N,bota,موزه
541,Ring::N,anel,ګوته
542,Band::N,fita,فيته
543,Band::N,faixa,فيته
544,Kamm::N,pente,ګمنځ
545,Spiegel::N,espelho,ایینه
546,Spiegel::N,espelho,هنداره
547,Riemen::N,correia,تسمه
548,Schnur::N,corda,مزی
549,Schnur::N,cordel,مزی
550,Leine::N,trela,رسۍ
551,Decke::N,cobertor,بړستن
552,Kissen::N,almofada,بالښت
553,Tuch::N,pano,ټیکری
554,Handtuch::N,toalha,دسمال
555,Kraft::N,força,زور
556,Kraft::N,força,توان
557,Stärke::N,força,قوت
558,Gesundheit::N,saúde,صحت
559,Gesundheit::N,saúde,روغتیا
560,Krankheit::N,doença,مرض
561,Krankheit::N,doença,ناروغي
562,Krankheit::N,enfermidade,مرض
563,Krankheit::N,enfermidade,ناروغي
564,Schmerz::N,dor,درد
565,Wunde::N,chaga,ټپ
566,Wunde::N,chaga,زخم
567,Wunde::N,ferida,ټپ
568,Wunde::N,ferida,زخم
569,Fieber::N,febre,تبه
570,Arznei::N,remédio,دوا
571,Arznei::N,remédio,دارو
572,Brücke::N,ponte,پول
573,Brunnen::N,poço,څاه
574,Brunnen::N,poço,کوهی
575,Weide::N,pastagem,وله
576,Pfad::N,senda,تړه
577,Pfad::N,trilho,تړه
578,Weg::N,caminho,لیار
579,Straße::N,via,سړک
580,Straße::N,estrada,سړک
581,Dorf::N,aldeia,کلی
582,Stadt::N,cidade,ښار
583,Brief::N,carta,لیک
584,Brief::N,carta,مکتوب
585,Buch::N,livro,کتاب
586,Buchstabe::N,letra,حرف
587,Buchstabe::N,letra,توری
588,Zeitung::N,jornal,اخبار
589,Leben::N,vida,ژوند
590,Tod::N,morte,مرګ
591,Tod::N,morte,مړینه
592,Grab::N,túmulo,قبر
593,Grab::N,túmulo,ډورۍ
594,Grab::N,sepultura,قبر
595,Grab::N,sepultura,ډورۍ
596,Kirche::N,igreja,کلیسا
597,Sünde::N,pecado,ګناه
598,Gott::N,deus,خدای
599,Arbeiter::N,operário,کاریګر
600,Arbeiter::N,trabalhador,کاریګر
601,Chef::N,chefe,آمر
602,Chef::N,patrão,آمر
603,Meister::N,mestre,استاد
604,Arzt::N,médico,طبیب
605,Arzt::N,médico,ډاکټر
606,Lehrer::N,professor,معلم
607,Lehrer::N,professor,ښوونکی
608,Geld::N,dinheiro,پیسې
609,Geschäft::N,negócio,سوداګري
610,Laden::N,loja,دکان
611,Laden::N,loja,مغازه
612,Preis::N,preço,بیه
613,Ware::N,mercadoria,مال
614,Nutzen::N,proveito,ګټه
615,Reichtum::N,riqueza,شتمني
616,Welt::N,mundo,نړۍ
617,Welt::N,mundo,دنیا
618,Land::N,país,هېواد
619,Staat::N,Estado,دولت
620,König::N,rei,باچا
621,König::N,rei,پادشاه
622,Macht::N,poder,قدرت
623,Macht::N,potência,قدرت
624,Grenze::N,fronteira,حد
625,Grenze::N,fronteira,سرحد
626,Krieg::N,guerra,جګړه
627,Feind::N,inimigo,دښمن
628,Gewalt::N,violência,زور
629,Gewalt::N,violência,تشدد
630,Kampf::N,luta,جنګ
631,Kampf::N,luta,مبارزه
632,Kampf::N,combate,جنګ
633,Kampf::N,combate,مبارزه
634,Bogen[Waffe]::N,arco,لیندۍ
635,Pfeil::N,seta,غشی
636,Pfeil::N,flecha,غشی
637,Gewehr::N,espingarda,ټوپک
638,Fehler::N,erro,خطا
639,Fehler::N,erro,غلطي
640,Fehler::N,falha,خطا
641,Fehler::N,falha,غلطي
642,Lüge::N,mentira,دروغ
643,Schaden::N,dano,زیان
644,Schaden::N,dano,تاوان
645,Schaden::N,estrago,زیان
646,Schaden::N,estrago,تاوان
647,Unglück::N,desgraça,بدبختي
648,Schuld::N,culpa,ګناه
649,Alter::N,idade,منګ
650,Schluss::N,fim,اخر
651,Zeit::N,tempo,وخت
652,Tag::N,dia,ورځ
653,Morgen::N,manhã,سبا
654,Morgen::N,manhã,سهار
655,Mittag::N,meio-dia,غرمه
656,Abend::N,noite,ماښام
657,Abend::N,tardinha,ماښام
658,Nacht::N,noite,شپه
659,Woche::N,semana,اونۍ
660,Monat::N,mês,مياشت
661,Jahr::N,ano,کال
662,Frühling::N,primavera,پسرلی
663,Sommer::N,verão,دوبی
664,Herbst::N,outono,منی
665,Herbst::N,outono,خزان
666,Winter::N,inverno,ژمی
667,Januar::N,Janeiro,جنوري
668,Februar::N,Fevereiro,فبروري
669,März::N,Março,مارچ
670,April::N,Abril,اپریل
671,Mai::N,Maio,مې
672,Juni::N,Junho,جون
673,Juli::N,Julho,جولای
674,August::N,Agosto,اګست
675,September::N,Setembro,سپټامبر
676,Oktober::N,Outubro,اکتوبر
677,November::N,Novembro,نومبر
678,Dezember::N,Dezembro,دسمبر
679,Montag::N,segunda-feira,دوشنبه
680,Dienstag::N,terça-feira,سه شنبه
681,Mittwoch::N,quarta-feira,چارشنبه
682,Donnerstag::N,quinta-feira,پنجشنبه
683,Freitag::N,sexta-feira,جمعه
684,Samstag::N,sábado,خالي
685,Sonntag::N,domingo,یکشنبه
686,groß::A,grande,لوی
687,klein::A,pequeno,وړوکی
688,lang::A,comprido,اوړد
689,kurz::A,curto,لنډ
690,breit::A,largo,پراخه
691,schmal::A,estreito,تنګ
692,dicht::A,denso,ګڼ
693,dick[Gegenstand]::A,grosso,پنډ
694,dünn::A,delgado,نری
695,fein::A,fino,نازک
696,fein::A,subtil,نازک
697,fest::A,firme,کلک
698,fest::A,firme,ټینګ
699,fest::A,sólido,کلک
700,fest::A,sólido,ټینګ
701,flach::A,plano,هوار
702,glatt::A,liso,ښوی
703,hart::A,duro,کلک
704,weich::A,mole,نرم
705,weich::A,mole,پوست
706,rund::A,redondo,ګرد
707,spitz::A,agudo,تېره
708,scharf::A,afiado,تېز
709,scharf::A,afiado,تېره
710,stumpf::A,rombo,پڅ
711,schwer::A,pesado,دروند
712,schön::A,belo,ښکلی
713,schön::A,bonito,ښکلی
714,heiß::A,quente,تود
715,warm::A,quente,تود
716,kalt::A,frio,ېخ
717,kalt::A,frio,سوړ
718,kühl::A,fresco,ېخ
719,kühl::A,fresco,سوړ
720,frisch::A,fresco,تازه
721,feucht::A,húmido,مرطوب
722,nass::A,molhado,لوند
723,trocken::A,seco,وچ
724,voll::A,cheio,ډک
725,leer::A,vazio,خالی
726,offen::A,aberto,خلاص
727,offen::A,aberto,پرانیستی
728,geschlossen::A,fechado,تړلی
729,sauber::A,limpo,پاک
730,schmutzig::A,sujo,چټل
731,roh::A,cru,خام
732,reif::A,maduro,پوخ
733,reif::A,maduro,رسېدلی
734,lecker::A,delicioso,خوندور
735,lecker::A,delicioso,مزه دار
736,süß::A,doce,خوږ
737,süß::A,doce,شیرین
738,bitter::A,amargo,تریخ
739,sauer::A,azedo,ټاک
740,sauer::A,azedo,تريو
741,hell::A,claro,روڼ
742,hell::A,claro,روښان
743,dunkel::A,escuro,تیاره
744,dunkel::A,sombrio,تیاره
745,schwarz::A,preto,تور
746,weiß::A,branco,سپين
747,rot::A,vermelho,سور
748,gelb::A,amarelo,زېړ
749,blau::A,azul,شین
750,blau::A,azul,اسماني رنګه
751,grün::A,verde,زرغون
752,grau::A,cinzento,خړ
753,bunt::A,colorido,رنګارنګ
754,billig::A,barato,ارزان
755,teuer::A,caro,ګران
756,wertvoll::A,valioso,قیمتي
757,wertvoll::A,precioso,قیمتي
758,blind::A,cego,ړوند
759,taub::A,surdo,کوڼ
760,kräftig::A,forte,قوی
761,kräftig::A,poderoso,قوی
762,stark::A,forte,قوی
763,stark::A,forte,تکړه
764,stark::A,robusto,قوی
765,stark::A,robusto,تکړه
766,schwach::A,débil,ضعیف
767,schwach::A,débil,کمزوری
768,fett::A,gordo,چاغ
769,schlank::A,esbelto,خوش اندام
770,hübsch::A,giro,ښکلی
771,hübsch::A,giro,ښایسته
772,hübsch::A,bonito,ښکلی
773,hübsch::A,bonito,ښایسته
774,böse::A,mau,شریر
775,böse::A,mau,قهرناک
776,dumm::A,parvo,احمق
777,dumm::A,estúpido,احمق
778,faul::A,preguiçoso,لټ
779,faul::A,preguiçoso,تنبل
780,fleißig::A,aplicado,زحمت کښ
781,fleißig::A,diligente,زحمت کښ
782,geizig::A,avarento,بخیل
783,klug::A,prudente,عاقل
784,klug::A,prudente,هوښیار
785,klug::A,inteligente,عاقل
786,klug::A,inteligente,هوښیار
787,geschickt::A,hábil,ماهر
788,lieb::A,caro,عزیز
789,lieb::A,caro,محبوب
790,lieb::A,querido,عزیز
791,lieb::A,querido,محبوب
792,lustig::A,alegre,خوشحال
793,sanft::A,suave,پوست
794,sanft::A,suave,ملایم
795,sanft::A,brando,پوست
796,sanft::A,brando,ملایم
797,hungrig::A,faminto,وږی
798,krank::A,doente,مريض
799,krank::A,doente,ناروغ
800,krank::A,enfermo,مريض
801,krank::A,enfermo,ناروغ
802,nackt::A,nu,لوڅ
803,nackt::A,despido,لوڅ
804,traurig::A,triste,غمجن
805,lebendig::A,vivo,ژوندی
806,gut::A,bom,ښه
807,schlecht::A,mau,بد
808,schlecht::A,mau,خراب
809,schlecht::A,ruim,بد
