,Concept_ID,os,sq
53,Knochen::N,стӕг,asht
54,Knochen::N,стӕг,kockë
55,Gehirn::N,магъз,tru
56,Herz::N,зӕрдӕ,zemër
57,Magen::N,ахсӕн,stomak
58,Leber::N,игæр,mëlçi
59,Atem::N,улӕфт,frymë
60,Hunger::N,стонг,uri
61,Träne::N,цæссыг,lot
62,Geschmack::N,ад,shije
63,Geruch::N,смаг,erë
64,Schlaf::N,хуыссӕг,gjumë
65,Traum::N,фын,ëndërr
66,Himmel::N,арв,qiell
67,Himmel::N,уӕларв,qiell
68,Sonne::N,хур,diell
69,Mond::N,мӕй,hënë
70,Stern::N,стъалы,yll
71,Luft::N,уӕлдӕф,ajër
72,Wind::N,дымгӕ,erë
73,Welle::N,уылӕн,valë
74,Welle::N,уылӕн,dallgë
75,Wasser::N,дон,ujë
76,Stein::N,дур,gur
77,Boden::N,зӕхх,tokë
78,Boden::N,зӕхх,truall
79,Erde::N,сыджыт,dhe
80,Erde::N,сыджыт,baltë
81,Staub::N,рыг,pluhur
82,Rauch::N,фӕздӕг,tym
83,Funke::N,цӕхӕр,xixë
84,Funke::N,цӕхӕр,shkëndijë
85,Feuer::N,зынг,zjarr
86,Licht::N,рухс,dritë
87,Schatten::N,аууон,hije
88,Wetter::N,боныхъӕд,mot
89,Nebel::N,мигъ,mjegull
90,Wolke::N,ӕврагъ,re
91,Regen::N,уарын,shi
92,Schnee::N,мит,borë
93,Eis::N,их,akull
94,Frost::N,ихæн,ngricë
95,Kälte::N,уазал,të ftohtë
96,Hitze::N,ӕнтӕф,vapë
97,Hitze::N,ӕнтӕф,nxehtësi
98,Raureif::N,халас,cikmë
99,Regenbogen::N,арвырон,ylber
100,Regenbogen::N,арвырдын,ylber
101,Donner::N,æрвнæрын,gjëmim
102,Donner::N,æрвнæрын,bubullimë
103,Strömung::N,цыд,rrymë
104,Tropfen::N,æртах,pikë
105,Schaum::N,фынк,shkumë
106,Schmutz::N,цъыф,baltë
107,See::N,цад,liqen
108,Sumpf::N,цъыфдзаст,batak
109,Moor::N,цъыфдзаст,kënetë
110,Wiese::N,уыгӕрдӕн,livadh
111,Wald::N,хъӕд,pyll
112,Hügel::N,обау,kodër
113,Hügel::N,къуыбыр,kodër
114,Anhöhe::N,уæлвæз,bregore
115,Anhöhe::N,уæлхох,bregore
116,Berg::N,хох,mal
117,Gipfel::N,цъупп,kulm
118,Höhle::N,лӕгӕт,shpellë
119,Höhle::N,лӕгӕт,zgafelle
120,Abhang::N,къул,shpat
121,Abhang::N,къул,tatëpjetë
122,Quelle::N,суадон,krua
123,Quelle::N,суадон,burim
124,Bach::N,мӕсчъыдон,virua
125,Fluss::N,дон,lumë
126,Fluss::N,цӕугӕдон,lumë
127,Ufer::N,был,breg
128,Küste::N,донбыл,anëdet
129,Küste::N,донбыл,bregdet
130,Festland::N,сурзæхх,kontinent
131,Meer::N,денджыз,det
132,Bucht::N,донбакæлæн,gji deti
133,Insel::N,сакъадах,ishull
134,Insel::N,сакъадах,ujdhesë
135,Blume::N,дидинӕг,lule
136,Gras::N,кӕрдӕг,bar
137,Wurzel::N,уидаг,rrënjë
138,Baum::N,бӕлас,pemë
139,Stamm::N,хӕтӕл,trung
140,Rinde::N,цъар,lëvore
141,Ast::N,арх,degë
142,Zweig::N,къалиу,bisk
143,Blatt::N,сыф,fletë
144,Blatt::N,сыф,gjethe
145,Birke::N,бæрз,mështekën
146,Kiefer[Baum]::N,нӕзы,pishë
147,Weide[Baum]::N,хӕрис,shelg
148,Tanne::N,наз,bredh
149,Horn::N,сыкъа,bri
150,Feder::N,сис,pupël
151,Fell::N,царм,lëkurë
152,Flügel::N,базыр,krah
153,Flügel::N,базыр,fletë
154,Klaue::N,ных,kthetër
155,Kralle::N,дзӕмбы,thua
156,Kralle::N,дзӕмбы,kthetër
157,Schwanz::N,къӕдзил,bisht
158,Ei::N,айк,vezë
159,Nest::N,ахстон,fole
160,Bau::N,хуынкъ,strofkë
161,Tier::N,сырд,kafshë
162,Tier::N,цӕрӕгой,kafshë
163,Herde::N,дзуг,kope
164,Herde::N,дзуг,grigjë
165,Herde::N,рӕгъау,kope
166,Herde::N,рӕгъау,grigjë
167,Kuh::N,хъуг,lopë
168,Bulle::N,гал,dem
169,Pferd::N,бӕх,kalë
170,Schaf::N,фыс,dele
171,Schwein::N,хуы,derr
172,Hund::N,куыдз,qen
173,Katze::N,гӕды,mace
174,Bär::N,арс,ari
175,Eichhörnchen::N,æхсæрæг,ketër
176,Elch::N,цæгатаг саг,dre brilopatë
177,Fuchs::N,рувас,dhelpër
178,Hase::N,тæрхъус,lepur
179,Maus::N,мыст,mi
180,Wolf::N,бирӕгъ,ujk
181,Vogel::N,цъиу,zog
182,Vogel::N,цъиу,shpend
183,Vogel::N,маргъ,zog
184,Vogel::N,маргъ,shpend
185,Schwarm::N,бал,luzmë
186,Huhn::N,карк,pulë
187,Hahn::N,уасӕг,gjel
188,Hahn::N,уасӕг,këndes
189,Gans::N,хъаз,patë
190,Adler::N,цӕргӕс,shqiponjë
191,Ente::N,ацц,rosë
192,Eule::N, уыг,buf
193,Eule::N,сидахъ,buf
194,Kranich::N,зырнæг,lejlek
195,Kranich::N,зырнæг,kurrillë
196,Kranich::N,хърихъупп,lejlek
197,Kranich::N,хърихъупп,kurrillë
198,Krähe::N,халон,sorrë
199,Kuckuck::N,гаккук,qyqe
200,Schwan::N,доныхъаз,mjellmë
201,Fisch::N,кӕсаг,peshk
202,Barsch::N,окунь,purtekë
203,Hecht::N,хихор кӕсаг,mlysh
204,Schlange[Tier]::N,калм,gjarpër
205,Wurm::N,зулкъ,krimb
206,Wurm::N,къуыдыргалм,krimb
207,Spinne::N,хӕлуарӕг,marimangë
208,Ameise::N,мæлдзыг,thnegël
209,Ameise::N,мæлдзыг,milingonë
210,Laus::N,сыст,morr
211,Mücke::N,къогъо,kunup
212,Mücke::N,къогъо,mushkonjë
213,Fliege::N,бындз,mizë
214,Schmetterling::N,гæлæбу,flutur
215,Beere::N,гагадыргъ,frutë
216,Beere::N,гагадыргъ,manaferrë
217,Apfel::N,фӕткъуы,mollë
218,Pilz::N,зокъо,kërpudhë
219,Pilz::N,къозо,kërpudhë
220,Zwiebel::N,хъӕдындз,qepë
221,Saat::N,тауинаг,farë
222,Saat::N,мыггаг,farë
223,Korn::N,мыггаг,grurë
224,Korn::N,мыггаг,kokërr
225,Korn::N,тауинаг,grurë
226,Korn::N,тауинаг,kokërr
227,Heu::N,хос,sanë
228,Schale::N,цъар,lëkurë
229,Grube::N,урм,gropë
230,Grube::N,къахт,gropë
231,Grube::N,дзыхъхъ,gropë
232,Falle::N,цъысым,kurth
233,Falle::N,цъысым,grackë
234,Falle::N,къӕппӕг,kurth
235,Falle::N,къӕппӕг,grackë
236,Schlinge::N,цасм,nyjë
237,Spur::N,фæд,gjurmë
238,Asche::N,фӕнык,hi
239,Asche::N,ӕртхутӕг,hi
240,Dreck::N,цъыф,baltë
241,Eisen::N,ӕфсӕйнаг,hekur
242,Gold::N,сыгъзӕрин,ar
243,Gold::N,сыгъзӕрин,flori
244,Silber::N,ӕвзист,argjend
245,Kohle::N,ӕвзалы,qymyr
246,Glas::N,авг,qelq
247,Lehm::N,ӕлыг,argjilë
248,Sand::N,змис,rërë
249,Mensch::N,лӕг,njeri
250,Mensch::N,адӕймаг,njeri
251,Mensch::N,удгоймаг,njeri
252,Mann::N,лӕг,burrë
253,Mann::N,лӕг,mashkull
254,Mann::N,нӕлгоймаг,burrë
255,Mann::N,нӕлгоймаг,mashkull
256,Frau::N,сылгоймаг,grua
257,Frau::N,сылгоймаг,femër
258,Kind::N,сывӕллон,kalama
259,Junge::N,лӕппу,djalë
260,Mädchen::N,чызг,gocë
261,Mädchen::N,чызг,vajzë
262,Familie::N,бинонтæ,familje
263,Großvater::N,фыдыфыд,gjysh
264,Großvater::N,мадыфыд,gjysh
265,Großmutter::N,фыды мад,gjyshe
266,Großmutter::N,мады мад,gjyshe
267,Eltern::N,ныййарджытæ,prindër
268,Vater::N,фыд,atë
269,Mutter::N,мад,nënë
270,Sohn::N,фырт,bir
271,Tochter::N,чызг,bijë
272,Bruder::N,ӕфсымӕр,vëlla
273,Schwester::N,хо,motër
274,Onkel::N,фыдыфсымӕр,dajë
275,Onkel::N,фыдыфсымӕр,xhaxha
276,Tante::N,мадыхо,teze
277,Tante::N,мадыхо,hallë
278,Ehemann::N,мой,burrë
279,Ehemann::N,мой,bashkëshort
280,Ehefrau::N,ус,grua
281,Ehefrau::N,ус,bashkëshorte
282,Freude::N,цин,gaz
283,Freude::N,цин,gëzim
284,Freude::N,циндзинад,gaz
285,Freude::N,циндзинад,gëzim
286,Gelächter::N,худын,qeshje
287,Gelächter::N,худт,qeshje
288,Gelächter::N,худæг,qeshje
289,Glück::N,амонд,lumturi
290,Kummer::N,хъыг,brengë
291,Kummer::N,хъыг,pikëllim
292,Wunsch::N,бӕллиц,dëshirë
293,Lust::N,монц,epsh
294,Lust::N,монц,dashuri
295,Geist::N,уд,frymë
296,Geist::N,уд,shpirt
297,Gedanke::N,хъуыды,ide
298,Gedanke::N,хъуыды,mendim
299,Gedächtnis::N,мысæн,kujtesë
300,Gedächtnis::N,мысын,kujtesë
301,Gedächtnis::N,зæрдылдарын,kujtesë
302,Verstand::N,зонд,mend
303,Sinn::N,нысаниуæг,kuptim
304,Grund::N,ӕфсон,arsye
305,Wahrheit::N,æцæг,vërtetë
306,Gespräch::N,ныхас,bisedim
307,Märchen::N,аргъау,përrallë
308,Erzählung::N,радзырд,tregim
309,Nachricht::N,уац,lajm
310,Neuigkeit::N,хабар,risi
311,Name::N,ном,emër
312,Rätsel::N,уыци-уыци,gjëzë
313,Rätsel::N,уыци-уыци,gjëegjëzë
314,Rätsel::N,базон-базон,gjëzë
315,Rätsel::N,базон-базон,gjëegjëzë
316,Rede::N,раныхас,fjalim
317,Sprache::N,ӕвзаг,gjuhë
318,Stimme::N,хъӕлӕс,zë
319,Wort::N,дзырд,fjalë
320,Zeichen::N,нысан,shenjë
321,Ruf::N,сидт,thirrmë
322,Lärm::N,уынæр,zhurmë
323,Laut::N,зӕл,tingull
324,Laut::N,мыр,tingull
325,Ton::N,мыр,ton
326,Lied::N,зарӕг,këngë
327,Ruhe::N,æнцой,qetësi
328,Leute::N,адӕм,botë
329,Leute::N,адӕм,njerëz
330,Volk::N,адӕм,popull
331,Arbeit::N,фӕллой,punë
332,Gast::N,уазӕг,mik
333,Gast::N,уазӕг,mysafir
334,Geschenk::N,хуын,dhuratë
335,Geschenk::N,хуын,peshqesh
336,Spiel::N,хъазт,lojë
337,Gesellschaft::N,дзыллæ,shoqëri
338,Gesellschaft::N,æхсæнад,shoqëri
339,Hilfe::N,æххуыс,ndihmë
340,Hilfe::N,ахъаз,ndihmë
341,Freund::N,лымӕн,mik
342,Kamerad::N,ӕмбал,shok
343,Angelegenheit::N,хъуыддаг,punë
344,Anzahl::N,бӕрц,sasi
345,Art::N,хуыз,lloj
346,Art::N,хуызад,lloj
347,Stück::N,кæрдих,copë
348,Stück::N,комдзаг,copë
349,Teil::N,хай,pjesë
350,Hälfte::N,æрдæг,gjysmë
351,Hälfte::N,æмбис,gjysmë
352,Kreis::N,зиллакк,qark
353,Kreis::N,зиллакк,rreth
354,Kreuz::N,дзуар,kryq
355,Linie::N,хахх,vijë
356,Strich::N,хахх,vizë
357,Abstand::N,æхсæнуат,distancë
358,Entfernung::N,дæрддзæг,largim
359,Entfernung::N,дардцæг,largim
360,Gegend::N,ран,vise
361,Gegend::N,ран,krahinë
362,Platz::N,бууат,shesh
363,Ort::N,ран,vend
364,Ort::N,бынат,vend
365,Seite::N,фахс,anë
366,Mitte::N,астӕу,mes
367,Gegenstand::N,дзаума,send
368,Sache::N,дзаума,gjë
369,Sache::N,дзаума,send
370,Rand::N,кӕрон,qoshe
371,Kante::N,фӕрск,teh
372,Ecke::N,тигъ,qoshe
373,Ecke::N,фисын,qoshe
374,Spitze::N,бырынкъ,majë
375,Ende::N,кӕрон,skaj
376,Ende::N,кӕрон,bisht
377,Loch::N,хуынкъ,vrimë
378,Winkel::N,къуым,kënd
379,Muster::N,нывæфтыд,mostër
380,Muster::N,кæдзист,mostër
381,Größe::N,ас,madhësi
382,Länge::N,дӕргъ,gjatësi
383,Höhe::N,бæрзонд,lartësi
384,Höhe::N,бæрзæнд,lartësi
385,Höhe::N,бæрзонддзинад,lartësi
386,Gewicht::N,уӕз,peshë
387,Menge::N,бӕрц,sasi
388,Haufen::N,кӕри,grumbull
389,Reihe::N,рӕнхъ,radhë
390,Reihe::N,рӕнхъ,rresht
391,Boot::N,чема,barkë
392,Boot::N,чема,lundër
393,Ruder::N,къохар,rrem
394,Schlitten::N,дзоныгъ,sajë
395,Ski::N,къахдзоныгътæ,ski
396,Ski::N,лыжæтæ,ski
397,Lagerfeuer::N,арт,flakadan
398,Lagerfeuer::N,арт,zjarr i madh
399,Last::N,уаргъ,barrë
400,Gang::N,цыд,ecje
401,Schritt::N,санчъех,hap
402,Schritt::N,къахдзӕф,hap
403,Norden::N,цæгат,veri
404,Süden::N,хуссар,jug
405,Westen::N,ныгуылæн,perëndim
406,Osten::N,скæсæн,lindje
407,Holz::N,хъӕдӕрмӕг,dru
408,Brett::N,фæйнæг,dërrasë
409,Platte::N,къӕй,pllakë
410,Stütze::N,быцæу,shtyllë
411,Stütze::N,быцæу,mbështetesë
412,Stange::N,хъил,shufër
413,Stock::N,лӕдзӕг,dajak
414,Stab::N,хъил,shkop
415,Rohr::N,хӕтӕл,tub
416,Haus::N,хӕдзар,shtëpi
417,Heim::N,къона,konak
418,Heim::N,къона,shtëpi
419,Ofen::N,пец,sobë
420,Ofen::N,пец,stufë
421,Fußboden::N,астӕрд,dysheme
422,Tisch::N,стъол,tryezë
423,Stuhl::N,бандон,karrige
424,Wiege::N,авдæн,djep
425,Bett::N,сынтӕг,shtrat
426,Regal::N,тӕрхӕг,raft
427,Regal::N,уӕлвӕйнӕг,raft
428,Kiste::N,асыкк,kuti
429,Fenster::N,рудзынг,dritare
430,Fenster::N,фæрссаг,dritare
431,Tür::N,дуар,derë
432,Tor::N,кулдуар,portë
433,Zaun::N,æмбонд,gardh
434,Zaun::N,быру,gardh
435,Zaun::N,гæрæн,gardh
436,Dach::N,уӕлхӕдзар,çati
437,Leiter::N,асин,shkallë
438,Besen::N,уисой,fshesë
439,Spaten::N,бел,lopatë
440,Schaufel::N,æвгæнæн,qyrek
441,Schaufel::N,кæфой,qyrek
442,Gabel::N,вилкæ,pirun
443,Löffel::N,уидыг,lugë
444,Messer::N,кард,thikë
445,Nagel::N,зӕгӕл,gozhdë
446,Netz::N,хыз,rrjetë
447,Haken::N,хæдз,grep
448,Haken::N,хæдз,grremç
449,Haken::N,хæбырæгъ,grep
450,Haken::N,хæбырæгъ,grremç
451,Griff::N,фистон,dorak
452,Griff::N,фистон,dorezë
453,Schloss::N,гуыдыр,bravë
454,Bild::N,ныв,tablo
455,Bild::N,ныв,pikturë
456,Figur::N,кæрдгæныв,figurë
457,Puppe::N,чындз,kukull
458,Beutel::N,дзӕкъул,qese
459,Beutel::N,дзӕкъул,trastë
460,Bündel::N,баст,deng
461,Tasche::N,хызын,çantë
462,Tasche::N,дзæкъул,çantë
463,Eimer::N,къæрта,kovë
464,Eimer::N,чъыбыла,kovë
465,Eimer::N,ведра,kovë
466,Deckel::N,сæр,kapak
467,Deckel::N,сæр,mbulesë
468,Deckel::N,æмбæрзæн,kapak
469,Deckel::N,æмбæрзæн,mbulesë
470,Geschirr::N,мигæнæн,enë
471,Geschirr::N,мигæнæнтæ,enë
472,Sack::N,голлаг,thes
473,Sack::N,голлаг,torbë
474,Tasse::N,пиала,filxhan
475,Tasse::N,къус,filxhan
476,Topf::N,аг,kusi
477,Topf::N,аг,tenxhere
478,Topf::N,чысыл аг,kusi
479,Topf::N,чысыл аг,tenxhere
480,Kessel::N,аг,kazan
481,Essen::N,хӕрд,ngrënie
482,Nahrung::N,хойраг,ushqim
483,Speise::N,хӕринаг,gatesë
484,Fleisch::N,дзидза,mish
485,Fleisch::N,фыдызгъӕл,mish
486,Getreide::N,халсар,drithë
487,Brei::N,кас,qull
488,Brot::N,дзул,bukë
489,Scheibe::N,къӕбӕр,fetë
490,Fett::N,сой,lyrë
491,Fett::N,сой,yndyrë
492,Butter::N,нӕлхӕ,gjalpë
493,Öl::N,зети,vaj
494,Salz::N,цӕхх,kripë
495,Suppe::N,бас,supë
496,Suppe::N,бас,çorbë
497,Honig::N,мыд,mjaltë
498,Milch::N,ӕхсыр,qumësht
499,Tee::N,цай,çaj
500,Leder::N,мæскуы,lëkurë
501,Wolle::N,фӕсмын,lesh
502,Stoff::N,хъуымац,pëlhurë
503,Nadel::N,судзин,gjilpërë
504,Faden::N,ӕндах,pe
505,Faden::N,ӕндах,fije
506,Knopf::N,цӕппӕр,kopsë
507,Knoten::N,ӕлхынцъ,komb
508,Farbe::N,ахорæн,bojë
509,Kleidung::N,дарӕс,veshje
510,Hemd::N,хӕдон,këmishë
511,Kragen::N,æфцæггот,jakë
512,Ärmel::N,дыс,mëngë
513,Hose::N,хæлаф,brekë
514,Hose::N,æддаг хæлаф,brekë
515,Hose::N,салбар,brekë
516,Gürtel::N,рон,rrip
517,Mütze::N,худ,kësulë
518,Schuh::N,басмахъ,këpucë
519,Stiefel::N,цырыхъхъ,çizme
520,Ring::N,къухдарӕн,unazë
521,Band::N,лент,shirit
522,Kamm::N,сӕрвасӕн,krehër
523,Spiegel::N,айдæн,pasqyrë
524,Spiegel::N,кæсæн,pasqyrë
525,Riemen::N,гӕрз,rrip
526,Schnur::N,бӕндӕн,litar
527,Schnur::N,бӕндӕн,cikomë
528,Decke::N,хъӕццул,batanije
529,Kissen::N,баз,jastëk
530,Tuch::N,кæлмæрзæн,shami
531,Tuch::N,кæрдæн,shami
532,Handtuch::N,хисæрфæн,peshqir
533,Kraft::N,тых,forcë
534,Kraft::N,хъомыс,forcë
535,Stärke::N,тых,koll
536,Stärke::N,æхсар,koll
537,Gesundheit::N,æнæниздзинад,shëndet
538,Krankheit::N,низ,sëmundje
539,Krankheit::N,рын,sëmundje
540,Schmerz::N,рис,dhimbje
541,Wunde::N,цӕф,plagë
542,Fieber::N,ризӕг,ethe
543,Fieber::N,тӕфсӕг,ethe
544,Arznei::N,хос,ilaç
545,Brücke::N,хид,urë
546,Brunnen::N,цъай,pus
547,Weide::N,хизæн,kullotë
548,Weide::N,хизæнуат,kullotë
549,Weide::N,сæрвæт,kullotë
550,Pfad::N,къахвæндаг,ravë
551,Pfad::N,къахвæндаг,shteg
552,Pfad::N,къахвæд,ravë
553,Pfad::N,къахвæд,shteg
554,Weg::N,фӕндаг,udhë
555,Weg::N,фӕндаг,shteg
556,Straße::N,фӕндаг,rrugë
557,Dorf::N,хъӕу,fshat
558,Dorf::N,хъӕу,katund
559,Stadt::N,сахар,qytet
560,Brief::N,фыстӕг,letër
561,Buch::N,чиныг,libër
562,Buchstabe::N,дамгъӕ,shkronjë
563,Zeitung::N,газет,gazetë
564,Leben::N,цард,jetë
565,Leben::N,цӕрӕнбон,jetë
566,Tod::N,мæлæт,mortje
567,Tod::N,адзал,mortje
568,Grab::N,ингӕн,varr
569,Kirche::N,аргъуан,kishë
570,Sünde::N,тæригъæд,mëkat
571,Sünde::N,тæригъæд,gjynah
572,Gott::N,хуыцау,hy
573,Gott::N,хуыцау,zot
574,Arbeiter::N,кусæг,punëtor
575,Chef::N,ӕмцег,shef
576,Chef::N,ӕмцег,drejtues
577,Meister::N,мастер,mjeshtër
578,Meister::N,дæсны,mjeshtër
579,Arzt::N,хосгæнæг,mjek
580,Arzt::N,хосгæнæг,doktor
581,Arzt::N,дохтыр,mjek
582,Arzt::N,дохтыр,doktor
583,Lehrer::N,ахуыргæнæг,mësues
584,Lehrer::N,ахуыргæнæг,arsimtar
585,Geld::N,ӕхца,para
586,Geld::N,ӕхца,holla
587,Geschäft::N,бизнес,ujdi
588,Geschäft::N,бизнес,biznes
589,Geschäft::N,хъуыддаг,ujdi
590,Geschäft::N,хъуыддаг,biznes
591,Laden::N,дукани,dyqan
592,Preis::N,аргъ,çmim
593,Ware::N,базайраг,mall
594,Nutzen::N,пайда,dobi
595,Nutzen::N,пайда,leverdi
596,Reichtum::N,хъæздыгдзинад,kamje
597,Reichtum::N,хъæздыгдзинад,pasuri
598,Reichtum::N,исбон,kamje
599,Reichtum::N,исбон,pasuri
600,Reichtum::N,мулк,kamje
601,Reichtum::N,мулк,pasuri
602,Welt::N,дуне,botë
603,Land::N,бӕстӕ,vend
604,Staat::N,паддзахад,shtet
605,König::N,къарол,mbret
606,Macht::N,хицаудзинад,fuqi
607,Macht::N,хицаудзинад,pushtet
608,Grenze::N,арӕн,kufi
609,Krieg::N,хӕст,luftë
610,Feind::N,знаг,armik
611,Feind::N,фыдгул,armik
612,Feind::N,фыдзæрдæ,armik
613,Feind::N,сон,armik
614,Gewalt::N,тыхми,dhunë
615,Gewalt::N,тыхдзинад,dhunë
616,Kampf::N,хæст,luftim
617,Kampf::N,хъæбысæйхæст,luftim
618,Kampf::N,тох,luftim
619,Bogen[Waffe]::N,ӕрдын,hark
620,Pfeil::N,фат,shigjetë
621,Gewehr::N,топп,pushkë
622,Fehler::N,рӕдыд,gafë
623,Fehler::N,рӕдыд,gabim
624,Lüge::N,мӕнг,gënjeshtër
625,Lüge::N,гӕдыдзинад,gënjeshtër
626,Schaden::N,зиан,dëm
627,Schaden::N,зиан,zarar
628,Unglück::N,бæллæх,fatkeqësi
629,Schuld::N,азым,faj
630,Alter::N,кар,moshë
631,Schluss::N,кæрон,fund
632,Zeit::N,рӕстӕг,kohë
633,Tag::N,бон,ditë
634,Morgen::N,райсом,mëngjes
635,Mittag::N,æмбисбон,mesditë
636,Abend::N,изӕр,mbrëmje
637,Nacht::N,ӕхсӕв,natë
638,Woche::N,къуыри,javë
639,Monat::N,мӕй,muaj
640,Jahr::N,аз,vit
641,Jahr::N,афӕдз,vit
642,Frühling::N,уалдзæг,pranverë
643,Sommer::N,сӕрд,verë
644,Herbst::N,фæззæг,vjeshtë
645,Winter::N,зымӕг,dimër
646,Januar::N,январь,janar
647,Februar::N,февраль,shkurt
648,März::N,мартъи,mars
649,April::N,апрель,prill
650,Mai::N,май,maj
651,Juni::N,июнь,qershor
652,Juli::N,июль,korrik
653,August::N,август,gusht
654,September::N,сентябрь,shtator
655,Oktober::N,октябрь,tetor
656,November::N,ноябрь,nëntor
657,Dezember::N,декабрь,dhjetor
658,Montag::N,къуырисæр,hënë
659,Dienstag::N,дыццæг,martë
660,Mittwoch::N,æртыццæг,mërkurë
661,Donnerstag::N,цыппæрæм,enjte
662,Freitag::N,майрæмбон,premte
663,Samstag::N,сабат,shtunë
664,Sonntag::N,хуыцаубон,diel
665,groß::A,дынджыр,madh
666,klein::A,гыццыл,vogël
667,lang::A,даргъ,gjatë
668,kurz::A,цыбыр,shkurtër
669,breit::A,фӕтӕн,gjerë
670,schmal::A,нарӕг,ngushtë
671,schmal::A,уынгӕг,ngushtë
672,dicht::A,бæзджын,dendur
673,dicht::A,тар,dendur
674,dick[Gegenstand]::A,сӕвджын,trashë
675,dünn::A,тæнæг,hollë
676,fein::A,лыстӕг,imët
677,fest::A,фидар,fortë
678,fest::A,хъӕддых,fortë
679,flach::A,тъӕпӕн,sheshtë
680,glatt::A,лӕгъз,rrafshët
681,hart::A,хъӕбӕр,fortë
682,weich::A,фӕлмӕн,butë
683,rund::A,тымбыл,rrumbullakët
684,spitz::A,цыргъбырынкъ,majëmprehtë
685,spitz::A,цыргъфындз,majëmprehtë
686,scharf::A,цыргъ,mprehtë
687,stumpf::A,къуымых,topitur
688,schwer::A,уӕззау,rëndë
689,schön::A,аив,bukur
690,schön::A,рӕсугъд,bukur
691,heiß::A,тӕвд,nxehtë
692,warm::A,хъарм,ngrohtë
693,kalt::A,уазал,ftohtë
694,kühl::A,сатæг,freskët
695,kühl::A,уазалгомау,freskët
696,frisch::A,сатæг,pastër
697,feucht::A,уымӕл,lagësht
698,nass::A,хуылыдз,lagur
699,trocken::A,хус,thatë
700,voll::A,дзаг,plotë
701,voll::A,йедзаг ,plotë
702,leer::A,афтид,bosh
703,leer::A,афтид,zbrazët
704,offen::A,гом,hapur
705,geschlossen::A,æхгæд,mbyllur
706,sauber::A,сыгъдæг,dëlirë
707,schmutzig::A,чъиллон,ndyrë
708,roh::A,хом,gjallë
709,reif::A,рӕгъӕд,arrirë
710,lecker::A,хӕрзад,shijshëm
711,süß::A,адджын,ëmbël
712,bitter::A,судзаг,hidhur
713,sauer::A,туаг,thartë
714,hell::A,рухс,me dritë
715,dunkel::A,талынг,errët
716,schwarz::A,сау,i zi
717,weiß::A,урс,bardhë
718,rot::A,сырх,kuq
719,gelb::A,бур,verdhë
720,blau::A,цъӕх,blu
721,blau::A,цъӕх,kaltër
722,grün::A,цъӕх,blertë
723,grün::A,цъӕх,gjelbër
724,grün::A,кӕрдӕгхуыз,blertë
725,grün::A,кӕрдӕгхуыз,gjelbër
726,grau::A,цъӕх,hirtë
727,grau::A,цъӕх,bojë hiri
728,grau::A,фӕныкхуыз,hirtë
729,grau::A,фӕныкхуыз,bojë hiri
730,bunt::A,хъулон,shumëngjyrëshëm
731,bunt::A,гæрæм,shumëngjyrëshëm
732,billig::A,аслам,lirë
733,teuer::A,зынаргъ,shtrenjtë
734,wertvoll::A,зынаргъ,çmuar
735,wertvoll::A,зынаргъ,vlershëm
736,blind::A,куырм,qorr
737,blind::A,куырм,verbër
738,taub::A,къуырма,shurdhër
739,kräftig::A,домбай,fuqishëm
740,kräftig::A,тыхджын,fuqishëm
741,stark::A,тыхджын,fortë
