,Concept_ID,ru,no
498,Alter::N,возраст,alder
499,Schluss::N,окончание,slutt
500,Zeit::N,время,tid
501,Tag::N,день,dag
502,Morgen::N,утро,morgen
503,Mittag::N,полдень,middag
504,Abend::N,вечер,aften
505,Nacht::N,ночь,natt
506,Woche::N,неделя,uke
507,Monat::N,месяц,måned
508,Jahr::N,год,år
509,Frühling::N,весна,vår
510,Sommer::N,лето,sommer
511,Herbst::N,осень,høst
512,Winter::N,зима,vinter
513,Januar::N,январь,januar
514,Februar::N,февраль,februar
515,März::N,март,mars
516,April::N,апрель,april
517,Mai::N,май,mai
518,Juni::N,июнь,juni
519,Juli::N,июль,juli
520,August::N,август,august
521,September::N,сентябрь,september
522,Oktober::N,октябрь,oktober
523,November::N,ноябрь,november
524,Dezember::N,декабрь,desember
525,Montag::N,понедельник,mandag
526,Dienstag::N,вторник,tirsdag
527,Mittwoch::N,среда,onsdag
528,Donnerstag::N,четверг,torsdag
529,Freitag::N,пятница,fredag
530,Samstag::N,суббота,lørdag
531,Sonntag::N,воскресенье,søndag
532,groß::A,большой,stor
533,klein::A,маленький,liten
534,lang::A,длинный,lang
535,kurz::A,короткий,kort
536,breit::A,широкий,bred
537,schmal::A,узкий,smal
538,dicht::A,густой,tett
539,dick[Gegenstand]::A,толстый,tykk
540,dünn::A,тонкий,tynn
541,fein::A,тонкий,fin
542,fest::A,крепкий,fast
543,flach::A,плоский,flat
544,glatt::A,гладкий,glatt
545,hart::A,твердый,hard
546,weich::A,мягкий,myk
547,weich::A,мягкий,bløt
548,rund::A,круглый,rund
549,spitz::A,остроконечный,spiss
550,scharf::A,острый,kvass
551,stumpf::A,тупой,stubb
552,schwer::A,тяжелый,tung
553,schön::A,красивый,pen
554,schön::A,красивый,vakker
555,heiß::A,жаркий,het
556,warm::A,теплый,varm
557,kalt::A,холодный,kald
558,kühl::A,прохладный,kjølig
559,frisch::A,свежий,fersk
560,feucht::A,влажный,fuktig
561,nass::A,мокрый,våt
562,trocken::A,сухой,tørr
563,voll::A,полный,full
564,voll::A,наполненный,full
565,leer::A,пустой,tom
566,offen::A,открытый,åpen
567,geschlossen::A,закрытый,lukket
568,sauber::A,чистый,ren
569,schmutzig::A,грязный,skitten
570,roh::A,сырой,rå
571,reif::A,зрелый,moden
572,lecker::A,вкусный,lekker
573,süß::A,сладкий,søt
574,bitter::A,горький,besk
575,bitter::A,горький,bitter
576,sauer::A,кислый,sur
577,hell::A,светлый,lys
578,dunkel::A,темный,mørk
579,schwarz::A,черный,svart
580,weiß::A,белый,hvit
581,rot::A,красный,rød
582,gelb::A,желтый,gul
583,blau::A,синий,blå
584,grün::A,зеленый,grønn
585,grau::A,серый,grå
586,bunt::A,пестрый,broket
587,billig::A,дешевый,billig
588,teuer::A,дорогой,dyr
589,wertvoll::A,ценный,verdifull
590,blind::A,слепой,blind
591,taub::A,глухой,døv
592,kräftig::A,могучий,kraftig
593,stark::A,сильный,sterk
594,schwach::A,слабый,svak
595,fett::A,жирный,fet
596,schlank::A,стройный,slank
597,hübsch::A,прелестный,pen
598,böse::A,злой,slem
599,dumm::A,глупый,dum
600,faul::A,ленивый,lat
601,faul::A,ленивый,doven
602,fleißig::A,прилежный,flittig
603,geizig::A,жадный,gjerrig
604,klug::A,умный,klok
605,geschickt::A,искусный,hendig
606,geschickt::A,искусный,skikket
607,lieb::A,милый,kjær
608,lieb::A,милый,snill
609,lustig::A,веселый,morsom
610,sanft::A,нежный,blid
611,hungrig::A,голодный,sulten
612,krank::A,больной,syk
613,nackt::A,голый,naken
614,traurig::A,грустный,sørgmodig
615,lebendig::A,живой,levende
616,gut::A,хороший,god
617,schlecht::A,плохой,dårlig
618,richtig::A,правильный,riktig
619,schlimm::A,отвратительный,slem
620,schlimm::A,мерзкий,slem
621,wahr::A,настоящий,sann
622,alt::A,старый,gammel
623,neu::A,новый,ny
624,ehemalig::A,бывший,forhenværende
625,alt[Lebewesen]::A,пожилой,gammel
626,jung::A,молодой,ung
627,arm::A,бедный,fattig
628,reich::A,богатый,rik
629,bekannt::A,знакомый,kjent
630,berühmt::A,знаменитый,berømt
631,fremd::A,чужой,fremmed
632,verschieden::A,разный,forskjellig
633,nah::A,близкий,nær
634,fern::A,далекий,fjern
635,linker::A,левый,venstre
636,rechter::A,правый,høyre
637,anderer::A,другой,annen
638,erster::A,первый,første
639,zweiter::A,второй,annen
640,dritter::A,третий,tredje
641,letzter::A,последний,sist
642,allein::ADV,один,alene
643,auf einmal::ADV,сразу,med ett
644,zusammen::ADV,вместе,sammen
645,lange::ADV,долго,lenge
646,plötzlich::ADV,вдруг,plutselig
647,sofort::ADV,тотчас,straks
648,später::ADV,позже,senere
649,jetzt::ADV,сейчас,nå
650,heute::ADV,сегодня,i dag
651,morgen::ADV,завтра,i morgen
652,bald::ADV,скоро,snart
653,dann::ADV,потом,så
654,gestern::ADV,вчера,i går
655,einst::ADV,однажды,engang
656,damals::ADV,тогда,den gang
657,danach::ADV,затем,deretter
658,vorher::ADV,раньше,før
659,vorher::ADV,раньше,i forveien
660,zuerst::ADV,сперва,først
661,einmal::ADV,раз,en gang
662,manchmal::ADV,иногда,somme tider
663,oft::ADV,часто,ofte
664,immer::ADV,всегда,alltid
665,niemals::ADV,никогда,aldri
666,hier::ADV,здесь,her
667,hierhin::ADV,сюда,hit
668,von hier::ADV,отсюда,herfra
669,dort::ADV,там,der
670,dorthin::ADV,туда,dit
671,geradeaus::ADV,прямо,rett fram
672,vorwärts::ADV,вперед,fram
673,vorwärts::ADV,вперед,framover
674,rückwärts::ADV,назад,baklengs
675,zurück::ADV,обратно,tilbake
676,unten::ADV,внизу,nede
677,hinab::ADV,вниз,ned
678,hinab::ADV,вниз,nedover
679,oben::ADV,наверху,oppe
680,oben::ADV,наверху,ovenpå
681,hinauf::ADV,вверх,opp
682,hinauf::ADV,вверх,oppover
683,überall::ADV,везде,overalt
684,nicht::ADV,не,ikke
685,ein wenig::ADV,немного,litt
686,kaum::ADV,едва,neppe
687,sehr::ADV,очень,svært
688,so::ADV,так,så
689,noch::ADV,еще,enda
690,nur::ADV,только,bare
691,schon::ADV,уже,alt
692,schon::ADV,уже,allerede
693,wieder::ADV,опять,igjen
694,vergebens::ADV,напрасно,forgjeves
695,vor::PRP,перед,foran
696,vor::PRP,перед,utenfor
697,hinter::PRP,за,bak
698,hinter::PRP,за,bakom
699,hinter::PRP,позади,bak
700,hinter::PRP,позади,bakom
701,unter::PRP,под,under
702,durch::PRP,сквозь,gjennom
703,durch::PRP,сквозь,igjennom
704,neben::PRP,возле,ved siden av
705,zwischen::PRP,между,mellom
706,wegen::PRP,из-за,på grunn av
707,dies::PRN,это,dette
708,das::PRN,то,det
709,alles::PRN,все,alt
710,ich::PRN,я,jeg
711,du::PRN,ты,du
712,er::PRN,он,han
713,wir::PRN,мы,vi
714,ihr::PRN,вы,dere
715,sie::PRN,они,de
716,was::FPRN,что,hva
717,wer::FPRN,кто,hvem
718,wo::FADV,где,hvor
719,wohin::FADV,куда,hvor ... hen
720,wie::FADV,как,hvordan
721,warum::FADV,почему,hvorfor
722,wieviel::FNUM,сколько,hvor mye
723,eins::NUM,один,en
724,eins::NUM,один,ett
725,zwei::NUM,два,to
726,drei::NUM,три,tre
727,vier::NUM,четыре,fire
728,fünf::NUM,пять,fem
729,sechs::NUM,шесть,seks
730,sieben::NUM,семь,sju
731,acht::NUM,восемь,åtte
732,neun::NUM,девять,ni
733,zehn::NUM,десять,ti
734,elf::NUM,одиннадцать,elleve
735,zwölf::NUM,двенадцать,tolv
736,zwanzig::NUM,двадцать,tjue
737,dreißig::NUM,тридцать,tretti
738,vierzig::NUM,сорок,førti
739,fünfzig::NUM,пятьдесят,femti
740,sechzig::NUM,шестьдесят,seksti
741,siebzig::NUM,семьдесят,sytti
742,achtzig::NUM,восемьдесят,åtti
743,neunzig::NUM,девяносто,nitti
744,hundert::NUM,сто,hundre
745,tausend::NUM,тысяча,tusen
746,und::CNJ,и,og
747,oder::CNJ,или,eller
748,oder::CNJ,либо,eller
749,stehen::V,стоять,stå
750,sitzen::V,сидеть,sitte
751,liegen::V,лежать,ligge
752,hängen::V,висеть,henge
753,werden::V,стать,bli
754,passieren::V,случиться,skje
755,passieren::V,случиться,hende
756,beginnen::V,начаться,begynne
757,enden::V,кончиться,ende
758,enden::V,кончиться,slutte
759,wechseln::V,меняться,veksle
760,aufgehen[Sonne]::V,взойти,stå opp
761,untergehen[Sonne]::V,зайти,gå ned
762,scheinen[Sonne]::V,светить,skinne
763,donnern::V,греметь,tordne
764,wehen::V,дуть,blåse
765,strömen::V,литься,strømme
766,fließen::V,течь,flyte
767,sich drehen::V,вращаться,dreie seg
768,schwanken::V,колебаться,svaie
769,schwingen::V,качаться,svinge
770,fallen::V,падать,falle
771,brennen::V,гореть,brenne
772,rauchen::V,дымить,ryke
773,regnen::V,дождить,regne
774,gefrieren::V,замерзнуть,fryse
775,tauen::V,таять,tine
776,schmelzen::V,плавиться,smelte
777,trocknen::V,сохнуть,tørre
778,sieden::V,кипеть,koke
779,faulen::V,гнить,råtne
780,verfaulen::V,сгнить,råtne
781,reißen::V,рваться,briste
782,versinken::V,тонуть,synke
783,versinken::V,тонуть,synke ned
784,vergehen::V,проходить,forløpe
785,erscheinen::V,появиться,synes
786,verschwinden::V,исчезнуть,forsvinne
787,sinken::V,спадать,synke
788,abnehmen::V,уменьшиться,avta
789,abnehmen::V,уменьшиться,minske
790,zunehmen::V,увеличиваться,tilta
791,steigen::V,подниматься,stige
792,wachsen::V,расти,gro
793,wachsen::V,расти,vokse
794,glänzen::V,блестеть,skinne
795,funkeln::V,сверкать,tindre
796,lärmen::V,шуметь,bråke
797,läuten::V,звонить,ringe
798,klingeln::V,звонить,ringe
799,klirren::V,звякать,klirre
800,brausen::V,бушевать,bruse
801,rauschen::V,шелестеть,suse
802,klingen::V,звучать,lyde
803,klingen::V,звучать,klinge
804,bellen::V,лаять,gjø
805,bellen::V,лаять,bjeffe
806,heulen::V,выть,ule
807,blasen::V,дунуть,blåse
808,pfeifen::V,свистеть,plystre
809,schreien::V,кричать,skrike
810,stöhnen::V,стонать,stønne
811,zittern::V,дрожать,dirre
812,zittern::V,дрожать,skjelve
813,leben::V,жить,leve
814,geboren werden::V,родиться,fødes
815,atmen::V,дышать,ånde
816,atmen::V,дышать,puste
817,trinken::V,пить,drikke
818,essen::V,есть,spise
819,essen::V,кушать,spise
820,schlucken::V,глотать,svelge
821,müde werden::V,устать,bli trett
822,einschlafen::V,заснуть,sovne
823,schlafen::V,спать,sove
824,aufwachen::V,проснуться,våkne
825,aufstehen::V,встать,stå opp
826,sich erholen::V,отдыхать,bli bra
827,sich erholen::V,отдыхать,komme seg
828,krank werden::V,заболеть,bli syk
829,krank sein::V,болеть,være syk
830,schmerzen::V,болеть,gjøre vondt
831,husten::V,кашлять,hoste
832,genesen::V,поправиться,komme seg
833,sterben::V,умереть,dø
834,umkommen::V,погибнуть,omkomme
835,sich bewegen::V,двигаться,bevege seg
836,sich rühren::V,шевельнуться,røre på seg
837,sich erheben::V,встать,reise seg
838,sich setzen::V,сесть,sette sig
839,hinfallen::V,упасть,falle over ende
840,laufen::V,ходить,løpe
841,schreiten::V,шагать,skride
842,spazierengehen::V,гулять,spasere
843,spazierengehen::V,гулять,gå en tur
844,eilen::V,спешить,ile
845,sich beeilen::V,торопиться,skynde seg
846,sausen::V,мчаться,suse
847,rennen::V,бегать,løpe
848,springen::V,прыгать,hoppe
849,springen::V,прыгать,springe
850,klettern::V,лазать,klatre
851,schaukeln::V,раскачиваться,huske
852,kriechen::V,ползать,krype
853,schwimmen::V,плавать,svømme
854,tauchen::V,нырять,dykke
855,rudern::V,грести,ro
856,fahren::V,ехать,kjøre
857,fliegen::V,летать,fly
858,gehen::V,идти,gå
859,weggehen::V,уйти,gå bort
860,abfahren::V,отправиться,reise
