,Concept_ID,te,lt
108,Abhang::N,ఏటవాలు,šlaitas
109,Abhang::N,ఏటవాలు,nuokalnė
110,Quelle::N,మూలము,versmė
111,Quelle::N,మూలము,šaltinis
112,Bach::N,కాలువ,upelis
113,Fluss::N,నది,upė
114,Ufer::N,తీరము,krantas
115,Küste::N,తీరము,pajūris
116,Festland::N,భూమి,sausuma
117,Meer::N,సముద్రము,jūra
118,Bucht::N,మరుగు,įlanka
119,Bucht::N,మరుగు,užutekis
120,Insel::N,దీవి,sala
121,Blume::N,పుష్పము,gėlė
122,Gras::N,పచ్చగడ్డి,žolė
123,Wurzel::N,వేరు,šaknis
124,Baum::N,చెట్టు,medis
125,Stamm::N,చెట్టుబోదె,kamienas
126,Rinde::N,చెట్టుపట్ట,žievė
127,Ast::N,కొమ్మ,šaka
128,Zweig::N,చివుకు,šakelė
129,Blatt::N,ఆకు,lapas
130,Birke::N,తరహా చెట్టు,beržas
131,Kiefer[Baum]::N,దేవదారు చెట్టు,pušis
132,Weide[Baum]::N,జాతిచెట్టు,karklas
133,Tanne::N,దేవదారుచెట్టు,eglė
134,Tanne::N,దేవదారుచెట్టు,kėnis
135,Horn::N,కొమ్ము,ragas
136,Feder::N,ఈక,plunksna
137,Fell::N,తోలు,kailis
138,Flügel::N,ఱెక్క,sparnas
139,Klaue::N,వంకరగోరు,kanopa
140,Kralle::N,వంకరగోరు,nagas
141,Schwanz::N,తోక,uodega
142,Ei::N,గ్రుడ్డు,kiaušinis
143,Nest::N,పక్షిగూడు,gūžta
144,Nest::N,పక్షిగూడు,lizdas
145,Bau::N,గుహ,ola
146,Tier::N,జంతువు,gyvūnas
147,Herde::N,మంద,banda
148,Herde::N,మంద,kaimenė
149,Kuh::N,ఆవు,karvė
150,Bulle::N,గిత్త,bulius
151,Pferd::N,గుఱ్ఱము,arklys
152,Schaf::N,గొఱ్ఱె,avis
153,Schwein::N,పంది,kiaulė
154,Hund::N,కుక్క,šuo
155,Katze::N,పిల్లి,katė
156,Bär::N,ఎలుగుబంటి,lokys
157,Eichhörnchen::N,ఉడుత,voveraitė
158,Elch::N,కణంజు,briedis
159,Fuchs::N,గుంటనక్క,lapė
160,Hase::N,కుందేలు,kiškas
161,Maus::N,చిట్టెలుక,pelė
162,Wolf::N,తోడేలు,vilkas
163,Vogel::N,పక్షి,paukštis
164,Schwarm::N,గుంపు,spiečius
165,Huhn::N,కోడిపిల్ల,višta
166,Hahn::N,కోడివుంజు,gaidys
167,Gans::N,ఆడుబాతు,žąsis
168,Adler::N,గ్రద్ద,erelis
169,Ente::N,పాట్టిబాతు,antis
170,Eule::N,గ్రుడ్లగూబ,pelėda
171,Kranich::N,కొంగ,gervė
172,Krähe::N,కాకి,varna
173,Kuckuck::N,కోయల,gegužė
174,Schwan::N,హంస,gulbė
175,Fisch::N,చేప,žuvis
176,Barsch::N,ఒకచేఁప,ešerys
177,Hecht::N,గండుమీను,lydeka
178,Schlange[Tier]::N,పాము,gyvatė
179,Wurm::N,పురుగు,kirmėlė
180,Spinne::N,సాలె పురుగు,voras
181,Ameise::N,చీమ,skruzdė
182,Laus::N,పేను,utėlė
183,Mücke::N,చీకటీగ,uodas
184,Fliege::N,ఈగ,musė
185,Schmetterling::N,సీతాకోకచిలుక,drugys
186,Schmetterling::N,సీతాకోకచిలుక,peteliškė
187,Beere::N,కాయ,uoga
188,Apfel::N,ఆపిల్ పండు,obuolys
189,Pilz::N,కుక్కగొడుగు,grybas
190,Zwiebel::N,నీరుల్లి,svogūnas
191,Saat::N,విత్తనము,sėkla
192,Korn::N,గింజ,grūdai
193,Heu::N,ఎండుగడ్డి,šienas
194,Schale::N,పొట్టు,žievelė
195,Grube::N,గొయ్యి,duobė
196,Falle::N,బోను,pinklės
197,Falle::N,బోను,žabangai
198,Schlinge::N,ఉరి,kilpa
199,Spur::N,జాడ,vėžė
200,Spur::N,జాడ,pėdos
201,Spur::N,జాడ,pėdsakas
202,Asche::N,బూడిద,pelenai
203,Dreck::N,ముఱికి,purvas
204,Eisen::N,ఇనుము,geležis
205,Gold::N,బంగారము,auksas
206,Silber::N,వెండి,sidabras
207,Kohle::N,నేలబొగ్గు,anglis
208,Glas::N,గాజు,stiklas
209,Lehm::N,బంకమన్ను,molis
210,Sand::N,ఇసుక,smėlis
211,Mensch::N,నరుడు,žmogus
212,Mann::N,పురుమడు,vyras
213,Mann::N,పురుమడు,vyriškis
214,Frau::N,ఆడుది,moteris
215,Kind::N,బిడ్డ,vaikas
216,Junge::N,బాలుడు,vaikinas
217,Junge::N,బాలుడు,berniukas
218,Mädchen::N,బాలిక,mergytė
219,Mädchen::N,బాలిక,mergaitė
220,Familie::N,కుటుంబము,šeima
221,Großvater::N,తాత,senelis
222,Großmutter::N,అయ్యమ్మ,senelė
223,Eltern::N,తల్లితండ్రులు,tėvai
224,Vater::N,తండ్రి,tėvas
225,Mutter::N,తల్లి,motina
226,Sohn::N,కొడుకు,sūnus
227,Tochter::N,కూతురు,duktė
228,Bruder::N,పోదరుడు,brolis
229,Schwester::N,సోదరి,sesuo
230,Onkel::N,మేనమామ,dėdė
231,Tante::N,మేనత్త,teta
232,Tante::N,పినతల్లి,teta
233,Ehemann::N,భర్త,vyras
234,Ehefrau::N,భార్య,žmona
235,Freude::N,సంతోషము,džiaugsmas
236,Gelächter::N,నవ్వు,juokas
237,Glück::N,సంతోషము,laimė
238,Kummer::N,దుఃఖము,vargas
239,Kummer::N,దుఃఖము,rūpestis
240,Wunsch::N,కోరిక,troškimas
241,Wunsch::N,కోరిక,pageidavimas
242,Lust::N,కోరిక,noras
243,Lust::N,కోరిక,geidulys
244,Geist::N,ఆత్మ,dvasia
245,Gedanke::N,ఆలోచన,mintis
246,Gedächtnis::N,జ్ఞాపకము,atmintis
247,Verstand::N,మనస్సు,protas
248,Sinn::N,అర్థము,prasmė
249,Grund::N,కారణము,priežastis
250,Wahrheit::N,సత్యము,tiesa
251,Wahrheit::N,సత్యము,teisybė
252,Gespräch::N,పంభాషణ,pokalbis
253,Märchen::N,అద్భుతకథ,pasaka
254,Erzählung::N,కథ,apsakymas
255,Erzählung::N,కథ,pasakojimas
256,Nachricht::N,వార్త,žinia
257,Neuigkeit::N,వార్త,naujiena
258,Name::N,పేరు,vardas
259,Rätsel::N,చిక్కు,mįslė
260,Rede::N,ఉపన్యాసము,kalba
261,Sprache::N,భాష,kalba
262,Stimme::N,కంరథ్సని,balsas
263,Wort::N,మాట,žodis
264,Zeichen::N,గుర్తు,žymė
265,Zeichen::N,గుర్తు,ženklas
266,Ruf::N,పిలువు,šauksmas
267,Lärm::N,సందడి,triukšmas
268,Laut::N,ధ్వని,garsas
269,Ton::N,స్వరము,tonas
270,Ton::N,స్వరము,garsas
271,Lied::N,పాట,daina
272,Lied::N,పాట,giesmė
273,Ruhe::N,గాలిలేమి,ramybė
274,Ruhe::N,గాలిలేమి,ramumas
275,Leute::N,జనులు,žmonės
276,Volk::N,జాతి,tauta
277,Arbeit::N,పని,darbas
278,Arbeit::N,పని,triūsas
279,Gast::N,అతిధి,svečias
280,Geschenk::N,దానము,dovana
281,Spiel::N,ఆట,žaismas
282,Spiel::N,ఆట,žaidimas
283,Gesellschaft::N,జట్టు,draugija
284,Gesellschaft::N,జట్టు,kompanija
285,Hilfe::N,సాహాయ్యము,pagalba
286,Freund::N,స్నేహితుడు,draugas
287,Freund::N,స్నేహితుడు,bičiulis
288,Kamerad::N,చెలికాడు,draugas
289,Angelegenheit::N,విషయము,dalykas
290,Angelegenheit::N,విషయము,reikalas
291,Anzahl::N,లెక్క,kiekis
292,Anzahl::N,లెక్క,skaičius
293,Art::N,జాతి,rūšis
294,Stück::N,తునుక,gabalas
295,Teil::N,భాగము,dalis
296,Hälfte::N,సగము,pusė
297,Kreis::N,వృత్తము,ratas
298,Kreis::N,వృత్తము,apskritis
299,Kreis::N,వృత్తము,apskritimas
300,Kreuz::N,సిలువ,kryžius
301,Linie::N,గీత,linija
302,Strich::N,గీత,brėžis
303,Strich::N,గీత,brūkšnys
304,Abstand::N,సందు,atstumas
305,Entfernung::N,దూరము,atstumas
306,Gegend::N,విస్తీర్ణము,vietovė
307,Platz::N,ఎడము,vieta
308,Ort::N,స్థలము,vieta
309,Ort::N,స్థలము,vietovė
310,Seite::N,ప్రక్క,pusė
311,Seite::N,ప్రక్క,šonas
312,Mitte::N,నడిమి,vidurys
313,Gegenstand::N,పద్దు,dalykas
314,Sache::N,వస్తువు,daiktas
315,Rand::N,అంచు,kraštas
316,Rand::N,అంచు,pakraštys
317,Kante::N,అంచు,kraštas
318,Ecke::N,మూల,kertė
319,Ecke::N,మూల,kampas
320,Spitze::N,మొన,priekis
321,Spitze::N,మొన,priešakys
322,Ende::N,కొన,galas
323,Loch::N,రంధ్రము,skylė
324,Winkel::N,కోణము,kampas
325,Winkel::N,కోణము,kampelis
326,Muster::N,మాదిరి,raštas
327,Größe::N,పరిమాణము,dydis
328,Größe::N,పరిమాణము,didumas
329,Länge::N,పొడుగు,ilgis
330,Länge::N,పొడుగు,ilgumas
331,Höhe::N,పొడుగు,aukštis
332,Höhe::N,పొడుగు,aukštuma
333,Gewicht::N,భారము,svoris
334,Gewicht::N,భారము,svarstis
335,Menge::N,మొత్తము,kiekis
336,Menge::N,మొత్తము,daugybė
337,Haufen::N,రాశి,krūva
338,Haufen::N,రాశి,šūsnis
339,Reihe::N,వరుస,greta
340,Boot::N,పడవ,valtis
341,Boot::N,పడవ,laivelis
342,Ruder::N,అడక,irklas
343,Schlitten::N,సరవండ్లు,rogės
344,Schlitten::N,సరవండ్లు,rogutės
345,Ski::N,స్కీ,slidė
346,Lagerfeuer::N,నెగడు,laužas
347,Last::N,బరువు,našta
348,Last::N,బరువు,nešulys
349,Gang::N,నడక,eisena
350,Schritt::N,అడుగు,žingsnis
351,Norden::N,ఉత్తరదిక్కు,šiaurė
352,Norden::N,ఉత్తరదిక్కు,žiemiai
353,Süden::N,దక్షిణము,pietūs
354,Westen::N,పడమర,vakarai
355,Osten::N,తూర్పు,rytai
356,Holz::N,కొయ్య,mediena
357,Brett::N,పలక,lenta
358,Platte::N,పలక,plokštė
359,Stütze::N,వాల్సేడ్లు,atrama
360,Stütze::N,వాల్సేడ్లు,atspara
361,Stange::N,స్తంభము,lazda
362,Stange::N,స్తంభము,kartis
363,Stock::N,కఱ్ఱ,lazda
364,Stab::N,కఱ్ఱ,kartis
365,Rohr::N,గొట్టము,vamzdis
366,Haus::N,ఇల్లు,namas
367,Heim::N,స్వగృహము,namai
368,Ofen::N,పొయ్యి,krosnis
369,Fußboden::N,నేల,grindys
370,Tisch::N,మేజా,stalas
371,Stuhl::N,కుర్చీ,kėdė
372,Wiege::N,ఉయ్యాల,lopšys
373,Bett::N,పడక,lova
374,Bett::N,పడక,patalai
375,Bett::N,మంచం,lova
376,Bett::N,మంచం,patalai
377,Regal::N,అటక,lentyna
378,Kiste::N,వెట్టె,dėžė
379,Fenster::N,కిటికి,langas
380,Tür::N,ద్వారము,durys
381,Tor::N,ద్వారము,vartai
382,Zaun::N,కంచె,tvora
383,Dach::N,ఇంటివైకప్పు,stogas
384,Leiter::N,నిచ్చెన,kopėčios
385,Besen::N,చీపురుకట్ట,šluota
386,Spaten::N,పాఱ,lopeta
387,Spaten::N,పాఱ,kastuvas
388,Schaufel::N,పాఱ,semtuvas
389,Gabel::N,ముండ్లగరిటె,šakutė
390,Löffel::N,గరిటె,šaukštas
391,Messer::N,కత్తి,peilis
392,Nagel::N,మేకు,vinis
393,Netz::N,వల,tinklas
394,Haken::N,కొక్కెము,vagis
395,Haken::N,కొక్కెము,kablys
396,Griff::N,పిడి,kotas
397,Griff::N,పిడి,rankena
398,Schloss::N,తాళము,spyna
399,Schloss::N,తాళము,užraktas
400,Bild::N,చిత్రము,paveikslas
401,Figur::N,రూపము,figūra
402,Puppe::N,బొమ్మ,lėlė
403,Beutel::N,సంచి,krepšys
404,Beutel::N,సంచి,maišelis
405,Bündel::N,మూట,ryšulys
406,Tasche::N,సంచి,krepšelis
407,Eimer::N,చేద,kibiras
408,Deckel::N,మూత,dangtis
409,Geschirr::N,వంటకాలు,indai
410,Sack::N,గోనెసంచి,maišas
411,Tasse::N,గిన్నె,puodukas
412,Topf::N,కుండ,puodas
413,Kessel::N,నీరుకాచుపాత్ర,katilas
414,Essen::N,ఆహారము,valgis
415,Nahrung::N,ఆహారము,penas
416,Nahrung::N,ఆహారము,maistas
417,Speise::N,ఆహారము,patiekalas
418,Fleisch::N,మాంసము,mėsa
419,Getreide::N,ధాన్యము,javai
420,Brei::N,గుజ్జు,košė
421,Brot::N,రొట్టె,duona
422,Scheibe::N,బద్ద,riekė
423,Fett::N,క్రొవ్వు,taukai
424,Fett::N,క్రొవ్వు,riebalai
425,Butter::N,వెన్న,sviestas
426,Öl::N,నూనె,aliejus
427,Salz::N,ఉప్పు,druska
428,Suppe::N,చారు,sriuba
429,Honig::N,తెనె,medus
430,Milch::N,పాలు,pienas
431,Tee::N,తేనీరు,arbata
432,Leder::N,బాగుచేసివతోలు,oda
433,Wolle::N,ఉన్ని,vilna
434,Stoff::N,బట్ట,audeklas
435,Nadel::N,సూది,adata
436,Faden::N,దారము,gija
437,Faden::N,దారము,siūlas
438,Knopf::N,బొత్తాము,saga
439,Knoten::N,ముడి,mazgas
440,Farbe::N,రంగు,dažai
441,Kleidung::N,బట్టలు,rūbai
442,Kleidung::N,బట్టలు,drabužiai
443,Hemd::N,చొక్కాయ,marškiniai
444,Kragen::N,మాల,apykaklė
445,Ärmel::N,చొక్కాయచెయ్యి,rankovė
446,Hose::N,ఇజారు,kelnės
447,Gürtel::N,పటకా,juosta
448,Gürtel::N,పటకా,diržas
449,Mütze::N,టోపి,kepurė
450,Schuh::N,పాదరక్ష,batas
451,Stiefel::N,బూటు,auliniai batai
452,Ring::N,ఉంగరము,žiedas
453,Band::N,నాడా,kaspinas
454,Kamm::N,దువ్వెన,šukos
455,Spiegel::N,అద్దము,veidrodis
456,Riemen::N,వాడా,diržas
457,Schnur::N,దారము,virvė
458,Leine::N,వారు,pavadėlis
459,Decke::N,కంబళి,antklodė
460,Kissen::N,తలగడ,pagalvė
461,Kissen::N,తలగడ,priegalvis
462,Tuch::N,బట్ట,skarelė
463,Handtuch::N,తువాలు,rankšluostis
464,Kraft::N,బలము,jėga
465,Stärke::N,శక్తి,stiprumas
466,Gesundheit::N,ఆరోగ్యము,sveikata
467,Krankheit::N,రోగము,liga
468,Schmerz::N,నొప్పి,skausmas
469,Wunde::N,గాయము,žaizda
470,Fieber::N,జ్వరము,karštis
471,Arznei::N,మందు,vaistas
472,Brücke::N,వంతెన,tiltas
473,Brunnen::N,బావి,šulinys
474,Brunnen::N,కూపము,šulinys
475,Brunnen::N,నుయ్యి,šulinys
476,Weide::N,పచ్చికబయలు,ganykla
477,Weide::N,పచ్చికబయలు,gluosnis
478,Pfad::N,కాలిత్రోవ,takas
479,Weg::N,మార్గము,kelias
480,Straße::N,బాట,gatvė
481,Dorf::N,గ్రామము,kaimas
482,Dorf::N,గ్రామము,sodžius
483,Stadt::N,పట్టణము,miestas
484,Brief::N,జాబు,laiškas
485,Buch::N,పుస్తకము,knyga
486,Buchstabe::N,అక్షరము,raidė
487,Zeitung::N,వార్తాపత్రిక,laikraštis
488,Leben::N,ప్రాణము,gyvybė
489,Leben::N,ప్రాణము,gyvenimas
490,Tod::N,మరణము,mirtis
491,Grab::N,సమాధి,kapas
492,Kirche::N,క్రెస్తవులగుడి,bažnyčia
493,Sünde::N,పాపము,nuodėmė
494,Sünde::N,పాపము,nusidėjimas
495,Gott::N,దేవుడు,dievas
496,Arbeiter::N,పనిపాటుచేశేవాడు,darbininkas
497,Chef::N,యజమానుడు,šefas
498,Chef::N,యజమానుడు,vadovas
499,Chef::N,యజమానుడు,viršininkas
500,Meister::N,కళాకారుడు,meistras
501,Arzt::N,వైద్యుడు,gydytojas
502,Lehrer::N,ఉపాధ్యాయుడు,mokytojas
503,Geld::N,ద్రవ్యము,pinigai
504,Geschäft::N,వ్యాపారము,biznis
505,Laden::N,అంగడి,krautuvė
506,Laden::N,అంగడి,parduotuvė
507,Preis::N,వెల,kaina
508,Ware::N,సరకులు,prekė
509,Nutzen::N,ప్రయోజనము,nauda
510,Nutzen::N,ప్రయోజనము,pelnas
511,Reichtum::N,ధనము,turtas
512,Welt::N,ప్రపంచము,pasaulis
513,Land::N,దేశము,žemė
514,Land::N,దేశము,šalis
515,Staat::N,రాజ్యము,valstija
516,König::N,రాజు,karalius
517,Macht::N,అధికారము,galia
518,Macht::N,అధికారము,valdžia
519,Grenze::N,సరిహద్దు,riba
520,Grenze::N,సరిహద్దు,siena
521,Krieg::N,యుద్ధము,karas
522,Feind::N,శత్రువు,priešas
523,Gewalt::N,దౌర్జన్యము,jėga
524,Gewalt::N,దౌర్జన్యము,smurtas
525,Gewalt::N,దౌర్జన్యము,prievarta
526,Kampf::N,పోట్లాట,kova
527,Bogen[Waffe]::N,విల్లు,lankas
528,Pfeil::N,బాణము,strėlė
529,Gewehr::N,తుపాకి,šautuvas
530,Fehler::N,తప్ప,klaida
531,Lüge::N,అసత్యము,melas
532,Schaden::N,నష్టము,nuostolis
533,Schaden::N,నష్టము,apgadinimas
534,Unglück::N,దురదృష్టము,nelaimė
535,Schuld::N,తప్పు,kaltė
536,Alter::N,వయస్సు,amžius
537,Schluss::N,ముగింపు,pabaiga
538,Zeit::N,కాలము,laikas
539,Tag::N,దినము,diena
540,Morgen::N,ఉదయము,rytas
541,Mittag::N,మధ్యాహ్నము,vidurdienis
542,Abend::N,సాయంకాలము,vakaras
543,Nacht::N,రత్రి,naktis
544,Woche::N,వారము,savaitė
545,Monat::N,నెల,mėnuo
546,Jahr::N,సంవత్సరము,metai
547,Frühling::N,వసంతకాలము,pavasaris
548,Sommer::N,వేసవికాము,vasara
549,Herbst::N,ఆకురాలుకాలము,ruduo
550,Winter::N,శీతకాలము,žiema
551,Januar::N,జనవరి,sausis
552,Februar::N,ఫిబ్రవరి,vasaris
553,März::N,మార్చి,kovas
554,April::N,ఏప్రిలు,balandis
555,Mai::N,మే,gegužė
556,Juni::N,జూన్,birželis
557,Juli::N,జూలై,liepa
558,August::N,ఆగస్టు,rugpjūtis
559,September::N,సెప్ఠెంబరు,rugsėjis
560,Oktober::N,అక్టోబరు,spalis
561,November::N,నవంబరు,lapkritis
562,Dezember::N,డిసెంబర్,gruodis
563,Montag::N,సోమవారము,pirmadienis
564,Dienstag::N,మంగళవారము,antradienis
565,Mittwoch::N,బుధవారము,trečiadienis
566,Donnerstag::N,గురువారము,ketvirtadienis
567,Freitag::N,శుక్రవారము,penktadienis
568,Samstag::N,శనివారము,šeštadienis
569,Sonntag::N,ఆదివారము,sekmadienis
570,groß::A,గొప్పైన,didis
571,groß::A,గొప్పైన,didelis
572,klein::A,చిన్న,mažas
573,lang::A,పొడుగాటి,ilgas
574,kurz::A,పొట్టి,trumpas
575,breit::A,వెడల్పైన,platus
576,schmal::A,ఇఱుకైన,smulkus
577,dicht::A,దట్టమైన,tankus
578,dick[Gegenstand]::A,దట్టమైన,storas
579,dünn::A,పలుచని,plonas
580,fein::A,నాజాకైన,smulkus
581,fest::A,దృడమైవ,kietas
582,fest::A,దృడమైవ,tvirtas
583,flach::A,చదువైన,lėkštas
584,flach::A,చదువైన,plokščias
585,glatt::A,నున్నని,slidus
586,hart::A,కఠినమైన,kietas
587,weich::A,మృదువైన,minkštas
588,rund::A,గుండ్రని,apvalus
589,rund::A,గుండ్రని,apskritas
590,spitz::A,మొనగల,aštrus
591,spitz::A,మొనగల,smailus
592,scharf::A,పదనైన,aštrus
593,stumpf::A,వాడిలేని,bukas
594,stumpf::A,వాడిలేని,atšipęs
595,schwer::A,బరువ్తెన,sunkus
596,schön::A,సుందరమైన,gražus
597,heiß::A,వేడియైన,karštas
598,warm::A,వెచ్చని,šiltas
599,kalt::A,చల్లని,šaltas
600,kühl::A,చల్లని,vėsus
601,kühl::A,చల్లని,bejausmis
602,frisch::A,తాజాయైన,šviežias
603,feucht::A,చెమ్మగానున్న,drėgnas
604,nass::A,తడిగామన్న,šlapias
605,trocken::A,ఎండిన,sausas
606,voll::A,నిండు,pilnas
607,leer::A,శూన్యమైన,tuščias
608,offen::A,తెఱచియున్న,atviras
609,geschlossen::A,మూసిన,uždaras
610,geschlossen::A,మూసిన,uždarytas
611,sauber::A,పరిశుద్ధమైన,švarus
612,schmutzig::A,ముఱికియైన,nešvarus
613,schmutzig::A,ముఱికియైన,purvinas
614,roh::A,పచ్చి,žalias
615,reif::A,పండివ,prinokęs
616,reif::A,పండివ,pribrendęs
617,lecker::A,రుచి గల,gardus
618,süß::A,తియ్యని,saldus
619,bitter::A,చేదైన,kartus
620,sauer::A,పుల్లని,gižus
621,sauer::A,పుల్లని,rūgštus
622,hell::A,కాంతిగల,šviesus
623,hell::A,కాంతిగల,skaistus
624,dunkel::A,చీకటియైన,tamsus
625,schwarz::A,నల్లని,juodas
626,weiß::A,తెలుపు,baltas
627,rot::A,ఎఱ్ఱని,raudonas
628,gelb::A,పసుపు పచ్చ,geltonas
629,blau::A,నీలవర్ణము,mėlynas
630,grün::A,ఆకుపచ్చని,žalias
631,grau::A,నెరిసిన,pilkas
632,bunt::A,రంగేలీ,margas
633,bunt::A,రంగేలీ,spalvotas
634,billig::A,చౌకయైన,pigus
635,teuer::A,వెలపొడుగైన,brangus
636,wertvoll::A,విలుప్తెన,vertingas
637,blind::A,గ్రుడ్డి,aklas
638,taub::A,చెవిటి,kurčias
639,kräftig::A,శక్తి గల,stiprus
640,stark::A,బలమైన,stiprus
641,schwach::A,బలహీనమైన,silpnas
642,fett::A,క్రొవ్విన,riebus
643,schlank::A,సన్నని,laibas
644,schlank::A,సన్నని,lieknas
645,hübsch::A,సాగప్తెన,gražus
646,böse::A,చెడ్డ,blogas
647,dumm::A,తెలివిలేని,paikas
648,dumm::A,తెలివిలేని,kvailas
649,faul::A,సోమరియైన,tingus
650,fleißig::A,శ్రద్దగల,stropus
651,fleißig::A,శ్రద్దగల,kruopštus
652,geizig::A,పిసినారియైన,šykštus
653,klug::A,తెలివిగల,sumanus
654,klug::A,తెలివిగల,protingas
655,geschickt::A,నిపుణతగల,apsukrus
656,lieb::A,ప్రియమైన,mielas
657,lustig::A,ఉల్లాసము గల,smagus
658,lustig::A,ఉల్లాసము గల,linksmas
659,sanft::A,సాధువైన,švelnus
660,sanft::A,సాధువైన,minkštas
661,hungrig::A,ఆకలిగొనిన,alkanas
662,krank::A,వ్యాధిగల,ligotas
663,krank::A,వ్యాధిగల,sergantis
664,nackt::A,దిగంబరమైన,nuogas
665,traurig::A,విచారముగల,liūdnas
666,lebendig::A,ప్రాణముతో నున్న,gyvas
667,gut::A,మంచి,geras
668,schlecht::A,చెడ్డ,blogas
669,schlecht::A,చెడ్డ,prastas
670,richtig::A,సరియైన,tikras
671,richtig::A,సరియైన,teisingas
672,schlimm::A,అసహ్యమైన,blogas
673,schlimm::A,అసహ్యమైన,prastas
674,wahr::A,నిజమైన,tikras
675,alt::A,ముసలి,senas
676,neu::A,క్రొత్త,naujas
677,ehemalig::A,పూర్వపు,buvęs
678,alt[Lebewesen]::A,ముసలి,pagyvenęs
679,jung::A,పసి,jaunas
680,arm::A,బీద,neturtingas
681,reich::A,ధనవంతుడైన,turtingas
