,Concept_ID,es,da
90,Tropfen::N,gota,dråbe
91,Schaum::N,espuma,skum
92,Schmutz::N,suciedad,snavs
93,See::N,lago,sø
94,Sumpf::N,pantano,sump
95,Moor::N,turbera,mose
96,Wiese::N,prado,eng
97,Wiese::N,pradera,eng
98,Wald::N,bosque,skov
99,Hügel::N,colina,høj
100,Hügel::N,colina,bakke
101,Anhöhe::N,cerro,høj
102,Anhöhe::N,cerro,bakke
103,Berg::N,monte,bjerg
104,Berg::N,montaña,bjerg
105,Gipfel::N,cima,top
106,Gipfel::N,cumbre,top
107,Höhle::N,cueva,hule
108,Höhle::N,caverna,hule
109,Abhang::N,cuesta,skrænt
110,Abhang::N,cuesta,skråning
111,Abhang::N,declive,skrænt
112,Abhang::N,declive,skråning
113,Quelle::N,fuente,kilde
114,Quelle::N,manantial,kilde
115,Bach::N,arroyo,bæk
116,Fluss::N,río,flod
117,Ufer::N,orilla,bred
118,Küste::N,costa,kyst
119,Festland::N,tierra firme,fastland
120,Meer::N,mar,hav
121,Bucht::N,cala,bugt
122,Bucht::N,bahía,bugt
123,Insel::N,isla,ø
124,Blume::N,flor,blomst
125,Gras::N,hierba,græs
126,Wurzel::N,raíz,rod
127,Baum::N,árbol,træ
128,Stamm::N,tronco,stamme
129,Rinde::N,corteza,bark
130,Ast::N,rama,gren
131,Zweig::N,ramo,kvist
132,Blatt::N,hoja,blad
133,Birke::N,abedul,birk
134,Kiefer[Baum]::N,pino,fyrretræ
135,Weide[Baum]::N,sauce,piletræ
136,Tanne::N,abeto,gran
137,Horn::N,asta,horn
138,Horn::N,cuerno,horn
139,Feder::N,pluma,fjer
140,Fell::N,piel,skind
141,Flügel::N,ala,vinge
142,Klaue::N,garra,klov
143,Kralle::N,uña,klo
144,Kralle::N,garra,klo
145,Schwanz::N,cola,hale
146,Ei::N,huevo,æg
147,Nest::N,nido,rede
148,Bau::N,madriguera,bo
149,Tier::N,animal,dyr
150,Herde::N,rebaño,flok
151,Kuh::N,vaca,ko
152,Bulle::N,toro,tyr
153,Pferd::N,caballo,hest
154,Schaf::N,oveja,får
155,Schwein::N,cerdo,gris
156,Hund::N,perro,hund
157,Katze::N,gato,kat
158,Bär::N,oso,bjørn
159,Eichhörnchen::N,ardilla,egern
160,Elch::N,alce,elg
161,Fuchs::N,zorro,ræv
162,Hase::N,liebre,hare
163,Maus::N,ratón,mus
164,Wolf::N,lobo,ulv
165,Vogel::N,ave,fugl
166,Vogel::N,pájaro,fugl
167,Schwarm::N,bandada,sværm
168,Huhn::N,gallina,høne
169,Hahn::N,gallo,hane
170,Gans::N,oca,gås
171,Gans::N,ganso,gås
172,Adler::N,águila,ørn
173,Ente::N,pato,and
174,Eule::N,lechuza,ugle
175,Kranich::N,grulla,trane
176,Krähe::N,corneja,krage
177,Kuckuck::N,cuco,gøg
178,Schwan::N,cisne,svane
179,Fisch::N,pez,fisk
180,Barsch::N,perca,aborre
181,Hecht::N,lucio,gedde
182,Schlange[Tier]::N,serpiente,slange
183,Wurm::N,gusano,orm
184,Spinne::N,araña,edderkop
185,Ameise::N,hormiga,myre
186,Laus::N,piojo,lus
187,Mücke::N,mosquito,myg
188,Fliege::N,mosca,flue
189,Schmetterling::N,mariposa,sommerfugl
190,Beere::N,baya,bær
191,Apfel::N,manzana,æble
192,Pilz::N,seta,svamp
193,Pilz::N,hongo,svamp
194,Zwiebel::N,cebolla,løg
195,Saat::N,siembra,sæd
196,Korn::N,grano,korn
197,Heu::N,heno,hø
198,Schale::N,cáscara,skræl
199,Grube::N,foso,grav
200,Falle::N,trampa,fælde
201,Schlinge::N,lazo,snare
202,Spur::N,huella,spor
203,Asche::N,ceniza,aske
204,Dreck::N,suciedad,snavs
205,Eisen::N,hierro,jern
206,Gold::N,oro,guld
207,Silber::N,plata,sølv
208,Kohle::N,carbón,kul
209,Glas::N,vidrio,glas
210,Glas::N,cristal,glas
211,Lehm::N,barro,ler
212,Sand::N,arena,sand
213,Mensch::N,hombre,mennesge
214,Mensch::N,ser humano,mennesge
215,Mann::N,hombre,mand
216,Frau::N,mujer,kvinde
217,Kind::N,niño,barn
218,Junge::N,chico,dreng
219,Junge::N,muchacho,dreng
220,Mädchen::N,chica,pige
221,Mädchen::N,muchacha,pige
222,Familie::N,familia,familie
223,Großvater::N,abuelo,bedstefar
224,Großmutter::N,abuela,bedstemor
225,Eltern::N,padres,forældre
226,Vater::N,padre,far
227,Mutter::N,madre,mor
228,Sohn::N,hijo,søn
229,Tochter::N,hija,datter
230,Bruder::N,hermano,bror
231,Schwester::N,hermana,søster
232,Onkel::N,tío,onkel
233,Tante::N,tía,tante
234,Ehemann::N,esposo,ægtemand
235,Ehefrau::N,esposa,hustru
236,Freude::N,placer,glæde
237,Freude::N,alegría,glæde
238,Gelächter::N,risa,latter
239,Gelächter::N,carcajada,latter
240,Glück::N,felicidad,lykke
241,Kummer::N,pena,sorg
242,Wunsch::N,deseo,ønske
243,Lust::N,ganas,lyst
244,Geist::N,mente,ånd
245,Geist::N,espíritu,ånd
246,Gedanke::N,idea,tanke
247,Gedanke::N,pensamiento,tanke
248,Gedächtnis::N,memoria,hukommelse
249,Verstand::N,razón,forstand
250,Verstand::N,entendimiento,forstand
251,Sinn::N,sentido,mening
252,Sinn::N,sentido,betydning
253,Sinn::N,significado,mening
254,Sinn::N,significado,betydning
255,Grund::N,causa,grund
256,Wahrheit::N,verdad,sandhed
257,Gespräch::N,conversación,samtale
258,Märchen::N,cuento,eventyr
259,Erzählung::N,cuento,fortælling
260,Erzählung::N,narración,fortælling
261,Nachricht::N,mensaje,efterretning
262,Neuigkeit::N,noticia,nyhed
263,Name::N,nombre,navn
264,Rätsel::N,acertijo,gåde
265,Rätsel::N,adivinanza,gåde
266,Rede::N,discurso,tale
267,Sprache::N,lengua,sprog
268,Stimme::N,voz,stemme
269,Wort::N,palabra,ord
270,Zeichen::N,señal,tegn
271,Ruf::N,llamada,råb
272,Lärm::N,ruido,larm
273,Lärm::N,barullo,larm
274,Laut::N,sonido,lyd
275,Ton::N,tono,tone
276,Lied::N,canción,sang
277,Ruhe::N,calma,ro
278,Ruhe::N,calma,hvile
279,Ruhe::N,silencio,ro
280,Ruhe::N,silencio,hvile
281,Leute::N,gente,folk
282,Leute::N,gente,mennesker
283,Volk::N,pueblo,folk
284,Arbeit::N,trabajo,arbejde
285,Gast::N,huésped,gæst
286,Gast::N,invitado,gæst
287,Geschenk::N,regalo,gave
288,Spiel::N,juego,leg
289,Gesellschaft::N,compañía,selskab
290,Hilfe::N,ayuda,hjælp
291,Hilfe::N,socorro,hjælp
292,Freund::N,amigo,ven
293,Kamerad::N,camarada,kammerat
294,Kamerad::N,compañero,kammerat
295,Angelegenheit::N,asunto,sag
296,Angelegenheit::N,asunto,anliggende
297,Anzahl::N,cantidad,antal
298,Art::N,tipo,art
299,Art::N,clase,art
300,Stück::N,pieza,stykke
301,Teil::N,parte,del
302,Hälfte::N,mitad,halvdel
303,Kreis::N,círculo,cirkel
304,Kreuz::N,cruz,kors
305,Kreuz::N,cruz,kryds
306,Linie::N,línea,linie
307,Strich::N,raya,streg
308,Strich::N,trazo,streg
309,Abstand::N,distancia,afstand
310,Entfernung::N,distancia,afstand
311,Gegend::N,región,egn
312,Gegend::N,comarca,egn
313,Platz::N,espacio,plads
314,Ort::N,sitio,sted
315,Seite::N,lado,side
316,Seite::N,costado,side
317,Mitte::N,medio,midte
318,Mitte::N,centro,midte
319,Gegenstand::N,objeto,genstand
320,Sache::N,cosa,sag
321,Rand::N,borde,rand
322,Kante::N,borde,kant
323,Ecke::N,esquina,hjørne
324,Spitze::N,punta,spids
325,Ende::N,cabo,ende
326,Ende::N,extremo,ende
327,Loch::N,agujero,hul
328,Loch::N,abertura,hul
329,Winkel::N,ángulo,vinkel
330,Muster::N,dibujo,mønster
331,Größe::N,tamaño,størrelse
332,Länge::N,longitud,længde
333,Höhe::N,altura,højde
334,Höhe::N,altitud,højde
335,Gewicht::N,peso,vægt
336,Menge::N,cantidad,mængde
337,Haufen::N,montón,bunke
338,Reihe::N,fila,række
339,Boot::N,bote,båd
340,Boot::N,barca,båd
341,Ruder::N,remo,åre
342,Schlitten::N,trineo,kælk
343,Schlitten::N,trineo,slæde
344,Ski::N,esquí,ski
345,Lagerfeuer::N,hoguera,lejrbål
346,Last::N,carga,last
347,Last::N,carga,byrde
348,Gang::N,marcha,gang
349,Schritt::N,paso,skridt
350,Norden::N,norte,nord
351,Süden::N,sur,syd
352,Westen::N,oeste,vest
353,Osten::N,este,øst
354,Holz::N,madera,træ
355,Brett::N,tabla,bræt
356,Platte::N,placa,plade
357,Platte::N,plancha,plade
358,Stütze::N,sostén,støtte
359,Stütze::N,soporte,støtte
360,Stange::N,vara,stang
361,Stange::N,percha,stang
362,Stock::N,palo,stok
363,Stock::N,bastón,stok
364,Stab::N,vara,stav
365,Stab::N,bastón,stav
366,Rohr::N,tubo,rør
367,Haus::N,casa,hus
368,Heim::N,hogar,hjem
369,Ofen::N,estufa,ovn
370,Fußboden::N,suelo,gulv
371,Tisch::N,mesa,bord
372,Stuhl::N,silla,stol
373,Wiege::N,cuna,vugge
374,Bett::N,cama,seng
375,Regal::N,estantería,reol
376,Kiste::N,caja,kasse
377,Fenster::N,ventana,vindue
378,Tür::N,puerta,dør
379,Tor::N,puerta,port
380,Zaun::N,valla,stakit
381,Zaun::N,cercado,stakit
382,Dach::N,techo,tag
383,Dach::N,tejado,tag
384,Leiter::N,escalera,stige
385,Besen::N,escoba,kost
386,Spaten::N,pala,spade
387,Schaufel::N,pala,skovl
388,Schaufel::N,paleta,skovl
389,Gabel::N,tenedor,gaffel
390,Löffel::N,cuchara,ske
391,Messer::N,cuchillo,kniv
392,Nagel::N,clavo,søm
393,Netz::N,red,net
394,Haken::N,gancho,krog
395,Haken::N,corchete,krog
396,Griff::N,asa,tag
397,Griff::N,asa,håndtag
398,Griff::N,mango,tag
399,Griff::N,mango,håndtag
400,Schloss::N,cerradura,lås
401,Bild::N,imagen,billede
402,Figur::N,figura,figur
403,Puppe::N,muñeca,dukke
404,Beutel::N,bolsa,pose
405,Bündel::N,haz,bylt
406,Bündel::N,haz,bundt
407,Tasche::N,bolso,taske
408,Eimer::N,cubo,spand
409,Deckel::N,tapa,låg
410,Deckel::N,tapadera,låg
411,Geschirr::N,vajilla,husgeråd
412,Sack::N,saco,sæk
413,Tasse::N,taza,kop
414,Topf::N,olla,gryde
415,Topf::N,marmita,gryde
416,Kessel::N,caldera,kedel
417,Essen::N,comida,måltid
418,Nahrung::N,alimento,mad
419,Nahrung::N,alimento,næring
420,Speise::N,plato,ret
421,Fleisch::N,carne,kød
422,Getreide::N,cereales,korn
423,Brei::N,puré,grød
424,Brei::N,papilla,grød
425,Brot::N,pan,brød
426,Scheibe::N,lonja,skive
427,Scheibe::N,rebanada,skive
428,Fett::N,grasa,fedt
429,Butter::N,mantequilla,smør
430,Öl::N,aceite,olie
431,Salz::N,sal,salt
432,Suppe::N,sopa,suppe
433,Honig::N,miel,honning
434,Milch::N,leche,mælk
435,Tee::N,té,te
436,Leder::N,cuero,skind
437,Wolle::N,lana,uld
438,Stoff::N,tela,stof
439,Stoff::N,tejido,stof
440,Nadel::N,aguja,nål
441,Faden::N,hilo,tråd
442,Knopf::N,botón,knap
443,Knoten::N,nudo,knude
444,Farbe::N,pintura,farve
445,Kleidung::N,ropa,påklædning
446,Kleidung::N,vestidos,påklædning
447,Hemd::N,camisa,skjorte
448,Kragen::N,cuello,krave
449,Ärmel::N,manga,ærme
450,Hose::N,pantalón,bukser
451,Gürtel::N,cinturón,bælte
452,Mütze::N,gorro,hue
453,Schuh::N,zapato,sko
454,Stiefel::N,bota,støvle
455,Ring::N,anillo,ring
456,Band::N,cinta,bånd
457,Kamm::N,peine,kam
458,Spiegel::N,espejo,spejl
459,Riemen::N,correa,rem
460,Schnur::N,cuerda,snor
461,Leine::N,correa,snor
462,Decke::N,manta,tæppe
463,Kissen::N,almohada,pude
464,Tuch::N,pañuelo,sjaltørklæde
465,Handtuch::N,toalla,håndklæde
466,Kraft::N,fuerza,kraft
467,Stärke::N,fuerza,styrke
468,Gesundheit::N,salud,sundhed
469,Krankheit::N,enfermedad,sygdom
470,Schmerz::N,dolor,smerte
471,Wunde::N,llaga,sår
472,Wunde::N,herida,sår
473,Fieber::N,fiebre,feber
474,Arznei::N,medicina,medicin
475,Arznei::N,medicina,lægemiddel
476,Arznei::N,medicamento,medicin
477,Arznei::N,medicamento,lægemiddel
478,Brücke::N,puente,bro
479,Brunnen::N,pozo,brønd
480,Weide::N,pasto,græsgang
481,Pfad::N,sendero,sti
482,Weg::N,camino,vej
483,Straße::N,vía,gade
484,Straße::N,carretera,gade
485,Dorf::N,aldea,landsby
486,Dorf::N,pueblo,landsby
487,Stadt::N,ciudad,by
488,Brief::N,carta,brev
489,Buch::N,libro,bog
490,Buchstabe::N,letra,bogstav
491,Buchstabe::N,carácter,bogstav
492,Zeitung::N,diario,avis
493,Zeitung::N,periódico,avis
494,Leben::N,vida,liv
495,Tod::N,muerte,død
496,Grab::N,tumba,grav
497,Grab::N,sepulcro,grav
498,Kirche::N,iglesia,kirke
499,Sünde::N,pecado,synd
500,Gott::N,dios,gud
501,Arbeiter::N,obrero,arbejder
502,Arbeiter::N,trabajador,arbejder
503,Chef::N,jefe,chef
504,Meister::N,maestro,mester
505,Arzt::N,médico,læge
506,Lehrer::N,profesor,lærer
507,Geld::N,dinero,penge
508,Geschäft::N,negocio,forretning
509,Laden::N,tienda,butik
510,Laden::N,tienda,forretning
511,Preis::N,precio,pris
512,Ware::N,mercancía,vare
513,Nutzen::N,provecho,nytte
514,Reichtum::N,riqueza,rigdom
515,Welt::N,mundo,verden
516,Land::N,país,land
517,Staat::N,Estado,stat
518,König::N,rey,konge
519,Macht::N,poder,magt
520,Macht::N,potencia,magt
521,Grenze::N,frontera,grænse
522,Krieg::N,guerra,krig
523,Feind::N,enemigo,fjende
524,Gewalt::N,violencia,vold
525,Kampf::N,lucha,kamp
526,Kampf::N,combate,kamp
527,Bogen[Waffe]::N,arco,bue
528,Pfeil::N,flecha,pil
529,Gewehr::N,fusil,gevær
530,Gewehr::N,escopeta,gevær
531,Fehler::N,error,fejl
532,Lüge::N,mentira,løgn
533,Schaden::N,daño,skade
534,Unglück::N,desgracia,uheld
535,Unglück::N,desgracia,ulykke
536,Schuld::N,culpa,skyld
537,Alter::N,edad,alder
538,Schluss::N,fin,slut
539,Schluss::N,fin,slutning
540,Schluss::N,final,slut
541,Schluss::N,final,slutning
542,Zeit::N,tiempo,tid
543,Tag::N,día,dag
544,Morgen::N,mañana,morgen
545,Mittag::N,mediodía,middag
546,Abend::N,noche,aften
547,Nacht::N,noche,nat
548,Woche::N,semana,uge
549,Monat::N,mes,måned
550,Jahr::N,año,år
551,Frühling::N,primavera,forår
552,Sommer::N,verano,sommer
553,Herbst::N,otoño,efterår
554,Winter::N,invierno,vinter
555,Januar::N,enero,januar
556,Februar::N,febrero,februar
557,März::N,marzo,marts
558,April::N,abril,april
559,Mai::N,mayo,maj
560,Juni::N,junio,juni
561,Juli::N,julio,juli
562,August::N,agosto,august
563,September::N,septiembre,september
564,Oktober::N,octubre,oktober
565,November::N,noviembre,november
566,Dezember::N,diciembre,december
567,Montag::N,lunes,mandag
568,Dienstag::N,martes,tirsdag
569,Mittwoch::N,miércoles,onsdag
570,Donnerstag::N,jueves,torsdag
571,Freitag::N,viernes,fredag
572,Samstag::N,sábado,lørdag
573,Sonntag::N,domingo,søndag
574,groß::A,grande,stor
575,klein::A,pequeño,lille
576,lang::A,largo,lang
577,kurz::A,corto,kort
578,breit::A,ancho,bred
579,schmal::A,estrecho,smal
580,dicht::A,denso,tæt
581,dick[Gegenstand]::A,grueso,tyk
582,dünn::A,fino,tynd
583,dünn::A,delgado,tynd
584,fein::A,fino,fin
585,fein::A,delicado,fin
586,fest::A,firme,fast
587,fest::A,sólido,fast
588,flach::A,plano,flad
589,glatt::A,liso,glat
590,hart::A,duro,hård
591,weich::A,muelle,blød
592,rund::A,redondo,rund
593,spitz::A,agudo,spids
594,spitz::A,apuntado,spids
595,scharf::A,agudo,skarp
596,scharf::A,afilado,skarp
597,stumpf::A,sin filo,sløv
598,stumpf::A,sin filo,stump
599,schwer::A,pesado,tung
600,schön::A,bello,skøn
601,schön::A,hermoso,skøn
602,heiß::A,caluroso,hed
603,warm::A,cálido,varm
604,warm::A,caliente,varm
605,kalt::A,frío,kold
606,kühl::A,fresco,kølig
607,frisch::A,fresco,frisk
608,feucht::A,húmedo,fugtig
609,nass::A,mojado,våd
610,trocken::A,seco,tør
611,voll::A,lleno,fuld
612,leer::A,vacío,tom
613,offen::A,abierto,åben
614,geschlossen::A,cerrado,lukket
615,sauber::A,limpio,ren
616,schmutzig::A,sucio,snavset
617,roh::A,crudo,rå
618,reif::A,maduro,moden
619,lecker::A,rico,lækker
620,lecker::A,sabroso,lækker
621,süß::A,dulce,sød
622,bitter::A,amargo,bitter
623,sauer::A,agrio,sur
624,hell::A,claro,lys
625,dunkel::A,oscuro,mørk
626,schwarz::A,negro,sort
627,weiß::A,blanco,hvid
628,rot::A,rojo,rød
629,gelb::A,amarillo,gul
630,blau::A,azul,blå
631,grün::A,verde,grøn
632,grau::A,gris,grå
633,bunt::A,multicolor,broget
634,billig::A,barato,billig
635,teuer::A,caro,dyr
636,wertvoll::A,valioso,værdifuld
637,wertvoll::A,precioso,værdifuld
638,blind::A,ciego,blind
639,taub::A,sordo,døv
640,kräftig::A,fuerte,kraftig
641,stark::A,fuerte,stærk
642,stark::A,vigoroso,stærk
643,schwach::A,débil,svag
644,fett::A,obeso,fed
645,schlank::A,esbelto,slank
646,hübsch::A,mono,køn
647,hübsch::A,guapo,køn
648,böse::A,malo,ond
649,böse::A,malo,slem
650,dumm::A,tonto,dum
651,dumm::A,estúpido,dum
652,faul::A,vago,doven
653,faul::A,perezoso,doven
654,fleißig::A,aplicado,flittig
655,fleißig::A,diligente,flittig
656,geizig::A,avaro,gerrig
657,klug::A,sensato,klog
658,klug::A,inteligente,klog
659,geschickt::A,hábil,dygtig
660,geschickt::A,hábil,behændig
661,lieb::A,querido,rar
662,lustig::A,alegre,lystig
663,sanft::A,suave,blid
664,hungrig::A,hambriento,sulten
665,krank::A,enfermo,syg
666,nackt::A,desnudo,nøgen
667,traurig::A,triste,bedrøvet
668,lebendig::A,vivo,levende
669,lebendig::A,viviente,levende
670,gut::A,bueno,god
671,schlecht::A,malo,dårlig
672,richtig::A,justo,rigtig
673,richtig::A,correcto,rigtig
674,schlimm::A,malo,slem
675,schlimm::A,grave,slem
676,wahr::A,verídico,sand
677,wahr::A,verdadero,sand
678,alt::A,viejo,gammel
679,neu::A,nuevo,ny
680,ehemalig::A,antiguo,forhenværende
681,alt[Lebewesen]::A,viejo,gammel
682,jung::A,joven,ung
683,arm::A,pobre,fattig
684,reich::A,rico,rig
685,bekannt::A,conocido,kendt
686,berühmt::A,famoso,berømt
687,berühmt::A,célebre,berømt
688,fremd::A,extraño,fremmed
689,verschieden::A,diverso,forskellig
690,verschieden::A,distinto,forskellig
691,verschieden::A,diferente,forskellig
692,nah::A,cercano,nær
693,fern::A,lejano,fjern
694,linker::A,izquierdo,venstre
695,rechter::A,derecho,højre
696,anderer::A,otro,anden
697,erster::A,primero,første
698,zweiter::A,segundo,anden
699,dritter::A,tercero,tredje
700,letzter::A,último,sidste
701,allein::ADV,a solo,alene
702,auf einmal::ADV,de una vez,på én gang
703,zusammen::ADV,juntos,sammen
704,lange::ADV,mucho tiempo,længe
705,plötzlich::ADV,de repente,pludselig
706,sofort::ADV,en seguida,straks
707,später::ADV,más tarde,senere
708,jetzt::ADV,ahora,nu
709,heute::ADV,hoy,i dag
710,morgen::ADV,mañana,i morgen
711,bald::ADV,pronto,snart
712,bald::ADV,en breve,snart
713,dann::ADV,luego,så
714,dann::ADV,entonces,så
715,gestern::ADV,ayer,i går
716,einst::ADV,antaño,engang
717,damals::ADV,entonces,dengang
718,danach::ADV,después,derefter
719,vorher::ADV,antes,før
720,vorher::ADV,antes,forud
721,zuerst::ADV,primero,først
722,einmal::ADV,una vez,en gang
723,manchmal::ADV,a veces,sommetider
724,oft::ADV,a menudo,ofte
725,oft::ADV,con frecuencia,ofte
726,immer::ADV,siempre,altid
727,niemals::ADV,jamás,aldrig
728,hier::ADV,aquí,her
729,hierhin::ADV,acá,hid
730,hierhin::ADV,acá,herhen
731,von hier::ADV,desde aquí,herfra
732,dort::ADV,ahí,der
733,dort::ADV,allí,der
734,dorthin::ADV,allí,derhen
735,dorthin::ADV,hacia allí,derhen
736,geradeaus::ADV,todo derecho,lige ud
737,vorwärts::ADV,adelante,fremad
738,rückwärts::ADV,hacia atrás,baglæns
739,zurück::ADV,atrás,tilbage
740,unten::ADV,abajo,nede
741,unten::ADV,abajo,forneden
742,hinab::ADV,hacia abajo,ned
743,hinab::ADV,hacia abajo,nedad
744,oben::ADV,arriba,oppe
745,oben::ADV,arriba,ovenpå
746,hinauf::ADV,hacia arriba,op
747,hinauf::ADV,hacia arriba,opad
748,überall::ADV,por todas partes,overalt
749,nicht::ADV,no,ikke
750,ein wenig::ADV,un poco,lidt
751,kaum::ADV,apenas,knap
752,kaum::ADV,apenas,næppe
753,sehr::ADV,muy,meget
754,sehr::ADV,mucho,meget
755,so::ADV,tan,så
756,noch::ADV,aún,endnu
757,noch::ADV,todavía,endnu
758,nur::ADV,solamente,kun
759,nur::ADV,solamente,bare
760,schon::ADV,ya,alt
761,schon::ADV,ya,allerede
762,wieder::ADV,de nuevo,igen
763,vergebens::ADV,en vano,forgæves
764,vor::PRP,antes de,foran
765,vor::PRP,antes de,uden for
766,vor::PRP,delante de,foran
767,vor::PRP,delante de,uden for
768,hinter::PRP,tras,bag
769,hinter::PRP,tras,bagved
770,hinter::PRP,detrás de,bag
771,hinter::PRP,detrás de,bagved
772,unter::PRP,bajo,under
773,unter::PRP,debajo de,under
774,durch::PRP,por,gennem
775,durch::PRP,por,igennem
776,durch::PRP,a través de,gennem
777,durch::PRP,a través de,igennem
778,neben::PRP,al lado de,ved siden af
779,zwischen::PRP,entre,mellem
780,wegen::PRP,por,på grund af
781,wegen::PRP,a causa de,på grund af
782,dies::PRN,esto,dette
783,das::PRN,eso,det
784,das::PRN,esto,det
785,alles::PRN,todo,alt
786,ich::PRN,yo,jeg
787,du::PRN,tú,du
788,er::PRN,él,han
789,wir::PRN,nosotros,vi
790,ihr::PRN,vosotros,I
791,sie::PRN,ellos,de
792,was::FPRN,qué,hvad
793,wer::FPRN,quién,hvem
794,wo::FADV,dónde,hvor
795,wohin::FADV,adónde,hvorhen
796,wohin::FADV,hacia dónde,hvorhen
797,wie::FADV,cómo,hvordan
798,warum::FADV,por qué,hvorfor
799,wieviel::FNUM,cuánto,hvor meget
800,eins::NUM,uno,én
801,zwei::NUM,dos,to
802,drei::NUM,tres,tre
803,vier::NUM,cuatro,fire
804,fünf::NUM,cinco,fem
805,sechs::NUM,seis,seks
806,sieben::NUM,siete,syv
807,acht::NUM,ocho,otte
808,neun::NUM,nueve,ni
809,zehn::NUM,diez,ti
810,elf::NUM,once,elleve
811,zwölf::NUM,doce,tolv
812,zwanzig::NUM,veinte,tyve
813,dreißig::NUM,treinta,tredive
814,vierzig::NUM,cuarenta,fyrre
815,vierzig::NUM,cuarenta,fyrretyve
816,fünfzig::NUM,cincuenta,halvtreds
817,sechzig::NUM,sesenta,tres
818,siebzig::NUM,setenta,halvfjerds
819,achtzig::NUM,ochenta,firs
820,neunzig::NUM,noventa,halvfems
821,hundert::NUM,cien,hundrede
822,hundert::NUM,ciento,hundrede
823,tausend::NUM,mil,tusind
824,und::CNJ,y,og
825,oder::CNJ,o,eller
826,stehen::V,estar de pie,stå
827,sitzen::V,estar sentado,sidde
828,liegen::V,yacer,ligge
829,liegen::V,estar acostado,ligge
830,hängen::V,pender,hænge
831,werden::V,hacerse,blive
832,passieren::V,suceder,ske
833,passieren::V,suceder,hænde
834,beginnen::V,iniciarse,begynde
835,beginnen::V,principiar,begynde
836,enden::V,acabar,ende
837,enden::V,terminar,ende
838,wechseln::V,variar,veksle
839,wechseln::V,alternar,veksle
840,aufgehen[Sonne]::V,salir,gå op
841,aufgehen[Sonne]::V,salir,stå op
842,untergehen[Sonne]::V,ponerse,gå ned
843,untergehen[Sonne]::V,descender,gå ned
844,scheinen[Sonne]::V,brillar,skinne
845,donnern::V,tronar,tordne
846,wehen::V,soplar,blæse
847,strömen::V,afluir,strømme
848,fließen::V,fluir,flyde
849,fließen::V,correr,flyde
850,sich drehen::V,girar,dreje sig
851,schwanken::V,vacilar,vakle
852,schwingen::V,oscilar,svinge
853,fallen::V,caer,falde
854,brennen::V,arder,brænde
