,Concept_ID,ro,ko
383,Ruder::N,lopată,노
384,Schlitten::N,sanie,썰매
385,Ski::N,schi,스키
386,Lagerfeuer::N,foc de tabără,캠프의 모닥불
387,Last::N,povară,무거운짐
388,Last::N,sarcină,무거운짐
389,Gang::N,mers,걸음
390,Gang::N,umblet,걸음
391,Schritt::N,pas,보조
392,Norden::N,nord,북쪽 
393,Norden::N,miazănoapte,북쪽 
394,Süden::N,sud,남쪽
395,Süden::N,miazăzi,남쪽
396,Westen::N,apus,서쪽
397,Osten::N,est,동쪽
398,Osten::N,răsărit,동쪽
399,Holz::N,lemn,목재
400,Brett::N,scândură,마루널
401,Platte::N,placă,탤
402,Platte::N,placă,금속판
403,Stütze::N,proptea,버팀목
404,Stange::N,bară,장대
405,Stange::N,prăjină,장대
406,Stock::N,băț,막대기
407,Stock::N,baston,막대기
408,Stab::N,baston,작대기
409,Stab::N,prăjină,작대기
410,Rohr::N,tub,갈대
411,Rohr::N,țeavă,갈대
412,Haus::N,casă,집
413,Heim::N,casă,집
414,Heim::N,cămin,집
415,Ofen::N,sobă,아궁이
416,Fußboden::N,podea,마루
417,Fußboden::N,dușumea,마루
418,Tisch::N,masă,탁자
419,Stuhl::N,scaun,의자
420,Wiege::N,leagăn,발상지
421,Bett::N,pat,침대
422,Regal::N,rafturi,서가
423,Kiste::N,ladă,짐궤
424,Kiste::N,cutie,짐궤
425,Fenster::N,fereastră,눔
426,Tür::N,ușă,문
427,Tor::N,poartă,대문
428,Zaun::N,gard,담장
429,Dach::N,acoperiș,지붕
430,Leiter::N,scară,사닥다리
431,Besen::N,mătură,비
432,Spaten::N,cazma,가래
433,Spaten::N,hârleț,가래
434,Schaufel::N,lopată,삽
435,Gabel::N,furculiță,갈래
436,Löffel::N,lingură,숟가락
437,Messer::N,cuțit,나이프
438,Nagel::N,cui,발툽
439,Netz::N,plasă,그물
440,Haken::N,cârlig,갈고리
441,Griff::N,mâner,움켜쥠
442,Schloss::N,lacăt,자물쇠
443,Bild::N,tablou,그림
444,Bild::N,imagine,그림
445,Figur::N,chip,몸메
446,Figur::N,figură,몸메
447,Puppe::N,păpușă,인형
448,Beutel::N,pungă,클
449,Beutel::N,săculeț,클
450,Bündel::N,mănunchi,자근다발
451,Tasche::N,geantă,가방
452,Eimer::N,găleată,동이
453,Deckel::N,capac,뚜껑
454,Geschirr::N,vase,식시
455,Geschirr::N,tacâmuri,식시
456,Sack::N,sac,조갑
457,Tasse::N,ceașcă,차잔
458,Topf::N,oală,단지
459,Kessel::N,cazan,주전자
460,Kessel::N,căldare,주전자
461,Essen::N,mâncare,먹기
462,Nahrung::N,hrană,식료
463,Nahrung::N,aliment,식료
464,Speise::N,bucate,음식물
465,Speise::N,fel de bucate,음식물
466,Fleisch::N,carne,고기
467,Getreide::N,cereale,곡물
468,Brei::N,pireu,젤리
469,Brot::N,pâine,빵
470,Scheibe::N,felie,원반
471,Scheibe::N,bucată,원반
472,Fett::N,untură,기름
473,Fett::N,grăsime,기름
474,Butter::N,unt,버터
475,Öl::N,ulei,올리브유
476,Salz::N,sare,소금
477,Suppe::N,supă,국
478,Suppe::N,supă,수프
479,Suppe::N,ciorbă,국
480,Suppe::N,ciorbă,수프
481,Honig::N,miere,감미
482,Milch::N,lapte,유즙
483,Tee::N,ceai,차
484,Leder::N,piele,가죽
485,Wolle::N,lână,양털
486,Stoff::N,stofă,패료
487,Nadel::N,ac,바늘
488,Faden::N,ață,콘실
489,Knopf::N,buton,단추
490,Knoten::N,nod,곁절
491,Farbe::N,vopsea,색
492,Kleidung::N,haine,옷입기
493,Kleidung::N,îmbrăcăminte,옷입기
494,Hemd::N,cămașă,속옷
495,Kragen::N,guler,깃
496,Ärmel::N,mânecă,소매
497,Hose::N,pantaloni,바지
498,Gürtel::N,cordon,밴드
499,Mütze::N,șapcă,모자
500,Schuh::N,gheată,구두
501,Stiefel::N,cizmă,장화
502,Ring::N,inel,고리
503,Ring::N,verigă,고리
504,Band::N,panglică,리본
505,Band::N,șiret,리본
506,Kamm::N,pieptene,빗
507,Spiegel::N,oglindă,거울
508,Riemen::N,curea,가죽끈
509,Schnur::N,funie,밧줄
510,Schnur::N,sfoară,밧줄
511,Leine::N,lesă,고삐줄
512,Leine::N,curea,고삐줄
513,Decke::N,pătură,이부자리
514,Kissen::N,pernă,깔개
515,Tuch::N,batic,천
516,Handtuch::N,prosop,수건
517,Handtuch::N,ștergar,수건
518,Kraft::N,forță,세력
519,Kraft::N,putere,세력
520,Stärke::N,tărie,힘
521,Stärke::N,vigoare,힘
522,Gesundheit::N,sănătate,위생
523,Krankheit::N,boală,병
524,Krankheit::N,maladie,병
