,Concept_ID,mrj,br
236,Lust::N,шӓр,c'hoant
237,Lust::N,охата,c'hoant
238,Lust::N,шанымаш,c'hoant
239,Geist::N,тух,spered
240,Gedanke::N,шанымаш,soñj
241,Gedächtnis::N,ӓш,eñvor
242,Verstand::N,ыш,skiant
243,Sinn::N,кын,ster
244,Grund::N,вир,kaoz
245,Wahrheit::N,тöр,gwirionez
246,Gespräch::N,хытырымаш,kaozeadenn
247,Märchen::N,ямак,kaoz korriganez
248,Erzählung::N,шайыштмаш,kontadenn
249,Nachricht::N,увертӓрӹмӓш,keloù
250,Neuigkeit::N,увер,kelaouenn
251,Name::N,лӹм,anv
252,Rätsel::N,тышты,divinatez
253,Rede::N,шая,diskour
254,Rede::N,шамак,diskour
255,Sprache::N,йӹлмӹ,yezh
256,Stimme::N,юк,mouezh
257,Wort::N,шамак,ger
258,Zeichen::N,палӹ,sin
259,Ruf::N,сӹгӹрӹмӓш,galv
260,Lärm::N,юкланымащ,trouz
261,Laut::N,юк,
262,Ton::N,юк,ton
263,Lied::N,мыры,kanaouenn
264,Ruhe::N,тыр,sioulded
265,Leute::N,эдемвлӓ,tud
266,Volk::N,халык,pobl
267,Arbeit::N,пӓшӓ,labour
268,Gast::N,хына,kouviad
269,Geschenk::N,подарка,prof
270,Spiel::N,мадыш,c'hoari
271,Gesellschaft::N,йӓл,kompagnunezh
272,Gesellschaft::N,йӓл,kavandad
273,Gesellschaft::N,йӓлвлӓ,kompagnunezh
274,Gesellschaft::N,йӓлвлӓ,kavandad
275,Hilfe::N,палшык,sikour
276,Freund::N,тӓнг,mignon
277,Kamerad::N,тос,kamarad
278,Angelegenheit::N,дела,afer
279,Angelegenheit::N,йела,afer
280,Angelegenheit::N,йыла,afer
281,Angelegenheit::N,пӓшӓ,afer
282,Anzahl::N,шот,niver
283,Art::N,цӹре,sort
284,Stück::N,лаштык,tamm
285,Teil::N,пай,pezh
286,Teil::N,часть,pezh
287,Hälfte::N,пел,hanterenn
288,Kreis::N,тӹртӹш,kelc'h
289,Kreuz::N,крестӹ,kroaz
290,Abstand::N,ло,distok
291,Entfernung::N,ло,keid
292,Entfernung::N,ло,kehid
293,Gegend::N,вӓр,korn-bro
294,Platz::N,вӓр,plasenn
295,Ort::N,вӓр,lec'h
296,Seite::N,öрдӹж,tu
297,Mitte::N,ло,kreiz
298,Gegenstand::N,хӓдӹр,tra
299,Sache::N,хӓдӹр,tra
300,Rand::N,шöр,kantenn
301,Kante::N,шöр,kantenn
302,Ecke::N,лык,korn
303,Spitze::N,вуй,begell
304,Ende::N,вуй,dibenn
305,Ende::N,мычаш,dibenn
306,Loch::N,ыраж,toull
307,Winkel::N,лык,
308,Muster::N,тӹрлец,tresadenn
309,Größe::N,кӱкшӹц,ment
310,Länge::N,кыт,hirder
311,Höhe::N,кӱкшӹц,uhelder
312,Gewicht::N,нелӹц,pouez
313,Menge::N,шот,bern
314,Haufen::N,ара,bern
315,Reihe::N,ряд,steud
316,Boot::N,пыш,bag
317,Ruder::N,вешлӓ,roeñv
318,Schlitten::N,тир,trainell
319,Ski::N,ечӹ,ski
320,Lagerfeuer::N,тыл,
321,Last::N,нелӹц,karg
322,Gang::N,ход,kerzh
323,Schritt::N,ашкыл,paz
324,Norden::N,йыдпелвел,norzh
325,Norden::N,йыдпелвел,hanternoz
326,Süden::N,кечӹвӓлвел,su
327,Süden::N,кечӹвӓлвел,kreisteiz
328,Westen::N,кечӹ шӹцмӹ,kuzh-heol
329,Osten::N,ирвел,reter
330,Osten::N,ирвел,sav-heol
331,Osten::N,кечӹ лӱлтмӹ,reter
332,Osten::N,кечӹ лӱлтмӹ,sav-heol
333,Holz::N,пушӓнгӹ,koad
334,Brett::N,ханга,plankenn
335,Platte::N,плитӓ,plakenn
336,Stütze::N,цӓрӓк,harp
337,Stange::N,равы,sparl
338,Stange::N,намаш,sparl
339,Stock::N,панды,bazh
340,Stab::N,равы,bazh
341,Rohr::N,пыч,tub
342,Rohr::N,пыч,korz
343,Haus::N,пöрт,ti
344,Heim::N,пöрт,kêr
345,Ofen::N,камака,forn
346,Fußboden::N,седӹрӓ,plañchod
347,Tisch::N,стöл,taol
348,Stuhl::N,пöкен,kador
349,Wiege::N,шипкӓ,kavell
350,Bett::N,койка,gwele
351,Bett::N,кравать,gwele
352,Regal::N,полицӓ,estajerenn
353,Kiste::N,шӱ́ндӹк,kased
354,Fenster::N,окня,prenestr
355,Tür::N,амаса,dor
356,Tor::N,хапка,portal
357,Zaun::N,забор,sklotur
358,Dach::N,левӓш,toenn
359,Leiter::N,ташкалтыш,skeul
360,Besen::N,сало,skubell
361,Besen::N,салко,skubell
362,Spaten::N,кольмы,pal
363,Schaufel::N,лоток,pal
364,Gabel::N,ви́лка,fourchetez
365,Löffel::N,савала,loa
366,Messer::N,кӹзӹ,kontell
367,Nagel::N,пыда,tach
368,Netz::N,вӓпш,roued
369,Haken::N,крӱк,krog
370,Haken::N,кагак,krog
371,Griff::N,кычем,kemer
372,Schloss::N,замок,potenn
373,Schloss::N,сыравач,potenn
374,Bild::N,картин,skeudenn
375,Figur::N,кӓн,skeud
376,Figur::N,кӓн,figur
377,Puppe::N,поханя,merc'hodenn
378,Beutel::N,мешӓк,sac'h
379,Bündel::N,топ,feskenn
380,Bündel::N,пидӹш,feskenn
381,Bündel::N,кӹлдӹш,feskenn
382,Tasche::N,сумкы,sac'h
383,Eimer::N,ведӹрӓ,sailh
384,Deckel::N,комдыш,pallenn
385,Geschirr::N,ӓтӹ,listriaj
386,Sack::N,мешӓк,sac'h
387,Tasse::N,цӓшкӓ,tas
388,Topf::N,ми́ска,pod
389,Kessel::N,пад,chaodouron
390,Essen::N,качкыш,pred
391,Essen::N,качкыш-йӱш,pred
392,Nahrung::N,качкыш,boued
393,Nahrung::N,качкыш-йӱш,boued
394,Speise::N,няня,meuz
395,Fleisch::N,пай,kig
396,Getreide::N,киндӹ,ed
397,Brei::N,шӹрӓш,yod
398,Brot::N,сыкыр,bara
399,Scheibe::N,ламыт,tailhenn
400,Scheibe::N,лаштык,tailhenn
401,Fett::N,кая,lard
402,Butter::N,ӱ,amann
403,Öl::N,ӱ,eoul
404,Salz::N,санзал,holen
405,Suppe::N,лем,soubenn
406,Honig::N,мӱ,mel
407,Milch::N,шӹшер,laezh
408,Tee::N,чӓй,te
