,Concept_ID,kv,pl
258,Nachricht::N,висьталӧм,wiadomość
259,Neuigkeit::N,новость,nowina
260,Name::N,ним,imię
261,Rätsel::N,загадка,zagadka
262,Rede::N,сёрни,mowa
263,Sprache::N,кыв,język
264,Stimme::N,голос,głos
265,Wort::N,кыв,słowo
266,Zeichen::N,пас,znak
267,Ruf::N,чуксӧм,wołanie
268,Ruf::N,чукӧстӧм,wołanie
269,Lärm::N,шум,hałas
270,Lärm::N,шум,zgiełk
271,Laut::N,шы,dźwięk
272,Ton::N,гор,ton
273,Ton::N,гор,dźwięk
274,Lied::N,сьыланкыв,pieśń
275,Lied::N,сьыланкыв,piosenka
276,Ruhe::N,спокой,spokój
277,Leute::N,йӧз,ludzie
278,Volk::N,йӧз,naród
279,Volk::N,народ,naród
280,Arbeit::N,удж,praca
281,Arbeit::N,удж,robota
282,Gast::N,гӧсь,gość
283,Geschenk::N,гӧснеч,prezent
284,Geschenk::N,гӧснеч,podarunek
285,Geschenk::N,подарок,prezent
286,Geschenk::N,подарок,podarunek
287,Spiel::N,орсӧм,gra
288,Spiel::N,орсӧм,zabawa
289,Gesellschaft::N,компания,towarzystwo
290,Hilfe::N,отсӧт,pomoc
291,Freund::N,модз,przyjaciel
292,Freund::N,дружок,przyjaciel
293,Kamerad::N,тӧдса,kolega
294,Angelegenheit::N,дело,sprawa
295,Anzahl::N,лыд,ilość
296,Art::N,пӧлӧс,rodzaj
297,Stück::N,тор,kawałek
298,Teil::N,юкӧм,część
299,Hälfte::N,джын,połowa
300,Kreis::N,круг,krąg
301,Kreuz::N,перна,krzyż
302,Linie::N,визь,linia
303,Strich::N,кырӧв,kreska
304,Abstand::N,колас,odstęp
305,Entfernung::N,ылына,odległość
306,Gegend::N,места,okolica
307,Platz::N,места,miejsce
308,Ort::N,места,miejsce
309,Seite::N,ладор,bok
310,Seite::N,ладор,strona
311,Mitte::N,шӧр,środek
312,Gegenstand::N,тор,przedmiot
313,Sache::N,тор,rzecz
314,Rand::N,дор,skraj
315,Rand::N,дор,krawędź
316,Kante::N,ордлы,kant
317,Kante::N,ордлы,krawędź
318,Ecke::N,пельӧс,róg
319,Spitze::N,йыв,ostrze
320,Ende::N,йыв,koniec
321,Loch::N,осьта,dziura
322,Winkel::N,пельӧс,kąt
323,Winkel::N,пельӧс,kącik
324,Muster::N,сер,wzór
325,Größe::N,ыжда,rozmiar
326,Größe::N,ыжда,wielkość
327,Länge::N,кузя,długość
328,Höhe::N,сувда,wysokość
329,Höhe::N,вылына,wysokość
330,Gewicht::N,сьӧкта,ciężar
331,Haufen::N,куча,kupa
332,Reihe::N,лёдз,rząd
333,Reihe::N,лёдз,szereg
334,Boot::N,пыж,łódź
335,Boot::N,пыж,łódka
336,Ruder::N,пелыс,wiosło
337,Schlitten::N,додь,sanki
338,Ski::N,лямпа,narta
339,Lagerfeuer::N,бипур,ognisko
340,Last::N,тягота,ciężar
341,Last::N,тягота,brzemię
342,Gang::N,мунӧм,chód
343,Schritt::N,вожмӧв,krok
344,Norden::N,ой,północ
345,Süden::N,лун,południe
346,Westen::N,рытвыв,zachód
347,Osten::N,асыв,wschód
348,Holz::N,пу,drzewo
349,Brett::N,пӧв,deska
350,Platte::N,плита,płyta
351,Stütze::N,пика,podpora
352,Stange::N,зор,drąg
353,Stange::N,зор,żerdź
354,Stange::N,потш,drąg
355,Stange::N,потш,żerdź
356,Stock::N,бедь,kij
357,Stock::N,бедь,laska
358,Stab::N,шест,pręt
359,Rohr::N,труба,rura
360,Haus::N,керку,dom
361,Heim::N,керку,dom
362,Ofen::N,пӧжавны,piec
363,Fußboden::N,джодж,podłoga
364,Tisch::N,пызан,stół
365,Stuhl::N,стул,krzesło
366,Wiege::N,зыбка,kołyska
367,Bett::N,кровать,łóżko
368,Bett::N,кровать,pościel
369,Regal::N,джадж,regał
370,Kiste::N,ящик,skrzynia
371,Fenster::N,ӧшын,okno
372,Tür::N,ыбӧс,drzwi
373,Tor::N,ворота,brama
374,Zaun::N,забор,płot
375,Zaun::N,забор,parkan
376,Dach::N,крыша,dach
377,Leiter::N,лиснич,drabina
378,Besen::N,рос,miotła
379,Spaten::N,зыр,rydel
380,Schaufel::N,зыр,łopata
381,Gabel::N,вила,widelec
382,Löffel::N,пань,łyżka
383,Messer::N,пурт,nóż
384,Nagel::N,кӧрттув,gwóźdź
385,Netz::N,кыйӧт,sieć
386,Haken::N,ем,hak
387,Griff::N,пу,chwyt
388,Schloss::N,замок,zamek
389,Bild::N,картина,obraz
390,Figur::N,мыгӧр,figura
391,Puppe::N,акань,lalka
392,Beutel::N,мешӧк,torba
393,Bündel::N,нин,wiązka
394,Tasche::N,сумка,torba
395,Eimer::N,ведра,kubeł
396,Eimer::N,ведра,wiadro
397,Deckel::N,вевт,przykrywka
398,Geschirr::N,доз,statki
399,Geschirr::N,доз,naczynia
400,Geschirr::N,бекӧрпань,statki
401,Geschirr::N,бекӧрпань,naczynia
402,Sack::N,мешӧк,worek
403,Tasse::N,бекӧр,filiżanka
404,Topf::N,кастрюля,garnek
405,Kessel::N,пӧрт,kocioł
406,Essen::N,сёйӧм,jedzenie
407,Nahrung::N,вердан,pokarm
408,Nahrung::N,вердан,pożywienie
409,Speise::N,сёян,potrawa
410,Speise::N,сёян,jedzenie
411,Fleisch::N,яй,mięso
412,Getreide::N,сю,zboże
413,Brei::N,каша,kasza
414,Brot::N,нянь,chleb
415,Scheibe::N,шӧрӧм,kromka
416,Fett::N,гос,tłuszcz
417,Butter::N,ви,masło
418,Öl::N,ви,olej
419,Salz::N,сов,sól
420,Suppe::N,шыд,zupa
421,Honig::N,ма,miód
422,Milch::N,йӧв,mleko
423,Tee::N,чай,herbata
424,Leder::N,кучик,skóra
425,Wolle::N,гӧн,wełna
426,Stoff::N,дӧра,tkanina
427,Stoff::N,дӧра,materiał
428,Nadel::N,ем,igła
429,Faden::N,сунис,nić
430,Faden::N,сунис,nitka
431,Knopf::N,кизь,guzik
432,Knoten::N,узӧв,węzeł
433,Knoten::N,гӧрӧд,węzeł
434,Farbe::N,краска,farba
435,Kleidung::N,паськӧм,odzież
436,Hemd::N,йӧрнӧс,koszula
437,Kragen::N,воротник,kołnierz
438,Ärmel::N,сос,rękaw
439,Hose::N,вешьян,spodnie
440,Gürtel::N,йи,pasek
441,Mütze::N,шапка,czapka
442,Schuh::N,ботинки,but
443,Schuh::N,ботинки,bucik
444,Stiefel::N,сапог,but
445,Stiefel::N,сапог,kozak
446,Ring::N,чунькытш,pierścień
447,Band::N,ленточка,wstęga
448,Kamm::N,сынан,grzebień
449,Spiegel::N,зеркало,lustro
450,Riemen::N,ремень,rzemień
451,Schnur::N,гез,sznur
452,Leine::N,повод,smycz
453,Decke::N,одеяло,kołdra
454,Kissen::N,подушка,poduszka
455,Tuch::N,чышьян,chustka
456,Handtuch::N,чышкӧт,ręcznik
457,Kraft::N,прак,moc
458,Kraft::N,прак,siła
459,Stärke::N,вын,moc
460,Stärke::N,вын,siła
461,Gesundheit::N,здоровье,zdrowie
462,Krankheit::N,шог,choroba
463,Schmerz::N,зубыт,ból
464,Wunde::N,рана,rana
465,Fieber::N,лёк тресся,gorączka
466,Fieber::N,кынтан шогӧт,gorączka
467,Arznei::N,лекарство,lekarstwo
468,Brücke::N,пос,most
469,Brunnen::N,колодец ,studnia
470,Weide::N,пода йирсян,pastwisko
471,Pfad::N,туй,ścieżka
472,Weg::N,туй,droga
473,Straße::N,туй,ulica
474,Dorf::N,деревня,wieś
475,Stadt::N,город,miasto
476,Brief::N,гижӧт,list
477,Buch::N,книга,książka
478,Buchstabe::N,буква,litera
479,Zeitung::N,газета,gazeta
480,Zeitung::N,газета,dziennik
481,Leben::N,олан,życie
482,Tod::N,кулӧм,śmierć
483,Grab::N,гу,grób
484,Kirche::N,вичку,kościół
485,Sünde::N,грек,grzech
486,Gott::N,ен,bóg
487,Arbeiter::N,уджалiсь,robotnik
488,Chef::N,начальник,szef
489,Meister::N,мастер,mistrz
490,Meister::N,мастер,majster
491,Arzt::N,врач,lekarz
492,Lehrer::N,велӧтісь,nauczyciel
493,Geld::N,деньга,pieniądze
494,Geschäft::N,удж,sprawa
495,Geschäft::N,удж,interes
496,Laden::N,магазин,sklep
497,Preis::N,дон,cena
498,Ware::N,товар,towar
499,Nutzen::N,путь,pożytek
500,Reichtum::N,богатство,bogactwo
501,Welt::N,му,świat
502,Land::N,страна,kraj
503,Staat::N,государство,państwo
504,König::N,кан,król
505,Macht::N,власть,władza
506,Grenze::N,граница,granica
507,Krieg::N,война,wojna
508,Feind::N,враг,wróg
509,Kampf::N,нярасьӧм,bój
510,Kampf::N,нярасьӧм,walka
511,Kampf::N,вермасьӧм,bój
512,Kampf::N,вермасьӧм,walka
513,Bogen[Waffe]::N,лук,łuk
514,Pfeil::N,ньӧв,strzała
515,Gewehr::N,ружьё,karabin
516,Fehler::N,ошибка,błąd
517,Lüge::N,ылӧтӧм,kłamstwo
518,Lüge::N,пӧрьялӧм,kłamstwo
519,Schaden::N,лёк,szkoda
520,Unglück::N,пик,nieszczęście
521,Unglück::N,оказзё,nieszczęście
522,Schuld::N,вина,wina
523,Schluss::N,ком,koniec
524,Schluss::N,ком,zakończenie
525,Zeit::N,кад,czas
526,Tag::N,лун,dzień
527,Morgen::N,асыв,ranek
528,Morgen::N,асыв,poranek
529,Mittag::N,луншӧр кад,południe
530,Abend::N,рыт,wieczór
531,Nacht::N,ой,noc
532,Woche::N,неделя,tydzień
533,Monat::N,тӧлicь,miesiąc
534,Jahr::N,год,rok
535,Frühling::N,тулыс,wiosna
536,Sommer::N,гожум,lato
537,Herbst::N,ар,jesień
538,Winter::N,тӧв,zima
539,Januar::N,январ,styczeń
540,Februar::N,февраль,luty
541,März::N,март,marzec
542,April::N,апрель,kwiecień
543,Mai::N,май,maj
544,Juni::N,юнь,czerwiec
545,Juli::N,юль,lipiec
546,August::N,август,sierpień
547,September::N,сентяб,wrzesień
548,Oktober::N,октяб,październik
549,November::N,нояб,listopad
550,Dezember::N,декаб,grudzień
551,Montag::N,вильлун,poniedziałek
552,Dienstag::N,мӧдӧдзлун,wtorek
553,Mittwoch::N,шӧрлун,środa
554,Donnerstag::N,нёльӧдзлун,czwartek
555,Freitag::N,витӧдзлун,piątek
556,Samstag::N,пывсянлун,sobota
557,Sonntag::N,кресення,niedziela
558,groß::A,ыджыт,duży
559,groß::A,ыджыт,wielki
560,klein::A,учӧтик,mały
561,lang::A,кузь,długi
562,kurz::A,дженыт,krótki
563,breit::A,ота,szeroki
564,schmal::A,векнит,wąski
565,dicht::A,тшӧк,gęsty
566,dick[Gegenstand]::A,кыз,gruby
567,dünn::A,вӧснит,cienki
568,fein::A,вӧснит,drobny
569,fest::A,крепыт,mocny
570,fest::A,крепыт,twardy
571,flach::A,лапкӧса,płaski
572,glatt::A,волькыт,gładki
573,hart::A,чӧрыт,twardy
574,weich::A,небыт,miękki
575,rund::A,гӧгрӧса,okrągły
576,spitz::A,ёся,spiczasty
577,scharf::A,лэчыт,ostry
578,stumpf::A,ныж,tępy
579,schwer::A,сьӧкыт,ciężki
580,schön::A,басӧк,ładny
581,schön::A,басӧк,piękny
582,heiß::A,жар,gorący
583,warm::A,шоныт,ciepły
584,kalt::A,кӧдзыт,zimny
585,kühl::A,сайкыт,chłodny
586,frisch::A,виль,świeży
587,feucht::A,вакодь,wilgotny
588,nass::A,ва,mokry
589,trocken::A,кӧс,suchy
590,voll::A,тыра,pełny
591,leer::A,тыртӧм,pusty
592,leer::A,тыртӧм,próżny
593,offen::A,оссьӧм,otwarty
594,geschlossen::A,игана,zamknięty
595,geschlossen::A,пӧдана,zamknięty
596,sauber::A,сӧдз,czysty
597,sauber::A,сӧстӧм,czysty
598,schmutzig::A,нятьӧсь,brudny
599,roh::A,путӧм,surowy
600,reif::A,кисьмалӧм,dojrzały
601,lecker::A,кӧра ,smaczny
602,süß::A,чӧскыт,słodki
603,bitter::A,курыт,gorzki
604,sauer::A,шӧма ,kwaśny
605,hell::A,югыт,jasny
606,dunkel::A,пемыт,ciemny
607,schwarz::A,сьӧд,czarny
608,weiß::A,чочком,biały
609,rot::A,гӧрд,czerwony
610,gelb::A,веж,żółty
611,blau::A,лӧз,błękitny
612,blau::A,лӧз,niebieski
613,grün::A,веж,zielony
614,grau::A,руд,szary
615,grau::A,бусӧй,szary
616,bunt::A,быдрӧма,barwny
617,billig::A,донтӧм,tani
618,teuer::A,дона,drogi
619,wertvoll::A,дона,cenny
620,blind::A,синтӧм,ślepy
621,taub::A,пельтӧм,głuchy
622,kräftig::A,вына,mocny
623,stark::A,вына,silny
624,schwach::A,некодя,słaby
625,fett::A,госа,tłusty
626,schlank::A,статя,smukły
627,hübsch::A,басӧк,ładny
628,böse::A,лёк,zły
629,dumm::A,бӧбӧв,głupi
630,dumm::A,вежӧртӧм,głupi
631,faul::A,дыш,leniwy
632,fleißig::A,уджалicь,pilny
633,geizig::A,жикмӧра,skąpy
