,Concept_ID,sl,sq
242,Mann::N,móž,burrë
243,Mann::N,móž,mashkull
244,Mann::N,môški,burrë
245,Mann::N,môški,mashkull
246,Frau::N,gospá,grua
247,Frau::N,gospá,femër
248,Frau::N,žénska,grua
249,Frau::N,žénska,femër
250,Kind::N,déte,kalama
251,Kind::N,otròk,kalama
252,Junge::N,fànt,djalë
253,Junge::N,déček,djalë
254,Mädchen::N,deklè,gocë
255,Mädchen::N,deklè,vajzë
256,Mädchen::N,déklica,gocë
257,Mädchen::N,déklica,vajzë
258,Familie::N,družína,familje
259,Großvater::N,dèd,gjysh
260,Großvater::N,dédek,gjysh
261,Großmutter::N,bábica,gjyshe
262,Eltern::N,stárši,prindër
263,Vater::N,ôče,atë
264,Mutter::N,máma,nënë
265,Sohn::N,sín,bir
266,Tochter::N,hčí,bijë
267,Tochter::N,hčérka,bijë
268,Bruder::N,bràt,vëlla
269,Schwester::N,sêstra,motër
270,Onkel::N,újec,dajë
271,Onkel::N,újec,xhaxha
272,Onkel::N,stríc,dajë
273,Onkel::N,stríc,xhaxha
274,Tante::N,têta,teze
275,Tante::N,têta,hallë
276,Tante::N,strína,teze
277,Tante::N,strína,hallë
278,Ehemann::N,móž,burrë
279,Ehemann::N,móž,bashkëshort
280,Ehemann::N,sopróg,burrë
281,Ehemann::N,sopróg,bashkëshort
282,Ehefrau::N,žêna,grua
283,Ehefrau::N,žêna,bashkëshorte
284,Ehefrau::N,sopróga,grua
285,Ehefrau::N,sopróga,bashkëshorte
286,Freude::N,rádost,gaz
287,Freude::N,rádost,gëzim
288,Freude::N,vesêlje,gaz
289,Freude::N,vesêlje,gëzim
290,Gelächter::N,sméh,qeshje
291,Gelächter::N,grohòt,qeshje
292,Glück::N,sréča,lumturi
293,Kummer::N,gorjé,brengë
294,Kummer::N,gorjé,pikëllim
295,Wunsch::N,žêlja,dëshirë
296,Lust::N,poželênje,epsh
297,Lust::N,poželênje,dashuri
298,Geist::N,dúša,frymë
299,Geist::N,dúša,shpirt
300,Gedanke::N,mísel,ide
301,Gedanke::N,mísel,mendim
302,Gedächtnis::N,pámet,kujtesë
303,Sinn::N,pomèn,kuptim
304,Sinn::N,smísel,kuptim
305,Grund::N,vzròk,arsye
306,Wahrheit::N,resníca,vërtetë
307,Gespräch::N,pogóvor,bisedim
308,Märchen::N,právljica,përrallë
309,Erzählung::N,povést,tregim
310,Nachricht::N,sporočílo,lajm
311,Neuigkeit::N,novóst,risi
312,Name::N,imé,emër
313,Rätsel::N,ugánka,gjëzë
314,Rätsel::N,ugánka,gjëegjëzë
315,Rede::N,góvor,fjalim
316,Sprache::N,jêzik,gjuhë
317,Stimme::N,glás,zë
318,Wort::N,beséda,fjalë
319,Zeichen::N,znák,shenjë
320,Ruf::N,klíc,thirrmë
321,Lärm::N,hrúp,zhurmë
322,Lärm::N,trúšč,zhurmë
323,Laut::N,glás,tingull
324,Ton::N,tón,ton
325,Lied::N,pésem,këngë
326,Ruhe::N,pokòj,qetësi
327,Leute::N,ljudjé,botë
328,Leute::N,ljudjé,njerëz
329,Volk::N,národ,popull
330,Arbeit::N,délo,punë
331,Gast::N,gòst,mik
332,Gast::N,gòst,mysafir
333,Geschenk::N,darílo,dhuratë
334,Geschenk::N,darílo,peshqesh
335,Spiel::N,ígra,lojë
336,Gesellschaft::N,drúžba,shoqëri
337,Hilfe::N,pomóč,ndihmë
338,Freund::N,prijátelj,mik
339,Kamerad::N,továriš,shok
340,Angelegenheit::N,zadéva,punë
341,Anzahl::N,števílo,sasi
342,Art::N,vŕsta,lloj
343,Stück::N,kós,copë
344,Teil::N,dél,pjesë
345,Hälfte::N,polovíca,gjysmë
346,Kreis::N,króg,qark
347,Kreis::N,króg,rreth
348,Kreis::N,kolobár,qark
349,Kreis::N,kolobár,rreth
350,Kreuz::N,kríž,kryq
351,Linie::N,próga,vijë
352,Strich::N,čŕta,vizë
353,Abstand::N,preslédek,distancë
354,Entfernung::N,oddáljenost,largim
355,Gegend::N,kràj,vise
356,Gegend::N,kràj,krahinë
357,Gegend::N,dežêla,vise
358,Gegend::N,dežêla,krahinë
359,Platz::N,prôstor,shesh
360,Ort::N,mésto,vend
361,Seite::N,bòk,anë
362,Seite::N,strán,anë
363,Mitte::N,sredína,mes
364,Gegenstand::N,prédmet,send
365,Sache::N,réč,gjë
366,Sache::N,réč,send
367,Sache::N,stvár,gjë
368,Sache::N,stvár,send
369,Rand::N,kràj,qoshe
370,Kante::N,rób,teh
371,Ecke::N,vogál,qoshe
372,Spitze::N,óst,majë
373,Ende::N,kônec,skaj
374,Ende::N,kônec,bisht
375,Loch::N,lúknja,vrimë
376,Winkel::N,kót,kënd
377,Muster::N,vzórec,mostër
378,Größe::N,veličína,madhësi
379,Länge::N,dolžína,gjatësi
380,Höhe::N,vršína,lartësi
381,Gewicht::N,téža,peshë
382,Menge::N,količína,sasi
383,Haufen::N,kùp,grumbull
384,Haufen::N,kopíca,grumbull
385,Reihe::N,níz,radhë
386,Reihe::N,níz,rresht
387,Reihe::N,vŕsta,radhë
388,Reihe::N,vŕsta,rresht
389,Boot::N,čóln,barkë
390,Boot::N,čóln,lundër
391,Ruder::N,vêslo,rrem
392,Schlitten::N,saní,sajë
393,Ski::N,smučí,ski
394,Lagerfeuer::N,táborni ôgenj,flakadan
395,Lagerfeuer::N,táborni ôgenj,zjarr i madh
396,Last::N,tôvor,barrë
397,Gang::N,hòd,ecje
398,Schritt::N,korák,hap
399,Norden::N,séver,veri
400,Süden::N,júg,jug
401,Westen::N,zapàd,perëndim
402,Osten::N,vzhòd,lindje
403,Holz::N,lés,dru
404,Brett::N,deskà,dërrasë
405,Platte::N,plôča,pllakë
406,Stütze::N,opóra,shtyllë
407,Stütze::N,opóra,mbështetesë
408,Stütze::N,zaslómba,shtyllë
409,Stütze::N,zaslómba,mbështetesë
410,Stange::N,gréd,shufër
411,Stock::N,pálica,dajak
412,Stab::N,pálica,shkop
413,Rohr::N,cév,tub
414,Haus::N,híša,shtëpi
415,Heim::N,dóm,konak
416,Heim::N,dóm,shtëpi
417,Ofen::N,péč,sobë
418,Ofen::N,péč,stufë
419,Fußboden::N,pòd,dysheme
420,Tisch::N,míza,tryezë
421,Stuhl::N,stòl,karrige
422,Wiege::N,zíbel,djep
423,Bett::N,póstelja,shtrat
424,Regal::N,políca,raft
425,Kiste::N,zabòj,kuti
426,Fenster::N,ôkno,dritare
427,Tür::N,vráta,derë
428,Tor::N,velíka vráta,portë
429,Zaun::N,ográja,gardh
430,Dach::N,stréha,çati
431,Leiter::N,léstev,shkallë
432,Besen::N,mêtla,fshesë
433,Spaten::N,lopáta,lopatë
434,Schaufel::N,lopáta,qyrek
435,Gabel::N,vílice,pirun
436,Löffel::N,žlíca,lugë
437,Messer::N,nòž,thikë
438,Nagel::N,žebèlj,gozhdë
439,Netz::N,mréža,rrjetë
440,Haken::N,kljúka,grep
441,Haken::N,kljúka,grremç
442,Griff::N,ročáj,dorak
443,Griff::N,ročáj,dorezë
444,Griff::N,oprijèm,dorak
445,Griff::N,oprijèm,dorezë
446,Schloss::N,ključávnica,bravë
447,Bild::N,slíka,tablo
448,Bild::N,slíka,pikturë
449,Figur::N,figúra,figurë
450,Figur::N,postáva,figurë
451,Puppe::N,lútka,kukull
452,Beutel::N,môšnja,qese
453,Beutel::N,môšnja,trastë
454,Bündel::N,cúla,deng
455,Bündel::N,svéženj,deng
456,Tasche::N,tórba,çantë
457,Tasche::N,tobôlec,çantë
458,Eimer::N,vêdro,kovë
459,Deckel::N,pokròv,kapak
460,Deckel::N,pokròv,mbulesë
461,Deckel::N,poklópec,kapak
462,Deckel::N,poklópec,mbulesë
463,Geschirr::N,posóda,enë
464,Sack::N,vréča,thes
465,Sack::N,vréča,torbë
466,Tasse::N,skodélica,filxhan
467,Topf::N,lônec,kusi
468,Topf::N,lônec,tenxhere
469,Kessel::N,kôtel,kazan
470,Essen::N,hrána,ngrënie
471,Nahrung::N,živílo,ushqim
472,Speise::N,jéd,gatesë
473,Fleisch::N,mesó,mish
474,Getreide::N,žíto,drithë
475,Brei::N,káša,qull
476,Brot::N,krùh,bukë
477,Scheibe::N,réženj,fetë
478,Fett::N,mást,lyrë
479,Fett::N,mást,yndyrë
480,Fett::N,maščôba,lyrë
481,Fett::N,maščôba,yndyrë
482,Butter::N,máslo,gjalpë
483,Öl::N,ólje,vaj
484,Salz::N,sól,kripë
485,Suppe::N,júha,supë
486,Suppe::N,júha,çorbë
487,Honig::N,méd,mjaltë
488,Milch::N,mléko,qumësht
489,Tee::N,čáj,çaj
490,Leder::N,úsnje,lëkurë
491,Wolle::N,vólna,lesh
492,Stoff::N,blagó,pëlhurë
493,Nadel::N,ígla,gjilpërë
494,Faden::N,nít,pe
495,Faden::N,nít,fije
496,Knopf::N,gúmb,kopsë
497,Knoten::N,vôzel,komb
498,Farbe::N,bárva,bojë
499,Kleidung::N,obléka,veshje
500,Hemd::N,srájca,këmishë
501,Kragen::N,ovrátnik,jakë
502,Ärmel::N,rokáv,mëngë
503,Hose::N,hláče,brekë
504,Gürtel::N,pás,rrip
505,Mütze::N,kápa,kësulë
506,Mütze::N,čépica,kësulë
507,Schuh::N,čévelj,këpucë
508,Stiefel::N,škórenj,çizme
509,Ring::N,pŕstan,unazë
510,Band::N,trák,shirit
511,Kamm::N,glavník,krehër
512,Spiegel::N,zrcálo,pasqyrë
513,Spiegel::N,ogledálo,pasqyrë
514,Riemen::N,jêrmen,rrip
515,Schnur::N,vŕvca,litar
516,Schnur::N,vŕvca,cikomë
517,Leine::N,konôpec,rrip
518,Decke::N,odéja,batanije
519,Kissen::N,blazína,jastëk
520,Tuch::N,pŕt,shami
521,Tuch::N,rúta,shami
522,Handtuch::N,brisáča,peshqir
523,Kraft::N,síla,forcë
524,Stärke::N,jákost,koll
525,Gesundheit::N,zdrávje,shëndet
526,Krankheit::N,bolézen,sëmundje
527,Schmerz::N,ból,dhimbje
528,Schmerz::N,bolečína,dhimbje
529,Wunde::N,rána,plagë
530,Fieber::N,vročína,ethe
531,Arznei::N,lék,ilaç
532,Arznei::N,zdravílo,ilaç
533,Brücke::N,móst,urë
534,Brunnen::N,vodnják,pus
535,Weide::N,páša,kullotë
536,Pfad::N,stezà,ravë
537,Pfad::N,stezà,shteg
538,Weg::N,pót,udhë
539,Weg::N,pót,shteg
540,Straße::N,césta,rrugë
541,Dorf::N,vás,fshat
542,Dorf::N,vás,katund
543,Stadt::N,mésto,qytet
544,Brief::N,písmo,letër
545,Buch::N,knjíga,libër
546,Buchstabe::N,čŕka,shkronjë
547,Zeitung::N,čásnik,gazetë
548,Leben::N,življênje,jetë
549,Tod::N,smŕt,mortje
550,Grab::N,gròb,varr
551,Kirche::N,cérkev,kishë
552,Sünde::N,gréh,mëkat
553,Sünde::N,gréh,gjynah
554,Gott::N,bóg,hy
555,Gott::N,bóg,zot
556,Arbeiter::N,délavec,punëtor
557,Chef::N,šéf,shef
558,Chef::N,šéf,drejtues
559,Meister::N,mójster,mjeshtër
560,Arzt::N,zdravník,mjek
561,Arzt::N,zdravník,doktor
562,Lehrer::N,učítelj,mësues
563,Lehrer::N,učítelj,arsimtar
564,Geld::N,denár,para
565,Geld::N,denár,holla
566,Geschäft::N,kupčíja,ujdi
567,Geschäft::N,kupčíja,biznes
568,Laden::N,trgovína,dyqan
569,Preis::N,céna,çmim
570,Ware::N,róba,mall
571,Nutzen::N,príd,dobi
572,Nutzen::N,príd,leverdi
573,Reichtum::N,bogástvo,kamje
574,Reichtum::N,bogástvo,pasuri
575,Welt::N,svét,botë
576,Land::N,dežêla,vend
577,Staat::N,držáva,shtet
578,König::N,králj,mbret
579,Macht::N,oblást,fuqi
580,Macht::N,oblást,pushtet
581,Grenze::N,mêja,kufi
582,Krieg::N,vôjna,luftë
583,Feind::N,sovrážnik,armik
584,Gewalt::N,nasílje,dhunë
585,Kampf::N,bòj,luftim
586,Kampf::N,bórba,luftim
587,Bogen[Waffe]::N,lók,hark
588,Pfeil::N,puščíca,shigjetë
589,Gewehr::N,púška,pushkë
590,Fehler::N,zmóta,gafë
591,Fehler::N,zmóta,gabim
592,Lüge::N,láž,gënjeshtër
593,Schaden::N,okvára,dëm
594,Schaden::N,okvára,zarar
595,Unglück::N,nesréča,fatkeqësi
596,Schuld::N,krívda,faj
597,Alter::N,dôba,moshë
598,Schluss::N,kônec,fund
599,Zeit::N,čàs,kohë
600,Tag::N,dán,ditë
601,Morgen::N,jútro,mëngjes
602,Mittag::N,póldan,mesditë
603,Abend::N,večér,mbrëmje
604,Nacht::N,nóč,natë
605,Woche::N,téden,javë
606,Monat::N,mésec,muaj
607,Jahr::N,léto,vit
608,Frühling::N,pomlád,pranverë
609,Sommer::N,polétje,verë
610,Herbst::N,jesén,vjeshtë
611,Winter::N,zíma,dimër
612,Januar::N,jánuar,janar
613,Februar::N,fébruar,shkurt
614,März::N,márec,mars
615,April::N,apríl,prill
616,Mai::N,máj,maj
617,Juni::N,júnij,qershor
618,Juli::N,júlij,korrik
619,August::N,avgúst,gusht
620,September::N,septêmber,shtator
621,Oktober::N,október,tetor
622,November::N,novêmber,nëntor
623,Dezember::N,decémber,dhjetor
624,Montag::N,ponedéljek,hënë
625,Dienstag::N,tôrek,martë
626,Mittwoch::N,sréda,mërkurë
627,Donnerstag::N,četŕtek,enjte
628,Freitag::N,pétek,premte
629,Samstag::N,sobóta,shtunë
630,Sonntag::N,nedélja,diel
631,groß::A,vêlik,madh
632,klein::A,májhen,vogël
633,lang::A,dólg,gjatë
634,kurz::A,krátek,shkurtër
635,breit::A,širòk,gjerë
636,schmal::A,ózek,ngushtë
637,dicht::A,góst,dendur
638,dick[Gegenstand]::A,dêbel,trashë
639,dünn::A,tánek,hollë
640,fein::A,drôben,imët
641,fest::A,tŕden,fortë
642,flach::A,plán,sheshtë
643,flach::A,plòsk,sheshtë
644,glatt::A,gládek,rrafshët
645,hart::A,tŕd,fortë
646,weich::A,mehák,butë
647,rund::A,okrógel,rrumbullakët
648,spitz::A,šílast,majëmprehtë
649,scharf::A,óster,mprehtë
650,stumpf::A,tóp,topitur
651,stumpf::A,skŕhan,topitur
652,schwer::A,têžek,rëndë
653,schön::A,lép,bukur
654,schön::A,krásen,bukur
655,heiß::A,vròč,nxehtë
656,warm::A,tôpel,ngrohtë
657,kalt::A,mŕzel,ftohtë
658,kalt::A,hláden,ftohtë
659,kühl::A,hláden,freskët
660,frisch::A,svéž,pastër
661,feucht::A,vlážen,lagësht
662,nass::A,móker,lagur
663,trocken::A,súh,thatë
664,voll::A,póln,plotë
665,leer::A,prázen,bosh
666,leer::A,prázen,zbrazët
667,offen::A,odpŕt,hapur
668,geschlossen::A,zapŕt,mbyllur
669,sauber::A,číst,dëlirë
670,sauber::A,líčen,dëlirë
671,schmutzig::A,umázan,ndyrë
672,roh::A,suròv,gjallë
673,reif::A,zrèl,arrirë
674,lecker::A,okúsen,shijshëm
675,süß::A,sládek,ëmbël
676,bitter::A,grenák,hidhur
677,sauer::A,kísel,thartë
678,hell::A,svetèl,me dritë
679,dunkel::A,temèn,errët
680,schwarz::A,čŕn,i zi
681,weiß::A,bél,bardhë
682,rot::A,rdèč,kuq
683,gelb::A,žólt,verdhë
684,gelb::A,rumèn,verdhë
685,blau::A,móder,blu
686,blau::A,móder,kaltër
687,grün::A,zelèn,blertë
688,grün::A,zelèn,gjelbër
689,grau::A,sív,hirtë
690,grau::A,sív,bojë hiri
691,bunt::A,písan,shumëngjyrëshëm
692,billig::A,pocéni,lirë
693,teuer::A,drág,shtrenjtë
694,wertvoll::A,dragocén,çmuar
695,wertvoll::A,dragocén,vlershëm
696,blind::A,slép,qorr
697,blind::A,slép,verbër
698,taub::A,glúh,shurdhër
699,kräftig::A,močán,fuqishëm
700,stark::A,ják,fortë
701,schwach::A,šíbek,dobët
702,fett::A,dêbel,dhjamur
703,schlank::A,vítek,hollë
704,hübsch::A,lép,bukur
705,hübsch::A,lép,hijshëm
706,böse::A,zèl,keq
707,böse::A,hudôben,keq
708,dumm::A,glúp,teveqel
709,dumm::A,bédast,teveqel
710,faul::A,lén,dembel
711,fleißig::A,marljív,zellshëm
712,geizig::A,škŕt,kurnac
713,geizig::A,škŕt,dorështrënguar
714,klug::A,pámeten,mençur
715,geschickt::A,spréten,aftë
716,lieb::A,míl,dashur
717,lieb::A,ljúb,dashur
718,lustig::A,vesél,gëzuar
719,sanft::A,láhek,butë
720,hungrig::A,láčen,uritur
721,krank::A,bolán,sëmurë
722,nackt::A,nág,lakuriq
723,nackt::A,nág,zhveshur
724,traurig::A,túžen,trishtuar
725,lebendig::A,žív,gjallë
726,gut::A,dóber,mirë
727,schlecht::A,malopríden,keq
728,richtig::A,pravílen,drejtë
729,schlimm::A,húd,keq
730,wahr::A,resníčen,vërtetë
731,alt::A,stàr,vjetër
732,neu::A,nòv,i ri
733,ehemalig::A,nekdánji,dikurshëm
734,alt[Lebewesen]::A,stàr,plak
735,jung::A,mlád,i ri
736,arm::A,ubóg,varfër
737,arm::A,ubóg,vobektë
738,arm::A,réven,varfër
739,arm::A,réven,vobektë
740,reich::A,bogàt,pasur
741,bekannt::A,znán,njohur
742,berühmt::A,sláven,famshëm
743,berühmt::A,znamenít,famshëm
744,fremd::A,túj,huaj
745,verschieden::A,razlíčen,ndryshëm
746,nah::A,blížnji,afërt
747,fern::A,dáleč,largët
748,linker::A,lévi,majtë
749,rechter::A,désni,djathtë
750,anderer::A,drúgi,tjetër
751,erster::A,pŕvi,parë
752,zweiter::A,drúgi,dytë
753,dritter::A,trétji,i tretë
754,letzter::A,poslédnji,fundit
755,allein::ADV,sám,vetëm
756,auf einmal::ADV,obênem,njëkohësisht
757,zusammen::ADV,skúpaj,bashkë
758,zusammen::ADV,skúpaj,së bashku
759,lange::ADV,dólgo,për një kohë të gjatë
760,plötzlich::ADV,náglo,befas
761,plötzlich::ADV,nenádoma,befas
762,sofort::ADV,prècej,menjëherë
763,sofort::ADV,prècej,aty për aty
764,später::ADV,poznêje,më vonë
765,jetzt::ADV,zdàj,tash
766,heute::ADV,dánes,sot
767,morgen::ADV,jútri,nesër
768,bald::ADV,kmálu,shpejt
769,bald::ADV,kmálu,së shpejti
770,dann::ADV,nató,pastaj
771,gestern::ADV,včéraj,dje
772,einst::ADV,nékdaj,dikur
773,damals::ADV,tedàj,atëherë
774,damals::ADV,takràt,atëherë
775,danach::ADV,potèm,mandej
776,vorher::ADV,poprèj,më parë
777,zuerst::ADV,spŕva,së pari
778,einmal::ADV,ênkrat,njëherë
779,manchmal::ADV,včásih,nganjëherë
780,oft::ADV,pogósto,shpesh
781,immer::ADV,védno,përherë
782,immer::ADV,védno,gjithnjë
783,immer::ADV,zméraj,përherë
784,immer::ADV,zméraj,gjithnjë
785,niemals::ADV,nikdàr,kurrë
786,niemals::ADV,nikdàr,asnjëherë
787,hier::ADV,tù,këtu
788,hier::ADV,túkaj,këtu
789,hierhin::ADV,sèmkaj,knej
790,von hier::ADV,od tú,që këtej
791,von hier::ADV,od tú,prej këtej
792,dort::ADV,tàm,aty
793,dort::ADV,tàm,atje
794,dorthin::ADV,tjà,anej
795,geradeaus::ADV,rávno napréj,drejt
796,vorwärts::ADV,napréj,mbroth
797,vorwärts::ADV,napréj,përpara
798,rückwärts::ADV,zádaj,mbrapsht
799,zurück::ADV,nazáj,prapa
