,Concept_ID,cy,mrj
395,Tür::N,drws,амаса
396,Tor::N,porth,хапка
397,Zaun::N,ffens,забор
398,Dach::N,to,левӓш
399,Leiter::N,ysgol,ташкалтыш
400,Besen::N,ysgub,сало
401,Besen::N,ysgub,салко
402,Spaten::N,rhaw,кольмы
403,Schaufel::N,rhaw,лоток
404,Gabel::N,fforc,ви́лка
405,Löffel::N,llwy,савала
406,Messer::N,cyllell,кӹзӹ
407,Nagel::N,hoel,пыда
408,Netz::N,gwe,вӓпш
409,Netz::N,rhwyd,вӓпш
410,Haken::N,bach,крӱк
411,Haken::N,bach,кагак
412,Griff::N,carn,кычем
413,Schloss::N,clo,замок
414,Schloss::N,clo,сыравач
415,Bild::N,llun,картин
416,Bild::N,pictiwr,картин
417,Figur::N,ffigur,кӓн
418,Puppe::N,dol,поханя
419,Beutel::N,cwd,мешӓк
420,Bündel::N,bwndel,топ
421,Bündel::N,bwndel,пидӹш
422,Bündel::N,bwndel,кӹлдӹш
423,Bündel::N,coflaid,топ
424,Bündel::N,coflaid,пидӹш
425,Bündel::N,coflaid,кӹлдӹш
426,Tasche::N,cod,сумкы
427,Eimer::N,bwced,ведӹрӓ
428,Eimer::N,cunnog,ведӹрӓ
429,Deckel::N,caead,комдыш
430,Geschirr::N,llestri,ӓтӹ
431,Sack::N,sach,мешӓк
432,Tasse::N,cwpan,цӓшкӓ
433,Topf::N,pot,ми́ска
434,Topf::N,crochan,ми́ска
435,Kessel::N,tegell,пад
436,Essen::N,pryd o fwyd,качкыш
437,Essen::N,pryd o fwyd,качкыш-йӱш
438,Nahrung::N,bwyd,качкыш
439,Nahrung::N,bwyd,качкыш-йӱш
440,Speise::N,saig,няня
441,Fleisch::N,cig,пай
442,Getreide::N,ŷd,киндӹ
443,Getreide::N,llafur,киндӹ
444,Brei::N,uwd,шӹрӓш
445,Brot::N,bara,сыкыр
446,Scheibe::N,tafell,ламыт
447,Scheibe::N,tafell,лаштык
448,Fett::N,saim,кая
449,Fett::N,braster,кая
450,Butter::N,ymenyn,ӱ
451,Öl::N,olew,ӱ
452,Salz::N,halen,санзал
453,Suppe::N,cawl,лем
454,Honig::N,mêl,мӱ
455,Milch::N,llaeth,шӹшер
456,Milch::N,llefrith,шӹшер
457,Tee::N,te,чӓй
458,Leder::N,lledr,шарга
459,Leder::N,lledr,кавашты
460,Wolle::N,gwlân,миж
461,Stoff::N,lliain,матер
462,Stoff::N,lliain,матери
463,Stoff::N,brethyn,матер
464,Stoff::N,brethyn,матери
465,Nadel::N,nodwydd,им
466,Faden::N,edau,шӹртӹ
467,Faden::N,edefyn,шӹртӹ
468,Knopf::N,botwm,полдыш
469,Knoten::N,cwlwm,пӱкшем
470,Farbe::N,paent,чиӓ
471,Farbe::N,paent,крӓскӓ
472,Kleidung::N,dillad,выргем
473,Kleidung::N,gwisgoedd,выргем
474,Hemd::N,crys,тыгыр
475,Kragen::N,coler,шӱ
476,Ärmel::N,llawes,шокш
477,Hose::N,trowsus,ялаш
478,Gürtel::N,gwregys,ӹштӹ
479,Mütze::N,cap,упш
480,Schuh::N,esgid,ту́фльы
481,Stiefel::N,botasen,кем
482,Ring::N,modrwy,шӓргӓш
483,Band::N,rhuban,лемтӓ
484,Kamm::N,crib,шерге
485,Spiegel::N,drych,тӹгӹр
486,Riemen::N,strap,прӓжӓ
487,Schnur::N,llinyn,кӓндӹра
488,Leine::N,tennyn,керем
489,Decke::N,blanced,одеял
490,Decke::N,gwrthban,одеял
491,Kissen::N,clustog,кӹпцӹк
492,Kissen::N,gobennydd,кӹпцӹк
493,Tuch::N,sgarff,савыц
494,Handtuch::N,tywel,шӹргӹсавыц
495,Handtuch::N,tywel,шӹргӹмсавыц
496,Handtuch::N,lliain sychu,шӹргӹсавыц
497,Handtuch::N,lliain sychu,шӹргӹмсавыц
498,Kraft::N,grym,ви
499,Stärke::N,nerth,ви
500,Stärke::N,cryfder,ви
501,Gesundheit::N,iechyd,шу
502,Gesundheit::N,iechyd,шулык
503,Krankheit::N,afiechyd,мыж
504,Krankheit::N,anhwylder,мыж
505,Schmerz::N,poen,карштыш
506,Schmerz::N,gwayw,карштыш
507,Wunde::N,clwyf,шушыр
508,Fieber::N,twymyn,ӱштӹмыж
509,Arznei::N,meddyginiaeth,лекӓрцӹ
510,Brücke::N,pont,кӹвер
511,Brunnen::N,ffynnon,вӹдсӹнзӓ
512,Weide::N,porfa,ныр
513,Pfad::N,llwybr,ялгорны
514,Weg::N,ffordd,корны
515,Straße::N,heol,корны
516,Straße::N,ffordd,корны
517,Dorf::N,pentref,сола
518,Stadt::N,tref,города
519,Brief::N,llythyr,сирмӓш
520,Buch::N,llyfr,книгӓ
521,Buchstabe::N,llythyren,буква́
522,Zeitung::N,papur newydd,газет
523,Zeitung::N,papur newydd,кайзет
524,Leben::N,bywyd,житя
525,Tod::N,marwolaeth,смöрт
526,Grab::N,bedd,шӹгер
527,Grab::N,bedd,мыгилӓ
528,Grab::N,bedd,шӹгерлӓ
529,Kirche::N,eglwys,церкӹ
530,Sünde::N,pechod,сулык
531,Gott::N,duw,йымы
532,Arbeiter::N,gweithiwr,пӓшӓзӹ
533,Chef::N,pennaeth,вуй
534,Meister::N,meistr,мастар
535,Arzt::N,meddyg,доктор
536,Lehrer::N,athro,тымдышы
537,Geld::N,pres,окса
538,Geld::N,arian,окса
539,Geschäft::N,busnes,торге́йӹмӓш
540,Laden::N,siop,лапка
541,Laden::N,siop,магазин
542,Preis::N,pris,ӓк
543,Ware::N,nwydd,товар
544,Nutzen::N,elw,пайда
545,Nutzen::N,budd,пайда
546,Reichtum::N,cyfoeth,перке
547,Welt::N,byd,сӓндӓлӹк
548,Welt::N,byd,свет
549,Land::N,gwlad,сӓндӓлӹк
550,Staat::N,gwladwriaeth,кугижӓншӹ
551,König::N,brenin,король
552,Macht::N,grym,власть
553,Macht::N,awdurdod,власть
554,Grenze::N,ffin,пӹсмӓн
555,Grenze::N,goror,пӹсмӓн
556,Krieg::N,rhyfel,вырсы
557,Feind::N,gelyn,тышман
558,Gewalt::N,ffyrnigrwydd,ви
559,Kampf::N,brwydr,кредӓлмӓш
560,Bogen[Waffe]::N,bwa,янгеж
561,Pfeil::N,saeth,пикш
562,Gewehr::N,dryll,пичӓл
563,Fehler::N,gwall,самынь
564,Fehler::N,camgymeriad,самынь
565,Lüge::N,celwydd,шая
566,Lüge::N,anwiredd,шая
567,Schaden::N,niwed,вре́дӓ
568,Schaden::N,difrod,вре́дӓ
569,Unglück::N,anffawd,пёда
570,Unglück::N,anffawd,тымаша
571,Schuld::N,bai,вуйнамат
572,Alter::N,oed,иӓш
573,Alter::N,oed,игечӹ
574,Schluss::N,diwedd,пӹтӓртӹш
575,Zeit::N,amser,веремӓ
576,Tag::N,dydd,кечӹ
577,Tag::N,diwrnod,кечӹ
578,Morgen::N,bore,ир
579,Morgen::N,bore,ирок
580,Mittag::N,nawn,кечӹвӓл
581,Abend::N,noswaith,вады
582,Nacht::N,nos,йыд
583,Woche::N,wythnos,ӓрня
584,Monat::N,mis,тӹ́лзӹ
585,Jahr::N,blwyddyn,год
586,Frühling::N,gwanwyn,шошым
587,Sommer::N,haf,кӓнгӹж
588,Herbst::N,hydref,шӹжӹ
589,Winter::N,gaeaf,тел
590,Winter::N,gaeaf,телӹ
591,Januar::N,Ionawr,январ
592,Januar::N,Ionawr,январь
593,Februar::N,Chwefror,февраль
594,März::N,Mawrth,март
595,April::N,Ebrill,апрель
596,Mai::N,Mai,май
597,Juni::N,Mehefin,июнь
598,Juli::N,Gorffennaf,июль
599,August::N,Awst,август
600,September::N,Medi,сентябрь
601,Oktober::N,Hydref,октябрь
602,November::N,Tachwedd,ноябрь
603,Dezember::N,Rhagfyr,декавыр
604,Montag::N,dydd Llun,шачмы
605,Dienstag::N,dydd Mawrth,кышкыжмы
606,Mittwoch::N,dydd Mercher,вӹрчегӹ
607,Donnerstag::N,dydd Iau,изӓрня
608,Freitag::N,dydd Gwener,когарня
609,Samstag::N,dydd Sadwrn,кукшыгечӹ
610,Sonntag::N,dydd Sul,рушӓрня
611,groß::A,mawr,кого
612,klein::A,bach,изи
613,lang::A,hir,кужы
614,kurz::A,byr,кӹтӹк
615,kurz::A,cwta,кӹтӹк
616,breit::A,llydan,кымда
617,schmal::A,cul,ӓнгӹсӹр
618,dicht::A,dwys,шӹре
619,dick[Gegenstand]::A,trwchus,кӹжгӹ
620,dünn::A,tenau,вӹцкӹж
621,fein::A,main,пыльга
622,fest::A,cadarn,цаткыды
623,flach::A,gwastad,тӓлякӓ
624,glatt::A,llyfn,ягылгы
625,hart::A,caled,пингӹдӹ
626,weich::A,meddal,пышкыды
627,rund::A,crwn,тӹртӹш
628,spitz::A,pigfain,кашар
629,scharf::A,miniog,кашар
630,stumpf::A,pŵl,нӹшкӹ
631,schwer::A,trwm,нелӹ
632,schön::A,teg,цевер
633,schön::A,teg,олмыдшы
634,schön::A,hardd,цевер
635,schön::A,hardd,олмыдшы
636,schön::A,prydferth,цевер
637,schön::A,prydferth,олмыдшы
638,heiß::A,poeth,шокшы
639,warm::A,twym,шокшы
640,warm::A,cynnes,шокшы
641,kalt::A,oer,ӱштӹ
642,kühl::A,oeraidd,юалгы
643,kühl::A,oeraidd,йонгата
644,frisch::A,iach,йонгата
645,feucht::A,llaith,ӹлӹкшӹ
646,feucht::A,llaith,вӹдӹжгӹ
647,nass::A,gwlyb,начкы
648,trocken::A,sych,кукшы
649,voll::A,llawn,темшӹ
650,voll::A,llawn,темыман
651,leer::A,gwag,йӓрӓ
652,offen::A,agored,виш
653,geschlossen::A,caead,чӱчмӹ
654,geschlossen::A,caead,тӹкӹлӓлтшӹ
655,geschlossen::A,caeëdig,чӱчмӹ
656,geschlossen::A,caeëdig,тӹкӹлӓлтшӹ
657,sauber::A,glân,ире
658,schmutzig::A,budr,шоран
659,schmutzig::A,budr,лявӹрӓн
660,schmutzig::A,budr,шорангшы
661,schmutzig::A,brwnt,шоран
662,schmutzig::A,brwnt,лявӹрӓн
663,schmutzig::A,brwnt,шорангшы
664,roh::A,amrwd,пеле кӱшӹ
665,reif::A,aeddfed,кӱшӹ
666,lecker::A,blasus,тотан
667,lecker::A,danteithiol,тотан
668,süß::A,melys,мӱӓн
669,bitter::A,chwerw,качы
670,sauer::A,sur,шапы
671,hell::A,disglair,соты
672,hell::A,disglair,валгыды
673,dunkel::A,tywyll,пӹц
674,dunkel::A,tywyll,пӹцкемӹш
675,schwarz::A,du,шим
676,weiß::A,gwyn,ош
677,weiß::A,gwyn,ошы
678,rot::A,coch,якшаргы
679,gelb::A,melyn,сар
680,gelb::A,melyn,сары
681,blau::A,glas,симсӹ
682,grün::A,gwyrdd,ыжар
683,grau::A,llwyd,луды
684,bunt::A,lliwgar,ала
685,billig::A,rhad,шулдаш
686,teuer::A,drud,шергӹ
687,teuer::A,drud,шергӓкӓн
688,wertvoll::A,gwerthfawr,ӓкӓн
689,blind::A,dall,слöпöй
690,blind::A,dall,сльöпöй
691,taub::A,byddar,тӱтӱк
692,kräftig::A,nerthol,виӓн
693,kräftig::A,grymus,виӓн
694,stark::A,cryf,виӓн
695,stark::A,cadarn,виӓн
696,schwach::A,gwan,шава
697,schwach::A,gwan,лӹпкӓ
698,schwach::A,gwan,слабка
699,fett::A,tew,таза
700,schlank::A,main,яштака
701,hübsch::A,tlws,сӹлнӹ
702,hübsch::A,tlws,олмыдшы
703,böse::A,drwg,шӹдӓн
704,dumm::A,twp,окмак
705,faul::A,diog,ялахай
706,fleißig::A,dyfal,пӓшам яратышы
707,geizig::A,crintach,шык
708,geizig::A,cybyddlyd,шык
709,klug::A,deallus,ышан
710,geschickt::A,medrus,мастар
711,geschickt::A,deheuig,мастар
712,lieb::A,hoff,тыри
713,lieb::A,annwyl,тыри
714,lustig::A,llon,мындыр
715,lustig::A,llon,сусу
716,sanft::A,mwyn,йӹвӹжӓ
717,hungrig::A,newynog,шужышы
718,krank::A,sâl,церлӹ
719,krank::A,sâl,хворой
720,krank::A,gwael,церлӹ
721,krank::A,gwael,хворой
722,nackt::A,noeth,цӓрӓ
723,traurig::A,trist,сы́лыкан
724,traurig::A,trist,кымы́лдымы
725,lebendig::A,yn fyw,живой
726,gut::A,da,яжо
727,schlecht::A,drwg,уда
728,schlecht::A,drwg,худа
729,schlecht::A,gwael,уда
730,schlecht::A,gwael,худа
731,richtig::A,cywir,вургамла
732,schlimm::A,enbyd,йӹрнык
733,wahr::A,gwir,настоящий
734,wahr::A,gwir,настояшый
735,alt::A,hen,шонгы
736,neu::A,newydd,у
737,ehemalig::A,blaenorol,тошты
738,alt[Lebewesen]::A,oedrannus,ӹлалшӹ
739,jung::A,ifanc,нöргӹ
740,jung::A,ifanc,молода
741,arm::A,tlawd,укеӓн
742,reich::A,cyfoethog,паян
743,reich::A,cyfoethog,пурлыкан
744,bekannt::A,cynefin,палӹмӹ
745,bekannt::A,cyfarwydd,палӹмӹ
746,berühmt::A,enwog,лӹмлы
