,Concept_ID,es,uk
190,Schmetterling::N,mariposa,метелик
191,Beere::N,baya,ягода
192,Apfel::N,manzana,яблуко
193,Pilz::N,seta,гриб
194,Pilz::N,hongo,гриб
195,Zwiebel::N,cebolla,цибуля
196,Saat::N,siembra,сім’я
197,Korn::N,grano,зерно
198,Heu::N,heno,сіно
199,Schale::N,cáscara,шкірка
200,Grube::N,foso,яма
201,Falle::N,trampa,пастка
202,Schlinge::N,lazo,петля
203,Spur::N,huella,слід
204,Asche::N,ceniza,зола
205,Asche::N,ceniza,попіл
206,Dreck::N,suciedad,бруд
207,Eisen::N,hierro,залізо
208,Gold::N,oro,золото
209,Silber::N,plata,срібло
210,Kohle::N,carbón,вугілля
211,Glas::N,vidrio,скло
212,Glas::N,cristal,скло
213,Lehm::N,barro,глина
214,Sand::N,arena,пісок
215,Mensch::N,hombre,людина
216,Mensch::N,ser humano,людина
217,Mann::N,hombre,чоловік
218,Frau::N,mujer,жінка
219,Kind::N,niño,дитина
220,Junge::N,chico,хлопець
221,Junge::N,muchacho,хлопець
222,Mädchen::N,chica,дівчина
223,Mädchen::N,muchacha,дівчина
224,Familie::N,familia,сім’я
225,Familie::N,familia,родина
226,Großvater::N,abuelo,дідусь
227,Großmutter::N,abuela,бабуся
228,Eltern::N,padres,батьки
229,Vater::N,padre,батько
230,Mutter::N,madre,мати
231,Sohn::N,hijo,син
232,Tochter::N,hija,дочка
233,Bruder::N,hermano,брат
234,Schwester::N,hermana,сестра
235,Onkel::N,tío,дядько
236,Tante::N,tía,тітка
237,Ehemann::N,esposo,чоловік
238,Ehefrau::N,esposa,жінка
239,Ehefrau::N,esposa,дружина
240,Freude::N,placer,радощі
241,Freude::N,alegría,радощі
242,Gelächter::N,risa,сміх
243,Gelächter::N,carcajada,сміх
244,Glück::N,felicidad,щастя
245,Kummer::N,pena,горе
246,Wunsch::N,deseo,бажання
247,Lust::N,ganas,бажання
248,Geist::N,mente,дух
249,Geist::N,espíritu,дух
250,Gedanke::N,idea,думка
251,Gedanke::N,pensamiento,думка
252,Gedächtnis::N,memoria,пам’ять
253,Verstand::N,razón,розум
254,Verstand::N,entendimiento,розум
255,Sinn::N,sentido,зміст
256,Sinn::N,sentido,значення
257,Sinn::N,significado,зміст
258,Sinn::N,significado,значення
259,Grund::N,causa,причина
260,Wahrheit::N,verdad,правда
261,Gespräch::N,conversación,розмова
262,Märchen::N,cuento,байка
263,Erzählung::N,cuento,повість
264,Erzählung::N,cuento,оповідання
265,Erzählung::N,narración,повість
266,Erzählung::N,narración,оповідання
267,Nachricht::N,mensaje,повідомлення
268,Neuigkeit::N,noticia,новина
269,Name::N,nombre,ім’я
270,Rätsel::N,acertijo,загадка
271,Rätsel::N,adivinanza,загадка
272,Rede::N,discurso,промова
273,Sprache::N,lengua,мова
274,Stimme::N,voz,голос
275,Wort::N,palabra,слово
276,Zeichen::N,señal,знак
277,Ruf::N,llamada,оклик
278,Lärm::N,ruido,шум
279,Lärm::N,barullo,шум
280,Laut::N,sonido,звук
281,Ton::N,tono,тон
282,Lied::N,canción,пісня
283,Ruhe::N,calma,спокій
284,Ruhe::N,silencio,спокій
285,Leute::N,gente,люди
286,Volk::N,pueblo,народ
287,Arbeit::N,trabajo,робота
288,Gast::N,huésped,гість
289,Gast::N,invitado,гість
290,Geschenk::N,regalo,подарунок
291,Spiel::N,juego,гра
292,Gesellschaft::N,compañía,товариство
293,Hilfe::N,ayuda,допомога
294,Hilfe::N,socorro,допомога
295,Freund::N,amigo,друг
296,Freund::N,amigo,приятель
297,Kamerad::N,camarada,товариш
298,Kamerad::N,compañero,товариш
299,Angelegenheit::N,asunto,справа
300,Anzahl::N,cantidad,число
301,Art::N,tipo,рід
302,Art::N,clase,рід
303,Stück::N,pieza,кусок
304,Teil::N,parte,частина
305,Hälfte::N,mitad,половина
306,Kreis::N,círculo,круг
307,Kreis::N,círculo,коло
308,Kreuz::N,cruz,хрест
309,Linie::N,línea,лінія
310,Strich::N,raya,штрих
311,Strich::N,trazo,штрих
312,Abstand::N,distancia,проміжок
313,Entfernung::N,distancia,відстань
314,Gegend::N,región,місцевість
315,Gegend::N,comarca,місцевість
316,Platz::N,espacio,площа
317,Ort::N,sitio,місце
318,Seite::N,lado,сторона
319,Seite::N,costado,сторона
320,Mitte::N,medio,середина
321,Mitte::N,centro,середина
322,Gegenstand::N,objeto,предмет
323,Sache::N,cosa,річ
324,Rand::N,borde,край
325,Kante::N,borde,ребро
326,Ecke::N,esquina,ріг
327,Spitze::N,punta,кінчик
328,Ende::N,cabo,кінець
329,Ende::N,extremo,кінець
330,Loch::N,agujero,діра
331,Loch::N,abertura,діра
332,Winkel::N,ángulo,куток
333,Muster::N,dibujo,узор
334,Größe::N,tamaño,розмір
335,Länge::N,longitud,довжина
336,Höhe::N,altura,висота
337,Höhe::N,altitud,висота
338,Gewicht::N,peso,вага
339,Menge::N,cantidad,кількість
340,Haufen::N,montón,купа
341,Reihe::N,fila,ряд
342,Boot::N,bote,човен
343,Boot::N,barca,човен
344,Ruder::N,remo,весло
345,Schlitten::N,trineo,сани
346,Ski::N,esquí,лижа
347,Lagerfeuer::N,hoguera,вогнище
348,Last::N,carga,тягар
349,Last::N,carga,вантаж
350,Gang::N,marcha,хід
351,Schritt::N,paso,крок
352,Norden::N,norte,північ
353,Süden::N,sur,південь
354,Westen::N,oeste,захід
355,Osten::N,este,схід
356,Holz::N,madera,дрова
357,Brett::N,tabla,дошка
358,Platte::N,placa,плита
359,Platte::N,plancha,плита
360,Stütze::N,sostén,підпірка
361,Stütze::N,soporte,підпірка
362,Stange::N,vara,жердина
363,Stange::N,percha,жердина
364,Stock::N,palo,палиця
365,Stock::N,bastón,палиця
366,Stab::N,vara,палиця
367,Stab::N,bastón,палиця
368,Rohr::N,tubo,труба
369,Haus::N,casa,дім
370,Haus::N,casa,хата
371,Heim::N,hogar,житло
372,Ofen::N,estufa,піч
373,Fußboden::N,suelo,підлога
374,Tisch::N,mesa,стіл
375,Stuhl::N,silla,стілець
376,Wiege::N,cuna,колиска
377,Bett::N,cama,ліжко
378,Bett::N,cama,постіль
379,Regal::N,estantería,полиця
380,Kiste::N,caja,ящик
381,Fenster::N,ventana,вікно
382,Tür::N,puerta,двері
383,Tor::N,puerta,ворота
384,Zaun::N,valla,паркан
385,Zaun::N,valla,огорожа
386,Zaun::N,cercado,паркан
387,Zaun::N,cercado,огорожа
388,Dach::N,techo,дах
389,Dach::N,tejado,дах
390,Leiter::N,escalera,драбина
391,Besen::N,escoba,мітла
392,Spaten::N,pala,заступ
393,Schaufel::N,pala,совок
394,Schaufel::N,pala,лопата
395,Schaufel::N,paleta,совок
396,Schaufel::N,paleta,лопата
397,Gabel::N,tenedor,виделка
398,Löffel::N,cuchara,ложка
399,Messer::N,cuchillo,ніж
400,Nagel::N,clavo,цвях
401,Netz::N,red,сіть
402,Haken::N,gancho,крюк
403,Haken::N,corchete,крюк
404,Griff::N,asa,ручка
405,Griff::N,asa,держак
406,Griff::N,mango,ручка
407,Griff::N,mango,держак
408,Schloss::N,cerradura,замок
409,Bild::N,imagen,картина
410,Figur::N,figura,фігура
411,Puppe::N,muñeca,лялька
412,Beutel::N,bolsa,мішечок
413,Beutel::N,bolsa,торбинка
414,Bündel::N,haz,в’язка
415,Tasche::N,bolso,сумка
416,Eimer::N,cubo,відро
417,Deckel::N,tapa,кришка
418,Deckel::N,tapadera,кришка
419,Geschirr::N,vajilla,посуд
420,Sack::N,saco,мішок
421,Tasse::N,taza,чашка
422,Topf::N,olla,горщик
423,Topf::N,marmita,горщик
424,Kessel::N,caldera,котел
425,Essen::N,comida,їжа
426,Nahrung::N,alimento,харч
427,Speise::N,plato,страва
428,Fleisch::N,carne,м’ясо
429,Getreide::N,cereales,хліб
430,Getreide::N,cereales,збіжжя
431,Brei::N,puré,каша
432,Brei::N,papilla,каша
433,Brot::N,pan,хліб
434,Scheibe::N,lonja,скибочка
435,Scheibe::N,rebanada,скибочка
436,Fett::N,grasa,жир
437,Butter::N,mantequilla,масло
438,Öl::N,aceite,олія
439,Salz::N,sal,сіль
440,Suppe::N,sopa,суп
441,Honig::N,miel,мед
442,Milch::N,leche,молоко
443,Tee::N,té,чай
444,Leder::N,cuero,шкіра
445,Wolle::N,lana,шерсть
446,Stoff::N,tela,тканина
447,Stoff::N,tejido,тканина
448,Nadel::N,aguja,голка
449,Faden::N,hilo,нитка
450,Knopf::N,botón,ґудзик
451,Knoten::N,nudo,вузол
452,Farbe::N,pintura,фарба
453,Kleidung::N,ropa,одяг
454,Kleidung::N,ropa,убрання
455,Kleidung::N,vestidos,одяг
456,Kleidung::N,vestidos,убрання
457,Hemd::N,camisa,сорочка
458,Kragen::N,cuello,комір
459,Ärmel::N,manga,рукав
460,Hose::N,pantalón,брюки
461,Gürtel::N,cinturón,пояс
462,Mütze::N,gorro,шапка
463,Schuh::N,zapato,ботинок
464,Stiefel::N,bota,чобіт
465,Ring::N,anillo,кільце
466,Band::N,cinta,стрічка
467,Kamm::N,peine,гребінець
468,Spiegel::N,espejo,дзеркало
469,Riemen::N,correa,ремінь
470,Schnur::N,cuerda,вірьовка
471,Leine::N,correa,шворка
472,Decke::N,manta,ковдра
473,Kissen::N,almohada,подушка
474,Tuch::N,pañuelo,хустка
475,Handtuch::N,toalla,рушник
476,Kraft::N,fuerza,сила
477,Stärke::N,fuerza,сила
478,Gesundheit::N,salud,здоров’я
479,Krankheit::N,enfermedad,хвороба
480,Schmerz::N,dolor,біль
481,Wunde::N,llaga,рана
482,Wunde::N,herida,рана
483,Fieber::N,fiebre,гарячка
484,Arznei::N,medicina,ліки
485,Arznei::N,medicamento,ліки
486,Brücke::N,puente,міст
487,Brunnen::N,pozo,колодязь
488,Weide::N,pasto,пасовище
489,Pfad::N,sendero,стежка
490,Weg::N,camino,шлях
491,Weg::N,camino,дорога
492,Straße::N,vía,вулиця
493,Straße::N,carretera,вулиця
494,Dorf::N,aldea,село
495,Dorf::N,pueblo,село
496,Stadt::N,ciudad,місто
497,Brief::N,carta,лист
498,Buch::N,libro,книга
499,Buch::N,libro,книжка
500,Buchstabe::N,letra,буква
501,Buchstabe::N,letra,літера
502,Buchstabe::N,carácter,буква
503,Buchstabe::N,carácter,літера
504,Zeitung::N,diario,газета
505,Zeitung::N,periódico,газета
506,Leben::N,vida,життя
507,Tod::N,muerte,смерть
508,Grab::N,tumba,могила
509,Grab::N,sepulcro,могила
510,Kirche::N,iglesia,церква
511,Sünde::N,pecado,гріх
512,Gott::N,dios,бог
513,Arbeiter::N,obrero,робітник
514,Arbeiter::N,trabajador,робітник
515,Chef::N,jefe,хазяїн
516,Meister::N,maestro,умілець
517,Arzt::N,médico,лікар
518,Lehrer::N,profesor,вчитель
519,Geld::N,dinero,гроші
520,Geschäft::N,negocio,заняття
521,Laden::N,tienda,магазин
522,Laden::N,tienda,крамниця
523,Preis::N,precio,ціна
524,Ware::N,mercancía,товар
525,Nutzen::N,provecho,вигода
526,Nutzen::N,provecho,користь
527,Reichtum::N,riqueza,багатство
528,Welt::N,mundo,світ
529,Land::N,país,країна
530,Staat::N,Estado,держава
531,König::N,rey,король
532,Macht::N,poder,влада
533,Macht::N,potencia,влада
534,Grenze::N,frontera,кордон
535,Krieg::N,guerra,війна
536,Feind::N,enemigo,ворог
537,Gewalt::N,violencia,насильство
538,Kampf::N,lucha,бій
539,Kampf::N,lucha,боротьба
540,Kampf::N,combate,бій
541,Kampf::N,combate,боротьба
542,Bogen[Waffe]::N,arco,лук
543,Pfeil::N,flecha,стріла
544,Gewehr::N,fusil,рушниця
545,Gewehr::N,fusil,гвинтівка
546,Gewehr::N,escopeta,рушниця
547,Gewehr::N,escopeta,гвинтівка
548,Fehler::N,error,помилка
549,Lüge::N,mentira,брехня
550,Schaden::N,daño,шкода
551,Schaden::N,daño,збиток
552,Unglück::N,desgracia,нещастя
553,Schuld::N,culpa,провина
554,Alter::N,edad,вік
555,Alter::N,edad,літа
556,Schluss::N,fin,кінець
557,Schluss::N,final,кінець
558,Zeit::N,tiempo,час
559,Tag::N,día,день
560,Morgen::N,mañana,ранок
561,Mittag::N,mediodía,південь
562,Abend::N,noche,вечір
563,Nacht::N,noche,ніч
564,Woche::N,semana,тиждень
565,Monat::N,mes,місяць
566,Jahr::N,año,рік
567,Frühling::N,primavera,весна
568,Sommer::N,verano,літо
569,Herbst::N,otoño,осінь
570,Winter::N,invierno,зима
571,Januar::N,enero,січень
572,Februar::N,febrero,лютий
573,März::N,marzo,березень
574,April::N,abril,квітень
575,Mai::N,mayo,травень
576,Juni::N,junio,червень
577,Juli::N,julio,липень
578,August::N,agosto,серпень
579,September::N,septiembre,вересень
580,Oktober::N,octubre,жовтень
581,November::N,noviembre,листопад
582,Dezember::N,diciembre,грудень
583,Montag::N,lunes,понеділок
584,Dienstag::N,martes,вівторок
585,Mittwoch::N,miércoles,середа
586,Donnerstag::N,jueves,четвер
587,Freitag::N,viernes,п’ятниця
588,Samstag::N,sábado,субота
589,Sonntag::N,domingo,неділя
590,groß::A,grande,великий
591,klein::A,pequeño,малий
592,klein::A,pequeño,маленький
593,lang::A,largo,довгий
594,kurz::A,corto,короткий
595,breit::A,ancho,широкий
596,schmal::A,estrecho,вузький
597,dicht::A,denso,густий
598,dick[Gegenstand]::A,grueso,товстий
599,dünn::A,fino,тонкий
600,dünn::A,delgado,тонкий
601,fein::A,fino,дрібний
602,fein::A,delicado,дрібний
603,fest::A,firme,міцний
604,fest::A,sólido,міцний
605,flach::A,plano,плоский
606,glatt::A,liso,рівний
607,glatt::A,liso,гладенький
608,hart::A,duro,твердий
609,weich::A,muelle,м’який
610,rund::A,redondo,круглий
611,spitz::A,agudo,гострокінцевий
612,spitz::A,apuntado,гострокінцевий
613,scharf::A,agudo,гострий
614,scharf::A,afilado,гострий
615,stumpf::A,sin filo,тупий
616,schwer::A,pesado,важкий
617,schön::A,bello,вродливий
618,schön::A,hermoso,вродливий
619,heiß::A,caluroso,жаркий
620,heiß::A,caluroso,гарячий
621,warm::A,cálido,теплий
622,warm::A,caliente,теплий
623,kalt::A,frío,холодний
624,kühl::A,fresco,прохолодний
625,frisch::A,fresco,свіжий
626,feucht::A,húmedo,вогкий
627,nass::A,mojado,мокрий
628,trocken::A,seco,сухий
629,voll::A,lleno,повний
630,leer::A,vacío,пустий
631,offen::A,abierto,відкритий
632,geschlossen::A,cerrado,закритий
633,geschlossen::A,cerrado,зачинений
634,sauber::A,limpio,чистий
635,sauber::A,limpio,охайний
636,schmutzig::A,sucio,брудний
637,roh::A,crudo,сирий
638,reif::A,maduro,зрілий
639,lecker::A,rico,смачний
640,lecker::A,sabroso,смачний
641,süß::A,dulce,солодкий
642,bitter::A,amargo,гіркий
643,sauer::A,agrio,кислий
644,hell::A,claro,світлий
645,dunkel::A,oscuro,темний
646,schwarz::A,negro,чорний
647,weiß::A,blanco,сивий
648,rot::A,rojo,червоний
649,gelb::A,amarillo,жовтий
650,blau::A,azul,синій
651,grün::A,verde,зелений
652,grau::A,gris,сірий
653,bunt::A,multicolor,барвистий
654,billig::A,barato,дешевий
655,teuer::A,caro,дорогий
656,wertvoll::A,valioso,цінний
657,wertvoll::A,precioso,цінний
658,blind::A,ciego,сліпий
659,taub::A,sordo,глухий
660,kräftig::A,fuerte,могутній
661,stark::A,fuerte,сильний
662,stark::A,vigoroso,сильний
663,schwach::A,débil,слабкий
664,fett::A,obeso,жирний
665,fett::A,obeso,товстий
666,schlank::A,esbelto,тонкий
667,schlank::A,esbelto,стрункий
668,hübsch::A,mono,чарівний
669,hübsch::A,guapo,чарівний
670,böse::A,malo,злий
671,böse::A,malo,лихий
672,dumm::A,tonto,дурний
673,dumm::A,estúpido,дурний
674,faul::A,vago,ледачий
675,faul::A,perezoso,ледачий
676,fleißig::A,aplicado,старанний
677,fleißig::A,diligente,старанний
678,geizig::A,avaro,скупий
679,klug::A,sensato,мудрий
680,klug::A,sensato,розумний
681,klug::A,inteligente,мудрий
682,klug::A,inteligente,розумний
683,geschickt::A,hábil,умілий
684,lieb::A,querido,милий
685,lustig::A,alegre,веселий
686,sanft::A,suave,лагідний
687,hungrig::A,hambriento,голодний
688,krank::A,enfermo,слабий
689,nackt::A,desnudo,голий
690,traurig::A,triste,сумний
691,lebendig::A,vivo,живий
692,lebendig::A,viviente,живий
693,gut::A,bueno,добрий
694,schlecht::A,malo,поганий
695,schlecht::A,malo,кепський
696,richtig::A,justo,правильний
697,richtig::A,correcto,правильний
698,schlimm::A,malo,бридкий
699,schlimm::A,grave,бридкий
700,wahr::A,verídico,справжній
701,wahr::A,verdadero,справжній
702,alt::A,viejo,старий
703,neu::A,nuevo,новий
704,ehemalig::A,antiguo,колишній
705,alt[Lebewesen]::A,viejo,старий
706,jung::A,joven,молодий
707,arm::A,pobre,бідний
708,reich::A,rico,багатий
709,bekannt::A,conocido,знайомий
710,berühmt::A,famoso,славетний
711,berühmt::A,célebre,славетний
712,fremd::A,extraño,чужий
713,verschieden::A,diverso,різний
714,verschieden::A,distinto,різний
715,verschieden::A,diferente,різний
716,nah::A,cercano,близький
717,fern::A,lejano,далекий
718,linker::A,izquierdo,лівий
719,rechter::A,derecho,правий
720,anderer::A,otro,інакший
721,erster::A,primero,перший
722,zweiter::A,segundo,другий
723,dritter::A,tercero,третій
724,letzter::A,último,останній
725,allein::ADV,a solo,сам
726,allein::ADV,a solo,один
727,auf einmal::ADV,de una vez,відразу
728,zusammen::ADV,juntos,разом
729,zusammen::ADV,juntos,спільно
730,lange::ADV,mucho tiempo,довго
731,plötzlich::ADV,de repente,раптом
732,sofort::ADV,en seguida,зараз
733,später::ADV,más tarde,пізніше
734,jetzt::ADV,ahora,тепер
735,heute::ADV,hoy,сьогодні
736,morgen::ADV,mañana,завтра
737,bald::ADV,pronto,незабаром
738,bald::ADV,en breve,незабаром
739,dann::ADV,luego,потім
740,dann::ADV,entonces,потім
741,gestern::ADV,ayer,вчора
742,einst::ADV,antaño,колись
743,damals::ADV,entonces,тоді
744,danach::ADV,después,згодом
745,vorher::ADV,antes,раніше
746,zuerst::ADV,primero,спершу
747,zuerst::ADV,primero,спочатку
748,einmal::ADV,una vez,один раз
749,manchmal::ADV,a veces,іноді
750,manchmal::ADV,a veces,інколи
751,oft::ADV,a menudo,часто
752,oft::ADV,con frecuencia,часто
753,immer::ADV,siempre,завжди
754,niemals::ADV,jamás,ніколи
755,hier::ADV,aquí,тут
756,hierhin::ADV,acá,сюди
757,von hier::ADV,desde aquí,звідси
758,dort::ADV,ahí,там
759,dort::ADV,allí,там
760,dorthin::ADV,allí,туди
761,dorthin::ADV,hacia allí,туди
762,geradeaus::ADV,todo derecho,прямо
763,vorwärts::ADV,adelante,вперед
764,rückwärts::ADV,hacia atrás,назад
765,zurück::ADV,atrás,назад
766,unten::ADV,abajo,внизу
767,hinab::ADV,hacia abajo,вниз
768,oben::ADV,arriba,вгорі
769,hinauf::ADV,hacia arriba,вгору
770,überall::ADV,por todas partes,скрізь
771,nicht::ADV,no,не
772,ein wenig::ADV,un poco,трохи
773,ein wenig::ADV,un poco,небагато
774,kaum::ADV,apenas,ледве
775,sehr::ADV,muy,дуже
776,sehr::ADV,mucho,дуже
777,so::ADV,tan,так
778,noch::ADV,aún,ще
779,noch::ADV,todavía,ще
780,nur::ADV,solamente,лише
781,nur::ADV,solamente,тільки
782,schon::ADV,ya,вже
783,wieder::ADV,de nuevo,знову
784,vergebens::ADV,en vano,дарма
785,vor::PRP,antes de,перед
786,vor::PRP,delante de,перед
787,hinter::PRP,tras,ззаду
788,hinter::PRP,tras,позаду
789,hinter::PRP,detrás de,ззаду
790,hinter::PRP,detrás de,позаду
791,unter::PRP,bajo,під
792,unter::PRP,debajo de,під
793,durch::PRP,por,крізь
794,durch::PRP,a través de,крізь
795,neben::PRP,al lado de,біля
796,zwischen::PRP,entre,між
797,wegen::PRP,por,з-за
798,wegen::PRP,por,через
799,wegen::PRP,a causa de,з-за
800,wegen::PRP,a causa de,через
801,dies::PRN,esto,це
802,das::PRN,eso,то
803,das::PRN,esto,то
804,alles::PRN,todo,все
805,ich::PRN,yo,я
806,du::PRN,tú,ти
807,er::PRN,él,він
808,wir::PRN,nosotros,ми
809,ihr::PRN,vosotros,ви
810,sie::PRN,ellos,вони
811,was::FPRN,qué,що
812,wer::FPRN,quién,хто
813,wo::FADV,dónde,де
814,wohin::FADV,adónde,куди
815,wohin::FADV,hacia dónde,куди
816,wie::FADV,cómo,як
817,warum::FADV,por qué,чому
818,wieviel::FNUM,cuánto,скільки
819,eins::NUM,uno,один
820,zwei::NUM,dos,два
821,drei::NUM,tres,три
822,vier::NUM,cuatro,чотири
823,fünf::NUM,cinco,п’ять
824,sechs::NUM,seis,шість
825,sieben::NUM,siete,сім
826,acht::NUM,ocho,вісім
827,neun::NUM,nueve,дев’ять
828,zehn::NUM,diez,десять
829,elf::NUM,once,одинадцять
830,zwölf::NUM,doce,дванадцять
831,zwanzig::NUM,veinte,двадцять
832,dreißig::NUM,treinta,тридцять
833,vierzig::NUM,cuarenta,сорок
834,fünfzig::NUM,cincuenta,п’ятдесят
835,sechzig::NUM,sesenta,шістдесят
836,siebzig::NUM,setenta,сімдесят
837,achtzig::NUM,ochenta,вісімдесят
838,neunzig::NUM,noventa,дев’яносто
839,hundert::NUM,cien,сто
840,hundert::NUM,ciento,сто
841,tausend::NUM,mil,тисяча
842,und::CNJ,y,і
843,oder::CNJ,o,або
844,stehen::V,estar de pie,стояти
