,Concept_ID,zh,hr
289,Wort::N,词,riječ
290,Zeichen::N,标记,znak
291,Ruf::N,呼喊,povik
292,Ruf::N,呼喊,poklik
293,Lärm::N,噪音,buka
294,Lärm::N,噪音,galama
295,Laut::N,响声,zvuk
296,Ton::N,声音,ton
297,Lied::N,歌曲,pjesma
298,Ruhe::N,安静,tišina
299,Ruhe::N,安静,počinak
300,Leute::N,人们,ljudi
301,Volk::N,人民,puk
302,Volk::N,人民,narod
303,Arbeit::N,劳动,rad
304,Arbeit::N,劳动,posao
305,Gast::N,客人,gost
306,Geschenk::N,礼物,dar
307,Geschenk::N,礼物,poklon
308,Spiel::N,游戏,igra
309,Gesellschaft::N,陪同,društvo
310,Gesellschaft::N,陪同,kompanija
311,Hilfe::N,帮助,pomoć
312,Freund::N,朋友,prijatelj
313,Kamerad::N,同志,drug
314,Kamerad::N,同志,drugar
315,Angelegenheit::N,事情,posao
316,Anzahl::N,数目,broj
317,Anzahl::N,数目,brojnost
318,Art::N,种类,vid
319,Art::N,种类,vrst
320,Stück::N,块,komad
321,Teil::N,部分,dio
322,Hälfte::N,一半,polovina
323,Kreis::N,圆,krug
324,Kreuz::N,十字架,križ
325,Linie::N,线条,crta
326,Strich::N,划,crta
327,Abstand::N,距离,razmak
328,Abstand::N,距离,odstojanje
329,Entfernung::N,距离,udaljenost
330,Gegend::N,地区,kraj
331,Gegend::N,地区,predeo
332,Platz::N,场所,mjesto
333,Ort::N,地点,mjesto
334,Seite::N,面,bok
335,Seite::N,面,strana
336,Mitte::N,中间,sredina
337,Gegenstand::N,物品,predmet
338,Sache::N,物,posao
339,Rand::N,边,rub
340,Rand::N,边,kraj
341,Kante::N,棱,brid
342,Kante::N,棱,ivica
343,Ecke::N,角,ugao
344,Spitze::N,尖,vrh
345,Spitze::N,尖,šiljak
346,Ende::N,结尾,konac
347,Loch::N,洞,rupa
348,Winkel::N,角度,kut
349,Winkel::N,角度,ugao
350,Muster::N,模型,uzor
351,Größe::N,大小,veličina
352,Länge::N,长度,duljina
353,Höhe::N,高度,visina
354,Gewicht::N,重量,težina
355,Menge::N,数量,mnoštvo
356,Menge::N,数量,količina
357,Haufen::N,堆,hrpa
358,Haufen::N,堆,gomila
359,Reihe::N,行,red
360,Boot::N,小船,čun
361,Boot::N,小船,čamac
362,Ruder::N,奖,veslo
363,Schlitten::N,雪橇,saone
364,Ski::N,雪板,ski
365,Ski::N,雪板,smučka
366,Lagerfeuer::N,营火,logorska vatra
367,Last::N,负担,tovar
368,Gang::N,行走,hod
369,Schritt::N,步伐,korak
370,Norden::N,北,sjever
371,Süden::N,南,jug
372,Westen::N,西,zapad
373,Osten::N,东,istok
374,Holz::N,木材,drvo
375,Brett::N,木板,daska
376,Platte::N,平板,ploča
377,Stütze::N,支架,potpora
378,Stange::N,杆,motka
379,Stock::N,棒,štap
380,Stock::N,棒,palica
381,Stab::N,棍,štap
382,Stab::N,棍,šipka
383,Rohr::N,管子,cijev
384,Haus::N,房屋,kuća
385,Heim::N,家,dom
386,Ofen::N,炉子,peć
387,Fußboden::N,地板,pod
388,Tisch::N,桌子,stol
389,Tisch::N,桌子,trpeza
390,Stuhl::N,椅子,stolac
391,Stuhl::N,椅子,stolica
392,Wiege::N,摇蓝,kolijevka
393,Bett::N,床,krevet
394,Bett::N,床,postelja
395,Regal::N,架子,polica
396,Kiste::N,箱子,sanduk
397,Fenster::N,窗户,prozor
398,Tür::N,门,vrata
399,Tor::N,大门,vrata
400,Tor::N,大门,kapija
401,Zaun::N,篱笆,plot
402,Zaun::N,篱笆,ograda
403,Dach::N,屋顶,krov
404,Leiter::N,梯子,ljestve
405,Leiter::N,梯子,ljestvice
406,Besen::N,扫帚,metla
407,Spaten::N,铁锹,ašov
408,Schaufel::N,铁锹,lopata
409,Gabel::N,叉,viljuška
410,Löffel::N,食匙,žlica
