,Concept_ID,udm,br
88,Donner::N,гудыри,kurun
89,Strömung::N,бызён,red
90,Tropfen::N,шапык,bannac'h
91,Tropfen::N,шапык,takenn
92,Schaum::N,шукы,spoum
93,Schmutz::N,нӧд,fank
94,Schmutz::N,дэри,fank
95,See::N,ты,lenn
96,Sumpf::N,нюр,gwern
97,Moor::N,нюр,taouarc'heg
98,Wiese::N,возь,prad
99,Wiese::N,возьвыл,prad
100,Wald::N,сик,koad
101,Wald::N,нюлэс,koad
102,Hügel::N,выр,torgenn
103,Hügel::N,вырйыл,torgenn
104,Anhöhe::N,выр,run
105,Anhöhe::N,вырйыл,run
106,Berg::N,гурезь,menez
107,Gipfel::N,йыл,barr
108,Höhle::N,гу,kav
109,Abhang::N,бам,naou
110,Quelle::N,ошмес,feunteun
111,Bach::N,пичи шур,gwazh
112,Fluss::N,шур,stêr
113,Ufer::N,ярдур,ribl
114,Küste::N,вудур,aod
115,Festland::N,мувыр,douar
116,Meer::N,зарезь,mor
117,Bucht::N,вукож,mor-bihan
118,Insel::N,вумуӵ,enez
119,Insel::N,шормуӵ,enez
120,Blume::N,сяська,bleunienn
121,Gras::N,турын,geot
122,Wurzel::N,выжы,gwrizienn
123,Baum::N,пу,gwezenn
124,Stamm::N,модос,kef
125,Rinde::N,сул,rusk
126,Ast::N,ул,barr
127,Zweig::N,вай,bod
128,Blatt::N,куар,delienn
129,Birke::N,кызьпу,bezvenn
130,Kiefer[Baum]::N,пужым,pinenn
131,Weide[Baum]::N,бадьпу,halegenn
132,Tanne::N,кыз,sapenn
133,Horn::N,сюр,korn
134,Feder::N,тылы,pluñv
135,Fell::N,ку,kreoñ
136,Flügel::N,бурд,askell
137,Klaue::N,гижы,skilf
138,Kralle::N,пыд,skilf
139,Schwanz::N,быж,lost
140,Ei::N,пуз,vi
141,Ei::N,кукей,vi
142,Nest::N,кар,neizh
143,Nest::N,пузкар,neizh
144,Bau::N,кар,douarenn
145,Bau::N,гу,douarenn
146,Tier::N,пӧйшур,loen
147,Herde::N,уллё,tropell
148,Kuh::N,скал,buoc'h
149,Bulle::N,ош,tarv
150,Bulle::N,пороз,tarv
151,Pferd::N,вал,marc'h
152,Schaf::N,ыж,dañvad
153,Schwein::N,парсь,pemoc'h
154,Hund::N,пуны,ki
155,Katze::N,коӵыш,kazh
156,Bär::N,гондыр,arzh
157,Eichhörnchen::N,коньы,gwiñver
158,Elch::N,койык,karv-dour
159,Fuchs::N,ӟичы,louarn
160,Hase::N,кеч,gad
161,Maus::N,шыр,logodenn
162,Wolf::N,кион,bleiz
163,Vogel::N,тылобурдо,labous
164,Schwarm::N,уллё,nijad
165,Huhn::N,курег,yar
166,Hahn::N,атас,kilhog
167,Gans::N,ӟазег,gwazenn
168,Adler::N,ӧрзи,erer
169,Ente::N,ӵӧж,houad
170,Eule::N,кучыран,toud
171,Kranich::N,тури,garan
172,Krähe::N,куака,bran
173,Kuckuck::N,кикы,koukoug
174,Schwan::N,юсь,alarc'h
175,Fisch::N,чорыг,pesk
176,Barsch::N,юш,brell
177,Hecht::N,чипей,beked
178,Schlange[Tier]::N,кый,naer
179,Wurm::N,нумыр,preñv
180,Spinne::N,чонари,kevnidenn
181,Ameise::N,кузьыли,merion
182,Laus::N,тэй,laouenn
183,Mücke::N,нымы,moustik
184,Mücke::N,чибинь,moustik
185,Fliege::N,кут,kelienenn
186,Schmetterling::N,бубыли,balafenn
187,Beere::N,узы-боры,hog
188,Apfel::N,яблок,aval
189,Pilz::N,губи,kabell-touseg
190,Zwiebel::N,сугон,ognonenn
191,Saat::N,кидыс,had
192,Korn::N,тысь,ed
193,Heu::N,турын,foenn
194,Schale::N,кыд,peliadur
195,Grube::N,гу,
196,Grube::N,гоп,
197,Falle::N,налик,pech
198,Schlinge::N,гиӟ,krouglas
199,Schlinge::N,герд,krouglas
200,Spur::N,пытьы,
201,Spur::N,бервыл,
202,Asche::N,пень,ludu
203,Dreck::N,дэри,fank
204,Eisen::N,корт,houarn
205,Gold::N,зарни,aour
206,Silber::N,азвесь,arc'hant
207,Kohle::N,эгыр,glaou
208,Glas::N,стекло,gwer
209,Glas::N,пияла,gwer
210,Lehm::N,сюй,
211,Sand::N,луо,traezh
212,Mensch::N,мурт,den
213,Mensch::N,адями,den
214,Mann::N,воргорон,den
215,Frau::N,кышномурт,maouez
216,Kind::N,нуны,bugel
217,Kind::N,пинал,bugel
218,Junge::N,пи,paotr
219,Mädchen::N,ныл,plac'h
220,Familie::N,семья,familh
221,Großvater::N,песятай,tad-kozh
222,Großvater::N,пересь атай,tad-kozh
223,Großmutter::N,песянай,mamm-gozh
224,Großmutter::N,пересь анай,mamm-gozh
225,Eltern::N,атай-анай,kerent
226,Eltern::N,бубы-мумы,kerent
227,Vater::N,айы,tad
228,Vater::N,атай,tad
229,Mutter::N,мумы,mamm
230,Sohn::N,пи,mab
231,Tochter::N,ныл,merc'h
232,Bruder::N,агай,breur
233,Schwester::N,апа,c'hoar
234,Schwester::N,сузэр,c'hoar
235,Onkel::N,агай,eontr
236,Tante::N,апа,moereb
237,Tante::N,кенак,moereb
238,Ehemann::N,карт,gwaz
239,Ehefrau::N,кышно,gwreg
240,Freude::N,шумпотон,levenez
241,Gelächter::N,горем,c'hoarzherezh
242,Glück::N,шуд,chañs
243,Kummer::N,кайгу,doan
244,Kummer::N,куректон,doan
245,Wunsch::N,мылпотон,c'hoant
246,Lust::N,потон,c'hoant
247,Geist::N,лул,spered
248,Gedanke::N,малпан,soñj
249,Gedächtnis::N,йырсазь,eñvor
250,Gedächtnis::N,тодэваён,eñvor
251,Verstand::N,йырвизь,skiant
252,Sinn::N,смысл,ster
253,Grund::N,муг,kaoz
254,Grund::N,ньӧм,kaoz
255,Wahrheit::N,зэм,gwirionez
256,Wahrheit::N,шонер,gwirionez
257,Gespräch::N,вераськон,kaozeadenn
258,Märchen::N,выжыкыл,kaoz korriganez
259,Erzählung::N,верос,kontadenn
260,Nachricht::N,ивор,keloù
261,Neuigkeit::N,выльивор,kelaouenn
262,Name::N,ним,anv
263,Rätsel::N,мадькыл,divinatez
264,Rede::N,верам,diskour
265,Sprache::N,кыл,yezh
266,Stimme::N,куара,mouezh
267,Wort::N,кыл,ger
268,Zeichen::N,пус,sin
269,Zeichen::N,тодмет,sin
270,Ruf::N,ӧтён,galv
271,Ruf::N,чортон,galv
272,Lärm::N,ӵашетон,trouz
273,Laut::N,куара,
274,Ton::N,куара,ton
275,Lied::N,кырӟан,kanaouenn
276,Ruhe::N,чалмыт улон,sioulded
277,Leute::N,адямиос,tud
278,Volk::N,калык,pobl
279,Arbeit::N,уж,labour
280,Gast::N,куно,kouviad
281,Geschenk::N,салам,prof
282,Geschenk::N,кузьым,prof
283,Spiel::N,шудон,c'hoari
284,Gesellschaft::N,калык,kompagnunezh
285,Gesellschaft::N,калык,kavandad
286,Hilfe::N,юрттон,sikour
287,Freund::N,эш,mignon
288,Freund::N,юлтош,mignon
289,Kamerad::N,тодмо,kamarad
290,Angelegenheit::N,уж,afer
291,Anzahl::N,лыд,niver
292,Art::N,тус,sort
293,Stück::N,юдэс,tamm
294,Teil::N,люкет,pezh
295,Hälfte::N,ӝыны,hanterenn
296,Kreis::N,котырес,kelc'h
297,Kreuz::N,крест,kroaz
298,Linie::N,гож,linenn
299,Strich::N,гож,tenn
300,Abstand::N,вис,distok
301,Abstand::N,кусып,distok
302,Entfernung::N,кусып,keid
303,Entfernung::N,кусып,kehid
304,Gegend::N,инты,korn-bro
305,Platz::N,инты,plasenn
306,Ort::N,инты,lec'h
307,Ort::N,места,lec'h
308,Seite::N,пал,tu
309,Mitte::N,шор,kreiz
310,Gegenstand::N,арбери,tra
311,Sache::N,котыр,tra
312,Rand::N,дур,kantenn
313,Rand::N,шаер,kantenn
314,Kante::N,дур,kantenn
315,Ecke::N,сэрег,korn
316,Spitze::N,йыл,begell
317,Ende::N,пум,dibenn
318,Loch::N,пась,toull
319,Winkel::N,сэрег,
320,Muster::N,пужы,tresadenn
321,Größe::N,быдӟала,ment
322,Länge::N,кузьдала,hirder
323,Höhe::N,ӝуждала,uhelder
324,Gewicht::N,сектала,pouez
325,Gewicht::N,секытлык,pouez
326,Menge::N,лыд,bern
327,Menge::N,лыдпус,bern
328,Haufen::N,люк,bern
329,Reihe::N,чур,steud
330,Boot::N,пыж,bag
331,Boot::N,лодка,bag
332,Ruder::N,полыс,roeñv
333,Schlitten::N,додьы,trainell
334,Ski::N,куас,ski
335,Lagerfeuer::N,тылскем,
336,Last::N,секыт,karg
337,Gang::N,ветлон,kerzh
338,Schritt::N,вамыш,paz
339,Norden::N,уйпал,norzh
340,Norden::N,уйпал,hanternoz
341,Süden::N,лымшор,su
342,Süden::N,лымшор,kreisteiz
343,Westen::N,шунды пуксён,kuzh-heol
344,Osten::N,шунды ӝужан,reter
345,Osten::N,шунды ӝужан,sav-heol
346,Holz::N,пу,koad
347,Brett::N,пул,plankenn
348,Platte::N,плита,plakenn
349,Stütze::N,пыкет,harp
350,Stange::N,пуӵ,sparl
351,Stock::N,боды,bazh
352,Stab::N,пуӵ,bazh
353,Stab::N,боды,bazh
354,Rohr::N,труба,tub
355,Rohr::N,труба,korz
356,Haus::N,юрт,ti
357,Heim::N,корка,kêr
358,Ofen::N,гур,forn
359,Fußboden::N,выж,plañchod
360,Tisch::N,ӝӧк,taol
361,Stuhl::N,пукон,kador
362,Wiege::N,кӧкы,kavell
363,Wiege::N,зыбка,kavell
364,Bett::N,валес,gwele
365,Regal::N,ӝажы,estajerenn
366,Kiste::N,ящик,kased
367,Fenster::N,укно,prenestr
368,Fenster::N,косяк,prenestr
369,Tür::N,ӧс,dor
370,Tor::N,ӟезьы,portal
371,Zaun::N,забор,sklotur
372,Dach::N,липет,toenn
373,Leiter::N,падӟа,skeul
374,Besen::N,ӵужон,skubell
375,Besen::N,исьнер,skubell
376,Spaten::N,лопатка,pal
377,Schaufel::N,ютырон,pal
378,Gabel::N,тэчы,fourchetez
379,Gabel::N,вилка,fourchetez
380,Löffel::N,пуньы,loa
381,Messer::N,пурт,kontell
382,Nagel::N,кортӵог,tach
383,Netz::N,сеть,roued
384,Haken::N,курик,krog
385,Griff::N,ныд,kemer
386,Schloss::N,тунгон,potenn
387,Bild::N,суред,skeudenn
388,Figur::N,фигура,skeud
389,Figur::N,фигура,figur
390,Puppe::N,мунё,merc'hodenn
391,Beutel::N,пуйы,sac'h
392,Bündel::N,керттэт,feskenn
393,Tasche::N,пуйы,sac'h
394,Tasche::N,сумка,sac'h
395,Eimer::N,ведра,sailh
396,Deckel::N,ӵоксэт,pallenn
397,Geschirr::N,тусьты-пуньы,listriaj
398,Sack::N,пуйы,sac'h
399,Tasse::N,ӵаша,tas
400,Topf::N,миска,pod
401,Kessel::N,пурты,chaodouron
402,Essen::N,сиськон,pred
403,Nahrung::N,сион,boued
404,Speise::N,сиён,meuz
405,Fleisch::N,сӥль,kig
406,Getreide::N,ю тысь,ed
407,Brei::N,ӝук,yod
408,Brot::N,нянь,bara
409,Scheibe::N,шорем,tailhenn
410,Fett::N,кӧй,lard
411,Butter::N,вӧй,amann
412,Öl::N,вӧй,eoul
413,Salz::N,сылал,holen
414,Suppe::N,шыд,soubenn
415,Honig::N,чечы,mel
416,Milch::N,йӧл,laezh
417,Tee::N,чай,te
418,Leder::N,сурон,lêr
419,Wolle::N,гон,gloan
420,Wolle::N,ыжгон,gloan
421,Stoff::N,куэм,danvez
422,Nadel::N,вень,nadoz
423,Faden::N,сӥньыс,neudenn
424,Knopf::N,бирды,bouton
425,Knoten::N,герд,skoulm
426,Farbe::N,буёл,liv
427,Kleidung::N,дӥсь,dilhad
428,Hemd::N,дэрем,roc'hed
429,Kragen::N,сирес,gouzoug
430,Ärmel::N,саес,milgin
431,Hose::N,брюки,bragoù
432,Hose::N,штань,bragoù
433,Gürtel::N,кускерттон,gouriz
434,Mütze::N,ызьы,boned
435,Schuh::N,ботинка,botez
436,Stiefel::N,сапег,botez
437,Ring::N,зундэс,gwalenn
438,Band::N,лента,bagad
439,Kamm::N,сын,krib
440,Spiegel::N,синучкон,melezour
441,Riemen::N,е,lerenn
442,Schnur::N,гозы,kordenn
443,Leine::N,думет,roll
444,Decke::N,шобрет,golo
445,Kissen::N,миндэр,goubenner
446,Tuch::N,кышет,mezher
447,Handtuch::N,ӵушкон,toailhon
448,Kraft::N,кать,nerzh
449,Kraft::N,ӟигар,nerzh
450,Stärke::N,юнлык,nerzhder
451,Gesundheit::N,тазалык,yec'hed
452,Krankheit::N,висён,klañved
453,Schmerz::N,висён,poan
454,Schmerz::N,висён,droug
455,Wunde::N,яра,gloazadenn
456,Fieber::N,кезег,terzhienn
457,Arznei::N,эмъюм,louzoù
458,Brücke::N,выж,pont
459,Brunnen::N,колдэч,puñs
460,Weide::N,возь,prad
461,Pfad::N,сюрес,gwenodenn
462,Weg::N,сюрес,hent
463,Straße::N,сюрес,ru
464,Straße::N,сюрес,hent
465,Dorf::N,гурт,kêr
466,Dorf::N,гурт,kêriadenn
467,Stadt::N,кар,kêr
468,Stadt::N,город,kêr
469,Brief::N,гожтэт,lizher
470,Buch::N,книга,levr
471,Buchstabe::N,буква,lizherenn
472,Zeitung::N,газет,kazetenn
473,Leben::N,улон,buhez
474,Tod::N,кулон,marv
475,Grab::N,шайгу,bez
476,Kirche::N,черк,iliz
477,Sünde::N,сьӧлык,pec'hed
478,Gott::N,ӥнмар,doue
479,Arbeiter::N,рабочий,labourer
480,Arbeiter::N,рабочий,micherour
481,Chef::N,начальник,penn
482,Meister::N,кибашлы,mestr
483,Arzt::N,врач,mezeg
484,Arzt::N,врач,medisin
485,Lehrer::N,дышетӥсь,skolaer
486,Lehrer::N,дышетӥсь,kelenner
487,Geld::N,уксё,arc'hant
488,Geld::N,коньдон,arc'hant
489,Geschäft::N,уж,stal
490,Laden::N,магазин,stal
491,Preis::N,дун,priz
492,Ware::N,вуз,marc'hadourezh
493,Nutzen::N,пайда,gounidegezh
494,Nutzen::N,пайда,lañs
495,Nutzen::N,пайда,profit
496,Nutzen::N,пайда,spleit
497,Reichtum::N,узырлык,pinvidigezh
498,Welt::N,дунне,douar
499,Land::N,шаер,bro
500,Staat::N,кун,stad
501,König::N,эксэй,roue
502,Macht::N,власть,galloud
503,Grenze::N,кунгож,harzoù
504,Krieg::N,ож,brezel
505,Feind::N,тушмон,eneber
506,Gewalt::N,эриктэман,tâerder
507,Kampf::N,нюръяськон,kann
508,Bogen[Waffe]::N,пукыӵ,gwareg
509,Pfeil::N,пукыӵ вень,saezh
510,Gewehr::N,пыӵал,fuzuilh
511,Fehler::N,янгыш,fazi
512,Lüge::N,пӧян,gaou
513,Lüge::N,алдан,gaou
514,Lüge::N,ӧрекчан,gaou
515,Schaden::N,изъян,gwall
516,Unglück::N,куректон,gwalleur
517,Unglück::N,шудтэме усён,gwalleur
518,Schuld::N,янгыш,kablusted
519,Schuld::N,янгыш,pec'hedigezh
520,Alter::N,арлыд,oad
521,Schluss::N,пум,diwezh
522,Zeit::N,дыр,amzer
523,Tag::N,нунал,deizh
524,Morgen::N,ӵукна,beure
525,Morgen::N,ӵукна,mintin
526,Mittag::N,лымшор,kreisteiz
527,Abend::N,ӝыт,abardaez
528,Abend::N,акшан,abardaez
529,Nacht::N,уй,noz
530,Woche::N,арня,sizhun
531,Monat::N,толэзь,miz
532,Jahr::N,ар,bloaz
533,Frühling::N,тулыс,nevezamzer
534,Sommer::N,гужем,hañv
535,Herbst::N,сӥзьыл,diskaramzer
536,Winter::N,тол,goañv
537,Januar::N,выльартолэзь,Genver
538,Februar::N,тулыспал,C'hwevrer
539,März::N,южтолэзь,Meurzh
540,April::N,оштолэзь,Ebrel
541,Mai::N,куартолэзь,Mae
542,Juni::N,вожотолэзь,Mezheven
543,Juli::N,пӧсьтолэзь,Gouhere
544,August::N,гудырикошкон,Eost
545,September::N,куарусён,Gwengolo
546,Oktober::N,выльӝуктолэзь,Here
547,November::N,шуркынмон,Du
548,Dezember::N,толсур,Kerzu
549,Montag::N,вордӥськон,Lun
550,Dienstag::N,вторник,Meurzh
551,Mittwoch::N,вирнунал,Merc'her
552,Donnerstag::N,покчиарня,Yaou
553,Freitag::N,удмуртарня,Gwener
554,Samstag::N,кӧснунал,Sadorn
555,Sonntag::N,арня,Sul
556,groß::A,бадӟым,bras
557,klein::A,пичи,bihan
558,lang::A,кузь,hir
559,kurz::A,вакчи,berr
560,breit::A,паськыт,ledan
561,schmal::A,сюлэг,strizh
562,dicht::A,ӵем,stank
563,dick[Gegenstand]::A,зӧк,tev
564,dünn::A,векчи,moan
565,fein::A,векчи,munut
566,fest::A,юн,start
567,fest::A,чурыт,start
568,flach::A,ӵошкыт,plaen
569,glatt::A,гылыт,lintr
570,glatt::A,гылыт,levn
571,glatt::A,вольыт,lintr
572,glatt::A,вольыт,levn
573,hart::A,чурыт,kalet
574,weich::A,небыт,blot
575,rund::A,котырес,ront
576,spitz::A,йылсо,poentet
577,scharf::A,лэчыт,dremm
578,stumpf::A,ныж,talsoc'h
579,schwer::A,секыт,pounner
580,schön::A,чебер,kaer
581,heiß::A,пӧсь,tomm
582,warm::A,шуныт,tomm
583,kalt::A,кезьыт,yen
584,kühl::A,юзмыт,yen
585,kühl::A,салкым,yen
586,frisch::A,выль,fresk
587,feucht::A,мускыт,gleb
588,nass::A,котмем,gleb
589,trocken::A,кӧс,sec'h
590,voll::A,тыр,leun
591,leer::A,буш,goullo
592,leer::A,тырттэм,goullo
593,offen::A,усьтэм,digor
594,geschlossen::A,ӵогам,serr
595,geschlossen::A,пунням,serr
596,sauber::A,ӝикыт,naet
597,sauber::A,чылкыт,naet
598,schmutzig::A,нӧд,lous
599,roh::A,ыль,kriz
600,reif::A,вуэм,darev
601,lecker::A,ческыт,lipous
602,lecker::A,ческыт,saourus
603,süß::A,ческыт,dous
604,bitter::A,курыт,c'hwerv
605,sauer::A,чырс,trenk
606,hell::A,югыт,sklaer
607,dunkel::A,пеймыт,teñval
608,schwarz::A,сьӧд,du
609,weiß::A,тӧдьы,gwenn
610,rot::A,горд,ruz
611,gelb::A,ӵуж,melen
612,blau::A,лыз,glas
613,grün::A,вож,gwer
614,grau::A,пурысь,louet
615,bunt::A,куӵо,liesliv
616,billig::A,дунтэм,marc'had-mat
617,teuer::A,дуно,ker
618,wertvoll::A,дуно,prizius
619,blind::A,сукыр,dall
620,blind::A,синтэм,dall
621,taub::A,пельтэм,bouzar
622,kräftig::A,кужмо,start
623,stark::A,юн,kreñv
624,stark::A,кужмо,kreñv
625,schwach::A,ляб,gwan
626,schwach::A,начар,gwan
627,fett::A,кӧй,lard
628,schlank::A,веськыт,sinkl
629,schlank::A,веськрес,sinkl
630,hübsch::A,чебер,koant
631,hübsch::A,синмаськымон,koant
632,böse::A,лек,gwall
633,dumm::A,шузи,glep
634,dumm::A,визьтэм,glep
635,faul::A,азьтэм,lezirek
636,fleißig::A,сюлмо,studius
637,geizig::A,сук,tost
638,klug::A,визьмо,speredek
639,geschickt::A,усто,dornet
640,geschickt::A,быгатӥсь,dornet
641,lieb::A,мусо,koant
642,lustig::A,шулдыр,laouen
643,sanft::A,мусо,flour
644,sanft::A,эрке,flour
645,hungrig::A,сютэм,marnaon
646,krank::A,висись,klañv
647,nackt::A,гольык,noazh
648,traurig::A,мӧзмыт,trist
649,lebendig::A,улэп,bev
650,gut::A,ӟеч,mad
651,gut::A,умой,mad
652,schlecht::A,урод,fall
653,schlecht::A,урод,gwall
654,schlecht::A,алама,fall
655,schlecht::A,алама,gwall
656,richtig::A,шонер,reizh
657,schlimm::A,алама,gwall
658,wahr::A,зэмос,gwir
659,alt::A,вуж,kozh
660,neu::A,выль,nevez
661,ehemalig::A,азьвылэз,kozh
662,alt[Lebewesen]::A,пересь,kozh
663,jung::A,егит,yaouank
664,jung::A,пинал,yaouank
665,arm::A,начар,paour
666,arm::A,куанер,paour
667,reich::A,узыр,pinvidik
668,bekannt::A,тодмо,anavezet
669,berühmt::A,дано,brudet
670,fremd::A,ят,dizanav
671,verschieden::A,пӧртэм,disheñel
672,nah::A,матысь,nes
673,fern::A,кыдёкысь,diabell
674,linker::A,паллян,kleiz
675,rechter::A,бур,dehoù
676,rechter::A,бурпал,dehoù
677,anderer::A,мукет,all
678,erster::A,нырысетӥез,kentañ
679,zweiter::A,кыктэтӥез,eil
680,dritter::A,кунньметӥез,trede
681,letzter::A,берло,diwezhañ
682,letzter::A,берпум,diwezhañ
683,allein::ADV,огназ,e-unan
684,auf einmal::ADV,огдыре,ar un dro
685,zusammen::ADV,ӵош,asambles
686,zusammen::ADV,валче,asambles
687,lange::ADV,кема,pell
688,plötzlich::ADV,мапламтэ шорысь,en un taol
689,sofort::ADV,али ик,diouzhtu
690,später::ADV,бергес,diwezhatoc'h
691,später::ADV,берлогес,diwezhatoc'h
692,jetzt::ADV,али,bremañ
693,jetzt::ADV,табере,bremañ
694,heute::ADV,туннэ,hiziv
695,morgen::ADV,ӵуказе,arc'hoazh
696,bald::ADV,ӝоген,hepdale
697,dann::ADV,берло,a-c'houde
698,gestern::ADV,толон,dec'h
699,einst::ADV,огпол,gwechall
700,einst::ADV,одӥг пол,gwechall
701,damals::ADV,соку,neuze
702,danach::ADV,собере,goude
703,vorher::ADV,азьло,diagent
704,vorher::ADV,азьвыл,diagent
705,zuerst::ADV,азьло,da gentañ
706,einmal::ADV,огпол,ur wech
707,manchmal::ADV,куддыръя,a-wechoù
708,oft::ADV,ӵем,alies
709,immer::ADV,пыр,atav
710,immer::ADV,пыр,bepred
711,immer::ADV,котьку,atav
712,immer::ADV,котьку,bepred
713,niemals::ADV,уз ноку,gwech ebet
714,hier::ADV,татын,amañ
715,hierhin::ADV,татчы,dre amañ
716,von hier::ADV,татысь,alemañ
717,dort::ADV,отӥ,aze
718,dort::ADV,отӥ,ahont
719,dort::ADV,отын,aze
720,dort::ADV,отын,ahont
721,dorthin::ADV,отчы,di
722,dorthin::ADV,отчы,aze
723,dorthin::ADV,отчы,ahont
724,geradeaus::ADV,меӵак,war-eeun
725,vorwärts::ADV,азьлань,war-raok
726,rückwärts::ADV,берлань,war-lerc'h
727,zurück::ADV,берен,war-dreñv
728,zurück::ADV,берлань,war-dreñv
729,unten::ADV,улын,en traoñ
730,hinab::ADV,улэ,a-izel
731,oben::ADV,вылын,en nec'h
732,oben::ADV,вылӥын,en nec'h
733,hinauf::ADV,вылэ,e-krec'h
734,hinauf::ADV,вылӥе,e-krec'h
735,hinauf::ADV,выллань,e-krec'h
736,überall::ADV,котькытын,dre-holl
737,überall::ADV,пасьтана,dre-holl
738,nicht::ADV,уз,ne ... ket
739,ein wenig::ADV,ичи,un tammig
740,ein wenig::ADV,ӧжыт,un tammig
741,ein wenig::ADV,огшап,un tammig
742,kaum::ADV,муртса,a-boan
743,sehr::ADV,туж,-tre
744,sehr::ADV,туж,-kenañ
745,sehr::ADV,лекос,-tre
746,sehr::ADV,лекос,-kenañ
747,so::ADV,озьы,evel-se
748,so::ADV,тазьы,evel-se
749,noch::ADV,на,c'hoazh
750,nur::ADV,гинэ,hepken
751,schon::ADV,ни,dija
752,schon::ADV,ини,dija
753,wieder::ADV,нош,adarre
754,wieder::ADV,кайта,adarre
755,vergebens::ADV,юнме,
756,vor::PRP,азьын,dirak
757,hinter::PRP,берын,a-drek
758,hinter::PRP,берын,a-dreñv
759,hinter::PRP,бӧрсьы,a-drek
760,hinter::PRP,бӧрсьы,a-dreñv
761,unter::PRP,улын,dindan
762,durch::PRP,пыр,dre
763,durch::PRP,пыртӥ,dre
764,neben::PRP,бордын,e-kichen
765,zwischen::PRP,вискын,etre
766,wegen::PRP,сэрен,abalamour da
767,dies::PRN,та,hemañ
768,das::PRN,со,se
769,das::PRN,со,hennezh
770,alles::PRN,ваньмыз,pep tra
771,ich::PRN,мон,me
772,du::PRN,тон,te
773,er::PRN,со,eñ
774,wir::PRN,ми,ni
775,ihr::PRN,тӥ,c'hwi
776,sie::PRN,соос,int
777,was::FPRN,ма,petra
778,wer::FPRN,кин,piv
779,wo::FADV,кытын,pelec'h
780,wohin::FADV,кытчы,da belec'h
781,wie::FADV,кызьы,penaos
782,warum::FADV,малы,perak
783,wieviel::FNUM,кӧня,pet
784,eins::NUM,одӥг,unan
785,zwei::NUM,кык,daou
786,drei::NUM,куинь,tri
787,vier::NUM,ньыль,pevar
788,fünf::NUM,вить,pemp
789,sechs::NUM,куать,c'hwec'h
790,sieben::NUM,сизьым,seizh
791,acht::NUM,тямыс,eizh
792,neun::NUM,укмыс,nav
793,zehn::NUM,дас,dek
794,elf::NUM,дас одӥг,unnek
795,zwölf::NUM,дас кык,daouzek
796,zwanzig::NUM,кызь,ugent
