,Concept_ID,el,he
70,Stern::N,αστέρι,כוכב
71,Luft::N,αέρας,אויר
72,Wind::N,αέρας,רוח
73,Wind::N,άνεμος,רוח
74,Welle::N,κύμα,גל
75,Wasser::N,νερό,מים
76,Stein::N,πέτρα,אבן
77,Boden::N,χώμα,קרקע
78,Erde::N,γη,אדמה
79,Staub::N,σκόνη,אבק
80,Rauch::N,καπνός,עשן
81,Funke::N,σπίθα,ניצוץ
82,Funke::N,σπινθήρας,ניצוץ
83,Feuer::N,φωτιά,אש
84,Licht::N,φως,אור
85,Schatten::N,σκιά,צל
86,Schatten::N,ίσκιος,צל
87,Wetter::N,καιρός,מזג אויר
88,Nebel::N,ομίχλη,ערפל
89,Wolke::N,σύννεφο,ענן
90,Regen::N,βροχή,גשם
91,Schnee::N,χιόνι,שלג
92,Eis::N,πάγος,קרח
93,Frost::N,παγωνία,צנה
94,Kälte::N,κρύο,קר
95,Kälte::N,ψύχος,קר
96,Hitze::N,ζέστη,חם
97,Raureif::N,πάχνη,כפור
98,Regenbogen::N,ουράνιο τόξο,קשת
99,Donner::N,βροντή,רעם
100,Strömung::N,ρεύμα,זרימה
101,Tropfen::N,στάλα,טפה
102,Schaum::N,αφρός,קצף
103,Schmutz::N,βρωμιά,לכלוך
104,See::N,λίμνη,אגם
105,Sumpf::N,βάλτος,בצה
106,Moor::N,έλος,בצה
107,Wiese::N,λιβάδι,מרעה
108,Wald::N,δάσος,יער
109,Hügel::N,λόφος,תל
110,Anhöhe::N,ύψωμα,מעלה
111,Berg::N,όρος,הר
112,Berg::N,βουνό,הר
113,Gipfel::N,κορυφή,פסגה
114,Höhle::N,σπηλιά,מערה
115,Abhang::N,πλαγιά,מדרון
116,Abhang::N,πλαγιά,שפוע
117,Quelle::N,πηγή,מעין
118,Quelle::N,βρύση,מעין
119,Bach::N,ρυάκι,נחל
120,Fluss::N,ποτάμι,נהר
121,Fluss::N,ποταμός,נהר
122,Ufer::N,όχθη,גדה
123,Küste::N,ακτή,חוף
124,Küste::N,ακρογιαλιά,חוף
125,Festland::N,στεριά,יבשה
126,Meer::N,θάλασσα,ים
127,Bucht::N,κόλπος,מפרץ
128,Insel::N,νησί,אי
129,Insel::N,νήσος,אי
130,Blume::N,άνθος,פרח
131,Blume::N,λουλούδι,פרח
132,Gras::N,χόρτο,דשא
133,Gras::N,χορτάρι,דשא
134,Wurzel::N,ρίζα,שרש
135,Baum::N,δέντρο,עץ
136,Stamm::N,κορμός,גזע
137,Rinde::N,φλούδα,קלפת עץ
138,Ast::N,κλαδί,ענף
139,Zweig::N,κλαδί,ענף
140,Zweig::N,κλάδος,ענף
141,Blatt::N,φύλλο,עלה
142,Birke::N,σημύδα,שדר
143,Kiefer[Baum]::N,πεύκο,ארן
144,Weide[Baum]::N,ιτιά,ערבה
145,Tanne::N,έλατο,אשוח
146,Horn::N,κέρας,קרן
147,Horn::N,κέρατο,קרן
148,Feder::N,φτερό,נוצה
149,Fell::N,δέρμα,פרוה
150,Fell::N,τομάρι,פרוה
151,Flügel::N,πτερύγιο,כנף
152,Klaue::N,κουλό,טלף
153,Kralle::N,νύχι,טפר
154,Schwanz::N,ουρά,זנב
155,Ei::N,αβγό,ביצה
156,Nest::N,φωλιά,קן
157,Bau::N,φωλιά,מחלה
158,Tier::N,ζώο,חיה
159,Herde::N,κοπάδι,עדר
160,Kuh::N,αγελάδα,פרה
161,Bulle::N,ταύρος,פר
162,Pferd::N,άλογο,סוס
163,Schaf::N,πρόβατο,כבשה
164,Schwein::N,γουρούνι,חזיר
165,Hund::N,σκυλί,כלב
166,Hund::N,σκύλος,כלב
167,Katze::N,γάτα,חתול
168,Bär::N,άρκτος,דב
169,Bär::N,αρκούδα,דב
170,Eichhörnchen::N,βερβερίτσα,סנאי
171,Elch::N,άλκη,דישון
172,Fuchs::N,αλεπού,שועל
173,Hase::N,λαγός,ארנב
174,Maus::N,ποντικός,עכבר
175,Wolf::N,λύκος,זאב
176,Vogel::N,πουλί,צפור
177,Schwarm::N,σμήνος,נחיל
178,Schwarm::N,σμήνος,להקה
179,Huhn::N,κότα,תרנגלת
180,Huhn::N,όρνιθα,תרנגלת
181,Hahn::N,πετεινός,תרנגול
182,Gans::N,χήνα,אוז
183,Adler::N,αετός,עיט
184,Ente::N,πάπια,ברוז
185,Eule::N,κουκουβάγια,ינשוף
186,Kranich::N,γερανός,עגור
187,Kranich::N,γερανός,כרוכיה
188,Krähe::N,καρακάξα,עורב
189,Kuckuck::N,κούκος,קוקיה
190,Schwan::N,κύκνος,ברבור
191,Fisch::N,ψάρι,דג
192,Barsch::N,πέρκα,אוקונוס
193,Hecht::N,λούτσος,זאב הים
194,Schlange[Tier]::N,φίδι,נחש
195,Wurm::N,σκουλήκι,תולעת
196,Spinne::N,αράχνη,עכביש
197,Ameise::N,μυρμήγκι,נמלה
198,Laus::N,ψείρα,כנה
199,Mücke::N,κουνούπι,יתוש
200,Fliege::N,μύγα,זבוב
201,Schmetterling::N,πεταλούδα,פרפר
202,Beere::N,ρόγα,ענבה
203,Apfel::N,μήλο,תפוח
204,Pilz::N,μανιτάρι,פטריה
205,Zwiebel::N,κρεμμύδι,בצל
206,Saat::N,σπόρος,זרעים
207,Korn::N,σπυρί,גרעין
208,Heu::N,σανός,חציר
209,Schale::N,τσόφλι,קלפה
210,Grube::N,λάκκος,בור
211,Grube::N,λάκκος,שוחה
212,Falle::N,παγίδα,מלכדת
213,Schlinge::N,θηλειά,לולאה
214,Spur::N,ίχνος,עקבה
215,Asche::N,στάχτη,אפר
216,Dreck::N,βρωμιά,זהמה
217,Eisen::N,σίδερο,ברזל
218,Gold::N,μάλαμα,זהב
219,Gold::N,χρυσάφι,זהב
220,Silber::N,ασήμι,כסף
221,Silber::N,άργυρος,כסף
222,Kohle::N,κάρβουνο,פחם
223,Glas::N,γυαλί,זכוכית
224,Lehm::N,πηλός,חרסית
225,Sand::N,άμμος,חול
226,Mensch::N,άνθρωπος,אדם
227,Mann::N,άνδρας,איש
228,Mann::N,άνδρας,גבר
229,Frau::N,γυναίκα,אשה
230,Frau::N,γυναίκα,גברת
231,Kind::N,παιδί,ילד
232,Junge::N,αγόρι,ילד
233,Mädchen::N,κοπέλα,נערה
234,Mädchen::N,κορίτσι,נערה
235,Familie::N,οικογένεια,משפחה
236,Großvater::N,παππούς,סבא
237,Großmutter::N,γιαγιά,סבתא
238,Eltern::N,γονείς,הורים
239,Vater::N,πατέρας,אב
240,Mutter::N,μητέρα,אם
241,Sohn::N,γιος,בן
242,Tochter::N,κόρη,בת
243,Bruder::N,αδελφός,אח
244,Schwester::N,αδελφή,אחות
245,Onkel::N,θείος,דוד
246,Tante::N,θεία,דודה
247,Ehemann::N,σύζυγος,איש
248,Ehemann::N,σύζυγος,בעל
249,Ehefrau::N,σύζυγος,אשה
250,Freude::N,χαρά,שמחה
251,Gelächter::N,γέλια,צחוק
252,Glück::N,ευτυχία,אשר
253,Kummer::N,έγνοια,יגון
254,Kummer::N,έγνοια,עגמה
255,Wunsch::N,επιθυμία,אחול
256,Wunsch::N,επιθυμία,משאלה
257,Lust::N,όρεξη,חשק
258,Lust::N,όρεξη,תשוקה
259,Geist::N,πνέυμα,רוח
260,Gedanke::N,σκέψη,מחשבה
261,Gedächtnis::N,μνήμη,זכרון
262,Verstand::N,νους,שכל
263,Sinn::N,νόημα,מובן
264,Sinn::N,νόημα,משמעות
265,Grund::N,λόγος,סבה
266,Wahrheit::N,αλήθεια,אמת
267,Gespräch::N,συνομιλία,דיון
268,Märchen::N,παραμύθι,אגדה
269,Erzählung::N,διήγημα,ספור
270,Nachricht::N,είδηση,ידיעה
271,Neuigkeit::N,νέο,חדשה
272,Name::N,όνομα,שם
273,Rätsel::N,αίνιγμα,תעלומה
274,Rede::N,λόγος,נאום
275,Rede::N,ομιλία,נאום
276,Sprache::N,γλώσσα,לשון
277,Stimme::N,φωνή,קול
278,Wort::N,λέξη,מלה
279,Zeichen::N,σημείο,סימן
280,Ruf::N,κραυγή,קריאה
281,Lärm::N,θόρυβος,רעש
282,Laut::N,ήχος,הגה
283,Ton::N,ήχος,צליל
284,Ton::N,τόνος,צליל
285,Lied::N,τραγούδι,שיר
286,Ruhe::N,ησυχία,שלוה
287,Leute::N,κόσμος,אנשים
288,Leute::N,άνθρωποι,אנשים
289,Volk::N,λαός,עם
290,Arbeit::N,εργασία,עבודה
291,Gast::N,επισκέπτης,אורח
292,Geschenk::N,δώρο,מתנה
293,Spiel::N,παιχνίδι,משחק
294,Gesellschaft::N,κοινωνία,חברה
295,Hilfe::N,βοήθεια,עזרה
296,Freund::N,φίλος,חבר
297,Freund::N,φίλος,ידיד
298,Kamerad::N,σύντροφος,רע
299,Angelegenheit::N,υπόθεση,ענין
300,Anzahl::N,αριθμός,מספר
301,Art::N,είδος,סוג
302,Stück::N,κομμάτι,חתיכה
303,Teil::N,μέρος,פרק
304,Hälfte::N,μισό,חצי
305,Kreis::N,κύκλος,מעגל
306,Kreuz::N,σταυρός,צלב
307,Linie::N,γραμμή,קו
308,Strich::N,γραμμή,קו קצר
309,Abstand::N,απόσταση,מרחק
310,Entfernung::N,απόσταση,מרחק
311,Gegend::N,περιοχή,נוף
312,Gegend::N,τοποθεσία,נוף
313,Platz::N,χώρος,שטח
314,Ort::N,τόπος,אתר
315,Ort::N,τόπος,מקום
316,Seite::N,πλευρά,צד
317,Mitte::N,μέση,אמצע
318,Gegenstand::N,αντικείμενο,אוביקט
319,Sache::N,πράγμα,דבר
320,Rand::N,άκρη,פרור
321,Rand::N,χείλος,פרור
322,Kante::N,άκρη,קצה
323,Ecke::N,γωνιά,פנה
324,Spitze::N,μύτη,קצה
325,Ende::N,άκρη,סוף
326,Loch::N,τρύπα,חר
327,Winkel::N,γωνία,פנה
328,Muster::N,σχέδιο,תבנית
329,Größe::N,μέγεθος,גדל
330,Länge::N,μήκος,ארך
331,Höhe::N,ύψος,קומה
332,Höhe::N,ύψος,גבה
333,Gewicht::N,βάρος,משקל
334,Menge::N,ποσότητα,כמות
335,Haufen::N,σωρός,ערמה
336,Reihe::N,αράδα,רצף
337,Boot::N,βάρκα,סירה
338,Ruder::N,κουπί,משוט
339,Schlitten::N,έλκηθρο,מזחלת
340,Ski::N,σκι,מגלשים
341,Lagerfeuer::N,φωτιά,מדורה
342,Last::N,φορτίο,משא
343,Gang::N,δρόμος,הליכה
344,Schritt::N,βήμα,צעד
345,Norden::N,βορράς,צפון
346,Süden::N,νότος,דרום
347,Westen::N,δύση,מערב
348,Osten::N,ανατολή,מזרח
349,Holz::N,ξύλο,עץ
350,Brett::N,σανίδι,קרש
351,Platte::N,πλάκα,לוח
352,Stütze::N,στήριγμα,משען
353,Stange::N,ραβδί,מוט
354,Stange::N,κοντός,מוט
355,Stock::N,ξύλο,מקל
356,Stock::N,μπαστούνι,מקל
357,Stab::N,ραβδί,מוט
358,Rohr::N,σωλήνας,צנור
359,Haus::N,σπίτι,בית
360,Heim::N,σπίτι,בית
361,Ofen::N,σόμπα,תנור
362,Ofen::N,θερμάστρα,תנור
363,Fußboden::N,πάτωμα,רצפה
364,Tisch::N,τραπέζι,שלחן
365,Stuhl::N,καρέκλα,כסא
366,Wiege::N,κούνια,ערש
367,Bett::N,κρεβάτι,מטה
368,Regal::N,ράφι,מדף
369,Kiste::N,κιβώτιο,תבה
370,Kiste::N,κιβώτιο,ארגז
371,Fenster::N,παράθυρο,חלון
372,Tür::N,πόρτα,דלת
373,Tor::N,πύλη,שער
374,Zaun::N,φράχτης,גדר
375,Dach::N,στέγη,גג
376,Leiter::N,σκάλα,סלם
377,Leiter::N,κλίμακα,סלם
378,Besen::N,σκούπα,מטאטא
379,Spaten::N,φτυάρι,את
380,Schaufel::N,φτυάρι,את
381,Gabel::N,πιρούνι,מזלג
382,Löffel::N,κουτάλι,כף
383,Messer::N,μαχαίρι,סכין
384,Nagel::N,καρφί,מסמר
385,Netz::N,δίχτυ,רשת
386,Haken::N,γάντζος,וו
387,Haken::N,γάντζος,קרס
388,Haken::N,αγκίστρι,וו
389,Haken::N,αγκίστρι,קרס
390,Griff::N,λαβή,ידית
391,Schloss::N,κλειδαριά,מנעול
392,Bild::N,εικόνα,תמונה
393,Figur::N,ανάστημα,פסל
394,Puppe::N,κούκλα,בבה
395,Beutel::N,πουγγί,שק
396,Bündel::N,δεμάτι,צרור
397,Tasche::N,τσάντα,שקית
398,Eimer::N,κουβάς,דלי
399,Deckel::N,καπάκι,מכסה
400,Geschirr::N,σκεύη,כלים
401,Sack::N,σάκος,שק
402,Tasse::N,φλιτζάνι,ספל
403,Topf::N,χύτρα,סיר
404,Kessel::N,καζάνι,קנקן
405,Essen::N,φαγητό,אכל
406,Essen::N,φαγητό,ארוחה
407,Nahrung::N,τροφή,הזנה
408,Nahrung::N,τροφή,תזונה
409,Speise::N,φαγητό,מאכל
410,Speise::N,φαγητό,ארוחה
411,Fleisch::N,κρέας,בשר
412,Getreide::N,σιτάρι,דגן
413,Brei::N,χυλός,מחית
414,Brot::N,ψωμί,לחם
415,Brot::N,άρτος,לחם
416,Scheibe::N,φέτα,עגול
417,Scheibe::N,φέτα,פרוסה
418,Fett::N,πάχος,שמן
419,Butter::N,βούτυρο,חמאה
420,Öl::N,λάδι,שמן
421,Salz::N,αλάτι,מלח
422,Suppe::N,σούπα,מרק
423,Honig::N,μέλι,דבש
424,Milch::N,γάλα,חלב
425,Tee::N,τσάι,תה
426,Leder::N,πετσί,עור
427,Wolle::N,μαλλί,צמר
428,Stoff::N,ύφασμα,בד
429,Stoff::N,ύφασμα,אריג
430,Nadel::N,βελόνα,מחט
431,Faden::N,κλωστή,חוט
432,Knopf::N,κουμπί,כפתור
433,Knoten::N,κόμπος,קשר
434,Farbe::N,μπογιά,צבע
435,Kleidung::N,ρούχα,בגדים
436,Kleidung::N,ενδυμασία,בגדים
437,Hemd::N,πουκάμισο,חלצה
438,Kragen::N,κολάρο,צוארון
439,Ärmel::N,μανίκι,שרוול
440,Hose::N,πανταλόνι,מכנסים
441,Gürtel::N,ζώνη,חגורה
442,Mütze::N,σκούφος,כובע
443,Schuh::N,παπούτσι,נעל
444,Stiefel::N,μπότα,מגף
445,Ring::N,δαχτυλίδι,טבעת
446,Band::N,κορδέλα,סרט
447,Kamm::N,χτένα,מסרק
448,Spiegel::N,καθρέφτης,מראה
449,Riemen::N,λουρί,רצועה
450,Schnur::N,κορδόνι,חבל
451,Leine::N,σχοινί,מושכות
452,Decke::N,κουβέρτα,שמיכה
453,Kissen::N,μαξιλάρι,כרית
454,Tuch::N,πανί,צעיף
455,Tuch::N,μαντήλι,צעיף
456,Handtuch::N,πετσέτα,מגבת
457,Kraft::N,δύναμη,כוח
458,Stärke::N,ισχύς,און
459,Stärke::N,δύναμη,און
460,Gesundheit::N,υγεία,בריאות
461,Krankheit::N,αρρώστια,מחלה
462,Schmerz::N,πόνος,כאב
463,Wunde::N,πληγή,פציעה
464,Fieber::N,πυρετός,חם
465,Arznei::N,φάρμακο,תרופה
466,Brücke::N,γέφυρα,גשר
467,Brunnen::N,πηγάδι,באר
468,Weide::N,βοσκή,אחו
469,Weide::N,βοσκή,מרעה
470,Pfad::N,μονοπάτι,שביל
471,Pfad::N,μονοπάτι,מדרכה
472,Weg::N,δρόμος,דרך
473,Straße::N,οδός,כביש
474,Straße::N,δρόμος,כביש
475,Dorf::N,χωριό,כפר
476,Stadt::N,πόλη,עיר
477,Brief::N,γράμμα,מכתב
478,Brief::N,επιστολή,מכתב
479,Buch::N,βιβλίο,ספר
480,Buchstabe::N,γράμμα,אות
481,Zeitung::N,εφημερίδα,עתון
482,Leben::N,ζωή,חיים
483,Leben::N,βίος,חיים
484,Tod::N,θάνατος,מות
485,Grab::N,τάφος,קבר
486,Kirche::N,εκκλησία,כנסיה
487,Sünde::N,αμαρτία,חטא
488,Gott::N,θεός,אל
489,Arbeiter::N,εργάτης,פועל
490,Chef::N,προϊστάμενος,ראש
491,Chef::N,προϊστάμενος,מנהל
492,Meister::N,μάστορας,ממחה
493,Meister::N,αρχιτεχνίτης,ממחה
494,Arzt::N,γιατρός,רופא
495,Lehrer::N,δάσκαλος,מורה
496,Geld::N,λεφτά,כסף
497,Geld::N,χρήματα,כסף
498,Geschäft::N,συναλλαγή,עסקה
499,Laden::N,μαγαζί,חנות
500,Laden::N,κατάστημα,חנות
501,Preis::N,τιμή,מחיר
502,Ware::N,εμπόρευμα,סחורה
503,Nutzen::N,όφελος,תועלת
504,Reichtum::N,πλούτος,עשר
505,Welt::N,κόσμος,עולם
506,Land::N,χώρα,ארץ
507,Staat::N,κράτος,מדינה
508,Staat::N,πολιτεία,מדינה
509,König::N,βασιλιάς,מלך
510,Macht::N,εξουσία,כוח
511,Grenze::N,σύνορα,גבול
512,Krieg::N,πόλεμος,מלחמה
513,Feind::N,εχθρός,אויב
514,Gewalt::N,βία,אלימות
515,Kampf::N,αγώνας,קרב
516,Kampf::N,αγώνας,לחימה
517,Bogen[Waffe]::N,τόξο,קשת
518,Pfeil::N,σαΐτα,חץ
519,Gewehr::N,τουφέκι,רובה
520,Fehler::N,λάθος,טעות
521,Fehler::N,σφάλμα,טעות
522,Lüge::N,ψέμα,שקר
523,Lüge::N,ψεύδος,שקר
524,Schaden::N,ζημία,נזק
525,Unglück::N,δυστυχία,מזל רע
526,Schuld::N,ενοχή,אשמה
527,Schuld::N,φταίξιμο,אשמה
528,Alter::N,ηλικία,גיל
529,Schluss::N,τέλος,סיום
530,Zeit::N,χρόνος,זמן
531,Tag::N,μέρα,יום
532,Tag::N,ημέρα,יום
533,Morgen::N,πρωί,בקר
534,Mittag::N,μεσημέρι,צהרים
535,Abend::N,βράδυ,ערב
536,Nacht::N,νύχτα,לילה
537,Woche::N,εβδομάδα,שבוע
538,Monat::N,μήνας,חדש
539,Jahr::N,έτος,שנה
540,Jahr::N,χρόνος,שנה
541,Frühling::N,άνοιξη,אביב
542,Sommer::N,καλοκαίρι,קיץ
543,Herbst::N,φθινόπωρο,סתו
544,Winter::N,χειμώνας,חרף
545,Januar::N,Ιανουάριος,ינואר
546,Februar::N,Φεβρουάριος,פברואר
547,März::N,Μάρτιος,מרץ
548,April::N,Απρίλιος,אפריל
549,Mai::N,Μάιος,מאי
550,Juni::N,Ιούνιος,יוני
551,Juli::N,Ιούλιος,יולי
552,August::N,Αύγουστος,אוגוסט
553,September::N,Σεπτέμβριος,ספטמבר
554,Oktober::N,Οκτώβριος,אוקטובר
555,November::N,Νοέμβριος,נובמבר
556,Dezember::N,Δεκέμβριος,דצמבר
557,Montag::N,Δευτέρα,יום שני
558,Dienstag::N,Τρίτη,יום שלישי
559,Mittwoch::N,Τετάρτη,יום רביעי
560,Donnerstag::N,Πέμπτη,יום חמישי
561,Freitag::N,Παρασκευή,יום ששי
562,Samstag::N,Σάββατο,יום שבת
563,Sonntag::N,Κυριακή,יום ראשון
564,groß::A,μεγάλος,גדול
565,klein::A,μικρός,קטן
566,lang::A,μακρύς,ארך
567,kurz::A,κοντός,קצר
568,breit::A,φαρδύς,רחב
569,schmal::A,στενός,צר
570,dicht::A,πυκνός,צפוף
571,dick[Gegenstand]::A,παχύς,עבה
572,dick[Gegenstand]::A,χοντρός,עבה
573,dünn::A,ψιλός,דק
574,dünn::A,λεπτός,דק
575,fein::A,ψιλός,מעדן
576,fest::A,στερεός,מוצק
577,flach::A,επίπεδος,שטוח
578,glatt::A,λείος,חלק
579,glatt::A,ομαλός,חלק
580,hart::A,σκληρός,קשיח
581,weich::A,μαλακός,רך
582,rund::A,στρογγυλός,עגל
583,spitz::A,μυτερός,חד
584,scharf::A,κοφτερός,חד
585,stumpf::A,αμβλύς,קהה
586,schwer::A,βαρύς,כבד
587,schön::A,ωραίος,יפה
588,schön::A,όμορφος,יפה
589,heiß::A,ζεστός,חם
590,warm::A,θερμός,חם
591,kalt::A,κρύος,קר
592,kalt::A,ψυχρός,קר
593,kühl::A,δροσερός,צונן
594,frisch::A,νωπός,טרי
595,frisch::A,φρέσκος,טרי
596,feucht::A,υγρός,לח
597,nass::A,βρεγμένος,רטוב
598,trocken::A,ξηρός,יבש
599,trocken::A,στεγνός,יבש
600,voll::A,γεμάτος,מלא
601,leer::A,άδειος,ריק
602,offen::A,ανοιχτός,פתוח
603,geschlossen::A,κλειστός,סגור
604,sauber::A,καθαρός,נקי
605,schmutzig::A,βρώμικος,מלכלך
606,schmutzig::A,λερωμένος,מלכלך
607,roh::A,ωμός,חי
608,reif::A,ώριμος,בשל
609,lecker::A,νόστιμος,טעים
610,süß::A,γλυκός,מתוק
611,bitter::A,πικρός,מר
612,sauer::A,ξινός,חמוץ
613,hell::A,φωτεινός,בהיר
614,dunkel::A,σκοτεινός,עמום
615,schwarz::A,μαύρος,שחר
616,schwarz::A,μελανός,שחר
617,weiß::A,άσπρος,לבן
618,rot::A,κόκκινος,אדם
619,gelb::A,κίτρινος,צהב
620,blau::A,μπλε,כחל
621,blau::A,γαλανός,כחל
622,grün::A,πράσινος,ירק
623,grau::A,γκρίζος,אפר
624,bunt::A,ποικιλόχρωπος,צבעוני
625,billig::A,φτηνός,זול
626,teuer::A,ακριβός,יקר
627,wertvoll::A,πολύτιμος,יקר ערך
628,blind::A,τυφλός,עור
629,taub::A,κουφός,חרש
630,kräftig::A,δυνατός,חסן
631,stark::A,γερός,חזק
632,schwach::A,αδύνατος,חלש
633,fett::A,παχύς,שמן
634,schlank::A,λεπτός,רזה
635,schlank::A,λυγερός,רזה
636,hübsch::A,όμορφος,יפה תאר
637,hübsch::A,χαριτωμένος,יפה תאר
638,böse::A,κακός,רשע
639,dumm::A,κουτός,טפש
640,dumm::A,ανόητος,טפש
641,faul::A,τεμπέλης,עצלן
642,fleißig::A,εργατικός,חרוץ
643,geizig::A,τσιγγούνης,קמצן
644,klug::A,έξυπνος,נבון
645,klug::A,έξυπνος,פקח
646,geschickt::A,επιδέξιος,מימן
647,lieb::A,φίλος,יקר
648,lieb::A,φίλος,אהוב
649,lieb::A,αγαπητός,יקר
650,lieb::A,αγαπητός,אהוב
651,lustig::A,εύθυμος,עליז
652,lustig::A,χαρούμενος,עליז
653,sanft::A,ήπιος,עדין
654,hungrig::A,πεινασμένος,רעב
655,krank::A,άρρωστος,חולה
656,nackt::A,γυμνός,ערום
657,traurig::A,λυπημένος,עצוב
658,lebendig::A,ζωντανός,חי
659,gut::A,καλός,טוב
660,schlecht::A,κακός,גרוע
661,richtig::A,σωστός,נכון
662,schlimm::A,άσχημος,רע
663,wahr::A,αληθής,אמתי
664,wahr::A,αληθινός,אמתי
665,alt::A,παλιός,ישן
666,neu::A,νέος,חדש
667,neu::A,καινούργιος,חדש
668,ehemalig::A,παλιός,לשעבר
669,alt[Lebewesen]::A,γέρος,זקן
670,jung::A,νέος,צעיר
671,arm::A,φτωχός,עני
672,reich::A,πλούσιος,עשיר
673,bekannt::A,γνωστός,ידוע
674,berühmt::A,περίφημος,מפרסם
675,berühmt::A,ξακουσμένος,מפרסם
676,fremd::A,ξένος,זר
677,verschieden::A,διαφορετικός,שונה
678,nah::A,κοντινός,קרוב
679,fern::A,μακριά,רחוק
680,linker::A,αριστερός,שמאלי
681,rechter::A,δεξιός,ימין
682,anderer::A,άλλος,אחר
683,erster::A,πρώτος,ראשון
684,zweiter::A,δεύτερος,שני
685,dritter::A,τρίτος,שלישי
686,letzter::A,τελευταίος,אחרון
687,allein::ADV,μόνος,לבד
688,auf einmal::ADV,εφάπαξ,בו-זמנית
689,zusammen::ADV,μαζί,ביחד
690,lange::ADV,πολύν καιρό,הרבה זמן
691,plötzlich::ADV,έξαφνα,לפתע
692,plötzlich::ADV,έξαφνα,פתאום
693,sofort::ADV,αμέσως,מיד
694,später::ADV,αργότερα,לאחר זמן
695,später::ADV,αργότερα,יותר מאחר
696,jetzt::ADV,τώρα,עכשיו
697,heute::ADV,σήμερα,היום
698,morgen::ADV,αύριο,מחר
699,bald::ADV,σε λίγο,בקרוב
700,bald::ADV,εντός ολίγου,בקרוב
701,dann::ADV,ύστερα,אחר-כך
702,gestern::ADV,χτες,אתמול
703,einst::ADV,ποτέ,לפנים
704,einst::ADV,άλλοτε,לפנים
705,damals::ADV,τότε,אז
706,danach::ADV,μετά,אחר-כך
707,danach::ADV,ύστερα,אחר-כך
708,vorher::ADV,πριν,לפני זה
709,vorher::ADV,προηγουμένως,לפני זה
710,zuerst::ADV,πρώτα,קדם
711,einmal::ADV,μία φορά,פעם
712,manchmal::ADV,κάποτε,לפעמים
713,oft::ADV,συχνά,לעתים קרובות
714,oft::ADV,πολλές φορές,לעתים קרובות
715,immer::ADV,πάντα,תמיד
716,immer::ADV,πάντοτε,תמיד
717,niemals::ADV,ποτέ,אף פעם
718,hier::ADV,εδώ,כאן
719,hierhin::ADV,εδώ,פה
720,von hier::ADV,από δω,מפה
721,dort::ADV,εκεί,שם
722,dorthin::ADV,προς τα κει,שם
723,geradeaus::ADV,κατευθείαν,ישר
724,vorwärts::ADV,εμπρός,קדימה
725,rückwärts::ADV,πίσω,לאחור
726,zurück::ADV,πίσω,בחזרה
