,Concept_ID,sah,ca
395,Tür::N,аан,porta
396,Tor::N,аан,portal
397,Zaun::N,соппулуот,tanca
398,Dach::N,кырыыса,teulada
399,Leiter::N,кирилиэс,escala
400,Leiter::N,кирилиэс,escala de mà
401,Besen::N,миинньик,escombra
402,Spaten::N,күрдьэх,pala
403,Schaufel::N,күрдьэх,pala
404,Gabel::N,биилкэ,forquilla
405,Löffel::N,луоска,cullera
406,Messer::N,быһах,coltell
407,Nagel::N,тоһоҕо,clau
408,Netz::N,илим,filat
409,Haken::N,көхө,ganxo
410,Griff::N,ук,puny
411,Griff::N,ук,mànec
412,Griff::N,тутаах,puny
413,Griff::N,тутаах,mànec
414,Schloss::N,күлүүс,pany
415,Bild::N,хартыына,imatge
416,Figur::N,фигура,figura
417,Puppe::N,куукула,nina
418,Beutel::N,мөһөөччук,bossa
419,Bündel::N,баайыы,feix
420,Bündel::N,баайыы,paquet
421,Tasche::N,суумка,bossa
422,Eimer::N,биэдэрэ,galleda
423,Deckel::N,хаппах,tapa
424,Deckel::N,хаппах,tapadora
425,Geschirr::N,иһит,vaixella
426,Sack::N,куул,sac
427,Sack::N,куул,saca
428,Tasse::N,сэлиэнэй,tassa
429,Topf::N,көстүрүүҥкэ,pot
430,Topf::N,көстүрүүҥкэ,olla
431,Kessel::N,хочуол,caldera
432,Essen::N,аһылык,àpat
433,Essen::N,аһылык,menjada
434,Nahrung::N,ас,aliment
435,Speise::N,аһылык,plat
436,Fleisch::N,эт,carn
437,Getreide::N,злактар,cereals
438,Brei::N,хааһы,puré
439,Brot::N,килиэп,pa
440,Scheibe::N,куһуок,tall
441,Scheibe::N,куһуок,llesca
442,Fett::N,сыа,greix
443,Butter::N,арыы,mantega
444,Öl::N,арыы,oli
445,Salz::N,туус,sal
446,Suppe::N,мин,sopa
447,Honig::N,мүөт,mel
448,Milch::N,үүт,llet
449,Tee::N,чэй,te
450,Leder::N,тирии,cuir
451,Wolle::N,түү,llana
452,Stoff::N,таҥас,tela
453,Nadel::N,иннэ,agulla
454,Faden::N,сап,fil
455,Knopf::N,тимэх,botó
456,Knoten::N,түмүк,nus
457,Farbe::N,кырааска,pintura
458,Kleidung::N,таҥас,roba
459,Kleidung::N,таҥас,vestits
460,Hemd::N,ырбаахы,camisa
461,Kragen::N,саҕа,coll
462,Ärmel::N,сиэх,màniga
463,Hose::N,ыстаан,pantalōns
464,Hose::N,бүрүүкэ,pantalōns
465,Gürtel::N,кур,cinturó
466,Mütze::N,бэргэһэ,gorra
467,Schuh::N,бачыыҥка,sabata
468,Stiefel::N,саппыкы,bota
469,Ring::N,биһилэх,anell
470,Band::N,лиэнтэ,veta
471,Band::N,лиэнтэ,cinta
472,Kamm::N,тараах,pinta
473,Spiegel::N,сиэркилэ,mirāll
474,Riemen::N,кур,corretja
475,Schnur::N,быа,corda
476,Leine::N,тэһиин,corretja
477,Decke::N,суорҕан,manta
478,Decke::N,суорҕан,flassada
479,Kissen::N,сыттык,coixí
480,Tuch::N,былаат,mocador
481,Handtuch::N,соттор,tovallola
482,Kraft::N,сыра,força
483,Stärke::N,күүс,vigor
484,Gesundheit::N,доруобуйа,salut
485,Krankheit::N,ыарыы,malaltia
486,Schmerz::N,ыарыы,dolor
487,Wunde::N,баас,ferida
488,Fieber::N,түрүлгэн,febre
489,Fieber::N,лихорадка,febre
490,Fieber::N,температура,febre
491,Arznei::N,эмп,medicament
492,Brücke::N,күргэ,pont
493,Brunnen::N,холуодьас,pou
494,Weide::N,мэччирэҥ,pastura
495,Pfad::N,ыллык,senda
496,Pfad::N,ыллык,sender
497,Weg::N,суол,camí
498,Straße::N,суол,carretera
499,Dorf::N,дэриэбинэ,poble
500,Stadt::N,куорат,ciutāt
501,Brief::N,сурук,carta
502,Buch::N,кинигэ,llibre
503,Buchstabe::N,буква,lletra
504,Zeitung::N,хаһыат,diāri
505,Leben::N,тыын,vida
506,Tod::N,өлүү,mort
507,Grab::N,иин,tomba
508,Kirche::N,таҥара дьиэтэ,església
509,Sünde::N,айыы,pecat
510,Gott::N,тангара,déu
511,Arbeiter::N,үлэһит,obrer
512,Chef::N,баһылык,cap
513,Chef::N,начальник,cap
514,Meister::N,уус,mestre
515,Meister::N,маастар,mestre
516,Arzt::N,врач,metge
517,Lehrer::N,учуутал,mestre
518,Geld::N,харчы,dinērs
519,Geschäft::N,идэ,negoci
520,Laden::N,маҕаһыын,tenda
521,Laden::N,маҕаһыын,botiga
522,Preis::N,сыана,preu
523,Ware::N,табаар,mercaderia
524,Nutzen::N,туһа,profit
525,Reichtum::N,баай,riquesa
526,Welt::N,аан дойду,món
527,Land::N,дойду,país
528,Staat::N,государство,estat
529,König::N,король,rei
530,Macht::N,былаас,poder
531,Macht::N,былаас,potència
532,Grenze::N,кыраныысса,frontera
533,Krieg::N,сэрии,guerra
534,Feind::N,өстөөх,enemic
535,Gewalt::N,күүһүлээһин,violència
536,Kampf::N,охсуһуу,lluita
537,Bogen[Waffe]::N,ох,arc
538,Pfeil::N,ох,fletxa
539,Gewehr::N,саа,fusell
540,Gewehr::N,саа,escopeta
541,Fehler::N,сыыһа,falta
542,Lüge::N,сымыйа,mentida
543,Schaden::N,хоромньу,dany
544,Unglück::N,алдьархай,desgràcia
545,Schuld::N,буруй,culpa
546,Alter::N,саас,edat
547,Schluss::N,тиһэх,fi
548,Schluss::N,тиһэх,final
549,Zeit::N,бириэмэ,temps
550,Tag::N,күн,dia
551,Morgen::N,сарсыарда,matí
552,Mittag::N,күн ортото,migdia
553,Abend::N,киэһэ,vespre
