,Concept_ID,la,te
97,See::N,lacus,సరస్సు
98,Sumpf::N,palus,చిత్తడినేల
99,Moor::N,palus,చిత్తడినేల
100,Wiese::N,pratum,పచ్చిక బయలు
101,Wald::N,silva,అడవి
102,Hügel::N,collis,చివ్నకొండ
103,Anhöhe::N,specula,కొండ
104,Berg::N,mons,పర్వతము
105,Gipfel::N,vertex,శిఖరము
106,Höhle::N,caverna,గుహ
107,Höhle::N,spelunca,గుహ
108,Abhang::N,declivum,ఏటవాలు
109,Quelle::N,fons,మూలము
110,Bach::N,rivus,కాలువ
111,Fluss::N,flumen,నది
112,Ufer::N,ripa,తీరము
113,Küste::N,litus,తీరము
114,Festland::N,continens,భూమి
115,Meer::N,mare,సముద్రము
116,Bucht::N,sinus,మరుగు
117,Insel::N,insula,దీవి
118,Blume::N,flos,పుష్పము
119,Gras::N,herba,పచ్చగడ్డి
120,Gras::N,gramen,పచ్చగడ్డి
121,Wurzel::N,radix,వేరు
122,Baum::N,arbor,చెట్టు
123,Stamm::N,truncus,చెట్టుబోదె
124,Rinde::N,cortex,చెట్టుపట్ట
125,Ast::N,ramus,కొమ్మ
126,Zweig::N,ramus,చివుకు
127,Blatt::N,folium,ఆకు
128,Birke::N,betulla,తరహా చెట్టు
129,Kiefer[Baum]::N,pinus,దేవదారు చెట్టు
130,Weide[Baum]::N,salix,జాతిచెట్టు
131,Tanne::N,abies,దేవదారుచెట్టు
132,Horn::N,cornu,కొమ్ము
133,Feder::N,penna,ఈక
134,Fell::N,pellis,తోలు
135,Flügel::N,ala,ఱెక్క
136,Klaue::N,unguis,వంకరగోరు
137,Kralle::N,unguis,వంకరగోరు
138,Schwanz::N,cauda,తోక
139,Ei::N,ovum,గ్రుడ్డు
140,Nest::N,nidus,పక్షిగూడు
141,Bau::N,cavum,గుహ
142,Bau::N,latibulum,గుహ
143,Tier::N,bestia,జంతువు
144,Herde::N,grex,మంద
145,Kuh::N,vacca,ఆవు
146,Bulle::N,taurus,గిత్త
147,Pferd::N,equus,గుఱ్ఱము
148,Schaf::N,ovis,గొఱ్ఱె
149,Schwein::N,sus,పంది
150,Schwein::N,porcus,పంది
151,Hund::N,canis,కుక్క
152,Katze::N,felis,పిల్లి
153,Bär::N,ursus,ఎలుగుబంటి
154,Eichhörnchen::N,sciurus,ఉడుత
155,Elch::N,alces,కణంజు
156,Fuchs::N,vulpes,గుంటనక్క
157,Hase::N,lepus,కుందేలు
158,Maus::N,mus,చిట్టెలుక
159,Wolf::N,lupus,తోడేలు
160,Vogel::N,avis,పక్షి
161,Schwarm::N,examen,గుంపు
162,Huhn::N,gallina,కోడిపిల్ల
163,Hahn::N,gallus,కోడివుంజు
164,Gans::N,anser,ఆడుబాతు
165,Adler::N,aquila,గ్రద్ద
166,Ente::N,anas,పాట్టిబాతు
167,Eule::N,ulula,గ్రుడ్లగూబ
168,Eule::N,noctua,గ్రుడ్లగూబ
169,Kranich::N,grus,కొంగ
170,Krähe::N,cornix,కాకి
171,Kuckuck::N,cuculus,కోయల
172,Schwan::N,olor,హంస
173,Schwan::N,cycnus,హంస
174,Fisch::N,piscis,చేప
175,Barsch::N,perca,ఒకచేఁప
176,Hecht::N,esox,గండుమీను
177,Schlange[Tier]::N,serpens,పాము
178,Wurm::N,vermis,పురుగు
179,Spinne::N,aranea,సాలె పురుగు
180,Ameise::N,formica,చీమ
181,Laus::N,pediculus,పేను
182,Mücke::N,culex,చీకటీగ
183,Fliege::N,musca,ఈగ
184,Schmetterling::N,papilio,సీతాకోకచిలుక
185,Beere::N,baca,కాయ
186,Apfel::N,malum,ఆపిల్ పండు
187,Pilz::N,fungus,కుక్కగొడుగు
188,Zwiebel::N,cepa,నీరుల్లి
189,Saat::N,seges,విత్తనము
190,Korn::N,granum,గింజ
191,Heu::N,faenum,ఎండుగడ్డి
192,Schale::N,putamen,పొట్టు
193,Grube::N,fovea,గొయ్యి
194,Falle::N,pedica,బోను
195,Schlinge::N,laqueus,ఉరి
196,Spur::N,vestigium,జాడ
197,Asche::N,cinis,బూడిద
198,Dreck::N,lutum,ముఱికి
199,Eisen::N,ferrum,ఇనుము
200,Gold::N,aurum,బంగారము
201,Silber::N,argentum,వెండి
202,Kohle::N,carbo,నేలబొగ్గు
203,Glas::N,vitrum,గాజు
204,Lehm::N,lutum,బంకమన్ను
205,Sand::N,arena,ఇసుక
206,Mensch::N,homo,నరుడు
207,Mann::N,vir,పురుమడు
208,Frau::N,mulier,ఆడుది
209,Kind::N,puer,బిడ్డ
210,Kind::N,infans,బిడ్డ
211,Junge::N,puer,బాలుడు
212,Mädchen::N,puella,బాలిక
213,Familie::N,familia,కుటుంబము
214,Großvater::N,avus,తాత
215,Großmutter::N,avia,అయ్యమ్మ
216,Eltern::N,parentes,తల్లితండ్రులు
217,Vater::N,pater,తండ్రి
218,Mutter::N,mater,తల్లి
219,Sohn::N,filius,కొడుకు
220,Tochter::N,filia,కూతురు
221,Bruder::N,frater,పోదరుడు
222,Schwester::N,soror,సోదరి
223,Onkel::N,patruus,మేనమామ
224,Onkel::N,avunculus,మేనమామ
225,Tante::N,amita,మేనత్త
226,Tante::N,amita,పినతల్లి
227,Ehemann::N,maritus,భర్త
228,Ehefrau::N,uxor,భార్య
229,Freude::N,gaudium,సంతోషము
230,Freude::N,laetitia,సంతోషము
231,Gelächter::N,risus,నవ్వు
232,Glück::N,felicitas,సంతోషము
233,Kummer::N,aegritudo,దుఃఖము
234,Wunsch::N,voluntas,కోరిక
235,Wunsch::N,desiderium,కోరిక
236,Lust::N,libido,కోరిక
237,Lust::N,voluptas,కోరిక
238,Geist::N,mens,ఆత్మ
239,Geist::N,animus,ఆత్మ
240,Gedanke::N,sententia,ఆలోచన
241,Gedächtnis::N,memoria,జ్ఞాపకము
242,Verstand::N,ratio,మనస్సు
243,Verstand::N,ingenium,మనస్సు
244,Sinn::N,sensus,అర్థము
245,Grund::N,causa,కారణము
246,Wahrheit::N,veritas,సత్యము
247,Gespräch::N,sermo,పంభాషణ
248,Märchen::N,fabula,అద్భుతకథ
249,Erzählung::N,fabula,కథ
250,Erzählung::N,narratio,కథ
251,Nachricht::N,nuntius,వార్త
252,Neuigkeit::N,novitas,వార్త
253,Name::N,nomen,పేరు
254,Rätsel::N,aenigma,చిక్కు
255,Rede::N,oratio,ఉపన్యాసము
256,Sprache::N,lingua,భాష
257,Stimme::N,vox,కంరథ్సని
258,Wort::N,verbum,మాట
259,Wort::N,vocabulum,మాట
260,Zeichen::N,signum,గుర్తు
261,Ruf::N,clamor,పిలువు
262,Lärm::N,strepitus,సందడి
263,Laut::N,sonus,ధ్వని
264,Ton::N,sonus,స్వరము
265,Lied::N,carmen,పాట
266,Ruhe::N,quies,గాలిలేమి
267,Leute::N,homines,జనులు
268,Volk::N,populus,జాతి
269,Arbeit::N,labor,పని
270,Gast::N,hospes,అతిధి
271,Gast::N,conviva,అతిధి
272,Geschenk::N,munus,దానము
273,Spiel::N,ludus,ఆట
274,Gesellschaft::N,societas,జట్టు
275,Hilfe::N,auxilium,సాహాయ్యము
276,Hilfe::N,subsidium,సాహాయ్యము
277,Freund::N,amicus,స్నేహితుడు
278,Kamerad::N,socius,చెలికాడు
279,Angelegenheit::N,res,విషయము
280,Anzahl::N,numerus,లెక్క
281,Art::N,genus,జాతి
282,Stück::N,frustum,తునుక
283,Stück::N,fragmentum,తునుక
284,Teil::N,pars,భాగము
285,Hälfte::N,dimidium,సగము
286,Kreis::N,orbis,వృత్తము
287,Kreis::N,circus,వృత్తము
288,Kreuz::N,crux,సిలువ
289,Linie::N,linea,గీత
290,Strich::N,lineamentum,గీత
291,Abstand::N,intervallum,సందు
292,Entfernung::N,spatium,దూరము
293,Gegend::N,loca,విస్తీర్ణము
294,Gegend::N,regio,విస్తీర్ణము
295,Platz::N,locus,ఎడము
296,Ort::N,locus,స్థలము
297,Seite::N,latus,ప్రక్క
298,Mitte::N,medium,నడిమి
299,Gegenstand::N,res,పద్దు
300,Sache::N,res,వస్తువు
301,Rand::N,margo,అంచు
302,Kante::N,angulus,అంచు
303,Ecke::N,angulus,మూల
304,Spitze::N,cacumen,మొన
305,Ende::N,caput,కొన
306,Loch::N,foramen,రంధ్రము
307,Winkel::N,angulus,కోణము
308,Muster::N,exemplum,మాదిరి
309,Größe::N,magnitudo,పరిమాణము
310,Länge::N,longitudo,పొడుగు
311,Höhe::N,altitudo,పొడుగు
312,Gewicht::N,pondus,భారము
313,Menge::N,copia,మొత్తము
314,Haufen::N,acervus,రాశి
315,Reihe::N,ordo,వరుస
316,Boot::N,navicula,పడవ
317,Ruder::N,remus,అడక
318,Schlitten::N,sclodia,సరవండ్లు
319,Ski::N,narta,స్కీ
320,Lagerfeuer::N,ignis,నెగడు
321,Last::N,onus,బరువు
322,Gang::N,cursus,నడక
323,Schritt::N,gradus,అడుగు
324,Norden::N,septentriones,ఉత్తరదిక్కు
325,Süden::N,meridies,దక్షిణము
326,Westen::N,occidens,పడమర
327,Osten::N,oriens,తూర్పు
328,Holz::N,lignum,కొయ్య
329,Brett::N,tabula,పలక
330,Platte::N,lamina,పలక
331,Stütze::N,adminiculum,వాల్సేడ్లు
332,Stange::N,pertica,స్తంభము
333,Stock::N,baculum,కఱ్ఱ
334,Stab::N,scipio,కఱ్ఱ
335,Rohr::N,tubus,గొట్టము
336,Haus::N,aedes,ఇల్లు
337,Heim::N,domicilium,స్వగృహము
338,Ofen::N,fornax,పొయ్యి
339,Fußboden::N,solum,నేల
340,Tisch::N,mensa,మేజా
341,Stuhl::N,sella,కుర్చీ
342,Wiege::N,cunae,ఉయ్యాల
343,Bett::N,lectus,పడక
344,Bett::N,lectus,మంచం
345,Regal::N,foruli,అటక
346,Kiste::N,cista,వెట్టె
347,Fenster::N,fenestra,కిటికి
348,Tür::N,ianua,ద్వారము
349,Tor::N,porta,ద్వారము
350,Zaun::N,saepes,కంచె
351,Dach::N,tectum,ఇంటివైకప్పు
352,Leiter::N,scalae,నిచ్చెన
353,Besen::N,scopae,చీపురుకట్ట
354,Spaten::N,pala,పాఱ
355,Schaufel::N,pala,పాఱ
356,Gabel::N,fuscinula,ముండ్లగరిటె
357,Löffel::N,coclear,గరిటె
358,Messer::N,culter,కత్తి
359,Nagel::N,clavus,మేకు
360,Netz::N,rete,వల
361,Haken::N,hamus,కొక్కెము
362,Griff::N,manubrium,పిడి
363,Schloss::N,claustra,తాళము
364,Bild::N,tabula,చిత్రము
365,Bild::N,pictura,చిత్రము
366,Figur::N,statunculum,రూపము
367,Puppe::N,pupa,బొమ్మ
368,Beutel::N,sacculus,సంచి
369,Bündel::N,fascis,మూట
370,Tasche::N,sacculus,సంచి
371,Eimer::N,situla,చేద
372,Deckel::N,operculum,మూత
373,Geschirr::N,vasa,వంటకాలు
374,Sack::N,saccus,గోనెసంచి
375,Tasse::N,pocillum,గిన్నె
376,Topf::N,olla,కుండ
377,Kessel::N,aenum,నీరుకాచుపాత్ర
378,Essen::N,cena,ఆహారము
379,Nahrung::N,cibus,ఆహారము
380,Nahrung::N,alimenta,ఆహారము
381,Speise::N,cibus,ఆహారము
382,Fleisch::N,caro,మాంసము
383,Getreide::N,frumentum,ధాన్యము
384,Brei::N,puls,గుజ్జు
385,Brot::N,panis,రొట్టె
386,Scheibe::N,frustum,బద్ద
387,Fett::N,pingue,క్రొవ్వు
388,Butter::N,butȳrum,వెన్న
389,Öl::N,oleum,నూనె
390,Salz::N,sal,ఉప్పు
391,Suppe::N,ius,చారు
392,Honig::N,mel,తెనె
393,Milch::N,lac,పాలు
394,Tee::N,thea,తేనీరు
395,Leder::N,corium,బాగుచేసివతోలు
396,Wolle::N,lana,ఉన్ని
397,Stoff::N,textum,బట్ట
398,Nadel::N,acus,సూది
399,Faden::N,filum,దారము
400,Knopf::N,bulla,బొత్తాము
401,Knoten::N,nodus,ముడి
402,Farbe::N,pigmentum,రంగు
403,Kleidung::N,vestimenta,బట్టలు
404,Hemd::N,tunica,చొక్కాయ
405,Kragen::N,collare,మాల
406,Ärmel::N,manica,చొక్కాయచెయ్యి
407,Hose::N,bracae,ఇజారు
408,Gürtel::N,cingulum,పటకా
409,Mütze::N,pilleus,టోపి
410,Schuh::N,calceus,పాదరక్ష
411,Stiefel::N,pero,బూటు
412,Stiefel::N,caliga,బూటు
413,Ring::N,anulus,ఉంగరము
414,Band::N,redimiculum,నాడా
415,Kamm::N,pecten,దువ్వెన
416,Spiegel::N,speculum,అద్దము
417,Riemen::N,lorum,వాడా
418,Schnur::N,linum,దారము
419,Leine::N,retinaculum,వారు
420,Decke::N,lodix,కంబళి
421,Kissen::N,pulvinus,తలగడ
422,Tuch::N,velum,బట్ట
423,Handtuch::N,mantele,తువాలు
424,Kraft::N,vis,బలము
425,Stärke::N,robur,శక్తి
426,Gesundheit::N,valetudo,ఆరోగ్యము
427,Krankheit::N,morbus,రోగము
428,Schmerz::N,dolor,నొప్పి
429,Wunde::N,vulnus,గాయము
430,Fieber::N,febris,జ్వరము
431,Arznei::N,remedium,మందు
432,Brücke::N,pons,వంతెన
433,Brunnen::N,puteus,బావి
434,Brunnen::N,puteus,కూపము
435,Brunnen::N,puteus,నుయ్యి
436,Weide::N,pascua,పచ్చికబయలు
437,Pfad::N,semita,కాలిత్రోవ
438,Weg::N,iter,మార్గము
439,Straße::N,via,బాట
440,Dorf::N,vicus,గ్రామము
441,Stadt::N,urbs,పట్టణము
442,Stadt::N,oppidum,పట్టణము
443,Brief::N,epistula,జాబు
444,Buch::N,liber,పుస్తకము
445,Buchstabe::N,littera,అక్షరము
446,Zeitung::N,diurnum,వార్తాపత్రిక
447,Leben::N,vita,ప్రాణము
448,Tod::N,mors,మరణము
449,Grab::N,sepulcrum,సమాధి
450,Kirche::N,ecclesia,క్రెస్తవులగుడి
451,Sünde::N,peccatum,పాపము
452,Gott::N,deus,దేవుడు
453,Arbeiter::N,operarius,పనిపాటుచేశేవాడు
454,Chef::N,praefectus,యజమానుడు
455,Meister::N,magister,కళాకారుడు
456,Arzt::N,medicus,వైద్యుడు
457,Lehrer::N,magister,ఉపాధ్యాయుడు
458,Geld::N,aes,ద్రవ్యము
459,Geld::N,pecunia,ద్రవ్యము
460,Geschäft::N,negotium,వ్యాపారము
461,Laden::N,taberna,అంగడి
462,Preis::N,pretium,వెల
463,Ware::N,merx,సరకులు
464,Nutzen::N,utilitas,ప్రయోజనము
465,Reichtum::N,opes,ధనము
466,Reichtum::N,divitiae,ధనము
467,Welt::N,mundus,ప్రపంచము
468,Land::N,terra,దేశము
469,Staat::N,res publica,రాజ్యము
470,König::N,rex,రాజు
471,Macht::N,potestas,అధికారము
472,Grenze::N,limes,సరిహద్దు
473,Krieg::N,bellum,యుద్ధము
474,Feind::N,inimicus,శత్రువు
475,Gewalt::N,vis,దౌర్జన్యము
476,Kampf::N,pugna,పోట్లాట
477,Bogen[Waffe]::N,arcus,విల్లు
478,Pfeil::N,sagitta,బాణము
479,Gewehr::N,sclopetum,తుపాకి
480,Fehler::N,error,తప్ప
481,Lüge::N,mendacium,అసత్యము
482,Schaden::N,damnum,నష్టము
483,Schaden::N,detrimentum,నష్టము
484,Unglück::N,miseria,దురదృష్టము
485,Unglück::N,calamitas,దురదృష్టము
486,Schuld::N,culpa,తప్పు
487,Alter::N,aetas,వయస్సు
488,Schluss::N,finis,ముగింపు
489,Zeit::N,tempus,కాలము
490,Tag::N,dies,దినము
491,Morgen::N,mane,ఉదయము
492,Mittag::N,meridies,మధ్యాహ్నము
493,Abend::N,vesper,సాయంకాలము
494,Nacht::N,nox,రత్రి
495,Woche::N,septimana,వారము
496,Monat::N,mensis,నెల
497,Jahr::N,annus,సంవత్సరము
498,Frühling::N,ver,వసంతకాలము
499,Sommer::N,aestas,వేసవికాము
500,Herbst::N,autumnus,ఆకురాలుకాలము
501,Winter::N,hiems,శీతకాలము
502,Januar::N,Ianuarius,జనవరి
503,Februar::N,Februarius,ఫిబ్రవరి
504,März::N,Martius,మార్చి
505,April::N,Aprilis,ఏప్రిలు
506,Mai::N,Maius,మే
507,Juni::N,Iunius,జూన్
508,Juli::N,Iulius,జూలై
509,August::N,Augustus,ఆగస్టు
510,September::N,September,సెప్ఠెంబరు
511,Oktober::N,Octobris,అక్టోబరు
512,November::N,Novembris,నవంబరు
513,Dezember::N,December,డిసెంబర్
514,Montag::N,dies lunae,సోమవారము
515,Dienstag::N,dies Martis ,మంగళవారము
516,Mittwoch::N,dies Mercurii,బుధవారము
517,Donnerstag::N,dies Iovis,గురువారము
518,Freitag::N,dies Veneris,శుక్రవారము
519,Samstag::N,dies Saturni,శనివారము
520,Sonntag::N,dominicus,ఆదివారము
521,Sonntag::N,dies solis,ఆదివారము
522,groß::A,magnus,గొప్పైన
523,klein::A,parvus,చిన్న
524,lang::A,longus,పొడుగాటి
525,kurz::A,brevis,పొట్టి
526,breit::A,latus,వెడల్పైన
527,schmal::A,angustus,ఇఱుకైన
528,dicht::A,densus,దట్టమైన
529,dick[Gegenstand]::A,crassus,దట్టమైన
530,dünn::A,tenuis,పలుచని
531,fein::A,subtilis,నాజాకైన
532,fest::A,solidus,దృడమైవ
533,fest::A,stabilis,దృడమైవ
534,flach::A,planus,చదువైన
535,glatt::A,levis,నున్నని
536,hart::A,durus,కఠినమైన
537,weich::A,mollis,మృదువైన
538,rund::A,rotundus,గుండ్రని
539,spitz::A,acutus,మొనగల
540,scharf::A,acer,పదనైన
541,stumpf::A,hebes,వాడిలేని
542,schwer::A,gravis,బరువ్తెన
543,schön::A,pulcher,సుందరమైన
544,schön::A,formosus,సుందరమైన
545,heiß::A,fervidus,వేడియైన
546,warm::A,calidus,వెచ్చని
547,kalt::A,frigidus,చల్లని
548,kühl::A,frigidus,చల్లని
549,frisch::A,recens,తాజాయైన
550,feucht::A,umidus,చెమ్మగానున్న
551,nass::A,madidus,తడిగామన్న
552,trocken::A,aridus,ఎండిన
553,voll::A,plenus,నిండు
554,leer::A,vacuus,శూన్యమైన
555,offen::A,apertus,తెఱచియున్న
556,geschlossen::A,clausus,మూసిన
557,sauber::A,lautus,పరిశుద్ధమైన
558,schmutzig::A,sordidus,ముఱికియైన
559,roh::A,crudus,పచ్చి
560,reif::A,maturus,పండివ
561,lecker::A,delicatus,రుచి గల
562,süß::A,dulcis,తియ్యని
563,bitter::A,amarus,చేదైన
564,bitter::A,acerbus,చేదైన
565,sauer::A,acidus,పుల్లని
566,hell::A,clarus,కాంతిగల
567,dunkel::A,obscurus,చీకటియైన
568,schwarz::A,niger,నల్లని
569,weiß::A,albus,తెలుపు
570,rot::A,ruber,ఎఱ్ఱని
571,gelb::A,flavus,పసుపు పచ్చ
572,blau::A,caeruleus,నీలవర్ణము
573,grün::A,viridis,ఆకుపచ్చని
574,grau::A,canus,నెరిసిన
575,bunt::A,varius,రంగేలీ
576,billig::A,vilis,చౌకయైన
577,teuer::A,carus,వెలపొడుగైన
578,wertvoll::A,pretiosus,విలుప్తెన
579,blind::A,caecus,గ్రుడ్డి
580,taub::A,surdus,చెవిటి
581,kräftig::A,robustus,శక్తి గల
582,stark::A,firmus,బలమైన
583,stark::A,validus,బలమైన
584,schwach::A,debilis,బలహీనమైన
585,schwach::A,infirmus,బలహీనమైన
586,fett::A,crassus,క్రొవ్విన
587,schlank::A,procerus,సన్నని
588,hübsch::A,pulcher,సాగప్తెన
589,böse::A,improbus,చెడ్డ
590,dumm::A,stultus,తెలివిలేని
591,dumm::A,stupidus,తెలివిలేని
592,faul::A,piger,సోమరియైన
593,fleißig::A,sedulus,శ్రద్దగల
594,geizig::A,avarus,పిసినారియైన
595,klug::A,prudens,తెలివిగల
596,geschickt::A,sollers,నిపుణతగల
597,lieb::A,carus,ప్రియమైన
598,lustig::A,iocosus,ఉల్లాసము గల
599,sanft::A,clemens,సాధువైన
600,hungrig::A,impastus,ఆకలిగొనిన
601,krank::A,aeger,వ్యాధిగల
602,nackt::A,nudus,దిగంబరమైన
603,traurig::A,maestus,విచారముగల
604,lebendig::A,vivus,ప్రాణముతో నున్న
605,gut::A,bonus,మంచి
606,schlecht::A,malus,చెడ్డ
607,richtig::A,rectus,సరియైన
608,schlimm::A,malus,అసహ్యమైన
609,wahr::A,verus,నిజమైన
610,alt::A,antiquus,ముసలి
611,neu::A,novus,క్రొత్త
612,ehemalig::A,pristinus,పూర్వపు
613,alt[Lebewesen]::A,vetus,ముసలి
614,jung::A,iuvenis,పసి
615,arm::A,pauper,బీద
616,reich::A,dives,ధనవంతుడైన
617,bekannt::A,notus,తెలిసిన
618,berühmt::A,celeber,ప్రపిద్దికెక్కివ
619,berühmt::A,illustris,ప్రపిద్దికెక్కివ
620,fremd::A,peregrinus,అన్యమైన
621,verschieden::A,varius,భేదమైన
622,nah::A,propinquus,దగ్గఱనున్న
623,fern::A,longinquus,దూరమందున్న
624,linker::A,sinister,ఎడమప్రక్కగ
625,rechter::A,dexter,కుడి
626,anderer::A,alius,వేఱ్తెన
627,erster::A,primus,మొదటి
628,zweiter::A,secundus,రెండన
629,dritter::A,tertius,మూడో
630,letzter::A,ultimus,కడపటి
631,allein::ADV,solum,ఒంటిగా
632,auf einmal::ADV,simul,హరాత్తుగ
633,zusammen::ADV,una,కలిసి
634,lange::ADV,diu,బహుకాలము
635,plötzlich::ADV,subito,హరాత్తుగ
636,plötzlich::ADV,repente,హరాత్తుగ
637,sofort::ADV,statim,తక్షణము
638,später::ADV,postea,ఇటీవలి
639,jetzt::ADV,nunc,ఇప్పుడు
640,heute::ADV,hodie,నేడు
641,morgen::ADV,cras,ఱేపు
642,bald::ADV,mox,శీఘ్రముగ
643,dann::ADV,deinde,అప్పుడు
644,gestern::ADV,heri,నిన్నటి దినము
645,einst::ADV,olim,పూర్వమొకప్పుడు
646,damals::ADV,tum,అప్పుడు
647,danach::ADV,postea,అప్పుడు
648,vorher::ADV,antea,ఎదుట
649,zuerst::ADV,primo,మొదటిలో
650,einmal::ADV,semel,ఒకసారి
651,manchmal::ADV,interdum,అప్పటప్పటికి
652,oft::ADV,saepe,తఱచుగా
653,immer::ADV,semper,ఎల్లప్పుడు
654,niemals::ADV,numquam,ఎప్పుడునులేదు
655,hier::ADV,hic,ఇక్కడ
656,hierhin::ADV,huc,ఇక్కడకు
657,von hier::ADV,hinc,ఇక్కడనుండి
658,dort::ADV,ibi,అక్కడ
659,dorthin::ADV,eo,అక్కడికి
660,geradeaus::ADV,recte,సూటిగా
661,vorwärts::ADV,porro,ముందుకు
662,rückwärts::ADV,retro,వెనుకకు
663,zurück::ADV,retro,వెనుకభాగము
664,unten::ADV,infra,క్రింద
665,hinab::ADV,pessum,కిందికి
666,oben::ADV,supra,మీద
667,hinauf::ADV,sursum,పైకి
668,überall::ADV,ubique,అంతటా
669,nicht::ADV,non,కాదు
670,ein wenig::ADV,paulum,కొంచెము
671,kaum::ADV,vix,చాలిచాలక
672,kaum::ADV,aegre,చాలిచాలక
673,sehr::ADV,valde,చాల
674,sehr::ADV,magnopere,చాల
675,so::ADV,ita,ఆలాగున
676,noch::ADV,etiam,ఇప్పటికిని
677,nur::ADV,solum,మాత్రము
678,nur::ADV,tantum,మాత్రము
679,schon::ADV,iam,ఇదివఱకే
680,wieder::ADV,rursus,తిరిగి
681,vergebens::ADV,frustra,నిష్ఫలముగా
682,vor::PRP,ante,ముందు
683,hinter::PRP,post,వెనుక
684,unter::PRP,sub,క్రింద
685,durch::PRP,per,ద్వారా
686,neben::PRP,iuxta,దగ్గెర
687,zwischen::PRP,inter,మధ్య
688,wegen::PRP,propter,కారణంగా
689,dies::PRN,hoc,ఇది
690,das::PRN,id,అది
691,alles::PRN,omnia,సకలము
692,ich::PRN,ego,నేను
693,du::PRN,tu,నీవు
694,er::PRN,is,అతడు
695,er::PRN,ille,అతడు
696,wir::PRN,nos,మనము
697,ihr::PRN,vos,మీరు
698,sie::PRN,ii,వారు
699,sie::PRN,illi,వారు
700,was::FPRN,quid,ఏమి
701,wer::FPRN,quis,ఎవడు
702,wo::FADV,ubi,ఎక్కడ
