,Concept_ID,sq,be
79,Erde::N,dhe,зямля
80,Erde::N,baltë,зямля
81,Staub::N,pluhur,пыл
82,Rauch::N,tym,дым
83,Funke::N,xixë,іскра
84,Funke::N,shkëndijë,іскра
85,Feuer::N,zjarr,агонь
86,Licht::N,dritë,святло
87,Schatten::N,hije,цень
88,Wetter::N,mot,пагода
89,Wetter::N,mot,надворʼе
90,Nebel::N,mjegull,туман
91,Wolke::N,re,воблака
92,Regen::N,shi,дождж
93,Schnee::N,borë,снег
94,Eis::N,akull,лёд
95,Frost::N,ngricë,мароз
96,Kälte::N,të ftohtë,холад
97,Hitze::N,vapë,спёка
98,Hitze::N,nxehtësi,спёка
99,Raureif::N,cikmë,іней
100,Regenbogen::N,ylber,вясёлка
101,Donner::N,gjëmim,гром
102,Donner::N,bubullimë,гром
103,Strömung::N,rrymë,цячэнне
104,Tropfen::N,pikë,кропля
105,Schaum::N,shkumë,пена
106,Schmutz::N,baltë,гразь
107,See::N,liqen,возера
108,Sumpf::N,batak,багна
109,Moor::N,kënetë,балота
110,Wiese::N,livadh,луг
111,Wald::N,pyll,лес
112,Hügel::N,kodër,узгорак
113,Anhöhe::N,bregore,узвышша
114,Berg::N,mal,гара
115,Gipfel::N,kulm,вяршыня
116,Höhle::N,shpellë,пячора
117,Höhle::N,zgafelle,пячора
118,Abhang::N,shpat,схіл
119,Abhang::N,tatëpjetë,схіл
120,Quelle::N,krua,крыніца
121,Quelle::N,burim,крыніца
122,Bach::N,virua,ручай
123,Fluss::N,lumë,рака
124,Ufer::N,breg,бераг
125,Küste::N,anëdet,узбярэжжа
126,Küste::N,bregdet,узбярэжжа
127,Festland::N,kontinent,суша
128,Meer::N,det,мора
129,Bucht::N,gji deti,бухта
130,Insel::N,ishull,востраў
131,Insel::N,ujdhesë,востраў
132,Blume::N,lule,кветка
133,Gras::N,bar,трава
134,Wurzel::N,rrënjë,корань
135,Baum::N,pemë,дрэва
136,Stamm::N,trung,ствол
137,Rinde::N,lëvore,кара
138,Ast::N,degë,сук
139,Zweig::N,bisk,галіна
140,Blatt::N,fletë,ліст
141,Blatt::N,gjethe,ліст
142,Birke::N,mështekën,бяроза
143,Kiefer[Baum]::N,pishë,хвоя
144,Kiefer[Baum]::N,pishë,сасна
145,Weide[Baum]::N,shelg,вярба
146,Tanne::N,bredh,яліна
147,Horn::N,bri,рог
148,Feder::N,pupël,пяро
149,Fell::N,lëkurë,шкура
150,Flügel::N,krah,крыло
151,Flügel::N,fletë,крыло
152,Klaue::N,kthetër,кіпцюр
153,Kralle::N,thua,лапа
154,Kralle::N,kthetër,лапа
155,Schwanz::N,bisht,хвост
156,Ei::N,vezë,яйка
157,Nest::N,fole,гняздо
158,Bau::N,strofkë,нара
159,Tier::N,kafshë,жывёла
160,Herde::N,kope,статак
161,Herde::N,grigjë,статак
162,Kuh::N,lopë,карова
163,Bulle::N,dem,бык
164,Pferd::N,kalë,конь
165,Schaf::N,dele,авечка
166,Schwein::N,derr,свіння
167,Hund::N,qen,сабака
168,Katze::N,mace,кошка
169,Bär::N,ari,мядзведзь
170,Eichhörnchen::N,ketër,вавёрка
171,Elch::N,dre brilopatë,лось
172,Fuchs::N,dhelpër,ліса
173,Hase::N,lepur,заяц
174,Maus::N,mi,мыш
175,Wolf::N,ujk,воўк
176,Vogel::N,zog,птах
177,Vogel::N,zog,птушка
178,Vogel::N,shpend,птах
179,Vogel::N,shpend,птушка
180,Schwarm::N,luzmë,чарада
181,Huhn::N,pulë,курыца
182,Hahn::N,gjel,певень
183,Hahn::N,këndes,певень
184,Gans::N,patë,гусь
185,Adler::N,shqiponjë,арол
186,Ente::N,rosë,качка
187,Eule::N,buf,сава
188,Kranich::N,lejlek,жораў
189,Kranich::N,lejlek,журавель
190,Kranich::N,kurrillë,жораў
191,Kranich::N,kurrillë,журавель
192,Krähe::N,sorrë,варона
193,Kuckuck::N,qyqe,зязюля
194,Schwan::N,mjellmë,лебедзь
195,Fisch::N,peshk,рыба
196,Barsch::N,purtekë,акунь
197,Hecht::N,mlysh,шчупак
198,Schlange[Tier]::N,gjarpër,змяя
199,Wurm::N,krimb,чарвяк
200,Spinne::N,marimangë,павук
201,Ameise::N,thnegël,мурашка
202,Ameise::N,milingonë,мурашка
203,Laus::N,morr,вош
204,Mücke::N,kunup,камар
205,Mücke::N,mushkonjë,камар
206,Fliege::N,mizë,муха
207,Schmetterling::N,flutur,матыль
208,Beere::N,frutë,ягада
209,Beere::N,manaferrë,ягада
210,Apfel::N,mollë,яблык
211,Pilz::N,kërpudhë,грыб
212,Zwiebel::N,qepë,цыбуля
213,Saat::N,farë,семя
214,Korn::N,grurë,зерне
215,Korn::N,kokërr,зерне
216,Heu::N,sanë,сена
217,Schale::N,lëkurë,шалупінне
218,Grube::N,gropë,яма
219,Falle::N,kurth,пастка
220,Falle::N,grackë,пастка
221,Schlinge::N,nyjë,сіло
222,Spur::N,gjurmë,след
223,Asche::N,hi,попел
224,Dreck::N,baltë,бруд
225,Eisen::N,hekur,жалеза
226,Gold::N,ar,золата
227,Gold::N,flori,золата
228,Silber::N,argjend,сребра
229,Kohle::N,qymyr,вугаль
230,Glas::N,qelq,шкло
231,Lehm::N,argjilë,гліна
232,Sand::N,rërë,пясок
233,Mensch::N,njeri,чалавек
234,Mann::N,burrë,мужчына
235,Mann::N,mashkull,мужчына
236,Frau::N,grua,жанчына
237,Frau::N,femër,жанчына
238,Kind::N,kalama,дзіця
239,Junge::N,djalë,хлопчык
240,Mädchen::N,gocë,дзяўчынка
241,Mädchen::N,vajzë,дзяўчынка
242,Familie::N,familje,сямʼя
243,Großvater::N,gjysh,дзядуля
244,Großmutter::N,gjyshe,бабуля
245,Eltern::N,prindër,бацькі
246,Vater::N,atë,бацька
247,Mutter::N,nënë,маці
248,Sohn::N,bir,сын
249,Tochter::N,bijë,дачка
250,Bruder::N,vëlla,брат
251,Schwester::N,motër,сястра
252,Onkel::N,dajë,дзядзька
253,Onkel::N,xhaxha,дзядзька
254,Tante::N,teze,цётка
255,Tante::N,hallë,цётка
256,Ehemann::N,burrë,муж
257,Ehemann::N,bashkëshort,муж
258,Ehefrau::N,grua,жонка
259,Ehefrau::N,bashkëshorte,жонка
260,Freude::N,gaz,радасць
261,Freude::N,gëzim,радасць
262,Gelächter::N,qeshje,смех
263,Glück::N,lumturi,шчасце
264,Kummer::N,brengë,гора
265,Kummer::N,pikëllim,гора
266,Wunsch::N,dëshirë,жаданне
267,Lust::N,epsh,цяга
268,Lust::N,dashuri,цяга
269,Geist::N,frymë,дух
270,Geist::N,shpirt,дух
271,Gedanke::N,ide,думка
272,Gedanke::N,mendim,думка
273,Gedächtnis::N,kujtesë,памяць
274,Verstand::N,mend,розум
275,Sinn::N,kuptim,сэнс
276,Grund::N,arsye,зачэпка
277,Wahrheit::N,vërtetë,праўда
278,Gespräch::N,bisedim,размова
279,Märchen::N,përrallë,казка
280,Erzählung::N,tregim,расказ
281,Erzählung::N,tregim,апавяданне
282,Nachricht::N,lajm,вестка
283,Nachricht::N,lajm,паведамленне
284,Neuigkeit::N,risi,навіна
285,Name::N,emër,імя
286,Rätsel::N,gjëzë,загадка
287,Rätsel::N,gjëegjëzë,загадка
288,Rede::N,fjalim,прамова
289,Sprache::N,gjuhë,мова
290,Stimme::N,zë,голас
291,Wort::N,fjalë,слова
292,Zeichen::N,shenjë,знак
293,Ruf::N,thirrmë,кліч
294,Lärm::N,zhurmë,шум
295,Laut::N,tingull,гук
296,Ton::N,ton,гучанне
297,Lied::N,këngë,песня
298,Ruhe::N,qetësi,спакой
299,Leute::N,botë,людзі
300,Leute::N,njerëz,людзі
301,Volk::N,popull,народ
302,Arbeit::N,punë,праца
303,Arbeit::N,punë,работа
304,Gast::N,mik,госць
305,Gast::N,mysafir,госць
306,Geschenk::N,dhuratë,падарунак
307,Geschenk::N,peshqesh,падарунак
308,Spiel::N,lojë,гульня
309,Gesellschaft::N,shoqëri,таварыства
310,Hilfe::N,ndihmë,дапамога
311,Freund::N,mik,друг
312,Freund::N,mik,сябар
313,Kamerad::N,shok,прыяцель
314,Angelegenheit::N,punë,справа
315,Anzahl::N,sasi,колькасць
316,Art::N,lloj,від
317,Stück::N,copë,кусок
318,Stück::N,copë,кавалак
319,Teil::N,pjesë,частка
320,Hälfte::N,gjysmë,палова
321,Hälfte::N,gjysmë,палавіна
322,Kreis::N,qark,круг
323,Kreis::N,rreth,круг
324,Kreuz::N,kryq,крыж
325,Linie::N,vijë,лінія
326,Strich::N,vizë,рыса
327,Abstand::N,distancë,прамежак
328,Entfernung::N,largim,адлегласць
329,Gegend::N,vise,мясцовасць
330,Gegend::N,krahinë,мясцовасць
331,Platz::N,shesh,месца
332,Ort::N,vend,месца
333,Seite::N,anë,бок
334,Mitte::N,mes,сярэдзіна
335,Gegenstand::N,send,прадмет
336,Sache::N,gjë,рэч
337,Sache::N,send,рэч
338,Rand::N,qoshe,край
339,Kante::N,teh,руб
340,Kante::N,teh,кант
341,Ecke::N,qoshe,вугал
342,Spitze::N,majë,кончык
343,Ende::N,skaj,канец
344,Ende::N,bisht,канец
345,Loch::N,vrimë,дзірка
346,Winkel::N,kënd,вугал
347,Muster::N,mostër,узор
348,Größe::N,madhësi,памер
349,Länge::N,gjatësi,даўжыня
350,Höhe::N,lartësi,вышыня
351,Gewicht::N,peshë,вага
352,Menge::N,sasi,колькасць
353,Haufen::N,grumbull,куча
354,Reihe::N,radhë,рад
355,Reihe::N,rresht,рад
356,Boot::N,barkë,лодка
357,Boot::N,lundër,лодка
358,Ruder::N,rrem,вясло
359,Schlitten::N,sajë,сані
360,Ski::N,ski,лыжа
361,Lagerfeuer::N,flakadan,вогнішча
362,Lagerfeuer::N,zjarr i madh,вогнішча
363,Last::N,barrë,цяжар
364,Gang::N,ecje,ход
365,Schritt::N,hap,шаг
366,Schritt::N,hap,крок
367,Norden::N,veri,поўнач
368,Süden::N,jug,поўдзень
369,Westen::N,perëndim,захад
370,Osten::N,lindje,усход
371,Holz::N,dru,дрэва
372,Holz::N,dru,драўніна
373,Brett::N,dërrasë,дошка
374,Platte::N,pllakë,пліта
375,Stütze::N,shtyllë,падпорка
376,Stütze::N,mbështetesë,падпорка
377,Stange::N,shufër,жэрдка
378,Stock::N,dajak,палка
379,Stab::N,shkop,шост
380,Rohr::N,tub,труба
381,Haus::N,shtëpi,дом
382,Heim::N,konak,дом
383,Heim::N,konak,хата
384,Heim::N,shtëpi,дом
385,Heim::N,shtëpi,хата
386,Ofen::N,sobë,печ
387,Ofen::N,stufë,печ
388,Fußboden::N,dysheme,падлога
389,Tisch::N,tryezë,стол
390,Stuhl::N,karrige,стул
391,Stuhl::N,karrige,крэсла
392,Wiege::N,djep,калыска
393,Bett::N,shtrat,ложак
394,Bett::N,shtrat,пасцель
395,Regal::N,raft,паліца
396,Kiste::N,kuti,скрынка
397,Fenster::N,dritare,акно
398,Tür::N,derë,дзверы
399,Tor::N,portë,вароты
400,Zaun::N,gardh,агароджа
401,Dach::N,çati,дах
402,Leiter::N,shkallë,лесвіца
403,Besen::N,fshesë,мятла
404,Spaten::N,lopatë,лапата
405,Spaten::N,lopatë,жалязняк
406,Schaufel::N,qyrek,шуфлік
407,Schaufel::N,qyrek,лапатка
408,Gabel::N,pirun,відэлец
409,Löffel::N,lugë,лыжка
410,Messer::N,thikë,нож
411,Nagel::N,gozhdë,цвік
412,Netz::N,rrjetë,сетка
413,Haken::N,grep,крук
414,Haken::N,grremç,крук
415,Griff::N,dorak,ручка
416,Griff::N,dorezë,ручка
417,Schloss::N,bravë,замок
418,Bild::N,tablo,карціна
419,Bild::N,pikturë,карціна
420,Figur::N,figurë,фігура
421,Puppe::N,kukull,лялька
422,Beutel::N,qese,мяшок
423,Beutel::N,trastë,мяшок
424,Bündel::N,deng,вязка
425,Tasche::N,çantë,торба
426,Eimer::N,kovë,вядро
427,Deckel::N,kapak,накрыўка
428,Deckel::N,mbulesë,накрыўка
429,Geschirr::N,enë,пасуда
430,Sack::N,thes,мех
431,Sack::N,torbë,мех
432,Tasse::N,filxhan,кубак
433,Topf::N,kusi,каструля
434,Topf::N,tenxhere,каструля
435,Kessel::N,kazan,кацёл
436,Essen::N,ngrënie,ежа
437,Nahrung::N,ushqim,харч
438,Speise::N,gatesë,страва
439,Fleisch::N,mish,мяса
440,Getreide::N,drithë,збожжа
441,Brei::N,qull,каша
442,Brot::N,bukë,хлеб
443,Scheibe::N,fetë,луста
444,Scheibe::N,fetë,скібка
445,Fett::N,lyrë,тлушч
446,Fett::N,yndyrë,тлушч
447,Butter::N,gjalpë,масла
448,Öl::N,vaj,алей
449,Salz::N,kripë,соль
450,Suppe::N,supë,суп
451,Suppe::N,çorbë,суп
452,Honig::N,mjaltë,мёд
453,Milch::N,qumësht,малако
454,Tee::N,çaj,чай
455,Tee::N,çaj,гарбата
456,Leder::N,lëkurë,скура
457,Wolle::N,lesh,воўна
458,Stoff::N,pëlhurë,тканіна
459,Nadel::N,gjilpërë,іголка
460,Faden::N,pe,нітка
461,Faden::N,fije,нітка
462,Knopf::N,kopsë,гузік
463,Knoten::N,komb,вузел
464,Farbe::N,bojë,фарба
465,Kleidung::N,veshje,адзенне
466,Hemd::N,këmishë,кашуля
467,Kragen::N,jakë,каўнер
468,Ärmel::N,mëngë,рукаў
469,Hose::N,brekë,штаны
470,Gürtel::N,rrip,пояс
471,Mütze::N,kësulë,шапка
472,Schuh::N,këpucë,чаравік
473,Stiefel::N,çizme,бот
474,Ring::N,unazë,кольца
475,Band::N,shirit,стужка
476,Kamm::N,krehër,расчоска
477,Spiegel::N,pasqyrë,люстра
478,Riemen::N,rrip,рэмень
479,Schnur::N,litar,вяроўка
480,Schnur::N,cikomë,вяроўка
481,Leine::N,rrip,павадок
482,Decke::N,batanije,коўдра
483,Kissen::N,jastëk,падушка
484,Tuch::N,shami,хустка
485,Handtuch::N,peshqir,ручнік
486,Kraft::N,forcë,сіла
487,Stärke::N,koll,моц
488,Gesundheit::N,shëndet,здароўе
489,Krankheit::N,sëmundje,хвароба
490,Schmerz::N,dhimbje,боль
491,Wunde::N,plagë,рана
492,Fieber::N,ethe,гарачка
493,Fieber::N,ethe,ліхаманка
494,Arznei::N,ilaç,лекі
495,Brücke::N,urë,мост
496,Brunnen::N,pus,калодзеж
497,Weide::N,kullotë,паша
498,Pfad::N,ravë,сцежка
499,Pfad::N,shteg,сцежка
500,Weg::N,udhë,шлях
501,Weg::N,udhë,дарога
502,Weg::N,shteg,шлях
503,Weg::N,shteg,дарога
504,Straße::N,rrugë,вуліца
505,Dorf::N,fshat,вёска
506,Dorf::N,katund,вёска
507,Stadt::N,qytet,горад
508,Brief::N,letër,ліст
509,Brief::N,letër,пісьмо
510,Buch::N,libër,кніга
511,Buchstabe::N,shkronjë,літара
512,Zeitung::N,gazetë,газета
513,Leben::N,jetë,жыццё
514,Tod::N,mortje,смерць
515,Grab::N,varr,магіла
516,Kirche::N,kishë,касцёл
517,Kirche::N,kishë,царква
518,Sünde::N,mëkat,грэх
519,Sünde::N,gjynah,грэх
520,Gott::N,hy,бог
521,Gott::N,zot,бог
522,Arbeiter::N,punëtor,рабочы
523,Chef::N,shef,начальнік
524,Chef::N,drejtues,начальнік
525,Meister::N,mjeshtër,майстар
526,Arzt::N,mjek,урач
527,Arzt::N,doktor,урач
528,Lehrer::N,mësues,настаўнік
529,Lehrer::N,arsimtar,настаўнік
530,Geld::N,para,грошы
531,Geld::N,holla,грошы
532,Geschäft::N,ujdi,заняцце
533,Geschäft::N,biznes,заняцце
534,Laden::N,dyqan,крама
535,Laden::N,dyqan,магазін
536,Preis::N,çmim,цана
537,Ware::N,mall,тавар
538,Nutzen::N,dobi,выгада
539,Nutzen::N,leverdi,выгада
540,Reichtum::N,kamje,багацце
541,Reichtum::N,pasuri,багацце
542,Welt::N,botë,свет
543,Land::N,vend,краіна
544,Staat::N,shtet,дзяржава
545,König::N,mbret,кароль
546,Macht::N,fuqi,улада
547,Macht::N,pushtet,улада
548,Grenze::N,kufi,граніца
549,Krieg::N,luftë,вайна
550,Feind::N,armik,вораг
551,Gewalt::N,dhunë,насілле
552,Kampf::N,luftim,барацьба
553,Bogen[Waffe]::N,hark,лук
554,Pfeil::N,shigjetë,страла
555,Gewehr::N,pushkë,ружжо
556,Fehler::N,gafë,памылка
557,Fehler::N,gabim,памылка
558,Lüge::N,gënjeshtër,хлусня
559,Schaden::N,dëm,шкода
560,Schaden::N,zarar,шкода
561,Unglück::N,fatkeqësi,ліха
562,Unglück::N,fatkeqësi,бядота
563,Schuld::N,faj,віна
564,Alter::N,moshë,узрост
565,Schluss::N,fund,канец
566,Zeit::N,kohë,час
567,Tag::N,ditë,дзень
568,Morgen::N,mëngjes,ранак
569,Morgen::N,mëngjes,раніца
570,Mittag::N,mesditë,паўдня
571,Mittag::N,mesditë,поўдзень
572,Abend::N,mbrëmje,вечар
573,Nacht::N,natë,ноч
574,Woche::N,javë,тыдзень
575,Monat::N,muaj,месяц
576,Jahr::N,vit,год
577,Frühling::N,pranverë,вясна
578,Sommer::N,verë,лета
579,Herbst::N,vjeshtë,восень
580,Winter::N,dimër,зіма
581,Januar::N,janar,студзень
582,Februar::N,shkurt,люты
583,März::N,mars,сакавік
584,April::N,prill,красавік
585,Mai::N,maj,май
586,Mai::N,maj,травень
587,Juni::N,qershor,чэрвень
588,Juli::N,korrik,ліпень
589,August::N,gusht,жнівень
590,September::N,shtator,верасень
591,Oktober::N,tetor,кастрычнік
592,November::N,nëntor,лістапад
593,Dezember::N,dhjetor,снежань
594,Montag::N,hënë,панядзелак
595,Dienstag::N,martë,аўторак
596,Mittwoch::N,mërkurë,серада
597,Donnerstag::N,enjte,чацвер
598,Freitag::N,premte,пятніца
599,Samstag::N,shtunë,субота
600,Sonntag::N,diel,нядзеля
601,groß::A,madh,вялікі
602,klein::A,vogël,маленькі
603,lang::A,gjatë,доўгі
604,kurz::A,shkurtër,кароткі
605,breit::A,gjerë,шырокі
606,schmal::A,ngushtë,вузкі
607,dicht::A,dendur,густы
608,dick[Gegenstand]::A,trashë,тоўсты
609,dünn::A,hollë,тонкі
610,fein::A,imët,тонкі
611,fest::A,fortë,моцны
612,flach::A,sheshtë,плоскі
613,glatt::A,rrafshët,гладкі
614,hart::A,fortë,цвёрды
615,weich::A,butë,мяккі
616,rund::A,rrumbullakët,круглы
617,spitz::A,majëmprehtë,спічасты
618,spitz::A,majëmprehtë,востраканцовы
619,scharf::A,mprehtë,востры
620,stumpf::A,topitur,тупы
621,schwer::A,rëndë,цяжкі
622,schön::A,bukur,прыгожы
623,heiß::A,nxehtë,гарачы
624,warm::A,ngrohtë,цёплы
625,kalt::A,ftohtë,холадны
626,kühl::A,freskët,халаднаваты
627,frisch::A,pastër,свежы
628,feucht::A,lagësht,вільготны
629,nass::A,lagur,мокры
630,trocken::A,thatë,сухі
631,voll::A,plotë,поўны
632,leer::A,bosh,пусты
633,leer::A,zbrazët,пусты
634,offen::A,hapur,адкрыты
635,offen::A,hapur,адчынены
636,geschlossen::A,mbyllur,закрыты
637,geschlossen::A,mbyllur,зачынены
638,sauber::A,dëlirë,чысты
639,schmutzig::A,ndyrë,брудны
640,roh::A,gjallë,сыры
641,reif::A,arrirë,спелы
642,lecker::A,shijshëm,смачны
643,süß::A,ëmbël,салодкі
644,bitter::A,hidhur,горкі
645,sauer::A,thartë,кіслы
646,hell::A,me dritë,светлы
647,dunkel::A,errët,цёмны
648,schwarz::A,i zi,чорны
649,weiß::A,bardhë,белы
650,rot::A,kuq,чырвоны
651,gelb::A,verdhë,жоўты
652,blau::A,blu,сіні
653,blau::A,kaltër,сіні
654,grün::A,blertë,зялёны
655,grün::A,gjelbër,зялёны
656,grau::A,hirtë,шэры
657,grau::A,bojë hiri,шэры
658,bunt::A,shumëngjyrëshëm,пяресты
659,billig::A,lirë,танны
660,teuer::A,shtrenjtë,дарагі
661,wertvoll::A,çmuar,цэнны
662,wertvoll::A,çmuar,каштоўны
663,wertvoll::A,vlershëm,цэнны
664,wertvoll::A,vlershëm,каштоўны
665,blind::A,qorr,сляпы
666,blind::A,verbër,сляпы
667,taub::A,shurdhër,глухі
668,kräftig::A,fuqishëm,магутны
669,stark::A,fortë,сільны
670,schwach::A,dobët,слабы
671,fett::A,dhjamur,тлусты
672,schlank::A,hollë,стройны
673,hübsch::A,bukur,чароўны
674,hübsch::A,hijshëm,чароўны
675,böse::A,keq,злы
676,dumm::A,teveqel,дурны
677,faul::A,dembel,лянівы
678,fleißig::A,zellshëm,руплівы
679,geizig::A,kurnac,прагны
680,geizig::A,dorështrënguar,прагны
681,klug::A,mençur,разумны
682,geschickt::A,aftë,умелы
683,lieb::A,dashur,мілы
684,lustig::A,gëzuar,вясёлы
685,sanft::A,butë,ласкавы
686,hungrig::A,uritur,галодны
687,krank::A,sëmurë,хворы
688,nackt::A,lakuriq,голы
689,nackt::A,zhveshur,голы
690,traurig::A,trishtuar,сумны
691,lebendig::A,gjallë,жывы
692,gut::A,mirë,добры
693,schlecht::A,keq,кепскі
694,richtig::A,drejtë,правільны
695,schlimm::A,keq,агідны
696,wahr::A,vërtetë,сапраўдны
697,alt::A,vjetër,стары
698,neu::A,i ri,новы
699,ehemalig::A,dikurshëm,былы
700,alt[Lebewesen]::A,plak,стары
701,jung::A,i ri,малады
702,arm::A,varfër,бедны
703,arm::A,vobektë,бедны
704,reich::A,pasur,багаты
705,bekannt::A,njohur,знаёмы
706,berühmt::A,famshëm,славуты
707,fremd::A,huaj,чужы
708,verschieden::A,ndryshëm,розны
709,nah::A,afërt,блізкі
710,fern::A,largët,далёкі
711,linker::A,majtë,левы
712,rechter::A,djathtë,правы
713,anderer::A,tjetër,іншы
714,anderer::A,tjetër,другі
715,erster::A,parë,першы
716,zweiter::A,dytë,другі
717,dritter::A,i tretë,трэці
718,letzter::A,fundit,апошні
719,allein::ADV,vetëm,сам
720,allein::ADV,vetëm,адзін
721,auf einmal::ADV,njëkohësisht,адразу
722,zusammen::ADV,bashkë,разам
723,zusammen::ADV,së bashku,разам
724,lange::ADV,për një kohë të gjatë,доўга
725,plötzlich::ADV,befas,раптам
726,sofort::ADV,menjëherë,зараз
727,sofort::ADV,aty për aty,зараз
728,später::ADV,më vonë,пазней
729,jetzt::ADV,tash,цяпер
730,heute::ADV,sot,сёння
731,morgen::ADV,nesër,заўтра
732,bald::ADV,shpejt,хутка
733,bald::ADV,shpejt,неўзабаве
734,bald::ADV,së shpejti,хутка
735,bald::ADV,së shpejti,неўзабаве
736,dann::ADV,pastaj,потым
737,gestern::ADV,dje,учора
738,einst::ADV,dikur,аднойчы
739,damals::ADV,atëherë,тады
740,danach::ADV,mandej,затым
741,vorher::ADV,më parë,раней
742,zuerst::ADV,së pari,спярша
743,zuerst::ADV,së pari,спачатку
744,einmal::ADV,njëherë,адзін раз
745,manchmal::ADV,nganjëherë,часам
746,oft::ADV,shpesh,часта
747,immer::ADV,përherë,заўсёды
748,immer::ADV,gjithnjë,заўсёды
749,niemals::ADV,kurrë,ніколі
750,niemals::ADV,asnjëherë,ніколі
751,hier::ADV,këtu,тут
752,hierhin::ADV,knej,сюды
753,von hier::ADV,që këtej,адсюль
754,von hier::ADV,që këtej,адгэтуль
755,von hier::ADV,prej këtej,адсюль
756,von hier::ADV,prej këtej,адгэтуль
757,dort::ADV,aty,там
758,dort::ADV,atje,там
759,dorthin::ADV,anej,туды
760,geradeaus::ADV,drejt,прама
761,vorwärts::ADV,mbroth,наперад
762,vorwärts::ADV,përpara,наперад
763,rückwärts::ADV,mbrapsht,назад
764,zurück::ADV,prapa,назад
765,zurück::ADV,mbrapsht,назад
766,unten::ADV,poshtë,унізе
767,hinab::ADV,përposh,уніз
768,oben::ADV,lart,угары
769,oben::ADV,lart,наверсе
770,oben::ADV,sipër,угары
771,oben::ADV,sipër,наверсе
772,hinauf::ADV,lart,угару
773,hinauf::ADV,përpjetë,угару
774,überall::ADV,kudo,усюды
775,nicht::ADV,s',не
776,nicht::ADV,nuk,не
777,ein wenig::ADV,një tis,трошкі
778,kaum::ADV,mezi,ледзьве
779,sehr::ADV,fort,вельмі
780,sehr::ADV,shumë,вельмі
781,so::ADV,ashtu,так
782,so::ADV,kështu,так
783,noch::ADV,ende,яшчэ
784,noch::ADV,akoma,яшчэ
785,nur::ADV,vetëm,толькі
786,schon::ADV,tashmë,ужо
787,wieder::ADV,përsëri,зноў
788,vergebens::ADV,kot,дарма
789,vergebens::ADV,kot,дарэмна
790,vor::PRP,para,перад
791,hinter::PRP,prapa,за
792,hinter::PRP,prapa,ззаду
793,hinter::PRP,mbrapa,за
794,hinter::PRP,mbrapa,ззаду
795,unter::PRP,nën,пад
796,durch::PRP,nëpër,праз
797,neben::PRP,pranë,каля
798,neben::PRP,përbri,каля
799,zwischen::PRP,midis,між
800,zwischen::PRP,midis,паміж
801,zwischen::PRP,ndërmjet,між
802,zwischen::PRP,ndërmjet,паміж
803,wegen::PRP,për,з-за
804,dies::PRN,ky,гэта
805,das::PRN,ky,тое
