,Concept_ID,pt,mrj
72,Wasser::N,água,вӹд
73,Stein::N,pedra,кӱ
74,Boden::N,solo,рок
75,Erde::N,terra,свет
76,Staub::N,pó,пырак
77,Rauch::N,fumo,шӹкш
78,Funke::N,faísca,ип
79,Funke::N,faísca,тылип
80,Funke::N,centelha,ип
81,Funke::N,centelha,тылип
82,Feuer::N,fogo,тыл
83,Licht::N,luz,соты
84,Licht::N,luz,валгыды
85,Schatten::N,sombra,ӹмӹл
86,Wetter::N,tempo,игечӹ
87,Nebel::N,nevoeiro,тӹтӹрӓ
88,Wolke::N,nuvem,пӹл
89,Regen::N,chuva,юр
90,Schnee::N,neve,лым
91,Eis::N,gelo,и
92,Frost::N,gelo,ӱштӹ
93,Frost::N,geada,ӱштӹ
94,Kälte::N,frio,ӱштӹ
95,Hitze::N,ardor,шокшы
96,Raureif::N,geada,пöрш
97,Regenbogen::N,arco-iris,шанавӹл
98,Donner::N,trovão,хӹдӹртӹш
99,Strömung::N,corrente,йогы
100,Tropfen::N,gota,капльы
101,Tropfen::N,gota,капльык
102,Schaum::N,espuma,шонг
103,Schmutz::N,sujidade,лявӹрӓ
104,Schmutz::N,imundície,лявӹрӓ
105,See::N,lago,йӓр
106,Sumpf::N,charco,лӱкӹ
107,Sumpf::N,pântano,лӱкӹ
108,Moor::N,pântano,куп
109,Wiese::N,prado,алык
110,Wald::N,bosque,шӹргӹ
111,Wald::N,floresta,шӹргӹ
112,Hügel::N,colina,пӱгӹрикӓ
113,Anhöhe::N,alto,кӱкшикӓ
114,Anhöhe::N,outeiro,кӱкшикӓ
115,Berg::N,monte,кырык
116,Berg::N,montanha,кырык
117,Gipfel::N,pico,неркӓ
118,Höhle::N,caverna,ы́раж
119,Abhang::N,encosta,полом
120,Quelle::N,fonte,вӹдсӹнзӓ
121,Bach::N,regato,ӓнгӹр
122,Bach::N,ribeiro,ӓнгӹр
123,Fluss::N,rio,вӹд
124,Ufer::N,beira,сир
125,Küste::N,costa,сир
126,Festland::N,terra firme,мӱлӓндӹ
127,Meer::N,mar,тангыж
128,Bucht::N,baía,вӹдъял
129,Insel::N,ilha,острок
130,Blume::N,flor,пеледӹш
131,Gras::N,erva,шуды
132,Wurzel::N,raiz,важ
133,Baum::N,árvore,пушӓнгӹ
134,Stamm::N,tronco,пушӓнгӹ тӹнг
135,Rinde::N,casca,каргыж
136,Ast::N,ramo,укш
137,Zweig::N,galho,укш
138,Blatt::N,folha,листӹ
139,Birke::N,bétula,куги
140,Kiefer[Baum]::N,pinheiro,йӓктӹ
141,Weide[Baum]::N,salgueiro,уа
142,Tanne::N,abeto,кож
143,Horn::N,corno,шур
144,Horn::N,chifre,шур
145,Feder::N,pena,пын
146,Fell::N,pele,кавашты
147,Flügel::N,asa,шылдыр
148,Klaue::N,pata,кӹч
149,Kralle::N,unha,лапа
150,Kralle::N,garra,лапа
151,Schwanz::N,rabo,пач
152,Schwanz::N,cauda,пач
153,Ei::N,ovo,мыны
154,Nest::N,ninho,пӹжӓш
155,Bau::N,toca,ыраж
156,Bau::N,covil,ыраж
157,Tier::N,animal,во́льык
158,Herde::N,rebanho,кӹтö
159,Kuh::N,vaca,ышкал
160,Bulle::N,touro,ӱшкӱж
161,Pferd::N,cavalo,имни
162,Schaf::N,ovelha,шарык
163,Schwein::N,porco,сасна
164,Hund::N,cão,пи
165,Katze::N,gata,коти
166,Bär::N,urso,мöскӓ
167,Eichhörnchen::N,esquilo,ур
168,Elch::N,alce,шарды
169,Fuchs::N,raposa,рӹвӹж
170,Hase::N,lebre,морен
171,Maus::N,rato,каля
172,Wolf::N,lobo,пирӹ
173,Vogel::N,ave,кек
174,Vogel::N,pássaro,кек
175,Schwarm::N,bando,цуца
176,Schwarm::N,enxame,цуца
177,Huhn::N,galinha,цӹвӹ
178,Hahn::N,galo,ӓптӓн
179,Gans::N,ganso,комбы
180,Adler::N,águia,кучкыж
181,Ente::N,pata,лыды
182,Eule::N,mocho,тымана
183,Eule::N,coruja,тымана
184,Kranich::N,grou,тырня
185,Kranich::N,grou,тыртня
186,Krähe::N,gralha,лудыгарак
187,Kuckuck::N,cuco,куку
188,Schwan::N,cisne,йӱксӹ
189,Fisch::N,peixe,кол
190,Barsch::N,perca,алангы
191,Hecht::N,lúcio,нуж
192,Hecht::N,lúcio,нужгол
193,Schlange[Tier]::N,serpente,кӹшкы
194,Wurm::N,verme,шукш
195,Spinne::N,aranha,ӓнгӹремшӹ
196,Ameise::N,formiga,кыткы
197,Laus::N,piolho,ти
198,Mücke::N,mosquito,кужнер
199,Mücke::N,mosquito,кужынер
200,Fliege::N,mosca,шӹнгӓ
201,Schmetterling::N,borboleta,лӹпӹ
202,Beere::N,bago,мöр
203,Apfel::N,maçã,олма
204,Pilz::N,fungo,понгы
205,Pilz::N,cogumelo,понгы
206,Zwiebel::N,cebola,охыра
207,Saat::N,sementeira,нӱшмӹ
208,Saat::N,sementeira,нӱшмӱ
209,Korn::N,grão,пӹрцӹ
210,Heu::N,feno,шуды
211,Schale::N,casca,аваха
212,Schale::N,casca,карлангы
213,Grube::N,cova,йӓм
214,Grube::N,fossa,йӓм
215,Falle::N,armadilha,лӱдӹ
216,Falle::N,armadilha,лӱдӹш
217,Schlinge::N,laço,онгы
218,Spur::N,pista,кишӓ
219,Spur::N,vestígio,кишӓ
220,Asche::N,cinza,ломых
221,Asche::N,cinza,ломпыж
222,Dreck::N,sujidade,лявӹрӓ
223,Eisen::N,ferro,кӹртни
224,Gold::N,ouro,шöртни
225,Gold::N,ouro,шöртньӹ
226,Silber::N,prata,ши
227,Kohle::N,carvão,шӱ
228,Glas::N,vidro,охоница
229,Lehm::N,barro,шун
230,Lehm::N,argila,шун
231,Sand::N,areia,ошма
232,Mensch::N,homem,эдем
233,Mensch::N,pessoa,эдем
234,Mann::N,homem,пӱэргӹ
235,Frau::N,mulher,ӹдӹрӓмӓш
236,Kind::N,filho,ӓзӓ
237,Kind::N,filho,шачшы
238,Kind::N,criança,ӓзӓ
239,Kind::N,criança,шачшы
240,Junge::N,rapaz,рвезӹ
241,Junge::N,rapaz,ӹрвезӹ
242,Junge::N,menino,рвезӹ
243,Junge::N,menino,ӹрвезӹ
244,Mädchen::N,menina,ӹдӹрӓш
245,Mädchen::N,rapariga,ӹдӹрӓш
246,Familie::N,família,йиш
247,Familie::N,família,семня
248,Großvater::N,avô,тьоти
249,Großmutter::N,avó,папа
250,Eltern::N,pais,ӓтя-ӓвӓ
251,Vater::N,pai,ӓтя
252,Mutter::N,mãe,ӓвӓ
253,Sohn::N,filho,эргӹ
254,Tochter::N,filha,ӹдӹр
255,Bruder::N,irmão,ӹза
256,Schwester::N,irmã,ӓкӓ
257,Onkel::N,tio,кугуза
258,Tante::N,tia,куака
259,Ehemann::N,esposo,мары
260,Ehefrau::N,esposa,вӓтӹ
261,Freude::N,prazer,ӹвӹртӹмӓш
262,Freude::N,alegria,ӹвӹртӹмӓш
263,Gelächter::N,risada,ваштылмаш
264,Gelächter::N,gargalhada,ваштылмаш
265,Glück::N,felicidade,пиӓл
266,Kummer::N,aflição,ясы
267,Kummer::N,desgosto,ясы
268,Wunsch::N,desejo,охата
269,Wunsch::N,desejo,шанымаш
270,Lust::N,vontade,шӓр
271,Lust::N,vontade,охата
272,Lust::N,vontade,шанымаш
273,Geist::N,mente,тух
274,Geist::N,espírito,тух
275,Gedanke::N,ideia,шанымаш
276,Gedanke::N,pensamento,шанымаш
277,Gedächtnis::N,memória,ӓш
278,Verstand::N,razão,ыш
279,Verstand::N,inteligência,ыш
280,Sinn::N,sentido,кын
281,Sinn::N,significado,кын
282,Grund::N,causa,вир
283,Grund::N,motivo,вир
284,Wahrheit::N,verdade,тöр
285,Gespräch::N,conversa,хытырымаш
286,Gespräch::N,conversação,хытырымаш
287,Märchen::N,conto,ямак
288,Erzählung::N,conto,шайыштмаш
289,Erzählung::N,narrativa,шайыштмаш
290,Nachricht::N,mensagem,увертӓрӹмӓш
291,Neuigkeit::N,notícia,увер
292,Neuigkeit::N,novidade,увер
293,Name::N,nome,лӹм
294,Rätsel::N,adivinha,тышты
295,Rede::N,oração,шая
296,Rede::N,oração,шамак
297,Rede::N,discurso,шая
298,Rede::N,discurso,шамак
299,Sprache::N,língua,йӹлмӹ
300,Stimme::N,voz,юк
301,Wort::N,palavra,шамак
302,Zeichen::N,marca,палӹ
303,Ruf::N,grito,сӹгӹрӹмӓш
304,Ruf::N,chamada,сӹгӹрӹмӓш
305,Lärm::N,ruído,юкланымащ
306,Lärm::N,barulho,юкланымащ
307,Laut::N,som,юк
308,Ton::N,tom,юк
309,Lied::N,canção,мыры
310,Ruhe::N,calma,тыр
311,Ruhe::N,silêncio,тыр
312,Leute::N,gente,эдемвлӓ
313,Leute::N,pessoas,эдемвлӓ
314,Volk::N,povo,халык
315,Volk::N,nação,халык
316,Arbeit::N,trabalho,пӓшӓ
317,Gast::N,hóspede,хына
318,Gast::N,convidado,хына
319,Geschenk::N,prenda,подарка
320,Geschenk::N,presente,подарка
321,Spiel::N,jogo,мадыш
322,Gesellschaft::N,companhia,йӓл
323,Gesellschaft::N,companhia,йӓлвлӓ
324,Hilfe::N,ajuda,палшык
325,Hilfe::N,socorro,палшык
326,Freund::N,amigo,тӓнг
327,Kamerad::N,camarada,тос
328,Angelegenheit::N,assunto,дела
329,Angelegenheit::N,assunto,йела
330,Angelegenheit::N,assunto,йыла
331,Angelegenheit::N,assunto,пӓшӓ
332,Anzahl::N,número,шот
333,Anzahl::N,quantidade,шот
334,Art::N,tipo,цӹре
335,Art::N,espécie,цӹре
336,Stück::N,pedaço,лаштык
337,Teil::N,peça,пай
338,Teil::N,peça,часть
339,Teil::N,parte,пай
340,Teil::N,parte,часть
341,Hälfte::N,metade,пел
342,Kreis::N,círculo,тӹртӹш
343,Kreuz::N,cruz,крестӹ
344,Linie::N,linha,
345,Strich::N,traço,
346,Abstand::N,distância,ло
347,Entfernung::N,distância,ло
348,Gegend::N,área,вӓр
349,Gegend::N,região,вӓр
350,Platz::N,lugar,вӓр
351,Ort::N,sítio,вӓр
352,Seite::N,lado,öрдӹж
353,Mitte::N,meio,ло
354,Gegenstand::N,objecto,хӓдӹр
355,Sache::N,coisa,хӓдӹр
356,Rand::N,bordo,шöр
357,Rand::N,margem,шöр
358,Kante::N,borda,шöр
359,Kante::N,aresta,шöр
360,Ecke::N,esquina,лык
361,Spitze::N,ponta,вуй
362,Ende::N,cabo,вуй
363,Ende::N,cabo,мычаш
364,Ende::N,extremo,вуй
365,Ende::N,extremo,мычаш
366,Loch::N,furo,ыраж
367,Loch::N,buraco,ыраж
368,Winkel::N,canto,лык
369,Winkel::N,ângulo,лык
370,Muster::N,padrão,тӹрлец
371,Muster::N,desenho,тӹрлец
372,Größe::N,tamanho,кӱкшӹц
373,Länge::N,comprimento,кыт
374,Höhe::N,altura,кӱкшӹц
375,Höhe::N,altitude,кӱкшӹц
376,Gewicht::N,peso,нелӹц
377,Menge::N,quantidade,шот
378,Haufen::N,pilha,ара
379,Reihe::N,fila,ряд
380,Boot::N,barco,пыш
381,Ruder::N,remo,вешлӓ
382,Schlitten::N,trenó,тир
383,Ski::N,esqui,ечӹ
384,Lagerfeuer::N,fogueira,тыл
385,Last::N,carga,нелӹц
386,Gang::N,curso,ход
387,Gang::N,caminhada,ход
388,Schritt::N,passo,ашкыл
389,Norden::N,norte,йыдпелвел
390,Süden::N,sul,кечӹвӓлвел
391,Westen::N,oeste,кечӹ шӹцмӹ
392,Westen::N,ocidente,кечӹ шӹцмӹ
393,Osten::N,este,ирвел
394,Osten::N,este,кечӹ лӱлтмӹ
395,Osten::N,leste,ирвел
396,Osten::N,leste,кечӹ лӱлтмӹ
397,Osten::N,oriente,ирвел
398,Osten::N,oriente,кечӹ лӱлтмӹ
399,Holz::N,madeira,пушӓнгӹ
400,Brett::N,tábua,ханга
401,Brett::N,prancha,ханга
402,Platte::N,laje,плитӓ
403,Platte::N,chapa,плитӓ
404,Stütze::N,apoio,цӓрӓк
405,Stütze::N,suporte,цӓрӓк
406,Stange::N,vara,равы
407,Stange::N,vara,намаш
408,Stange::N,barra,равы
409,Stange::N,barra,намаш
410,Stock::N,pau,панды
411,Stock::N,bengala,панды
412,Stab::N,bastão,равы
413,Rohr::N,cano,пыч
414,Haus::N,casa,пöрт
415,Heim::N,lar,пöрт
416,Heim::N,casa,пöрт
417,Ofen::N,estufa,камака
418,Ofen::N,aquecedor,камака
419,Fußboden::N,piso,седӹрӓ
420,Tisch::N,mesa,стöл
421,Stuhl::N,cadeira,пöкен
422,Wiege::N,berço,шипкӓ
423,Bett::N,cama,койка
424,Bett::N,cama,кравать
425,Regal::N,estante,полицӓ
426,Regal::N,prateleira,полицӓ
427,Kiste::N,caixa,шӱ́ндӹк
428,Fenster::N,janela,окня
429,Tür::N,porta,амаса
430,Tor::N,portão,хапка
431,Zaun::N,cerca,забор
432,Zaun::N,vedação,забор
433,Dach::N,telhado,левӓш
434,Leiter::N,escada,ташкалтыш
435,Leiter::N,escada móvel,ташкалтыш
436,Besen::N,vassoura,сало
437,Besen::N,vassoura,салко
438,Spaten::N,pá,кольмы
439,Schaufel::N,pá,лоток
440,Gabel::N,garfo,ви́лка
441,Löffel::N,colher,савала
442,Messer::N,faca,кӹзӹ
443,Nagel::N,cravo,пыда
444,Netz::N,rede,вӓпш
445,Haken::N,gancho,крӱк
446,Haken::N,gancho,кагак
447,Griff::N,asa,кычем
448,Griff::N,cabo,кычем
449,Schloss::N,fechadura,замок
450,Schloss::N,fechadura,сыравач
451,Bild::N,imagem,картин
452,Figur::N,figura,кӓн
453,Puppe::N,boneca,поханя
454,Beutel::N,saco,мешӓк
455,Beutel::N,bolsa,мешӓк
456,Bündel::N,fardo,топ
457,Bündel::N,fardo,пидӹш
458,Bündel::N,fardo,кӹлдӹш
459,Tasche::N,saco,сумкы
460,Tasche::N,bolso,сумкы
461,Eimer::N,balde,ведӹрӓ
462,Deckel::N,tampa,комдыш
463,Geschirr::N,louça,ӓтӹ
464,Sack::N,saca,мешӓк
465,Tasse::N,chávena,цӓшкӓ
466,Topf::N,tacho,ми́ска
467,Topf::N,panela,ми́ска
468,Kessel::N,caldeira,пад
469,Essen::N,refeição,качкыш
470,Essen::N,refeição,качкыш-йӱш
471,Nahrung::N,comida,качкыш
472,Nahrung::N,comida,качкыш-йӱш
473,Nahrung::N,alimento,качкыш
474,Nahrung::N,alimento,качкыш-йӱш
475,Speise::N,prato,няня
476,Fleisch::N,carne,пай
477,Getreide::N,cereais,киндӹ
478,Brei::N,puré,шӹрӓш
479,Brot::N,pão,сыкыр
480,Scheibe::N,fatia,ламыт
481,Scheibe::N,fatia,лаштык
482,Fett::N,banha,кая
483,Fett::N,gordura,кая
484,Butter::N,manteiga,ӱ
485,Öl::N,azeite,ӱ
486,Salz::N,sal,санзал
487,Suppe::N,sopa,лем
488,Suppe::N,caldo,лем
489,Honig::N,mel,мӱ
490,Milch::N,leite,шӹшер
491,Tee::N,chá,чӓй
492,Leder::N,couro,шарга
493,Leder::N,couro,кавашты
494,Wolle::N,lã,миж
495,Stoff::N,pano,матер
496,Stoff::N,pano,матери
497,Stoff::N,tecido,матер
498,Stoff::N,tecido,матери
499,Nadel::N,agulha,им
500,Faden::N,fio,шӹртӹ
501,Knopf::N,botão,полдыш
502,Knoten::N,nó,пӱкшем
503,Farbe::N,corante,чиӓ
504,Farbe::N,corante,крӓскӓ
505,Kleidung::N,roupa,выргем
506,Kleidung::N,vestuário,выргем
507,Hemd::N,camisa,тыгыр
508,Kragen::N,gola,шӱ
509,Ärmel::N,manga,шокш
510,Hose::N,calça,ялаш
511,Gürtel::N,cinto,ӹштӹ
512,Mütze::N,boné,упш
513,Mütze::N,barrete,упш
514,Schuh::N,sapato,ту́фльы
515,Stiefel::N,bota,кем
516,Ring::N,anel,шӓргӓш
517,Band::N,fita,лемтӓ
518,Band::N,faixa,лемтӓ
519,Kamm::N,pente,шерге
520,Spiegel::N,espelho,тӹгӹр
521,Riemen::N,correia,прӓжӓ
522,Schnur::N,corda,кӓндӹра
523,Schnur::N,cordel,кӓндӹра
524,Leine::N,trela,керем
525,Decke::N,cobertor,одеял
526,Kissen::N,almofada,кӹпцӹк
527,Tuch::N,pano,савыц
528,Handtuch::N,toalha,шӹргӹсавыц
529,Handtuch::N,toalha,шӹргӹмсавыц
530,Kraft::N,força,ви
531,Stärke::N,força,ви
532,Gesundheit::N,saúde,шу
533,Gesundheit::N,saúde,шулык
534,Krankheit::N,doença,мыж
535,Krankheit::N,enfermidade,мыж
536,Schmerz::N,dor,карштыш
537,Wunde::N,chaga,шушыр
538,Wunde::N,ferida,шушыр
539,Fieber::N,febre,ӱштӹмыж
540,Arznei::N,remédio,лекӓрцӹ
541,Brücke::N,ponte,кӹвер
542,Brunnen::N,poço,вӹдсӹнзӓ
543,Weide::N,pastagem,ныр
544,Pfad::N,senda,ялгорны
545,Pfad::N,trilho,ялгорны
546,Weg::N,caminho,корны
547,Straße::N,via,корны
548,Straße::N,estrada,корны
549,Dorf::N,aldeia,сола
550,Stadt::N,cidade,города
551,Brief::N,carta,сирмӓш
552,Buch::N,livro,книгӓ
553,Buchstabe::N,letra,буква́
554,Zeitung::N,jornal,газет
555,Zeitung::N,jornal,кайзет
556,Leben::N,vida,житя
557,Tod::N,morte,смöрт
558,Grab::N,túmulo,шӹгер
559,Grab::N,túmulo,мыгилӓ
560,Grab::N,túmulo,шӹгерлӓ
561,Grab::N,sepultura,шӹгер
562,Grab::N,sepultura,мыгилӓ
563,Grab::N,sepultura,шӹгерлӓ
564,Kirche::N,igreja,церкӹ
565,Sünde::N,pecado,сулык
566,Gott::N,deus,йымы
567,Arbeiter::N,operário,пӓшӓзӹ
568,Arbeiter::N,trabalhador,пӓшӓзӹ
569,Chef::N,chefe,вуй
570,Chef::N,patrão,вуй
571,Meister::N,mestre,мастар
572,Arzt::N,médico,доктор
573,Lehrer::N,professor,тымдышы
574,Geld::N,dinheiro,окса
575,Geschäft::N,negócio,торге́йӹмӓш
576,Laden::N,loja,лапка
577,Laden::N,loja,магазин
578,Preis::N,preço,ӓк
579,Ware::N,mercadoria,товар
580,Nutzen::N,proveito,пайда
581,Reichtum::N,riqueza,перке
582,Welt::N,mundo,сӓндӓлӹк
583,Welt::N,mundo,свет
584,Land::N,país,сӓндӓлӹк
585,Staat::N,Estado,кугижӓншӹ
586,König::N,rei,король
587,Macht::N,poder,власть
588,Macht::N,potência,власть
589,Grenze::N,fronteira,пӹсмӓн
590,Krieg::N,guerra,вырсы
591,Feind::N,inimigo,тышман
592,Gewalt::N,violência,ви
593,Kampf::N,luta,кредӓлмӓш
594,Kampf::N,combate,кредӓлмӓш
595,Bogen[Waffe]::N,arco,янгеж
596,Pfeil::N,seta,пикш
597,Pfeil::N,flecha,пикш
598,Gewehr::N,espingarda,пичӓл
599,Fehler::N,erro,самынь
600,Fehler::N,falha,самынь
601,Lüge::N,mentira,шая
602,Schaden::N,dano,вре́дӓ
603,Schaden::N,estrago,вре́дӓ
604,Unglück::N,desgraça,пёда
605,Unglück::N,desgraça,тымаша
606,Schuld::N,culpa,вуйнамат
607,Alter::N,idade,иӓш
608,Alter::N,idade,игечӹ
609,Schluss::N,fim,пӹтӓртӹш
610,Zeit::N,tempo,веремӓ
611,Tag::N,dia,кечӹ
612,Morgen::N,manhã,ир
613,Morgen::N,manhã,ирок
614,Mittag::N,meio-dia,кечӹвӓл
615,Abend::N,noite,вады
616,Abend::N,tardinha,вады
617,Nacht::N,noite,йыд
618,Woche::N,semana,ӓрня
619,Monat::N,mês,тӹ́лзӹ
620,Jahr::N,ano,год
621,Frühling::N,primavera,шошым
622,Sommer::N,verão,кӓнгӹж
623,Herbst::N,outono,шӹжӹ
624,Winter::N,inverno,тел
625,Winter::N,inverno,телӹ
626,Januar::N,Janeiro,январ
627,Januar::N,Janeiro,январь
628,Februar::N,Fevereiro,февраль
629,März::N,Março,март
630,April::N,Abril,апрель
631,Mai::N,Maio,май
632,Juni::N,Junho,июнь
633,Juli::N,Julho,июль
634,August::N,Agosto,август
635,September::N,Setembro,сентябрь
636,Oktober::N,Outubro,октябрь
637,November::N,Novembro,ноябрь
638,Dezember::N,Dezembro,декавыр
639,Montag::N,segunda-feira,шачмы
640,Dienstag::N,terça-feira,кышкыжмы
641,Mittwoch::N,quarta-feira,вӹрчегӹ
642,Donnerstag::N,quinta-feira,изӓрня
643,Freitag::N,sexta-feira,когарня
644,Samstag::N,sábado,кукшыгечӹ
645,Sonntag::N,domingo,рушӓрня
646,groß::A,grande,кого
647,klein::A,pequeno,изи
648,lang::A,comprido,кужы
649,kurz::A,curto,кӹтӹк
650,breit::A,largo,кымда
651,schmal::A,estreito,ӓнгӹсӹр
652,dicht::A,denso,шӹре
653,dick[Gegenstand]::A,grosso,кӹжгӹ
654,dünn::A,delgado,вӹцкӹж
655,fein::A,fino,пыльга
656,fein::A,subtil,пыльга
657,fest::A,firme,цаткыды
658,fest::A,sólido,цаткыды
659,flach::A,plano,тӓлякӓ
660,glatt::A,liso,ягылгы
661,hart::A,duro,пингӹдӹ
662,weich::A,mole,пышкыды
663,rund::A,redondo,тӹртӹш
664,spitz::A,agudo,кашар
665,scharf::A,afiado,кашар
666,stumpf::A,rombo,нӹшкӹ
667,schwer::A,pesado,нелӹ
668,schön::A,belo,цевер
669,schön::A,belo,олмыдшы
670,schön::A,bonito,цевер
671,schön::A,bonito,олмыдшы
672,heiß::A,quente,шокшы
673,warm::A,quente,шокшы
674,kalt::A,frio,ӱштӹ
675,kühl::A,fresco,юалгы
676,kühl::A,fresco,йонгата
677,frisch::A,fresco,йонгата
678,feucht::A,húmido,ӹлӹкшӹ
679,feucht::A,húmido,вӹдӹжгӹ
680,nass::A,molhado,начкы
681,trocken::A,seco,кукшы
682,voll::A,cheio,темшӹ
683,voll::A,cheio,темыман
684,leer::A,vazio,йӓрӓ
685,offen::A,aberto,виш
686,geschlossen::A,fechado,чӱчмӹ
687,geschlossen::A,fechado,тӹкӹлӓлтшӹ
688,sauber::A,limpo,ире
689,schmutzig::A,sujo,шоран
690,schmutzig::A,sujo,лявӹрӓн
691,schmutzig::A,sujo,шорангшы
692,roh::A,cru,пеле кӱшӹ
693,reif::A,maduro,кӱшӹ
694,lecker::A,delicioso,тотан
695,süß::A,doce,мӱӓн
696,bitter::A,amargo,качы
697,sauer::A,azedo,шапы
698,hell::A,claro,соты
699,hell::A,claro,валгыды
700,dunkel::A,escuro,пӹц
701,dunkel::A,escuro,пӹцкемӹш
702,dunkel::A,sombrio,пӹц
703,dunkel::A,sombrio,пӹцкемӹш
704,schwarz::A,preto,шим
705,weiß::A,branco,ош
706,weiß::A,branco,ошы
707,rot::A,vermelho,якшаргы
708,gelb::A,amarelo,сар
709,gelb::A,amarelo,сары
710,blau::A,azul,симсӹ
711,grün::A,verde,ыжар
712,grau::A,cinzento,луды
713,bunt::A,colorido,ала
714,billig::A,barato,шулдаш
715,teuer::A,caro,шергӹ
716,teuer::A,caro,шергӓкӓн
717,wertvoll::A,valioso,ӓкӓн
718,wertvoll::A,precioso,ӓкӓн
719,blind::A,cego,слöпöй
720,blind::A,cego,сльöпöй
721,taub::A,surdo,тӱтӱк
722,kräftig::A,forte,виӓн
723,kräftig::A,poderoso,виӓн
724,stark::A,forte,виӓн
725,stark::A,robusto,виӓн
726,schwach::A,débil,шава
727,schwach::A,débil,лӹпкӓ
728,schwach::A,débil,слабка
729,fett::A,gordo,таза
730,schlank::A,esbelto,яштака
731,hübsch::A,giro,сӹлнӹ
732,hübsch::A,giro,олмыдшы
733,hübsch::A,bonito,сӹлнӹ
734,hübsch::A,bonito,олмыдшы
735,böse::A,mau,шӹдӓн
736,dumm::A,parvo,окмак
737,dumm::A,estúpido,окмак
738,faul::A,preguiçoso,ялахай
739,fleißig::A,aplicado,пӓшам яратышы
740,fleißig::A,diligente,пӓшам яратышы
741,geizig::A,avarento,шык
742,klug::A,prudente,ышан
743,klug::A,inteligente,ышан
744,geschickt::A,hábil,мастар
745,lieb::A,caro,тыри
746,lieb::A,querido,тыри
747,lustig::A,alegre,мындыр
748,lustig::A,alegre,сусу
749,sanft::A,suave,йӹвӹжӓ
750,sanft::A,brando,йӹвӹжӓ
751,hungrig::A,faminto,шужышы
752,krank::A,doente,церлӹ
753,krank::A,doente,хворой
754,krank::A,enfermo,церлӹ
755,krank::A,enfermo,хворой
756,nackt::A,nu,цӓрӓ
757,nackt::A,despido,цӓрӓ
758,traurig::A,triste,сы́лыкан
759,traurig::A,triste,кымы́лдымы
760,lebendig::A,vivo,живой
761,gut::A,bom,яжо
762,schlecht::A,mau,уда
763,schlecht::A,mau,худа
764,schlecht::A,ruim,уда
765,schlecht::A,ruim,худа
766,richtig::A,justo,вургамла
767,richtig::A,correcto,вургамла
768,schlimm::A,mau,йӹрнык
769,schlimm::A,grave,йӹрнык
770,wahr::A,verdadeiro,настоящий
771,wahr::A,verdadeiro,настояшый
772,alt::A,velho,шонгы
773,alt::A,antigo,шонгы
774,neu::A,novo,у
