,Concept_ID,la,cv
62,Sonne::N,sol,хӗвел
63,Mond::N,luna,уйӑх
64,Stern::N,sidus,ҫӑлтӑр
65,Stern::N,stella,ҫӑлтӑр
66,Luft::N,aer,сывлӑш
67,Wind::N,ventus,ҫил
68,Welle::N,unda,хум
69,Wasser::N,aqua,шыв
70,Wasser::N,aqua,шыв-шур
71,Stein::N,lapis,чул
72,Boden::N,solum,тӑпра
73,Erde::N,terra,ҫӗр
74,Staub::N,pulvis,тусан
75,Rauch::N,fumus,тӗтӗм
76,Funke::N,scintilla,хӗм
77,Feuer::N,ignis,вут
78,Feuer::N,ignis,ҫулӑм
79,Licht::N,lux,ҫутӑ
80,Licht::N,lumen,ҫутӑ
81,Schatten::N,umbra,сулхӑн
82,Wetter::N,caelum,ҫанталӑк
83,Wetter::N,tempestas,ҫанталӑк
84,Nebel::N,nebula,тӗтре
85,Wolke::N,nubes,пӗлӗт
86,Regen::N,imber,ҫумӑр
87,Regen::N,pluvia,ҫумӑр
88,Schnee::N,nix,юр
89,Eis::N,glacies,пӑр
90,Frost::N,gelu,сивӗ
91,Kälte::N,frigus,сивӗ
92,Hitze::N,calor,вӗри
93,Hitze::N,calor,шӑрӑх
94,Hitze::N,aestus,вӗри
95,Hitze::N,aestus,шӑрӑх
96,Raureif::N,pruina,пас
97,Regenbogen::N,arcus,асамат кӗперӗ
98,Donner::N,tonitrus,аслати
99,Strömung::N,fluctus,юхӑ
100,Tropfen::N,gutta,тумлам
101,Schaum::N,spuma,кӑпӑк
102,Schmutz::N,sordes,пылчӑк
103,Schmutz::N,squalor,пылчӑк
104,See::N,lacus,кӳлӗ
105,Sumpf::N,palus,шур
106,Sumpf::N,palus,шурлӑх
107,Moor::N,palus,торфлӑ шурлӑх
108,Wiese::N,pratum,улӑх
109,Wiese::N,pratum,ҫаран
110,Wald::N,silva,вӑрман
111,Hügel::N,collis,сӑрт
112,Hügel::N,collis,тӗмеске
113,Anhöhe::N,specula,сӑрт
114,Berg::N,mons,ту
115,Gipfel::N,vertex,тӳпе
116,Höhle::N,caverna,ҫӗр хӑвӑлӗ
117,Höhle::N,spelunca,ҫӗр хӑвӑлӗ
118,Abhang::N,declivum,тӑвайкки
119,Quelle::N,fons,ҫӑл куҫ
120,Bach::N,rivus,пӗчӗк шыв
121,Fluss::N,flumen,юхан шыв
122,Ufer::N,ripa,ҫыран
123,Küste::N,litus,тинӗс ҫыранӗ
124,Festland::N,continens,тип ҫӗр
125,Meer::N,mare,тинӗс
126,Bucht::N,sinus,тинӗс кукӑрӗ
127,Insel::N,insula,утрав
128,Blume::N,flos,чечек
129,Gras::N,herba,курӑк
130,Gras::N,gramen,курӑк
131,Wurzel::N,radix,тымар
132,Baum::N,arbor,йывӑҫ
133,Stamm::N,truncus,вулӑ
134,Rinde::N,cortex,хуйӑр
135,Ast::N,ramus,турат
136,Zweig::N,ramus,турат
137,Blatt::N,folium,ҫулҫӑ
138,Birke::N,betulla,хурӑн
139,Kiefer[Baum]::N,pinus,хыр
140,Weide[Baum]::N,salix,хӑва
141,Tanne::N,abies,чӑрӑш
142,Horn::N,cornu,мӑйрака
143,Feder::N,penna,тӗк
144,Fell::N,pellis,ҫӑм
145,Flügel::N,ala,ҫунат
146,Klaue::N,unguis,чӗрне
147,Kralle::N,unguis,ура
148,Schwanz::N,cauda,хӳре
149,Ei::N,ovum,ҫӑмарта
150,Nest::N,nidus,йӑва
151,Bau::N,cavum,йӗнӗ
152,Bau::N,latibulum,йӗнӗ
153,Tier::N,bestia,выльӑх
154,Herde::N,grex,кӗтӳ
155,Kuh::N,vacca,ӗне
156,Bulle::N,taurus,вӑкӑр
157,Pferd::N,equus,лаша
158,Schaf::N,ovis,сурӑх
159,Schwein::N,sus,сысна
160,Schwein::N,porcus,сысна
161,Hund::N,canis,йытӑ
162,Katze::N,felis,кушак
163,Bär::N,ursus,упа
164,Eichhörnchen::N,sciurus,пакша
165,Elch::N,alces,пӑши
166,Fuchs::N,vulpes,тилӗ
167,Hase::N,lepus,куян
168,Hase::N,lepus,мулкач
169,Maus::N,mus,шӑши
170,Wolf::N,lupus,кашкӑр
171,Vogel::N,avis,кайӑк
172,Vogel::N,avis,вӗҫен кайӑк
173,Schwarm::N,examen,ушкӑн
174,Huhn::N,gallina,чӑх
175,Huhn::N,gallina,чӑхӑ
176,Hahn::N,gallus,автан
177,Gans::N,anser,хур
178,Adler::N,aquila,ӑмӑрт кайӑк
179,Ente::N,anas,кӑвакал
180,Eule::N,ulula,тӑмана
181,Eule::N,noctua,тӑмана
182,Kranich::N,grus,тӑрна
183,Krähe::N,cornix,ула курак
184,Kuckuck::N,cuculus,куккук
185,Schwan::N,olor,акӑш
186,Schwan::N,cycnus,акӑш
187,Fisch::N,piscis,пулӑ
188,Barsch::N,perca,уланкӑ
189,Hecht::N,esox,ҫӑрттан
190,Schlange[Tier]::N,serpens,ҫӗлен
191,Wurm::N,vermis,ӑман
192,Spinne::N,aranea,эрешмен
193,Ameise::N,formica,кӑткӑ
194,Laus::N,pediculus,пыйтӑ
195,Mücke::N,culex,вӑрӑм туна
196,Fliege::N,musca,шӑна
197,Schmetterling::N,papilio,лӗпӗш
198,Beere::N,baca,ҫырла
199,Apfel::N,malum,улма
200,Apfel::N,malum,пан улми
201,Pilz::N,fungus,кӑмпа
202,Zwiebel::N,cepa,сухан
203,Saat::N,seges,вӑрӑ
204,Korn::N,granum,тӗшӗ
205,Korn::N,granum,пӗрчӗ
206,Heu::N,faenum,утӑ
207,Schale::N,putamen,хупӑ
208,Grube::N,fovea,шӑтӑк
209,Falle::N,pedica,тапӑ
210,Falle::N,pedica,капкӑн
211,Schlinge::N,laqueus,йӑлӑ
212,Spur::N,vestigium,йӗр
213,Asche::N,cinis,кӗл
214,Dreck::N,lutum,пылчӑк
215,Eisen::N,ferrum,тимӗр
216,Gold::N,aurum,ылтӑн
217,Silber::N,argentum,кӗмӗл
218,Kohle::N,carbo,кӑмрӑк
219,Glas::N,vitrum,кӗленче
220,Lehm::N,lutum,тӑм
221,Sand::N,arena,хӑйӑр
222,Mensch::N,homo,ҫын
223,Mensch::N,homo,этем
224,Mann::N,vir,ар
225,Frau::N,mulier,хӗрарӑм
226,Kind::N,puer,ача
227,Kind::N,infans,ача
228,Junge::N,puer,ача
229,Junge::N,puer,ар ҫын ача
230,Mädchen::N,puella,хӗр ача
231,Familie::N,familia,ҫемье
232,Familie::N,familia,кил-йыш
233,Großvater::N,avus,кукаҫи
234,Großmutter::N,avia,кукамай
235,Eltern::N,parentes,аҫа-ама
236,Vater::N,pater,атте
237,Mutter::N,mater,анне
238,Sohn::N,filius,ывӑл
239,Tochter::N,filia,хӗр
240,Bruder::N,frater,ар тӑван
241,Schwester::N,soror,аппа
242,Schwester::N,soror,йӑмӑк
243,Onkel::N,patruus,мучи
244,Onkel::N,patruus,пичче
245,Onkel::N,avunculus,мучи
246,Onkel::N,avunculus,пичче
247,Tante::N,amita,аппа
248,Ehemann::N,maritus,упӑшка
249,Ehefrau::N,uxor,арӑм
250,Freude::N,gaudium,савӑнӑҫ
251,Freude::N,gaudium,хаваслӑх
252,Freude::N,laetitia,савӑнӑҫ
253,Freude::N,laetitia,хаваслӑх
254,Gelächter::N,risus,кулӑ
255,Glück::N,felicitas,телей
256,Glück::N,felicitas,ӑраскал
257,Kummer::N,aegritudo,хурлӑх
258,Wunsch::N,voluntas,ӗмӗт
259,Wunsch::N,voluntas,кӑмӑл
260,Wunsch::N,desiderium,ӗмӗт
261,Wunsch::N,desiderium,кӑмӑл
262,Lust::N,libido,кӑмӑл
263,Lust::N,voluptas,кӑмӑл
264,Geist::N,mens,чун-чӗм
265,Geist::N,mens,ыр-усал
266,Geist::N,mens,чун хавалӗ
267,Geist::N,animus,чун-чӗм
268,Geist::N,animus,ыр-усал
269,Geist::N,animus,чун хавалӗ
270,Gedanke::N,sententia,шухӑш
271,Gedächtnis::N,memoria,ас
272,Verstand::N,ratio,ӑс
273,Verstand::N,ratio,ӑс-тӑн
274,Verstand::N,ratio,ӑс-хакӑл
275,Verstand::N,ingenium,ӑс
276,Verstand::N,ingenium,ӑс-тӑн
277,Verstand::N,ingenium,ӑс-хакӑл
278,Sinn::N,sensus,тупсӑм
279,Sinn::N,sensus,пӗлтерӗш
280,Grund::N,causa,сӑлтав
281,Wahrheit::N,veritas,чӑнлӑх
282,Gespräch::N,sermo,калаҫу
283,Märchen::N,fabula,юмах
284,Erzählung::N,fabula,акалав
285,Erzählung::N,fabula,каласа пани
286,Erzählung::N,narratio,акалав
287,Erzählung::N,narratio,каласа пани
288,Nachricht::N,nuntius,хыпар
289,Neuigkeit::N,novitas,ҫӗнӗ хыпар
290,Name::N,nomen,ят
291,Rätsel::N,aenigma,сутмалли юмах
292,Rede::N,oratio,сӑмах
293,Sprache::N,lingua,чӗлхе
294,Stimme::N,vox,сасӑ
295,Wort::N,verbum,сӑмах
296,Wort::N,vocabulum,сӑмах
297,Zeichen::N,signum,паллӑ
298,Ruf::N,clamor,йыхрав
299,Ruf::N,clamor,чӗнӳ
300,Lärm::N,strepitus,шав
301,Laut::N,sonus,сасӑ
302,Ton::N,sonus,сасӑ
303,Lied::N,carmen,юрӑ
304,Ruhe::N,quies,канӑҫлӑх
305,Ruhe::N,quies,лӑпкӑлӑх
306,Leute::N,homines,ҫамрӑксем
307,Leute::N,homines,ҫамрӑк ҫынсем
308,Volk::N,populus,халӑх
309,Arbeit::N,labor,ӗҫхӗл
310,Arbeit::N,labor,ӗҫлев
311,Gast::N,hospes,хӑна
312,Gast::N,conviva,хӑна
313,Geschenk::N,munus,парне
314,Geschenk::N,munus,кучченеҫ
315,Spiel::N,ludus,вӑйӑ
316,Gesellschaft::N,societas,общество
317,Hilfe::N,auxilium,пулӑшу
318,Hilfe::N,subsidium,пулӑшу
319,Freund::N,amicus,тус
320,Kamerad::N,socius,юлташ
321,Kamerad::N,socius,тус
322,Angelegenheit::N,res,ӗҫ
323,Anzahl::N,numerus,йыш
324,Anzahl::N,numerus,хисеп
325,Art::N,genus,тӗс
326,Stück::N,frustum,татӑк
327,Stück::N,fragmentum,татӑк
328,Teil::N,pars,пай
329,Hälfte::N,dimidium,ҫурӑ
330,Kreis::N,orbis,ункӑ
331,Kreis::N,orbis,ҫавракӑш
332,Kreis::N,circus,ункӑ
333,Kreis::N,circus,ҫавракӑш
334,Kreuz::N,crux,хӗрес
335,Linie::N,linea,йӗр
336,Strich::N,lineamentum,йӗр
337,Abstand::N,intervallum,хушӑ
338,Entfernung::N,spatium,хушӑ
339,Gegend::N,loca,вырӑн
340,Gegend::N,regio,вырӑн
341,Platz::N,locus,хутлӑх
342,Ort::N,locus,вырӑн
343,Seite::N,latus,ен
344,Seite::N,latus,аяк
345,Seite::N,latus,айӑк
346,Mitte::N,medium,варӑ
347,Gegenstand::N,res,япала
348,Sache::N,res,япала
349,Rand::N,margo,вӗҫ
350,Rand::N,margo,хӗрӗ
351,Rand::N,margo,хӗрри
352,Kante::N,angulus,хайкача
353,Kante::N,angulus,хысак
354,Ecke::N,angulus,кӗтес
355,Spitze::N,cacumen,вӗҫ
356,Ende::N,caput,вӗҫ
357,Loch::N,foramen,шӑтӑк
358,Winkel::N,angulus,кӗтес
359,Muster::N,exemplum,эреш
360,Größe::N,magnitudo,пысӑкӑш
361,Länge::N,longitudo,вӑрӑмӑш
362,Höhe::N,altitudo,ҫӳллӗш
363,Gewicht::N,pondus,виҫе
364,Gewicht::N,pondus,йывӑрӑш
365,Menge::N,copia,йыш
366,Haufen::N,acervus,купа
367,Reihe::N,ordo,рет
368,Boot::N,navicula,кимӗ
369,Ruder::N,remus,кӗсмен
370,Schlitten::N,sclodia,ҫуна
371,Ski::N,narta,йӗлтӗр
372,Lagerfeuer::N,ignis,вут
373,Lagerfeuer::N,ignis,кӑвайт
374,Last::N,onus,сулмаклӑх
375,Last::N,onus,йывӑр япала
376,Gang::N,cursus,куҫӑм
377,Schritt::N,gradus,утӑм
378,Schritt::N,gradus,пусӑм
379,Norden::N,septentriones,ҫурҫӗр
380,Süden::N,meridies,кӑнтӑр
381,Westen::N,occidens,анӑҫ
382,Westen::N,occidens,хӗвел анӑҫ
383,Osten::N,oriens,хӗвел тухӑҫ
384,Holz::N,lignum,йывӑҫ
385,Brett::N,tabula,хӑма
386,Platte::N,lamina,плита
387,Stütze::N,adminiculum,ура
388,Stange::N,pertica,шерте
389,Stock::N,baculum,патак
390,Stab::N,scipio,шӑчӑ
391,Rohr::N,tubus,пӑрӑх
392,Haus::N,aedes,ҫурт
393,Heim::N,domicilium,кил
394,Ofen::N,fornax,кӑмака
395,Fußboden::N,solum,урай
396,Tisch::N,mensa,сӗтел
397,Stuhl::N,sella,пукан
398,Wiege::N,cunae,сӑпка
399,Bett::N,lectus,кравать
400,Regal::N,foruli,ҫӳлӗк
401,Regal::N,foruli,сентре
402,Kiste::N,cista,ещӗк
403,Kiste::N,cista,сунтӑх
404,Fenster::N,fenestra,чӳрече
405,Tür::N,ianua,алӑк
406,Tor::N,porta,хапха
407,Zaun::N,saepes,хӳме
408,Dach::N,tectum,тӑрӑ
409,Leiter::N,scalae,пусма
410,Besen::N,scopae,шӑпӑр
411,Spaten::N,pala,кӗреҫе
412,Schaufel::N,pala,кӗреҫе
413,Gabel::N,fuscinula,вилка
414,Löffel::N,coclear,кашӑк
415,Messer::N,culter,ҫӗҫӗ
416,Nagel::N,clavus,пӑта
417,Netz::N,rete,тетел
418,Haken::N,hamus,йӑрхах
419,Haken::N,hamus,ҫекӗл
420,Griff::N,manubrium,хӑлӑп
421,Schloss::N,claustra,ҫӑра
422,Bild::N,tabula,сӑн
423,Bild::N,tabula,сӑнлӑх
424,Bild::N,tabula,картина
425,Bild::N,pictura,сӑн
426,Bild::N,pictura,сӑнлӑх
427,Bild::N,pictura,картина
428,Figur::N,statunculum,кӗлетке
429,Puppe::N,pupa,пукане
430,Beutel::N,sacculus,михӗ
431,Bündel::N,fascis,ҫыхӑ
432,Bündel::N,fascis,тӗрке
433,Tasche::N,sacculus,сумка
434,Eimer::N,situla,витре
435,Deckel::N,operculum,хупӑ
436,Geschirr::N,vasa,савӑт-сапа
437,Sack::N,saccus,михӗ
438,Tasse::N,pocillum,курка
439,Topf::N,olla,кастрюль
440,Kessel::N,aenum,хуран
441,Essen::N,cena,апат
442,Nahrung::N,cibus,апат-ҫимӗс
443,Nahrung::N,alimenta,апат-ҫимӗс
444,Speise::N,cibus,апат
445,Speise::N,cibus,ҫимӗҫ
446,Fleisch::N,caro,аш
447,Fleisch::N,caro,какай
448,Getreide::N,frumentum,тырӑ
449,Brei::N,puls,пӑтӑ
450,Brot::N,panis,ҫӑкӑр
451,Scheibe::N,frustum,чӗлӗ
452,Scheibe::N,frustum,касӑк
453,Fett::N,pingue,ҫу
454,Butter::N,butȳrum,ҫу
455,Öl::N,oleum,ҫу
456,Salz::N,sal,тӑвар
457,Suppe::N,ius,яшка
458,Honig::N,mel,пыл
459,Milch::N,lac,сӗт
460,Tee::N,thea,чей
461,Leder::N,corium,сӑран
462,Wolle::N,lana,ҫӑм
463,Stoff::N,textum,тӗртӗм
464,Nadel::N,acus,йӗп
465,Faden::N,filum,ҫип
466,Knopf::N,bulla,тӳме
467,Knoten::N,nodus,йӑлӑ
468,Farbe::N,pigmentum,сӑрӑ
469,Kleidung::N,vestimenta,тум
470,Kleidung::N,vestimenta,ҫипуҫ
471,Kleidung::N,vestimenta,тум-тир
472,Hemd::N,tunica,кӗпе
473,Kragen::N,collare,ҫуха
474,Ärmel::N,manica,ҫанӑ
475,Hose::N,bracae,шӑлавар
476,Gürtel::N,cingulum,пиҫиххи
477,Mütze::N,pilleus,ҫӗлӗк
478,Schuh::N,calceus,пушмак
479,Schuh::N,calceus,ботинок
480,Stiefel::N,pero,атӑ
481,Stiefel::N,caliga,атӑ
482,Ring::N,anulus,ҫӗрӗ
483,Band::N,redimiculum,хаю
484,Band::N,redimiculum,йӗсме
485,Kamm::N,pecten,тура
486,Spiegel::N,speculum,тӗкӗр
487,Spiegel::N,speculum,куҫ кӗски
488,Riemen::N,lorum,чӗн
489,Schnur::N,linum,кантра
490,Leine::N,retinaculum,касмӑк
491,Decke::N,lodix,утиял
492,Kissen::N,pulvinus,ҫытар
493,Kissen::N,pulvinus,минтер
494,Tuch::N,velum,тутӑр
495,Handtuch::N,mantele,ал шӑлли
496,Kraft::N,vis,вӑй
497,Kraft::N,vis,хӑват
498,Stärke::N,robur,хал
499,Stärke::N,robur,хӑват
500,Gesundheit::N,valetudo,хал
501,Gesundheit::N,valetudo,сывлӑх
502,Krankheit::N,morbus,чир
503,Schmerz::N,dolor,ырату
504,Wunde::N,vulnus,суран
505,Fieber::N,febris,сив чир
506,Arznei::N,remedium,эмел
507,Brücke::N,pons,кӗпер
508,Brunnen::N,puteus,ҫӑл
509,Brunnen::N,puteus,пусӑ
510,Weide::N,pascua,ҫаран
511,Pfad::N,semita,йӗр
512,Pfad::N,semita,сукмак
513,Weg::N,iter,ҫул
514,Weg::N,iter,ҫул-йӗр
515,Straße::N,via,ҫӳрев
516,Straße::N,via,ҫул ҫӳрени
517,Dorf::N,vicus,ял
518,Stadt::N,urbs,хула
519,Stadt::N,oppidum,хула
520,Brief::N,epistula,ҫыру
521,Buch::N,liber,кӗнеке
522,Buchstabe::N,littera,сас палли
523,Zeitung::N,diurnum,хаҫат
524,Leben::N,vita,пурнӑҫ
525,Tod::N,mors,вилӗм
526,Grab::N,sepulcrum,масар шӑтӑкӗ
527,Kirche::N,ecclesia,чиркӳ
528,Sünde::N,peccatum,ҫылӑх
529,Gott::N,deus,турӑ
530,Arbeiter::N,operarius,рабочи
531,Chef::N,praefectus,пуҫлӑх
532,Meister::N,magister,ӑста
533,Meister::N,magister,мастер
534,Arzt::N,medicus,врач
535,Arzt::N,medicus,тухтӑр
536,Lehrer::N,magister,учитель
537,Lehrer::N,magister,вӗрентекен
538,Geld::N,aes,укҫа
539,Geld::N,pecunia,укҫа
540,Geschäft::N,negotium,бизнес
541,Laden::N,taberna,магазин
542,Preis::N,pretium,хак
543,Ware::N,merx,тавар
544,Nutzen::N,utilitas,пайта
545,Reichtum::N,opes,мул
546,Reichtum::N,divitiae,мул
547,Welt::N,mundus,тӗнче
548,Land::N,terra,ҫӗр-шыв
549,Staat::N,res publica,патшàлӑх
550,König::N,rex,король
551,Macht::N,potestas,власть
552,Grenze::N,limes,чикӗ
553,Krieg::N,bellum,вӑрҫӑ
554,Feind::N,inimicus,тӑшман
555,Gewalt::N,vis,ирӗксӗрлӳ
556,Kampf::N,pugna,кӗрешӳ
557,Bogen[Waffe]::N,arcus,ухӑ
558,Pfeil::N,sagitta,ҫӗмрен
559,Pfeil::N,sagitta,ухӑ йӗппи
560,Gewehr::N,sclopetum,пӑшал
561,Fehler::N,error,йӑнӑш
562,Lüge::N,mendacium,суя
563,Lüge::N,mendacium,ултав
564,Schaden::N,damnum,сиен
565,Schaden::N,detrimentum,сиен
566,Unglück::N,miseria,шар
567,Unglück::N,miseria,инкек
568,Unglück::N,calamitas,шар
569,Unglück::N,calamitas,инкек
570,Schuld::N,culpa,айӑп
571,Alter::N,aetas,ҫул шучӗ
572,Schluss::N,finis,пӗтни
573,Schluss::N,finis,пӗтмӗш
574,Zeit::N,tempus,вӑхӑт
575,Tag::N,dies,кун
576,Morgen::N,mane,ир
577,Mittag::N,meridies,кӑнтӑрла
578,Abend::N,vesper,каҫ
579,Nacht::N,nox,каҫ
580,Woche::N,septimana,эрне
581,Monat::N,mensis,уйӑх
582,Jahr::N,annus,ҫулталӑк
583,Frühling::N,ver,ҫур
584,Frühling::N,ver,ҫуркунне
585,Sommer::N,aestas,ҫу
586,Sommer::N,aestas,ҫулла
587,Herbst::N,autumnus,кӗр
588,Herbst::N,autumnus,кӗркунне
589,Winter::N,hiems,хӗл
590,Winter::N,hiems,хӗлле
591,Januar::N,Ianuarius,январь
592,Februar::N,Februarius,февраль
593,Februar::N,Februarius,кӗҫӗн кӑрлач
594,März::N,Martius,март
595,März::N,Martius,пуш уйӑхӗ
596,April::N,Aprilis,апрель
597,Mai::N,Maius,май
598,Juni::N,Iunius,июнь
599,Juli::N,Iulius,июль
600,August::N,Augustus,август
601,September::N,September,сентябрь
602,September::N,September,авӑн уйӑхӗ
603,Oktober::N,Octobris,октябрь
604,November::N,Novembris,ноябрь
605,Dezember::N,December,раштав
606,Dezember::N,December,декабрь
607,Montag::N,dies lunae,тунти кун
608,Dienstag::N,dies Martis ,ытлари кун
609,Mittwoch::N,dies Mercurii,юн кун
610,Donnerstag::N,dies Iovis,кӗҫнерни кун
611,Freitag::N,dies Veneris,эрне кун
612,Samstag::N,dies Saturni,шӑмат кун
613,Sonntag::N,dominicus,вырсарни кун
614,Sonntag::N,dies solis,вырсарни кун
615,groß::A,magnus,пысӑк
616,klein::A,parvus,пӗчӗк
617,lang::A,longus,вӑрӑм
618,kurz::A,brevis,кӗске
619,breit::A,latus,сарлака
620,schmal::A,angustus,ансӑр
621,dicht::A,densus,йӑвӑ
622,dick[Gegenstand]::A,crassus,хулӑн
623,dünn::A,tenuis,ҫинҫе
624,dünn::A,tenuis,ҫӳхе
625,fein::A,subtilis,тарай
626,fein::A,subtilis,вӗлтӗрти
627,fest::A,solidus,тӗреклӗ
628,fest::A,stabilis,тӗреклӗ
629,flach::A,planus,лаптак
630,glatt::A,levis,такӑр
631,hart::A,durus,хытӑ
632,weich::A,mollis,ҫемҫе
633,rund::A,rotundus,ҫавра
634,spitz::A,acutus,шӗвӗр
635,scharf::A,acer,ҫивӗч
636,stumpf::A,hebes,мӑка
637,stumpf::A,hebes,пуклак
638,stumpf::A,hebes,тӗрӗнчӗк
639,stumpf::A,hebes,ӑнкарусӑр
640,schwer::A,gravis,йывӑр
641,schön::A,pulcher,илемлӗ
642,schön::A,formosus,илемлӗ
643,heiß::A,fervidus,вӗри
644,warm::A,calidus,ӑшӑ
645,kalt::A,frigidus,сивӗ
646,kühl::A,frigidus,уҫӑ
647,frisch::A,recens,уҫӑ
648,feucht::A,umidus,йӗпе
649,nass::A,madidus,нӳрӗ
650,trocken::A,aridus,типӗ
651,voll::A,plenus,тулли
652,leer::A,vacuus,пушӑ
653,offen::A,apertus,уҫӑ
654,geschlossen::A,clausus,хупӑ
655,sauber::A,lautus,таса
656,schmutzig::A,sordidus,пылчӑклӑ
657,schmutzig::A,sordidus,вараланчӑк
658,roh::A,crudus,чӗрӗ
659,reif::A,maturus,пулнӑ
660,reif::A,maturus,пиҫӗхнӗ
661,reif::A,maturus,аталаннӑ
662,reif::A,maturus,пиҫсе ҫитнӗ
663,lecker::A,delicatus,тутлӑ
664,lecker::A,delicatus,техӗмлӗ
665,süß::A,dulcis,пылак
666,bitter::A,amarus,йӳҫӗ
667,bitter::A,acerbus,йӳҫӗ
668,sauer::A,acidus,йӳҫӗ
669,sauer::A,acidus,йӳҫек
670,sauer::A,acidus,кӑвасак
671,hell::A,clarus,ҫутӑ
672,dunkel::A,obscurus,тӗттӗм
673,schwarz::A,niger,хура
674,weiß::A,albus,шурӑ
675,rot::A,ruber,хӗрлӗ
676,gelb::A,flavus,сарӑ
677,blau::A,caeruleus,кӑвак
678,grün::A,viridis,симӗс
679,grün::A,viridis,пиҫмен
680,grün::A,viridis,ӑс пухман
681,grau::A,canus,кӑвак
682,bunt::A,varius,чӑпар
683,billig::A,vilis,йӳнӗ
684,teuer::A,carus,хаклӑ
685,wertvoll::A,pretiosus,паха
686,blind::A,caecus,суккӑр
687,taub::A,surdus,хӑлхасӑр
688,kräftig::A,robustus,хӑватлӑ
689,stark::A,firmus,вирлӗ
690,stark::A,validus,вирлӗ
691,schwach::A,debilis,халсӑр
692,schwach::A,infirmus,халсӑр
693,fett::A,crassus,самӑр
694,fett::A,crassus,мӑнтӑр
695,schlank::A,procerus,йӑрӑс
696,schlank::A,procerus,яштака
697,hübsch::A,pulcher,хитре
698,böse::A,improbus,усал
699,dumm::A,stultus,ухмах
700,dumm::A,stupidus,ухмах
701,faul::A,piger,наян
702,faul::A,piger,юлхав
703,faul::A,piger,ӳркенчӗк
704,fleißig::A,sedulus,хастар
705,geizig::A,avarus,хытӑ
706,klug::A,prudens,ӑслӑ
707,geschickt::A,sollers,ӑста
708,lieb::A,carus,савнӑ
709,lustig::A,iocosus,хаваслӑ
710,sanft::A,clemens,ачаш
711,hungrig::A,impastus,выҫӑ
712,krank::A,aeger,чирлӗ
713,nackt::A,nudus,ҫара
714,traurig::A,maestus,салхуллӑ
715,lebendig::A,vivus,чӗрӗ
716,gut::A,bonus,аван
717,gut::A,bonus,лайӑх
718,schlecht::A,malus,япӑх
719,schlecht::A,malus,начар
720,richtig::A,rectus,тӗрӗс
721,schlimm::A,malus,йӗрӗнчӗк
722,wahr::A,verus,чӑн
723,alt::A,antiquus,кивӗ
724,neu::A,novus,ҫӗнӗ
725,ehemalig::A,pristinus,пулнӑ
726,alt[Lebewesen]::A,vetus,ватӑ
727,jung::A,iuvenis,яш
728,jung::A,iuvenis,ҫамрӑк
729,arm::A,pauper,чухӑн
730,reich::A,dives,пуян
731,bekannt::A,notus,пӗлӗш
732,berühmt::A,celeber,чаплӑ
733,berühmt::A,illustris,чаплӑ
734,fremd::A,peregrinus,ют
735,verschieden::A,varius,расна
736,nah::A,propinquus,ҫывӑх
737,nah::A,propinquus,ҫывӑхри
