,Concept_ID,de,da
259,Angelegenheit::N,Angelegenheit,sag
260,Angelegenheit::N,Angelegenheit,anliggende
261,Anzahl::N,Anzahl,antal
262,Art::N,Art,art
263,Stück::N,Stück,stykke
264,Teil::N,Teil,del
265,Hälfte::N,Hälfte,halvdel
266,Kreis::N,Kreis,cirkel
267,Kreuz::N,Kreuz,kors
268,Kreuz::N,Kreuz,kryds
269,Linie::N,Linie,linie
270,Strich::N,Strich,streg
271,Abstand::N,Abstand,afstand
272,Entfernung::N,Entfernung,afstand
273,Gegend::N,Gegend,egn
274,Platz::N,Platz,plads
275,Ort::N,Ort,sted
276,Seite::N,Seite,side
277,Mitte::N,Mitte,midte
278,Gegenstand::N,Gegenstand,genstand
279,Sache::N,Sache,sag
280,Rand::N,Rand,rand
281,Kante::N,Kante,kant
282,Ecke::N,Ecke,hjørne
283,Spitze::N,Spitze,spids
284,Ende::N,Ende,ende
285,Loch::N,Loch,hul
286,Winkel::N,Winkel,vinkel
287,Muster::N,Muster,mønster
288,Größe::N,Größe,størrelse
289,Länge::N,Länge,længde
290,Höhe::N,Höhe,højde
291,Gewicht::N,Gewicht,vægt
292,Menge::N,Menge,mængde
293,Haufen::N,Haufen,bunke
294,Reihe::N,Reihe,række
295,Boot::N,Boot,båd
296,Ruder::N,Ruder,åre
297,Schlitten::N,Schlitten,kælk
298,Schlitten::N,Schlitten,slæde
299,Ski::N,Ski,ski
300,Lagerfeuer::N,Lagerfeuer,lejrbål
301,Last::N,Last,last
302,Last::N,Last,byrde
303,Gang::N,Gang,gang
304,Schritt::N,Schritt,skridt
305,Norden::N,Norden,nord
306,Süden::N,Süden,syd
307,Westen::N,Westen,vest
308,Osten::N,Osten,øst
309,Holz::N,Holz,træ
310,Brett::N,Brett,bræt
311,Platte::N,Platte,plade
312,Stütze::N,Stütze,støtte
313,Stange::N,Stange,stang
314,Stock::N,Stock,stok
315,Stab::N,Stab,stav
316,Rohr::N,Rohr,rør
317,Haus::N,Haus,hus
318,Heim::N,Heim,hjem
319,Ofen::N,Ofen,ovn
320,Fußboden::N,Fußboden,gulv
321,Tisch::N,Tisch,bord
322,Stuhl::N,Stuhl,stol
323,Wiege::N,Wiege,vugge
324,Bett::N,Bett,seng
325,Regal::N,Regal,reol
326,Kiste::N,Kiste,kasse
327,Fenster::N,Fenster,vindue
328,Tür::N,Tür,dør
329,Tor::N,Tor,port
330,Zaun::N,Zaun,stakit
331,Dach::N,Dach,tag
332,Leiter::N,Leiter,stige
333,Besen::N,Besen,kost
334,Spaten::N,Spaten,spade
335,Schaufel::N,Schaufel,skovl
336,Gabel::N,Gabel,gaffel
337,Löffel::N,Löffel,ske
338,Messer::N,Messer,kniv
339,Nagel::N,Nagel,søm
340,Netz::N,Netz,net
341,Haken::N,Haken,krog
342,Griff::N,Griff,tag
343,Griff::N,Griff,håndtag
344,Schloss::N,Schloss,lås
345,Bild::N,Bild,billede
346,Figur::N,Figur,figur
347,Puppe::N,Puppe,dukke
348,Beutel::N,Beutel,pose
349,Bündel::N,Bündel,bylt
350,Bündel::N,Bündel,bundt
351,Tasche::N,Tasche,taske
352,Eimer::N,Eimer,spand
353,Deckel::N,Deckel,låg
354,Geschirr::N,Geschirr,husgeråd
355,Sack::N,Sack,sæk
356,Tasse::N,Tasse,kop
357,Topf::N,Topf,gryde
358,Kessel::N,Kessel,kedel
359,Essen::N,Essen,måltid
360,Nahrung::N,Nahrung,mad
361,Nahrung::N,Nahrung,næring
362,Speise::N,Speise,ret
363,Fleisch::N,Fleisch,kød
