,Concept_ID,lez,sah
399,Geschirr::N,къаб-къажах,иһит
400,Sack::N,чувал,куул
401,Tasse::N,сукӏра,сэлиэнэй
402,Topf::N,къажгъан,көстүрүүҥкэ
403,Kessel::N,къажгъан,хочуол
404,Essen::N,тӏуьн,аһылык
405,Nahrung::N,тӏуьн,ас
406,Speise::N,хуьрек,аһылык
407,Fleisch::N,як,эт
408,Getreide::N,техил,злактар
409,Brei::N,хапӏа,хааһы
410,Brei::N,хешил,хааһы
411,Brot::N,фу,килиэп
412,Scheibe::N,чӏук,куһуок
413,Fett::N,ягълу,сыа
414,Butter::N,гъери,арыы
415,Öl::N,ягълу,арыы
416,Salz::N,кьел,туус
417,Suppe::N,суп,мин
418,Suppe::N,шурпа,мин
419,Honig::N,вирт,мүөт
420,Milch::N,нек,үүт
421,Tee::N,чай,чэй
422,Leder::N,тумаж,тирии
423,Wolle::N,йис,түү
424,Stoff::N,парча,таҥас
425,Nadel::N,раб,иннэ
426,Faden::N,гъал,сап
427,Knopf::N,дуьгме,тимэх
428,Knoten::N,тӏвал,түмүк
429,Farbe::N,ранг,кырааска
430,Kleidung::N,партал,таҥас
431,Hemd::N,перем,ырбаахы
432,Kragen::N,хев,саҕа
433,Ärmel::N,хел,сиэх
434,Hose::N,шалвар,ыстаан
435,Hose::N,шалвар,бүрүүкэ
436,Gürtel::N,чӏул,кур
437,Mütze::N,бармак,бэргэһэ
438,Mütze::N,бапӏах,бэргэһэ
439,Schuh::N,ботинка,бачыыҥка
440,Stiefel::N,чекме,саппыкы
441,Ring::N,тупӏал,биһилэх
442,Band::N,тасма,лиэнтэ
443,Kamm::N,регъ,тараах
444,Spiegel::N,гуьзгуь,сиэркилэ
445,Riemen::N,къайиш,кур
446,Schnur::N,еб,быа
447,Decke::N,яргъан,суорҕан
448,Kissen::N,хъуьцуьган,сыттык
449,Tuch::N,шал,былаат
450,Handtuch::N,дасмал,соттор
451,Kraft::N,гуж,сыра
452,Stärke::N,къуват,күүс
453,Gesundheit::N,сагъвал,доруобуйа
454,Krankheit::N,тӏал,ыарыы
455,Schmerz::N,тӏал,ыарыы
456,Schmerz::N,тӏарвал,ыарыы
457,Wunde::N,хер,баас
458,Fieber::N,ифин,түрүлгэн
459,Fieber::N,ифин,лихорадка
460,Fieber::N,ифин,температура
461,Arznei::N,дарман,эмп
462,Brücke::N,муьгъ,күргэ
463,Brunnen::N,къуй,холуодьас
464,Weide::N,уьруьш,мэччирэҥ
465,Pfad::N,рехъ,ыллык
466,Weg::N,рехъ,суол
467,Straße::N,рехъ,суол
468,Dorf::N,хуьр,дэриэбинэ
469,Stadt::N,шегьер,куорат
470,Brief::N,кагъаз,сурук
471,Buch::N,улуб,кинигэ
472,Buchstabe::N,гьарф,буква
473,Zeitung::N,газета,хаһыат
474,Leben::N,уьмуьр,тыын
475,Tod::N,кьиникь,өлүү
476,Grab::N,сур,иин
477,Kirche::N,килиса,таҥара дьиэтэ
478,Sünde::N,гунагь,айыы
479,Gott::N,аллагь,тангара
480,Arbeiter::N,фяле,үлэһит
481,Chef::N,гьаким,баһылык
482,Chef::N,гьаким,начальник
483,Meister::N,устӏар,уус
484,Meister::N,устӏар,маастар
485,Arzt::N,доктор,врач
486,Lehrer::N,муаллим,учуутал
487,Geld::N,пул,харчы
488,Laden::N,магазин,маҕаһыын
489,Preis::N,къимет,сыана
490,Ware::N,мал,табаар
491,Ware::N,товар,табаар
492,Nutzen::N,хийир,туһа
493,Nutzen::N,менфят,туһа
494,Reichtum::N,девлет,баай
495,Welt::N,дуьнья,аан дойду
496,Land::N,уьлкве,дойду
497,Staat::N,пачагьлугъ,государство
498,Staat::N,государство,государство
499,König::N,пачагь,король
500,Macht::N,власть,былаас
501,Grenze::N,сергьят,кыраныысса
502,Krieg::N,дяве,сэрии
503,Feind::N,душман,өстөөх
504,Gewalt::N,гуж,күүһүлээһин
505,Kampf::N,женг,охсуһуу
506,Bogen[Waffe]::N,чӏемерук,ох
507,Pfeil::N,хьел,ох
508,Gewehr::N,тфенг,саа
509,Fehler::N,гъалатӏ,сыыһа
510,Lüge::N,ттаб,сымыйа
511,Schaden::N,зиян,хоромньу
512,Schaden::N,зарар,хоромньу
513,Unglück::N,бала,алдьархай
514,Unglück::N,бедбахтвал,алдьархай
515,Schuld::N,тахсир,буруй
516,Alter::N,яш,саас
517,Schluss::N,эхир,тиһэх
518,Zeit::N,вяде,бириэмэ
519,Tag::N,югъ,күн
520,Morgen::N,пакама,сарсыарда
521,Mittag::N,нисин,күн ортото
522,Abend::N,няни,киэһэ
523,Nacht::N,йиф,түүн
524,Woche::N,гьафте,нэдиэлэ
525,Monat::N,варз,ый
526,Jahr::N,йис,сыл
527,Jahr::N,йис,дьыл
528,Frühling::N,гатфар,саас
529,Sommer::N,гад,сайын
530,Herbst::N,зул,күһүн
531,Winter::N,кьуьд,кыһын
532,Januar::N,январь,тохсунньу
533,Februar::N,февраль,олунньу
534,März::N,март,кулун тутар
535,April::N,апрель,муус устар ый
536,Mai::N,май,ыам ыйа
537,Juni::N,июнь,бэс ыйа
538,Juli::N,июль,от ыйа
539,August::N,август,атырдьах ыйа
540,September::N,сентябрь,балаҕан ыйа
541,Oktober::N,октябрь,алтынньы
542,November::N,ноябрь,сэтинньи
543,Dezember::N,декабрь,ахсынньы
544,Montag::N,ислен,бэнидиэнньик
545,Dienstag::N,саласа,оптуорунньук
546,Mittwoch::N,арбе,сэрэдэ
547,Donnerstag::N,хемис югъ,чэппиэр
548,Freitag::N,жуьмя,бээтинсэ
549,Freitag::N,жуьмя югъ,бээтинсэ
550,Samstag::N,киш,субуота
551,Sonntag::N,гьяд,баскыһыанньа
552,groß::A,еке,бөдөҥ
553,groß::A,еке,улахан
554,groß::A,чӏехи,бөдөҥ
555,groß::A,чӏехи,улахан
556,klein::A,гъвечӏи,кыр
557,lang::A,яргъи,уһун
558,kurz::A,куьруь,кылгас
559,breit::A,гьяркьуь,кэтит
560,schmal::A,гуьтӏуь,кыараҕас
561,dicht::A,къалин,хойуу
562,dünn::A,кьелечӏ,чараас
563,fein::A,шуькӏуь,бытархай
564,fein::A,шуькӏуь,синньигес
565,fest::A,кӏеви,бөҕө
566,fest::A,кӏеви,кытаанах
567,flach::A,кьулу,хаптаҕай
568,glatt::A,цӏалцӏам,кылааккай
569,hart::A,кӏеви,хатан
570,hart::A,кӏеви,кытаанах
571,weich::A,хъуьтуьл,сымнаҕас
572,rund::A,элкъвей,төгүрүк
573,spitz::A,хци,сытыы
574,spitz::A,хци,уһуктаах
575,scharf::A,хци,сытыы
576,stumpf::A,къуьруь,сыппах
577,schwer::A,залан,ыарахан
578,schön::A,иер,кыраһыабай
579,heiß::A,кудай,итии
580,warm::A,чими,ичигэс
581,kalt::A,мекьи,тымныы
582,kühl::A,къайи,сөрүүн
583,frisch::A,таза,ыраас
584,frisch::A,таза,сөрүүн
585,frisch::A,таза,тымныы
586,frisch::A,михьи,ыраас
587,frisch::A,михьи,сөрүүн
588,frisch::A,михьи,тымныы
589,feucht::A,ламу,сииктээх
590,nass::A,кьежей,инчэҕэй
591,trocken::A,кьуру,кураан
592,voll::A,ацӏай,толору
593,leer::A,буш,иччитэх
594,leer::A,ичӏи,иччитэх
595,offen::A,ахъа,аһаҕас
596,geschlossen::A,кӏеви,бүтэй
597,sauber::A,михьи,сэбэр
598,schmutzig::A,чиркин,кирдээх
599,schmutzig::A,кьацӏай,кирдээх
600,roh::A,чиг,сиикэй
601,roh::A,ицӏи,сиикэй
602,reif::A,дигмиш хьайи,буспут
603,reif::A,дигмиш хьайи,сиппит-хоппут
604,lecker::A,дадлу,минньигэс
605,süß::A,ширин,минньигэс
606,bitter::A,туькьуьл,аһыы
607,sauer::A,цуру,аһыы
608,hell::A,экуь,сырдык
609,dunkel::A,мичӏи,хараҥа
610,schwarz::A,чӏулав,хара
611,weiß::A,лацу,үрүҥ
612,weiß::A,лацу,маҥан
613,rot::A,яру,кыһыл
614,gelb::A,хъипи,саһархай
615,blau::A,вили,күөх
616,grün::A,къацу,күөх
617,grün::A,къацу,от күөҕэ
618,grau::A,рехи,сиэрэй
619,bunt::A,цӏару,эриэн
620,bunt::A,яру-цӏару,эриэн
621,billig::A,ужуз,чэпчэки
622,teuer::A,багьа,сыаналаах
623,wertvoll::A,масан,сыаналаах
624,blind::A,буьркьуь,хараҕа суох
625,taub::A,биши,дьүлэй
626,kräftig::A,гужлу,модун
627,stark::A,къуватлу,күүстээх
628,schwach::A,такьатсуз,мөлтөх
629,fett::A,куьк,эмис
630,schlank::A,шумал,дьылҕан
631,schlank::A,шумал,дьыпсаҕай
632,hübsch::A,гуьрчег,олус кэрэ
633,hübsch::A,гуьрчег,көрүөхтэн үчүгэй
634,böse::A,пис,өһүөннээх
635,dumm::A,ахмакь,акаары
636,faul::A,тенпел,нэс
637,fleißig::A,сяй ийидай,кыһамньылаах
638,fleißig::A,сяйи ийидай,кыһамньылаах
639,geizig::A,мискьи,иҥсэлээх
640,klug::A,акьуллу,өйдөөх
641,geschickt::A,магьир,наһаа дьоҕурдаах
642,lieb::A,играми,тапталлаах
643,lustig::A,шад,көрдөөх
644,sanft::A,назик,намчы
645,sanft::A,назик,сымнаҕас
646,sanft::A,милайим,намчы
647,sanft::A,милайим,сымнаҕас
648,hungrig::A,гишин,аччык
649,krank::A,кефсуз,ыалдьар
650,nackt::A,кьецӏил,сыгынньах
651,traurig::A,пашман,санаарҕабыллаах
652,lebendig::A,ччан алай,тыыннаах
653,gut::A,хъсан,үтүө
654,gut::A,хъсан,үчүгэй
655,gut::A,вижевай,үтүө
656,gut::A,вижевай,үчүгэй
