,Concept_ID,et,vep
76,Boden::N,maa,pohj
77,Boden::N,pinnas,ma
78,Boden::N,pinnas,pohj
79,Erde::N,maa,ma
80,Staub::N,põrm,pölü
81,Rauch::N,suits,savu
82,Funke::N,säde,kibin
83,Feuer::N,tuli,lämoi
84,Licht::N,valgus,vauktuz
85,Schatten::N,vari,pil'vez
86,Schatten::N,vari,kuvahaine
87,Wetter::N,ilm,sä
88,Nebel::N,udu,sumeg
89,Wolke::N,pilv,pil'v
90,Regen::N,sadu,vihm
91,Schnee::N,lumi,lumi
92,Eis::N,jää,jä
93,Frost::N,pakane,hala
94,Frost::N,pakane,pakaine
95,Kälte::N,külm,vilu
96,Kälte::N,külmus,vilu
97,Hitze::N,kuumus,räk
98,Hitze::N,palavus,räk
99,Raureif::N,härmatis,hüde
100,Regenbogen::N,vikerkaar,jumalanbembel'
101,Donner::N,kõu,juru
102,Donner::N,kõu,jumalanjuru
103,Donner::N,müristamine,juru
104,Donner::N,müristamine,jumalanjuru
105,Strömung::N,voolus,joksmuz
106,Strömung::N,jõevool,joksmuz
107,Tropfen::N,tilk,tilkuine
108,Schaum::N,vaht,vaht
109,Schmutz::N,pori,redu
110,Schmutz::N,pori,pačak
111,Schmutz::N,mustus,redu
112,Schmutz::N,mustus,pačak
113,See::N,järv,järv
114,Sumpf::N,soo,so
115,Moor::N,raba,so
116,Wiese::N,aas,nit
117,Wiese::N,nurm,nit
118,Wald::N,mets,mec
119,Hügel::N,küngas,kukaz
120,Anhöhe::N,küngas,kukaz
121,Berg::N,mägi,mägi
122,Gipfel::N,mäetipp,ladv
123,Höhle::N,koobas,mägionduz
124,Abhang::N,nõlvak,paute
125,Quelle::N,allikas,lähte
126,Bach::N,oja,oja
127,Fluss::N,jõgi,jogi
128,Ufer::N,kallas,rand
129,Küste::N,rannik,randišt
130,Festland::N,mander,kuivma
131,Festland::N,maismaa,kuivma
132,Meer::N,meri,meri
133,Bucht::N,laht,laht
134,Insel::N,saar,sar'
135,Blume::N,lill,änik
136,Gras::N,rohi,hein
137,Wurzel::N,juur,jur'
138,Baum::N,puu,pu
139,Stamm::N,tüvi,tüvi
140,Rinde::N,koor,kor'
141,Ast::N,oks,oks
142,Zweig::N,oks,oks
143,Zweig::N,oks,barb
144,Blatt::N,leht,lehtez
145,Birke::N,kask,koiv
146,Kiefer[Baum]::N,mänd,pedai
147,Weide[Baum]::N,paju,raid
148,Tanne::N,nulg,kuz'
149,Horn::N,sarv,sar'v
150,Feder::N,sulg,höuneh
151,Fell::N,karvkate,nahk
152,Fell::N,karusnahk,nahk
153,Flügel::N,tiib,suug
154,Flügel::N,tiivik,suug
155,Klaue::N,küüs,künz'
156,Kralle::N,küünis,künz'
157,Schwanz::N,saba,händ
158,Ei::N,muna,muna
159,Nest::N,pesa,peza
160,Bau::N,urg,uru
161,Tier::N,loom,živat
162,Herde::N,kari,kogo
163,Kuh::N,lehm,lehm
164,Bulle::N,pull,härg
165,Pferd::N,hobune,hebo
166,Schaf::N,lammas,lambaz
167,Schwein::N,siga,siga
168,Hund::N,koer,koir
169,Katze::N,kass,kaži
170,Bär::N,karu,kondi
171,Eichhörnchen::N,orav,orav
172,Elch::N,põder,hirb'
173,Fuchs::N,rebane,reboi
174,Hase::N,jänes,jäniš
175,Maus::N,hiir,hir'
176,Wolf::N,hunt,händikaz
177,Vogel::N,lind,lind
178,Schwarm::N,parv,parveh
179,Huhn::N,kana,kana
180,Hahn::N,kukk,kukoi
181,Gans::N,hani,hanh'
182,Adler::N,kotkas,orl
183,Ente::N,part,sorz
184,Eule::N,kakk,hir'pulo
185,Eule::N,öökull,hir'pulo
186,Kranich::N,kurg,kurg
187,Krähe::N,vares,variš
188,Kuckuck::N,kägu,kägi
189,Schwan::N,luik,joucen
190,Fisch::N,kala,kala
191,Barsch::N,ahven,ahven
192,Hecht::N,haug,haug'
193,Schlange[Tier]::N,uss,kü
194,Schlange[Tier]::N,uss,mado
195,Wurm::N,uss,mado
196,Wurm::N,vagel,mado
197,Spinne::N,ämblik,hämähouk
198,Ameise::N,sipelgas,murahaine
199,Laus::N,täi,täi
200,Mücke::N,sääsk,säs'k
201,Fliege::N,kärbes,kärbhaine
202,Schmetterling::N,liblikas,lipkaine
203,Beere::N,mari,marj
204,Apfel::N,õun,jablok
205,Pilz::N,seen,sen'
206,Pilz::N,seen,babuk
207,Zwiebel::N,sibul,lauk
208,Saat::N,seeme,semned
209,Korn::N,iva,jüvä
210,Korn::N,iva,vill'
211,Korn::N,tera,jüvä
212,Korn::N,tera,vill'
213,Heu::N,hein,hein
214,Schale::N,koor,kor'
215,Grube::N,kaevand,kop
216,Falle::N,lõks,rida
217,Falle::N,püünis,rida
218,Schlinge::N,aas,rihm
219,Spur::N,jälg,jäl'g
220,Asche::N,tuhk,tuhk
221,Dreck::N,saast,redu
222,Dreck::N,saast,pačak
223,Dreck::N,mustus,redu
224,Dreck::N,mustus,pačak
225,Eisen::N,raud,raud
226,Gold::N,kuld,kuld
227,Silber::N,hõbe,hobed
228,Kohle::N,süsi,hil'
229,Glas::N,klaas,stökol
230,Lehm::N,savi,savi
231,Sand::N,liiv,lete
232,Mensch::N,inimene,mez'
233,Mensch::N,inimene,ristit
234,Mann::N,mees,mez'
235,Frau::N,naine,naine
236,Kind::N,laps,laps'
237,Junge::N,poiss,poig
238,Junge::N,poiss,prihaine
239,Mädchen::N,tüdruk,neičukaine
240,Familie::N,perekond,kanz
241,Familie::N,perekond,pereh
242,Großvater::N,vanaisa,ded
243,Großmutter::N,vanaema,bab
244,Eltern::N,vanemad,vanhembad
245,Eltern::N,vanemad,kazvatajad
246,Vater::N,isa,tat
247,Mutter::N,ema,mam
248,Sohn::N,poeg,poig
249,Tochter::N,tütar,tütär
250,Bruder::N,vend,veik
251,Bruder::N,vend,vell'
252,Schwester::N,õde,čiža
253,Schwester::N,õde,sizar
254,Onkel::N,onu,däd'
255,Tante::N,tädi,tädi
256,Ehemann::N,mees,mužik
257,Ehemann::N,abikaasa,mužik
258,Ehefrau::N,naine,ak
259,Ehefrau::N,abikaasa,ak
260,Freude::N,rõõm,ilo
261,Freude::N,rõõm,ihastuz
262,Gelächter::N,naer,nagr
263,Glück::N,õnn,oza
264,Kummer::N,mure,gor'a
265,Kummer::N,kurbus,gor'a
266,Wunsch::N,soov,taht
267,Lust::N,himu,himo
268,Geist::N,vaim,heng
269,Gedanke::N,mõte,meletuz
270,Gedächtnis::N,mälu,mušt
271,Verstand::N,aru,mel'
272,Verstand::N,mõistus,mel'
273,Sinn::N,tähendus,jüvä
274,Grund::N,põhjus,sü
275,Wahrheit::N,tõde,tozi
276,Gespräch::N,kõne,lodu
277,Gespräch::N,kõne,pagin
278,Gespräch::N,vestlus,lodu
279,Gespräch::N,vestlus,pagin
280,Märchen::N,muinasjutt,sarn
281,Erzählung::N,jutustus,sanutez
282,Nachricht::N,teade,tedotuz
283,Neuigkeit::N,uudis,uzištuz
284,Name::N,nimi,nimi
285,Rätsel::N,mõistatus,ozoitez
286,Rede::N,kõne,pagin
287,Rede::N,kõne,sanad
288,Sprache::N,keel,kel'
289,Stimme::N,hääl,än'
290,Wort::N,sõna,sana
291,Zeichen::N,märk,znam
292,Ruf::N,hüüe,kida
293,Ruf::N,hüüe,kucund
294,Lärm::N,müra,judu
295,Laut::N,hääl,kulund
296,Ton::N,toon,kulund
297,Lied::N,laul,pajo
298,Ruhe::N,rahu,lebu
299,Ruhe::N,vaikus,lebu
300,Leute::N,inimesed,rahvaz
301,Volk::N,rahvas,rahvaz
302,Arbeit::N,töö,tö
303,Arbeit::N,töö,rad
304,Gast::N,külaline,adiv
305,Geschenk::N,kingitus,lahj
306,Spiel::N,mäng,vänd
307,Gesellschaft::N,selts,sebr
308,Hilfe::N,abi,abu
309,Freund::N,sõber,sebranik
310,Kamerad::N,sõber,sebranik
311,Angelegenheit::N,asi,azj
312,Anzahl::N,arv,lugu
313,Anzahl::N,hulk,lugu
314,Art::N,liik,rod
315,Art::N,liik,rodsugu
316,Stück::N,tükk,pala
317,Stück::N,tükk,supal
318,Teil::N,osa,pala
319,Hälfte::N,pool,pol'
320,Kreis::N,ring,ümbruz
321,Kreis::N,ring,kehkruz
322,Kreuz::N,rist,rist
323,Linie::N,joon,pird
324,Strich::N,joon,pird
325,Abstand::N,vahe,keskust
326,Entfernung::N,kaugus,matk
327,Entfernung::N,vahemaa,matk
328,Gegend::N,ümbrus,taho
329,Platz::N,ruum,avaruz'
330,Ort::N,paik,koht
331,Seite::N,pool,pol'
332,Seite::N,pool,kül'g
333,Mitte::N,keskpaik,kesk
334,Gegenstand::N,ese,kalu
335,Sache::N,ese,azj
336,Rand::N,äär,röun
337,Rand::N,serv,röun
338,Kante::N,kant,röun
339,Ecke::N,nurk,saum
340,Spitze::N,teravik,agjaine
341,Ende::N,ots,agj
342,Ende::N,jupp,agj
343,Loch::N,auk,reig
344,Winkel::N,nurk,čoga
345,Winkel::N,nurk,saum
346,Muster::N,muster,kirjam
347,Größe::N,suurus,suruz'
348,Länge::N,pikkus,piduz
349,Höhe::N,kõrgus,korktuz'
350,Gewicht::N,kaal,jügu
351,Gewicht::N,kaal,vedäduz
352,Gewicht::N,raskus,jügu
353,Gewicht::N,raskus,vedäduz
354,Menge::N,arv,äjüz'
355,Menge::N,hulk,äjüz'
356,Haufen::N,hunnik,kogo
357,Reihe::N,rivi,rivi
358,Boot::N,paat,veneh
359,Ruder::N,aer,air
360,Schlitten::N,saan,regi
361,Schlitten::N,saan,regut
362,Ski::N,suusk,suks'
363,Lagerfeuer::N,lõke,nodj
364,Lagerfeuer::N,lõke,pažag
365,Last::N,koorem,jüguz
366,Gang::N,käik,astund
367,Schritt::N,samm,hašk
368,Norden::N,põhi,pohjoine
369,Süden::N,lõuna,suvi
370,Westen::N,lääs,päivlaskm
371,Osten::N,ida,päivnouzm
372,Holz::N,puu,pu
373,Brett::N,saelaud,laud
374,Platte::N,plaat,keitim
375,Stütze::N,tugi,tugi
376,Stange::N,latt,arz'
377,Stange::N,teivas,arz'
378,Stock::N,kepp,kalu
379,Stab::N,varras,seibaz
380,Rohr::N,toru,torv
381,Haus::N,maja,pert'
382,Heim::N,kodu,kodi
383,Ofen::N,ahi,päč
384,Fußboden::N,põrand,lava
385,Tisch::N,laud,laud
386,Tisch::N,laud,stal'c
387,Stuhl::N,tool,ištim
388,Wiege::N,häll,kätte
389,Wiege::N,kätki,kätte
390,Bett::N,voodi,sija
391,Bett::N,voodi,magaduzsija
392,Regal::N,riiul,palič
393,Kiste::N,kast,mülütim
394,Fenster::N,aken,ikun
395,Tür::N,uks,uks'
396,Tor::N,värav,verai
397,Zaun::N,aed,aid
398,Zaun::N,tara,aid
399,Dach::N,katus,katuz
400,Leiter::N,redel,pordhad
401,Besen::N,luud,lud
402,Besen::N,luud,vast
403,Spaten::N,labidas,labid
404,Schaufel::N,kühvel,labid
405,Gabel::N,kahvel,hangoine
406,Löffel::N,lusikas,luzik
407,Messer::N,nuga,veič
408,Nagel::N,nael,nagl
409,Netz::N,võrk,verk
410,Haken::N,haak,kouk
411,Haken::N,konks,kouk
412,Griff::N,sang,kägä
413,Griff::N,sang,varz'
414,Griff::N,käepide,kägä
415,Griff::N,käepide,varz'
416,Schloss::N,lukk,lukkol
417,Bild::N,pilt,kuva
418,Figur::N,kuju,figur
419,Figur::N,kujund,figur
420,Puppe::N,nukk,tätüine
421,Beutel::N,paun,havad
422,Bündel::N,kimp,toppaz
423,Bündel::N,kimp,käč
424,Tasche::N,kott,sumk
425,Eimer::N,pang,vädr
426,Eimer::N,ämber,vädr
427,Deckel::N,kaas,katuz
428,Geschirr::N,nõud,astii
429,Sack::N,kott,havad
430,Tasse::N,tass,čašk
431,Topf::N,pada,pada
432,Kessel::N,pada,katil
433,Essen::N,söök,sönd
434,Nahrung::N,toit,söm
435,Speise::N,roog,sömine
436,Fleisch::N,liha,liha
437,Getreide::N,teravili,vill'
438,Brei::N,puder,pudr
439,Brot::N,sai,leib
440,Brot::N,leib,leib
441,Scheibe::N,viil,bibaleh
442,Scheibe::N,viil,šlik
443,Scheibe::N,viilukas,bibaleh
444,Scheibe::N,viilukas,šlik
445,Fett::N,rasv,razv
446,Butter::N,või,voi
447,Öl::N,õli,voi
448,Salz::N,sool,sol
449,Suppe::N,supp,lem'
450,Suppe::N,supp,keitoz
451,Honig::N,mesi,mezi
452,Milch::N,piim,maid
453,Tee::N,tee,čai
454,Leder::N,nahk,nahk
455,Wolle::N,vill,vill
456,Stoff::N,kangas,kangaz
457,Nadel::N,nõel,negl
458,Faden::N,niit,nit'
459,Knopf::N,nööp,nübl'
460,Knoten::N,sõlm,sol'm
461,Farbe::N,värv,muju
462,Kleidung::N,riided,sobad
463,Kleidung::N,riietus,sobad
464,Hemd::N,särk,paid
465,Kragen::N,krae,kagluz
466,Ärmel::N,varrukas,hijam
467,Hose::N,püksid,štanad
468,Gürtel::N,vöö,vö
469,Mütze::N,müts,šapuk
470,Schuh::N,king,keng'
471,Stiefel::N,saabas,sapug
472,Ring::N,sõrmus,rengaz
473,Band::N,lint,lentaine
474,Kamm::N,kamm,suga
475,Spiegel::N,peegel,zerkol
476,Riemen::N,rihm,vö
477,Schnur::N,nöör,nor
478,Leine::N,jalutusrihm,talutimnor
479,Decke::N,tekk,sijakatuz
480,Kissen::N,padi,pöluz
481,Tuch::N,kalev,paik
482,Handtuch::N,käterätik,käzipaik
483,Kraft::N,jõud,vägi
484,Stärke::N,tugevus,vahvuz'
485,Gesundheit::N,tervis,tervhuz
486,Krankheit::N,haigus,läžund
487,Schmerz::N,valu,kibu
488,Wunde::N,haav,čapatez
489,Fieber::N,palavik,säru
490,Arznei::N,ravim,zel'l'
491,Brücke::N,sild,sild
492,Brunnen::N,kaev,kaiv
493,Weide::N,karjamaa,omaluine
494,Pfad::N,rada,tehut
495,Weg::N,tee,te
496,Straße::N,tee,te
497,Dorf::N,küla,külä
498,Stadt::N,linn,lidn
499,Brief::N,kiri,kirjeine
500,Buch::N,raamat,kirj
501,Buchstabe::N,täht,kirjam
502,Zeitung::N,ajaleht,lehtez
503,Leben::N,elu,elo
504,Tod::N,surm,surm
505,Grab::N,haud,kaum
506,Kirche::N,kirik,jumalanpert'
507,Sünde::N,patt,grähk
508,Gott::N,jumal,jumal
509,Arbeiter::N,tööline,radnik
510,Chef::N,ülemus,pämez'
511,Chef::N,juhataja,pämez'
512,Meister::N,meister,mastar
513,Arzt::N,arst,lekar'
514,Lehrer::N,õpetaja,opendai
515,Geld::N,raha,rahad
516,Geschäft::N,äri,biznes
517,Laden::N,pood,lauk
518,Laden::N,kauplus,lauk
519,Preis::N,hind,arv
520,Ware::N,kaup,tavar
521,Nutzen::N,tulu,liža
522,Nutzen::N,kasulikkus,liža
523,Reichtum::N,rikkus,kodielo
524,Reichtum::N,rikkus,kal'huz'
525,Welt::N,maailm,mail'm
526,Land::N,maa,ma
527,Staat::N,riik,valdkund
528,König::N,kuningas,kunigaz
529,Macht::N,võim,vald
530,Grenze::N,piir,röun
531,Krieg::N,sõda,soda
532,Feind::N,vaenlane,vihanik
533,Feind::N,vaenlane,vastustai
534,Gewalt::N,väevõim,vägivald
535,Kampf::N,võitlus,tora
536,Bogen[Waffe]::N,vibu,taug
537,Pfeil::N,nool,nol
538,Gewehr::N,püss,oružj
539,Fehler::N,viga,viga
540,Lüge::N,vale,kelastuz
541,Schaden::N,kahju,pahuz'
542,Unglück::N,häda,bed
543,Unglück::N,häda,gor'a
544,Unglück::N,õnnetus,bed
545,Unglück::N,õnnetus,gor'a
546,Schuld::N,süü,värhuz'
547,Alter::N,iga,igä
548,Schluss::N,lõpp,lop
549,Zeit::N,aeg,aig
550,Tag::N,päev,päiv
551,Morgen::N,hommik,homendez
552,Mittag::N,lõuna,keskpäiv
553,Mittag::N,keskpäev,keskpäiv
554,Abend::N,õhtu,eht
555,Nacht::N,öö,ö
556,Woche::N,nädal,nedal'
557,Monat::N,kuu,ku
558,Jahr::N,aasta,voz'
559,Frühling::N,kevad,keväz'
560,Sommer::N,suvi,keza
561,Herbst::N,sügis,sügüz'
562,Winter::N,talv,tal'v
563,Januar::N,jaanuar,viluku
564,Februar::N,veebruar,uhoku
565,März::N,märts,keväz'ku
566,April::N,aprill,sulaku
567,Mai::N,mai,semendku
568,Juni::N,juuni,kezaku
569,Juli::N,juuli,heinku
570,August::N,august,eloku
571,September::N,september,sügüz'ku
572,Oktober::N,oktoober,reduku
573,November::N,november,kül'mku
574,Dezember::N,detsember,tal'vku
575,Montag::N,esmaspäev,ezmärg
576,Dienstag::N,teisipäev,tožnarg
577,Mittwoch::N,kesknädal,koumanz'päiv
578,Donnerstag::N,neljapäev,nellänz'päiv
579,Freitag::N,reede,pätnič
580,Freitag::N,reede,videnz'päiv
581,Samstag::N,laupäev,sobat
582,Sonntag::N,pühapäev,pühäpäiv
583,groß::A,suur,sur'
584,groß::A,suur,järed
585,klein::A,väike,pen'
586,klein::A,väike,pičuine
587,klein::A,pisike,pen'
588,klein::A,pisike,pičuine
589,lang::A,pikk,pit'k
590,kurz::A,lühike,lühüd
591,breit::A,lai,leved
592,schmal::A,kitsas,kaid
593,dicht::A,tihe,tihed
594,dick[Gegenstand]::A,jäme,paks
595,dünn::A,õhuke,hoik
596,dünn::A,peenike,hoik
597,fein::A,peen,hen
598,fein::A,õhuke,hen
599,fest::A,püsiv,luja
600,fest::A,püsiv,ninev
601,fest::A,kindel,luja
602,fest::A,kindel,ninev
603,flach::A,lame,lapak
604,flach::A,tasane,lapak
605,glatt::A,sile,siled
606,hart::A,kõva,kova
607,weich::A,pehme,pehmed
608,rund::A,ümar,kehker
609,spitz::A,torkav,nügu
610,spitz::A,torkav,terav
611,scharf::A,terav,terav
612,stumpf::A,nüri,tül'c
613,schwer::A,raske,jüged
614,schön::A,kena,čoma
615,heiß::A,kuum,räk
616,heiß::A,palav,räk
617,warm::A,soe,läm'
618,kalt::A,külm,vilu
619,kühl::A,jahe,raibak
620,kühl::A,jahe,viluhk
621,frisch::A,värske,lahed
622,feucht::A,niiske,neps
623,feucht::A,niiske,toreh
624,nass::A,märg,märg
625,trocken::A,kuiv,kuiv
626,voll::A,täis,täuz'
627,leer::A,tühi,joudai
628,offen::A,avatud,avoin
629,offen::A,avatud,avol'jaine
630,offen::A,lahtine,avoin
631,offen::A,lahtine,avol'jaine
632,geschlossen::A,suletud,saubaline
633,sauber::A,puhas,puhtaz
634,schmutzig::A,räpane,redukaz
635,schmutzig::A,määrdunud,redukaz
636,roh::A,toores,rohk
637,roh::A,toores,toreh
638,reif::A,küps,küps
639,lecker::A,hõrk,magukaz
640,lecker::A,maitsev,magukaz
641,süß::A,magus,maged
642,bitter::A,mõru,karged
643,sauer::A,hapu,muiged
644,hell::A,hele,kirkas
645,hell::A,hele,valgei
646,dunkel::A,pime,pimed
647,schwarz::A,must,must
648,weiß::A,valge,vauged
649,rot::A,punane,rusked
650,gelb::A,kollane,pakuine
651,blau::A,sinine,sinine
652,grün::A,roheline,vihand
653,grau::A,hall,hahk
654,bunt::A,kirju,kirjav
655,bunt::A,värviline,kirjav
656,billig::A,odav,odav
657,teuer::A,kallis,kalliž
658,wertvoll::A,väärtuslik,arvokas
659,blind::A,pime,soged
660,taub::A,kurt,kurdiž
661,kräftig::A,jõuline,vägev
662,stark::A,tugev,vahv
663,stark::A,tugev,vägekaz
664,schwach::A,nõrk,väll'
665,schwach::A,jõuetu,väll'
666,fett::A,rasvane,razvakaz
667,schlank::A,sale,kapos
668,hübsch::A,kena,čoma
669,böse::A,tige,äred
670,böse::A,tige,käred
671,dumm::A,juhm,el'getoi
672,dumm::A,rumal,el'getoi
673,faul::A,laisk,lašk
674,fleißig::A,virk,radonnavedii
675,fleißig::A,hoolas,radonnavedii
676,geizig::A,ihne,ažlak
677,klug::A,tark,melev
678,klug::A,tark,melekaz
679,klug::A,arukas,melev
680,klug::A,arukas,melekaz
681,klug::A,mõistlik,melev
682,klug::A,mõistlik,melekaz
683,geschickt::A,osav,mahtokaz
684,lieb::A,armas,izo
685,lieb::A,armas,sula
686,lustig::A,lõbus,ilokaz
687,sanft::A,õrn,laskav
688,hungrig::A,näljane,näl'ghine
689,krank::A,haige,läžui
690,nackt::A,alasti,alastoi
691,traurig::A,kurb,opalahine
692,lebendig::A,elus,eläb
693,gut::A,hea,hüvä
694,schlecht::A,halb,huba
695,richtig::A,õige,oiged
696,schlimm::A,paha,paha
697,wahr::A,tõene,todesine
698,alt::A,vana,vanh
699,neu::A,uus,uz'
700,ehemalig::A,endine,edeline
701,alt[Lebewesen]::A,vana,ravaz
702,jung::A,noor,nor'
703,arm::A,vaene,gol'l'
704,reich::A,rikas,elokaz
705,bekannt::A,teada,tutab
706,bekannt::A,tuttav,tutab
707,berühmt::A,tuntud,tetab
708,fremd::A,võõras,veraz
709,verschieden::A,erinev,erazvuitte
710,nah::A,lähedane,läheline
711,fern::A,kauge,edahaine
712,linker::A,vasak,hura
713,rechter::A,parem,oiged
714,anderer::A,muu,toine
715,anderer::A,teine,toine
716,erster::A,esimene,ezmäine
717,zweiter::A,teine,toine
718,dritter::A,kolmas,koumanz'
719,letzter::A,viimane,jäl'gmäine
720,allein::ADV,üksi,üksnäze
721,auf einmal::ADV,korraga,ühten aigan
722,auf einmal::ADV,ühekorraga,ühten aigan
723,zusammen::ADV,koos,ühtes
724,zusammen::ADV,üheskoos,ühtes
725,lange::ADV,kaua,hätken
726,plötzlich::ADV,äkki,äkkid
727,plötzlich::ADV,järsku,äkkid
728,sofort::ADV,kohe,kerdalaz
729,später::ADV,hiljem,möhemba
730,jetzt::ADV,nüüd,nügüd'
731,heute::ADV,täna,tämbei
732,morgen::ADV,homme,homen
733,bald::ADV,pea,pigai
734,bald::ADV,varsti,pigai
735,dann::ADV,siis,sid'
736,gestern::ADV,eile,eglai
737,einst::ADV,vanasti,ende
738,einst::ADV,vanasti,kerdan
739,damals::ADV,tookord,siloi
740,danach::ADV,seejärel,sid'
741,vorher::ADV,enne,ende
742,zuerst::ADV,enne,ezmäi
743,zuerst::ADV,esmalt,ezmäi
744,einmal::ADV,kord,kerdan
745,einmal::ADV,üks kord,kerdan
746,manchmal::ADV,mõnikord,erašti
747,oft::ADV,tihti,paksus
748,oft::ADV,sageli,paksus
749,immer::ADV,ikka,kaiken
750,immer::ADV,alati,kaiken
751,niemals::ADV,mitte kunagi,ei nikonz
752,hier::ADV,siin,täs
753,hier::ADV,siin,tägä
754,hierhin::ADV,siia,tänna
755,von hier::ADV,siit,täspäi
756,von hier::ADV,siit,sid'päi
757,dort::ADV,seal,sigä
758,dorthin::ADV,sinna,sinna
759,dorthin::ADV,sinna,nakkale
760,geradeaus::ADV,otse edasi,kohtha
761,vorwärts::ADV,edasi,edehe
762,rückwärts::ADV,tagurpidi,sel'gin
763,zurück::ADV,tagasi,tagaze
764,unten::ADV,all,alahan
765,unten::ADV,allpool,alahan
766,hinab::ADV,alla,alaz
767,hinab::ADV,alla,alahaks
768,oben::ADV,ülal,ülähän
769,hinauf::ADV,üles,ülez
770,hinauf::ADV,üles,ülähäks
771,überall::ADV,kõikjal,kaikjal
772,nicht::ADV,ei,ei
773,nicht::ADV,mitte,ei
774,ein wenig::ADV,veidi,vähän
775,ein wenig::ADV,natuke,vähän
776,kaum::ADV,vaevalt,habi
777,sehr::ADV,väga,lujas
778,so::ADV,nii,muga
779,so::ADV,nii,ninga
780,noch::ADV,veel,völ
781,nur::ADV,ainult,järg
782,nur::ADV,ainult,vaiše
783,schon::ADV,juba,jo
784,wieder::ADV,jälle,möst
785,vergebens::ADV,asjata,uhtei
786,vor::PRP,ees,edes
787,hinter::PRP,taha,taga
788,unter::PRP,all,al
789,durch::PRP,läbi,läbi
790,durch::PRP,läbi,kal't
791,durch::PRP,kaudu,läbi
792,durch::PRP,kaudu,kal't
793,neben::PRP,kõrval,rindal
794,zwischen::PRP,vahel,keskes
795,wegen::PRP,tõttu,tagut
796,wegen::PRP,pärast,tagut
797,dies::PRN,see,nece
798,das::PRN,see,se
799,alles::PRN,kõik,kaik
800,ich::PRN,mina,minä
801,du::PRN,sina,sinä
802,er::PRN,tema,hän
803,wir::PRN,me,mö
804,ihr::PRN,te,tö
805,sie::PRN,nad,hö
806,was::FPRN,mis,mi
807,wer::FPRN,kes,ken
808,wo::FADV,kus,kus
809,wohin::FADV,kuhu,kuna
810,wie::FADV,kuidas,kut
811,wie::FADV,kuidas,mit'
812,warum::FADV,miks,mikš
813,wieviel::FNUM,mitu,äjak
814,wieviel::FNUM,mitu,kuverz'
815,wieviel::FNUM,kui palju,äjak
816,wieviel::FNUM,kui palju,kuverz'
817,eins::NUM,üks,üks'
818,zwei::NUM,kaks,kaks'
819,drei::NUM,kolm,koume
820,vier::NUM,neli,nel'l'
821,fünf::NUM,viis,viž
822,sechs::NUM,kuus,kuz'
823,sieben::NUM,seitse,seičeme
824,acht::NUM,kaheksa,kahesa
825,neun::NUM,üheksa,ühesa
826,zehn::NUM,kümme,kümne
827,elf::NUM,üksteist,üks'toštkümne
828,zwölf::NUM,kaksteist,kaks'toštkümne
829,zwanzig::NUM,kakskümmend,kaks'kümne
