,Concept_ID,ab,sv
130,Gras::N,аҳасакьын,gräs
131,Wurzel::N,адац,rot
132,Baum::N,аҵла,träd
133,Stamm::N,ашьапы,stam
134,Rinde::N,ацəа,bark
135,Ast::N,амахə,gren
136,Ast::N,амахəҭа,gren
137,Zweig::N,амахə,kvist
138,Zweig::N,амахəҭа,kvist
139,Blatt::N,абҕьы,löv
140,Blatt::N,абҕьы,blad
141,Birke::N,аҵааҵла,björk
142,Kiefer[Baum]::N,амза,tall
143,Weide[Baum]::N,аҧслыш,pil
144,Weide[Baum]::N,аҧслыш,vide
145,Tanne::N,аҧсаӡ,gran
146,Horn::N,атəыҩа,horn
147,Feder::N,ахӡы,fjäder
148,Fell::N,ацəа,fäll
149,Fell::N,ацəа,skinn
150,Flügel::N,амҵəыжəа,vinge
151,Klaue::N,ашьапхыц,klöv
152,Schwanz::N,аҵыхəа,svans
153,Schwanz::N,аҵыхəа,stjärt
154,Ei::N,акəтаӷь,ägg
155,Nest::N,аҭра,rede
156,Nest::N,аҭра,näste
157,Nest::N,аҵысҭра,rede
158,Nest::N,аҵысҭра,näste
159,Bau::N,аҭыҩра,bo
160,Tier::N,аҧстəы,djur
161,Tier::N,агыгшəыг,djur
162,Herde::N,агəарҭа,flock
163,Kuh::N,ажə,ko
164,Bulle::N,ацə,tjur
165,Pferd::N,аҽы,häst
166,Schaf::N,ауаса,får
167,Schwein::N,аҳəа,svin
168,Hund::N,ала,hund
169,Katze::N,ацгəы,katt
170,Bär::N,амшə,björn
171,Eichhörnchen::N,аеш,ekorre
172,Elch::N,аҽаҩа,älg
173,Fuchs::N,абгахəыҷы,räv
174,Hase::N,ажьа,hare
175,Maus::N,аҳəынаҧ,mus
176,Wolf::N,абгаду,varg
177,Vogel::N,аҧсаатə,fågel
178,Huhn::N,акəты,höns
179,Hahn::N,арбаҕь,tupp
180,Gans::N,аҟыз,gås
181,Adler::N,ауарба,örn
182,Ente::N,акəата,anka
183,Eule::N,аты,uggla
184,Kranich::N,апҟа,trana
185,Krähe::N,аҟəараан,kråka
186,Kuckuck::N,акəыкəу,gök
187,Schwan::N,агьад,svan
188,Fisch::N,аҧсыӡ,fisk
189,Barsch::N,ацəыбла,abborre
190,Hecht::N,ахиаала,gädda
191,Schlange[Tier]::N,амаҭ,orm
192,Wurm::N,ахəа,mask
193,Wurm::N,ахəац,mask
194,Spinne::N,абызкаҭаҳа,spindel
195,Ameise::N,ашышкамс,myra
196,Laus::N,аҵа,lus
197,Mücke::N,акəыбры,mygga
198,Fliege::N,амҵ,fluga
199,Schmetterling::N,аҧарҧалыкь,fjäril
200,Beere::N,аргуц,bär
201,Apfel::N,аҵəа,äpple
202,Pilz::N,акəкəбаа,svamp
203,Zwiebel::N,аџьымшьы,lök
204,Zwiebel::N,аџьымшьхы,lök
205,Saat::N,ажəла,sådd
206,Korn::N,арыц,korn
207,Heu::N,аҭəа,hö
208,Schale::N,ацəа,skal
209,Grube::N,ажра,grop
210,Grube::N,атыша,grop
211,Falle::N,арыҧҟьа,fälla
212,Schlinge::N,аҟəараҟəантə,snara
213,Spur::N,ашьҭа,spår
214,Asche::N,ахəа,aska
215,Dreck::N,аҳəынҵəа,lort
216,Dreck::N,аҟьамсар,lort
217,Eisen::N,аиха,järn
218,Gold::N,ахьы,guld
219,Silber::N,аразны,silver
220,Kohle::N,арацəа,kol
221,Glas::N,асаркьа,glas
222,Lehm::N,анышəаҧшь,lera
223,Sand::N,аҧслымӡ,sand
224,Mensch::N,ауаҩы,människa
225,Mann::N,ахаҵа,man
226,Frau::N,аҧҳəыс,kvinna
227,Kind::N,ахəыҷы,barn
228,Junge::N,аҷкəын,pojke
229,Junge::N,ахаҵарҧыс,pojke
230,Mädchen::N,аӡӷаб,flicka
231,Familie::N,аҭаацəа,familj
232,Großvater::N,абду,morfar
233,Großmutter::N,анду,farmor
234,Eltern::N,ани аби,föräldrar
235,Vater::N,аб,far
236,Mutter::N,ан,mor
237,Sohn::N,аҧа,son
238,Tochter::N,аҧҳа,dotter
239,Bruder::N,аиашьа,bror
240,Schwester::N,Аҳəшьа,syster
241,Onkel::N,абиашьа,morbror
242,Onkel::N,аншьа,morbror
243,Tante::N,абиаҳəшьа,tant
244,Ehemann::N,ахаҵа,äkta man
245,Ehemann::N,аҧшəма,äkta man
246,Ehefrau::N,аҧҳəыс,hustru
247,Freude::N,агəырӷьара,fröjd
248,Freude::N,агəырӷьара,glädje
249,Gelächter::N,ачча,åtlöje
250,Gelächter::N,аччара,åtlöje
251,Glück::N,аразҟы,lycka
252,Kummer::N,агəырҩа,sorg
253,Wunsch::N,агəхəтəы,önskan
254,Wunsch::N,аҭахра,önskan
255,Lust::N,агəазыҳəара,lust
256,Geist::N,аҧсы,ande
257,Gedanke::N,ахəыцырҭа,tanke
258,Gedächtnis::N,агəынкылара,minne
259,Verstand::N,ахшыҩ,förstånd
260,Sinn::N,аҵакы,mening
261,Sinn::N,аҵакы,betydelse
262,Grund::N,амзыз,skäl
263,Grund::N,амзыз,grund
264,Wahrheit::N,аиаша,sanning
265,Gespräch::N,аиҿцәажәара,samtal
266,Märchen::N,алакə,saga
267,Erzählung::N,ажәабжь,berättelse
268,Nachricht::N,адырраҭара,meddelande
269,Neuigkeit::N,ажәабжь ҿыц,nyhet
270,Name::N,ахьӡ,namn
271,Rätsel::N,ацуфара,gåta
272,Rede::N,ажәа,tal
273,Sprache::N,абызшəа,språk
274,Stimme::N,абжьы,stämma
275,Wort::N,ажәа,ord
276,Zeichen::N,адырга,tecken
277,Ruf::N,аҿҭы,rop
278,Lärm::N,ашьҭыбжь,bråk
279,Lärm::N,ашьҭыбжь,oväsen
280,Laut::N,ашьҭыбжь,ljud
281,Ton::N,атон,ton
282,Lied::N,ашəа,sång
283,Ruhe::N,аҭынчра,ro
284,Ruhe::N,аҭынчра,lugn
285,Leute::N,ауаа,folk
286,Volk::N,ажəлар,folk
287,Arbeit::N,аусура,arbete
288,Gast::N,асас,gäst
289,Geschenk::N,аҳамҭа,gåva
290,Geschenk::N,аҳамҭа,present
291,Geschenk::N,аҿанҵа,gåva
292,Geschenk::N,аҿанҵа,present
293,Spiel::N,ахəмарра,lek
294,Spiel::N,ахəмарра,spel
295,Gesellschaft::N,агəыҧ,sällskap
296,Hilfe::N,ацхыраара,hjälp
297,Freund::N,аҩыза,vän
298,Kamerad::N,Аҧхнагьла,kamrat
299,Angelegenheit::N,аус,ärende
300,Angelegenheit::N,аус,angelägenhet
301,Anzahl::N,ахыҧхьаӡара,antal
302,Art::N,ахкы,art
303,Art::N,ахкы,slag
304,Stück::N,аҽыҭ,stycke
305,Teil::N,ахəҭа,del
306,Hälfte::N,абжа,halva
307,Kreis::N,агьагьа,krets
308,Kreis::N,агьагьа,cirkel
309,Kreuz::N,аџьар,kors
310,Kreuz::N,аџьар,kryss
311,Linie::N,аицтәар,linje
312,Strich::N,ацəаҳəа,streck
313,Abstand::N,абжьара,avstånd
314,Entfernung::N,абжьара,avstånd
315,Gegend::N,аҭыҧ,trakt
316,Platz::N,аҭыҧ,plats
317,Ort::N,аҭыҧ,plats
318,Ort::N,аҭыҧ,ställe
319,Seite::N,аган,sida
320,Mitte::N,агəҭа,mitt
321,Gegenstand::N,амаҭəар,föremål
322,Rand::N,аҵкар,rand
323,Kante::N,авардым,kant
324,Ecke::N,акəакь,vrå
325,Ecke::N,акəакь,hörn
326,Spitze::N,аҧынҵа,spets
327,Ende::N,анаӡара,ända
328,Loch::N,акылҵəара,hål
329,Winkel::N,агҿаҩра,vinkel
330,Winkel::N,акəындхə,vinkel
331,Winkel::N,акəакь,vinkel
332,Muster::N,аҟҟа,mönster
333,Größe::N,изаҟароу,storlek
334,Länge::N,аура,längd
335,Höhe::N,агылара,höjd
336,Gewicht::N,акапан,tyngd
337,Haufen::N,ачаҟəа,hög
338,Reihe::N,ацəаҳəа,rad
339,Boot::N,анышь,båt
340,Ruder::N,ажəҩа,åra
341,Schlitten::N,ашəаҩауардын,släde
342,Ski::N,ашəаҩа,skida
343,Ski::N,ашьахаха,skida
344,Lagerfeuer::N,еиқуу амца,lägereld
345,Last::N,ахьанҭара,last
346,Last::N,ахьанҭара,börda
347,Gang::N,аныҟəара,gång
348,Schritt::N,ашьаҿа,steg
349,Norden::N,аҩада,norr
350,Süden::N,алада,söder
351,Westen::N,амраҭашəара,väster
352,Osten::N,амрагылара,öster
353,Holz::N,амҿымаҭəахə,trä
354,Brett::N,аӷəы,bräda
355,Platte::N,ахаҳәцәы,platta
356,Stütze::N,аҵаргəа,stöd
357,Stütze::N,аҵаргəа,stötta
358,Stütze::N,агəышьаҟа,stöd
359,Stütze::N,агəышьаҟа,stötta
360,Stange::N,акьат,stång
361,Stock::N,алаба,käpp
362,Stock::N,алаба,pinne
363,Stab::N,акьат,stav
364,Rohr::N,абыкь,rör
365,Haus::N,аҩны,hus
366,Heim::N,аҭаацəа,hem
367,Ofen::N,аҳақə,ugn
368,Ofen::N,ауаџьаҟ,ugn
369,Ofen::N,афрына,ugn
370,Fußboden::N,адашьма,golv
371,Tisch::N,аишәа,bord
372,Stuhl::N,аҟəардə,stol
373,Wiege::N,агара,vagga
374,Bett::N,акаруаҭ,säng
375,Regal::N,акыӷəра,hylla
376,Kiste::N,аидчаҧала,låda
377,Fenster::N,аҧенџьыр,fönster
378,Tür::N,ашə,dörr
379,Tor::N,агəашə,port
380,Zaun::N,аанда,staket
381,Zaun::N,аанда,stängsel
382,Dach::N,ахыб,tak
383,Leiter::N,амардуан,stege
384,Besen::N,аҧссага,kvast
385,Spaten::N,ажыга,spade
386,Schaufel::N,аҭəарӷəы,skovel
387,Schaufel::N,аҭəарӷəы,skyffel
388,Gabel::N,ачқьыҧ,gaffel
389,Löffel::N,амҳаҵə,sked
390,Messer::N,аҳəызба,kniv
391,Nagel::N,аҵəымӷ,spik
392,Netz::N,акаҭа,nät
393,Haken::N,аҵəаҳə,krok
394,Griff::N,амаа,tag
395,Griff::N,амаа,handtag
396,Schloss::N,асаҧаҭ,las
397,Bild::N,асахьа,bild
398,Figur::N,афигура,figur
399,Puppe::N,акьанџьа,docka
400,Beutel::N,асакь,påse
401,Bündel::N,аҿаҳəара,bunt
402,Bündel::N,аҿаҳəара,knippa
403,Tasche::N,арҭмаҟ,väska
404,Eimer::N,аведра,hink
405,Eimer::N,аведра,ämbar
406,Deckel::N,ахҩа,lock
407,Geschirr::N,ачысмаҭəа,servis
408,Geschirr::N,ачысмаҭəа,porslin
409,Sack::N,асакь,säck
410,Tasse::N,аҵəца,kopp
411,Topf::N,акаструлиа,gryta
412,Topf::N,акаструлиа,kastrull
413,Kessel::N,ачуан,kittel
414,Nahrung::N,афатə,näring
415,Speise::N,афатə,maträtt
416,Fleisch::N,акəац,kött
417,Getreide::N,ачакуа,säd
418,Getreide::N,ачакуа,spannmål
419,Brei::N,ақашь,gröt
420,Brot::N,ача,bröd
421,Scheibe::N,аҽыҭ,skiva
422,Scheibe::N,аҿаҵа,skiva
423,Fett::N,ашша,fett
424,Butter::N,ахəша,smör
425,Öl::N,азеҭ,olja
426,Salz::N,аџьыка,salt
427,Suppe::N,асуҧ,soppa
428,Honig::N,ацха,honung
429,Milch::N,ахш,mjölk
430,Tee::N,ачаи,te
431,Leder::N,ацəа,läder
432,Wolle::N,аласа,ull
433,Wolle::N,аласа,ylle
434,Stoff::N,Аба,tyg
435,Stoff::N,Аба,stoff
436,Nadel::N,агəыр,nål
437,Faden::N,арахəыц,tråd
438,Knopf::N,аҳəынҵəра,knapp
439,Knoten::N,аиқəҳəала,knut
440,Farbe::N,ашəыга,färg
441,Kleidung::N,амаҭəа,klädsel
442,Hemd::N,акьаҿ,skjorta
443,Kragen::N,ахəда,krage
444,Ärmel::N,амаӷра,ärm
445,Hose::N,аиқəа,byxor
446,Gürtel::N,амаҟа,bälte
447,Mütze::N,ахылҧа,mössa
448,Schuh::N,аимаа,sko
449,Stiefel::N,амагə,stövel
450,Ring::N,амацəаз,ring
451,Band::N,алента,band
452,Kamm::N,ахҳəа,kam
453,Spiegel::N,асаркьа,spegel
454,Riemen::N,аа,rem
455,Schnur::N,ашаха,snöre
456,Leine::N,аҕура,lina
457,Decke::N,ахыза,täcke
458,Kissen::N,ахчы,dyna
459,Kissen::N,ахчы,kudde
460,Tuch::N,акасы,sjal
461,Handtuch::N,ампахьшьы,handduk
462,Kraft::N,амч,kraft
463,Stärke::N,амч,styrka
464,Gesundheit::N,агəабзиара,hälsa
465,Krankheit::N,ачымазара,sjukdom
466,Schmerz::N,ахьаа,smärta
467,Wunde::N,ахəра,sår
468,Fieber::N,ашоура,feber
469,Arznei::N,ахəшə,medicin
470,Arznei::N,ахəшə,läkemedel
471,Brücke::N,ацҳа,bro
472,Brunnen::N,аҵыџь,brunn
473,Weide::N,аҳəырҭа,bete
474,Pfad::N,амхəасҭа,stig
475,Weg::N,амҩа,väg
476,Straße::N,амҩа,gata
477,Dorf::N,ақыҭа,by
478,Stadt::N,ақалақь,stad
479,Brief::N,ашəҟəы,brev
480,Buch::N,ашəҟəы,bok
481,Buchstabe::N,анбан,bokstav
482,Zeitung::N,агазеҭ,tidning
483,Leben::N,аҧсҭазаара,liv
484,Tod::N,аҧсра,död
485,Grab::N,анышəынҭра,grav
486,Kirche::N,ауахəама,kyrka
487,Sünde::N,агəнаҳа,synd
488,Gott::N,анцəа,gud
489,Arbeiter::N,аусуҩ,arbetare
490,Chef::N,Аиҳабы,chef
491,Meister::N,аҟаза,mästare
492,Arzt::N,аҳақьым,läkare
493,Lehrer::N,арҵаҩы,lärare
494,Geld::N,аҧара,pengar
495,Laden::N,амагазин,affär
496,Preis::N,ахə,pris
497,Ware::N,атауар,vara
498,Nutzen::N,ақьар,gagn
499,Nutzen::N,ақьар,nytta
500,Reichtum::N,абеиара,rikedom
501,Welt::N,адунеи,värld
502,Land::N,атəыла,land
503,Staat::N,аҳəынҭқарра,stat
504,König::N,акрал,kung
505,König::N,акрал,konung
506,Macht::N,амчра,makt
507,Grenze::N,аҳəаа,gräns
508,Krieg::N,аибашьра,krig
509,Feind::N,Аҕа,fiende
510,Gewalt::N,ақəымчра,våld
511,Kampf::N,ақəҧара,kamp
512,Kampf::N,ақəҧара,strid
513,Bogen[Waffe]::N,ахыц,båge
514,Pfeil::N,ахəымпал,pil
515,Gewehr::N,ашəақь,gevär
516,Fehler::N,агха,fel
517,Lüge::N,амц,lögn
518,Schaden::N,аҧырхага,skada
519,Unglück::N,арыцҳара,otur
520,Unglück::N,арыцҳара,olycka
521,Schuld::N,ахара,skuld
522,Alter::N,ақəра,ålder
523,Schluss::N,анҵəамҭа,slut
524,Zeit::N,аамта,tid
525,Tag::N,амш,dag
526,Morgen::N,ашара,morgon
527,Morgen::N,ашьыбжь,morgon
528,Mittag::N,шьыбжьон,middag
529,Abend::N,ахəылҧаз,kväll
530,Abend::N,ахəлбыҽха,kväll
531,Nacht::N,аҵх,natt
532,Woche::N,амчыбжь,vecka
533,Frühling::N,ааҕын,vår
534,Sommer::N,аҧхын,sommar
535,Herbst::N,ҭагалан,höst
536,Herbst::N,хкаарачан,höst
537,Winter::N,аӡын,vinter
538,Januar::N,ианвар,januari
539,Februar::N,февраль,februari
540,März::N,март,mars
541,April::N,апрель,april
542,Mai::N,маи,maj
543,Juni::N,иуун,juni
544,Juli::N,иууль,juli
545,August::N,август,augusti
546,September::N,сентиабр,september
547,Oktober::N,октиабр,oktober
548,November::N,ноиабр,november
549,Dezember::N,декабр,december
550,Montag::N,ашəахьа,måndag
551,Dienstag::N,аҩаша,tisdag
552,Mittwoch::N,ахаша,onsdag
553,Donnerstag::N,аҧшьаша,torsdag
554,Freitag::N,ахəаша,fredag
555,Samstag::N,асабша,lördag
556,Sonntag::N,амҽыша,söndag
557,groß::A,аду,stor
558,klein::A,амаҷ,liten
559,lang::A,ахəхəа,lång
560,kurz::A,акьаҿ,kort
561,breit::A,аиужь,bred
562,breit::A,аиҵых,bred
563,schmal::A,аҭшəа,smal
564,dicht::A,аилач,tät
565,dick[Gegenstand]::A,ажəпа,tjock
566,fein::A,апа,fin
567,fein::A,аҵаӷа,fin
568,fein::A,аӡа,fin
569,fest::A,аҟаца,fast
570,fest::A,аӷəӷəаҟаца,fast
571,flach::A,ақəаҟьа,platt
572,flach::A,аҧаҟьа,platt
573,glatt::A,аимаҩзы,glatt
574,hart::A,акьакьа,hård
575,weich::A,атата,mjuk
576,rund::A,акəмпыл,rund
577,spitz::A,аҵар,toppig
578,spitz::A,аҵар,spetsig
579,scharf::A,аҵар,vass
580,scharf::A,аҵар,skarp
581,stumpf::A,ацагə,slö
582,schwer::A,ахьанҭа,tung
583,schön::A,аҧшӡа,skön
584,schön::A,аҧшӡа,vacker
585,heiß::A,ашы,het
586,warm::A,аҧха,varm
587,kalt::A,ахьшəашəа,kall
588,kühl::A,ахьшəашəа,sval
589,kühl::A,ахьшəашəа,kylig
590,kühl::A,ицәыхьшәашәоу,sval
591,kühl::A,ицәыхьшәашәоу,kylig
592,frisch::A,цқьа,färsk
593,feucht::A,ацəаак,fuktig
594,nass::A,абааӡа,våt
595,trocken::A,Аба,torr
596,trocken::A,аҩа,torr
597,voll::A,азна,full
598,leer::A,аҭацəы,tom
599,offen::A,аарта,öppen
600,geschlossen::A,ихҩоу,stängd
601,geschlossen::A,иаркыу,stängd
602,sauber::A,ацқьа,ren
603,schmutzig::A,аҟьашь,snuskig
604,reif::A,Арҭ,mogen
605,reif::A,аҟала,mogen
606,reif::A,иҟалахьоу,mogen
607,lecker::A,ахаа,läcker
608,süß::A,азла,söt
609,bitter::A,аша,besk
610,bitter::A,аша,bitter
611,sauer::A,аҵəҵəы,sur
612,hell::A,алаша,ljus
613,dunkel::A,алашьца,mörk
614,schwarz::A,аиқуаҵәа,svart
615,weiß::A,ашкəакəа,vit
616,rot::A,аҟаҧшь,röd
617,gelb::A,аҩеижь,gul
618,blau::A,аҽҵәа,blå
619,grün::A,ашьацҧшҭəала,grön
620,grün::A,аеҵəа,grön
621,grau::A,ацəыш,grå
622,bunt::A,Аилыҕраа,brokig
623,bunt::A,аҕраҷкəын,brokig
624,billig::A,амариа,billig
625,teuer::A,амҩан,dyr
626,wertvoll::A,кыр иаҕсоу,värdefull
627,wertvoll::A,акыр иаҕсоу,värdefull
628,blind::A,алашə,blind
629,taub::A,адагəа,döv
630,kräftig::A,аӷəӷəа,kraftig
631,stark::A,абаҟа,stark
632,schwach::A,акəада,svag
633,fett::A,аҧсыла,fet
634,schlank::A,акала,slank
635,schlank::A,акьалантар,slank
636,schlank::A,аиҿартə,slank
637,hübsch::A,аҧшӡа,snygg
638,hübsch::A,аҧшӡа,vacker
639,böse::A,абааҧсы,ond
640,böse::A,абааҧсы,elak
641,dumm::A,агаӡа,dum
642,faul::A,аашьа,lat
643,fleißig::A,иҟубҷоу,flitig
644,geizig::A,акы,snål
645,geizig::A,акы,girig
646,geizig::A,акаҷбеи,snål
647,geizig::A,акаҷбеи,girig
648,geizig::A,аҟəџьыр,snål
649,geizig::A,аҟəџьыр,girig
650,klug::A,аҟəыш,klok
651,klug::A,аҟəыӷа,klok
652,geschickt::A,напҟазала,händig
653,geschickt::A,напҟазала,skicklig
654,lieb::A,алашара,kär
655,lieb::A,алашара,snäll
656,lustig::A,алах-ҿых,rolig
657,lustig::A,алах-ҿых,lustig
658,lustig::A,игурҕьаччо,rolig
659,lustig::A,игурҕьаччо,lustig
660,lustig::A,агурҕьа,rolig
661,lustig::A,агурҕьа,lustig
662,lustig::A,агурҿыхага,rolig
663,lustig::A,агурҿыхага,lustig
664,sanft::A,атата,mild
665,sanft::A,аҟəымшəышə,mild
666,sanft::A,ақьыҧш,mild
667,hungrig::A,амлашь,hungrig
668,krank::A,ачымазаҩ,sjuk
669,nackt::A,аҟьантаз,naken
670,traurig::A,алахьеиқəҵага,ledsen
671,traurig::A,алахьеиқəҵага,sorgsen
672,lebendig::A,абза,levande
673,gut::A,абзиа,bra
674,schlecht::A,-хəарҭам,dålig
675,richtig::A,иашоу,riktig
676,schlimm::A,абааҧсы,illa
677,wahr::A,агəҭылса,sann
678,wahr::A,абзиаҵəҟьа,sann
679,alt::A,Ажə,gammal
680,neu::A,аҿыц,ny
681,ehemalig::A,анкьатәи,forn
682,ehemalig::A,анкьатәи,tidigare
683,alt[Lebewesen]::A,абырг,gammal
684,alt[Lebewesen]::A,ақабада,gammal
685,alt[Lebewesen]::A,Ажə,gammal
686,jung::A,аҟата,ung
687,arm::A,ананамга,fattig
688,reich::A,абеиа,rik
689,bekannt::A,адыр,känd
690,berühmt::A,адыр,berömd
691,fremd::A,атəым,främmande
692,verschieden::A,Еиуа-еиҧшым,åtskillig
693,nah::A,ааигəа,nära
694,fern::A,ахара,fjärran
695,linker::A,арма,vänster
696,rechter::A,арҕьа,höger
697,anderer::A,даҽа,annan
698,anderer::A,даҽакы,annan
699,erster::A,актәи,första
700,zweiter::A,аҩбатəи,andra
701,dritter::A,ахҕатәи,tredje
702,letzter::A,аҵыхəтəантəи,sist
703,allein::ADV,мацара,allena
704,auf einmal::ADV,зныкала,på en gång
705,auf einmal::ADV,зныкҟьара,på en gång
706,zusammen::ADV,аиц...,tillsammans
707,lange::ADV,акыраамҭа,länge
708,plötzlich::ADV,иаалырҟьаны,plötsligt
709,sofort::ADV,иаразнакҵәҟьа,strax
710,sofort::ADV,иаразнакҵәҟьа,genast
711,später::ADV,уажəшьҭаншəа,senare
712,jetzt::ADV,уажәы,nu
713,heute::ADV,иахьа,i dag
714,morgen::ADV,уаҵәы,i morgon
715,bald::ADV,иласны,snart
716,dann::ADV,нас,då
717,gestern::ADV,иацы,i går
718,einst::ADV,зны,en gång
719,damals::ADV,усҟан,då
720,damals::ADV,усҟан,den gången
721,danach::ADV,нас,därefter
722,vorher::ADV,уаанӡа,före
723,vorher::ADV,уаанӡа,förut
724,zuerst::ADV,азнаказы,först
725,zuerst::ADV,аҧхьа,först
726,einmal::ADV,зны,en gång
727,manchmal::ADV,зны-зынла,ibland
728,oft::ADV,лассы-лассы,ofta
729,immer::ADV,енагь,alltid
730,immer::ADV,еснагь,alltid
731,niemals::ADV,ианакəызаалак,aldrig
732,hier::ADV,ара,här
733,hier::ADV,абра,här
734,hier::ADV,араҟа,här
735,hierhin::ADV,ара,hit
736,hierhin::ADV,араҟа,hit
737,von hier::ADV,арантә,härifrån
738,dort::ADV,уа,där
739,dorthin::ADV,уахь,dit
740,dorthin::ADV,анахь,dit
741,geradeaus::ADV,ишиашоу,rätt fram
742,vorwärts::ADV,ҕхьаҟа,fram
743,vorwärts::ADV,ҕхьаҟа,framåt
744,rückwärts::ADV,шьҭахьла,baklänges
745,zurück::ADV,шьҭахьҟа,tillbaka
746,unten::ADV,лбаа,nere
747,unten::ADV,лбаа,nedanför
748,hinab::ADV,алада,ned
749,hinab::ADV,алада,nedåt
