,Concept_ID,kk,sl
163,Ei::N,жұмыртқа,jájce
164,Nest::N,ұя,gnézdo
165,Bau::N,жатақ,brlòg
166,Tier::N,айуан,živál
167,Tier::N,жануар,živál
168,Herde::N,пада,čréda
169,Kuh::N,сиыр,kráva
170,Bulle::N,өгіз,bìk
171,Pferd::N,жылқы,kònj
172,Schaf::N,қой,ôvca
173,Schwein::N,шошқа,svínja
174,Hund::N,ит,pès
175,Katze::N,мысық,máčka
176,Bär::N,аю,mêdved
177,Eichhörnchen::N,тиін,véverica
178,Elch::N,бұғы,lós
179,Fuchs::N,түлкі,lisíca
180,Hase::N,қоян,zájec
181,Maus::N,қаптесер,mìš
182,Wolf::N,бөрі,vólk
183,Wolf::N,қасқыр,vólk
184,Vogel::N,құс,ptìč
185,Vogel::N,құс,ptíca
186,Schwarm::N,топ,játa
187,Schwarm::N,үйір,játa
188,Huhn::N,тауық,kokóš
189,Huhn::N,мекиен,kokóš
190,Hahn::N,әтеш,petêlin
191,Hahn::N,қораз,petêlin
192,Gans::N,қаз,gós
193,Adler::N,бүркіт,ôrel
194,Ente::N,үйрек,ráca
195,Eule::N,жапалақ,sôva
196,Kranich::N,тырна,žerjàv
197,Krähe::N,қарға,vrána
198,Kuckuck::N,көкек,kúkavica
199,Schwan::N,аққу,labód
200,Fisch::N,балық,ríba
201,Barsch::N,алабұға,ostríž
202,Hecht::N,шортан,ščúka
203,Schlange[Tier]::N,жылан,káča
204,Wurm::N,шұбалшаң,čr̀v
205,Wurm::N,шұбалшаң,glísta
206,Spinne::N,өрмекші,pájek
207,Ameise::N,қүмырска,mrávlja
208,Laus::N,бит,úš
209,Mücke::N,маса,komár
210,Fliege::N,шыбын,múha
211,Schmetterling::N,көбелек,metúlj
212,Beere::N,жидек,jágoda
213,Apfel::N,алма,jábolko
214,Pilz::N,қозықұйрық,góba
215,Pilz::N,саңыраукулақ,góba
216,Zwiebel::N,жуа,čebúla
217,Saat::N,тұқым,séme
218,Korn::N,дән,zŕno
219,Heu::N,шөп,senó
220,Schale::N,қабық,lupína
221,Schale::N,қабығы,lupína
222,Grube::N,ор,jáma
223,Falle::N,дұзақ,pást
224,Falle::N,қақпан,pást
225,Schlinge::N,ілмек,zánka
226,Schlinge::N,ілмек,pêtlja
227,Spur::N,із,sléd
228,Asche::N,күл,pepél
229,Dreck::N,былғаныш,bláto
230,Eisen::N,темір,želézo
231,Gold::N,алтын,zlató
232,Silber::N,күміс,srebró
233,Kohle::N,көмір,ógel
234,Glas::N,шыны,stêklo
235,Lehm::N,балшық,ílo
236,Sand::N,құм,pések
237,Mensch::N,адам,člôvek
238,Mann::N,еркек,móž
239,Mann::N,еркек,môški
240,Mann::N,ер адам,móž
241,Mann::N,ер адам,môški
242,Frau::N,бике,gospá
243,Frau::N,бике,žénska
244,Frau::N,қатын,gospá
245,Frau::N,қатын,žénska
246,Kind::N,бала,déte
247,Kind::N,бала,otròk
248,Kind::N,перзент,déte
249,Kind::N,перзент,otròk
250,Junge::N,бала,fànt
251,Junge::N,бала,déček
252,Junge::N,ер бала,fànt
253,Junge::N,ер бала,déček
254,Mädchen::N,қыз,deklè
255,Mädchen::N,қыз,déklica
256,Familie::N,жанұя,družína
257,Großvater::N,ата,dèd
258,Großvater::N,ата,dédek
259,Großmutter::N,әже,bábica
260,Großmutter::N,әжей,bábica
261,Eltern::N,ата-аналар,stárši
262,Vater::N,әке,ôče
263,Mutter::N,ана,máma
264,Sohn::N,ұл,sín
265,Tochter::N,қызым,hčí
266,Tochter::N,қызым,hčérka
267,Bruder::N,бауырым,bràt
268,Schwester::N,әпке,sêstra
269,Onkel::N,көке,újec
270,Onkel::N,көке,stríc
271,Tante::N,тәте,têta
272,Tante::N,тәте,strína
273,Ehemann::N,ер,móž
274,Ehemann::N,ер,sopróg
275,Ehefrau::N,зайып,žêna
276,Ehefrau::N,зайып,sopróga
277,Freude::N,қуаныш,rádost
278,Freude::N,қуаныш,vesêlje
279,Freude::N,сүйініш,rádost
280,Freude::N,сүйініш,vesêlje
281,Freude::N,шат-думан,rádost
282,Freude::N,шат-думан,vesêlje
283,Freude::N,қуаныштылық,rádost
284,Freude::N,қуаныштылық,vesêlje
285,Gelächter::N,күлу,sméh
286,Gelächter::N,күлу,grohòt
287,Glück::N,бақыт,sréča
288,Glück::N,бақыттылық,sréča
289,Kummer::N,аза,gorjé
290,Kummer::N,қайғы,gorjé
291,Kummer::N,қасырет,gorjé
292,Wunsch::N,мүдде,žêlja
293,Lust::N,тәбет,poželênje
294,Lust::N,ынтызар,poželênje
295,Lust::N,құштарлық,poželênje
296,Geist::N,рух,dúša
297,Gedanke::N,ой,mísel
298,Gedächtnis::N,ес,pámet
299,Gedächtnis::N,жады,pámet
300,Gedächtnis::N,ақыл-ес,pámet
301,Verstand::N,ақыл,
302,Verstand::N,парасат,
303,Sinn::N,мән,pomèn
304,Sinn::N,мән,smísel
305,Sinn::N,маныз,pomèn
306,Sinn::N,маныз,smísel
307,Sinn::N,мағына,pomèn
308,Sinn::N,мағына,smísel
309,Sinn::N,мән-мағына,pomèn
310,Sinn::N,мән-мағына,smísel
311,Grund::N,себеп,vzròk
312,Wahrheit::N,рас,resníca
313,Gespräch::N,әңгіме,pogóvor
314,Märchen::N,ертеп,právljica
315,Märchen::N,ертек,právljica
316,Erzählung::N,әңгіме,povést
317,Nachricht::N,хабар,sporočílo
318,Neuigkeit::N,жаңалық,novóst
319,Name::N,ат,imé
320,Name::N,атау,imé
321,Rätsel::N,жұмбақ,ugánka
322,Rede::N,сөз,góvor
323,Sprache::N,тіл,jêzik
324,Stimme::N,үн,glás
325,Stimme::N,әуен,glás
326,Stimme::N,дауыс,glás
327,Wort::N,сөз,beséda
328,Zeichen::N,ишара,znák
329,Ruf::N,айғай,klíc
330,Lärm::N,айғай-шу,hrúp
331,Lärm::N,айғай-шу,trúšč
332,Lärm::N,айғай-ұйғай,hrúp
333,Lärm::N,айғай-ұйғай,trúšč
334,Laut::N,дыбыс,glás
335,Laut::N,дауыс,glás
336,Ton::N,әуен,tón
337,Lied::N,ән,pésem
338,Lied::N,жыр,pésem
339,Lied::N,ән-жыр,pésem
340,Ruhe::N,тыныштық,pokòj
341,Leute::N,кісілер,ljudjé
342,Volk::N,халық,národ
343,Arbeit::N,еңбек,délo
344,Gast::N,қонақ,gòst
345,Gast::N,мейман,gòst
346,Geschenk::N,қадия,darílo
347,Spiel::N,ойын,ígra
348,Gesellschaft::N,қауым,drúžba
349,Gesellschaft::N,жұртшылық,drúžba
350,Hilfe::N,жэрдем,pomóč
351,Freund::N,дос,prijátelj
352,Kamerad::N,дос-жар,továriš
353,Angelegenheit::N,жұмыс,zadéva
354,Anzahl::N,сан,števílo
355,Anzahl::N,саны,števílo
356,Art::N,түр,vŕsta
357,Stück::N,тілім,kós
358,Teil::N,үлес,dél
359,Teil::N,бөлшек,dél
360,Hälfte::N,жарты,polovíca
361,Kreis::N,шеңбер,króg
362,Kreis::N,шеңбер,kolobár
363,Kreuz::N,крест,kríž
364,Linie::N,сызық,próga
365,Strich::N,сызық,čŕta
366,Abstand::N,ара,preslédek
367,Abstand::N,аралық,preslédek
368,Entfernung::N,аралық,oddáljenost
369,Gegend::N,өңір,kràj
370,Gegend::N,өңір,dežêla
371,Platz::N,орны,prôstor
372,Ort::N,орын,mésto
373,Seite::N,жақ,bòk
374,Seite::N,жақ,strán
375,Seite::N,бүйір,bòk
376,Seite::N,бүйір,strán
377,Mitte::N,ортасы,sredína
378,Gegenstand::N,зат,prédmet
379,Gegenstand::N,нәрсе,prédmet
380,Sache::N,бұйым,réč
381,Sache::N,бұйым,stvár
382,Rand::N,шет,kràj
383,Rand::N,шеті,kràj
384,Kante::N,қыр,rób
385,Kante::N,қыры,rób
386,Ecke::N,қыры,vogál
387,Ecke::N,бұрыш,vogál
388,Spitze::N,ұшы,óst
389,Ende::N,аяқ,kônec
390,Ende::N,соңы,kônec
391,Loch::N,тесік,lúknja
392,Winkel::N,мүйіс,kót
393,Muster::N,мәнер,vzórec
394,Größe::N,ауқым,veličína
395,Größe::N,көлемдік,veličína
396,Länge::N,бой,dolžína
397,Länge::N,ұзындық,dolžína
398,Höhe::N,жоғарылық,vršína
399,Höhe::N,биіктік,vršína
400,Gewicht::N,салмақ,téža
401,Menge::N,мөлшер,količína
402,Haufen::N,үйме,kùp
403,Haufen::N,үйме,kopíca
404,Haufen::N,үйінді,kùp
405,Haufen::N,үйінді,kopíca
406,Reihe::N,сап,níz
407,Reihe::N,сап,vŕsta
408,Boot::N,қайық,čóln
409,Ruder::N,ескек,vêslo
410,Schlitten::N,шана,saní
411,Ski::N,шаңғы,smučí
412,Lagerfeuer::N,алау,táborni ôgenj
413,Last::N,ауырлық,tôvor
414,Last::N,ауыр зат,tôvor
415,Gang::N,жүріс,hòd
416,Schritt::N,адым,korák
417,Norden::N,солтүстік,séver
418,Norden::N,терістік,séver
419,Süden::N,оңтүстік,júg
420,Westen::N,батыс,zapàd
421,Osten::N,күншығыс,vzhòd
422,Holz::N,ағаш,lés
423,Holz::N,сүрек,lés
424,Brett::N,тақта,deskà
425,Platte::N,тақта,plôča
426,Stütze::N,тіреу,opóra
427,Stütze::N,тіреу,zaslómba
428,Stange::N,қада,gréd
429,Stock::N,сойыл,pálica
430,Stab::N,сырық,pálica
431,Rohr::N,құбыр,cév
432,Haus::N,үй,híša
433,Heim::N,үйлі,dóm
434,Heim::N,шаңырақ,dóm
435,Ofen::N,ошақ,péč
436,Ofen::N,пеш,péč
437,Fußboden::N,еден,pòd
438,Tisch::N,үстел,míza
439,Stuhl::N,орындық,stòl
440,Wiege::N,бесік,zíbel
441,Bett::N,кереует,póstelja
442,Regal::N,сөре,políca
443,Kiste::N,жәшік,zabòj
444,Fenster::N,терезе,ôkno
445,Tür::N,есік,vráta
446,Tor::N,дарбаза,velíka vráta
447,Zaun::N,дуал,ográja
448,Dach::N,шатыр,stréha
449,Leiter::N,саты,léstev
450,Leiter::N,басқыш,léstev
451,Besen::N,сыпырғыш,mêtla
452,Spaten::N,күрек,lopáta
453,Schaufel::N,қалақ,lopáta
454,Gabel::N,аша,vílice
455,Gabel::N,шанышқы,vílice
456,Löffel::N,қасық,žlíca
457,Messer::N,пышақ,nòž
458,Nagel::N,мық,žebèlj
459,Nagel::N,шеге,žebèlj
460,Netz::N,керегекөз,mréža
461,Haken::N,ілмек,kljúka
462,Griff::N,сап,ročáj
463,Griff::N,сап,oprijèm
464,Griff::N,тұтқа,ročáj
465,Griff::N,тұтқа,oprijèm
466,Schloss::N,құлып,ključávnica
467,Schloss::N,бекіткіш,ključávnica
468,Bild::N,сурет,slíka
469,Figur::N,тұлға,figúra
470,Figur::N,тұлға,postáva
471,Puppe::N,қуыршақ,lútka
472,Beutel::N,қапшық,môšnja
473,Bündel::N,байлам,cúla
474,Bündel::N,байлам,svéženj
475,Tasche::N,дорба,tórba
476,Tasche::N,дорба,tobôlec
477,Eimer::N,шелек,vêdro
478,Deckel::N,жапқыш,pokròv
479,Deckel::N,жапқыш,poklópec
480,Geschirr::N,ыдыс,posóda
481,Sack::N,қап,vréča
482,Tasse::N,шыныаяқ,skodélica
483,Topf::N,кәстрөл,lônec
484,Kessel::N,қазан,kôtel
485,Essen::N,ас,hrána
486,Nahrung::N,ас,živílo
487,Nahrung::N,тамақ,živílo
488,Speise::N,тағам,jéd
489,Fleisch::N,ет,mesó
490,Getreide::N,дәнді,žíto
491,Brei::N,ботқа,káša
492,Brot::N,күлше,krùh
493,Scheibe::N,тілім,réženj
494,Fett::N,май,mást
495,Fett::N,май,maščôba
496,Butter::N,май,máslo
497,Öl::N,май,ólje
498,Salz::N,тұз,sól
499,Suppe::N,көже,júha
500,Honig::N,бал,méd
501,Milch::N,сүт,mléko
502,Tee::N,шай,čáj
503,Leder::N,көн,úsnje
504,Wolle::N,жүн,vólna
505,Stoff::N,мата,blagó
506,Stoff::N,кездеме,blagó
507,Nadel::N,ине,ígla
508,Faden::N,жіп,nít
509,Knopf::N,түйме,gúmb
510,Knoten::N,түйін,vôzel
511,Farbe::N,рең,bárva
512,Kleidung::N,киім,obléka
513,Hemd::N,жейде,srájca
514,Kragen::N,жаға,ovrátnik
515,Ärmel::N,жең,rokáv
516,Hose::N,шалбар,hláče
517,Gürtel::N,белбеу,pás
518,Mütze::N,қалпақ,kápa
519,Mütze::N,қалпақ,čépica
520,Schuh::N,кебіс,čévelj
521,Stiefel::N,етік,škórenj
522,Ring::N,жүзік,pŕstan
523,Band::N,таспа,trák
524,Kamm::N,тарақ,glavník
525,Spiegel::N,айна,zrcálo
526,Spiegel::N,айна,ogledálo
527,Riemen::N,қайыс,jêrmen
528,Schnur::N,жіп,vŕvca
529,Leine::N,тізгін,konôpec
530,Decke::N,көрпе,odéja
531,Kissen::N,жастық,blazína
532,Tuch::N,орамал,pŕt
533,Tuch::N,орамал,rúta
534,Handtuch::N,сүлгі,brisáča
535,Kraft::N,қуат,síla
536,Kraft::N,қарқын,síla
537,Kraft::N,әл-шама,síla
538,Kraft::N,әл-дәрмен,síla
539,Stärke::N,әл,jákost
540,Stärke::N,күш,jákost
541,Gesundheit::N,денсаулык,zdrávje
542,Krankheit::N,ауру,bolézen
543,Schmerz::N,ауру,ból
544,Schmerz::N,ауру,bolečína
545,Wunde::N,зақым,rána
546,Wunde::N,жарақат,rána
547,Fieber::N,безгек,vročína
548,Fieber::N,қалтырау,vročína
549,Fieber::N,қызу көтерілуі,vročína
550,Arznei::N,дәрі,lék
551,Arznei::N,дәрі,zdravílo
552,Arznei::N,дәрі-дәрмек,lék
553,Arznei::N,дәрі-дәрмек,zdravílo
554,Brücke::N,көпір,móst
555,Brunnen::N,құдық,vodnják
556,Weide::N,өріс,páša
557,Weide::N,жайылым,páša
558,Pfad::N,жол,stezà
559,Weg::N,жол,pót
560,Straße::N,жол,césta
561,Dorf::N,ауыл,vás
562,Stadt::N,қала,mésto
563,Stadt::N,шаһар,mésto
564,Brief::N,хат,písmo
565,Brief::N,жазу,písmo
566,Buch::N,кітап,knjíga
567,Buchstabe::N,әріп,čŕka
568,Buchstabe::N,қаріп,čŕka
569,Zeitung::N,газет,čásnik
570,Leben::N,өмір,življênje
571,Leben::N,тіршілік,življênje
572,Tod::N,опат,smŕt
573,Grab::N,мола,gròb
574,Grab::N,мазар,gròb
575,Kirche::N,шіркеу,cérkev
576,Sünde::N,күнә,gréh
577,Gott::N,алла,bóg
578,Gott::N,құдай,bóg
579,Gott::N,тәңірі,bóg
580,Gott::N,пәруардігер,bóg
581,Gott::N,жаратқан тәңірі,bóg
582,Arbeiter::N,жүмысшы,délavec
583,Chef::N,басшы,šéf
584,Chef::N,жұмыс басқарушысы,šéf
585,Meister::N,шебер,mójster
586,Meister::N,өнерпаз,mójster
587,Arzt::N,дәрігер,zdravník
588,Lehrer::N,мұғалім,učítelj
589,Geld::N,пұл,denár
590,Geschäft::N,бизнес,kupčíja
591,Laden::N,дүкен,trgovína
592,Preis::N,ақы,céna
593,Preis::N,құны,céna
594,Preis::N,нарық,céna
595,Ware::N,тауар,róba
596,Nutzen::N,пайда,príd
597,Reichtum::N,бақ-дәулет,bogástvo
598,Welt::N,әлем,svét
599,Welt::N,жиһан,svét
600,Land::N,аймақ,dežêla
601,Staat::N,мемлекет,držáva
602,König::N,патша,králj
603,Macht::N,өкімет,oblást
604,Macht::N,қожалық,oblást
605,Grenze::N,шек,mêja
606,Krieg::N,соғыс,vôjna
607,Feind::N,жау,sovrážnik
608,Feind::N,дұшпан,sovrážnik
609,Gewalt::N,зорлык,nasílje
610,Gewalt::N,зорлық-зомбылык,nasílje
611,Kampf::N,күрес,bòj
612,Kampf::N,күрес,bórba
613,Kampf::N,алыспақ,bòj
614,Kampf::N,алыспақ,bórba
615,Bogen[Waffe]::N,саржа,lók
616,Pfeil::N,жебе,puščíca
617,Gewehr::N,қару,púška
618,Fehler::N,әбес,zmóta
619,Fehler::N,қаталық,zmóta
620,Lüge::N,өтірік,láž
621,Schaden::N,зиян,okvára
622,Schaden::N,зарар,okvára
623,Unglück::N,пәле,nesréča
624,Unglück::N,қасырет,nesréča
625,Unglück::N,ауыртпалық,nesréča
626,Schuld::N,айыптылық,krívda
627,Alter::N,жас,dôba
628,Alter::N,жас шамасы,dôba
629,Schluss::N,ада,kônec
630,Schluss::N,бітуі,kônec
631,Zeit::N,уақыт,čàs
632,Tag::N,күн,dán
633,Morgen::N,таң,jútro
634,Morgen::N,таңертең,jútro
635,Mittag::N,талтүс,póldan
636,Abend::N,кеш,večér
637,Nacht::N,түн,nóč
638,Woche::N,апта,téden
639,Monat::N,ай,mésec
640,Jahr::N,жыл,léto
641,Frühling::N,көктем,pomlád
642,Sommer::N,жаз,polétje
643,Herbst::N,күз,jesén
644,Winter::N,қыс,zíma
645,Januar::N,каңтар,jánuar
646,Februar::N,ақпан,fébruar
647,März::N,наурыз,márec
648,April::N,сәуір,apríl
649,Mai::N,мамыр,máj
650,Juni::N,маусым,júnij
651,Juli::N,шілде,júlij
652,August::N,сүмбіле,avgúst
653,August::N,тамыз,avgúst
654,September::N,қыркүйек,septêmber
655,Oktober::N,ақырап,október
656,November::N,қараша,novêmber
657,Dezember::N,желтоқсан,decémber
658,Montag::N,дүйсенбі,ponedéljek
659,Dienstag::N,сейсенбі,tôrek
660,Mittwoch::N,сәрсенбі,sréda
661,Donnerstag::N,бейсенбі,četŕtek
662,Freitag::N,жұма,pétek
663,Samstag::N,сенбі,sobóta
664,Sonntag::N,жексембі,nedélja
665,groß::A,алпамсадай,vêlik
666,klein::A,кішкене,májhen
667,klein::A,қарғадай,májhen
668,lang::A,сопақ,dólg
669,lang::A,сорайған,dólg
670,kurz::A,кеспелтек,krátek
671,breit::A,айдынды,širòk
672,schmal::A,қысық,ózek
673,dicht::A,жиі,góst
674,dick[Gegenstand]::A,шомбал,dêbel
675,dünn::A,жұқа,tánek
676,dünn::A,жіңішке,tánek
677,fein::A,қаңылтақ,drôben
678,fest::A,берік,tŕden
679,fest::A,мызғымас,tŕden
680,flach::A,жалпак,plán
681,flach::A,жалпак,plòsk
682,glatt::A,типыл,gládek
683,hart::A,қатты,tŕd
684,weich::A,жұмсақ,mehák
685,rund::A,домалақ,okrógel
686,spitz::A,үшкір,šílast
687,scharf::A,сүйрік,óster
688,stumpf::A,доғал,tóp
689,stumpf::A,доғал,skŕhan
690,stumpf::A,өтпейтін,tóp
691,stumpf::A,өтпейтін,skŕhan
692,schwer::A,салмақты,têžek
693,schön::A,сұлу,lép
694,schön::A,сұлу,krásen
695,heiß::A,ыссы,vròč
696,warm::A,жылы,tôpel
697,kalt::A,аязды,mŕzel
698,kalt::A,аязды,hláden
699,kühl::A,салқын,hláden
700,frisch::A,таза,svéž
701,frisch::A,жаңа,svéž
702,feucht::A,нам,vlážen
703,feucht::A,дымқылды,vlážen
704,nass::A,сулы,móker
705,trocken::A,құрғақ,súh
706,voll::A,толы,póln
707,leer::A,бос,prázen
708,offen::A,ашып қойылған,odpŕt
709,geschlossen::A,жабулы,zapŕt
710,sauber::A,дақсыз,číst
711,sauber::A,дақсыз,líčen
712,sauber::A,мұнтаздай,číst
713,sauber::A,мұнтаздай,líčen
714,schmutzig::A,айғыз,umázan
715,schmutzig::A,сатпақ,umázan
716,schmutzig::A,сатал-сатал,umázan
717,roh::A,шикі,suròv
718,reif::A,піскен,zrèl
719,lecker::A,дәмді,okúsen
720,süß::A,тәтті,sládek
721,bitter::A,ащы,grenák
722,sauer::A,қышқыл,kísel
723,hell::A,жарық,svetèl
724,hell::A,жарқын,svetèl
725,dunkel::A,қараңғы,temèn
726,schwarz::A,қара,čŕn
727,weiß::A,ақ,bél
728,rot::A,қызыл,rdèč
729,gelb::A,сары,žólt
730,gelb::A,сары,rumèn
731,blau::A,көк,móder
732,grün::A,жасыл,zelèn
733,grau::A,бозамық,sív
734,bunt::A,алабажак,písan
735,billig::A,арзан,pocéni
736,teuer::A,бағалы,drág
737,wertvoll::A,құнды,dragocén
738,wertvoll::A,қымбат,dragocén
739,blind::A,көзсіз,slép
740,blind::A,көр,slép
741,blind::A,көр_соқыр,slép
742,taub::A,керең,glúh
743,taub::A,саңырау,glúh
744,kräftig::A,қуатты,močán
745,kräftig::A,қарымды,močán
746,stark::A,білекті,ják
747,schwach::A,әлсіз,šíbek
748,schwach::A,күшсіз,šíbek
749,schwach::A,қайратсыз,šíbek
750,fett::A,семіз,dêbel
751,schlank::A,ашаң,vítek
752,hübsch::A,ажарлы,lép
753,hübsch::A,шырайлы,lép
754,böse::A,өш,zèl
755,böse::A,өш,hudôben
756,böse::A,сұм,zèl
757,böse::A,сұм,hudôben
758,böse::A,жауыз,zèl
759,böse::A,жауыз,hudôben
760,dumm::A,көкми,glúp
761,dumm::A,көкми,bédast
762,dumm::A,ақымақ,glúp
763,dumm::A,ақымақ,bédast
764,dumm::A,миы жоқ,glúp
765,dumm::A,миы жоқ,bédast
766,faul::A,жалқау,lén
767,faul::A,еріншек,lén
768,fleißig::A,ұқыпты,marljív
769,geizig::A,сараң,škŕt
770,klug::A,жетік,pámeten
771,klug::A,ақылды,pámeten
772,geschickt::A,шебер,spréten
773,lieb::A,абзал,míl
774,lieb::A,абзал,ljúb
775,lieb::A,айналайын,míl
776,lieb::A,айналайын,ljúb
777,lustig::A,көңілді,vesél
778,sanft::A,жуас,láhek
779,hungrig::A,аш,láčen
780,krank::A,кеселді,bolán
781,nackt::A,жалаңаш,nág
782,traurig::A,қапа,túžen
783,lebendig::A,тірі,žív
784,lebendig::A,жанды,žív
785,gut::A,жақсы,dóber
786,schlecht::A,жаман,malopríden
787,richtig::A,дұрыс,pravílen
788,schlimm::A,жаман,húd
789,wahr::A,нағыз,resníčen
790,alt::A,ескі,stàr
791,neu::A,жаңа,nòv
792,ehemalig::A,өткен,nekdánji
793,ehemalig::A,бұрынғы,nekdánji
794,alt[Lebewesen]::A,кексе,stàr
795,jung::A,науша,mlád
796,arm::A,кедей,ubóg
797,arm::A,кедей,réven
