,Concept_ID,mdf,te
56,Träne::N,сельмове́дь,కన్నీటిచుక్క
57,Geschmack::N,таньф,రుచి
58,Geruch::N,шине,వాసన
59,Schlaf::N,удома́,నిద్ర
60,Traum::N,он,కల
61,Himmel::N,менель,ఆకాశము
62,Sonne::N,ши,సూర్యుడు
63,Mond::N,ков,చంద్రుడు
64,Stern::N,тяште,నక్షత్రము
65,Luft::N,кожф,గాలి
66,Wind::N,варма,వీచుచున్నగాలి
67,Welle::N,тавла,అల
68,Wasser::N,ведь,నీరు
69,Stein::N,кев,ఱాయి
70,Boden::N,мода,నేల
71,Boden::N,потмакс,నేల
72,Erde::N,мода,మన్ను
73,Erde::N,мастор,మన్ను
74,Staub::N,пуль,దుమ్ము
75,Rauch::N,качам,పొగ
76,Funke::N,ця́тка,అగ్నికణము
77,Feuer::N,тол,అగ్ని
78,Licht::N,ва́лда,కాంతి
79,Schatten::N,цильф,నీడ
80,Wetter::N,уша,వాతావరణ స్థితి
81,Nebel::N,тума́н,పొగమంచు
82,Wolke::N,ковол,మేఘము
83,Regen::N,пизем,వాన
84,Schnee::N,лов,హిమము
85,Eis::N,эй,మంచుగడ్డ
86,Frost::N,ке́льме,పేరిన మంచు
87,Kälte::N,якшама,చలి
88,Hitze::N,пси,వేడిమి
89,Raureif::N,леш,మంచు
90,Regenbogen::N,а́тямъёнга,ఇంద్రధనుస్సు
91,Donner::N,атям,ఉరుము
92,Strömung::N,шудема́,ప్రవాహము
93,Tropfen::N,путькс,చుక్క
94,Tropfen::N,пътняфкс,చుక్క
95,Schaum::N,шов,నురుగు
96,Schmutz::N,ърда́з,మైల
97,See::N,эрьхке,సరస్సు
98,Sumpf::N,шяй,చిత్తడినేల
99,Moor::N,шяй,చిత్తడినేల
100,Wiese::N,луга,పచ్చిక బయలు
101,Wald::N,вирь,అడవి
102,Hügel::N,губо́р,చివ్నకొండ
103,Hügel::N,пандоня,చివ్నకొండ
104,Anhöhe::N,губо́р,కొండ
105,Berg::N,панда,పర్వతము
106,Gipfel::N,пря,శిఖరము
107,Höhle::N,у́нда,గుహ
108,Abhang::N,па́нда ша́ма,ఏటవాలు
109,Quelle::N,эшиня,మూలము
110,Bach::N,шудерькс,కాలువ
111,Fluss::N,ляй,నది
112,Ufer::N,търва́,తీరము
113,Küste::N,ляйтърва́,తీరము
114,Festland::N,мода,భూమి
115,Meer::N,моря,సముద్రము
116,Bucht::N,ведьуське,మరుగు
117,Insel::N,цёнга,దీవి
118,Blume::N,панчф,పుష్పము
119,Gras::N,тише,పచ్చగడ్డి
120,Wurzel::N,юр,వేరు
121,Wurzel::N,ункс,వేరు
122,Baum::N,шуфта,చెట్టు
123,Stamm::N,ро́нга,చెట్టుబోదె
124,Rinde::N,кер,చెట్టుపట్ట
125,Ast::N,морга,కొమ్మ
126,Zweig::N,тарад,చివుకు
127,Blatt::N,лопа,ఆకు
128,Birke::N,ке́лу,తరహా చెట్టు
129,Kiefer[Baum]::N,пиче,దేవదారు చెట్టు
130,Weide[Baum]::N,каль,జాతిచెట్టు
131,Tanne::N,куз,దేవదారుచెట్టు
132,Horn::N,сюра,కొమ్ము
133,Feder::N,толга,ఈక
134,Fell::N,кедь,తోలు
135,Flügel::N,паця,ఱెక్క
136,Klaue::N,кенже,వంకరగోరు
137,Kralle::N,кенже,వంకరగోరు
138,Schwanz::N,пула,తోక
139,Ei::N,ал,గ్రుడ్డు
140,Nest::N,пиза,పక్షిగూడు
141,Bau::N,пиза,గుహ
142,Tier::N,жува́та,జంతువు
143,Herde::N,нал,మంద
144,Herde::N,стада,మంద
145,Kuh::N,скал,ఆవు
146,Kuh::N,тракс,ఆవు
147,Bulle::N,бука,గిత్త
148,Pferd::N,лишме,గుఱ్ఱము
149,Schaf::N,уча́,గొఱ్ఱె
150,Schwein::N,тува,పంది
151,Hund::N,пине,కుక్క
152,Katze::N,катоня,పిల్లి
153,Katze::N,аваката,పిల్లి
154,Bär::N,офта,ఎలుగుబంటి
155,Eichhörnchen::N,ур,ఉడుత
156,Elch::N,ся́рда,కణంజు
157,Fuchs::N,келазь,గుంటనక్క
158,Hase::N,ну́мол,కుందేలు
159,Maus::N,шеер,చిట్టెలుక
160,Wolf::N,върьгаз,తోడేలు
161,Vogel::N,нармонь,పక్షి
162,Schwarm::N,ко́вол,గుంపు
163,Schwarm::N,ме́швеле,గుంపు
164,Huhn::N,сараз,కోడిపిల్ల
165,Hahn::N,а́тякш,కోడివుంజు
166,Gans::N,маци,ఆడుబాతు
167,Adler::N,куцькан,గ్రద్ద
168,Ente::N,яксярга,పాట్టిబాతు
169,Eule::N,ко́рож,గ్రుడ్లగూబ
170,Kranich::N,ка́рга,కొంగ
171,Krähe::N,ва́рси,కాకి
172,Kuckuck::N,ку́ку,కోయల
173,Schwan::N,ло́ксти,హంస
174,Fisch::N,кал,చేప
175,Barsch::N,о́кунь,ఒకచేఁప
176,Hecht::N,щу́ка,గండుమీను
177,Schlange[Tier]::N,куй,పాము
178,Wurm::N,сукс,పురుగు
179,Spinne::N,унжа́,సాలె పురుగు
180,Ameise::N,панжам,చీమ
181,Laus::N,си,పేను
182,Mücke::N,ся́ське,చీకటీగ
183,Fliege::N,кару,ఈగ
184,Schmetterling::N,ме́лав,సీతాకోకచిలుక
185,Beere::N,и́мож,కాయ
186,Apfel::N,марь,ఆపిల్ పండు
187,Pilz::N,панга,కుక్కగొడుగు
188,Zwiebel::N,шурьхкя́,నీరుల్లి
189,Saat::N,видьмот,విత్తనము
190,Korn::N,сёра,గింజ
191,Heu::N,тише,ఎండుగడ్డి
192,Schale::N,кедь,పొట్టు
193,Grube::N,лотка,గొయ్యి
194,Falle::N,туфкс,బోను
195,Falle::N,кунда́ма,బోను
196,Schlinge::N,килькш,ఉరి
197,Spur::N,пильгоки́,జాడ
198,Asche::N,кулу,బూడిద
199,Dreck::N,ърда́з,ముఱికి
200,Eisen::N,кшни,ఇనుము
201,Gold::N,ока,బంగారము
202,Gold::N,золота,బంగారము
203,Silber::N,сия́,వెండి
204,Kohle::N,седь,నేలబొగ్గు
205,Kohle::N,седьвальмя,నేలబొగ్గు
206,Glas::N,кля́нцек,గాజు
207,Lehm::N,сёвонь,బంకమన్ను
208,Sand::N,шува́р,ఇసుక
209,Mensch::N,ломань,నరుడు
210,Mann::N,аля,పురుమడు
211,Mann::N,цёраломань,పురుమడు
212,Frau::N,ава,ఆడుది
213,Kind::N,идь,బిడ్డ
214,Kind::N,шаба,బిడ్డ
215,Junge::N,цёраня,బాలుడు
216,Mädchen::N,стирня́,బాలిక
217,Familie::N,тнал,కుటుంబము
218,Familie::N,семья,కుటుంబము
219,Großvater::N,атя,తాత
220,Großvater::N,щя́тя,తాత
221,Großmutter::N,баба,అయ్యమ్మ
222,Eltern::N,тя́дят-а́лят,తల్లితండ్రులు
223,Vater::N,аля,తండ్రి
224,Mutter::N,ава,తల్లి
225,Mutter::N,тядя,తల్లి
226,Sohn::N,цёра,కొడుకు
227,Tochter::N,стирь,కూతురు
228,Bruder::N,дуган,పోదరుడు
229,Bruder::N,пяльне,పోదరుడు
230,Schwester::N,ака,సోదరి
231,Schwester::N,сазор,సోదరి
232,Onkel::N,оця,మేనమామ
233,Onkel::N,патя,మేనమామ
234,Onkel::N,щеня́,మేనమామ
235,Tante::N,ака,మేనత్త
236,Tante::N,ака,పినతల్లి
237,Tante::N,щака,మేనత్త
238,Tante::N,щака,పినతల్లి
239,Ehemann::N,мирде,భర్త
240,Ehefrau::N,ърьвя́,భార్య
241,Freude::N,ке́нярдема,సంతోషము
242,Gelächter::N,рахсема,నవ్వు
243,Glück::N,паваз,సంతోషము
244,Kummer::N,ризф,దుఃఖము
245,Kummer::N,пичефкс,దుఃఖము
246,Wunsch::N,мяль,కోరిక
247,Wunsch::N,таколдома,కోరిక
248,Lust::N,таколдома,కోరిక
249,Geist::N,вайме,ఆత్మ
250,Gedanke::N,мяль,ఆలోచన
251,Gedächtnis::N,прявий,జ్ఞాపకము
252,Verstand::N,прявий,మనస్సు
253,Sinn::N,ён,అర్థము
254,Grund::N,туфта́л,కారణము
255,Wahrheit::N,ви́де,సత్యము
256,Wahrheit::N,видеши́,సత్యము
257,Gespräch::N,корхтама,పంభాషణ
258,Märchen::N,ёфкс,అద్భుతకథ
259,Erzählung::N,азкс,కథ
260,Nachricht::N,куля́,వార్త
261,Neuigkeit::N,куля́,వార్త
262,Name::N,лем,పేరు
263,Rätsel::N,со́дама ёфкс,చిక్కు
264,Rede::N,вал,ఉపన్యాసము
265,Rede::N,корхтама,ఉపన్యాసము
266,Sprache::N,кяль,భాష
267,Stimme::N,вайгяль,కంరథ్సని
268,Wort::N,вал,మాట
269,Zeichen::N,тя́ште,గుర్తు
270,Zeichen::N,тя́штькс,గుర్తు
271,Ruf::N,тердема,పిలువు
272,Lärm::N,гайф,సందడి
273,Lärm::N,жалакодома,సందడి
274,Laut::N,вайгяль,ధ్వని
275,Ton::N,вайгяль,స్వరము
276,Lied::N,мора,పాట
277,Ruhe::N,сетьме,గాలిలేమి
278,Leute::N,ломатть,జనులు
279,Volk::N,наро́д,జాతి
280,Arbeit::N,тев,పని
281,Gast::N,и́нжи,అతిధి
282,Gast::N,ко́нак,అతిధి
283,Geschenk::N,казне,దానము
284,Spiel::N,налхкома,ఆట
285,Spiel::N,налхксема,ఆట
286,Gesellschaft::N,кружок,జట్టు
287,Hilfe::N,лездома,సాహాయ్యము
288,Freund::N,я́лга,స్నేహితుడు
289,Kamerad::N,я́лга,చెలికాడు
290,Angelegenheit::N,тев,విషయము
291,Anzahl::N,лувкс,లెక్క
292,Art::N,вид,జాతి
293,Stück::N,пакш,తునుక
294,Teil::N,часть,భాగము
295,Teil::N,пялькс,భాగము
296,Hälfte::N,пяле,సగము
297,Kreis::N,шаркс,వృత్తము
298,Kreuz::N,крёз,సిలువ
299,Linie::N,межа,గీత
300,Linie::N,китькс,గీత
301,Strich::N,межа,గీత
302,Abstand::N,ётка,సందు
303,Entfernung::N,ётка,దూరము
304,Gegend::N,ва́ста,విస్తీర్ణము
305,Gegend::N,перьфпя́ль,విస్తీర్ణము
306,Platz::N,ва́ста,ఎడము
307,Ort::N,ва́ста,స్థలము
308,Seite::N,пяле,ప్రక్క
309,Mitte::N,кучка́,నడిమి
310,Gegenstand::N,веща,పద్దు
311,Sache::N,тев,వస్తువు
312,Sache::N,веща,వస్తువు
313,Rand::N,пе,అంచు
314,Kante::N,и́рдез,అంచు
315,Ecke::N,ужа,మూల
316,Spitze::N,пря,మొన
317,Ende::N,пе,కొన
318,Loch::N,варя,రంధ్రము
319,Winkel::N,ужа,కోణము
320,Muster::N,сёрма,మాదిరి
321,Größe::N,серь,పరిమాణము
322,Länge::N,кува́лма,పొడుగు
323,Höhe::N,серь,పొడుగు
324,Gewicht::N,сталма,భారము
325,Menge::N,лувкс,మొత్తము
326,Haufen::N,мар,రాశి
327,Reihe::N,ряд,వరుస
328,Boot::N,венеж,పడవ
329,Ruder::N,миле,అడక
330,Schlitten::N,ну́рда,సరవండ్లు
331,Ski::N,сокс,స్కీ
332,Lagerfeuer::N,то́лмар,నెగడు
333,Last::N,канкс,బరువు
334,Last::N,сталма,బరువు
335,Gang::N,молема,నడక
336,Schritt::N,аськолкс,అడుగు
337,Norden::N,якшама шире,ఉత్తరదిక్కు
338,Süden::N,ля́мбе ши́ре,దక్షిణము
339,Westen::N,ши валгома шире,పడమర
340,Osten::N,шинь стяма шире,తూర్పు
341,Holz::N,вирь,కొయ్య
342,Holz::N,шуфта,కొయ్య
343,Brett::N,лавця,పలక
344,Platte::N,плита́,పలక
345,Stütze::N,неже,వాల్సేడ్లు
346,Stange::N,олга,స్తంభము
347,Stock::N,байдек,కఱ్ఱ
348,Stab::N,олгоня,కఱ్ఱ
349,Rohr::N,турама,గొట్టము
350,Haus::N,куд,ఇల్లు
351,Heim::N,куд,స్వగృహము
352,Ofen::N,пянакуд,పొయ్యి
353,Fußboden::N,кия́кс,నేల
354,Tisch::N,шра,మేజా
355,Tisch::N,моркш,మేజా
356,Stuhl::N,стул,కుర్చీ
357,Wiege::N,нюря́м,ఉయ్యాల
358,Bett::N,ацам,పడక
359,Bett::N,ацам,మంచం
360,Regal::N,лавцяланга,అటక
361,Kiste::N,парга,వెట్టె
362,Fenster::N,валмья,కిటికి
363,Tür::N,кенкш,ద్వారము
364,Tor::N,ортат,ద్వారము
365,Zaun::N,перяфкс,కంచె
366,Dach::N,кудпря,ఇంటివైకప్పు
367,Leiter::N,куцема,నిచ్చెన
368,Besen::N,тяльме,చీపురుకట్ట
369,Spaten::N,ка́йме,పాఱ
370,Schaufel::N,ко́поня,పాఱ
371,Schaufel::N,ця́рдом,పాఱ
372,Gabel::N,ця́нгоня,ముండ్లగరిటె
373,Löffel::N,куцю,గరిటె
374,Messer::N,пеель,కత్తి
375,Nagel::N,эска,మేకు
376,Haken::N,кя́чказ,కొక్కెము
377,Griff::N,недь,పిడి
378,Griff::N,кунда́мка,పిడి
379,Schloss::N,замо́к,తాళము
380,Bild::N,карти́на,చిత్రము
381,Figur::N,ронга-понда,రూపము
382,Puppe::N,ня́ка,బొమ్మ
383,Beutel::N,кяскав,సంచి
384,Bündel::N,кярьме,మూట
385,Tasche::N,кошяльня,సంచి
386,Eimer::N,ве́дарка,చేద
387,Deckel::N,тавадкс,మూత
388,Deckel::N,вельхкс,మూత
389,Geschirr::N,кядьге,వంటకాలు
390,Sack::N,кяскав,గోనెసంచి
391,Tasse::N,ша́ваня,గిన్నె
392,Topf::N,кавозь,కుండ
393,Kessel::N,сргавозь,నీరుకాచుపాత్ర
394,Essen::N,ярхцама,ఆహారము
395,Nahrung::N,ярхцампяль,ఆహారము
396,Speise::N,ярхцама,ఆహారము
397,Fleisch::N,пал,మాంసము
398,Fleisch::N,сиволь,మాంసము
399,Getreide::N,сёра,ధాన్యము
400,Brei::N,ям,గుజ్జు
401,Brot::N,кши,రొట్టె
402,Scheibe::N,кочам,బద్ద
403,Fett::N,куя́,క్రొవ్వు
404,Butter::N,вай,వెన్న
405,Öl::N,вай,నూనె
406,Salz::N,сал,ఉప్పు
407,Suppe::N,шонгарям,చారు
408,Suppe::N,коршампяль,చారు
409,Honig::N,медь,తెనె
410,Milch::N,лофца,పాలు
411,Tee::N,чай,తేనీరు
412,Leder::N,кедь,బాగుచేసివతోలు
413,Wolle::N,пона,ఉన్ని
414,Stoff::N,котф,బట్ట
415,Nadel::N,салмокс,సూది
416,Faden::N,сюре,దారము
417,Knopf::N,пуня,బొత్తాము
418,Knoten::N,сюлма,ముడి
419,Farbe::N,архтомбяль,రంగు
420,Kleidung::N,щам,బట్టలు
421,Hemd::N,па́нар,చొక్కాయ
422,Kragen::N,сиве,మాల
423,Ärmel::N,ожа,చొక్కాయచెయ్యి
424,Hose::N,понкст,ఇజారు
425,Gürtel::N,каркс,పటకా
426,Mütze::N,вазь,టోపి
427,Schuh::N,башма́к,పాదరక్ష
428,Stiefel::N,кя́ме,బూటు
429,Ring::N,суркс,ఉంగరము
430,Band::N,керькс,నాడా
431,Band::N,лента,నాడా
432,Kamm::N,сюрьхцем,దువ్వెన
433,Spiegel::N,ванома,అద్దము
434,Riemen::N,шнань каркс,వాడా
435,Schnur::N,пикс,దారము
436,Schnur::N,карькскя,దారము
437,Leine::N,вядьме,వారు
438,Decke::N,вельхкс,కంబళి
439,Kissen::N,тоду,తలగడ
440,Tuch::N,руця́,బట్ట
441,Handtuch::N,на́рдама,తువాలు
442,Kraft::N,вий,బలము
443,Stärke::N,вииши,శక్తి
444,Gesundheit::N,шумбраши́,ఆరోగ్యము
445,Krankheit::N,урма́,రోగము
446,Krankheit::N,сярядема,రోగము
447,Schmerz::N,маряма,నొప్పి
448,Wunde::N,керф,గాయము
449,Fieber::N,маштыкс,జ్వరము
450,Arznei::N,надо́бья,మందు
451,Arznei::N,пъчка́фтома,మందు
452,Brücke::N,седь,వంతెన
453,Brunnen::N,эши,బావి
454,Brunnen::N,эши,కూపము
455,Brunnen::N,эши,నుయ్యి
456,Weide::N,ванома васта,పచ్చికబయలు
457,Pfad::N,ян,కాలిత్రోవ
458,Pfad::N,киня́,కాలిత్రోవ
459,Weg::N,ки,మార్గము
460,Straße::N,ки,బాట
461,Dorf::N,веле,గ్రామము
462,Stadt::N,ош,పట్టణము
463,Brief::N,сёрма,జాబు
464,Buch::N,книга,పుస్తకము
465,Buchstabe::N,бу́ква,అక్షరము
466,Zeitung::N,газе́та,వార్తాపత్రిక
467,Leben::N,эряф,ప్రాణము
468,Leben::N,эряма,ప్రాణము
469,Tod::N,кулома́,మరణము
470,Grab::N,калма,సమాధి
471,Kirche::N,це́рькав,క్రెస్తవులగుడి
472,Sünde::N,пежеть,పాపము
473,Sünde::N,муворкс,పాపము
474,Gott::N,шкай,దేవుడు
475,Arbeiter::N,трудендай,పనిపాటుచేశేవాడు
476,Arbeiter::N,работник,పనిపాటుచేశేవాడు
477,Chef::N,азор,యజమానుడు
478,Chef::N,оцюня,యజమానుడు
479,Meister::N,мастяр,కళాకారుడు
480,Arzt::N,врач,వైద్యుడు
481,Arzt::N,доктор,వైద్యుడు
482,Lehrer::N,учи́тель,ఉపాధ్యాయుడు
483,Geld::N,ярмакт,ద్రవ్యము
484,Geschäft::N,ладяфкс,వ్యాపారము
485,Geschäft::N,ладяф тев,వ్యాపారము
486,Laden::N,ла́вка,అంగడి
487,Preis::N,питне,వెల
488,Ware::N,миф,సరకులు
489,Ware::N,ра́маф,సరకులు
490,Nutzen::N,пара,ప్రయోజనము
491,Nutzen::N,лезкс,ప్రయోజనము
492,Reichtum::N,ко́зяши,ధనము
493,Welt::N,свет,ప్రపంచము
494,Land::N,мастор,దేశము
495,Staat::N,государства,రాజ్యము
496,König::N,король,రాజు
497,Macht::N,азорондама,అధికారము
498,Macht::N,азорксши,అధికారము
499,Grenze::N,ёткаян,సరిహద్దు
500,Krieg::N,война́,యుద్ధము
501,Feind::N,душман,శత్రువు
502,Feind::N,каршек тюри,శత్రువు
503,Gewalt::N,наругама,దౌర్జన్యము
504,Kampf::N,тюрема́,పోట్లాట
505,Bogen[Waffe]::N,нал,విల్లు
506,Pfeil::N,нал,బాణము
507,Gewehr::N,винто́вка,తుపాకి
508,Fehler::N,эльбядькс,తప్ప
509,Lüge::N,васькафнема,అసత్యము
510,Schaden::N,зия́н,నష్టము
511,Unglück::N,зия́н,దురదృష్టము
512,Schuld::N,муворши,తప్పు
513,Alter::N,эряф кизот,వయస్సు
514,Alter::N,эряфонь пинге,వయస్సు
515,Schluss::N,пе,ముగింపు
516,Zeit::N,пинге,కాలము
517,Tag::N,ши,దినము
518,Morgen::N,шобдава,ఉదయము
519,Mittag::N,шикучка,మధ్యాహ్నము
520,Abend::N,иля́дь,సాయంకాలము
521,Nacht::N,ве,రత్రి
522,Woche::N,недя́ля,వారము
523,Monat::N,ков,నెల
524,Jahr::N,киза,సంవత్సరము
525,Frühling::N,тунда́,వసంతకాలము
526,Sommer::N,киза,వేసవికాము
527,Herbst::N,сёксе,ఆకురాలుకాలము
528,Winter::N,тяла,శీతకాలము
529,Januar::N,кельмеков,జనవరి
530,Februar::N,уфайков,ఫిబ్రవరి
531,März::N,марайков,మార్చి
532,April::N,шудиков,ఏప్రిలు
533,Mai::N,панжиков,మే
534,Juni::N,лямбеков,జూన్
535,Juli::N,псиков,జూలై
536,August::N,сёроньков,ఆగస్టు
537,September::N,тюжягов,సెప్ఠెంబరు
538,Oktober::N,кельмазаков,అక్టోబరు
539,November::N,эйндамков,నవంబరు
540,Dezember::N,кучкаков,డిసెంబర్
541,Montag::N,одговши,సోమవారము
542,Dienstag::N,ша́вши,మంగళవారము
543,Mittwoch::N,вержи,బుధవారము
544,Donnerstag::N,шува́ланя,గురువారము
545,Freitag::N,пя́денця,శుక్రవారము
546,Samstag::N,ёткши,శనివారము
547,Sonntag::N,таргоши,ఆదివారము
548,groß::A,оцю,గొప్పైన
549,klein::A,ёмла,చిన్న
550,lang::A,кува́ка,పొడుగాటి
551,kurz::A,нюрьхкя́ня,పొట్టి
552,breit::A,кели,వెడల్పైన
553,schmal::A,тяйня,ఇఱుకైన
554,dicht::A,сиде,దట్టమైన
555,dicht::A,туста,దట్టమైన
556,dick[Gegenstand]::A,эчке,దట్టమైన
557,dünn::A,шува́ня,పలుచని
558,fein::A,шува́ня,నాజాకైన
559,fest::A,кеме,దృడమైవ
560,flach::A,лапш,చదువైన
561,glatt::A,вадяв,నున్నని
562,glatt::A,такор,నున్నని
563,hart::A,калгода,కఠినమైన
564,weich::A,ляпе,మృదువైన
565,rund::A,кру́глай,గుండ్రని
566,spitz::A,ботаз,మొనగల
567,spitz::A,оржа,మొనగల
568,scharf::A,оржа,పదనైన
569,stumpf::A,ношка,వాడిలేని
570,schwer::A,стака,బరువ్తెన
571,schön::A,мазы,సుందరమైన
572,heiß::A,пси,వేడియైన
573,warm::A,лямбе,వెచ్చని
574,kalt::A,кельме,చల్లని
575,kühl::A,эше,చల్లని
576,frisch::A,свежай,తాజాయైన
577,feucht::A,летьке,చెమ్మగానున్న
578,nass::A,начка,తడిగామన్న
579,trocken::A,коське,ఎండిన
580,voll::A,пяшксе,నిండు
581,leer::A,шава,శూన్యమైన
582,offen::A,панжада,తెఱచియున్న
583,offen::A,виде,తెఱచియున్న
584,geschlossen::A,пякстаф,మూసిన
585,geschlossen::A,сёлгф,మూసిన
586,sauber::A,ару,పరిశుద్ధమైన
587,schmutzig::A,рда́зу,ముఱికియైన
588,schmutzig::A,пя́ндра,ముఱికియైన
589,roh::A,верок,పచ్చి
590,reif::A,ке́нерьф,పండివ
591,lecker::A,танцти,రుచి గల
592,süß::A,ламбама,తియ్యని
593,bitter::A,сяпи,చేదైన
594,sauer::A,шапама,పుల్లని
595,hell::A,валда,కాంతిగల
596,dunkel::A,шобда,చీకటియైన
597,schwarz::A,равжа,నల్లని
598,weiß::A,акша,తెలుపు
599,rot::A,якстерь,ఎఱ్ఱని
600,gelb::A,тюжя́,పసుపు పచ్చ
601,blau::A,сенем,నీలవర్ణము
602,grün::A,пиже,ఆకుపచ్చని
603,grün::A,сянгяря,ఆకుపచ్చని
604,grau::A,уле,నెరిసిన
605,bunt::A,сёрмав,రంగేలీ
606,billig::A,у́цез,చౌకయైన
607,billig::A,аф пи́тни,చౌకయైన
608,teuer::A,пи́тни,వెలపొడుగైన
609,wertvoll::A,питни,విలుప్తెన
610,blind::A,сокор,గ్రుడ్డి
611,taub::A,пярав,చెవిటి
612,kräftig::A,пяк вии,శక్తి గల
613,stark::A,вии,బలమైన
614,schwach::A,лафча,బలహీనమైన
615,fett::A,куя́,క్రొవ్విన
616,schlank::A,виде ронга,సన్నని
617,hübsch::A,мазы,సాగప్తెన
618,böse::A,кяжи,చెడ్డ
619,dumm::A,аф ёню,తెలివిలేని
620,dumm::A,шава пря,తెలివిలేని
621,faul::A,нола,సోమరియైన
622,fleißig::A,ку́лхцонды,శ్రద్దగల
623,geizig::A,кирьжя,పిసినారియైన
624,geizig::A,жаднай,పిసినారియైన
625,klug::A,ёню,తెలివిగల
626,klug::A,пря́ви,తెలివిగల
627,geschickt::A,маштозь тиф,నిపుణతగల
628,lieb::A,цебярь,ప్రియమైన
629,lustig::A,ра́хси,ఉల్లాసము గల
630,sanft::A,сетьме,సాధువైన
631,hungrig::A,вача,ఆకలిగొనిన
632,hungrig::A,вачеда,ఆకలిగొనిన
633,krank::A,сяряди,వ్యాధిగల
634,nackt::A,штада,దిగంబరమైన
635,nackt::A,кърхтапа,దిగంబరమైన
636,traurig::A,ла́жнай,విచారముగల
637,lebendig::A,эряй,ప్రాణముతో నున్న
638,gut::A,пара,మంచి
639,gut::A,цебярь,మంచి
640,schlecht::A,кальдяв,చెడ్డ
641,richtig::A,виде,సరియైన
642,schlimm::A,кальдяв,అసహ్యమైన
643,wahr::A,афкуксонь,నిజమైన
644,alt::A,ташта,ముసలి
645,neu::A,од,క్రొత్త
646,ehemalig::A,и́нгольдень,పూర్వపు
647,alt[Lebewesen]::A,сире,ముసలి
648,jung::A,од,పసి
649,arm::A,а́шу,బీద
650,reich::A,козя,ధనవంతుడైన
651,bekannt::A,содаф,తెలిసిన
652,berühmt::A,содавикс,ప్రపిద్దికెక్కివ
653,fremd::A,лия,అన్యమైన
654,fremd::A,аф содаф,అన్యమైన
655,verschieden::A,аф фкя ла́цонь,భేదమైన
656,nah::A,мала,దగ్గఱనున్న
657,nah::A,аф ичкоздень,దగ్గఱనున్న
658,fern::A,и́чкоздень,దూరమందున్న
659,fern::A,куна́рдонь,దూరమందున్న
660,linker::A,кержи,ఎడమప్రక్కగ
661,rechter::A,види,కుడి
662,anderer::A,лия,వేఱ్తెన
663,erster::A,васенце,మొదటి
664,zweiter::A,омбоце,రెండన
665,dritter::A,колмоце,మూడో
666,letzter::A,ме́кольце,కడపటి
667,allein::ADV,ськамонза,ఒంటిగా
668,auf einmal::ADV,вихцок,హరాత్తుగ
669,zusammen::ADV,марс,కలిసి
670,zusammen::ADV,ма́рса,కలిసి
671,lange::ADV,кува́тьс,బహుకాలము
672,plötzlich::ADV,а́пак учт,హరాత్తుగ
673,sofort::ADV,тяникиге,తక్షణము
674,später::ADV,ме́ле,ఇటీవలి
675,jetzt::ADV,тяни,ఇప్పుడు
676,heute::ADV,тячи,నేడు
677,morgen::ADV,ва́нды,ఱేపు
678,bald::ADV,курок,శీఘ్రముగ
679,dann::ADV,меле,అప్పుడు
680,dann::ADV,сяда меле,అప్పుడు
