,Concept_ID,cs,kv
261,Grund::N,důvod,мог
262,Wahrheit::N,pravda,правда
263,Gespräch::N,rozhovor,сёрни
264,Märchen::N,pohádka,сказка
265,Erzählung::N,povídka,висьт
266,Nachricht::N,zpráva,юӧр
267,Nachricht::N,zpráva,висьталӧм
268,Neuigkeit::N,novina,новость
269,Neuigkeit::N,novinka,новость
270,Name::N,jméno,ним
271,Rätsel::N,hádanka,загадка
272,Rede::N,řeč,сёрни
273,Rede::N,proslov,сёрни
274,Sprache::N,řeč,кыв
275,Sprache::N,jazyk,кыв
276,Stimme::N,hlas,голос
277,Wort::N,slovo,кыв
278,Zeichen::N,znamení,пас
279,Ruf::N,zavolání,чуксӧм
280,Ruf::N,zavolání,чукӧстӧм
281,Lärm::N,hluk,шум
282,Laut::N,zvuk,шы
283,Ton::N,tón,гор
284,Lied::N,píseň,сьыланкыв
285,Ruhe::N,klid,спокой
286,Ruhe::N,pokoj,спокой
287,Leute::N,lidé,йӧз
288,Volk::N,národ,йӧз
289,Volk::N,národ,народ
290,Arbeit::N,práce,удж
291,Gast::N,host,гӧсь
292,Geschenk::N,dar,гӧснеч
293,Geschenk::N,dar,подарок
294,Spiel::N,hra,орсӧм
295,Gesellschaft::N,společnost,компания
296,Hilfe::N,pomoc,отсӧт
297,Freund::N,přítel,модз
298,Freund::N,přítel,дружок
299,Kamerad::N,kamarád,тӧдса
300,Angelegenheit::N,záležitost,дело
301,Anzahl::N,počet,лыд
302,Art::N,druh,пӧлӧс
303,Stück::N,kus,тор
304,Stück::N,kousek,тор
305,Teil::N,díl,юкӧм
306,Teil::N,část,юкӧм
307,Hälfte::N,půl,джын
308,Kreis::N,kruh,круг
309,Kreuz::N,kříž,перна
310,Linie::N,linka,визь
311,Strich::N,čára,кырӧв
312,Strich::N,čárka,кырӧв
313,Abstand::N,vzdálenost,колас
314,Entfernung::N,vzdálenost,ылына
315,Gegend::N,krajina,места
316,Platz::N,prostor,места
317,Ort::N,místo,места
318,Seite::N,strana,ладор
319,Mitte::N,střed,шӧр
320,Mitte::N,prostředek,шӧр
321,Gegenstand::N,předmět,тор
322,Sache::N,věc,тор
323,Rand::N,kraj,дор
324,Rand::N,okraj,дор
325,Kante::N,hrana,ордлы
326,Ecke::N,roh,пельӧс
327,Spitze::N,hrot,йыв
328,Spitze::N,špička,йыв
329,Ende::N,konec,йыв
330,Loch::N,díra,осьта
331,Winkel::N,kout,пельӧс
332,Muster::N,vzor,сер
333,Größe::N,velikost,ыжда
334,Länge::N,délka,кузя
335,Höhe::N,výška,сувда
336,Höhe::N,výška,вылына
337,Gewicht::N,váha,сьӧкта
338,Menge::N,množství,
339,Haufen::N,kupa,куча
340,Haufen::N,hromada,куча
341,Reihe::N,řada,лёдз
342,Reihe::N,řádek,лёдз
343,Boot::N,člun,пыж
344,Ruder::N,veslo,пелыс
345,Schlitten::N,sáně,додь
346,Ski::N,lyže,лямпа
347,Lagerfeuer::N,táborák,бипур
348,Last::N,náklad,тягота
349,Last::N,břemeno,тягота
350,Gang::N,chůze,мунӧм
351,Gang::N,chodba,мунӧм
352,Schritt::N,krok,вожмӧв
353,Norden::N,sever,ой
354,Süden::N,jih,лун
355,Westen::N,západ,рытвыв
356,Osten::N,východ,асыв
357,Holz::N,dřevo,пу
358,Brett::N,prkno,пӧв
359,Platte::N,deska,плита
360,Stütze::N,opěra,пика
361,Stange::N,tyč,зор
362,Stange::N,tyč,потш
363,Stange::N,tyčka,зор
364,Stange::N,tyčka,потш
365,Stock::N,hůlka,бедь
366,Stab::N,hůl,шест
367,Rohr::N,trubka,труба
368,Haus::N,dům,керку
369,Heim::N,domov,керку
370,Ofen::N,kamna,пӧжавны
371,Fußboden::N,podlaha,джодж
372,Tisch::N,stůl,пызан
373,Stuhl::N,židle,стул
374,Wiege::N,kolébka,зыбка
375,Bett::N,postel,кровать
376,Regal::N,regál,джадж
377,Regal::N,police,джадж
378,Kiste::N,bedna,ящик
379,Fenster::N,okno,ӧшын
380,Tür::N,dveře,ыбӧс
381,Tor::N,vrata,ворота
382,Zaun::N,plot,забор
383,Dach::N,střecha,крыша
384,Leiter::N,žebřík,лиснич
385,Besen::N,koště,рос
386,Besen::N,smeták,рос
387,Spaten::N,rýč,зыр
388,Schaufel::N,lopata,зыр
389,Gabel::N,vidlička,вила
390,Löffel::N,lžíce,пань
391,Messer::N,nůž,пурт
392,Nagel::N,hřebík,кӧрттув
393,Netz::N,síť,кыйӧт
394,Haken::N,hák,ем
395,Griff::N,držadlo,пу
396,Schloss::N,zámek,замок
397,Bild::N,obraz,картина
398,Figur::N,figura,мыгӧр
399,Puppe::N,panenka,акань
400,Beutel::N,pytlík,мешӧк
401,Bündel::N,svazek,нин
402,Tasche::N,taška,сумка
403,Tasche::N,brašna,сумка
404,Eimer::N,kýbl,ведра
405,Eimer::N,vědro,ведра
406,Deckel::N,víko,вевт
407,Deckel::N,příklop,вевт
408,Geschirr::N,nádobí,доз
409,Geschirr::N,nádobí,бекӧрпань
410,Sack::N,pytel,мешӧк
411,Tasse::N,šálek,бекӧр
412,Topf::N,hrnec,кастрюля
413,Kessel::N,kotel,пӧрт
414,Essen::N,jídlo,сёйӧм
415,Nahrung::N,strava,вердан
416,Nahrung::N,potrava,вердан
417,Speise::N,jídlo,сёян
418,Fleisch::N,maso,яй
419,Getreide::N,obilí,сю
420,Brei::N,kaše,каша
421,Brot::N,chléb,нянь
422,Scheibe::N,krajíc,шӧрӧм
423,Fett::N,tuk,гос
424,Fett::N,omastek,гос
425,Butter::N,máslo,ви
426,Öl::N,olej,ви
427,Salz::N,sůl,сов
428,Suppe::N,polévka,шыд
429,Honig::N,med,ма
430,Milch::N,mléko,йӧв
431,Tee::N,čaj,чай
432,Leder::N,kůže,кучик
433,Wolle::N,vlna,гӧн
434,Stoff::N,látka,дӧра
435,Nadel::N,jehla,ем
436,Faden::N,nit,сунис
437,Knopf::N,knoflík,кизь
438,Knoten::N,uzel,узӧв
439,Knoten::N,uzel,гӧрӧд
440,Farbe::N,barva,краска
441,Kleidung::N,šaty,паськӧм
442,Kleidung::N,šatstvo,паськӧм
443,Hemd::N,košile,йӧрнӧс
444,Kragen::N,límec,воротник
445,Ärmel::N,rukáv,сос
446,Hose::N,kalhoty,вешьян
447,Gürtel::N,pás,йи
448,Gürtel::N,opasek,йи
449,Mütze::N,čepice,шапка
450,Schuh::N,bota,ботинки
451,Stiefel::N,holínka,сапог
452,Ring::N,prsten,чунькытш
453,Band::N,pásek,ленточка
454,Kamm::N,hřeben,сынан
455,Spiegel::N,zrcadlo,зеркало
456,Riemen::N,řemen,ремень
457,Schnur::N,šňůra,гез
458,Leine::N,vodítko,повод
459,Decke::N,pokrývka,одеяло
460,Decke::N,přikrývka,одеяло
461,Kissen::N,polštář,подушка
462,Tuch::N,šátek,чышьян
463,Handtuch::N,ručník,чышкӧт
464,Kraft::N,síla,прак
465,Stärke::N,síla,вын
466,Gesundheit::N,zdraví,здоровье
467,Krankheit::N,nemoc,шог
468,Krankheit::N,choroba,шог
469,Schmerz::N,bolest,зубыт
470,Wunde::N,rána,рана
471,Fieber::N,horečka,лёк тресся
472,Fieber::N,horečka,кынтан шогӧт
473,Arznei::N,lék,лекарство
474,Brücke::N,most,пос
475,Brunnen::N,studna,колодец 
476,Weide::N,pastva,пода йирсян
477,Weide::N,pastvina,пода йирсян
478,Pfad::N,pěšina,туй
479,Weg::N,cesta,туй
480,Straße::N,silnice,туй
481,Dorf::N,vesnice,деревня
482,Stadt::N,město,город
483,Brief::N,dopis,гижӧт
484,Buch::N,kniha,книга
485,Buchstabe::N,písmeno,буква
486,Zeitung::N,noviny,газета
487,Leben::N,život,олан
488,Tod::N,smrt,кулӧм
489,Grab::N,hrob,гу
490,Kirche::N,kostel,вичку
491,Sünde::N,hřích,грек
492,Gott::N,bůh,ен
493,Arbeiter::N,dělník,уджалiсь
494,Arbeiter::N,pracovník,уджалiсь
495,Chef::N,šéf,начальник
496,Chef::N,vedoucí,начальник
497,Meister::N,mistr,мастер
498,Arzt::N,lékař,врач
499,Lehrer::N,učitel,велӧтісь
500,Geld::N,peníze,деньга
501,Geschäft::N,obchod,удж
502,Laden::N,krám,магазин
503,Preis::N,cena,дон
504,Ware::N,zboží,товар
505,Nutzen::N,užitek,путь
506,Reichtum::N,bohatství,богатство
507,Welt::N,svět,му
508,Land::N,země,страна
509,Staat::N,stát,государство
510,König::N,král,кан
511,Macht::N,moc,власть
512,Macht::N,mocnost,власть
513,Grenze::N,hranice,граница
514,Krieg::N,válka,война
515,Feind::N,nepřítel,враг
516,Gewalt::N,násilí,
517,Kampf::N,boj,нярасьӧм
518,Kampf::N,boj,вермасьӧм
519,Bogen[Waffe]::N,luk,лук
520,Pfeil::N,šíp,ньӧв
521,Gewehr::N,puška,ружьё
522,Gewehr::N,ručnice,ружьё
523,Fehler::N,chyba,ошибка
524,Lüge::N,lež,ылӧтӧм
525,Lüge::N,lež,пӧрьялӧм
526,Schaden::N,škoda,лёк
527,Unglück::N,neštěstí,пик
528,Unglück::N,neštěstí,оказзё
529,Schuld::N,vina,вина
530,Alter::N,věk,
531,Schluss::N,konec,ком
532,Zeit::N,čas,кад
533,Tag::N,den,лун
534,Morgen::N,ráno,асыв
535,Morgen::N,jitro,асыв
536,Mittag::N,poledne,луншӧр кад
537,Abend::N,večer,рыт
538,Nacht::N,noc,ой
539,Woche::N,týden,неделя
540,Monat::N,měsíc,тӧлicь
541,Jahr::N,rok,год
542,Frühling::N,jaro,тулыс
543,Sommer::N,léto,гожум
544,Herbst::N,podzim,ар
545,Winter::N,zima,тӧв
546,Januar::N,leden,январ
547,Februar::N,únor,февраль
548,März::N,březen,март
549,April::N,duben,апрель
550,Mai::N,květen,май
551,Juni::N,červen,юнь
552,Juli::N,červenec,юль
553,August::N,srpen,август
554,September::N,září,сентяб
555,Oktober::N,říjen,октяб
556,November::N,listopad,нояб
557,Dezember::N,prosinec,декаб
558,Montag::N,pondělí,вильлун
559,Montag::N,pondělek,вильлун
560,Dienstag::N,úterý,мӧдӧдзлун
561,Mittwoch::N,středa,шӧрлун
562,Donnerstag::N,čtvrtek,нёльӧдзлун
563,Freitag::N,pátek,витӧдзлун
564,Samstag::N,sobota,пывсянлун
565,Sonntag::N,neděle,кресення
566,groß::A,velký,ыджыт
567,klein::A,malý,учӧтик
568,lang::A,dlouhý,кузь
569,kurz::A,krátký,дженыт
570,breit::A,široký,ота
571,schmal::A,úzký,векнит
572,dicht::A,hustý,тшӧк
573,dick[Gegenstand]::A,tlustý,кыз
574,dünn::A,tenký,вӧснит
575,fein::A,jemný,вӧснит
576,fest::A,pevný,крепыт
577,flach::A,plochý,лапкӧса
578,flach::A,placatý,лапкӧса
579,glatt::A,hladký,волькыт
580,hart::A,tvrdý,чӧрыт
581,weich::A,měkký,небыт
582,rund::A,kulatý,гӧгрӧса
583,rund::A,okrouhlý,гӧгрӧса
584,spitz::A,špičatý,ёся
