,Concept_ID,pl,no
260,Gedächtnis::N,pamięć,hukommelse
261,Verstand::N,rozum,forstand
262,Sinn::N,zmysł,mening
263,Sinn::N,zmysł,betydning
264,Grund::N,powód,grunn
265,Wahrheit::N,prawda,sannhet
266,Gespräch::N,rozmowa,samtale
267,Märchen::N,bajka,eventyr
268,Erzählung::N,opowiadanie,fortelling
269,Nachricht::N,wiadomość,melding
270,Neuigkeit::N,nowina,nyhet
271,Name::N,imię,navn
272,Rätsel::N,zagadka,gåte
273,Rede::N,mowa,tale
274,Sprache::N,język,språk
275,Stimme::N,głos,stemme
276,Wort::N,słowo,ord
277,Zeichen::N,znak,tegn
278,Ruf::N,wołanie,rop
279,Lärm::N,hałas,bråk
280,Lärm::N,zgiełk,bråk
281,Laut::N,dźwięk,lyd
282,Ton::N,ton,tone
283,Ton::N,dźwięk,tone
284,Lied::N,pieśń,vise
285,Lied::N,piosenka,vise
286,Ruhe::N,spokój,ro
287,Leute::N,ludzie,folk
288,Volk::N,naród,folk
289,Arbeit::N,praca,arbeid
290,Arbeit::N,robota,arbeid
291,Gast::N,gość,gjest
292,Geschenk::N,prezent,gave
293,Geschenk::N,podarunek,gave
294,Spiel::N,gra,lek
295,Spiel::N,gra,spill
296,Spiel::N,zabawa,lek
297,Spiel::N,zabawa,spill
298,Gesellschaft::N,towarzystwo,selskap
299,Hilfe::N,pomoc,hjelp
300,Freund::N,przyjaciel,venn
301,Kamerad::N,kolega,kamerat
302,Angelegenheit::N,sprawa,sak
303,Angelegenheit::N,sprawa,anliggende
304,Anzahl::N,ilość,antall
305,Art::N,rodzaj,art
306,Art::N,rodzaj,slag
307,Stück::N,kawałek,stykke
308,Teil::N,część,del
309,Hälfte::N,połowa,halvdel
310,Kreis::N,krąg,ring
311,Kreis::N,krąg,sirkel
312,Kreuz::N,krzyż,kors
313,Kreuz::N,krzyż,kryss
314,Linie::N,linia,linje
315,Strich::N,kreska,strek
316,Abstand::N,odstęp,avstand
317,Entfernung::N,odległość,avstand
318,Gegend::N,okolica,strøk
319,Platz::N,miejsce,plass
320,Ort::N,miejsce,sted
321,Seite::N,bok,side
322,Seite::N,strona,side
323,Mitte::N,środek,midte
324,Gegenstand::N,przedmiot,gjenstand
325,Sache::N,rzecz,sak
326,Rand::N,skraj,rand
327,Rand::N,krawędź,rand
328,Kante::N,kant,kant
329,Kante::N,krawędź,kant
330,Ecke::N,róg,hjørne
331,Spitze::N,ostrze,spiss
332,Ende::N,koniec,ende
333,Loch::N,dziura,hull
334,Winkel::N,kąt,vinkel
335,Winkel::N,kącik,vinkel
336,Muster::N,wzór,mønster
337,Größe::N,rozmiar,størrelse
338,Größe::N,wielkość,størrelse
339,Länge::N,długość,lengde
340,Höhe::N,wysokość,høyde
341,Gewicht::N,ciężar,vekt
342,Menge::N,ilość,mengde
343,Haufen::N,kupa,haug
344,Haufen::N,kupa,bunke
345,Reihe::N,rząd,rekke
346,Reihe::N,szereg,rekke
347,Boot::N,łódź,båt
348,Boot::N,łódka,båt
349,Ruder::N,wiosło,åre
350,Schlitten::N,sanki,slede
351,Schlitten::N,sanki,kjelke
352,Ski::N,narta,ski
353,Lagerfeuer::N,ognisko,leirbål
354,Last::N,ciężar,bør
355,Last::N,ciężar,last
356,Last::N,brzemię,bør
357,Last::N,brzemię,last
358,Gang::N,chód,gang
359,Schritt::N,krok,steg
360,Schritt::N,krok,skritt
361,Norden::N,północ,nord
362,Süden::N,południe,sør
363,Westen::N,zachód,vest
364,Osten::N,wschód,øst
365,Holz::N,drzewo,tre
366,Brett::N,deska,fjøl
367,Brett::N,deska,brett
368,Platte::N,płyta,plate
369,Stütze::N,podpora,støtte
370,Stange::N,drąg,stang
371,Stange::N,żerdź,stang
372,Stock::N,kij,pinne
373,Stock::N,laska,pinne
374,Stab::N,pręt,stav
375,Stab::N,pręt,kjepp
376,Rohr::N,rura,rør
377,Haus::N,dom,hus
378,Heim::N,dom,hjem
379,Ofen::N,piec,ovn
380,Fußboden::N,podłoga,gulv
381,Tisch::N,stół,bord
382,Stuhl::N,krzesło,stol
383,Wiege::N,kołyska,vogge
384,Bett::N,łóżko,seng
385,Bett::N,pościel,seng
386,Regal::N,regał,reol
387,Regal::N,regał,hylle
388,Kiste::N,skrzynia,kasse
389,Fenster::N,okno,vindu
390,Tür::N,drzwi,dør
391,Tor::N,brama,port
392,Zaun::N,płot,gjerde
393,Zaun::N,parkan,gjerde
394,Dach::N,dach,tak
395,Leiter::N,drabina,stige
396,Besen::N,miotła,kost
397,Spaten::N,rydel,spade
398,Schaufel::N,łopata,skuffe
399,Gabel::N,widelec,gaffel
400,Löffel::N,łyżka,skje
401,Messer::N,nóż,kniv
402,Nagel::N,gwóźdź,spiker
403,Netz::N,sieć,nett
404,Haken::N,hak,krok
405,Griff::N,chwyt,tak
406,Griff::N,chwyt,håndtak
407,Schloss::N,zamek,lås
408,Bild::N,obraz,bilde
409,Figur::N,figura,figur
410,Puppe::N,lalka,dukke
411,Beutel::N,torba,pose
412,Bündel::N,wiązka,bylt
413,Tasche::N,torba,veske
414,Eimer::N,kubeł,bøtte
415,Eimer::N,wiadro,bøtte
416,Deckel::N,przykrywka,lokk
417,Geschirr::N,statki,kjøkkentøy
418,Geschirr::N,naczynia,kjøkkentøy
419,Sack::N,worek,sekk
420,Tasse::N,filiżanka,kopp
421,Topf::N,garnek,gryte
422,Kessel::N,kocioł,kjele
423,Essen::N,jedzenie,mål
424,Nahrung::N,pokarm,mat
425,Nahrung::N,pokarm,næring
426,Nahrung::N,pożywienie,mat
427,Nahrung::N,pożywienie,næring
428,Speise::N,potrawa,matrett
429,Speise::N,jedzenie,matrett
430,Fleisch::N,mięso,kjøtt
431,Getreide::N,zboże,korn
432,Brei::N,kasza,grøt
433,Brot::N,chleb,brød
434,Scheibe::N,kromka,skive
435,Fett::N,tłuszcz,fett
436,Butter::N,masło,smør
437,Öl::N,olej,olje
438,Salz::N,sól,salt
439,Suppe::N,zupa,suppe
440,Honig::N,miód,honning
441,Milch::N,mleko,melk
442,Tee::N,herbata,te
443,Leder::N,skóra,lær
444,Leder::N,skóra,skinn
445,Wolle::N,wełna,ull
446,Stoff::N,tkanina,tøy
447,Stoff::N,tkanina,stoff
448,Stoff::N,materiał,tøy
449,Stoff::N,materiał,stoff
450,Nadel::N,igła,nål
451,Faden::N,nić,tråd
452,Faden::N,nitka,tråd
453,Knopf::N,guzik,knapp
454,Knoten::N,węzeł,knute
455,Farbe::N,farba,farge
456,Kleidung::N,odzież,påkledning
457,Hemd::N,koszula,skjorte
458,Kragen::N,kołnierz,krage
459,Ärmel::N,rękaw,erme
460,Hose::N,spodnie,bukse
461,Gürtel::N,pasek,belte
462,Mütze::N,czapka,lue
463,Schuh::N,but,sko
464,Schuh::N,bucik,sko
465,Stiefel::N,but,støvel
466,Stiefel::N,kozak,støvel
467,Ring::N,pierścień,ring
468,Band::N,wstęga,band
469,Kamm::N,grzebień,kam
470,Spiegel::N,lustro,speil
471,Riemen::N,rzemień,rem
472,Schnur::N,sznur,snor
473,Leine::N,smycz,line
474,Decke::N,kołdra,teppe
475,Kissen::N,poduszka,pute
476,Tuch::N,chustka,tøy
477,Handtuch::N,ręcznik,håndkle
478,Kraft::N,moc,kraft
479,Kraft::N,siła,kraft
480,Stärke::N,moc,styrke
481,Stärke::N,siła,styrke
482,Gesundheit::N,zdrowie,helse
483,Gesundheit::N,zdrowie,sunnhet
484,Krankheit::N,choroba,syke
485,Krankheit::N,choroba,sykdom
486,Schmerz::N,ból,smerte
487,Wunde::N,rana,sår
488,Fieber::N,gorączka,feber
489,Arznei::N,lekarstwo,medisin
490,Arznei::N,lekarstwo,legemiddel
491,Brücke::N,most,bro
492,Brunnen::N,studnia,brønn
493,Weide::N,pastwisko,beite
494,Pfad::N,ścieżka,sti
495,Weg::N,droga,vei
496,Straße::N,ulica,gate
497,Dorf::N,wieś,landsby
498,Stadt::N,miasto,by
499,Brief::N,list,brev
500,Buch::N,książka,bok
501,Buchstabe::N,litera,bokstav
502,Zeitung::N,gazeta,avis
503,Zeitung::N,dziennik,avis
504,Leben::N,życie,liv
505,Tod::N,śmierć,død
506,Grab::N,grób,grav
507,Kirche::N,kościół,kirke
508,Sünde::N,grzech,synd
509,Gott::N,bóg,gud
510,Arbeiter::N,robotnik,arbeider
511,Chef::N,szef,sjef
512,Meister::N,mistrz,mester
513,Meister::N,majster,mester
514,Arzt::N,lekarz,lege
515,Lehrer::N,nauczyciel,lærer
516,Geld::N,pieniądze,penger
517,Geschäft::N,sprawa,forretning
518,Geschäft::N,interes,forretning
519,Laden::N,sklep,butikk
520,Preis::N,cena,pris
521,Ware::N,towar,vare
522,Nutzen::N,pożytek,nytte
523,Reichtum::N,bogactwo,rikdom
524,Welt::N,świat,verden
525,Land::N,kraj,land
526,Staat::N,państwo,stat
527,König::N,król,konge
528,Macht::N,władza,makt
529,Grenze::N,granica,grense
530,Krieg::N,wojna,krig
531,Feind::N,wróg,fiende
532,Gewalt::N,władza,vold
533,Kampf::N,bój,kamp
534,Kampf::N,walka,kamp
535,Bogen[Waffe]::N,łuk,bue
536,Pfeil::N,strzała,pil
537,Gewehr::N,karabin,gevær
538,Fehler::N,błąd,feil
539,Lüge::N,kłamstwo,løgn
540,Schaden::N,szkoda,skade
541,Unglück::N,nieszczęście,uhell
542,Schuld::N,wina,skyld
543,Alter::N,wiek,alder
544,Schluss::N,koniec,slutt
545,Schluss::N,zakończenie,slutt
546,Zeit::N,czas,tid
547,Tag::N,dzień,dag
548,Morgen::N,ranek,morgen
549,Morgen::N,poranek,morgen
550,Mittag::N,południe,middag
551,Abend::N,wieczór,aften
552,Nacht::N,noc,natt
553,Woche::N,tydzień,uke
554,Monat::N,miesiąc,måned
555,Jahr::N,rok,år
556,Frühling::N,wiosna,vår
557,Sommer::N,lato,sommer
558,Herbst::N,jesień,høst
559,Winter::N,zima,vinter
560,Januar::N,styczeń,januar
561,Februar::N,luty,februar
562,März::N,marzec,mars
563,April::N,kwiecień,april
564,Mai::N,maj,mai
565,Juni::N,czerwiec,juni
566,Juli::N,lipiec,juli
567,August::N,sierpień,august
568,September::N,wrzesień,september
569,Oktober::N,październik,oktober
570,November::N,listopad,november
571,Dezember::N,grudzień,desember
572,Montag::N,poniedziałek,mandag
573,Dienstag::N,wtorek,tirsdag
574,Mittwoch::N,środa,onsdag
575,Donnerstag::N,czwartek,torsdag
576,Freitag::N,piątek,fredag
577,Samstag::N,sobota,lørdag
578,Sonntag::N,niedziela,søndag
579,groß::A,duży,stor
580,groß::A,wielki,stor
581,klein::A,mały,liten
582,lang::A,długi,lang
583,kurz::A,krótki,kort
584,breit::A,szeroki,bred
585,schmal::A,wąski,smal
586,dicht::A,gęsty,tett
587,dick[Gegenstand]::A,gruby,tykk
588,dünn::A,cienki,tynn
589,fein::A,drobny,fin
590,fest::A,mocny,fast
591,fest::A,twardy,fast
592,flach::A,płaski,flat
593,glatt::A,gładki,glatt
594,hart::A,twardy,hard
595,weich::A,miękki,myk
596,weich::A,miękki,bløt
597,rund::A,okrągły,rund
598,spitz::A,spiczasty,spiss
599,scharf::A,ostry,kvass
600,stumpf::A,tępy,stubb
601,schwer::A,ciężki,tung
602,schön::A,ładny,pen
603,schön::A,ładny,vakker
604,schön::A,piękny,pen
605,schön::A,piękny,vakker
606,heiß::A,gorący,het
607,warm::A,ciepły,varm
608,kalt::A,zimny,kald
609,kühl::A,chłodny,kjølig
610,frisch::A,świeży,fersk
611,feucht::A,wilgotny,fuktig
612,nass::A,mokry,våt
613,trocken::A,suchy,tørr
614,voll::A,pełny,full
615,leer::A,pusty,tom
616,leer::A,próżny,tom
617,offen::A,otwarty,åpen
618,geschlossen::A,zamknięty,lukket
619,sauber::A,czysty,ren
620,schmutzig::A,brudny,skitten
621,roh::A,surowy,rå
622,reif::A,dojrzały,moden
623,lecker::A,smaczny,lekker
624,süß::A,słodki,søt
625,bitter::A,gorzki,besk
626,bitter::A,gorzki,bitter
627,sauer::A,kwaśny,sur
628,hell::A,jasny,lys
629,dunkel::A,ciemny,mørk
630,schwarz::A,czarny,svart
631,weiß::A,biały,hvit
632,rot::A,czerwony,rød
633,gelb::A,żółty,gul
634,blau::A,błękitny,blå
635,blau::A,niebieski,blå
636,grün::A,zielony,grønn
637,grau::A,szary,grå
638,bunt::A,barwny,broket
639,billig::A,tani,billig
640,teuer::A,drogi,dyr
641,wertvoll::A,cenny,verdifull
642,blind::A,ślepy,blind
643,taub::A,głuchy,døv
644,kräftig::A,mocny,kraftig
645,stark::A,silny,sterk
646,schwach::A,słaby,svak
647,fett::A,tłusty,fet
648,schlank::A,smukły,slank
649,hübsch::A,ładny,pen
650,böse::A,zły,slem
651,dumm::A,głupi,dum
652,faul::A,leniwy,lat
653,faul::A,leniwy,doven
654,fleißig::A,pilny,flittig
655,geizig::A,skąpy,gjerrig
656,klug::A,mądry,klok
657,geschickt::A,zręczny,hendig
658,geschickt::A,zręczny,skikket
659,lieb::A,miły,kjær
660,lieb::A,miły,snill
661,lustig::A,wesoły,morsom
662,sanft::A,łagodny,blid
663,hungrig::A,głodny,sulten
664,krank::A,chory,syk
665,nackt::A,nagi,naken
666,traurig::A,smutny,sørgmodig
667,lebendig::A,żywy,levende
668,gut::A,dobry,god
669,schlecht::A,zły,dårlig
670,richtig::A,słuszny,riktig
671,richtig::A,właściwy,riktig
672,schlimm::A,zły,slem
673,wahr::A,prawdziwy,sann
674,alt::A,stary,gammel
675,neu::A,nowy,ny
676,ehemalig::A,były,forhenværende
677,alt[Lebewesen]::A,stary,gammel
678,jung::A,młody,ung
679,arm::A,ubogi,fattig
680,arm::A,biedny,fattig
681,reich::A,bogaty,rik
682,bekannt::A,znany,kjent
683,berühmt::A,słynny,berømt
684,fremd::A,obcy,fremmed
685,fremd::A,cudzy,fremmed
686,verschieden::A,różny,forskjellig
687,nah::A,bliski,nær
688,fern::A,daleki,fjern
689,linker::A,lewy,venstre
690,rechter::A,prawy,høyre
691,anderer::A,inny,annen
692,erster::A,pierwszy,første
693,zweiter::A,drugi,annen
694,dritter::A,trzeci,tredje
695,letzter::A,ostatni,sist
696,allein::ADV,sam,alene
697,auf einmal::ADV,naraz,med ett
698,zusammen::ADV,razem,sammen
699,lange::ADV,długo,lenge
700,plötzlich::ADV,nagle,plutselig
701,sofort::ADV,natychmiast,straks
702,später::ADV,później,senere
703,jetzt::ADV,teraz,nå
704,jetzt::ADV,obecnie,nå
705,heute::ADV,dziś,i dag
706,heute::ADV,dzisiaj,i dag
707,morgen::ADV,jutro,i morgen
708,bald::ADV,wkrótce,snart
709,dann::ADV,potem,så
710,gestern::ADV,wczoraj,i går
711,einst::ADV,kiedyś,engang
712,einst::ADV,niegdyś,engang
713,damals::ADV,wtedy,den gang
714,damals::ADV,wówczas,den gang
715,danach::ADV,następnie,deretter
716,vorher::ADV,przedtem,før
717,vorher::ADV,przedtem,i forveien
718,zuerst::ADV,naprzód,først
719,zuerst::ADV,najpierw,først
720,einmal::ADV,raz,en gang
721,manchmal::ADV,czasem,somme tider
722,oft::ADV,często,ofte
723,immer::ADV,zawsze,alltid
724,niemals::ADV,nigdy,aldri
725,hier::ADV,tu,her
726,hier::ADV,tutaj,her
727,hierhin::ADV,tu,hit
728,von hier::ADV,stąd,herfra
729,dort::ADV,tam,der
730,dorthin::ADV,tam,dit
731,geradeaus::ADV,prosto,rett fram
732,vorwärts::ADV,naprzód,fram
733,vorwärts::ADV,naprzód,framover
734,rückwärts::ADV,wstecz,baklengs
735,zurück::ADV,z powrotem,tilbake
736,unten::ADV,u dołu,nede
737,unten::ADV,na dole,nede
738,hinab::ADV,na_dół,ned
739,hinab::ADV,na_dół,nedover
740,hinab::ADV,w_dół,ned
741,hinab::ADV,w_dół,nedover
742,oben::ADV,w górze,oppe
743,oben::ADV,w górze,ovenpå
744,oben::ADV,na górze,oppe
745,oben::ADV,na górze,ovenpå
746,hinauf::ADV,w górę,opp
747,hinauf::ADV,w górę,oppover
748,hinauf::ADV,na górę,opp
749,hinauf::ADV,na górę,oppover
750,überall::ADV,wszędzie,overalt
751,nicht::ADV,nie,ikke
752,ein wenig::ADV,trochę,litt
753,kaum::ADV,ledwie,neppe
754,kaum::ADV,prawie nie,neppe
755,sehr::ADV,bardzo,svært
756,so::ADV,tak,så
757,noch::ADV,jeszcze,enda
758,nur::ADV,tylko,bare
759,schon::ADV,już,alt
760,schon::ADV,już,allerede
761,wieder::ADV,znów,igjen
762,wieder::ADV,znowu,igjen
763,vergebens::ADV,na próżno,forgjeves
764,vor::PRP,przed,foran
765,vor::PRP,przed,utenfor
766,hinter::PRP,za,bak
767,hinter::PRP,za,bakom
768,unter::PRP,pod,under
769,durch::PRP,przez,gjennom
770,durch::PRP,przez,igjennom
771,neben::PRP,obok,ved siden av
772,zwischen::PRP,między,mellom
773,wegen::PRP,z powodu,på grunn av
774,dies::PRN,to,dette
775,das::PRN,to,det
776,alles::PRN,wszystko,alt
777,ich::PRN,ja,jeg
778,du::PRN,ty,du
779,er::PRN,on,han
780,wir::PRN,my,vi
781,ihr::PRN,wy,dere
782,sie::PRN,oni,de
783,was::FPRN,co,hva
784,wer::FPRN,kto,hvem
785,wo::FADV,gdzie,hvor
786,wohin::FADV,dokąd,hvor ... hen
787,wie::FADV,jak,hvordan
788,warum::FADV,dlaczego,hvorfor
789,wieviel::FNUM,ile,hvor mye
790,eins::NUM,jeden,en
791,eins::NUM,jeden,ett
792,zwei::NUM,dwa,to
793,drei::NUM,trzy,tre
794,vier::NUM,cztery,fire
795,fünf::NUM,pięć,fem
796,sechs::NUM,sześć,seks
797,sieben::NUM,siedem,sju
798,acht::NUM,osiem,åtte
799,neun::NUM,dziewięć,ni
800,zehn::NUM,dziesięć,ti
801,elf::NUM,jedenaście,elleve
802,zwölf::NUM,dwanaście,tolv
803,zwanzig::NUM,dwadzieścia,tjue
804,dreißig::NUM,trzydzieści,tretti
805,vierzig::NUM,czterdzieści,førti
806,fünfzig::NUM,pięćdziesiąt,femti
807,sechzig::NUM,sześćdziesiąt,seksti
808,siebzig::NUM,siedemdziesiąt,sytti
809,achtzig::NUM,osiemdziesiąt,åtti
810,neunzig::NUM,dziewięćdziesiąt,nitti
811,hundert::NUM,sto,hundre
812,tausend::NUM,tysiąc,tusen
813,und::CNJ,i,og
814,oder::CNJ,lub,eller
815,oder::CNJ,albo,eller
816,stehen::V,stać,stå
817,sitzen::V,siedzieć,sitte
818,liegen::V,leżeć,ligge
819,hängen::V,wisieć,henge
820,werden::V,zostać,bli
821,werden::V,stać się,bli
822,passieren::V,dziać się,skje
823,passieren::V,dziać się,hende
824,passieren::V,zdarzyć się,skje
825,passieren::V,zdarzyć się,hende
826,beginnen::V,zacząć się,begynne
827,enden::V,kończyć się,ende
828,enden::V,kończyć się,slutte
829,wechseln::V,zmienić się,veksle
830,aufgehen[Sonne]::V,wzejść,stå opp
831,untergehen[Sonne]::V,zajść,gå ned
832,scheinen[Sonne]::V,świecić,skinne
833,donnern::V,grzmieć,tordne
834,wehen::V,wiać,blåse
835,strömen::V,płynąć,strømme
836,strömen::V,lać się,strømme
