,Concept_ID,mdf,uk
92,Donner::N,атям,грім
93,Strömung::N,шудема́,струмина
94,Tropfen::N,путькс,крапля
95,Tropfen::N,пътняфкс,крапля
96,Schaum::N,шов,піна
97,Schmutz::N,ърда́з,бруд
98,See::N,эрьхке,озеро
99,Sumpf::N,шяй,драговина
100,Moor::N,шяй,болото
101,Wiese::N,луга,луг
102,Wiese::N,луга,лука
103,Wald::N,вирь,ліс
104,Hügel::N,губо́р,горб
105,Hügel::N,пандоня,горб
106,Anhöhe::N,губо́р,височина
107,Berg::N,панда,гора
108,Gipfel::N,пря,вершина
109,Höhle::N,у́нда,печера
110,Abhang::N,па́нда ша́ма,схил
111,Quelle::N,эшиня,джерело
112,Bach::N,шудерькс,струмок
113,Fluss::N,ляй,річка
114,Ufer::N,търва́,берег
115,Küste::N,ляйтърва́,узбережжя
116,Festland::N,мода,суша
117,Meer::N,моря,море
118,Bucht::N,ведьуське,бухта
119,Bucht::N,ведьуське,затока
120,Insel::N,цёнга,острів
121,Blume::N,панчф,квітка
122,Gras::N,тише,трава
123,Wurzel::N,юр,корінь
124,Wurzel::N,ункс,корінь
125,Baum::N,шуфта,дерево
126,Stamm::N,ро́нга,стовбур
127,Rinde::N,кер,кора
128,Ast::N,морга,гілка
129,Zweig::N,тарад,галузь
130,Blatt::N,лопа,лист
131,Birke::N,ке́лу,береза
132,Kiefer[Baum]::N,пиче,сосна
133,Weide[Baum]::N,каль,верба
134,Tanne::N,куз,ялиця
135,Horn::N,сюра,ріг
136,Feder::N,толга,перо
137,Fell::N,кедь,хутро
138,Flügel::N,паця,крило
139,Klaue::N,кенже,кіготь
140,Kralle::N,кенже,лапа
141,Schwanz::N,пула,хвіст
142,Ei::N,ал,яйце
143,Nest::N,пиза,гніздо
144,Bau::N,пиза,лігво
145,Tier::N,жува́та,тварина
146,Herde::N,нал,стадо
147,Herde::N,стада,стадо
148,Kuh::N,скал,корова
149,Kuh::N,тракс,корова
150,Bulle::N,бука,бик
151,Bulle::N,бука,бугай
152,Pferd::N,лишме,кінь
153,Schaf::N,уча́,вівця
154,Schwein::N,тува,свиня
155,Hund::N,пине,собака
156,Katze::N,катоня,кішка
157,Katze::N,аваката,кішка
158,Bär::N,офта,ведмідь
159,Eichhörnchen::N,ур,білка
160,Elch::N,ся́рда,лось
161,Fuchs::N,келазь,лисиця
162,Hase::N,ну́мол,заєць
163,Maus::N,шеер,миша
164,Wolf::N,върьгаз,вовк
165,Vogel::N,нармонь,птах
166,Schwarm::N,ко́вол,зграя
167,Schwarm::N,ме́швеле,зграя
168,Huhn::N,сараз,курка
169,Hahn::N,а́тякш,півень
170,Gans::N,маци,гуска
171,Adler::N,куцькан,орел
172,Ente::N,яксярга,качка
173,Eule::N,ко́рож,сова
174,Kranich::N,ка́рга,журавель
175,Krähe::N,ва́рси,ворона
176,Kuckuck::N,ку́ку,зозуля
177,Schwan::N,ло́ксти,лебідь
178,Fisch::N,кал,риба
179,Barsch::N,о́кунь,окунь
180,Hecht::N,щу́ка,щука
181,Schlange[Tier]::N,куй,змія
182,Wurm::N,сукс,черв’як
183,Spinne::N,унжа́,павук
184,Ameise::N,панжам,мурашка
185,Laus::N,си,воша
186,Mücke::N,ся́ське,комар
187,Fliege::N,кару,муха
188,Schmetterling::N,ме́лав,метелик
189,Beere::N,и́мож,ягода
190,Apfel::N,марь,яблуко
191,Pilz::N,панга,гриб
192,Zwiebel::N,шурьхкя́,цибуля
193,Saat::N,видьмот,сім’я
194,Korn::N,сёра,зерно
195,Heu::N,тише,сіно
196,Schale::N,кедь,шкірка
197,Grube::N,лотка,яма
198,Falle::N,туфкс,пастка
199,Falle::N,кунда́ма,пастка
200,Schlinge::N,килькш,петля
201,Spur::N,пильгоки́,слід
202,Asche::N,кулу,зола
203,Asche::N,кулу,попіл
204,Dreck::N,ърда́з,бруд
205,Eisen::N,кшни,залізо
206,Gold::N,ока,золото
207,Gold::N,золота,золото
208,Silber::N,сия́,срібло
209,Kohle::N,седь,вугілля
210,Kohle::N,седьвальмя,вугілля
211,Glas::N,кля́нцек,скло
212,Lehm::N,сёвонь,глина
213,Sand::N,шува́р,пісок
214,Mensch::N,ломань,людина
215,Mann::N,аля,чоловік
216,Mann::N,цёраломань,чоловік
217,Frau::N,ава,жінка
218,Kind::N,идь,дитина
219,Kind::N,шаба,дитина
220,Junge::N,цёраня,хлопець
221,Mädchen::N,стирня́,дівчина
222,Familie::N,тнал,сім’я
223,Familie::N,тнал,родина
224,Familie::N,семья,сім’я
225,Familie::N,семья,родина
226,Großvater::N,атя,дідусь
227,Großvater::N,щя́тя,дідусь
228,Großmutter::N,баба,бабуся
229,Eltern::N,тя́дят-а́лят,батьки
230,Vater::N,аля,батько
231,Mutter::N,ава,мати
232,Mutter::N,тядя,мати
233,Sohn::N,цёра,син
234,Tochter::N,стирь,дочка
235,Bruder::N,дуган,брат
236,Bruder::N,пяльне,брат
237,Schwester::N,ака,сестра
238,Schwester::N,сазор,сестра
239,Onkel::N,оця,дядько
240,Onkel::N,патя,дядько
241,Onkel::N,щеня́,дядько
242,Tante::N,ака,тітка
243,Tante::N,щака,тітка
244,Ehemann::N,мирде,чоловік
245,Ehefrau::N,ърьвя́,жінка
246,Ehefrau::N,ърьвя́,дружина
247,Freude::N,ке́нярдема,радощі
248,Gelächter::N,рахсема,сміх
249,Glück::N,паваз,щастя
250,Kummer::N,ризф,горе
251,Kummer::N,пичефкс,горе
252,Wunsch::N,мяль,бажання
253,Wunsch::N,таколдома,бажання
254,Lust::N,таколдома,бажання
255,Geist::N,вайме,дух
256,Gedanke::N,мяль,думка
257,Gedächtnis::N,прявий,пам’ять
258,Verstand::N,прявий,розум
259,Sinn::N,ён,зміст
260,Sinn::N,ён,значення
261,Grund::N,туфта́л,причина
262,Wahrheit::N,ви́де,правда
263,Wahrheit::N,видеши́,правда
264,Gespräch::N,корхтама,розмова
265,Märchen::N,ёфкс,байка
266,Erzählung::N,азкс,повість
267,Erzählung::N,азкс,оповідання
268,Nachricht::N,куля́,повідомлення
269,Neuigkeit::N,куля́,новина
270,Name::N,лем,ім’я
271,Rätsel::N,со́дама ёфкс,загадка
272,Rede::N,вал,промова
273,Rede::N,корхтама,промова
274,Sprache::N,кяль,мова
275,Stimme::N,вайгяль,голос
276,Wort::N,вал,слово
277,Zeichen::N,тя́ште,знак
278,Zeichen::N,тя́штькс,знак
279,Ruf::N,тердема,оклик
280,Lärm::N,гайф,шум
281,Lärm::N,жалакодома,шум
282,Laut::N,вайгяль,звук
283,Ton::N,вайгяль,тон
284,Lied::N,мора,пісня
285,Ruhe::N,сетьме,спокій
286,Leute::N,ломатть,люди
287,Volk::N,наро́д,народ
288,Arbeit::N,тев,робота
289,Gast::N,и́нжи,гість
290,Gast::N,ко́нак,гість
291,Geschenk::N,казне,подарунок
292,Spiel::N,налхкома,гра
293,Spiel::N,налхксема,гра
294,Gesellschaft::N,кружок,товариство
295,Hilfe::N,лездома,допомога
296,Freund::N,я́лга,друг
297,Freund::N,я́лга,приятель
298,Kamerad::N,я́лга,товариш
299,Angelegenheit::N,тев,справа
300,Anzahl::N,лувкс,число
301,Art::N,вид,рід
302,Stück::N,пакш,кусок
303,Teil::N,часть,частина
304,Teil::N,пялькс,частина
305,Hälfte::N,пяле,половина
306,Kreis::N,шаркс,круг
307,Kreis::N,шаркс,коло
308,Kreuz::N,крёз,хрест
309,Linie::N,межа,лінія
310,Linie::N,китькс,лінія
311,Strich::N,межа,штрих
312,Abstand::N,ётка,проміжок
313,Entfernung::N,ётка,відстань
314,Gegend::N,ва́ста,місцевість
315,Gegend::N,перьфпя́ль,місцевість
316,Platz::N,ва́ста,площа
317,Ort::N,ва́ста,місце
318,Seite::N,пяле,сторона
319,Mitte::N,кучка́,середина
320,Gegenstand::N,веща,предмет
321,Sache::N,тев,річ
322,Sache::N,веща,річ
323,Rand::N,пе,край
324,Kante::N,и́рдез,ребро
325,Ecke::N,ужа,ріг
326,Spitze::N,пря,кінчик
327,Ende::N,пе,кінець
328,Loch::N,варя,діра
329,Winkel::N,ужа,куток
330,Muster::N,сёрма,узор
331,Größe::N,серь,розмір
332,Länge::N,кува́лма,довжина
333,Höhe::N,серь,висота
334,Gewicht::N,сталма,вага
335,Menge::N,лувкс,кількість
336,Haufen::N,мар,купа
337,Reihe::N,ряд,ряд
338,Boot::N,венеж,човен
339,Ruder::N,миле,весло
340,Schlitten::N,ну́рда,сани
341,Ski::N,сокс,лижа
342,Lagerfeuer::N,то́лмар,вогнище
343,Last::N,канкс,тягар
344,Last::N,канкс,вантаж
345,Last::N,сталма,тягар
346,Last::N,сталма,вантаж
347,Gang::N,молема,хід
348,Schritt::N,аськолкс,крок
349,Norden::N,якшама шире,північ
350,Süden::N,ля́мбе ши́ре,південь
351,Westen::N,ши валгома шире,захід
352,Osten::N,шинь стяма шире,схід
353,Holz::N,вирь,дрова
354,Holz::N,шуфта,дрова
355,Brett::N,лавця,дошка
356,Platte::N,плита́,плита
357,Stütze::N,неже,підпірка
358,Stange::N,олга,жердина
359,Stock::N,байдек,палиця
360,Stab::N,олгоня,палиця
361,Rohr::N,турама,труба
362,Haus::N,куд,дім
363,Haus::N,куд,хата
364,Heim::N,куд,житло
365,Ofen::N,пянакуд,піч
366,Fußboden::N,кия́кс,підлога
367,Tisch::N,шра,стіл
368,Tisch::N,моркш,стіл
369,Stuhl::N,стул,стілець
370,Wiege::N,нюря́м,колиска
371,Bett::N,ацам,ліжко
372,Bett::N,ацам,постіль
373,Regal::N,лавцяланга,полиця
374,Kiste::N,парга,ящик
375,Fenster::N,валмья,вікно
376,Tür::N,кенкш,двері
377,Tor::N,ортат,ворота
378,Zaun::N,перяфкс,паркан
379,Zaun::N,перяфкс,огорожа
380,Dach::N,кудпря,дах
381,Leiter::N,куцема,драбина
382,Besen::N,тяльме,мітла
383,Spaten::N,ка́йме,заступ
384,Schaufel::N,ко́поня,совок
385,Schaufel::N,ко́поня,лопата
386,Schaufel::N,ця́рдом,совок
387,Schaufel::N,ця́рдом,лопата
388,Gabel::N,ця́нгоня,виделка
389,Löffel::N,куцю,ложка
390,Messer::N,пеель,ніж
391,Nagel::N,эска,цвях
392,Haken::N,кя́чказ,крюк
393,Griff::N,недь,ручка
394,Griff::N,недь,держак
395,Griff::N,кунда́мка,ручка
396,Griff::N,кунда́мка,держак
397,Schloss::N,замо́к,замок
398,Bild::N,карти́на,картина
399,Figur::N,ронга-понда,фігура
400,Puppe::N,ня́ка,лялька
401,Beutel::N,кяскав,мішечок
402,Beutel::N,кяскав,торбинка
403,Bündel::N,кярьме,в’язка
404,Tasche::N,кошяльня,сумка
405,Eimer::N,ве́дарка,відро
406,Deckel::N,тавадкс,кришка
407,Deckel::N,вельхкс,кришка
408,Geschirr::N,кядьге,посуд
409,Sack::N,кяскав,мішок
410,Tasse::N,ша́ваня,чашка
411,Topf::N,кавозь,горщик
412,Kessel::N,сргавозь,котел
413,Essen::N,ярхцама,їжа
414,Nahrung::N,ярхцампяль,харч
415,Speise::N,ярхцама,страва
416,Fleisch::N,пал,м’ясо
417,Fleisch::N,сиволь,м’ясо
418,Getreide::N,сёра,хліб
419,Getreide::N,сёра,збіжжя
420,Brei::N,ям,каша
421,Brot::N,кши,хліб
422,Scheibe::N,кочам,скибочка
423,Fett::N,куя́,жир
424,Butter::N,вай,масло
425,Öl::N,вай,олія
426,Salz::N,сал,сіль
427,Suppe::N,шонгарям,суп
428,Suppe::N,коршампяль,суп
429,Honig::N,медь,мед
430,Milch::N,лофца,молоко
431,Tee::N,чай,чай
432,Leder::N,кедь,шкіра
433,Wolle::N,пона,шерсть
434,Stoff::N,котф,тканина
435,Nadel::N,салмокс,голка
436,Faden::N,сюре,нитка
437,Knopf::N,пуня,ґудзик
438,Knoten::N,сюлма,вузол
439,Farbe::N,архтомбяль,фарба
440,Kleidung::N,щам,одяг
441,Kleidung::N,щам,убрання
442,Hemd::N,па́нар,сорочка
443,Kragen::N,сиве,комір
444,Ärmel::N,ожа,рукав
445,Hose::N,понкст,брюки
446,Gürtel::N,каркс,пояс
447,Mütze::N,вазь,шапка
448,Schuh::N,башма́к,ботинок
449,Stiefel::N,кя́ме,чобіт
450,Ring::N,суркс,кільце
451,Band::N,керькс,стрічка
452,Band::N,лента,стрічка
453,Kamm::N,сюрьхцем,гребінець
454,Spiegel::N,ванома,дзеркало
455,Riemen::N,шнань каркс,ремінь
456,Schnur::N,пикс,вірьовка
457,Schnur::N,карькскя,вірьовка
458,Leine::N,вядьме,шворка
459,Decke::N,вельхкс,ковдра
460,Kissen::N,тоду,подушка
461,Tuch::N,руця́,хустка
462,Handtuch::N,на́рдама,рушник
463,Kraft::N,вий,сила
464,Stärke::N,вииши,сила
465,Gesundheit::N,шумбраши́,здоров’я
466,Krankheit::N,урма́,хвороба
467,Krankheit::N,сярядема,хвороба
468,Schmerz::N,маряма,біль
469,Wunde::N,керф,рана
470,Fieber::N,маштыкс,гарячка
471,Arznei::N,надо́бья,ліки
472,Arznei::N,пъчка́фтома,ліки
473,Brücke::N,седь,міст
474,Brunnen::N,эши,колодязь
475,Weide::N,ванома васта,пасовище
476,Pfad::N,ян,стежка
477,Pfad::N,киня́,стежка
478,Weg::N,ки,шлях
479,Weg::N,ки,дорога
480,Straße::N,ки,вулиця
481,Dorf::N,веле,село
482,Stadt::N,ош,місто
483,Brief::N,сёрма,лист
484,Buch::N,книга,книга
485,Buch::N,книга,книжка
486,Buchstabe::N,бу́ква,буква
487,Buchstabe::N,бу́ква,літера
488,Zeitung::N,газе́та,газета
489,Leben::N,эряф,життя
490,Leben::N,эряма,життя
491,Tod::N,кулома́,смерть
492,Grab::N,калма,могила
493,Kirche::N,це́рькав,церква
494,Sünde::N,пежеть,гріх
495,Sünde::N,муворкс,гріх
496,Gott::N,шкай,бог
497,Arbeiter::N,трудендай,робітник
498,Arbeiter::N,работник,робітник
499,Chef::N,азор,хазяїн
500,Chef::N,оцюня,хазяїн
501,Meister::N,мастяр,умілець
502,Arzt::N,врач,лікар
503,Arzt::N,доктор,лікар
504,Lehrer::N,учи́тель,вчитель
505,Geld::N,ярмакт,гроші
506,Geschäft::N,ладяфкс,заняття
507,Geschäft::N,ладяф тев,заняття
508,Laden::N,ла́вка,магазин
509,Laden::N,ла́вка,крамниця
510,Preis::N,питне,ціна
511,Ware::N,миф,товар
512,Ware::N,ра́маф,товар
513,Nutzen::N,пара,вигода
514,Nutzen::N,пара,користь
515,Nutzen::N,лезкс,вигода
516,Nutzen::N,лезкс,користь
517,Reichtum::N,ко́зяши,багатство
518,Welt::N,свет,світ
519,Land::N,мастор,країна
520,Staat::N,государства,держава
521,König::N,король,король
522,Macht::N,азорондама,влада
523,Macht::N,азорксши,влада
524,Grenze::N,ёткаян,кордон
525,Krieg::N,война́,війна
526,Feind::N,душман,ворог
527,Feind::N,каршек тюри,ворог
528,Gewalt::N,наругама,насильство
529,Kampf::N,тюрема́,бій
530,Kampf::N,тюрема́,боротьба
531,Bogen[Waffe]::N,нал,лук
532,Pfeil::N,нал,стріла
533,Gewehr::N,винто́вка,рушниця
534,Gewehr::N,винто́вка,гвинтівка
535,Fehler::N,эльбядькс,помилка
536,Lüge::N,васькафнема,брехня
537,Schaden::N,зия́н,шкода
538,Schaden::N,зия́н,збиток
539,Unglück::N,зия́н,нещастя
540,Schuld::N,муворши,провина
541,Alter::N,эряф кизот,вік
542,Alter::N,эряф кизот,літа
543,Alter::N,эряфонь пинге,вік
544,Alter::N,эряфонь пинге,літа
545,Schluss::N,пе,кінець
546,Zeit::N,пинге,час
547,Tag::N,ши,день
548,Morgen::N,шобдава,ранок
549,Mittag::N,шикучка,південь
550,Abend::N,иля́дь,вечір
551,Nacht::N,ве,ніч
552,Woche::N,недя́ля,тиждень
553,Monat::N,ков,місяць
554,Jahr::N,киза,рік
555,Frühling::N,тунда́,весна
556,Sommer::N,киза,літо
557,Herbst::N,сёксе,осінь
558,Winter::N,тяла,зима
559,Januar::N,кельмеков,січень
560,Februar::N,уфайков,лютий
561,März::N,марайков,березень
562,April::N,шудиков,квітень
563,Mai::N,панжиков,травень
564,Juni::N,лямбеков,червень
565,Juli::N,псиков,липень
566,August::N,сёроньков,серпень
567,September::N,тюжягов,вересень
568,Oktober::N,кельмазаков,жовтень
569,November::N,эйндамков,листопад
570,Dezember::N,кучкаков,грудень
571,Montag::N,одговши,понеділок
572,Dienstag::N,ша́вши,вівторок
573,Mittwoch::N,вержи,середа
574,Donnerstag::N,шува́ланя,четвер
575,Freitag::N,пя́денця,п’ятниця
576,Samstag::N,ёткши,субота
577,Sonntag::N,таргоши,неділя
578,groß::A,оцю,великий
579,klein::A,ёмла,малий
580,klein::A,ёмла,маленький
581,lang::A,кува́ка,довгий
582,kurz::A,нюрьхкя́ня,короткий
583,breit::A,кели,широкий
584,schmal::A,тяйня,вузький
585,dicht::A,сиде,густий
586,dicht::A,туста,густий
587,dick[Gegenstand]::A,эчке,товстий
588,dünn::A,шува́ня,тонкий
589,fein::A,шува́ня,дрібний
590,fest::A,кеме,міцний
591,flach::A,лапш,плоский
592,glatt::A,вадяв,рівний
593,glatt::A,вадяв,гладенький
594,glatt::A,такор,рівний
595,glatt::A,такор,гладенький
596,hart::A,калгода,твердий
597,weich::A,ляпе,м’який
598,rund::A,кру́глай,круглий
599,spitz::A,ботаз,гострокінцевий
600,spitz::A,оржа,гострокінцевий
601,scharf::A,оржа,гострий
602,stumpf::A,ношка,тупий
603,schwer::A,стака,важкий
604,schön::A,мазы,вродливий
605,heiß::A,пси,жаркий
606,heiß::A,пси,гарячий
607,warm::A,лямбе,теплий
608,kalt::A,кельме,холодний
609,kühl::A,эше,прохолодний
610,frisch::A,свежай,свіжий
611,feucht::A,летьке,вогкий
612,nass::A,начка,мокрий
613,trocken::A,коське,сухий
614,voll::A,пяшксе,повний
615,leer::A,шава,пустий
616,offen::A,панжада,відкритий
617,offen::A,виде,відкритий
618,geschlossen::A,пякстаф,закритий
619,geschlossen::A,пякстаф,зачинений
620,geschlossen::A,сёлгф,закритий
621,geschlossen::A,сёлгф,зачинений
622,sauber::A,ару,чистий
623,sauber::A,ару,охайний
624,schmutzig::A,рда́зу,брудний
625,schmutzig::A,пя́ндра,брудний
626,roh::A,верок,сирий
627,reif::A,ке́нерьф,зрілий
628,lecker::A,танцти,смачний
629,süß::A,ламбама,солодкий
630,bitter::A,сяпи,гіркий
631,sauer::A,шапама,кислий
632,hell::A,валда,світлий
633,dunkel::A,шобда,темний
634,schwarz::A,равжа,чорний
635,weiß::A,акша,сивий
636,rot::A,якстерь,червоний
637,gelb::A,тюжя́,жовтий
638,blau::A,сенем,синій
639,grün::A,пиже,зелений
640,grün::A,сянгяря,зелений
641,grau::A,уле,сірий
642,bunt::A,сёрмав,барвистий
643,billig::A,у́цез,дешевий
644,billig::A,аф пи́тни,дешевий
645,teuer::A,пи́тни,дорогий
646,wertvoll::A,питни,цінний
647,blind::A,сокор,сліпий
648,taub::A,пярав,глухий
649,kräftig::A,пяк вии,могутній
650,stark::A,вии,сильний
651,schwach::A,лафча,слабкий
652,fett::A,куя́,жирний
653,fett::A,куя́,товстий
654,schlank::A,виде ронга,тонкий
655,schlank::A,виде ронга,стрункий
656,hübsch::A,мазы,чарівний
657,böse::A,кяжи,злий
658,böse::A,кяжи,лихий
659,dumm::A,аф ёню,дурний
660,dumm::A,шава пря,дурний
661,faul::A,нола,ледачий
662,fleißig::A,ку́лхцонды,старанний
663,geizig::A,кирьжя,скупий
664,geizig::A,жаднай,скупий
665,klug::A,ёню,мудрий
666,klug::A,ёню,розумний
667,klug::A,пря́ви,мудрий
668,klug::A,пря́ви,розумний
669,geschickt::A,маштозь тиф,умілий
670,lieb::A,цебярь,милий
671,lustig::A,ра́хси,веселий
672,sanft::A,сетьме,лагідний
673,hungrig::A,вача,голодний
674,hungrig::A,вачеда,голодний
675,krank::A,сяряди,слабий
676,nackt::A,штада,голий
677,nackt::A,кърхтапа,голий
678,traurig::A,ла́жнай,сумний
679,lebendig::A,эряй,живий
680,gut::A,пара,добрий
681,gut::A,цебярь,добрий
682,schlecht::A,кальдяв,поганий
683,schlecht::A,кальдяв,кепський
684,richtig::A,виде,правильний
685,schlimm::A,кальдяв,бридкий
686,wahr::A,афкуксонь,справжній
687,alt::A,ташта,старий
688,neu::A,од,новий
689,ehemalig::A,и́нгольдень,колишній
690,alt[Lebewesen]::A,сире,старий
691,jung::A,од,молодий
692,arm::A,а́шу,бідний
693,reich::A,козя,багатий
694,bekannt::A,содаф,знайомий
695,berühmt::A,содавикс,славетний
696,fremd::A,лия,чужий
697,fremd::A,аф содаф,чужий
698,verschieden::A,аф фкя ла́цонь,різний
699,nah::A,мала,близький
700,nah::A,аф ичкоздень,близький
701,fern::A,и́чкоздень,далекий
702,fern::A,куна́рдонь,далекий
703,linker::A,кержи,лівий
704,rechter::A,види,правий
705,anderer::A,лия,інакший
706,erster::A,васенце,перший
707,zweiter::A,омбоце,другий
708,dritter::A,колмоце,третій
709,letzter::A,ме́кольце,останній
710,allein::ADV,ськамонза,сам
711,allein::ADV,ськамонза,один
712,auf einmal::ADV,вихцок,відразу
713,zusammen::ADV,марс,разом
714,zusammen::ADV,марс,спільно
715,zusammen::ADV,ма́рса,разом
716,zusammen::ADV,ма́рса,спільно
717,lange::ADV,кува́тьс,довго
718,plötzlich::ADV,а́пак учт,раптом
719,sofort::ADV,тяникиге,зараз
720,später::ADV,ме́ле,пізніше
721,jetzt::ADV,тяни,тепер
722,heute::ADV,тячи,сьогодні
723,morgen::ADV,ва́нды,завтра
724,bald::ADV,курок,незабаром
725,dann::ADV,меле,потім
726,dann::ADV,сяда меле,потім
727,gestern::ADV,ися́к,вчора
728,einst::ADV,весть,колись
729,einst::ADV,мзя́рда-бди,колись
730,damals::ADV,эста,тоді
731,danach::ADV,меле,згодом
732,vorher::ADV,инголи,раніше
733,zuerst::ADV,ва́сенда,спершу
734,zuerst::ADV,ва́сенда,спочатку
735,einmal::ADV,весть,один раз
736,manchmal::ADV,лия́ста,іноді
737,manchmal::ADV,лия́ста,інколи
738,manchmal::ADV,ко́ста-ко́ста,іноді
739,manchmal::ADV,ко́ста-ко́ста,інколи
740,oft::ADV,си́деста,часто
741,immer::ADV,фалу,завжди
742,immer::ADV,най,завжди
743,niemals::ADV,аф мзя́рдонга,ніколи
744,hier::ADV,тяса,тут
745,hierhin::ADV,сей,сюди
746,hierhin::ADV,тяза,сюди
747,von hier::ADV,тя́ста,звідси
748,dort::ADV,тоса,там
749,dorthin::ADV,тов,туди
750,dorthin::ADV,тоза,туди
751,geradeaus::ADV,ви́деста,прямо
752,vorwärts::ADV,и́нголи,вперед
753,rückwärts::ADV,ме́ки,назад
754,zurück::ADV,ме́ки,назад
755,unten::ADV,ала,внизу
756,hinab::ADV,алу,вниз
757,oben::ADV,вяре,вгорі
758,hinauf::ADV,вяри,вгору
759,überall::ADV,се́мбе ва́стова,скрізь
760,nicht::ADV,аф,не
761,ein wenig::ADV,аф лама,трохи
762,ein wenig::ADV,аф лама,небагато
763,kaum::ADV,а́ньцек,ледве
764,sehr::ADV,пяк,дуже
765,so::ADV,ста́не,так
766,noch::ADV,нинге,ще
767,nur::ADV,аньцек,лише
768,nur::ADV,аньцек,тільки
769,schon::ADV,ни,вже
770,wieder::ADV,та́га,знову
771,vergebens::ADV,стак,дарма
772,vor::PRP,инголе,перед
773,hinter::PRP,фтала,ззаду
774,hinter::PRP,фтала,позаду
775,hinter::PRP,мельге,ззаду
776,hinter::PRP,мельге,позаду
777,unter::PRP,ала,під
778,durch::PRP,пачк,крізь
779,neben::PRP,ваксса,біля
780,zwischen::PRP,ёткса,між
781,wegen::PRP,сюнеда,з-за
782,wegen::PRP,сюнеда,через
783,dies::PRN,тя,це
784,das::PRN,ся,то
785,das::PRN,тона,то
786,alles::PRN,сембе,все
787,ich::PRN,мон,я
788,du::PRN,тон,ти
789,er::PRN,сон,він
790,wir::PRN,минь,ми
791,ihr::PRN,тинь,ви
792,sie::PRN,синь,вони
793,was::FPRN,мезе,що
794,wer::FPRN,кие,хто
795,wo::FADV,коса,де
796,wohin::FADV,ков,куди
797,wohin::FADV,коза,куди
798,wie::FADV,ко́да,як
799,warum::FADV,мес,чому
800,wieviel::FNUM,мзя́ра,скільки
801,eins::NUM,фкя,один
802,zwei::NUM,кафта,два
803,drei::NUM,колма,три
804,vier::NUM,ниле,чотири
805,fünf::NUM,вете,п’ять
806,sechs::NUM,кота,шість
807,sieben::NUM,сисем,сім
808,acht::NUM,кафкса,вісім
