,Concept_ID,fr,ta
88,Regenbogen::N,arc-en-ciel,வானவில்
89,Donner::N,tonnerre,இடி
90,Strömung::N,courant,நீரோட்டம்
91,Tropfen::N,goutte,துளி
92,Schaum::N,écume,நுரை
93,Schaum::N,mousse,நுரை
94,Schmutz::N,boue,அழுக்கு
95,Schmutz::N,saleté,அழுக்கு
96,See::N,lac,ஏரி
97,Sumpf::N,marais,சதுப்பு நிலம்
98,Sumpf::N,marécage,சதுப்பு நிலம்
99,Moor::N,tourbière,முட்புதற்காடு
100,Wiese::N,pré,பசும் புல்தரை
101,Wald::N,bois,காடு
102,Wald::N,forêt,காடு
103,Hügel::N,coteau,குன்று
104,Hügel::N,colline,குன்று
105,Anhöhe::N,éminence,பதுக்கை
106,Anhöhe::N,élévation,பதுக்கை
107,Berg::N,mont,மலை
108,Berg::N,montagne,மலை
109,Gipfel::N,cime,உச்சி மாநாடு
110,Gipfel::N,sommet,உச்சி மாநாடு
111,Höhle::N,caverne,குகை
112,Abhang::N,pente,சரிவு
113,Abhang::N,versant,சரிவு
114,Quelle::N,source,மூலம்
115,Quelle::N,fontaine,மூலம்
116,Bach::N,ruisseau,ஓடை
117,Fluss::N,fleuve,ஆறு
118,Fluss::N,rivière,ஆறு
119,Ufer::N,bord,நீர்க்கரை
120,Ufer::N,rivage,நீர்க்கரை
121,Küste::N,côte,கடற்கரை
122,Festland::N,terre ferme,நிலம்
123,Meer::N,mer,கடல்
124,Bucht::N,baie,சிறுகுடா
125,Insel::N,île,தீவு
126,Blume::N,fleur,பூ
127,Gras::N,herbe,புல்தரை
128,Wurzel::N,racine,வேர்
129,Baum::N,arbre,மரம்
130,Stamm::N,tronc,அடிமரம்
131,Rinde::N,écorce,பட்டை
132,Rinde::N,écorce,மரப்பட்டை
133,Ast::N,branche,கினை
134,Zweig::N,rameau,குச்சி
135,Blatt::N,feuille,இலை
136,Birke::N,bouleau,பிர்ச் மரம்
137,Kiefer[Baum]::N,pin,தேவதாரு மரம்
138,Weide[Baum]::N,saule,மர வகைகளுள் ஒன்று
139,Tanne::N,sapin,சாதிக்கய்
140,Horn::N,corne,கொம்பு
141,Feder::N,plume,இறகு
142,Fell::N,peau,மென்முடி
143,Flügel::N,aile,இறக்கை
144,Klaue::N,serre,நகம்
145,Kralle::N,ongle,நகம்
146,Kralle::N,griffe,நகம்
147,Schwanz::N,queue,வால்
148,Ei::N,œuf,முட்டை
149,Nest::N,nid,கூடு
150,Bau::N,terrier,குகை
151,Tier::N,animal,விலங்கு
152,Herde::N,troupeau,கூட்டம்
153,Kuh::N,vache,பசு
154,Bulle::N,taureau,காளை
155,Pferd::N,cheval,குதிரை
156,Schaf::N,mouton,செம்மறிஆடு
157,Schwein::N,porc,பன்றி
158,Schwein::N,cochon,பன்றி
159,Hund::N,chien,நாய்
160,Katze::N,chat,பூனை
161,Bär::N,ours,கரடி
162,Eichhörnchen::N,écureuil,அணில்
163,Elch::N,élan,கடம்பை
164,Fuchs::N,renard,நரி
165,Hase::N,lièvre,முயல்
166,Maus::N,souris,எலி
167,Wolf::N,loup,ஓநாய்
168,Vogel::N,oiseau,பறவை
169,Schwarm::N,nuée,தொகுதி
170,Schwarm::N,volée,தொகுதி
171,Huhn::N,poule,கோழிக்குஞசு
172,Hahn::N,coq,சேவல்
173,Gans::N,oie,பெண் வாத்து
174,Adler::N,aigle,பருநது
175,Ente::N,canard,வாத்து
176,Eule::N,hibou,ஆந்தை
177,Kranich::N,grue,நாரை
178,Krähe::N,corneille,காகம்
179,Kuckuck::N,coucou,குயில்
180,Schwan::N,cygne,அன்னம்
181,Fisch::N,poisson,மீன்
182,Barsch::N,perche,பேர்ச்
183,Hecht::N,brochet,கோலாச்சி மீன்
184,Schlange[Tier]::N,serpent,பாம்பு
185,Wurm::N,ver,புழு
186,Spinne::N,araignée,சிலந்தி
187,Ameise::N,fourmi,எறும்பு
188,Laus::N,pou,பேன்
189,Mücke::N,moucheron,கொசுவினப்பூச்சி
190,Fliege::N,mouche,ஈ
191,Schmetterling::N,papillon,வண்ணத்துப்பூச்சி
192,Beere::N,baie,சதைப்பழம்
193,Apfel::N,pomme,ஆப்பிள பழம்
194,Pilz::N,champignon,காளான்
195,Zwiebel::N,oignon,வெங்காயம்
196,Saat::N,semence,விதை
197,Korn::N,grain,தானியம்
198,Heu::N,foin,வைக்கோல்
199,Schale::N,pelure,தோல்
200,Grube::N,fosse,குழி
201,Falle::N,piège,பொறி
202,Schlinge::N,lacs,கண்ணி
203,Spur::N,trace,சுவடு
204,Asche::N,cendre,சாம்பல்
205,Dreck::N,crotte,அழுக்கு
206,Eisen::N,fer,இரும்பு
207,Gold::N,or,தங்கம்
208,Silber::N,argent,வெள்ளி
209,Kohle::N,charbon,நிலக்கரி
210,Glas::N,verre,கண்ணாடி
211,Lehm::N,glaise,களிமண்
212,Sand::N,sable,மணல்
213,Mensch::N,homme,மனிதர்கள்
214,Mann::N,homme,மனிதன்
215,Frau::N,femme,பெண்
216,Kind::N,enfant,குழந்தை
217,Junge::N,garçon,பையன்
218,Mädchen::N,fille,சிறுமி
219,Mädchen::N,jeune fille,சிறுமி
220,Familie::N,famille,குடும்பம்
221,Großvater::N,grand-père,தாத்தா
222,Großmutter::N,grand-mère,பாட்டி
223,Eltern::N,parents,பெற்றோர்
224,Vater::N,père,தந்தை
225,Mutter::N,mère,தாய்
226,Sohn::N,fils,மகன்
227,Tochter::N,fille,மகள்
228,Bruder::N,frère,சகோதரன்
229,Schwester::N,sœur,அக்கா
230,Onkel::N,oncle,தாய் மாமன்
231,Tante::N,tante,அத்தை
232,Ehemann::N,mari,கணவன்
233,Ehemann::N,époux,கணவன்
234,Ehefrau::N,femme,மனைவி
235,Ehefrau::N,épouse,மனைவி
236,Freude::N,joie,கொண்டாட்டம்
237,Freude::N,plaisir,கொண்டாட்டம்
238,Gelächter::N,rires,சிரிப்பு
239,Glück::N,bonheur,மகிழ்ச்சி
240,Kummer::N,peine,துயரம்
241,Kummer::N,chagrin,துயரம்
242,Wunsch::N,désir,விருப்பம்
243,Lust::N,envie,விருப்பம்
244,Geist::N,esprit,ஆன்மா
245,Gedanke::N,idée,எண்ணம்
246,Gedanke::N,pensée,எண்ணம்
247,Gedächtnis::N,mémoire,ஞாபகம்
248,Verstand::N,raison,மனம்
249,Sinn::N,sens,அர்த்தம்
250,Grund::N,cause,காரணம்
251,Grund::N,raison,காரணம்
252,Wahrheit::N,vérité,உண்நை
253,Gespräch::N,conversation,பெசு
254,Märchen::N,conte,நம்பத்தகாத கதை
255,Märchen::N,conte de fées,நம்பத்தகாத கதை
256,Erzählung::N,conte,கதை
257,Erzählung::N,narration,கதை
258,Nachricht::N,message,செய்தி
259,Neuigkeit::N,nouvelle,செய்தி
260,Name::N,nom,பெயர்
261,Rätsel::N,énigme,புதிர்
262,Rätsel::N,devinette,புதிர்
263,Rede::N,parole,பேச்சு
264,Rede::N,discours,பேச்சு
265,Sprache::N,langue,மொழி
266,Sprache::N,langage,மொழி
267,Stimme::N,voix,குரல்
268,Wort::N,mot,வார்த்தை
269,Zeichen::N,signe,குறி
270,Ruf::N,cri,அழைப்பு
271,Ruf::N,appel,அழைப்பு
272,Lärm::N,bruit,சத்தம்
273,Laut::N,son,ஒலி
274,Ton::N,ton,குரல்
275,Lied::N,chant,பாட்டு
276,Lied::N,chanson,பாட்டு
277,Ruhe::N,calme,அமைதி
278,Ruhe::N,tranquillité,அமைதி
279,Leute::N,gens,மக்கள்
280,Volk::N,peuple,மக்கள்
281,Arbeit::N,travail,வேலை
282,Gast::N,hôte,விருந்தாளி
283,Gast::N,invité,விருந்தாளி
284,Geschenk::N,cadeau,பரிசுப் பொருள்
285,Geschenk::N,présent,பரிசுப் பொருள்
286,Spiel::N,jeu,விளையாட்டு
287,Gesellschaft::N,compagnie,சமுதாயம்
288,Hilfe::N,aide,உதவி
289,Hilfe::N,secours,உதவி
290,Freund::N,ami,நண்பன்
291,Kamerad::N,copain,உடனிருப்பவன்
292,Kamerad::N,camarade,உடனிருப்பவன்
293,Angelegenheit::N,affaire,செய்தி
294,Anzahl::N,nombre,எண்ணிக்கை
295,Art::N,sorte,வகை
296,Art::N,espèce,வகை
297,Stück::N,morceau,துண்டம்
298,Teil::N,part,பகுதி
299,Teil::N,partie,பகுதி
300,Hälfte::N,moitié,பாதி
301,Kreis::N,cercle,வட்டம்
302,Kreuz::N,croix,சிலுவை
303,Linie::N,ligne,கோடு
304,Strich::N,trait,வாத நோய்
305,Abstand::N,écart,இடைவெளி
306,Entfernung::N,distance,தூரம்
307,Gegend::N,région,வட்டாரம்
308,Gegend::N,contrée,வட்டாரம்
309,Platz::N,place,வெற்றிடம்
310,Ort::N,lieu,இடம்
311,Ort::N,endroit,இடம்
312,Seite::N,côté,பக்கம்
313,Mitte::N,milieu,இடைப்பகுதி
314,Gegenstand::N,objet,உருப்படி
315,Sache::N,chose,பொருள்
316,Rand::N,bord,தொங்கு
317,Kante::N,arête,விளிம்பு
318,Ecke::N,coin,மூலை
319,Ecke::N,tournant,மூலை
320,Spitze::N,cime,முனை
321,Spitze::N,pointe,முனை
322,Ende::N,bout,முடிவு
323,Loch::N,trou,துளை
324,Winkel::N,coin,கோணம்
325,Winkel::N,réduit,கோணம்
326,Muster::N,dessin,பாங்கு
327,Größe::N,grandeur,அளவு
328,Länge::N,longueur,நீளம்
329,Höhe::N,hauteur,உயரம்
330,Höhe::N,altitude,உயரம்
331,Gewicht::N,poids,எடை
332,Menge::N,quantité,தொகை
333,Haufen::N,tas,குவியல்
334,Reihe::N,file,வரிசை
335,Reihe::N,rangée,வரிசை
336,Boot::N,canot,படகு
337,Boot::N,bateau,படகு
338,Ruder::N,rame,துடுப்பு
339,Ruder::N,aviron,துடுப்பு
340,Schlitten::N,traîneau,சகடையிலா வண்டி
341,Ski::N,ski,பனிச் சறுக்கல்
342,Lagerfeuer::N,feu de camp,மூட்டம்
343,Last::N,charge,பாரம்
344,Last::N,fardeau,பாரம்
345,Gang::N,tour,நடை
346,Gang::N,marche,நடை
347,Schritt::N,pas,காலடி
348,Norden::N,nord,வடக்கு
349,Süden::N,sud,தெற்கு
350,Westen::N,ouest,மேற்கு திசை
351,Westen::N,occident,மேற்கு திசை
352,Osten::N,est,கிழக்கு
353,Osten::N,orient,கிழக்கு
354,Holz::N,bois,மரக்கட்டை
355,Brett::N,planche,பலகை
356,Platte::N,plaque,பலகம்
357,Stütze::N,appui,அடைப்புகன்
358,Stütze::N,soutien,அடைப்புகன்
359,Stange::N,barre,கம்பம்
360,Stange::N,perche,கம்பம்
361,Stock::N,canne,குச்சி
362,Stab::N,bâton,கம்பு
363,Rohr::N,tube,குழாய்
364,Rohr::N,tuyau,குழாய்
365,Haus::N,maison,வீடு
366,Heim::N,maison,வீடு
367,Ofen::N,poêle,அடுப்பு
368,Fußboden::N,plancher,தரை
369,Tisch::N,table,மேசை
370,Stuhl::N,chaise,நாற்காலி
371,Wiege::N,berceau,தொட்டில்
372,Bett::N,lit,படுக்கை
373,Regal::N,étagère,அலமாரி
374,Kiste::N,caisse,பெட்டி
375,Fenster::N,fenêtre,சாளரம்
376,Tür::N,porte,கதவு
377,Tor::N,porte,வாசற்கதவு
378,Tor::N,portail,வாசற்கதவு
379,Zaun::N,clôture,வேலி
380,Dach::N,toit,கூரை
381,Leiter::N,échelle,ஏணி
382,Besen::N,balai,விளக்குமாறு
383,Spaten::N,bêche,மண்வெட்டி
384,Schaufel::N,pelle,அடிதண்டா
385,Gabel::N,fourchette,முட்கரண்டி
386,Löffel::N,cuiller,கரண்டி
387,Messer::N,couteau,கத்தி
388,Nagel::N,clou,ஆணி
389,Netz::N,filet,வலை
390,Haken::N,croc,கொக்கி
391,Haken::N,crochet,கொக்கி
392,Griff::N,prise,கைப்பிடி
393,Griff::N,manche,கைப்பிடி
394,Schloss::N,serrure,பூட்டு
395,Bild::N,image,படம்
396,Bild::N,tableau,படம்
397,Figur::N,figure,எண்ணிக்கை
398,Puppe::N,poupée,பொம்மை
399,Beutel::N,sac,பை
400,Beutel::N,petit sac,பை
401,Bündel::N,paquet,பொதி
402,Bündel::N,faisceau,பொதி
403,Tasche::N,sac,பை
404,Eimer::N,seau,வாளி
405,Deckel::N,couvercle,உறை
406,Geschirr::N,vaisselle,பாத்திரம்
407,Sack::N,sac,பை
408,Tasse::N,tasse,கிண்ணம்
409,Topf::N,pot,பானை
410,Topf::N,marmite,பானை
411,Kessel::N,chaudron,கெண்டி
412,Essen::N,repas,உணவருந்துதல்
413,Essen::N,manger,உணவருந்துதல்
414,Nahrung::N,nourriture,உணவு
415,Speise::N,plat,உணவு வகை
416,Fleisch::N,viande,இறைச்சி
417,Getreide::N,blé,மக்காச்சோளம்
418,Getreide::N,céréales,மக்காச்சோளம்
419,Brei::N,purée,கஞ்சி
420,Brei::N,bouillie,கஞ்சி
421,Brot::N,pain,ரொட்டி
422,Scheibe::N,tranche,துண்டு
423,Fett::N,graisse,கொழுப்பு
424,Butter::N,beurre,வெண்ணெய்
425,Öl::N,huile,எண்ணெய்
426,Salz::N,sel,உப்பு
427,Suppe::N,soupe,ரசம்
428,Suppe::N,potage,ரசம்
429,Honig::N,miel,தேன்
430,Milch::N,lait,பால்
431,Tee::N,thé,தெனீர்
432,Leder::N,cuir,பதம் செய்யப்பட்ட தோல்
433,Wolle::N,laine,கம்பளி
434,Stoff::N,tissu,துணி
435,Stoff::N,étoffe,துணி
436,Nadel::N,aiguille,ஊசி
437,Faden::N,fil,நூல்
438,Knopf::N,bouton,பொத்தான்
439,Knoten::N,nœud,முடிச்சு
440,Farbe::N,peinture,வண்ணக் குழம்பு
441,Kleidung::N,vêtements,ஆடைகள்
442,Kleidung::N,habillement,ஆடைகள்
443,Hemd::N,chemise,சட்டை
444,Kragen::N,col,கழுத்துப் பட்டை
445,Ärmel::N,manche,சட்டைக்கை
446,Hose::N,pantalon,கால்சட்டை
447,Gürtel::N,ceinture,பெல்ட்
448,Mütze::N,bonnet,தொப்பி
449,Mütze::N,casquette,தொப்பி
450,Schuh::N,soulier,காலணி
451,Schuh::N,chaussure,காலணி
452,Stiefel::N,botte,காலணி
453,Ring::N,bague,மோதிரம்
454,Band::N,ruban,நாடா
455,Kamm::N,peigne,கீப்பு
456,Spiegel::N,glace,ஆடி
457,Spiegel::N,glace,கண்ணாடி
458,Spiegel::N,miroir,ஆடி
459,Spiegel::N,miroir,கண்ணாடி
460,Riemen::N,lanière,வார்
461,Riemen::N,courroie,வார்
462,Schnur::N,corde,கயிறு
463,Schnur::N,ficelle,கயிறு
464,Leine::N,laisse,தோல்வார்
465,Decke::N,couverture,போர்வை
466,Kissen::N,oreiller,தலையணை
467,Tuch::N,drap,துணி
468,Tuch::N,fichu,துணி
469,Handtuch::N,serviette,தண்டு
470,Handtuch::N,essuie-mains,தண்டு
471,Kraft::N,force,நிர்பந்தம்
472,Stärke::N,vigueur,பலம்
473,Gesundheit::N,santé,ஆரோக்கியம்
474,Krankheit::N,maladie,நோய்
475,Schmerz::N,douleur,வலி
476,Wunde::N,plaie,காயம்
477,Wunde::N,blessure,காயம்
478,Fieber::N,fièvre,காய்ச்சல்
479,Arznei::N,remède,மருந்து
480,Arznei::N,médecine,மருந்து
481,Brücke::N,pont,பாலம்
482,Brunnen::N,puits,கேணி
483,Weide::N,pâturage,மேய்ச்சல் நிலம்
484,Pfad::N,sentier,நடை வழி
485,Weg::N,voie,வழி
486,Weg::N,chemin,வழி
487,Straße::N,route,சாலை
488,Dorf::N,village,கிராமம்
489,Stadt::N,cité,நகரம்
490,Stadt::N,ville,நகரம்
491,Brief::N,lettre,கடிதம்
492,Buch::N,livre,புத்தகம்
493,Buchstabe::N,lettre,எழத்து
494,Buchstabe::N,caractère,எழத்து
495,Zeitung::N,journal,செய்தித்தாள்
496,Leben::N,vie,வாழ்க்கை
497,Tod::N,mort,மரணம்
498,Grab::N,tombe,சமாதி
499,Kirche::N,église,தேவாலயம்
500,Sünde::N,péché,பாவம்
501,Gott::N,dieu,கடவுள்
502,Arbeiter::N,ouvrier,தொழிலாளி
503,Arbeiter::N,travailleur,தொழிலாளி
504,Chef::N,chef,மேலாளர்
505,Chef::N,patron,மேலாளர்
506,Meister::N,maître,தலைவன்
507,Arzt::N,médecin,மருத்துவர்
508,Lehrer::N,professeur,ஆசிரியர்
509,Lehrer::N,instituteur,ஆசிரியர்
510,Geld::N,argent,பணம்
511,Geschäft::N,affaire,வாணிபம்
512,Geschäft::N,commerce,வாணிபம்
513,Laden::N,magasin,கடை
514,Laden::N,boutique,கடை
515,Preis::N,prix,விலை
516,Ware::N,marchandise,சாமன்கள்
517,Nutzen::N,profit,இலாபம்
518,Reichtum::N,richesse,சொத்து
519,Welt::N,monde,உலகம்
520,Land::N,pays,நாடு
521,Staat::N,État,நாடு
522,König::N,roi,அரசன்
523,Macht::N,pouvoir,அதிகாரம்
524,Macht::N,puissance,அதிகாரம்
525,Grenze::N,frontière,எல்லை
526,Krieg::N,guerre,போர்
527,Feind::N,ennemi,எதிரி
528,Gewalt::N,violence,வன்முறை
529,Kampf::N,lutte,போராட்டம்
530,Kampf::N,combat,போராட்டம்
531,Bogen[Waffe]::N,arc,வில்
532,Pfeil::N,flèche,அம்பு
533,Gewehr::N,fusil,துப்பாக்கி
534,Fehler::N,faute,தவறு
535,Fehler::N,erreur,தவறு
536,Lüge::N,mensonge,பொய்
537,Schaden::N,dégât,சேதாரம்
538,Schaden::N,dommage,சேதாரம்
539,Unglück::N,malheur,இடையூறு
540,Schuld::N,faute,குற்றம்
541,Schuld::N,culpabilité,குற்றம்
542,Alter::N,âge,வயது
543,Schluss::N,fin,முடிவு
544,Zeit::N,temps,காலம்
545,Tag::N,jour,நாள்
546,Tag::N,journée,நாள்
547,Morgen::N,matin,காலை நேரம்
548,Morgen::N,matinée,காலை நேரம்
549,Mittag::N,midi,மதியம்
550,Abend::N,soir,மாலைப் பொழுது
551,Abend::N,soirée,மாலைப் பொழுது
552,Nacht::N,nuit,இரவு
553,Woche::N,semaine,வாரம்
554,Monat::N,mois,மாதம்
555,Jahr::N,an,வருடம்
556,Jahr::N,année,வருடம்
557,Frühling::N,printemps,வசந்தம்
558,Sommer::N,été,கோடை
559,Herbst::N,automne,இலையுதிர் காலம்
560,Winter::N,hiver,குளிர்காலம்
561,Januar::N,janvier,ஜனவரி
562,Februar::N,février,பிபரவரி மாதம்
563,März::N,mars,மார்ச் மாதம்
564,April::N,avril,ஏப்ரல் மாதம்
565,Mai::N,mai,மே மாதம்
566,Juni::N,juin,ஜூன் மாதம்
567,Juli::N,juillet,ஜூலை மாதம்
568,August::N,août,ஆகஸ்ட் மாதம்
569,September::N,septembre,செப்டம்பர் மாதம்
570,Oktober::N,octobre,அக்டோபர் மாதம்
571,November::N,novembre,நவம்பர் மாதம்
572,Dezember::N,décembre,டிசம்பர்
573,Montag::N,lundi,திங்கட் கிழமை
574,Dienstag::N,mardi,செவ்வாய்க்கிழமை
575,Mittwoch::N,mercredi,புதன் கிழமை
576,Donnerstag::N,jeudi,வியாழக் கிழமை
577,Freitag::N,vendredi,வெள்ளிக்கிழமை
578,Samstag::N,samedi,சனிக்கிழமை
579,Sonntag::N,dimanche,ஞாயிறுக் கிழமை
580,groß::A,grand,பெரிய
581,klein::A,petit,சிறிய
582,lang::A,long,நீண்ட
583,kurz::A,court,குட்டையான
584,breit::A,large,அகலமான
585,schmal::A,étroit,குறுகலான
586,dicht::A,dense,அடர்த்தியான
587,dick[Gegenstand]::A,épais,தடித்த
588,dünn::A,mince,சன்னமான
589,fein::A,fin,மெல்லிய
590,fein::A,menu,மெல்லிய
591,fest::A,ferme,உறுதியாள
592,fest::A,solide,உறுதியாள
593,flach::A,plat,தட்டையான
594,glatt::A,poli,வழுவழுப்பான
595,glatt::A,lisse,வழுவழுப்பான
596,hart::A,dur,கடினமான
597,weich::A,mou,மென்மையான
598,rund::A,rond,உருண்டையான
599,spitz::A,aigu,திகந்தமாக
600,spitz::A,pointu,திகந்தமாக
601,scharf::A,tranchant,கூரான
602,stumpf::A,mousse,உளம் திறந்த
603,stumpf::A,émoussé,உளம் திறந்த
604,schwer::A,lourd,கனமான
605,schwer::A,pesant,கனமான
606,schön::A,beau,அழகான
607,heiß::A,chaud,சூடான
608,heiß::A,très chaud,சூடான
609,warm::A,chaud,இதமான
610,kalt::A,froid,குளிர்ச்சியான
611,kühl::A,frais,குளிர்ச்சியான
612,frisch::A,frais,சுத்தமான
613,feucht::A,humide,ஈரமான
614,nass::A,mouillé,ஈரமான
615,trocken::A,sec,உலர்ந்த
616,voll::A,plein,நிரம்பிய
617,voll::A,rempli,நிரம்பிய
618,leer::A,vide,காலியான
619,offen::A,ouvert,திறந்த
620,geschlossen::A,clos,மூடப்பட்ட
621,geschlossen::A,fermé,மூடப்பட்ட
622,sauber::A,net,சுத்தமான
623,sauber::A,propre,சுத்தமான
624,schmutzig::A,sale,அழக்கான
625,schmutzig::A,crasseux,அழக்கான
626,roh::A,cru,கச்சா
627,roh::A,brut,கச்சா
628,reif::A,mûr,பழுத்த
629,lecker::A,délicieux,சுவைமிக்க
630,lecker::A,appétissant,சுவைமிக்க
631,süß::A,doux,இனிப்பான
632,bitter::A,amer,கசப்பான
633,sauer::A,aigre,புளிப்பாக
634,hell::A,clair,பளபளப்பான
635,dunkel::A,sombre,கருமையான
636,schwarz::A,noir,கருப்பு வண்ண
637,weiß::A,blanc,வெண்மையன
638,rot::A,rouge,சிவப்பு
639,gelb::A,jaune,மஞ்சள் வண்ணம்
640,blau::A,bleu,நீல வண்ண
641,grün::A,vert,பச்சை வண்ண
642,grau::A,gris,சாம்பல் நிற
643,bunt::A,multicolore,வண்ண மயமான
644,billig::A,bon marché,மலிவான
645,teuer::A,cher,விலை அதிகமான
646,wertvoll::A,précieux,மதிப்புள்ள
647,blind::A,aveugle,பார்வையற்ற
648,taub::A,sourd,செவிடான
649,kräftig::A,fort,வலிமையான
650,kräftig::A,vigoureux,வலிமையான
651,stark::A,fort,பலமான
652,stark::A,puissant,பலமான
653,schwach::A,faible,பலவீனமான
654,fett::A,gras,பருமனாக
655,schlank::A,svelte,ஒல்லியான
656,hübsch::A,joli,அழகிய
657,böse::A,mauvais,கேடு விளைவிக்கும்
658,dumm::A,sot,முட்டாள்தனமான
659,dumm::A,bête,முட்டாள்தனமான
660,faul::A,fainéant,சோம்பலான
661,faul::A,paresseux,சோம்பலான
662,fleißig::A,appliqué,ஊக்கந்தளராத
663,geizig::A,avare,கஞேசத்தனமான
664,klug::A,intelligent,சாதுரியமான
665,geschickt::A,habile,திறமையள்ள
666,lieb::A,cher,அன்புக்குரிய
667,lieb::A,gentil,அன்புக்குரிய
668,lustig::A,gai,களிப்புமிக்க
669,lustig::A,joyeux,களிப்புமிக்க
670,sanft::A,doux,சாதுவான
671,hungrig::A,affamé,பசியுடன்
672,krank::A,malade,நோயுற்று
673,nackt::A,nu,ஆடையற்ற
674,traurig::A,triste,சோகமான
675,lebendig::A,vivant,பிழைப்பு
676,gut::A,bon,நல்ல
677,schlecht::A,mauvais,கெட்ட
678,richtig::A,juste,சரியான
679,richtig::A,correct,சரியான
680,schlimm::A,grave,அருவருப்பான
681,schlimm::A,mauvais,அருவருப்பான
682,wahr::A,vrai,உண்மையான
683,wahr::A,véritable,உண்மையான
684,alt::A,vieux,பழைய
685,neu::A,neuf,புதிய
686,neu::A,nouveau,புதிய
687,ehemalig::A,ancien,முன்நாள்
688,alt[Lebewesen]::A,âgé,வயதான
689,alt[Lebewesen]::A,vieux,வயதான
690,jung::A,jeune,இளமையான
691,arm::A,pauvre,ஏழ்மையான
692,reich::A,riche,செல்வம் படைத்த
693,bekannt::A,connu,பழக்கப்பட்ட
694,berühmt::A,fameux,புகழ்பெற்ற
695,berühmt::A,célèbre,புகழ்பெற்ற
696,fremd::A,étranger,அயல் நாட்டு
697,verschieden::A,différent,வித்தியாசமான
698,nah::A,lié,பக்கத்தில் உள்ள
699,nah::A,proche,பக்கத்தில் உள்ள
700,fern::A,éloigné,தொலை தூரத்தில்
701,fern::A,lointain,தொலை தூரத்தில்
702,linker::A,gauche,மீந்திருக்கும்
703,rechter::A,droit,வலதுபக்கம்
704,anderer::A,autre,மற்ற
705,erster::A,premier,முதனமையான
706,zweiter::A,second,இரண்டாவது
707,zweiter::A,deuxième,இரண்டாவது
