,Concept_ID,lt,ab
240,Mutter::N,motina,ан
241,Sohn::N,sūnus,аҧа
242,Tochter::N,duktė,аҧҳа
243,Bruder::N,brolis,аиашьа
244,Schwester::N,sesuo,Аҳəшьа
245,Onkel::N,dėdė,абиашьа
246,Onkel::N,dėdė,аншьа
247,Tante::N,teta,абиаҳəшьа
248,Ehemann::N,vyras,ахаҵа
249,Ehemann::N,vyras,аҧшəма
250,Ehefrau::N,žmona,аҧҳəыс
251,Freude::N,džiaugsmas,агəырӷьара
252,Gelächter::N,juokas,ачча
253,Gelächter::N,juokas,аччара
254,Glück::N,laimė,аразҟы
255,Kummer::N,vargas,агəырҩа
256,Kummer::N,rūpestis,агəырҩа
257,Wunsch::N,troškimas,агəхəтəы
258,Wunsch::N,troškimas,аҭахра
259,Wunsch::N,pageidavimas,агəхəтəы
260,Wunsch::N,pageidavimas,аҭахра
261,Lust::N,noras,агəазыҳəара
262,Lust::N,geidulys,агəазыҳəара
263,Geist::N,dvasia,аҧсы
264,Gedanke::N,mintis,ахəыцырҭа
265,Gedächtnis::N,atmintis,агəынкылара
266,Verstand::N,protas,ахшыҩ
267,Sinn::N,prasmė,аҵакы
268,Grund::N,priežastis,амзыз
269,Wahrheit::N,tiesa,аиаша
270,Wahrheit::N,teisybė,аиаша
271,Gespräch::N,pokalbis,аиҿцәажәара
272,Märchen::N,pasaka,алакə
273,Erzählung::N,apsakymas,ажәабжь
274,Erzählung::N,pasakojimas,ажәабжь
275,Nachricht::N,žinia,адырраҭара
276,Neuigkeit::N,naujiena,ажәабжь ҿыц
277,Name::N,vardas,ахьӡ
278,Rätsel::N,mįslė,ацуфара
279,Rede::N,kalba,ажәа
280,Sprache::N,kalba,абызшəа
281,Stimme::N,balsas,абжьы
282,Wort::N,žodis,ажәа
283,Zeichen::N,žymė,адырга
284,Zeichen::N,ženklas,адырга
285,Ruf::N,šauksmas,аҿҭы
286,Lärm::N,triukšmas,ашьҭыбжь
287,Laut::N,garsas,ашьҭыбжь
288,Ton::N,tonas,атон
289,Ton::N,garsas,атон
290,Lied::N,daina,ашəа
291,Lied::N,giesmė,ашəа
292,Ruhe::N,ramybė,аҭынчра
293,Ruhe::N,ramumas,аҭынчра
294,Leute::N,žmonės,ауаа
295,Volk::N,tauta,ажəлар
296,Arbeit::N,darbas,аусура
297,Arbeit::N,triūsas,аусура
298,Gast::N,svečias,асас
299,Geschenk::N,dovana,аҳамҭа
300,Geschenk::N,dovana,аҿанҵа
301,Spiel::N,žaismas,ахəмарра
302,Spiel::N,žaidimas,ахəмарра
303,Gesellschaft::N,draugija,агəыҧ
304,Gesellschaft::N,kompanija,агəыҧ
305,Hilfe::N,pagalba,ацхыраара
306,Freund::N,draugas,аҩыза
307,Freund::N,bičiulis,аҩыза
308,Kamerad::N,draugas,Аҧхнагьла
309,Angelegenheit::N,dalykas,аус
310,Angelegenheit::N,reikalas,аус
311,Anzahl::N,kiekis,ахыҧхьаӡара
312,Anzahl::N,skaičius,ахыҧхьаӡара
313,Art::N,rūšis,ахкы
314,Stück::N,gabalas,аҽыҭ
315,Teil::N,dalis,ахəҭа
316,Hälfte::N,pusė,абжа
317,Kreis::N,ratas,агьагьа
318,Kreis::N,apskritis,агьагьа
319,Kreis::N,apskritimas,агьагьа
320,Kreuz::N,kryžius,аџьар
321,Linie::N,linija,аицтәар
322,Strich::N,brėžis,ацəаҳəа
323,Strich::N,brūkšnys,ацəаҳəа
324,Abstand::N,atstumas,абжьара
325,Entfernung::N,atstumas,абжьара
326,Gegend::N,vietovė,аҭыҧ
327,Platz::N,vieta,аҭыҧ
328,Ort::N,vieta,аҭыҧ
329,Ort::N,vietovė,аҭыҧ
330,Seite::N,pusė,аган
331,Seite::N,šonas,аган
332,Mitte::N,vidurys,агəҭа
333,Gegenstand::N,dalykas,амаҭəар
334,Sache::N,daiktas,
335,Rand::N,kraštas,аҵкар
336,Rand::N,pakraštys,аҵкар
337,Kante::N,kraštas,авардым
338,Ecke::N,kertė,акəакь
339,Ecke::N,kampas,акəакь
340,Spitze::N,priekis,аҧынҵа
341,Spitze::N,priešakys,аҧынҵа
342,Ende::N,galas,анаӡара
343,Loch::N,skylė,акылҵəара
344,Winkel::N,kampas,агҿаҩра
345,Winkel::N,kampas,акəындхə
346,Winkel::N,kampas,акəакь
347,Winkel::N,kampelis,агҿаҩра
348,Winkel::N,kampelis,акəындхə
349,Winkel::N,kampelis,акəакь
350,Muster::N,raštas,аҟҟа
351,Größe::N,dydis,изаҟароу
352,Größe::N,didumas,изаҟароу
353,Länge::N,ilgis,аура
354,Länge::N,ilgumas,аура
355,Höhe::N,aukštis,агылара
356,Höhe::N,aukštuma,агылара
357,Gewicht::N,svoris,акапан
358,Gewicht::N,svarstis,акапан
359,Menge::N,kiekis,
360,Menge::N,daugybė,
361,Haufen::N,krūva,ачаҟəа
362,Haufen::N,šūsnis,ачаҟəа
363,Reihe::N,greta,ацəаҳəа
364,Boot::N,valtis,анышь
365,Boot::N,laivelis,анышь
366,Ruder::N,irklas,ажəҩа
367,Schlitten::N,rogės,ашəаҩауардын
368,Schlitten::N,rogutės,ашəаҩауардын
369,Ski::N,slidė,ашəаҩа
370,Ski::N,slidė,ашьахаха
371,Lagerfeuer::N,laužas,еиқуу амца
372,Last::N,našta,ахьанҭара
373,Last::N,nešulys,ахьанҭара
374,Gang::N,eisena,аныҟəара
375,Schritt::N,žingsnis,ашьаҿа
376,Norden::N,šiaurė,аҩада
377,Norden::N,žiemiai,аҩада
378,Süden::N,pietūs,алада
379,Westen::N,vakarai,амраҭашəара
380,Osten::N,rytai,амрагылара
381,Holz::N,mediena,амҿымаҭəахə
382,Brett::N,lenta,аӷəы
383,Platte::N,plokštė,ахаҳәцәы
384,Stütze::N,atrama,аҵаргəа
385,Stütze::N,atrama,агəышьаҟа
386,Stütze::N,atspara,аҵаргəа
387,Stütze::N,atspara,агəышьаҟа
388,Stange::N,lazda,акьат
389,Stange::N,kartis,акьат
390,Stock::N,lazda,алаба
391,Stab::N,kartis,акьат
392,Rohr::N,vamzdis,абыкь
393,Haus::N,namas,аҩны
394,Heim::N,namai,аҭаацəа
395,Ofen::N,krosnis,аҳақə
396,Ofen::N,krosnis,ауаџьаҟ
397,Ofen::N,krosnis,афрына
398,Fußboden::N,grindys,адашьма
399,Tisch::N,stalas,аишәа
400,Stuhl::N,kėdė,аҟəардə
401,Wiege::N,lopšys,агара
402,Bett::N,lova,акаруаҭ
403,Bett::N,patalai,акаруаҭ
404,Regal::N,lentyna,акыӷəра
405,Kiste::N,dėžė,аидчаҧала
406,Fenster::N,langas,аҧенџьыр
407,Tür::N,durys,ашə
408,Tor::N,vartai,агəашə
409,Zaun::N,tvora,аанда
410,Dach::N,stogas,ахыб
411,Leiter::N,kopėčios,амардуан
412,Besen::N,šluota,аҧссага
413,Spaten::N,lopeta,ажыга
414,Spaten::N,kastuvas,ажыга
415,Schaufel::N,semtuvas,аҭəарӷəы
416,Gabel::N,šakutė,ачқьыҧ
417,Löffel::N,šaukštas,амҳаҵə
418,Messer::N,peilis,аҳəызба
419,Nagel::N,vinis,аҵəымӷ
420,Netz::N,tinklas,акаҭа
421,Haken::N,vagis,аҵəаҳə
422,Haken::N,kablys,аҵəаҳə
423,Griff::N,kotas,амаа
424,Griff::N,rankena,амаа
425,Schloss::N,spyna,асаҧаҭ
426,Schloss::N,užraktas,асаҧаҭ
427,Bild::N,paveikslas,асахьа
428,Figur::N,figūra,афигура
429,Puppe::N,lėlė,акьанџьа
430,Beutel::N,krepšys,асакь
431,Beutel::N,maišelis,асакь
432,Bündel::N,ryšulys,аҿаҳəара
433,Tasche::N,krepšelis,арҭмаҟ
434,Eimer::N,kibiras,аведра
435,Deckel::N,dangtis,ахҩа
436,Geschirr::N,indai,ачысмаҭəа
437,Sack::N,maišas,асакь
438,Tasse::N,puodukas,аҵəца
439,Topf::N,puodas,акаструлиа
440,Kessel::N,katilas,ачуан
441,Essen::N,valgis,
442,Nahrung::N,penas,афатə
443,Nahrung::N,maistas,афатə
444,Speise::N,patiekalas,афатə
445,Fleisch::N,mėsa,акəац
446,Getreide::N,javai,ачакуа
447,Brei::N,košė,ақашь
448,Brot::N,duona,ача
449,Scheibe::N,riekė,аҽыҭ
450,Scheibe::N,riekė,аҿаҵа
451,Fett::N,taukai,ашша
452,Fett::N,riebalai,ашша
453,Butter::N,sviestas,ахəша
454,Öl::N,aliejus,азеҭ
455,Salz::N,druska,аџьыка
456,Suppe::N,sriuba,асуҧ
457,Honig::N,medus,ацха
458,Milch::N,pienas,ахш
459,Tee::N,arbata,ачаи
460,Leder::N,oda,ацəа
461,Wolle::N,vilna,аласа
462,Stoff::N,audeklas,Аба
463,Nadel::N,adata,агəыр
464,Faden::N,gija,арахəыц
465,Faden::N,siūlas,арахəыц
466,Knopf::N,saga,аҳəынҵəра
467,Knoten::N,mazgas,аиқəҳəала
468,Farbe::N,dažai,ашəыга
469,Kleidung::N,rūbai,амаҭəа
470,Kleidung::N,drabužiai,амаҭəа
471,Hemd::N,marškiniai,акьаҿ
472,Kragen::N,apykaklė,ахəда
473,Ärmel::N,rankovė,амаӷра
474,Hose::N,kelnės,аиқəа
475,Gürtel::N,juosta,амаҟа
476,Gürtel::N,diržas,амаҟа
477,Mütze::N,kepurė,ахылҧа
478,Schuh::N,batas,аимаа
479,Stiefel::N,auliniai batai,амагə
480,Ring::N,žiedas,амацəаз
481,Band::N,kaspinas,алента
482,Kamm::N,šukos,ахҳəа
483,Spiegel::N,veidrodis,асаркьа
484,Riemen::N,diržas,аа
485,Schnur::N,virvė,ашаха
486,Leine::N,pavadėlis,аҕура
487,Decke::N,antklodė,ахыза
488,Kissen::N,pagalvė,ахчы
489,Kissen::N,priegalvis,ахчы
490,Tuch::N,skarelė,акасы
491,Handtuch::N,rankšluostis,ампахьшьы
492,Kraft::N,jėga,амч
493,Stärke::N,stiprumas,амч
494,Gesundheit::N,sveikata,агəабзиара
495,Krankheit::N,liga,ачымазара
496,Schmerz::N,skausmas,ахьаа
497,Wunde::N,žaizda,ахəра
498,Fieber::N,karštis,ашоура
499,Arznei::N,vaistas,ахəшə
500,Brücke::N,tiltas,ацҳа
501,Brunnen::N,šulinys,аҵыџь
502,Weide::N,ganykla,аҳəырҭа
503,Weide::N,gluosnis,аҳəырҭа
504,Pfad::N,takas,амхəасҭа
505,Weg::N,kelias,амҩа
506,Straße::N,gatvė,амҩа
507,Dorf::N,kaimas,ақыҭа
508,Dorf::N,sodžius,ақыҭа
509,Stadt::N,miestas,ақалақь
510,Brief::N,laiškas,ашəҟəы
511,Buch::N,knyga,ашəҟəы
512,Buchstabe::N,raidė,анбан
513,Zeitung::N,laikraštis,агазеҭ
514,Leben::N,gyvybė,аҧсҭазаара
515,Leben::N,gyvenimas,аҧсҭазаара
516,Tod::N,mirtis,аҧсра
517,Grab::N,kapas,анышəынҭра
518,Kirche::N,bažnyčia,ауахəама
519,Sünde::N,nuodėmė,агəнаҳа
520,Sünde::N,nusidėjimas,агəнаҳа
521,Gott::N,dievas,анцəа
522,Arbeiter::N,darbininkas,аусуҩ
523,Chef::N,šefas,Аиҳабы
524,Chef::N,vadovas,Аиҳабы
525,Chef::N,viršininkas,Аиҳабы
526,Meister::N,meistras,аҟаза
527,Arzt::N,gydytojas,аҳақьым
528,Lehrer::N,mokytojas,арҵаҩы
529,Geld::N,pinigai,аҧара
530,Geschäft::N,biznis,
531,Laden::N,krautuvė,амагазин
532,Laden::N,parduotuvė,амагазин
533,Preis::N,kaina,ахə
534,Ware::N,prekė,атауар
535,Nutzen::N,nauda,ақьар
536,Nutzen::N,pelnas,ақьар
537,Reichtum::N,turtas,абеиара
538,Welt::N,pasaulis,адунеи
539,Land::N,žemė,атəыла
540,Land::N,šalis,атəыла
541,Staat::N,valstija,аҳəынҭқарра
542,König::N,karalius,акрал
543,Macht::N,galia,амчра
544,Macht::N,valdžia,амчра
545,Grenze::N,riba,аҳəаа
546,Grenze::N,siena,аҳəаа
547,Krieg::N,karas,аибашьра
548,Feind::N,priešas,Аҕа
549,Gewalt::N,jėga,ақəымчра
550,Gewalt::N,smurtas,ақəымчра
551,Gewalt::N,prievarta,ақəымчра
552,Kampf::N,kova,ақəҧара
553,Bogen[Waffe]::N,lankas,ахыц
554,Pfeil::N,strėlė,ахəымпал
555,Gewehr::N,šautuvas,ашəақь
556,Fehler::N,klaida,агха
557,Lüge::N,melas,амц
558,Schaden::N,nuostolis,аҧырхага
559,Schaden::N,apgadinimas,аҧырхага
560,Unglück::N,nelaimė,арыцҳара
561,Schuld::N,kaltė,ахара
562,Alter::N,amžius,ақəра
563,Schluss::N,pabaiga,анҵəамҭа
564,Zeit::N,laikas,аамта
565,Tag::N,diena,амш
566,Morgen::N,rytas,ашара
567,Morgen::N,rytas,ашьыбжь
568,Mittag::N,vidurdienis,шьыбжьон
569,Abend::N,vakaras,ахəылҧаз
570,Abend::N,vakaras,ахəлбыҽха
571,Nacht::N,naktis,аҵх
572,Woche::N,savaitė,амчыбжь
573,Monat::N,mėnuo,
574,Jahr::N,metai,
575,Frühling::N,pavasaris,ааҕын
576,Sommer::N,vasara,аҧхын
577,Herbst::N,ruduo,ҭагалан
578,Herbst::N,ruduo,хкаарачан
579,Winter::N,žiema,аӡын
580,Januar::N,sausis,ианвар
581,Februar::N,vasaris,февраль
582,März::N,kovas,март
583,April::N,balandis,апрель
584,Mai::N,gegužė,маи
585,Juni::N,birželis,иуун
586,Juli::N,liepa,иууль
587,August::N,rugpjūtis,август
588,September::N,rugsėjis,сентиабр
589,Oktober::N,spalis,октиабр
590,November::N,lapkritis,ноиабр
591,Dezember::N,gruodis,декабр
592,Montag::N,pirmadienis,ашəахьа
593,Dienstag::N,antradienis,аҩаша
594,Mittwoch::N,trečiadienis,ахаша
595,Donnerstag::N,ketvirtadienis,аҧшьаша
596,Freitag::N,penktadienis,ахəаша
597,Samstag::N,šeštadienis,асабша
598,Sonntag::N,sekmadienis,амҽыша
599,groß::A,didis,аду
600,groß::A,didelis,аду
601,klein::A,mažas,амаҷ
602,lang::A,ilgas,ахəхəа
603,kurz::A,trumpas,акьаҿ
604,breit::A,platus,аиужь
605,breit::A,platus,аиҵых
606,schmal::A,smulkus,аҭшəа
607,dicht::A,tankus,аилач
608,dick[Gegenstand]::A,storas,ажəпа
609,dünn::A,plonas,
610,fein::A,smulkus,апа
611,fein::A,smulkus,аҵаӷа
612,fein::A,smulkus,аӡа
613,fest::A,kietas,аҟаца
614,fest::A,kietas,аӷəӷəаҟаца
615,fest::A,tvirtas,аҟаца
616,fest::A,tvirtas,аӷəӷəаҟаца
617,flach::A,lėkštas,ақəаҟьа
618,flach::A,lėkštas,аҧаҟьа
619,flach::A,plokščias,ақəаҟьа
620,flach::A,plokščias,аҧаҟьа
621,glatt::A,slidus,аимаҩзы
622,hart::A,kietas,акьакьа
623,weich::A,minkštas,атата
624,rund::A,apvalus,акəмпыл
625,rund::A,apskritas,акəмпыл
626,spitz::A,aštrus,аҵар
627,spitz::A,smailus,аҵар
628,scharf::A,aštrus,аҵар
629,stumpf::A,bukas,ацагə
630,stumpf::A,atšipęs,ацагə
631,schwer::A,sunkus,ахьанҭа
632,schön::A,gražus,аҧшӡа
633,heiß::A,karštas,ашы
634,warm::A,šiltas,аҧха
635,kalt::A,šaltas,ахьшəашəа
636,kühl::A,vėsus,ахьшəашəа
637,kühl::A,vėsus,ицәыхьшәашәоу
638,kühl::A,bejausmis,ахьшəашəа
639,kühl::A,bejausmis,ицәыхьшәашәоу
640,frisch::A,šviežias,цқьа
641,feucht::A,drėgnas,ацəаак
642,nass::A,šlapias,абааӡа
643,trocken::A,sausas,Аба
644,trocken::A,sausas,аҩа
645,voll::A,pilnas,азна
646,leer::A,tuščias,аҭацəы
647,offen::A,atviras,аарта
648,geschlossen::A,uždaras,ихҩоу
649,geschlossen::A,uždaras,иаркыу
650,geschlossen::A,uždarytas,ихҩоу
651,geschlossen::A,uždarytas,иаркыу
652,sauber::A,švarus,ацқьа
653,schmutzig::A,nešvarus,аҟьашь
654,schmutzig::A,purvinas,аҟьашь
655,roh::A,žalias,
656,reif::A,prinokęs,Арҭ
657,reif::A,prinokęs,аҟала
658,reif::A,prinokęs,иҟалахьоу
659,reif::A,pribrendęs,Арҭ
660,reif::A,pribrendęs,аҟала
661,reif::A,pribrendęs,иҟалахьоу
662,lecker::A,gardus,ахаа
663,süß::A,saldus,азла
664,bitter::A,kartus,аша
665,sauer::A,gižus,аҵəҵəы
666,sauer::A,rūgštus,аҵəҵəы
667,hell::A,šviesus,алаша
668,hell::A,skaistus,алаша
669,dunkel::A,tamsus,алашьца
670,schwarz::A,juodas,аиқуаҵәа
671,weiß::A,baltas,ашкəакəа
672,rot::A,raudonas,аҟаҧшь
673,gelb::A,geltonas,аҩеижь
674,blau::A,mėlynas,аҽҵәа
675,grün::A,žalias,ашьацҧшҭəала
676,grün::A,žalias,аеҵəа
677,grau::A,pilkas,ацəыш
678,bunt::A,margas,Аилыҕраа
679,bunt::A,margas,аҕраҷкəын
680,bunt::A,spalvotas,Аилыҕраа
681,bunt::A,spalvotas,аҕраҷкəын
682,billig::A,pigus,амариа
683,teuer::A,brangus,амҩан
684,wertvoll::A,vertingas,кыр иаҕсоу
685,wertvoll::A,vertingas,акыр иаҕсоу
686,blind::A,aklas,алашə
687,taub::A,kurčias,адагəа
688,kräftig::A,stiprus,аӷəӷəа
689,stark::A,stiprus,абаҟа
690,schwach::A,silpnas,акəада
691,fett::A,riebus,аҧсыла
692,schlank::A,laibas,акала
693,schlank::A,laibas,акьалантар
694,schlank::A,laibas,аиҿартə
695,schlank::A,lieknas,акала
696,schlank::A,lieknas,акьалантар
697,schlank::A,lieknas,аиҿартə
698,hübsch::A,gražus,аҧшӡа
699,böse::A,blogas,абааҧсы
700,dumm::A,paikas,агаӡа
701,dumm::A,kvailas,агаӡа
702,faul::A,tingus,аашьа
703,fleißig::A,stropus,иҟубҷоу
704,fleißig::A,kruopštus,иҟубҷоу
705,geizig::A,šykštus,акы
706,geizig::A,šykštus,акаҷбеи
707,geizig::A,šykštus,аҟəџьыр
708,klug::A,sumanus,аҟəыш
709,klug::A,sumanus,аҟəыӷа
