,Concept_ID,sq,ba
287,Erzählung::N,tregim,хикәйә
288,Nachricht::N,lajm,хәбәр
289,Neuigkeit::N,risi,яңылыҡ
290,Name::N,emër,исем
291,Rätsel::N,gjëzë,йомаҡ
292,Rätsel::N,gjëegjëzë,йомаҡ
293,Rede::N,fjalim,телмәр
294,Sprache::N,gjuhë,тел
295,Sprache::N,gjuhë,телмәр
296,Stimme::N,zë,тауыш
297,Wort::N,fjalë,һүҙ
298,Zeichen::N,shenjë,билдә
299,Ruf::N,thirrmë,саҡырыу
300,Lärm::N,zhurmë,шаулау
301,Laut::N,tingull,тауыш
302,Ton::N,ton,яңғырау
303,Lied::N,këngë,йыр
304,Ruhe::N,qetësi,ял
305,Ruhe::N,qetësi,тыныслыҡ
306,Leute::N,botë,кешеләр
307,Leute::N,njerëz,кешеләр
308,Volk::N,popull,халҡ
309,Arbeit::N,punë,эш
310,Gast::N,mik,ҡунаҡ
311,Gast::N,mysafir,ҡунаҡ
312,Geschenk::N,dhuratë,бүләк
313,Geschenk::N,peshqesh,бүләк
314,Spiel::N,lojë,уйын
315,Gesellschaft::N,shoqëri,йәмғиәт
316,Hilfe::N,ndihmë,ярҙам
317,Freund::N,mik,дуҫ
318,Kamerad::N,shok,иптәш
319,Angelegenheit::N,punë,әш
320,Anzahl::N,sasi,һан
321,Art::N,lloj,төр
322,Stück::N,copë,киҫәк
323,Teil::N,pjesë,өлөш
324,Hälfte::N,gjysmë,ярты
325,Kreis::N,qark,түңәрәк
326,Kreis::N,rreth,түңәрәк
327,Kreuz::N,kryq,тәре
328,Linie::N,vijë,һыҙыҡ
329,Strich::N,vizë,һыҙат
330,Abstand::N,distancë,ара
331,Entfernung::N,largim,алыҫлыҡ
332,Gegend::N,vise,урын
333,Gegend::N,krahinë,урын
334,Platz::N,shesh,арауыҡ
335,Ort::N,vend,ерҙәр
336,Ort::N,vend,урындар
337,Ort::N,vend,эш урыны
338,Seite::N,anë,яҡ
339,Mitte::N,mes,урталыҡ
340,Gegenstand::N,send,нәмә
341,Sache::N,gjë,нәмә
342,Sache::N,gjë,әйбер
343,Sache::N,send,нәмә
344,Sache::N,send,әйбер
345,Rand::N,qoshe,сит
346,Kante::N,teh,ҡабырға
347,Kante::N,teh,ян
348,Ecke::N,qoshe,мөйөш
349,Spitze::N,majë,ос
350,Ende::N,skaj,аҙаҡ
351,Ende::N,bisht,аҙаҡ
352,Loch::N,vrimë,тишек
353,Winkel::N,kënd,мөйөш
354,Muster::N,mostër,биҙәк
355,Größe::N,madhësi,ҙурлыҡ
356,Länge::N,gjatësi,оҙонлоҡ
357,Höhe::N,lartësi,бейеклек
358,Gewicht::N,peshë,үлсәү
359,Menge::N,sasi,һан
360,Haufen::N,grumbull,өйөм
