,Concept_ID,ja,sk
311,Hilfe::N,援助,pomoc
312,Freund::N,友達,priateľ
313,Kamerad::N,同志,kamarát
314,Angelegenheit::N,件,vec
315,Angelegenheit::N,件,záležitosť
316,Anzahl::N,数,počet
317,Anzahl::N,数,množstvo
318,Art::N,種類,druh
319,Stück::N,部分,kus
320,Stück::N,部分,kúsok
321,Teil::N,部分,časť
322,Hälfte::N,半分,polka
323,Hälfte::N,半分,polovica
324,Kreis::N,円,kruh
325,Kreuz::N,十字,kríž
326,Linie::N,線,línia
327,Strich::N,線,čiara
328,Abstand::N,距離,vzdialenosť
329,Entfernung::N,距離,vzdialenosť
330,Gegend::N,辺,kraj
331,Gegend::N,辺,krajina
332,Gegend::N,地域,kraj
333,Gegend::N,地域,krajina
334,Platz::N,ゆとり,miesto
335,Ort::N,所,miesto
336,Ort::N,場所,miesto
337,Seite::N,横,bok
338,Seite::N,横,strana
339,Mitte::N,真ん中,stred
340,Gegenstand::N,物件,predmet
341,Sache::N,物,vec
342,Rand::N,端,kraj
343,Rand::N,端,okraj
344,Kante::N,縁,hrana
345,Ecke::N,角,roh
346,Spitze::N,先頭,hrot
347,Spitze::N,先頭,špička
348,Ende::N,端,koniec
349,Loch::N,穴,diera
350,Winkel::N,片隅,kút
351,Muster::N,模様,vzor
352,Muster::N,模様,vzorka
353,Größe::N,大きさ,veľkosť
354,Länge::N,長さ,dĺžka
355,Höhe::N,高さ,výška
356,Gewicht::N,重さ,váha
357,Menge::N,量,množstvo
358,Haufen::N,堆積,hŕba
359,Reihe::N,並び,rad
360,Boot::N,ボート,čln
361,Ruder::N,オール,veslo
362,Schlitten::N,そり,sane
363,Ski::N,スキー,lyža
364,Lagerfeuer::N,篝火,táborák
365,Last::N,荷物,ťarcha
366,Last::N,荷物,bremeno
367,Gang::N,歩み,chôdza
368,Schritt::N,歩,krok
369,Norden::N,北,sever
370,Süden::N,南,juh
371,Westen::N,西,západ
372,Osten::N,東,východ
373,Holz::N,木,drevo
374,Holz::N,木材,drevo
375,Brett::N,板,doska
376,Platte::N,盤,doska
377,Platte::N,盤,platňa
378,Stütze::N,支柱,opora
379,Stange::N,棒,tyč
380,Stock::N,杖,palica
381,Stab::N,棒,palica
382,Rohr::N,管,rúra
383,Haus::N,家,dom
384,Heim::N,家,domov
385,Ofen::N,ストーブ,pec
386,Ofen::N,ストーブ,kachle
387,Fußboden::N,床,dlážka
388,Fußboden::N,床,podlaha
389,Tisch::N,机,stôl
390,Stuhl::N,椅子,stolička
391,Wiege::N,揺籃,kolíska
392,Bett::N,ベッド,lôžko
393,Bett::N,ベッド,posteľ
394,Regal::N,棚,regál
395,Regal::N,棚,polica
396,Kiste::N,箱,debna
397,Fenster::N,窓,okno
398,Fenster::N,窓,oblok
399,Tür::N,戸,dvere
400,Tür::N,ドア,dvere
401,Tor::N,門,vráta
402,Zaun::N,垣根,plot
