,Concept_ID,ce,os
149,Herde::N,жа,рӕгъау
150,Kuh::N,етт,хъуг
151,Bulle::N,сту,гал
152,Pferd::N,говр,бӕх
153,Schaf::N,жий,фыс
154,Schaf::N,уьстагӏ,фыс
155,Schwein::N,хьакха,хуы
156,Hund::N,жӏаьла,куыдз
157,Katze::N,цициг,гӕды
158,Bär::N,ча,арс
159,Eichhörnchen::N,тарсал,æхсæрæг
160,Elch::N,сай,цæгатаг саг
161,Fuchs::N,цхьогал,рувас
162,Hase::N,пхьагал,тæрхъус
163,Maus::N,дахка,мыст
164,Wolf::N,борз,бирӕгъ
165,Vogel::N,олхазар,цъиу
166,Vogel::N,олхазар,маргъ
167,Huhn::N,котам,карк
168,Hahn::N,нӏаьна,уасӕг
169,Hahn::N,боргӏал,уасӕг
170,Gans::N,гӏаз,хъаз
171,Adler::N,aьрзу,цӕргӕс
172,Ente::N,бад,ацц
173,Eule::N,бухӏа, уыг
174,Eule::N,бухӏа,сидахъ
175,Kranich::N,гӏаргӏули,зырнæг
176,Kranich::N,гӏаргӏули,хърихъупп
177,Krähe::N,къиг,халон
178,Kuckuck::N,aттйокх,гаккук
179,Schwan::N,гӏургӏаз,доныхъаз
180,Fisch::N,чӏара,кӕсаг
181,Barsch::N,окунь,окунь
182,Hecht::N,гӏазкхийн чӏара,хихор кӕсаг
183,Schlange[Tier]::N,лаьхьа,калм
184,Wurm::N,нӏаьна,зулкъ
185,Wurm::N,нӏаьна,къуыдыргалм
186,Spinne::N,гезг,хӕлуарӕг
187,Ameise::N,зингат,мæлдзыг
188,Laus::N,меза,сыст
189,Laus::N,гӏениг,сыст
190,Mücke::N,чуьрк,къогъо
191,Fliege::N,моза,бындз
192,Schmetterling::N,полла,гæлæбу
193,Beere::N,цӏазам,гагадыргъ
194,Apfel::N,ӏаж,фӕткъуы
195,Pilz::N,жӏаьлин нускал,зокъо
196,Pilz::N,жӏаьлин нускал,къозо
197,Zwiebel::N,xох,хъӕдындз
198,Saat::N,чlу,тауинаг
199,Saat::N,чlу,мыггаг
200,Korn::N,буьртиг,мыггаг
201,Korn::N,буьртиг,тауинаг
202,Heu::N,йол,хос
203,Schale::N,пардо,цъар
204,Grube::N,ор,урм
205,Grube::N,ор,къахт
206,Grube::N,ор,дзыхъхъ
207,Falle::N,кӏело,цъысым
208,Falle::N,кӏело,къӕппӕг
209,Spur::N,лар,фæд
210,Asche::N,чим,фӕнык
211,Asche::N,чим,ӕртхутӕг
212,Dreck::N,мода,цъыф
213,Eisen::N,эчиг,ӕфсӕйнаг
214,Gold::N,деши,сыгъзӕрин
215,Silber::N,дети,ӕвзист
216,Kohle::N,кӏора,ӕвзалы
217,Glas::N,aнгали,авг
218,Lehm::N,поппар,ӕлыг
219,Sand::N,гӏум,змис
220,Mensch::N,адам,лӕг
221,Mensch::N,адам,адӕймаг
222,Mensch::N,адам,удгоймаг
223,Mann::N,майра,лӕг
224,Mann::N,майра,нӕлгоймаг
225,Frau::N,зуда,сылгоймаг
226,Kind::N,бер,сывӕллон
227,Junge::N,жимха,лӕппу
228,Mädchen::N,жима йоӏ,чызг
229,Familie::N,доьзал,бинонтæ
230,Großvater::N,ненада,фыдыфыд
231,Großvater::N,ненада,мадыфыд
232,Großmutter::N,денана,фыды мад
233,Großmutter::N,денана,мады мад
234,Eltern::N,да-нана,ныййарджытæ
235,Vater::N,да,фыд
236,Mutter::N,нана,мад
237,Sohn::N,кӏант,фырт
238,Tochter::N,йоӏ,чызг
239,Bruder::N,ваша,ӕфсымӕр
240,Schwester::N,йиша,хо
241,Onkel::N,деваша,фыдыфсымӕр
242,Tante::N,дейиша,мадыхо
243,Ehemann::N,майра,мой
244,Ehefrau::N,зуда,ус
245,Freude::N,самукъа,цин
246,Freude::N,самукъа,циндзинад
247,Freude::N,хазахетар,цин
248,Freude::N,хазахетар,циндзинад
249,Gelächter::N,белам,худын
250,Gelächter::N,белам,худт
251,Gelächter::N,белам,худæг
252,Glück::N,ирс,амонд
253,Kummer::N,бала,хъыг
254,Wunsch::N,лаам,бӕллиц
255,Lust::N,лаам,монц
256,Geist::N,са,уд
257,Gedanke::N,ойла,хъуыды
258,Gedächtnis::N,диццадалар,мысæн
259,Gedächtnis::N,диццадалар,мысын
260,Gedächtnis::N,диццадалар,зæрдылдарын
261,Verstand::N,хьекъал,зонд
262,Sinn::N,маьӏна,нысаниуæг
263,Grund::N,бахьана,ӕфсон
264,Wahrheit::N,бакъдерг,æцæг
265,Gespräch::N,къамел,ныхас
266,Märchen::N,туьйра,аргъау
267,Erzählung::N,дийцар,радзырд
268,Nachricht::N,хаам,уац
269,Neuigkeit::N,керланиг,хабар
270,Name::N,цӏе,ном
271,Rätsel::N,хӏетал-метал,уыци-уыци
272,Rätsel::N,хӏетал-метал,базон-базон
273,Rede::N,къамел,раныхас
274,Sprache::N,мотт,ӕвзаг
275,Stimme::N,aз,хъӕлӕс
276,Wort::N,дош,дзырд
277,Zeichen::N,билгало,нысан
278,Ruf::N,кхайкхар,сидт
279,Lärm::N,гӏовгӏа,уынæр
280,Laut::N,аз,зӕл
281,Laut::N,аз,мыр
282,Ton::N,aз,мыр
283,Lied::N,илли,зарӕг
284,Ruhe::N,тийналла,æнцой
285,Leute::N,нах,адӕм
286,Volk::N,халкъ,адӕм
287,Arbeit::N,болх,фӕллой
288,Gast::N,хьаша,уазӕг
289,Geschenk::N,совгӏат,хуын
290,Spiel::N,ловзар,хъазт
291,Gesellschaft::N,юкъаралла,дзыллæ
292,Gesellschaft::N,юкъаралла,æхсæнад
293,Hilfe::N,гӏо,æххуыс
294,Hilfe::N,гӏо,ахъаз
295,Freund::N,доттагl,лымӕн
296,Kamerad::N,накъост,ӕмбал
297,Angelegenheit::N,гӏуллакх,хъуыддаг
298,Anzahl::N,терахь,бӕрц
299,Stück::N,юьхк,кæрдих
300,Stück::N,юьхк,комдзаг
301,Teil::N,дакъа,хай
302,Hälfte::N,ах,æрдæг
303,Hälfte::N,ах,æмбис
304,Kreis::N,го,зиллакк
305,Kreuz::N,жӏара,дзуар
306,Linie::N,сиз,хахх
307,Strich::N,сиз,хахх
308,Abstand::N,юкъ,æхсæнуат
309,Gegend::N,мeттиг,ран
310,Platz::N,майда,бууат
311,Ort::N,меттиг,ран
312,Ort::N,меттиг,бынат
313,Seite::N,aгӏo,фахс
314,Mitte::N,юкъ,астӕу
315,Gegenstand::N,хӏума,дзаума
316,Sache::N,хӏума,дзаума
317,Rand::N,йист,кӕрон
318,Kante::N,йист,фӕрск
319,Ecke::N,са,тигъ
320,Ecke::N,са,фисын
321,Spitze::N,ралла,бырынкъ
322,Ende::N,юьхьиг,кӕрон
323,Loch::N,ӏуьрг,хуынкъ
324,Winkel::N,са,къуым
325,Muster::N,дагар,нывæфтыд
326,Muster::N,дагар,кæдзист
327,Muster::N,тӏамар,нывæфтыд
328,Muster::N,тӏамар,кæдзист
329,Größe::N,барам,ас
330,Länge::N,йохалла,дӕргъ
331,Höhe::N,локхалла,бæрзонд
332,Höhe::N,локхалла,бæрзæнд
333,Höhe::N,локхалла,бæрзонддзинад
334,Gewicht::N,йозалла,уӕз
335,Menge::N,дукхалла,бӕрц
336,Haufen::N,сал,кӕри
337,Haufen::N,оьла,кӕри
338,Reihe::N,рагӏ,рӕнхъ
339,Reihe::N,могӏа,рӕнхъ
340,Boot::N,кема,чема
341,Ruder::N,пийсиг,къохар
342,Schlitten::N,салаз,дзоныгъ
343,Ski::N,когсалаз,къахдзоныгътæ
344,Ski::N,когсалаз,лыжæтæ
345,Lagerfeuer::N,цӏе,арт
346,Last::N,дукъ,уаргъ
347,Gang::N,лелар,цыд
348,Schritt::N,гӏулч,санчъех
349,Schritt::N,гӏулч,къахдзӕф
350,Norden::N,къилбаседе,цæгат
351,Süden::N,къилбе,хуссар
352,Westen::N,малхбузе,ныгуылæн
353,Osten::N,малхбале,скæсæн
354,Holz::N,дечиг,хъӕдӕрмӕг
355,Brett::N,у,фæйнæг
356,Platte::N,у,къӕй
357,Stütze::N,гӏopтоp,быцæу
358,Stange::N,гӏуркх,хъил
359,Stock::N,ӏаса,лӕдзӕг
360,Stab::N,гӏаж,хъил
361,Rohr::N,биргӏа,хӕтӕл
362,Haus::N,цӏа,хӕдзар
363,Heim::N,кхерч,къона
364,Ofen::N,кхерч,пец
365,Fußboden::N,цӏенкъа,астӕрд
366,Tisch::N,шун,стъол
367,Stuhl::N,гӏант,бандон
368,Wiege::N,ага,авдæн
369,Bett::N,маьнга,сынтӕг
370,Regal::N,терхи,тӕрхӕг
371,Regal::N,терхи,уӕлвӕйнӕг
372,Kiste::N,яьшка,асыкк
373,Fenster::N,кор,рудзынг
374,Fenster::N,кор,фæрссаг
375,Tür::N,неӏ,дуар
376,Tor::N,ков,кулдуар
377,Zaun::N,керт,æмбонд
378,Zaun::N,керт,быру
379,Zaun::N,керт,гæрæн
380,Dach::N,тхов,уӕлхӕдзар
381,Leiter::N,лами,асин
382,Besen::N,нуй,уисой
383,Spaten::N,бел,бел
384,Schaufel::N,аьшкал,æвгæнæн
385,Schaufel::N,аьшкал,кæфой
386,Gabel::N,мӏара,вилкæ
387,Löffel::N,ӏайг,уидыг
388,Messer::N,урс,кард
389,Nagel::N,хьостам,зӕгӕл
390,Netz::N,бой,хыз
391,Haken::N,мӏара,хæдз
392,Haken::N,мӏара,хæбырæгъ
393,Schloss::N,чӏега,гуыдыр
394,Bild::N,сурт,ныв
395,Puppe::N,тайниг,чындз
396,Beutel::N,гали,дзӕкъул
397,Bündel::N,кочар,баст
398,Tasche::N,тӏоьрмиг,хызын
399,Tasche::N,тӏоьрмиг,дзæкъул
400,Eimer::N,чийлик,къæрта
401,Eimer::N,чийлик,чъыбыла
402,Eimer::N,чийлик,ведра
403,Deckel::N,негӏар,сæр
404,Deckel::N,негӏар,æмбæрзæн
405,Geschirr::N,пхьегӏа,мигæнæн
406,Geschirr::N,пхьегӏа,мигæнæнтæ
407,Sack::N,гали,голлаг
408,Tasse::N,кад,пиала
409,Tasse::N,кад,къус
410,Topf::N,яй,аг
411,Topf::N,яй,чысыл аг
412,Kessel::N,яй,аг
413,Essen::N,юург,хӕрд
414,Nahrung::N,кхача,хойраг
415,Speise::N,юург,хӕринаг
416,Fleisch::N,жижиг,дзидза
417,Fleisch::N,жижиг,фыдызгъӕл
418,Getreide::N,буьртиг,халсар
419,Brei::N,xудар,кас
420,Brot::N,бепиг,дзул
421,Brot::N,кхаллар,дзул
422,Scheibe::N,цастар,къӕбӕр
423,Fett::N,мохь,сой
424,Butter::N,налха,нӕлхӕ
425,Öl::N,даьтта,зети
426,Salz::N,туьха,цӕхх
427,Suppe::N,чорпа,бас
428,Honig::N,моз,мыд
429,Milch::N,шура,ӕхсыр
430,Tee::N,чай,цай
431,Leder::N,цӏока,мæскуы
432,Wolle::N,тӏapгӏa,фӕсмын
433,Stoff::N,кӏади,хъуымац
434,Nadel::N,маха,судзин
435,Faden::N,тай,ӕндах
436,Knopf::N,нуьйда,цӕппӕр
437,Knoten::N,шад,ӕлхынцъ
438,Farbe::N,сир,ахорæн
439,Farbe::N,басар,ахорæн
440,Kleidung::N,бедар,дарӕс
441,Hemd::N,коч,хӕдон
442,Kragen::N,кач,æфцæггот
443,Ärmel::N,пхьош,дыс
444,Hose::N,хеча,хæлаф
445,Hose::N,хеча,æддаг хæлаф
446,Hose::N,хеча,салбар
447,Gürtel::N,доьхка,рон
448,Mütze::N,куй,худ
449,Schuh::N,мача,басмахъ
450,Stiefel::N,этка,цырыхъхъ
451,Ring::N,чӏуг,къухдарӕн
452,Band::N,лента,лент
453,Kamm::N,ехк,сӕрвасӕн
454,Spiegel::N,куьзга,айдæн
455,Spiegel::N,куьзга,кæсæн
456,Riemen::N,доьхка,гӕрз
457,Schnur::N,муш,бӕндӕн
458,Leine::N,кочатосу доьхка,
459,Decke::N,юргӏа,хъӕццул
460,Kissen::N,гIайба,баз
461,Tuch::N,исхар,кæлмæрзæн
462,Tuch::N,исхар,кæрдæн
463,Handtuch::N,гата,хисæрфæн
464,Kraft::N,гӏора,тых
465,Kraft::N,гӏора,хъомыс
466,Stärke::N,гӏап,тых
467,Stärke::N,гӏап,æхсар
468,Gesundheit::N,могашалла,æнæниздзинад
469,Krankheit::N,цамгар,низ
470,Krankheit::N,цамгар,рын
471,Schmerz::N,лазар,рис
472,Wunde::N,чов,цӕф
473,Fieber::N,xорша,ризӕг
474,Fieber::N,xорша,тӕфсӕг
475,Arznei::N,молха,хос
476,Brücke::N,тӏай,хид
477,Brunnen::N,гӏу,цъай
478,Weide::N,дак,хизæн
479,Weide::N,дак,хизæнуат
480,Weide::N,дак,сæрвæт
481,Pfad::N,тача,къахвæндаг
482,Pfad::N,тача,къахвæд
483,Weg::N,некъ,фӕндаг
484,Straße::N,урам,фӕндаг
485,Dorf::N,юрт,хъӕу
486,Stadt::N,гӏала,сахар
487,Brief::N,кехат,фыстӕг
488,Buch::N,жайна,чиныг
489,Buchstabe::N,элп,дамгъӕ
490,Zeitung::N,газет,газет
491,Leben::N,дахар,цард
492,Leben::N,дахар,цӕрӕнбон
493,Tod::N,далар,мæлæт
494,Tod::N,далар,адзал
495,Tod::N,ӏожалла,мæлæт
496,Tod::N,ӏожалла,адзал
497,Grab::N,каш,ингӕн
498,Kirche::N,килс,аргъуан
499,Sünde::N,къа,тæригъæд
500,Gott::N,дела,хуыцау
501,Arbeiter::N,белхало,кусæг
502,Chef::N,хьаькам,ӕмцег
503,Meister::N,говзанча,мастер
504,Meister::N,говзанча,дæсны
505,Arzt::N,лор,хосгæнæг
506,Arzt::N,лор,дохтыр
507,Lehrer::N,хьехархо,ахуыргæнæг
508,Geld::N,aхча,ӕхца
509,Geschäft::N,туька,бизнес
510,Geschäft::N,туька,хъуыддаг
511,Laden::N,туька,дукани
512,Preis::N,мах,аргъ
513,Ware::N,хlума,базайраг
514,Nutzen::N,пайда,пайда
515,Reichtum::N,хьал,хъæздыгдзинад
516,Reichtum::N,хьал,исбон
517,Reichtum::N,хьал,мулк
518,Welt::N,дуьне,дуне
519,Land::N,мохк,бӕстӕ
520,Staat::N,пачхьалкх,паддзахад
521,König::N,паччахь,къарол
522,Macht::N,ӏедал,хицаудзинад
523,Grenze::N,доза,арӕн
524,Krieg::N,тӏом,хӕст
525,Feind::N,мостагӏ,знаг
526,Feind::N,мостагӏ,фыдгул
527,Feind::N,мостагӏ,фыдзæрдæ
528,Feind::N,мостагӏ,сон
529,Gewalt::N,гӏело,тыхми
530,Gewalt::N,гӏело,тыхдзинад
531,Kampf::N,къийсам,хæст
532,Kampf::N,къийсам,хъæбысæйхæст
533,Kampf::N,къийсам,тох
534,Pfeil::N,пха,фат
535,Gewehr::N,топ,топп
536,Fehler::N,гӏалат,рӕдыд
537,Lüge::N,аьшпаш,мӕнг
538,Lüge::N,аьшпаш,гӕдыдзинад
539,Schaden::N,зен,зиан
540,Unglück::N,бала,бæллæх
541,Schuld::N,бехк,азым
542,Alter::N,хан,кар
543,Schluss::N,чакхе,кæрон
544,Zeit::N,хан,рӕстӕг
545,Tag::N,де,бон
546,Morgen::N,ӏуьйре,райсом
547,Mittag::N,делкъе,æмбисбон
548,Abend::N,суьйре,изӕр
549,Nacht::N,буьйса,ӕхсӕв
550,Woche::N,кӏира,къуыри
551,Monat::N,бутт,мӕй
552,Jahr::N,шо,аз
553,Jahr::N,шо,афӕдз
554,Frühling::N,бӏаьсте,уалдзæг
555,Sommer::N,аьхке,сӕрд
556,Herbst::N,гуьйре,фæззæг
557,Winter::N,ӏа,зымӕг
558,Januar::N,январь,январь
559,Februar::N,февраль,февраль
560,März::N,март,мартъи
561,April::N,апрель,апрель
562,Mai::N,май,май
563,Juni::N,июнь,июнь
564,Juli::N,июль,июль
565,August::N,август,август
566,September::N,сентябрь,сентябрь
567,Oktober::N,октябрь,октябрь
568,November::N,ноябрь,ноябрь
569,Dezember::N,декабрь,декабрь
570,Montag::N,оршот,къуырисæр
571,Dienstag::N,шинара,дыццæг
572,Mittwoch::N,кхаара,æртыццæг
573,Donnerstag::N,еара,цыппæрæм
574,Freitag::N,пӏераска,майрæмбон
575,Samstag::N,шот,сабат
576,Sonntag::N,кӏиранде,хуыцаубон
577,groß::A,доккха,дынджыр
578,klein::A,кегий,гыццыл
579,lang::A,еха,даргъ
580,kurz::A,доца,цыбыр
581,breit::A,шуьйра,фӕтӕн
582,schmal::A,готта,нарӕг
583,schmal::A,готта,уынгӕг
584,dicht::A,луьста,бæзджын
585,dicht::A,луьста,тар
586,dick[Gegenstand]::A,стомма,сӕвджын
587,dünn::A,дуткъа,тæнæг
588,fein::A,ховха,лыстӕг
589,fest::A,чӏогӏа,фидар
590,fest::A,чӏогӏа,хъӕддых
591,flach::A,чӏапа,тъӕпӕн
592,glatt::A,шера,лӕгъз
593,hart::A,чӏогӏa,хъӕбӕр
594,weich::A,кӏеда,фӕлмӕн
595,rund::A,горга,тымбыл
596,spitz::A,ира,цыргъбырынкъ
597,spitz::A,ира,цыргъфындз
598,scharf::A,ира,цыргъ
599,stumpf::A,аьртa,къуымых
600,schwer::A,деза,уӕззау
601,schön::A,хаза,аив
602,schön::A,хаза,рӕсугъд
603,heiß::A,довха,тӕвд
604,warm::A,довха,хъарм
605,kalt::A,шийла,уазал
606,kühl::A,шийла,сатæг
607,kühl::A,шийла,уазалгомау
608,frisch::A,керла,сатæг
609,feucht::A,тӏуьна,уымӕл
610,nass::A,тӏеда,хуылыдз
611,trocken::A,eкъа,хус
612,voll::A,дуьзна,дзаг
613,voll::A,дуьзна,йедзаг 
614,leer::A,яьсса,афтид
615,offen::A,диллина,гом
616,geschlossen::A,дӏакъевлина,æхгæд
617,geschlossen::A,дӏачӏагӏдина,æхгæд
618,sauber::A,цӏена,сыгъдæг
619,schmutzig::A,боьха,чъиллон
620,roh::A,буьйда,хом
621,reif::A,хилла,рӕгъӕд
622,lecker::A,чоме,хӕрзад
623,süß::A,мерза,адджын
624,bitter::A,къаьхьа,судзаг
625,sauer::A,муьста,туаг
626,hell::A,сирла,рухс
627,dunkel::A,бодане,талынг
628,schwarz::A,ӏаьржа,сау
629,weiß::A,кӏайн,урс
630,rot::A,цӏен,сырх
631,gelb::A,можа,бур
632,blau::A,сийна,цъӕх
633,grün::A,баьццара,цъӕх
634,grün::A,баьццара,кӕрдӕгхуыз
635,grau::A,cира,цъӕх
636,grau::A,cира,фӕныкхуыз
637,grau::A,мокха,цъӕх
638,grau::A,мокха,фӕныкхуыз
639,bunt::A,къорза,хъулон
640,bunt::A,къорза,гæрæм
641,billig::A,дораха,аслам
642,teuer::A,деза,зынаргъ
643,wertvoll::A,мехала,зынаргъ
644,blind::A,бӏаьрзе,куырм
645,taub::A,къора,къуырма
646,kräftig::A,нуьцкъала,домбай
647,kräftig::A,нуьцкъала,тыхджын
648,stark::A,зоьртала,тыхджын
649,stark::A,нуьцкъала,тыхджын
650,schwach::A,гӏорасиза,ӕнӕбон
651,fett::A,дерстана,нард
652,schlank::A,куц долу,гуырвидыц
653,schlank::A,куц долу,хæрзконд
654,schlank::A,куц долу,рæхснæг
655,schlank::A,куц долу,сагамад
656,hübsch::A,хаза,аив
657,hübsch::A,хаза,рӕсугъд
658,böse::A,вон,фыдзӕрдӕ
659,dumm::A,сонта,ӕдылы
660,faul::A,мало ен,зивӕг
661,faul::A,мало ен,зивӕггӕнаг
662,fleißig::A,тӏера,æнæзивæг
663,fleißig::A,тӏера,æнувыд
664,geizig::A,пис,чъынды
665,geizig::A,пис,æлгъин
666,geizig::A,пис,мæрддзæст
667,geizig::A,сутара,чъынды
668,geizig::A,сутара,æлгъин
669,geizig::A,сутара,мæрддзæст
670,klug::A,хьекъале,зондджын
671,geschickt::A,тӏахъаьлла,хӕрзарӕхст
672,lieb::A,хьоме,уарзон
673,lustig::A,самукъане,хъӕлдзӕг
674,sanft::A,кlеда,мынчын
675,hungrig::A,меца,ӕххормаг
676,krank::A,цомгуш долу,нӕфӕразгӕ
677,nackt::A,дерзана,бӕгънӕг
678,traurig::A,самукъане воцу,ӕрхӕндӕг
679,lebendig::A,дийна,цардӕгас
680,gut::A,дика,хорз
681,schlecht::A,вон,цауд
682,richtig::A,нийса,раст
683,schlimm::A,вон,ӕвзӕр
684,wahr::A,бакъдолу,ӕцӕг
685,alt::A,къена,зӕронд
686,neu::A,керла,ног
687,ehemalig::A,хилла,раздӕры
688,alt[Lebewesen]::A,къена,ацӕргӕ
689,jung::A,къона,ӕрыгон
690,arm::A,къен,мӕгуыр
691,reich::A,хьоле,хъӕздыг
692,bekannt::A,девзаш долу,зонгӕ
693,berühmt::A,цӏеяхана,номдзыд
694,fremd::A,нехан,æцæгæлон
695,verschieden::A,тайп-тайпанара,æндæр æмæ æндæр
696,verschieden::A,тайп-тайпанара,алы
697,verschieden::A,тайп-тайпанара,алыхуызон
698,nah::A,гергара,хӕстӕг
699,fern::A,гена,дард
700,fern::A,гена,дӕрддаг
701,fern::A,генара,дард
702,fern::A,генара,дӕрддаг
703,linker::A,аьрру,галиу
704,rechter::A,аьтту,рахиз
705,anderer::A,кхин,иннӕ
706,anderer::A,кхин,ӕндӕр
707,erster::A,хьалхара,фыццаг
708,erster::A,хьалхара,фыццӕгӕм
709,zweiter::A,шолгIа,дыккаг
710,zweiter::A,шолгIа,дыккæгæм
711,dritter::A,кхоалгӏа,æртыккаг
712,dritter::A,кхоалгӏа,æртыккæгæм
713,letzter::A,тӏаьххьара,фӕстаг
714,allein::ADV,цхьаъ,иунæг
715,auf einmal::ADV,цу сохьтта,уайтагъд
716,auf einmal::ADV,цу сохьтта,æвиппайды
717,auf einmal::ADV,цу сохьтта,æваст
718,zusammen::ADV,цхьана,иумӕ
719,lange::ADV,дукха,бирæ рæстæг
720,plötzlich::ADV,цIеххьана,æвиппайды
721,plötzlich::ADV,цIеххьана,æваст
722,sofort::ADV,цу сохьтта,уыцы сахат
723,sofort::ADV,цу сохьтта,уайтагъд
724,später::ADV,тӏаьхьо,фæстæдæр
725,jetzt::ADV,хӏинца,ныр
726,heute::ADV,тахана,абон
727,morgen::ADV,кхана,райсом
728,bald::ADV,кеста,тагъд
