,Concept_ID,sv,ml
50,Leber::N,lever,കരൾ
51,Atem::N,anda,ശ്വാസം
52,Atem::N,andedräkt,ശ്വാസം
53,Hunger::N,svält,വിശപ്പ്
54,Hunger::N,hunger,വിശപ്പ്
55,Träne::N,tår,കണ്ണീർ
56,Geschmack::N,smak,രുചി
57,Geruch::N,lukt,ഗന്ധം
58,Schlaf::N,sömn,ഉറകും
59,Traum::N,dröm,സ്വപ്നം
60,Himmel::N,himmel,ആകാശം
61,Sonne::N,sol,സൂര്യൻ
62,Mond::N,måne,ചന്ദ്രൻ
63,Stern::N,stjärna,നക്ഷത്രം
64,Luft::N,luft,കാറ്റ്
65,Wind::N,vind,കാറ്റ്
66,Welle::N,våg,തിരമാല
67,Welle::N,bölja,തിരമാല
68,Wasser::N,vatten,വെള്ളം
69,Stein::N,sten,ശില
70,Stein::N,sten,കല്ല്
71,Boden::N,mark,തറ
72,Boden::N,mark,നിലം
73,Erde::N,jord,മണ്ണ്
74,Staub::N,damm,പൊടി
75,Rauch::N,rök,പുക
76,Funke::N,gnista,തീപ്പൊരി
77,Feuer::N,eld,തീ
78,Licht::N,ljus,വിളക്ക്
79,Licht::N,ljus,സൂര്യപ്രകാശം
80,Schatten::N,skugga,തണൽ
81,Wetter::N,väder,കാലാവസ്ഥ
82,Nebel::N,dimma,മൂടൽമഞ്ഞ്
83,Nebel::N,töcken,മൂടൽമഞ്ഞ്
84,Wolke::N,sky,മേഘം
85,Wolke::N,moln,മേഘം
86,Regen::N,regn,മഴ
87,Schnee::N,snö,മഞ്ഞ്
88,Eis::N,is,ഐസ്
89,Frost::N,frost,മൂടൽമഞ്ഞ്
90,Kälte::N,köld,തണുപ്പ്
91,Hitze::N,hetta,ചൂട്
92,Raureif::N,rimfrost,കോടമഞ്ഞ്
93,Regenbogen::N,regnbåge,മഴവില്ല്
94,Donner::N,åska,ഇടി
95,Donner::N,dunder,ഇടി
96,Strömung::N,strömning,പ്രവാഹം
97,Tropfen::N,dropper,തുള്ളി
98,Schaum::N,skum,നുര
99,Schmutz::N,lort,അഴുക്ക്
100,Schmutz::N,smuts,അഴുക്ക്
101,See::N,sjö,തടാകം
102,Sumpf::N,träsk,ചതുപ്പുനിലം
103,Moor::N,myr,പാഴ്നിലം
104,Moor::N,mosse,പാഴ്നിലം
105,Wiese::N,äng,പുൽത്തകിടി
106,Wald::N,skog,വനം
107,Wald::N,skog,കാട്
108,Hügel::N,höjd,കുന്ന്
109,Hügel::N,kulle,കുന്ന്
110,Anhöhe::N,höjd,ഉയർന്ന ഭൂമി
111,Anhöhe::N,backe,ഉയർന്ന ഭൂമി
112,Berg::N,berg,പർവ്വതം
113,Berg::N,fjäll,പർവ്വതം
114,Gipfel::N,topp,ഉച്ചകോടി
115,Höhle::N,håla,ഗുഹ
116,Höhle::N,grotta,ഗുഹ
117,Abhang::N,slänt,ചരിവ്
118,Abhang::N,sluttning,ചരിവ്
119,Quelle::N,källa,ഉറവിടം
120,Bach::N,bäck,അരുവി
121,Fluss::N,älv,നദി
122,Fluss::N,flod,നദി
123,Ufer::N,strand,തീരം
124,Küste::N,kust,കടൽത്തീരം
125,Festland::N,fastland,കര
126,Meer::N,hav,കടൽ
127,Bucht::N,vik,ഉൾക്കടല്
128,Bucht::N,bukt,ഉൾക്കടല്
129,Insel::N,ö,ദ്വീപ്
130,Blume::N,blomma,പൂവ്
131,Blume::N,blomster,പൂവ്
132,Gras::N,gräs,പുല്ല്
133,Wurzel::N,rot,വേര്
134,Baum::N,träd,മരം
135,Stamm::N,stam,തായ്ത്തടി
136,Rinde::N,bark,പട്ട
137,Ast::N,gren,ശാഖ
138,Zweig::N,kvist,ശാഖ
139,Blatt::N,löv,ഇല
140,Blatt::N,blad,ഇല
141,Birke::N,björk,പൂവരശ്
142,Kiefer[Baum]::N,tall,പൈൻമരം
143,Weide[Baum]::N,pil,വില്ലോ
144,Weide[Baum]::N,vide,വില്ലോ
145,Tanne::N,gran,ദേവദാരു
146,Horn::N,horn,മൃഗത്തിൻറെ കൊമ്പ്
147,Feder::N,fjäder,തൂവൽ
148,Fell::N,fäll,മൃദുരോമം
149,Fell::N,skinn,മൃദുരോമം
150,Flügel::N,vinge,ചിറക്
151,Klaue::N,klöv,നഖം
152,Kralle::N,klo,നഖം
153,Schwanz::N,svans,വാൽ
154,Schwanz::N,stjärt,വാൽ
155,Ei::N,ägg,മുട്ട
156,Nest::N,rede,കൂട്
157,Nest::N,näste,കൂട്
158,Bau::N,bo,മാളം
159,Tier::N,djur,മൃഗം
160,Herde::N,flock,കൂട്ടം
161,Kuh::N,ko,പശു
162,Bulle::N,tjur,കാള
163,Pferd::N,häst,കുതിര
164,Schaf::N,får,ആട്
165,Schwein::N,svin,പന്നി
166,Hund::N,hund,നായ്
167,Katze::N,katt,പൂച്ച
168,Bär::N,björn,കരടി
169,Eichhörnchen::N,ekorre,അണ്ണാൻ
170,Elch::N,älg,കടമാന്
171,Fuchs::N,räv,കുറുക്കൻ
172,Hase::N,hare,മുയൽ
173,Maus::N,mus,ചുണ്ടലി
174,Wolf::N,varg,ചെന്നായ
175,Vogel::N,fågel,പക്ഷി
176,Schwarm::N,svärm,കൂട്ടം
177,Huhn::N,höns,കോഴി
178,Hahn::N,tupp,പൂവൻകോഴി
179,Gans::N,gås,അരയന്നം
180,Adler::N,örn,കഴുകൻ
181,Ente::N,anka,താറാവ്
182,Eule::N,uggla,മൂങ്ങ
183,Kranich::N,trana,കൊക്ക്
184,Krähe::N,kråka,കാക്ക
185,Kuckuck::N,gök,കുയിൽ
186,Schwan::N,svan,അരയന്നം
187,Fisch::N,fisk,മത്സ്യം
188,Barsch::N,abborre,ഒരിനം മത്സ്യം
189,Hecht::N,gädda,ഒരു മത്സ്യം
190,Schlange[Tier]::N,orm,പാമ്പ്
191,Wurm::N,mask,വിര
192,Spinne::N,spindel,ചിലന്തി
193,Ameise::N,myra,ഉറുമ്പ്
194,Laus::N,lus,പേന്
195,Mücke::N,mygga,മശകം
196,Fliege::N,fluga,ഈച്ച
197,Schmetterling::N,fjäril,ചിത്രശലഭം
198,Beere::N,bär,ബെറി
199,Apfel::N,äpple,ആപ്പിൾ
200,Pilz::N,svamp,കൂൺ
201,Zwiebel::N,lök,സവാള
202,Saat::N,sådd,വിത്ത്
203,Korn::N,korn,ധാന്യം
204,Heu::N,hö,വയ്ക്കോൽ
205,Schale::N,skal,തൊലി
206,Grube::N,grop,കുഴി
207,Falle::N,fälla,കെണി
208,Schlinge::N,snara,കുടുക്ക്
209,Spur::N,spår,ചുവട്
210,Asche::N,aska,ചാരം
211,Dreck::N,lort,അഴുക്ക്
212,Eisen::N,järn,ഇരുമ്പ്
213,Gold::N,guld,സ്വർണ്ണം
214,Silber::N,silver,വെള്ളി
215,Kohle::N,kol,കൽക്കരി
216,Glas::N,glas,ഗ്ലാസ്
217,Lehm::N,lera,കളിമണ്ണ്
218,Sand::N,sand,മണൽ
219,Mensch::N,människa,മനുഷ്യർ
220,Mann::N,man,പുരുഷൻ
221,Frau::N,kvinna,സ്ത്രീ
222,Kind::N,barn,കുഞ്ഞ്
223,Junge::N,pojke,ആൺകുട്ടി
224,Mädchen::N,flicka,പെൺകുട്ടി
225,Familie::N,familj,കുടുംബം
226,Großvater::N,morfar,അപ്പൂപ്പൻ
227,Großmutter::N,farmor,അമ്മുമ്മ
228,Eltern::N,föräldrar,മാതാപിതാക്കള്
229,Vater::N,far,അച്ഛൻ
230,Mutter::N,mor,അമ്മ
231,Sohn::N,son,മകൻ
232,Tochter::N,dotter,മകൾ
233,Bruder::N,bror,ചേട്ടൻ
234,Bruder::N,bror,അനിയൻ
235,Schwester::N,syster,ചേച്ചി
236,Schwester::N,syster,അനിയത്തി
237,Onkel::N,morbror,അമ്മാവൻ
238,Tante::N,tant,മാമി
239,Ehemann::N,äkta man,ഭർത്താവ്
240,Ehefrau::N,hustru,ഭാര്യ
241,Freude::N,fröjd,ആഹ്ലാദം
242,Freude::N,glädje,ആഹ്ലാദം
243,Gelächter::N,åtlöje,ചിരിയുടെ ശബ്ദം
244,Glück::N,lycka,സന്തോഷം
245,Glück::N,lycka,സന്തുഷ്ടി
246,Kummer::N,sorg,ശോകം
247,Wunsch::N,önskan,ആഗ്രഹം
248,Lust::N,lust,ആഗ്രഹം
249,Geist::N,ande,ചുറുചുറുക്ക്
250,Gedanke::N,tanke,ചിന്ത
251,Gedächtnis::N,minne,ഓർമ്മശക്തി
252,Verstand::N,förstånd,മനസ്സ്
253,Sinn::N,mening,അർത്ഥം
254,Sinn::N,betydelse,അർത്ഥം
255,Grund::N,skäl,കാരണം
256,Grund::N,grund,കാരണം
257,Wahrheit::N,sanning,സത്യം
258,Gespräch::N,samtal,സല്ലാപം
259,Märchen::N,saga,യക്ഷിക്കഥ
260,Erzählung::N,berättelse,കഥ
261,Nachricht::N,meddelande,സന്ദേശം
262,Neuigkeit::N,nyhet,വാർത്ത
263,Name::N,namn,പേര്
264,Rätsel::N,gåta,പ്രഹേളിക
265,Rede::N,tal,സംസാരം
266,Sprache::N,språk,ഭാഷ
267,Stimme::N,stämma,സ്വരം
268,Wort::N,ord,വാക്ക്
269,Zeichen::N,tecken,സംജ്ഞ
270,Ruf::N,rop,വിളി
271,Lärm::N,bråk,ആരവം
272,Lärm::N,oväsen,ആരവം
273,Laut::N,ljud,ശബ്ദം
274,Ton::N,ton,സ്വരഭേദം
275,Lied::N,sång,പാട്ട്
276,Ruhe::N,ro,നിശ്ചലത
277,Ruhe::N,lugn,നിശ്ചലത
278,Leute::N,folk,ജനങ്ങൾ
279,Volk::N,folk,രാഷ്ടം
280,Arbeit::N,arbete,ജോലി
281,Gast::N,gäst,അതിലി
282,Geschenk::N,gåva,സമ്മാനം
283,Geschenk::N,present,സമ്മാനം
284,Spiel::N,lek,കളി
285,Spiel::N,spel,കളി
286,Gesellschaft::N,sällskap,കൂട്ടായ്മ
287,Hilfe::N,hjälp,സഹായം
288,Freund::N,vän,സുഹൃത്ത്
289,Kamerad::N,kamrat,കൂട്ടാളി
290,Angelegenheit::N,ärende,കാര്യം
291,Angelegenheit::N,angelägenhet,കാര്യം
292,Anzahl::N,antal,എണ്ണം
293,Art::N,art,തരം
294,Art::N,slag,തരം
295,Stück::N,stycke,കഷണം
296,Teil::N,del,ഭാഗം
297,Hälfte::N,halva,പകുതി
298,Kreis::N,krets,വൃത്തം
299,Kreis::N,cirkel,വൃത്തം
300,Kreuz::N,kors,കുരിശടയാളം
301,Kreuz::N,kryss,കുരിശടയാളം
302,Linie::N,linje,വര
303,Linie::N,linje,രേഖ
304,Strich::N,streck,പക്ഷാഘാതം
305,Abstand::N,avstånd,വിടവ്
306,Entfernung::N,avstånd,അകലം
307,Gegend::N,trakt,പ്രദേശം
308,Platz::N,plats,ഇടം
309,Ort::N,plats,സ്ഥലം
310,Ort::N,ställe,സ്ഥലം
311,Seite::N,sida,വശം
312,Mitte::N,mitt,മധ്യസ്ഥാനം
313,Gegenstand::N,föremål,സാധനം
314,Sache::N,sak,വസ്തു
315,Rand::N,rand,തൊങ്ങൽ
316,Kante::N,kant,അറ്റം
317,Ecke::N,vrå,മൂല
318,Ecke::N,hörn,മൂല
319,Spitze::N,spets,അഗ്രം
320,Ende::N,ända,അവസാനം
321,Loch::N,hål,ദ്വാരം
322,Winkel::N,vinkel,കോൺ
323,Muster::N,mönster,ക്രമം
324,Größe::N,storlek,വലുപ്പം
325,Länge::N,längd,നീളം
326,Höhe::N,höjd,ഉയരം
327,Gewicht::N,tyngd,കട്ടി
328,Menge::N,mängd,അളവ്
329,Haufen::N,hög,കൂമ്പാരം
330,Reihe::N,rad,വരി
331,Boot::N,båt,ബോട്ട്
332,Ruder::N,åra,പങ്കായം
333,Schlitten::N,släde,ഉരുളില്ലാവണ്ടി
334,Ski::N,skida,ഹിമപാദുകം
335,Lagerfeuer::N,lägereld,തീ
336,Last::N,last,ഭാരം
337,Last::N,börda,ഭാരം
338,Gang::N,gång,നടത്തം
339,Schritt::N,steg,ചുവട്
340,Norden::N,norr,വടക്ക്
341,Süden::N,söder,തെക്ക്
342,Westen::N,väster,പടിഞ്ഞാറ്
343,Osten::N,öster,കിഴക്ക്
344,Holz::N,trä,തടി
345,Brett::N,bräda,ബോർഡ്
346,Platte::N,platta,തകിട്
347,Stütze::N,stöd,താങ്ങ്
348,Stütze::N,stötta,താങ്ങ്
349,Stange::N,stång,കമ്പ്
350,Stock::N,käpp,വടി
351,Stock::N,pinne,വടി
352,Stab::N,stav,കുറുവടി
353,Rohr::N,rör,കുഴൽ
354,Haus::N,hus,വീട്
355,Heim::N,hem,വീട്
356,Ofen::N,ugn,സ്റ്റൌ
357,Fußboden::N,golv,തറ
358,Tisch::N,bord,മേശ
359,Stuhl::N,stol,കസേര
360,Wiege::N,vagga,തൊട്ടിൽ
361,Bett::N,säng,കിടക്ക
362,Regal::N,hylla,ഷെൽഫ്
363,Kiste::N,låda,പെട്ടി
364,Fenster::N,fönster,ജനൽ
365,Tür::N,dörr,വാതിൽ
366,Tor::N,port,കവാടം
367,Zaun::N,staket,വേലി
368,Zaun::N,stängsel,വേലി
369,Dach::N,tak,മേൽക്കുര
370,Leiter::N,stege,ഏണി
371,Besen::N,kvast,ചൂല്
372,Spaten::N,spade,തൂമ്പ
373,Schaufel::N,skovel,തൂമ്പ
374,Schaufel::N,skyffel,തൂമ്പ
375,Gabel::N,gaffel,മുൾക്കത്തി
376,Löffel::N,sked,സ്പൂൺ
377,Messer::N,kniv,കത്തി
378,Nagel::N,spik,ആണി
379,Netz::N,nät,വല
380,Haken::N,krok,കൊളുത്ത്
381,Griff::N,tag,കൈപ്പിടി
382,Griff::N,handtag,കൈപ്പിടി
383,Schloss::N,las,പൂട്ട്
384,Bild::N,bild,ചിത്രം
385,Figur::N,figur,കണക്ക്
386,Puppe::N,docka,പാവ
387,Beutel::N,påse,ബാഗ്
388,Bündel::N,bunt,കെട്ട്
389,Bündel::N,knippa,കെട്ട്
390,Tasche::N,väska,ബാഗ്
391,Eimer::N,hink,ബക്കറ്റ്
392,Eimer::N,ämbar,ബക്കറ്റ്
393,Deckel::N,lock,ഉറ
394,Geschirr::N,servis,പിഞ്ഞാണം
395,Geschirr::N,porslin,പിഞ്ഞാണം
396,Sack::N,säck,ചാക്ക്
397,Tasse::N,kopp,കപ്പ്
398,Topf::N,gryta,പാത്രം
399,Topf::N,kastrull,പാത്രം
400,Kessel::N,kittel,കെറ്റ്ല്
401,Essen::N,mål,ആഹാരസമയം
402,Nahrung::N,näring,ഭക്ഷണം
403,Speise::N,maträtt,ഡിഷ്
404,Fleisch::N,kött,മാംസം
405,Getreide::N,säd,ചോളം
406,Getreide::N,spannmål,ചോളം
407,Brei::N,gröt,കഞ്ഞി
408,Brot::N,bröd,റോട്ടി
409,Scheibe::N,skiva,തുണ്ട്
410,Fett::N,fett,കൊഴുപ്പ്
411,Butter::N,smör,വെണ്ണ
412,Öl::N,olja,എണ്ണ
413,Salz::N,salt,ഉപ്പ്
414,Suppe::N,soppa,സൂപ്പ്
415,Honig::N,honung,തേൻ
416,Milch::N,mjölk,പാൽ
417,Tee::N,te,ചായ
418,Leder::N,läder,തുകൽ
419,Wolle::N,ull,കമ്പിളി
420,Wolle::N,ylle,കമ്പിളി
421,Stoff::N,tyg,തുണി
422,Stoff::N,stoff,തുണി
423,Nadel::N,nål,സൂചി
424,Faden::N,tråd,നൂല്
425,Knopf::N,knapp,ബട്ടൺ
426,Knoten::N,knut,കുരുക്ക്
427,Farbe::N,färg,പെയിൻറ്
428,Kleidung::N,klädsel,വസ്ത്രങ്ങൾ
429,Hemd::N,skjorta,ഷർട്ട്
430,Kragen::N,krage,കുപ്പായക്കഴുത്ത്
431,Ärmel::N,ärm,കുപ്പായക്കൈ
432,Hose::N,byxor,ട്രൌസർ
433,Gürtel::N,bälte,ബെൽറ്റ്
434,Mütze::N,mössa,തൊപ്പി
435,Schuh::N,sko,ഷൂ
436,Stiefel::N,stövel,ബൂട്ട്
437,Ring::N,ring,മോതിരം
438,Band::N,band,റിബൺ
439,Kamm::N,kam,ചീപ്പ്
440,Spiegel::N,spegel,കണ്ണാടി
441,Riemen::N,rem,സ്ട്രാപ്പ്
442,Schnur::N,snöre,ചരട്
443,Leine::N,lina,കെട്ടാനുള്ള തോൽവാർ
444,Decke::N,täcke,പുതപ്പ്
445,Kissen::N,dyna,തലയിണ
446,Kissen::N,kudde,തലയിണ
447,Tuch::N,sjal,സ്കാർഫ്
448,Handtuch::N,handduk,തോർത്ത്
449,Kraft::N,kraft,ശക്തി
450,Stärke::N,styrka,ശക്തി
451,Gesundheit::N,hälsa,ആരോഗ്യം
452,Krankheit::N,sjukdom,അസുഖം
453,Schmerz::N,smärta,വേദന
454,Wunde::N,sår,മുറിവ്
455,Fieber::N,feber,പനി
456,Arznei::N,medicin,മരുന്ന്
457,Arznei::N,läkemedel,മരുന്ന്
458,Brücke::N,bro,പാലം
459,Brunnen::N,brunn,കിണർ
460,Weide::N,bete,മേച്ചൽ
461,Pfad::N,stig,വഴി
462,Weg::N,väg,വഴി
463,Straße::N,gata,റോഡ്
464,Dorf::N,by,ഗ്രാമം
465,Stadt::N,stad,നഗരം
466,Brief::N,brev,കത്ത്
467,Buch::N,bok,പുസ്തകം
468,Buchstabe::N,bokstav,അക്ഷരം
469,Zeitung::N,tidning,വർത്തമാനപത്രം
470,Leben::N,liv,ജീവൻ
471,Tod::N,död,മരണം
472,Grab::N,grav,ശവക്കുഴി
473,Kirche::N,kyrka,പള്ളി
474,Sünde::N,synd,പാപം
475,Gott::N,gud,ദൈവം
476,Arbeiter::N,arbetare,ജോലിക്കാരൻ
477,Chef::N,chef,മേധാവി
478,Meister::N,mästare,യജമാനൻ
479,Arzt::N,läkare,ഡോക്ടർ
480,Lehrer::N,lärare,അധ്യാപകൻ
481,Geld::N,pengar,പണം
482,Geschäft::N,rörelse,ബിസിനസ്
483,Laden::N,affär,കട
484,Preis::N,pris,വില
485,Ware::N,vara,ചരക്ക്
486,Nutzen::N,gagn,ലാഭം
487,Nutzen::N,nytta,ലാഭം
488,Reichtum::N,rikedom,ധനം
489,Welt::N,värld,ലോകം
490,Land::N,land,രാജ്യം
491,Staat::N,stat,രാജ്യം
492,König::N,kung,രാജാവ്
493,König::N,konung,രാജാവ്
494,Macht::N,makt,അധികാരം
495,Grenze::N,gräns,അതിർത്തി
496,Krieg::N,krig,യുദ്ധം
497,Feind::N,fiende,ശത്രു
498,Gewalt::N,våld,അക്രമം
499,Kampf::N,kamp,പോരാട്ടം
500,Kampf::N,strid,പോരാട്ടം
501,Bogen[Waffe]::N,båge,വില്ല്
502,Pfeil::N,pil,അമ്പ്
503,Gewehr::N,gevär,തോക്ക്
504,Fehler::N,fel,പിശക്
505,Lüge::N,lögn,കള്ളം
506,Schaden::N,skada,കേടുപാട്
507,Unglück::N,otur,ദൌർഭാഗ്യം
508,Unglück::N,olycka,ദൌർഭാഗ്യം
509,Schuld::N,skuld,തെറ്റ്
510,Alter::N,ålder,വയസ്സ്
511,Schluss::N,slut,നിഗമനം
512,Zeit::N,tid,സമയം
513,Tag::N,dag,ദിവസം
514,Morgen::N,morgon,പ്രഭാതം
515,Mittag::N,middag,ഉച്ച
516,Abend::N,kväll,സായാഹ്നം
517,Nacht::N,natt,രാത്രി
518,Woche::N,vecka,ആഴ്ച
519,Monat::N,månad,മാസം
520,Jahr::N,år,വർഷം
521,Frühling::N,vår,വസന്തം
522,Sommer::N,sommar,വേനൽ
523,Herbst::N,höst,ശരത്കാലം
524,Winter::N,vinter,ശൈത്യം
525,Januar::N,januari,ജനുവരി
526,Februar::N,februari,ഫെബ്രുവരി
527,März::N,mars,മാർച്ച്
528,April::N,april,ഏപ്രിൾ മാസം
529,Mai::N,maj,മെയ് മാസം
530,Juni::N,juni,ജൂൺ
531,Juli::N,juli,ജൂലൈ
532,August::N,augusti,ആഗസ്റ്റ്
533,September::N,september,സെപ്തംബർ
534,Oktober::N,oktober,ഒക്ടോബർ
535,November::N,november,നവംബർ
536,Dezember::N,december,ഡിസംബർ
537,Montag::N,måndag,തിങ്കളാഴ്ച
538,Dienstag::N,tisdag,ചൊവ്വ
539,Mittwoch::N,onsdag,ബുധനാഴ്ച
540,Donnerstag::N,torsdag,വ്യാഴാഴ്ച
541,Freitag::N,fredag,വെള്ളിയാഴ്ച
542,Samstag::N,lördag,ശനിയാഴ്ച
543,Sonntag::N,söndag,ഞായറാഴ്ച
544,groß::A,stor,വലിയ
545,klein::A,liten,ചെറിയ
546,lang::A,lång,നീണ്ട
547,kurz::A,kort,ഹ്രസ്വമായ
548,breit::A,bred,വിശാലമായ
549,schmal::A,smal,ഇടുങ്ങിയ
550,dicht::A,tät,നിബിഡമായ
551,dick[Gegenstand]::A,tjock,തടിച്ച
552,dünn::A,tunn,മെലിഞ്ഞ
553,fein::A,fin,നേർത്ത
554,fest::A,fast,ഉറപ്പുള്ള
555,flach::A,platt,പരന്ന
556,glatt::A,glatt,മിനുസമുള്ള
557,hart::A,hård,കട്ടിയുള്ള
558,weich::A,mjuk,മൃദുവായ
559,rund::A,rund,വട്ടത്തിലുള്ള
560,spitz::A,toppig,മുനയുള്ള
561,spitz::A,spetsig,മുനയുള്ള
562,scharf::A,vass,മൂർച്ചയുള്ള
563,scharf::A,skarp,മൂർച്ചയുള്ള
564,stumpf::A,slö,തുറന്നടിക്കുന്ന
565,schwer::A,tung,ഭാരമുള്ള
566,schön::A,skön,മനോഹരമായ
567,schön::A,vacker,മനോഹരമായ
568,heiß::A,het,ചൂടുള്ള
569,warm::A,varm,ചൂടുള്ള
570,kalt::A,kall,തണുത്ത
571,kühl::A,sval,തണുപ്പുള്ള
572,kühl::A,kylig,തണുപ്പുള്ള
573,frisch::A,färsk,ശുദ്ധമായ
574,feucht::A,fuktig,ഈറനുള്ള
575,nass::A,våt,നനഞ്ഞ
576,trocken::A,torr,വരണ്ട
577,voll::A,full,നിറയെ
578,leer::A,tom,ഒഴിഞ്ഞ
579,offen::A,öppen,തുറന്ന
580,geschlossen::A,stängd,അടച്ച
581,sauber::A,ren,വൃത്തിയുള്ള
582,schmutzig::A,snuskig,അഴുക്കുനിറഞ്ഞ
583,roh::A,rå,അസംസ്കൃതമായ
584,reif::A,mogen,പഴുത്ത
585,lecker::A,läcker,രുചികരമായ
586,süß::A,söt,മധുരമുള്ള
587,bitter::A,besk,കടുത്ത
588,bitter::A,bitter,കടുത്ത
589,sauer::A,sur,പുളിപ്പുള്ള
590,hell::A,ljus,ജ്വലിക്കുന്ന
591,dunkel::A,mörk,ഇരുണ്ട
592,schwarz::A,svart,കറുത്ത
593,weiß::A,vit,വെളുത്ത
594,rot::A,röd,ചുവന്ന
595,gelb::A,gul,മഞ്ഞനിറമായ
596,blau::A,blå,നീലനിറമുള്ള
597,grün::A,grön,പച്ചനിറമുള്ള
598,grau::A,grå,ചാരനിറത്തിലുള്ള
599,bunt::A,brokig,വർണ്ണശബളമായ
600,billig::A,billig,വിലകുറഞ്ഞ
601,teuer::A,dyr,ചെലവേറിയ
602,wertvoll::A,värdefull,വിലപിടിപ്പുള്ള
603,blind::A,blind,അന്ധനായ
604,taub::A,döv,കേൾവിക്കുറവുള്ള
605,kräftig::A,kraftig,ശക്തിയുള്ള
606,stark::A,stark,ബലമുള്ള
607,schwach::A,svag,ക്ഷീണിച്ച
608,fett::A,fet,കൊഴുപ്പുള്ള
609,schlank::A,slank,മെലിഞ്ഞ
610,hübsch::A,snygg,മനോഹരമായ
611,hübsch::A,vacker,മനോഹരമായ
612,böse::A,ond,പാപിയായ
613,böse::A,elak,പാപിയായ
614,dumm::A,dum,വിവരംകെട്ട
615,faul::A,lat,അലസനായ
616,fleißig::A,flitig,അദ്ധ്വാനശീലമുള്ള
617,geizig::A,snål,പിശുക്കനായ
618,geizig::A,girig,പിശുക്കനായ
619,klug::A,klok,ബുദ്ധിസാമർഥ്യമുള്ള
620,geschickt::A,händig,പ്രതിഭാശാലി
621,geschickt::A,skicklig,പ്രതിഭാശാലി
622,lieb::A,kär,പ്രിയപ്പെട്ട
623,lieb::A,snäll,പ്രിയപ്പെട്ട
624,lustig::A,rolig,ആനന്ദകരമായ
625,lustig::A,lustig,ആനന്ദകരമായ
626,sanft::A,mild,സൌമ്യമായ
627,hungrig::A,hungrig,വിശപ്പുള്ള
628,krank::A,sjuk,അസുഖമുള്ള
629,nackt::A,naken,നഡമായ
630,traurig::A,ledsen,വിഷമമുള്ള
631,traurig::A,sorgsen,വിഷമമുള്ള
632,lebendig::A,levande,ഉപജീവനം
633,gut::A,bra,നല്ല
634,schlecht::A,dålig,മോശമായ
635,richtig::A,riktig,ശരിയായ
636,schlimm::A,illa,വൃത്തികെട്ട
637,wahr::A,sann,ശരിയായ
638,alt::A,gammal,പഴയ
639,neu::A,ny,പുതിയ
640,ehemalig::A,forn,മുൻ
641,ehemalig::A,tidigare,മുൻ
642,alt[Lebewesen]::A,gammal,വയസ്സുള്ള
643,jung::A,ung,കൌമാരമായ
644,arm::A,fattig,പാവപ്പെട്ട
645,reich::A,rik,സമ്പന്നമായ
646,bekannt::A,känd,പരിചിതമായ
647,berühmt::A,berömd,പ്രശസ്തനായ
648,fremd::A,främmande,വൈദേശികമായ
649,verschieden::A,åtskillig,വ്യത്യസ്തമായ
650,nah::A,nära,അരികത്തുള്ള
651,fern::A,fjärran,അകലെയുള്ള
652,linker::A,vänster,അവശേഷിച്ച
653,rechter::A,höger,വലത്തേ
654,anderer::A,annan,മറ്റുള്ള
655,erster::A,första,ആദ്യത്തെ
656,zweiter::A,andra,രണ്ടാം
657,dritter::A,tredje,മൂന്നാമത്
