,Concept_ID,nl,et
117,Höhle::N,hol,koobas
118,Abhang::N,helling,nõlvak
119,Quelle::N,bron,allikas
120,Bach::N,beek,oja
121,Fluss::N,stroom,jõgi
122,Ufer::N,wal,kallas
123,Ufer::N,oever,kallas
124,Küste::N,kust,rannik
125,Festland::N,vasteland,mander
126,Festland::N,vasteland,maismaa
127,Meer::N,zee,meri
128,Bucht::N,baai,laht
129,Bucht::N,inham,laht
130,Insel::N,eiland,saar
131,Blume::N,bloem,lill
132,Gras::N,gras,rohi
133,Wurzel::N,wortel,juur
134,Baum::N,boom,puu
135,Stamm::N,stam,tüvi
136,Rinde::N,schors,koor
137,Ast::N,tak,oks
138,Zweig::N,twijg,oks
139,Blatt::N,blad,leht
140,Birke::N,berk,kask
141,Kiefer[Baum]::N,den,mänd
142,Weide[Baum]::N,wilg,paju
143,Tanne::N,spar,nulg
144,Horn::N,hoorn,sarv
145,Feder::N,veer,sulg
146,Feder::N,pluim,sulg
147,Fell::N,vel,karvkate
148,Fell::N,vel,karusnahk
149,Flügel::N,vleugel,tiib
150,Flügel::N,vleugel,tiivik
151,Klaue::N,klauw,küüs
152,Kralle::N,klauw,küünis
153,Schwanz::N,staart,saba
154,Ei::N,ei,muna
155,Nest::N,nest,pesa
156,Bau::N,hol,urg
157,Tier::N,dier,loom
158,Herde::N,kudde,kari
159,Kuh::N,koe,lehm
160,Bulle::N,stier,pull
161,Pferd::N,paard,hobune
162,Schaf::N,schaap,lammas
163,Schwein::N,varken,siga
164,Hund::N,hond,koer
165,Katze::N,kat,kass
166,Bär::N,beer,karu
167,Eichhörnchen::N,eekhoorntje,orav
168,Elch::N,eland,põder
169,Fuchs::N,vos,rebane
170,Hase::N,haas,jänes
171,Maus::N,muis,hiir
172,Wolf::N,wolf,hunt
173,Vogel::N,vogel,lind
174,Schwarm::N,zwerm,parv
175,Huhn::N,kip,kana
176,Huhn::N,hoen,kana
177,Hahn::N,haan,kukk
178,Gans::N,gans,hani
179,Adler::N,arend,kotkas
180,Ente::N,eend,part
181,Eule::N,uil,kakk
182,Eule::N,uil,öökull
183,Kranich::N,kraanvogel,kurg
184,Krähe::N,kraai,vares
185,Kuckuck::N,koekoek,kägu
186,Schwan::N,zwaan,luik
187,Fisch::N,vis,kala
188,Barsch::N,baars,ahven
189,Hecht::N,snoek,haug
190,Schlange[Tier]::N,slang,uss
191,Wurm::N,worm,uss
192,Wurm::N,worm,vagel
193,Spinne::N,spin,ämblik
194,Ameise::N,mier,sipelgas
195,Laus::N,luis,täi
196,Mücke::N,mug,sääsk
197,Fliege::N,vlieg,kärbes
198,Schmetterling::N,vlinder,liblikas
199,Beere::N,bes,mari
200,Apfel::N,appel,õun
201,Pilz::N,paddestoel,seen
202,Zwiebel::N,ui,sibul
203,Saat::N,zaad,seeme
204,Korn::N,graan,iva
205,Korn::N,graan,tera
206,Korn::N,korrel,iva
207,Korn::N,korrel,tera
208,Heu::N,hooi,hein
209,Schale::N,schil,koor
210,Grube::N,kuil,kaevand
211,Falle::N,val,lõks
212,Falle::N,val,püünis
213,Schlinge::N,strop,aas
214,Spur::N,spoor,jälg
215,Asche::N,as,tuhk
216,Dreck::N,drek,saast
217,Dreck::N,drek,mustus
218,Eisen::N,ijzer,raud
219,Gold::N,goud,kuld
220,Silber::N,zilver,hõbe
221,Kohle::N,kool,süsi
222,Glas::N,glas,klaas
223,Lehm::N,klei,savi
224,Sand::N,zand,liiv
225,Mensch::N,mens,inimene
226,Mann::N,man,mees
227,Frau::N,vrouw,naine
228,Kind::N,kind,laps
229,Junge::N,jongen,poiss
230,Mädchen::N,meisje,tüdruk
231,Familie::N,gezin,perekond
232,Familie::N,familie,perekond
233,Großvater::N,grootvader,vanaisa
234,Großmutter::N,grootmoeder,vanaema
235,Eltern::N,ouders,vanemad
236,Vater::N,vader,isa
237,Mutter::N,moeder,ema
238,Sohn::N,zoon,poeg
239,Tochter::N,dochter,tütar
240,Bruder::N,broer,vend
241,Bruder::N,broeder,vend
242,Schwester::N,zus,õde
243,Schwester::N,zuster,õde
244,Onkel::N,oom,onu
245,Tante::N,tante,tädi
246,Ehemann::N,echtgenoot,mees
247,Ehemann::N,echtgenoot,abikaasa
248,Ehefrau::N,echtgenote,naine
249,Ehefrau::N,echtgenote,abikaasa
250,Freude::N,vreugde,rõõm
251,Gelächter::N,gelach,naer
252,Glück::N,geluk,õnn
253,Kummer::N,verdriet,mure
254,Kummer::N,verdriet,kurbus
255,Wunsch::N,wens,soov
256,Wunsch::N,verlangen,soov
257,Lust::N,zin,himu
258,Lust::N,lust,himu
259,Geist::N,geest,vaim
260,Gedanke::N,gedachte,mõte
261,Gedächtnis::N,geheugen,mälu
262,Verstand::N,verstand,aru
263,Verstand::N,verstand,mõistus
264,Sinn::N,betekenis,tähendus
265,Grund::N,reden,põhjus
266,Wahrheit::N,waarheid,tõde
267,Gespräch::N,gesprek,kõne
268,Gespräch::N,gesprek,vestlus
269,Märchen::N,sprookje,muinasjutt
270,Erzählung::N,verhaal,jutustus
271,Nachricht::N,tijding,teade
272,Neuigkeit::N,nieuws,uudis
273,Neuigkeit::N,nieuwtje,uudis
274,Name::N,naam,nimi
275,Rätsel::N,raadsel,mõistatus
276,Rede::N,rede,kõne
277,Sprache::N,taal,keel
278,Stimme::N,stem,hääl
279,Wort::N,woord,sõna
280,Zeichen::N,teken,märk
281,Ruf::N,roep,hüüe
282,Lärm::N,lawaai,müra
283,Laut::N,klank,hääl
284,Laut::N,geluid,hääl
285,Ton::N,toon,toon
286,Ton::N,klank,toon
287,Lied::N,lied,laul
288,Ruhe::N,rust,rahu
289,Ruhe::N,rust,vaikus
290,Ruhe::N,stilte,rahu
291,Ruhe::N,stilte,vaikus
292,Leute::N,lui,inimesed
293,Leute::N,mensen,inimesed
294,Volk::N,volk,rahvas
295,Arbeit::N,werk,töö
296,Arbeit::N,arbeid,töö
297,Gast::N,gast,külaline
298,Geschenk::N,cadeau,kingitus
299,Geschenk::N,geschenk,kingitus
300,Spiel::N,spel,mäng
301,Gesellschaft::N,gezelschap,selts
302,Hilfe::N,hulp,abi
303,Freund::N,vriend,sõber
304,Kamerad::N,maat,sõber
305,Kamerad::N,metgezel,sõber
306,Angelegenheit::N,zaak,asi
307,Angelegenheit::N,aangelegenheid,asi
308,Anzahl::N,tal,arv
309,Anzahl::N,tal,hulk
310,Anzahl::N,aantal,arv
311,Anzahl::N,aantal,hulk
312,Art::N,slag,liik
313,Art::N,soort,liik
314,Stück::N,stuk,tükk
315,Teil::N,deel,osa
316,Hälfte::N,helft,pool
317,Kreis::N,kring,ring
318,Kreis::N,cirkel,ring
319,Kreuz::N,kruis,rist
320,Linie::N,lijn,joon
321,Strich::N,haal,joon
322,Strich::N,streep,joon
323,Abstand::N,afstand,vahe
324,Entfernung::N,afstand,kaugus
325,Entfernung::N,afstand,vahemaa
326,Gegend::N,streek,ümbrus
327,Platz::N,ruimte,ruum
328,Ort::N,oord,paik
329,Ort::N,plaats,paik
330,Seite::N,zij,pool
331,Seite::N,kant,pool
332,Seite::N,zijde,pool
333,Mitte::N,midden,keskpaik
334,Gegenstand::N,voorwerp,ese
335,Sache::N,zaak,ese
336,Rand::N,rand,äär
337,Rand::N,rand,serv
338,Rand::N,boord,äär
339,Rand::N,boord,serv
340,Kante::N,kant,kant
341,Ecke::N,hoek,nurk
342,Spitze::N,punt,teravik
343,Spitze::N,spits,teravik
344,Ende::N,einde,ots
345,Ende::N,einde,jupp
346,Ende::N,uiteinde,ots
347,Ende::N,uiteinde,jupp
348,Loch::N,gat,auk
349,Winkel::N,hoek,nurk
350,Muster::N,dessin,muster
351,Muster::N,patroon,muster
352,Größe::N,grootte,suurus
353,Länge::N,lengte,pikkus
354,Höhe::N,hoogte,kõrgus
355,Gewicht::N,gewicht,kaal
356,Gewicht::N,gewicht,raskus
357,Menge::N,hoeveelheid,arv
358,Menge::N,hoeveelheid,hulk
359,Haufen::N,hoop,hunnik
360,Reihe::N,rij,rivi
361,Reihe::N,reeks,rivi
362,Boot::N,boot,paat
363,Ruder::N,roeiriem,aer
364,Schlitten::N,slee,saan
365,Schlitten::N,slede,saan
366,Ski::N,ski,suusk
367,Lagerfeuer::N,kampvuur,lõke
368,Last::N,last,koorem
369,Last::N,vracht,koorem
370,Gang::N,wandeling,käik
371,Schritt::N,stap,samm
372,Schritt::N,schrede,samm
373,Norden::N,noorden,põhi
374,Süden::N,zuiden,lõuna
375,Westen::N,westen,lääs
376,Osten::N,oosten,ida
377,Holz::N,hout,puu
378,Brett::N,plank,saelaud
379,Platte::N,plaat,plaat
380,Stütze::N,stut,tugi
381,Stütze::N,steun,tugi
382,Stange::N,stang,latt
383,Stange::N,stang,teivas
384,Stock::N,stok,kepp
385,Stab::N,staf,varras
386,Rohr::N,pijp,toru
387,Haus::N,huis,maja
388,Heim::N,tehuis,kodu
389,Ofen::N,kachel,ahi
390,Fußboden::N,vloer,põrand
391,Tisch::N,tafel,laud
392,Stuhl::N,stoel,tool
393,Wiege::N,wieg,häll
394,Wiege::N,wieg,kätki
395,Bett::N,bed,voodi
396,Regal::N,rek,riiul
397,Kiste::N,kist,kast
398,Fenster::N,raam,aken
399,Fenster::N,venster,aken
400,Tür::N,deur,uks
401,Tor::N,poort,värav
402,Zaun::N,omheining,aed
403,Zaun::N,omheining,tara
404,Dach::N,dak,katus
405,Leiter::N,ladder,redel
406,Besen::N,bezem,luud
407,Spaten::N,schop,labidas
408,Schaufel::N,schep,kühvel
409,Gabel::N,vork,kahvel
410,Löffel::N,lepel,lusikas
411,Messer::N,mes,nuga
412,Nagel::N,spijker,nael
413,Netz::N,net,võrk
414,Haken::N,haak,haak
415,Haken::N,haak,konks
416,Griff::N,handvat,sang
417,Griff::N,handvat,käepide
418,Schloss::N,slot,lukk
419,Bild::N,beeld,pilt
420,Figur::N,figuur,kuju
421,Figur::N,figuur,kujund
422,Puppe::N,pop,nukk
423,Beutel::N,zak,paun
424,Beutel::N,buidel,paun
425,Bündel::N,pak,kimp
426,Bündel::N,bundel,kimp
427,Tasche::N,tas,kott
428,Eimer::N,emmer,pang
429,Eimer::N,emmer,ämber
430,Deckel::N,deksel,kaas
431,Geschirr::N,vaatwerk,nõud
432,Sack::N,zak,kott
433,Tasse::N,kop,tass
434,Topf::N,pan,pada
435,Kessel::N,ketel,pada
436,Essen::N,eten,söök
437,Nahrung::N,voedsel,toit
438,Speise::N,spijs,roog
439,Fleisch::N,vlees,liha
440,Getreide::N,graan,teravili
441,Brei::N,pap,puder
442,Brei::N,brij,puder
443,Brot::N,brood,sai
444,Brot::N,brood,leib
445,Scheibe::N,plak,viil
446,Scheibe::N,plak,viilukas
447,Scheibe::N,snede,viil
448,Scheibe::N,snede,viilukas
449,Fett::N,vet,rasv
450,Butter::N,boter,või
451,Öl::N,olie,õli
452,Salz::N,zout,sool
453,Suppe::N,soep,supp
454,Honig::N,honing,mesi
455,Milch::N,melk,piim
456,Tee::N,thee,tee
457,Leder::N,leer,nahk
458,Leder::N,leder,nahk
459,Wolle::N,wol,vill
460,Stoff::N,stof,kangas
461,Nadel::N,naald,nõel
462,Faden::N,draad,niit
463,Knopf::N,knoop,nööp
464,Knoten::N,knoop,sõlm
465,Farbe::N,verf,värv
466,Kleidung::N,kledij,riided
467,Kleidung::N,kledij,riietus
468,Kleidung::N,kleding,riided
469,Kleidung::N,kleding,riietus
470,Hemd::N,hemd,särk
471,Kragen::N,kraag,krae
472,Ärmel::N,mouw,varrukas
473,Hose::N,broek,püksid
474,Hose::N,pantalon,püksid
475,Gürtel::N,riem,vöö
476,Gürtel::N,gordel,vöö
477,Mütze::N,muts,müts
478,Schuh::N,schoen,king
479,Stiefel::N,laars,saabas
480,Ring::N,ring,sõrmus
481,Band::N,lint,lint
482,Kamm::N,kam,kamm
483,Spiegel::N,spiegel,peegel
484,Riemen::N,riem,rihm
485,Schnur::N,koord,nöör
486,Leine::N,lijn,jalutusrihm
487,Decke::N,deken,tekk
488,Kissen::N,kussen,padi
489,Tuch::N,doek,kalev
490,Handtuch::N,handdoek,käterätik
491,Kraft::N,kracht,jõud
492,Stärke::N,sterkte,tugevus
493,Gesundheit::N,gezondheid,tervis
494,Krankheit::N,ziekte,haigus
495,Schmerz::N,pijn,valu
496,Wunde::N,wond,haav
497,Fieber::N,koorts,palavik
498,Arznei::N,medicament,ravim
499,Arznei::N,geneesmiddel,ravim
500,Brücke::N,brug,sild
501,Brunnen::N,put,kaev
502,Brunnen::N,bron,kaev
503,Weide::N,wei,karjamaa
504,Weide::N,weide,karjamaa
505,Pfad::N,pad,rada
506,Weg::N,weg,tee
507,Straße::N,baan,tee
508,Straße::N,straat,tee
509,Dorf::N,dorp,küla
510,Stadt::N,stad,linn
511,Brief::N,brief,kiri
512,Buch::N,boek,raamat
513,Buchstabe::N,letter,täht
514,Zeitung::N,krant,ajaleht
515,Zeitung::N,dagblad,ajaleht
516,Leben::N,leven,elu
517,Tod::N,dood,surm
518,Grab::N,graf,haud
519,Kirche::N,kerk,kirik
520,Sünde::N,zonde,patt
521,Gott::N,god,jumal
522,Arbeiter::N,arbeider,tööline
523,Chef::N,chef,ülemus
524,Chef::N,chef,juhataja
525,Meister::N,meester,meister
526,Arzt::N,arts,arst
527,Arzt::N,dokter,arst
528,Lehrer::N,leraar,õpetaja
529,Lehrer::N,onderwijzer,õpetaja
530,Geld::N,geld,raha
531,Geschäft::N,zaak,äri
532,Laden::N,winkel,pood
533,Laden::N,winkel,kauplus
534,Preis::N,prijs,hind
535,Ware::N,waar,kaup
536,Nutzen::N,nut,tulu
537,Nutzen::N,nut,kasulikkus
538,Nutzen::N,voordeel,tulu
539,Nutzen::N,voordeel,kasulikkus
540,Reichtum::N,rijkdom,rikkus
541,Welt::N,wereld,maailm
542,Land::N,land,maa
543,Staat::N,staat,riik
544,König::N,koning,kuningas
545,Macht::N,macht,võim
546,Grenze::N,grens,piir
547,Krieg::N,oorlog,sõda
548,Feind::N,vijand,vaenlane
549,Gewalt::N,geweld,väevõim
550,Kampf::N,strijd,võitlus
551,Kampf::N,gevecht,võitlus
552,Bogen[Waffe]::N,boog,vibu
553,Pfeil::N,pijl,nool
554,Gewehr::N,geweer,püss
555,Fehler::N,fout,viga
556,Lüge::N,leugen,vale
557,Schaden::N,schade,kahju
558,Unglück::N,tegenspoed,häda
559,Unglück::N,tegenspoed,õnnetus
560,Schuld::N,schuld,süü
561,Alter::N,leeftijd,iga
562,Schluss::N,slot,lõpp
563,Zeit::N,tijd,aeg
564,Tag::N,dag,päev
565,Morgen::N,morgen,hommik
566,Morgen::N,ochtend,hommik
567,Mittag::N,middag,lõuna
568,Mittag::N,middag,keskpäev
569,Abend::N,avond,õhtu
570,Nacht::N,nacht,öö
571,Woche::N,week,nädal
572,Monat::N,maand,kuu
573,Jahr::N,jaar,aasta
574,Frühling::N,lente,kevad
575,Frühling::N,voorjaar,kevad
576,Sommer::N,zomer,suvi
577,Herbst::N,herfst,sügis
578,Winter::N,winter,talv
579,Januar::N,januari,jaanuar
580,Februar::N,februari,veebruar
581,März::N,maart,märts
582,April::N,april,aprill
583,Mai::N,mei,mai
584,Juni::N,juni,juuni
585,Juli::N,juli,juuli
586,August::N,augustus,august
587,September::N,september,september
588,Oktober::N,oktober,oktoober
589,November::N,november,november
590,Dezember::N,december,detsember
591,Montag::N,maandag,esmaspäev
592,Dienstag::N,dinsdag,teisipäev
593,Mittwoch::N,woensdag,kesknädal
594,Donnerstag::N,donderdag,neljapäev
595,Freitag::N,vrijdag,reede
596,Samstag::N,zaterdag,laupäev
597,Sonntag::N,zondag,pühapäev
598,groß::A,groot,suur
599,klein::A,klein,väike
600,klein::A,klein,pisike
601,lang::A,lang,pikk
602,kurz::A,kort,lühike
603,breit::A,breed,lai
604,schmal::A,smal,kitsas
605,dicht::A,dicht,tihe
606,dick[Gegenstand]::A,dik,jäme
607,dünn::A,dun,õhuke
608,dünn::A,dun,peenike
609,fein::A,fijn,peen
610,fein::A,fijn,õhuke
611,fest::A,vast,püsiv
612,fest::A,vast,kindel
613,flach::A,plat,lame
614,flach::A,plat,tasane
615,glatt::A,glad,sile
616,hart::A,hard,kõva
617,weich::A,week,pehme
618,rund::A,rond,ümar
619,spitz::A,spits,torkav
620,spitz::A,puntig,torkav
621,scharf::A,scherp,terav
622,stumpf::A,stomp,nüri
623,schwer::A,zwaar,raske
624,schön::A,mooi,kena
625,schön::A,fraai,kena
626,heiß::A,heet,kuum
627,heiß::A,heet,palav
628,warm::A,warm,soe
629,kalt::A,koud,külm
630,kühl::A,koel,jahe
631,frisch::A,fris,värske
632,feucht::A,vochtig,niiske
633,nass::A,nat,märg
634,trocken::A,droog,kuiv
635,voll::A,vol,täis
636,leer::A,leeg,tühi
637,offen::A,open,avatud
638,offen::A,open,lahtine
639,geschlossen::A,gesloten,suletud
640,sauber::A,net,puhas
641,sauber::A,schoon,puhas
642,schmutzig::A,vuil,räpane
643,schmutzig::A,vuil,määrdunud
644,roh::A,rauw,toores
645,reif::A,rijp,küps
646,lecker::A,lekker,hõrk
647,lecker::A,lekker,maitsev
648,süß::A,zoet,magus
649,bitter::A,bitter,mõru
650,sauer::A,zuur,hapu
651,hell::A,licht,hele
652,hell::A,helder,hele
653,dunkel::A,donker,pime
654,schwarz::A,zwart,must
655,weiß::A,wit,valge
656,rot::A,rood,punane
657,gelb::A,geel,kollane
658,blau::A,blauw,sinine
659,grün::A,groen,roheline
660,grau::A,grijs,hall
661,bunt::A,bont,kirju
662,bunt::A,bont,värviline
663,billig::A,goedkoop,odav
664,teuer::A,duur,kallis
665,wertvoll::A,kostbaar,väärtuslik
666,wertvoll::A,waardevol,väärtuslik
667,blind::A,blind,pime
668,taub::A,doof,kurt
669,kräftig::A,krachtig,jõuline
670,stark::A,sterk,tugev
671,schwach::A,zwak,nõrk
672,schwach::A,zwak,jõuetu
673,fett::A,vet,rasvane
674,schlank::A,slank,sale
675,hübsch::A,leuk,kena
676,böse::A,kwaad,tige
677,dumm::A,dom,juhm
678,dumm::A,dom,rumal
679,faul::A,lui,laisk
680,fleißig::A,vlijtig,virk
681,fleißig::A,vlijtig,hoolas
682,geizig::A,gierig,ihne
683,klug::A,slim,tark
684,klug::A,slim,arukas
685,klug::A,slim,mõistlik
686,klug::A,schrander,tark
687,klug::A,schrander,arukas
688,klug::A,schrander,mõistlik
689,klug::A,verstandig,tark
690,klug::A,verstandig,arukas
691,klug::A,verstandig,mõistlik
692,geschickt::A,handig,osav
693,geschickt::A,vaardig,osav
694,lieb::A,lief,armas
695,lustig::A,vrolijk,lõbus
696,sanft::A,zacht,õrn
697,hungrig::A,hongerig,näljane
698,krank::A,ziek,haige
699,nackt::A,naakt,alasti
700,traurig::A,treurig,kurb
701,traurig::A,bedroefd,kurb
702,lebendig::A,levend,elus
703,gut::A,goed,hea
704,schlecht::A,slecht,halb
705,richtig::A,juist,õige
706,schlimm::A,erg,paha
707,schlimm::A,kwaad,paha
708,wahr::A,waar,tõene
709,alt::A,oud,vana
710,neu::A,nieuw,uus
711,ehemalig::A,voormalig,endine
712,alt[Lebewesen]::A,oud,vana
713,jung::A,jong,noor
714,arm::A,arm,vaene
715,reich::A,rijk,rikas
716,bekannt::A,bekend,teada
717,bekannt::A,bekend,tuttav
718,berühmt::A,beroemd,tuntud
719,fremd::A,vreemd,võõras
720,verschieden::A,verscheiden,erinev
721,verschieden::A,verschillend,erinev
722,nah::A,nabij,lähedane
723,nah::A,nabijgelegen,lähedane
724,fern::A,ver,kauge
725,linker::A,linker,vasak
726,rechter::A,rechter,parem
727,anderer::A,andere,muu
728,anderer::A,andere,teine
729,erster::A,eerste,esimene
730,zweiter::A,tweede,teine
731,dritter::A,derde,kolmas
732,letzter::A,laatste,viimane
733,allein::ADV,alleen,üksi
734,auf einmal::ADV,ineens,korraga
735,auf einmal::ADV,ineens,ühekorraga
736,auf einmal::ADV,tegelijk,korraga
737,auf einmal::ADV,tegelijk,ühekorraga
738,zusammen::ADV,samen,koos
739,zusammen::ADV,samen,üheskoos
740,zusammen::ADV,bijeen,koos
741,zusammen::ADV,bijeen,üheskoos
742,lange::ADV,lang,kaua
743,plötzlich::ADV,eensklaps,äkki
744,plötzlich::ADV,eensklaps,järsku
745,plötzlich::ADV,plotsklaps,äkki
746,plötzlich::ADV,plotsklaps,järsku
747,sofort::ADV,terstond,kohe
748,sofort::ADV,aanstonds,kohe
749,sofort::ADV,onmiddelijk,kohe
750,später::ADV,later,hiljem
751,jetzt::ADV,nu,nüüd
752,jetzt::ADV,nou,nüüd
753,jetzt::ADV,thans,nüüd
754,heute::ADV,heden,täna
755,heute::ADV,vandaag,täna
756,morgen::ADV,morgen,homme
757,bald::ADV,gauw,pea
758,bald::ADV,gauw,varsti
759,bald::ADV,weldra,pea
760,bald::ADV,weldra,varsti
761,dann::ADV,dan,siis
762,dann::ADV,toen,siis
763,gestern::ADV,gisteren,eile
764,einst::ADV,eens,vanasti
765,damals::ADV,toen,tookord
766,damals::ADV,destijds,tookord
767,danach::ADV,daarna,seejärel
768,vorher::ADV,vooraf,enne
769,vorher::ADV,van tevoren,enne
770,zuerst::ADV,eerst,enne
771,zuerst::ADV,eerst,esmalt
772,zuerst::ADV,het eerst,enne
773,zuerst::ADV,het eerst,esmalt
774,einmal::ADV,eens,kord
775,einmal::ADV,eens,üks kord
776,einmal::ADV,eenmaal,kord
777,einmal::ADV,eenmaal,üks kord
778,manchmal::ADV,soms,mõnikord
779,oft::ADV,vaak,tihti
780,oft::ADV,vaak,sageli
781,oft::ADV,dikwijls,tihti
782,oft::ADV,dikwijls,sageli
783,immer::ADV,altijd,ikka
784,immer::ADV,altijd,alati
785,niemals::ADV,nooit,mitte kunagi
786,hier::ADV,hier,siin
787,hierhin::ADV,hierheen,siia
788,von hier::ADV,van hier,siit
789,von hier::ADV,hiervandaan,siit
790,dort::ADV,daar,seal
791,dort::ADV,ginds,seal
792,dorthin::ADV,daarheen,sinna
793,geradeaus::ADV,rechtuit,otse edasi
794,geradeaus::ADV,rechtdoor,otse edasi
795,vorwärts::ADV,vooruit,edasi
796,vorwärts::ADV,voorwaarts,edasi
797,rückwärts::ADV,achteruit,tagurpidi
798,rückwärts::ADV,achterwaarts,tagurpidi
799,zurück::ADV,terug,tagasi
800,unten::ADV,beneden,all
801,unten::ADV,beneden,allpool
802,unten::ADV,onderaan,all
803,unten::ADV,onderaan,allpool
804,hinab::ADV,omlaag,alla
805,hinab::ADV,naar beneden,alla
806,oben::ADV,boven,ülal
807,hinauf::ADV,omhoog,üles
808,hinauf::ADV,naar boven,üles
809,überall::ADV,alom,kõikjal
810,überall::ADV,overal,kõikjal
811,nicht::ADV,niet,ei
812,nicht::ADV,niet,mitte
813,ein wenig::ADV,wat,veidi
814,ein wenig::ADV,wat,natuke
815,kaum::ADV,amper,vaevalt
816,kaum::ADV,nauwelijks,vaevalt
817,sehr::ADV,erg,väga
818,sehr::ADV,zeer,väga
819,so::ADV,zo,nii
820,noch::ADV,nog,veel
821,nur::ADV,maar,ainult
822,nur::ADV,alleen,ainult
823,schon::ADV,al,juba
824,schon::ADV,reeds,juba
825,wieder::ADV,weer,jälle
826,wieder::ADV,terug,jälle
827,vergebens::ADV,vergeefs,asjata
828,vergebens::ADV,tevergeefs,asjata
829,vor::PRP,voor,ees
830,hinter::PRP,achter,taha
831,unter::PRP,onder,all
832,unter::PRP,beneden,all
833,durch::PRP,door,läbi
834,durch::PRP,door,kaudu
835,neben::PRP,naast,kõrval
836,zwischen::PRP,tussen,vahel
837,wegen::PRP,wegens,tõttu
838,wegen::PRP,wegens,pärast
839,wegen::PRP,vanwege,tõttu
840,wegen::PRP,vanwege,pärast
841,dies::PRN,dit,see
842,das::PRN,dat,see
843,alles::PRN,alles,kõik
844,ich::PRN,ik,mina
845,du::PRN,je,sina
846,du::PRN,jij,sina
847,er::PRN,hij,tema
848,wir::PRN,we,me
849,wir::PRN,wij,me
