,Concept_ID,el,bn
67,Mond::N,φεγγάρι,চন্দ্র
68,Stern::N,άστρο,নক্ষত্র
69,Stern::N,αστέρι,নক্ষত্র
70,Luft::N,αέρας,বায়ু
71,Wind::N,αέρας,বাতাস
72,Wind::N,άνεμος,বাতাস
73,Welle::N,κύμα,ঢেউ
74,Welle::N,κύμα,তরঙ্গ
75,Wasser::N,νερό,জল
76,Stein::N,πέτρα,ঢিল
77,Stein::N,πέτρα,প্রস্তর
78,Boden::N,χώμα,ভূতল
79,Erde::N,γη,ভূমি
80,Staub::N,σκόνη,ধুলা
81,Rauch::N,καπνός,ধোঁয়া
82,Funke::N,σπίθα,স্ফুলিঙ্গ
83,Funke::N,σπινθήρας,স্ফুলিঙ্গ
84,Feuer::N,φωτιά,অগ্নি
85,Licht::N,φως,আলো
86,Schatten::N,σκιά,ছায়া
87,Schatten::N,ίσκιος,ছায়া
88,Wetter::N,καιρός,আবহাওয়া
89,Nebel::N,ομίχλη,কুহেলিকা
90,Wolke::N,σύννεφο,মেঘ
91,Regen::N,βροχή,বৃষ্টি
92,Schnee::N,χιόνι,তুষার
93,Eis::N,πάγος,বরফ
94,Frost::N,παγωνία,তুষার
95,Kälte::N,κρύο,শৈত্য
96,Kälte::N,ψύχος,শৈত্য
97,Hitze::N,ζέστη,তাপ
98,Raureif::N,πάχνη,তুহিন
99,Regenbogen::N,ουράνιο τόξο,রামধনু
100,Donner::N,βροντή,বজ্রধ্বনি
101,Strömung::N,ρεύμα,স্রোত
102,Tropfen::N,στάλα,ফোঁটা
103,Schaum::N,αφρός,ফেনা
104,Schmutz::N,βρωμιά,ধুলা
105,See::N,λίμνη,হ্রদ
106,Sumpf::N,βάλτος,জলা
107,Moor::N,έλος,মাঠ
108,Wiese::N,λιβάδι,তৃণভূমি
109,Wald::N,δάσος,বন
110,Hügel::N,λόφος,পাহাড়
111,Anhöhe::N,ύψωμα,টিলা
112,Berg::N,όρος,পর্বত
113,Berg::N,βουνό,পর্বত
114,Gipfel::N,κορυφή,শীর্ষ
115,Höhle::N,σπηλιά,গুহা
116,Abhang::N,πλαγιά,ঢাল
117,Quelle::N,πηγή,উৎস
118,Quelle::N,βρύση,উৎস
119,Bach::N,ρυάκι,ক্ষুদ্র নদী
120,Fluss::N,ποτάμι,নদী
121,Fluss::N,ποταμός,নদী
122,Ufer::N,όχθη,উপকূল
123,Küste::N,ακτή,তীর
124,Küste::N,ακρογιαλιά,তীর
125,Festland::N,στεριά,ভূমি
126,Meer::N,θάλασσα,সমুদ্র
127,Bucht::N,κόλπος,উপসাগর
128,Insel::N,νησί,দ্বীপ
129,Insel::N,νήσος,দ্বীপ
130,Blume::N,άνθος,ফুল
131,Blume::N,λουλούδι,ফুল
132,Gras::N,χόρτο,ঘাস
133,Gras::N,χορτάρι,ঘাস
134,Wurzel::N,ρίζα,শিকড়
135,Baum::N,δέντρο,গাছ
136,Stamm::N,κορμός,স্কন্ধ
137,Rinde::N,φλούδα,বল্কল
138,Ast::N,κλαδί,শাখা
139,Zweig::N,κλαδί,ডাল
140,Zweig::N,κλάδος,ডাল
141,Blatt::N,φύλλο,পর্ণ
142,Birke::N,σημύδα,ভুর্জ
143,Kiefer[Baum]::N,πεύκο,পাইন গাছ
144,Weide[Baum]::N,ιτιά,উইলো
145,Tanne::N,έλατο,দেবদারূ গাছ
146,Horn::N,κέρας,শিং
147,Horn::N,κέρατο,শিং
148,Feder::N,φτερό,পালক
149,Fell::N,δέρμα,রোম
150,Fell::N,τομάρι,রোম
151,Flügel::N,πτερύγιο,ডানা
152,Klaue::N,κουλό,নখর
153,Kralle::N,νύχι,নখর
154,Schwanz::N,ουρά,লেজ
155,Ei::N,αβγό,ডিম
156,Nest::N,φωλιά,কুলায়
157,Bau::N,φωλιά,ডেরা
158,Tier::N,ζώο,জন্তু
159,Herde::N,κοπάδι,ঝাঁক
160,Kuh::N,αγελάδα,গোরু
161,Bulle::N,ταύρος,বৃষ
162,Pferd::N,άλογο,ঘোড়া
163,Schaf::N,πρόβατο,ভেড়া
164,Schwein::N,γουρούνι,শূকর
165,Hund::N,σκυλί,কুকুর
166,Hund::N,σκύλος,কুকুর
167,Katze::N,γάτα,বেড়াল
168,Bär::N,άρκτος,ভল্লুক
169,Bär::N,αρκούδα,ভল্লুক
170,Eichhörnchen::N,βερβερίτσα,কাঠবিড়াল
171,Elch::N,άλκη,হরিণবিশেষ
172,Fuchs::N,αλεπού,পাঁতিশিয়াল
173,Hase::N,λαγός,শশক
174,Maus::N,ποντικός,নেংটি ইঁদুর
175,Wolf::N,λύκος,নেকড়ে
176,Vogel::N,πουλί,পক্ষী
177,Schwarm::N,σμήνος,ঝাঁক
178,Huhn::N,κότα,মোরগ
179,Huhn::N,όρνιθα,মোরগ
180,Hahn::N,πετεινός,কুক্কুট
181,Gans::N,χήνα,হংসী
182,Adler::N,αετός,ইগল
183,Ente::N,πάπια,হংসী
184,Eule::N,κουκουβάγια,পেচক
185,Kranich::N,γερανός,সারস
186,Krähe::N,καρακάξα,কাক
187,Kuckuck::N,κούκος,কোকিল
188,Schwan::N,κύκνος,মরাল
189,Fisch::N,ψάρι,মাছ
190,Barsch::N,πέρκα,মৎন্যবিশেষ
191,Hecht::N,λούτσος,বানমাছ
192,Schlange[Tier]::N,φίδι,সর্প
193,Wurm::N,σκουλήκι,কীট
194,Spinne::N,αράχνη,মাকড়সা
195,Ameise::N,μυρμήγκι,পিপীলিকা
196,Laus::N,ψείρα,উকুন
197,Mücke::N,κουνούπι,মশা
198,Fliege::N,μύγα,মাছি
199,Schmetterling::N,πεταλούδα,প্রজাপতি
200,Beere::N,ρόγα,বেরি
201,Apfel::N,μήλο,আপেল
202,Pilz::N,μανιτάρι,ছত্রক
203,Zwiebel::N,κρεμμύδι,পিয়াজ
204,Saat::N,σπόρος,বীজ
205,Korn::N,σπυρί,শস্য
206,Heu::N,σανός,খড়
207,Schale::N,τσόφλι,খোসা
208,Grube::N,λάκκος,গর্ত
209,Falle::N,παγίδα,ফাঁদ
210,Schlinge::N,θηλειά,পাশ
211,Spur::N,ίχνος,চিহ্ন
212,Asche::N,στάχτη,ভস্ম
213,Dreck::N,βρωμιά,ময়লা
214,Eisen::N,σίδερο,লোহা
215,Gold::N,μάλαμα,স্বর্ণ
216,Gold::N,χρυσάφι,স্বর্ণ
217,Silber::N,ασήμι,রৌপ্য
218,Silber::N,άργυρος,রৌপ্য
219,Kohle::N,κάρβουνο,অঙ্গার
220,Glas::N,γυαλί,কাচ
221,Lehm::N,πηλός,মৃত্তিকা
222,Sand::N,άμμος,বালি
223,Mensch::N,άνθρωπος,নর
224,Mensch::N,άνθρωπος,মানুষ
225,Mann::N,άνδρας,মানুষ
226,Frau::N,γυναίκα,নারী
227,Kind::N,παιδί,বাচ্চা
228,Junge::N,αγόρι,ছেলে
229,Mädchen::N,κοπέλα,মেয়ে
230,Mädchen::N,κορίτσι,মেয়ে
231,Familie::N,οικογένεια,পরিবার
232,Großvater::N,παππούς,মাতামহ
233,Großmutter::N,γιαγιά,মাতামহী
234,Eltern::N,γονείς,মাতাপিতা
235,Vater::N,πατέρας,পিতা
236,Mutter::N,μητέρα,মাতা
237,Sohn::N,γιος,ছেলে
238,Tochter::N,κόρη,মেয়ে
239,Bruder::N,αδελφός,দাদা
240,Schwester::N,αδελφή,বোন
241,Schwester::N,αδελφή,দিদি
242,Onkel::N,θείος,মামা
243,Tante::N,θεία,মাসী
244,Ehemann::N,σύζυγος,স্বামী
245,Ehefrau::N,σύζυγος,পত্নী
246,Freude::N,χαρά,উল্লাস
247,Gelächter::N,γέλια,হাসি
248,Glück::N,ευτυχία,সুখ
249,Kummer::N,έγνοια,দুঃখ
250,Wunsch::N,επιθυμία,আকাঙ্ক্ষা
251,Lust::N,όρεξη,বাসনা
252,Geist::N,πνέυμα,আত্না
253,Gedanke::N,σκέψη,চিন্তা
254,Gedächtnis::N,μνήμη,স্মরণশক্তি
255,Verstand::N,νους,মন
256,Sinn::N,νόημα,পদার্থ
257,Grund::N,λόγος,কারণ
258,Wahrheit::N,αλήθεια,সত্য
259,Gespräch::N,συνομιλία,কথাবার্তা
260,Märchen::N,παραμύθι,রূপকথা
261,Erzählung::N,διήγημα,গল্প
262,Nachricht::N,είδηση,তথ্য
263,Neuigkeit::N,νέο,খবরাখবর
264,Name::N,όνομα,নাম
265,Rätsel::N,αίνιγμα,ধাঁধা
266,Rede::N,λόγος,বক্তৃতা
267,Rede::N,ομιλία,বক্তৃতা
268,Sprache::N,γλώσσα,ভাষা
269,Stimme::N,φωνή,স্বর
270,Wort::N,λέξη,শব্দ
271,Zeichen::N,σημείο,প্রতীক
272,Ruf::N,κραυγή,ডাক
273,Lärm::N,θόρυβος,হৈচৈ
274,Laut::N,ήχος,ধ্বনি
275,Ton::N,ήχος,স্বর
276,Ton::N,τόνος,স্বর
277,Lied::N,τραγούδι,গান
278,Ruhe::N,ησυχία,শান্তি
279,Leute::N,κόσμος,প্রজাপুঞ্জ
280,Leute::N,άνθρωποι,প্রজাপুঞ্জ
281,Volk::N,λαός,জাতি
282,Arbeit::N,εργασία,চাকরি
283,Gast::N,επισκέπτης,অতিথি
284,Geschenk::N,δώρο,উপহার
285,Spiel::N,παιχνίδι,খেলা
286,Gesellschaft::N,κοινωνία,সঙ্গিগণ
287,Hilfe::N,βοήθεια,সাহায্য
288,Freund::N,φίλος,বন্ধু
289,Kamerad::N,σύντροφος,সঙ্গী
290,Angelegenheit::N,υπόθεση,বিষয়
291,Anzahl::N,αριθμός,পরিমাণ
292,Art::N,είδος,রকম
293,Stück::N,κομμάτι,টুকরো
294,Teil::N,μέρος,অংশ
295,Hälfte::N,μισό,অর্ধেক
296,Kreis::N,κύκλος,বৃত্ত
297,Kreuz::N,σταυρός,ক্রুশ
298,Linie::N,γραμμή,রেখা
299,Strich::N,γραμμή,কষি
300,Abstand::N,απόσταση,ফাঁক
301,Entfernung::N,απόσταση,ব্যবধান
302,Gegend::N,περιοχή,ক্ষেত্র
303,Gegend::N,τοποθεσία,ক্ষেত্র
304,Platz::N,χώρος,জায়গা
305,Ort::N,τόπος,স্থান
306,Seite::N,πλευρά,পার্শ্ব
307,Mitte::N,μέση,মধ্য
308,Gegenstand::N,αντικείμενο,জিনিস
309,Sache::N,πράγμα,বস্তু
310,Rand::N,άκρη,কানা
311,Rand::N,χείλος,কানা
312,Kante::N,άκρη,ধার
313,Ecke::N,γωνιά,কোণ
314,Spitze::N,μύτη,ডগা
315,Ende::N,άκρη,প্রান্ত
316,Loch::N,τρύπα,গর্ত
317,Winkel::N,γωνία,কোণ
318,Muster::N,σχέδιο,নমুন্
319,Größe::N,μέγεθος,আয়তন
320,Länge::N,μήκος,দৈর্ঘ্য
321,Höhe::N,ύψος,উচ্চতা
322,Gewicht::N,βάρος,ওজন
323,Menge::N,ποσότητα,পরিমাণ
324,Haufen::N,σωρός,পুঞ্জ
325,Reihe::N,αράδα,শ্রেণী
326,Boot::N,βάρκα,নৌকা
327,Ruder::N,κουπί,দাঁড়
328,Schlitten::N,έλκηθρο,স্নেজ্-গাড়ি
329,Ski::N,σκι,শী
330,Lagerfeuer::N,φωτιά,অগ্নি
331,Last::N,φορτίο,বোঝা
332,Gang::N,δρόμος,হণ্টন
333,Schritt::N,βήμα,পদ
334,Norden::N,βορράς,উত্তরদিক্
335,Süden::N,νότος,দক্ষিণদিক
336,Westen::N,δύση,পশ্চিমদিক্
337,Osten::N,ανατολή,পূর্বদিক
338,Holz::N,ξύλο,কাঠ
339,Brett::N,σανίδι,তক্তা
340,Platte::N,πλάκα,ফলক
341,Stütze::N,στήριγμα,নাগদণ্ড
342,Stange::N,ραβδί,দণ্ড
343,Stange::N,κοντός,দণ্ড
344,Stock::N,ξύλο,ছড়ি
345,Stock::N,μπαστούνι,ছড়ি
346,Stab::N,ραβδί,যষ্টি
347,Rohr::N,σωλήνας,নল
348,Haus::N,σπίτι,ঘর
349,Heim::N,σπίτι,বাসা
350,Ofen::N,σόμπα,স্টোভ্
351,Ofen::N,θερμάστρα,স্টোভ্
352,Fußboden::N,πάτωμα,গহতল
353,Tisch::N,τραπέζι,মেজ
354,Tisch::N,τραπέζι,টেবিল
355,Stuhl::N,καρέκλα,চেয়ার
356,Stuhl::N,καρέκλα,কেদারা
357,Wiege::N,κούνια,দোলনা
358,Bett::N,κρεβάτι,শয্যা
359,Regal::N,ράφι,তাক
360,Kiste::N,κιβώτιο,বাক্স
361,Fenster::N,παράθυρο,জানালা
362,Tür::N,πόρτα,দ্বার
363,Tor::N,πύλη,দ্বার
364,Zaun::N,φράχτης,বেড়া
365,Dach::N,στέγη,ছাদ
366,Leiter::N,σκάλα,মই
367,Leiter::N,κλίμακα,মই
368,Besen::N,σκούπα,গুল্মবিশেষ
369,Spaten::N,φτυάρι,কোদাল
370,Schaufel::N,φτυάρι,বেলচা
371,Gabel::N,πιρούνι,কাঁটা
372,Löffel::N,κουτάλι,চামচ
373,Messer::N,μαχαίρι,ছুরি
374,Nagel::N,καρφί,পেরেক
375,Netz::N,δίχτυ,জাল
376,Haken::N,γάντζος,কাচি
377,Haken::N,αγκίστρι,কাচি
378,Griff::N,λαβή,হাতল
379,Schloss::N,κλειδαριά,তালা
380,Bild::N,εικόνα,ছবি
381,Bild::N,εικόνα,চিত্র
382,Figur::N,ανάστημα,আকার
383,Puppe::N,κούκλα,পুতুল
384,Beutel::N,πουγγί,বটুয়া
385,Bündel::N,δεμάτι,আঁটি
386,Tasche::N,τσάντα,থলি
387,Eimer::N,κουβάς,বাল্তি
388,Deckel::N,καπάκι,আবরণ
389,Geschirr::N,σκεύη,থালা-বাসন
390,Sack::N,σάκος,বস্তা
391,Tasse::N,φλιτζάνι,কাপ
392,Topf::N,χύτρα,পাত্র
393,Kessel::N,καζάνι,কেটলি
394,Essen::N,φαγητό,আহার
395,Nahrung::N,τροφή,খাদ্য
396,Speise::N,φαγητό,খাদ্য
397,Fleisch::N,κρέας,মাংস
398,Getreide::N,σιτάρι,শস্য
399,Brei::N,χυλός,মণ্ড
400,Brot::N,ψωμί,রুটি
401,Brot::N,άρτος,রুটি
402,Scheibe::N,φέτα,ফালি
403,Fett::N,πάχος,মেদ
404,Butter::N,βούτυρο,মাখন
405,Öl::N,λάδι,তৈল
406,Salz::N,αλάτι,নুন
407,Suppe::N,σούπα,শুরুয়া
408,Honig::N,μέλι,মধু
409,Milch::N,γάλα,দুধ
410,Tee::N,τσάι,চা
411,Leder::N,πετσί,পাকা চামড়া
412,Wolle::N,μαλλί,পশম
413,Stoff::N,ύφασμα,বস্ত্র
414,Nadel::N,βελόνα,সুচ
415,Faden::N,κλωστή,সূত্র
416,Knopf::N,κουμπί,বোতাম
417,Knoten::N,κόμπος,গিঁট
418,Farbe::N,μπογιά,রং
419,Kleidung::N,ρούχα,কাপড়
420,Kleidung::N,ενδυμασία,কাপড়
421,Hemd::N,πουκάμισο,শার্ট
422,Kragen::N,κολάρο,গলবন্ধ
423,Ärmel::N,μανίκι,আস্তিন্
424,Hose::N,πανταλόνι,ট্রাউজার
425,Gürtel::N,ζώνη,কটিবন্ধ
426,Mütze::N,σκούφος,টুপি
427,Schuh::N,παπούτσι,জুতো
428,Stiefel::N,μπότα,বুট
429,Ring::N,δαχτυλίδι,আংটি
430,Band::N,κορδέλα,ফিতা
431,Kamm::N,χτένα,চিরুনি
432,Spiegel::N,καθρέφτης,আয়না
433,Riemen::N,λουρί,চাবুক
434,Schnur::N,κορδόνι,দড়ি
435,Leine::N,σχοινί,শিকল
436,Decke::N,κουβέρτα,কম্বল
437,Kissen::N,μαξιλάρι,উপাধান
438,Tuch::N,πανί,বস্ত্র
439,Tuch::N,μαντήλι,বস্ত্র
440,Handtuch::N,πετσέτα,তোয়ালে
441,Kraft::N,δύναμη,জোর
442,Stärke::N,ισχύς,শক্তি
443,Stärke::N,δύναμη,শক্তি
444,Gesundheit::N,υγεία,স্বাস্থ্য
445,Krankheit::N,αρρώστια,অসুখ
446,Krankheit::N,αρρώστια,ব্যামো
447,Schmerz::N,πόνος,যন্ত্রণা
448,Wunde::N,πληγή,ক্ষত
449,Fieber::N,πυρετός,জ্বর
450,Arznei::N,φάρμακο,ঔষধ
451,Brücke::N,γέφυρα,সেতু
452,Brunnen::N,πηγάδι,কূপ
453,Weide::N,βοσκή,পশুচারণভূমি
454,Pfad::N,μονοπάτι,পথ
455,Weg::N,δρόμος,পথ
456,Straße::N,οδός,রাস্তা
457,Straße::N,δρόμος,রাস্তা
458,Dorf::N,χωριό,গ্রাম
459,Stadt::N,πόλη,শহর
460,Brief::N,γράμμα,চিঠি
461,Brief::N,επιστολή,চিঠি
462,Buch::N,βιβλίο,বই
463,Buchstabe::N,γράμμα,অক্ষর
464,Zeitung::N,εφημερίδα,সংবাদপত্র
465,Leben::N,ζωή,জীবন
466,Leben::N,βίος,জীবন
467,Tod::N,θάνατος,মৃত্যু
468,Grab::N,τάφος,কবর
469,Kirche::N,εκκλησία,গির্জা
470,Sünde::N,αμαρτία,পাপ
471,Gott::N,θεός,দেবতা
472,Arbeiter::N,εργάτης,শ্রমিক
473,Chef::N,προϊστάμενος,নেতা
474,Meister::N,μάστορας,ব্যক্তি
475,Meister::N,αρχιτεχνίτης,ব্যক্তি
476,Arzt::N,γιατρός,চিকিৎসক
477,Lehrer::N,δάσκαλος,অধ্যাপক
478,Geld::N,λεφτά,মুদ্রা
479,Geld::N,λεφτά,টাকাপয়সা
480,Geld::N,χρήματα,মুদ্রা
481,Geld::N,χρήματα,টাকাপয়সা
482,Geschäft::N,συναλλαγή,ব্যস্ততা
483,Laden::N,μαγαζί,দোকান
484,Laden::N,κατάστημα,দোকান
485,Preis::N,τιμή,মূল্য
486,Ware::N,εμπόρευμα,পণ্যদ্রব্য
487,Nutzen::N,όφελος,সুবিধা
488,Reichtum::N,πλούτος,ধনদৌলত
489,Welt::N,κόσμος,জগৎ
490,Land::N,χώρα,খেত
491,Staat::N,κράτος,রাষ্ট্র
492,Staat::N,πολιτεία,রাষ্ট্র
493,König::N,βασιλιάς,রাজা
494,Macht::N,εξουσία,প্রভাব
495,Grenze::N,σύνορα,সীমা
496,Krieg::N,πόλεμος,যুদ্ধ
497,Feind::N,εχθρός,শত্রু
498,Gewalt::N,βία,জোর
499,Kampf::N,αγώνας,লড়াই
500,Bogen[Waffe]::N,τόξο,ধনুক
501,Pfeil::N,σαΐτα,বাণ
502,Gewehr::N,τουφέκι,বন্দুক
503,Fehler::N,λάθος,ভুল
504,Fehler::N,σφάλμα,ভুল
505,Lüge::N,ψέμα,মিথ্যা
506,Lüge::N,ψεύδος,মিথ্যা
507,Schaden::N,ζημία,ক্ষতি
508,Unglück::N,δυστυχία,দুর্ভাগ্য
509,Schuld::N,ενοχή,অপরাধ
510,Schuld::N,φταίξιμο,অপরাধ
511,Alter::N,ηλικία,আয়ু
512,Schluss::N,τέλος,শেষ
513,Zeit::N,χρόνος,সময়
514,Tag::N,μέρα,দিন
515,Tag::N,ημέρα,দিন
516,Morgen::N,πρωί,সকাল
517,Mittag::N,μεσημέρι,মধ্যাহু
518,Abend::N,βράδυ,সন্ধ্যা
519,Nacht::N,νύχτα,রাত্রি
520,Woche::N,εβδομάδα,সপ্তাহ
521,Monat::N,μήνας,মাস
522,Jahr::N,έτος,সৌরবর্ষ
523,Jahr::N,χρόνος,সৌরবর্ষ
524,Frühling::N,άνοιξη,বসন্তকাল
525,Sommer::N,καλοκαίρι,গ্রীষ্মকাল
526,Herbst::N,φθινόπωρο,শরংঋতু
527,Winter::N,χειμώνας,শীতকাল
528,Januar::N,Ιανουάριος,জানুয়ারী
529,Februar::N,Φεβρουάριος,ফেব্রুয়ারী
530,März::N,Μάρτιος,মার্চ
531,April::N,Απρίλιος,এপ্রিল
532,Mai::N,Μάιος,মে
533,Juni::N,Ιούνιος,জুন
534,Juli::N,Ιούλιος,জুলাই
535,August::N,Αύγουστος,অগাস্ট
536,September::N,Σεπτέμβριος,সেপ্টেম্বর
537,Oktober::N,Οκτώβριος,অক্টোবর
538,November::N,Νοέμβριος,নভেম্বর
539,Dezember::N,Δεκέμβριος,ডিসেম্বর
540,Montag::N,Δευτέρα,সোমবার
541,Dienstag::N,Τρίτη,মঙ্গলবার
542,Mittwoch::N,Τετάρτη,বুধবার
543,Donnerstag::N,Πέμπτη,বৃহম্পতিবার
544,Freitag::N,Παρασκευή,শুক্রবার
545,Samstag::N,Σάββατο,শনিবার
546,Sonntag::N,Κυριακή,রবিবার
547,groß::A,μεγάλος,বৃহৎ
548,klein::A,μικρός,ছোট
549,lang::A,μακρύς,দীর্ঘ
550,kurz::A,κοντός,খর্ব
551,kurz::A,κοντός,হ্রস্ব
552,breit::A,φαρδύς,চওড়া
553,schmal::A,στενός,সরু
554,dicht::A,πυκνός,ঘন
555,dick[Gegenstand]::A,παχύς,পুরু
556,dick[Gegenstand]::A,χοντρός,পুরু
557,dünn::A,ψιλός,কৃশ
558,dünn::A,λεπτός,কৃশ
559,fein::A,ψιλός,সূক্ষ্ম
560,fest::A,στερεός,দৃঢ়
561,flach::A,επίπεδος,সমতল
562,glatt::A,λείος,মসৃণ
563,glatt::A,ομαλός,মসৃণ
564,hart::A,σκληρός,শক্ত
565,weich::A,μαλακός,নরম
566,rund::A,στρογγυλός,গোলাকার
567,spitz::A,μυτερός,তীক্ষ্ন
568,scharf::A,κοφτερός,শাণিত
569,stumpf::A,αμβλύς,ভোঁতা
570,schwer::A,βαρύς,ভারী
571,schön::A,ωραίος,সুন্দর
572,schön::A,όμορφος,সুন্দর
573,heiß::A,ζεστός,গরম
574,warm::A,θερμός,ঈষদুষ্ণ
575,kalt::A,κρύος,ঠাণ্ডা
576,kalt::A,ψυχρός,ঠাণ্ডা
577,kühl::A,δροσερός,শীতল
578,frisch::A,νωπός,তাজা
579,frisch::A,φρέσκος,তাজা
580,feucht::A,υγρός,ভিজা
581,nass::A,βρεγμένος,ভিজা
582,trocken::A,ξηρός,শুষ্ক
583,trocken::A,στεγνός,শুষ্ক
584,voll::A,γεμάτος,পূর্ণ
585,leer::A,άδειος,খালি
586,offen::A,ανοιχτός,খোলা
587,geschlossen::A,κλειστός,বন্ধ
588,sauber::A,καθαρός,নির্মল
589,schmutzig::A,βρώμικος,নোংরা
590,schmutzig::A,λερωμένος,নোংরা
591,roh::A,ωμός,কাঁচা
592,reif::A,ώριμος,পাকা
593,lecker::A,νόστιμος,সুস্বাদ
594,süß::A,γλυκός,মিষ্ট
595,bitter::A,πικρός,তিক্ত
596,sauer::A,ξινός,টক
597,hell::A,φωτεινός,উজ্জ্বল
598,dunkel::A,σκοτεινός,অন্ধকারময়
599,schwarz::A,μαύρος,কালো
600,schwarz::A,μελανός,কালো
601,weiß::A,άσπρος,সাদা
602,rot::A,κόκκινος,লাল
603,gelb::A,κίτρινος,হলদে
604,blau::A,μπλε,নীল
605,blau::A,γαλανός,নীল
606,grün::A,πράσινος,সবুজ
607,grau::A,γκρίζος,ছাই-রঙা
608,bunt::A,ποικιλόχρωπος,রঙিন
609,billig::A,φτηνός,সস্তা
610,teuer::A,ακριβός,আক্রা
611,wertvoll::A,πολύτιμος,মহার্ঘ
612,blind::A,τυφλός,কানা
613,taub::A,κουφός,বধির
614,kräftig::A,δυνατός,বিশাল
615,stark::A,γερός,শক্তিশালী
616,schwach::A,αδύνατος,দুর্বল
617,fett::A,παχύς,মোটা
618,schlank::A,λεπτός,কৃশ
619,schlank::A,λυγερός,কৃশ
620,hübsch::A,όμορφος,সুন্দর
621,hübsch::A,χαριτωμένος,সুন্দর
622,böse::A,κακός,খারাপ
623,dumm::A,κουτός,মূর্খ
624,dumm::A,ανόητος,মূর্খ
625,faul::A,τεμπέλης,শ্রমবিমুখ
626,fleißig::A,εργατικός,পরিশ্রমী
627,geizig::A,τσιγγούνης,ব্যয়কুণ্ঠ
628,klug::A,έξυπνος,দক্ষ
629,geschickt::A,επιδέξιος,পটু
630,lieb::A,φίλος,প্রেয়
631,lieb::A,αγαπητός,প্রেয়
632,lustig::A,εύθυμος,প্রফুল্ল
633,lustig::A,χαρούμενος,প্রফুল্ল
634,sanft::A,ήπιος,নম্র
635,hungrig::A,πεινασμένος,ক্ষুধার্ত
636,krank::A,άρρωστος,অসুস্থ
637,nackt::A,γυμνός,উলঙ্গ
638,traurig::A,λυπημένος,দুঃখিত
639,lebendig::A,ζωντανός,জীবিত
640,gut::A,καλός,ভালো
641,schlecht::A,κακός,মন্দ
642,richtig::A,σωστός,ঠিক
643,schlimm::A,άσχημος,কদর্য
644,wahr::A,αληθής,বাস্তব
645,wahr::A,αληθινός,বাস্তব
646,alt::A,παλιός,পুরাতন
647,neu::A,νέος,নব
648,neu::A,νέος,নূতন
649,neu::A,καινούργιος,নব
650,neu::A,καινούργιος,নূতন
