,Concept_ID,te,ca
83,Wolke::N,మేఘము,núvol
84,Regen::N,వాన,pluja
85,Schnee::N,హిమము,neu
86,Eis::N,మంచుగడ్డ,gel
87,Eis::N,మంచుగడ్డ,glaç
88,Frost::N,పేరిన మంచు,glaçada
89,Kälte::N,చలి,fred
90,Hitze::N,వేడిమి,calor
91,Raureif::N,మంచు,gebre
92,Regenbogen::N,ఇంద్రధనుస్సు,arc iris
93,Donner::N,ఉరుము,tro
94,Strömung::N,ప్రవాహము,corrent
95,Tropfen::N,చుక్క,gota
96,Schaum::N,నురుగు,escuma
97,Schmutz::N,మైల,brutícia
98,See::N,సరస్సు,llac
99,Sumpf::N,చిత్తడినేల,pantà
100,Moor::N,చిత్తడినేల,pantà
101,Wiese::N,పచ్చిక బయలు,prat
102,Wiese::N,పచ్చిక బయలు,prada
103,Wald::N,అడవి,bosc
104,Hügel::N,చివ్నకొండ,puig
105,Hügel::N,చివ్నకొండ,pujol
106,Anhöhe::N,కొండ,turó
107,Berg::N,పర్వతము,muntanya
108,Gipfel::N,శిఖరము,cim
109,Höhle::N,గుహ,cova
110,Abhang::N,ఏటవాలు,coster
111,Quelle::N,మూలము,font
112,Bach::N,కాలువ,riera
113,Fluss::N,నది,riu
114,Ufer::N,తీరము,riba
115,Küste::N,తీరము,costa
116,Festland::N,భూమి,terra ferma
117,Meer::N,సముద్రము,mar
118,Bucht::N,మరుగు,cala
119,Bucht::N,మరుగు,badia
120,Insel::N,దీవి,illa
121,Blume::N,పుష్పము,flor
122,Gras::N,పచ్చగడ్డి,herba
123,Wurzel::N,వేరు,rel
124,Wurzel::N,వేరు,arrel
125,Baum::N,చెట్టు,arbre
126,Stamm::N,చెట్టుబోదె,tronc
127,Rinde::N,చెట్టుపట్ట,escorça
128,Ast::N,కొమ్మ,branca
129,Zweig::N,చివుకు,ram
130,Blatt::N,ఆకు,fulla
131,Birke::N,తరహా చెట్టు,bedoll
132,Kiefer[Baum]::N,దేవదారు చెట్టు,pi
133,Weide[Baum]::N,జాతిచెట్టు,salze
134,Tanne::N,దేవదారుచెట్టు,avet
135,Horn::N,కొమ్ము,corn
136,Horn::N,కొమ్ము,banya
137,Feder::N,ఈక,ploma
138,Fell::N,తోలు,pell
139,Flügel::N,ఱెక్క,ala
140,Klaue::N,వంకరగోరు,urpa
141,Kralle::N,వంకరగోరు,grapa
142,Schwanz::N,తోక,cua
143,Ei::N,గ్రుడ్డు,ou
144,Nest::N,పక్షిగూడు,niu
145,Bau::N,గుహ,cau
146,Tier::N,జంతువు,animāl
147,Herde::N,మంద,ramat
148,Kuh::N,ఆవు,vaca
149,Bulle::N,గిత్త,toro
150,Pferd::N,గుఱ్ఱము,cavāll
151,Schaf::N,గొఱ్ఱె,be
152,Schaf::N,గొఱ్ఱె,ovella
153,Schwein::N,పంది,bacó
154,Hund::N,కుక్క,ca
155,Hund::N,కుక్క,gos
156,Katze::N,పిల్లి,gat
157,Bär::N,ఎలుగుబంటి,ós
158,Eichhörnchen::N,ఉడుత,esquirol
159,Elch::N,కణంజు,ant
160,Fuchs::N,గుంటనక్క,guilla
161,Hase::N,కుందేలు,llebre
162,Maus::N,చిట్టెలుక,ratolí
163,Wolf::N,తోడేలు,llop
164,Vogel::N,పక్షి,au
165,Vogel::N,పక్షి,ocēll
166,Schwarm::N,గుంపు,bandada
167,Huhn::N,కోడిపిల్ల,gallina
168,Hahn::N,కోడివుంజు,gall
169,Gans::N,ఆడుబాతు,oca
170,Adler::N,గ్రద్ద,àguila
171,Ente::N,పాట్టిబాతు,ànec
172,Eule::N,గ్రుడ్లగూబ,òliba
173,Eule::N,గ్రుడ్లగూబ,mussol
174,Kranich::N,కొంగ,grua
175,Krähe::N,కాకి,cornella
176,Kuckuck::N,కోయల,cucut
177,Schwan::N,హంస,cigne
178,Fisch::N,చేప,peix
179,Barsch::N,ఒకచేఁప,perca
180,Hecht::N,గండుమీను,lluç
181,Schlange[Tier]::N,పాము,serp
182,Wurm::N,పురుగు,cuc
183,Spinne::N,సాలె పురుగు,aranya
184,Ameise::N,చీమ,formiga
185,Laus::N,పేను,poll
186,Mücke::N,చీకటీగ,mosquit
187,Fliege::N,ఈగ,mosca
188,Schmetterling::N,సీతాకోకచిలుక,papallona
189,Beere::N,కాయ,baia
190,Apfel::N,ఆపిల్ పండు,poma
191,Pilz::N,కుక్కగొడుగు,bolet
192,Zwiebel::N,నీరుల్లి,ceba
193,Saat::N,విత్తనము,sembra
194,Korn::N,గింజ,gra
195,Heu::N,ఎండుగడ్డి,fenc
196,Schale::N,పొట్టు,closca
197,Grube::N,గొయ్యి,sot
198,Grube::N,గొయ్యి,clot
199,Falle::N,బోను,trampa
200,Schlinge::N,ఉరి,baga
201,Spur::N,జాడ,traça
202,Asche::N,బూడిద,cendra
203,Dreck::N,ముఱికి,llot
204,Eisen::N,ఇనుము,ferro
205,Gold::N,బంగారము,or
206,Silber::N,వెండి,plata
207,Kohle::N,నేలబొగ్గు,carbó
208,Glas::N,గాజు,vidre
209,Lehm::N,బంకమన్ను,fang
210,Lehm::N,బంకమన్ను,argila
211,Sand::N,ఇసుక,arena
212,Mensch::N,నరుడు,humà
213,Mensch::N,నరుడు,persona
214,Mann::N,పురుమడు,home
215,Frau::N,ఆడుది,dona
216,Kind::N,బిడ్డ,nen
217,Junge::N,బాలుడు,noi
218,Mädchen::N,బాలిక,noia
219,Familie::N,కుటుంబము,família
220,Großvater::N,తాత,avi
221,Großmutter::N,అయ్యమ్మ,àvia
222,Eltern::N,తల్లితండ్రులు,pares
223,Vater::N,తండ్రి,pare
224,Mutter::N,తల్లి,mare
225,Sohn::N,కొడుకు,fill
226,Tochter::N,కూతురు,filla
227,Bruder::N,పోదరుడు,germà
228,Schwester::N,సోదరి,germana
229,Onkel::N,మేనమామ,oncle
230,Tante::N,మేనత్త,tia
231,Tante::N,పినతల్లి,tia
232,Ehemann::N,భర్త,espòs
233,Ehefrau::N,భార్య,muller
234,Freude::N,సంతోషము,goig
235,Freude::N,సంతోషము,alegria
236,Gelächter::N,నవ్వు,riallada
237,Glück::N,సంతోషము,felicitat
238,Kummer::N,దుఃఖము,pena
239,Wunsch::N,కోరిక,desig
240,Lust::N,కోరిక,ganes
241,Geist::N,ఆత్మ,ment
242,Geist::N,ఆత్మ,esperit
243,Gedanke::N,ఆలోచన,pensament
244,Gedächtnis::N,జ్ఞాపకము,memòria
245,Verstand::N,మనస్సు,raó
246,Verstand::N,మనస్సు,seny
247,Sinn::N,అర్థము,solta
248,Sinn::N,అర్థము,sentit
249,Grund::N,కారణము,raó
250,Grund::N,కారణము,causa
251,Wahrheit::N,సత్యము,veritāt
252,Gespräch::N,పంభాషణ,conversa
253,Märchen::N,అద్భుతకథ,conte
254,Erzählung::N,కథ,narració
255,Nachricht::N,వార్త,missatge
256,Neuigkeit::N,వార్త,novetat
257,Name::N,పేరు,nom
258,Rätsel::N,చిక్కు,endevinalla
259,Rede::N,ఉపన్యాసము,discurs
260,Sprache::N,భాష,llēngua
261,Stimme::N,కంరథ్సని,veu
262,Wort::N,మాట,mot
263,Wort::N,మాట,paraula
264,Zeichen::N,గుర్తు,signe
265,Zeichen::N,గుర్తు,senyal
266,Ruf::N,పిలువు,crida
267,Lärm::N,సందడి,sorōll
268,Laut::N,ధ్వని,so
269,Ton::N,స్వరము,to
270,Lied::N,పాట,cançó
271,Ruhe::N,గాలిలేమి,calma
272,Ruhe::N,గాలిలేమి,silenci
273,Leute::N,జనులు,gent
274,Volk::N,జాతి,poble
275,Arbeit::N,పని,labor
276,Arbeit::N,పని,treball
277,Gast::N,అతిధి,hoste
278,Geschenk::N,దానము,regal
279,Geschenk::N,దానము,obsequi
280,Spiel::N,ఆట,joc
281,Gesellschaft::N,జట్టు,companyia
282,Hilfe::N,సాహాయ్యము,ajut
283,Freund::N,స్నేహితుడు,amīc
284,Kamerad::N,చెలికాడు,company
285,Kamerad::N,చెలికాడు,camarada
286,Angelegenheit::N,విషయము,afer
287,Angelegenheit::N,విషయము,assumpte
288,Anzahl::N,లెక్క,nombre
289,Anzahl::N,లెక్క,quantitat
290,Art::N,జాతి,tipus
291,Art::N,జాతి,classe
292,Stück::N,తునుక,peça
293,Teil::N,భాగము,part
294,Hälfte::N,సగము,meitat
295,Kreis::N,వృత్తము,cercle
296,Kreuz::N,సిలువ,creu
297,Linie::N,గీత,línia
298,Strich::N,గీత,traç
299,Strich::N,గీత,ratlla
300,Abstand::N,సందు,distància
301,Entfernung::N,దూరము,distància
302,Gegend::N,విస్తీర్ణము,regió
303,Gegend::N,విస్తీర్ణము,contrada
304,Platz::N,ఎడము,cabuda
305,Ort::N,స్థలము,lloc
306,Seite::N,ప్రక్క,banda
307,Seite::N,ప్రక్క,costāt
308,Mitte::N,నడిమి,mig
309,Mitte::N,నడిమి,centre
310,Gegenstand::N,పద్దు,objecte
311,Sache::N,వస్తువు,cosa
312,Rand::N,అంచు,vora
313,Rand::N,అంచు,marge
314,Kante::N,అంచు,caire
315,Kante::N,అంచు,cantell
316,Ecke::N,మూల,cantonada
317,Spitze::N,మొన,punta
318,Ende::N,కొన,cap
319,Loch::N,రంధ్రము,forāt
320,Winkel::N,కోణము,racó
321,Muster::N,మాదిరి,dibuix
322,Muster::N,మాదిరి,disseny
323,Größe::N,పరిమాణము,grandària
324,Länge::N,పొడుగు,longitud
325,Höhe::N,పొడుగు,altura
326,Höhe::N,పొడుగు,altitud
327,Gewicht::N,భారము,pes
328,Menge::N,మొత్తము,quantitat
329,Haufen::N,రాశి,pila
330,Reihe::N,వరుస,fila
331,Boot::N,పడవ,bot
332,Boot::N,పడవ,barca
333,Ruder::N,అడక,rem
334,Schlitten::N,సరవండ్లు,trineu
335,Ski::N,స్కీ,esquí
336,Lagerfeuer::N,నెగడు,foc de campament
337,Last::N,బరువు,càrrega
338,Gang::N,నడక,marxa
339,Schritt::N,అడుగు,pas
340,Norden::N,ఉత్తరదిక్కు,nord
341,Süden::N,దక్షిణము,sud
342,Westen::N,పడమర,oest
343,Westen::N,పడమర,occident
344,Osten::N,తూర్పు,est
345,Osten::N,తూర్పు,orient
346,Holz::N,కొయ్య,fusta
347,Brett::N,పలక,taula
348,Platte::N,పలక,placa
349,Stütze::N,వాల్సేడ్లు,suport
350,Stange::N,స్తంభము,vara
351,Stock::N,కఱ్ఱ,pal
352,Stab::N,కఱ్ఱ,bastó
353,Rohr::N,గొట్టము,tub
354,Haus::N,ఇల్లు,casa
355,Heim::N,స్వగృహము,llar
356,Ofen::N,పొయ్యి,estufa
357,Fußboden::N,నేల,terra
358,Tisch::N,మేజా,taula
359,Stuhl::N,కుర్చీ,cadira
360,Wiege::N,ఉయ్యాల,bressol
361,Bett::N,పడక,llit
362,Bett::N,మంచం,llit
363,Regal::N,అటక,prestatgeria
364,Kiste::N,వెట్టె,caixa
365,Fenster::N,కిటికి,finestra
366,Tür::N,ద్వారము,porta
367,Tor::N,ద్వారము,portal
368,Zaun::N,కంచె,tanca
369,Dach::N,ఇంటివైకప్పు,teulada
370,Leiter::N,నిచ్చెన,escala
371,Leiter::N,నిచ్చెన,escala de mà
372,Besen::N,చీపురుకట్ట,escombra
373,Spaten::N,పాఱ,pala
374,Schaufel::N,పాఱ,pala
375,Gabel::N,ముండ్లగరిటె,forquilla
376,Löffel::N,గరిటె,cullera
377,Messer::N,కత్తి,coltell
378,Nagel::N,మేకు,clau
379,Netz::N,వల,filat
380,Haken::N,కొక్కెము,ganxo
381,Griff::N,పిడి,puny
382,Griff::N,పిడి,mànec
383,Schloss::N,తాళము,pany
384,Bild::N,చిత్రము,imatge
385,Figur::N,రూపము,figura
386,Puppe::N,బొమ్మ,nina
387,Beutel::N,సంచి,bossa
388,Bündel::N,మూట,feix
389,Bündel::N,మూట,paquet
390,Tasche::N,సంచి,bossa
391,Eimer::N,చేద,galleda
392,Deckel::N,మూత,tapa
393,Deckel::N,మూత,tapadora
394,Geschirr::N,వంటకాలు,vaixella
395,Sack::N,గోనెసంచి,sac
396,Sack::N,గోనెసంచి,saca
397,Tasse::N,గిన్నె,tassa
398,Topf::N,కుండ,pot
399,Topf::N,కుండ,olla
400,Kessel::N,నీరుకాచుపాత్ర,caldera
401,Essen::N,ఆహారము,àpat
402,Essen::N,ఆహారము,menjada
403,Nahrung::N,ఆహారము,aliment
404,Speise::N,ఆహారము,plat
405,Fleisch::N,మాంసము,carn
406,Getreide::N,ధాన్యము,cereals
407,Brei::N,గుజ్జు,puré
408,Brot::N,రొట్టె,pa
409,Scheibe::N,బద్ద,tall
410,Scheibe::N,బద్ద,llesca
411,Fett::N,క్రొవ్వు,greix
412,Butter::N,వెన్న,mantega
413,Öl::N,నూనె,oli
414,Salz::N,ఉప్పు,sal
415,Suppe::N,చారు,sopa
416,Honig::N,తెనె,mel
417,Milch::N,పాలు,llet
418,Tee::N,తేనీరు,te
419,Leder::N,బాగుచేసివతోలు,cuir
420,Wolle::N,ఉన్ని,llana
421,Stoff::N,బట్ట,tela
422,Nadel::N,సూది,agulla
423,Faden::N,దారము,fil
424,Knopf::N,బొత్తాము,botó
425,Knoten::N,ముడి,nus
426,Farbe::N,రంగు,pintura
427,Kleidung::N,బట్టలు,roba
428,Kleidung::N,బట్టలు,vestits
429,Hemd::N,చొక్కాయ,camisa
430,Kragen::N,మాల,coll
431,Ärmel::N,చొక్కాయచెయ్యి,màniga
432,Hose::N,ఇజారు,pantalōns
433,Gürtel::N,పటకా,cinturó
434,Mütze::N,టోపి,gorra
435,Schuh::N,పాదరక్ష,sabata
436,Stiefel::N,బూటు,bota
437,Ring::N,ఉంగరము,anell
438,Band::N,నాడా,veta
439,Band::N,నాడా,cinta
440,Kamm::N,దువ్వెన,pinta
441,Spiegel::N,అద్దము,mirāll
442,Riemen::N,వాడా,corretja
443,Schnur::N,దారము,corda
444,Leine::N,వారు,corretja
445,Decke::N,కంబళి,manta
446,Decke::N,కంబళి,flassada
447,Kissen::N,తలగడ,coixí
448,Tuch::N,బట్ట,mocador
449,Handtuch::N,తువాలు,tovallola
450,Kraft::N,బలము,força
451,Stärke::N,శక్తి,vigor
452,Gesundheit::N,ఆరోగ్యము,salut
453,Krankheit::N,రోగము,malaltia
454,Schmerz::N,నొప్పి,dolor
455,Wunde::N,గాయము,ferida
456,Fieber::N,జ్వరము,febre
457,Arznei::N,మందు,medicament
458,Brücke::N,వంతెన,pont
459,Brunnen::N,బావి,pou
460,Brunnen::N,కూపము,pou
461,Brunnen::N,నుయ్యి,pou
462,Weide::N,పచ్చికబయలు,pastura
463,Pfad::N,కాలిత్రోవ,senda
464,Pfad::N,కాలిత్రోవ,sender
465,Weg::N,మార్గము,camí
466,Straße::N,బాట,carretera
467,Dorf::N,గ్రామము,poble
468,Stadt::N,పట్టణము,ciutāt
469,Brief::N,జాబు,carta
470,Buch::N,పుస్తకము,llibre
471,Buchstabe::N,అక్షరము,lletra
472,Zeitung::N,వార్తాపత్రిక,diāri
473,Leben::N,ప్రాణము,vida
474,Tod::N,మరణము,mort
475,Grab::N,సమాధి,tomba
476,Kirche::N,క్రెస్తవులగుడి,església
477,Sünde::N,పాపము,pecat
478,Gott::N,దేవుడు,déu
479,Arbeiter::N,పనిపాటుచేశేవాడు,obrer
480,Chef::N,యజమానుడు,cap
481,Meister::N,కళాకారుడు,mestre
482,Arzt::N,వైద్యుడు,metge
483,Lehrer::N,ఉపాధ్యాయుడు,mestre
484,Geld::N,ద్రవ్యము,dinērs
485,Geschäft::N,వ్యాపారము,negoci
486,Laden::N,అంగడి,tenda
487,Laden::N,అంగడి,botiga
488,Preis::N,వెల,preu
489,Ware::N,సరకులు,mercaderia
490,Nutzen::N,ప్రయోజనము,profit
491,Reichtum::N,ధనము,riquesa
492,Welt::N,ప్రపంచము,món
493,Land::N,దేశము,país
494,Staat::N,రాజ్యము,estat
495,König::N,రాజు,rei
496,Macht::N,అధికారము,poder
497,Macht::N,అధికారము,potència
498,Grenze::N,సరిహద్దు,frontera
499,Krieg::N,యుద్ధము,guerra
500,Feind::N,శత్రువు,enemic
501,Gewalt::N,దౌర్జన్యము,violència
502,Kampf::N,పోట్లాట,lluita
503,Bogen[Waffe]::N,విల్లు,arc
504,Pfeil::N,బాణము,fletxa
505,Gewehr::N,తుపాకి,fusell
506,Gewehr::N,తుపాకి,escopeta
507,Fehler::N,తప్ప,falta
508,Lüge::N,అసత్యము,mentida
509,Schaden::N,నష్టము,dany
510,Unglück::N,దురదృష్టము,desgràcia
511,Schuld::N,తప్పు,culpa
512,Alter::N,వయస్సు,edat
513,Schluss::N,ముగింపు,fi
514,Schluss::N,ముగింపు,final
515,Zeit::N,కాలము,temps
516,Tag::N,దినము,dia
517,Morgen::N,ఉదయము,matí
518,Mittag::N,మధ్యాహ్నము,migdia
519,Abend::N,సాయంకాలము,vespre
520,Nacht::N,రత్రి,nit
521,Woche::N,వారము,setmana
522,Monat::N,నెల,mes
523,Jahr::N,సంవత్సరము,any
524,Frühling::N,వసంతకాలము,primavera
525,Sommer::N,వేసవికాము,estīu
526,Herbst::N,ఆకురాలుకాలము,tardor
527,Winter::N,శీతకాలము,hivērn
528,Januar::N,జనవరి,gener
529,Februar::N,ఫిబ్రవరి,febrer
530,März::N,మార్చి,març
531,April::N,ఏప్రిలు,abril
532,Mai::N,మే,maig
533,Juni::N,జూన్,juny
534,Juli::N,జూలై,juliol
535,August::N,ఆగస్టు,agost
536,September::N,సెప్ఠెంబరు,setembre
537,Oktober::N,అక్టోబరు,octubre
538,November::N,నవంబరు,novembre
539,Dezember::N,డిసెంబర్,desembre
540,Montag::N,సోమవారము,dilluns
541,Dienstag::N,మంగళవారము,dimarts
542,Mittwoch::N,బుధవారము,dimecres
543,Donnerstag::N,గురువారము,dijous
544,Freitag::N,శుక్రవారము,divendres
545,Samstag::N,శనివారము,dissabte
546,Sonntag::N,ఆదివారము,diumenge
547,groß::A,గొప్పైన,gros
548,klein::A,చిన్న,petīt
549,lang::A,పొడుగాటి,llarg
550,kurz::A,పొట్టి,curt
551,breit::A,వెడల్పైన,ample
552,schmal::A,ఇఱుకైన,estret
553,dicht::A,దట్టమైన,dens
554,dick[Gegenstand]::A,దట్టమైన,gruixūt
555,dünn::A,పలుచని,prim
556,fein::A,నాజాకైన,fi
557,fest::A,దృడమైవ,ferm
558,fest::A,దృడమైవ,sòlid
559,flach::A,చదువైన,pla
560,glatt::A,నున్నని,llis
561,hart::A,కఠినమైన,dur
562,weich::A,మృదువైన,tou
563,rund::A,గుండ్రని,rodó
564,spitz::A,మొనగల,punxegut
565,scharf::A,పదనైన,agut
566,stumpf::A,వాడిలేని,rom
567,stumpf::A,వాడిలేని,esmussat
568,schwer::A,బరువ్తెన,pesāt
569,schön::A,సుందరమైన,bonīc
570,heiß::A,వేడియైన,calēnt
571,warm::A,వెచ్చని,càlid
572,kalt::A,చల్లని,fred
573,kühl::A,చల్లని,fresc
574,frisch::A,తాజాయైన,fresc
575,feucht::A,చెమ్మగానున్న,humit
576,nass::A,తడిగామన్న,mullat
577,trocken::A,ఎండిన,sec
578,voll::A,నిండు,ple
579,leer::A,శూన్యమైన,buit
580,offen::A,తెఱచియున్న,obert
581,geschlossen::A,మూసిన,tancat
582,sauber::A,పరిశుద్ధమైన,net
583,schmutzig::A,ముఱికియైన,brut
584,roh::A,పచ్చి,cru
585,reif::A,పండివ,madur
586,lecker::A,రుచి గల,deliciós
587,süß::A,తియ్యని,dolç
588,bitter::A,చేదైన,amarg
589,sauer::A,పుల్లని,agre
590,hell::A,కాంతిగల,clar
591,dunkel::A,చీకటియైన,fosc
592,schwarz::A,నల్లని,negre
593,weiß::A,తెలుపు,blanc
594,rot::A,ఎఱ్ఱని,vermēll
595,gelb::A,పసుపు పచ్చ,groc
596,blau::A,నీలవర్ణము,blau
597,grün::A,ఆకుపచ్చని,verd
598,grau::A,నెరిసిన,gris
599,bunt::A,రంగేలీ,multicolor
600,billig::A,చౌకయైన,barat
601,teuer::A,వెలపొడుగైన,car
602,wertvoll::A,విలుప్తెన,preciós
603,blind::A,గ్రుడ్డి,cec
604,taub::A,చెవిటి,sord
605,kräftig::A,శక్తి గల,fort
606,kräftig::A,శక్తి గల,vigorós
607,stark::A,బలమైన,fort
608,schwach::A,బలహీనమైన,feble
609,fett::A,క్రొవ్విన,gras
610,schlank::A,సన్నని,esvelt
611,hübsch::A,సాగప్తెన,maco
612,böse::A,చెడ్డ,dolent
613,dumm::A,తెలివిలేని,ximple
614,dumm::A,తెలివిలేని,estúpid
615,faul::A,సోమరియైన,gandūl
616,faul::A,సోమరియైన,mandrós
617,fleißig::A,శ్రద్దగల,diligēnt
618,geizig::A,పిసినారియైన,avar
619,klug::A,తెలివిగల,intel·ligent
620,geschickt::A,నిపుణతగల,hàbil
621,lieb::A,ప్రియమైన,amat
622,lieb::A,ప్రియమైన,estimat
623,lustig::A,ఉల్లాసము గల,alegre
624,sanft::A,సాధువైన,suau
625,hungrig::A,ఆకలిగొనిన,afamat
626,krank::A,వ్యాధిగల,malālt
627,nackt::A,దిగంబరమైన,nu
628,traurig::A,విచారముగల,trist
629,lebendig::A,ప్రాణముతో నున్న,viu
630,gut::A,మంచి,bo
631,schlecht::A,చెడ్డ,dolēnt
632,richtig::A,సరియైన,just
633,richtig::A,సరియైన,correcte
634,schlimm::A,అసహ్యమైన,greu
635,wahr::A,నిజమైన,vertader
636,wahr::A,నిజమైన,veritable
637,alt::A,ముసలి,vell
638,neu::A,క్రొత్త,nou
639,ehemalig::A,పూర్వపు,antic
640,alt[Lebewesen]::A,ముసలి,vell
641,jung::A,పసి,jove
642,arm::A,బీద,pobre
643,reich::A,ధనవంతుడైన,ric
644,bekannt::A,తెలిసిన,conegut
645,berühmt::A,ప్రపిద్దికెక్కివ,famós
646,fremd::A,అన్యమైన,estrany
647,verschieden::A,భేదమైన,diferent
648,nah::A,దగ్గఱనున్న,pròxim
649,fern::A,దూరమందున్న,llunyà
650,fern::A,దూరమందున్న,distant
651,linker::A,ఎడమప్రక్కగ,esquerre
652,rechter::A,కుడి,dret
653,anderer::A,వేఱ్తెన,altre
654,erster::A,మొదటి,primer
655,zweiter::A,రెండన,segon
656,dritter::A,మూడో,tercer
657,letzter::A,కడపటి,últim
658,allein::ADV,ఒంటిగా,sol
659,auf einmal::ADV,హరాత్తుగ,d'una vegada
660,zusammen::ADV,కలిసి,junt
661,lange::ADV,బహుకాలము,molt de temps
662,plötzlich::ADV,హరాత్తుగ,de cop
663,plötzlich::ADV,హరాత్తుగ,de sobte
664,sofort::ADV,తక్షణము,de seguida
665,später::ADV,ఇటీవలి,més tard
666,jetzt::ADV,ఇప్పుడు,ara
667,heute::ADV,నేడు,avūi
668,morgen::ADV,ఱేపు,demà
669,bald::ADV,శీఘ్రముగ,aviāt
670,dann::ADV,అప్పుడు,després
671,gestern::ADV,నిన్నటి దినము,ahir
672,einst::ADV,పూర్వమొకప్పుడు,anteriorment
673,damals::ADV,అప్పుడు,llavōrs
674,damals::ADV,అప్పుడు,aleshores
675,danach::ADV,అప్పుడు,després
676,vorher::ADV,ఎదుట,abāns
677,zuerst::ADV,మొదటిలో,primer
678,einmal::ADV,ఒకసారి,una vegada
679,manchmal::ADV,అప్పటప్పటికి,de vegades
680,oft::ADV,తఱచుగా,sovint
681,immer::ADV,ఎల్లప్పుడు,sempre
682,niemals::ADV,ఎప్పుడునులేదు,no ... mai
683,hier::ADV,ఇక్కడ,aquí
684,hierhin::ADV,ఇక్కడకు,per aquí
685,von hier::ADV,ఇక్కడనుండి,des d'aquí
686,dort::ADV,అక్కడ,allí
687,dorthin::ADV,అక్కడికి,hi
688,geradeaus::ADV,సూటిగా,tot dret
689,vorwärts::ADV,ముందుకు,endavānt
690,rückwärts::ADV,వెనుకకు,endarrera
691,zurück::ADV,వెనుకభాగము,darrere
692,unten::ADV,క్రింద,a baix
693,hinab::ADV,కిందికి,cap avall
694,oben::ADV,మీద,dalt
695,hinauf::ADV,పైకి,cap amunt
696,überall::ADV,అంతటా,pertot
697,überall::ADV,అంతటా,per tot arreu
698,nicht::ADV,కాదు,no
699,ein wenig::ADV,కొంచెము,una mica
700,kaum::ADV,చాలిచాలక,a penes
701,sehr::ADV,చాల,molt
702,so::ADV,ఆలాగున,així
703,noch::ADV,ఇప్పటికిని,encara
704,nur::ADV,మాత్రము,només
705,schon::ADV,ఇదివఱకే,ja
706,wieder::ADV,తిరిగి,de nou
707,vergebens::ADV,నిష్ఫలముగా,en va
708,vor::PRP,ముందు,davānt
709,vor::PRP,ముందు,enfront de
710,hinter::PRP,వెనుక,darrera
