,Concept_ID,kv,ja
251,Grund::N,мог,理由
252,Wahrheit::N,правда,真実
253,Gespräch::N,сёрни,会話
254,Märchen::N,сказка,童話
255,Erzählung::N,висьт,物語
256,Nachricht::N,юӧр,報告
257,Nachricht::N,висьталӧм,報告
258,Neuigkeit::N,новость,ニュース
259,Name::N,ним,名前
260,Rätsel::N,загадка,謎
261,Rede::N,сёрни,演説
262,Sprache::N,кыв,言語
263,Stimme::N,голос,声
264,Wort::N,кыв,言葉
265,Zeichen::N,пас,記号
266,Ruf::N,чуксӧм,呼び声
267,Ruf::N,чукӧстӧм,呼び声
268,Lärm::N,шум,騒音
269,Laut::N,шы,音
270,Ton::N,гор,音
271,Lied::N,сьыланкыв,歌
272,Ruhe::N,спокой,静けさ
273,Leute::N,йӧз,人々
274,Volk::N,йӧз,民族
275,Volk::N,народ,民族
276,Arbeit::N,удж,仕事
277,Gast::N,гӧсь,客
278,Geschenk::N,гӧснеч,贈り物
279,Geschenk::N,подарок,贈り物
280,Spiel::N,орсӧм,遊び
281,Gesellschaft::N,компания,社会
282,Hilfe::N,отсӧт,援助
283,Freund::N,модз,友達
284,Freund::N,дружок,友達
285,Kamerad::N,тӧдса,同志
286,Angelegenheit::N,дело,件
287,Anzahl::N,лыд,数
288,Art::N,пӧлӧс,種類
289,Stück::N,тор,部分
290,Teil::N,юкӧм,部分
291,Hälfte::N,джын,半分
292,Kreis::N,круг,円
293,Kreuz::N,перна,十字
294,Linie::N,визь,線
295,Strich::N,кырӧв,線
296,Abstand::N,колас,距離
297,Entfernung::N,ылына,距離
298,Gegend::N,места,辺
299,Gegend::N,места,地域
300,Platz::N,места,ゆとり
301,Ort::N,места,所
302,Ort::N,места,場所
303,Seite::N,ладор,横
304,Mitte::N,шӧр,真ん中
305,Gegenstand::N,тор,物件
306,Sache::N,тор,物
307,Rand::N,дор,端
308,Kante::N,ордлы,縁
309,Ecke::N,пельӧс,角
310,Spitze::N,йыв,先頭
311,Ende::N,йыв,端
312,Loch::N,осьта,穴
313,Winkel::N,пельӧс,片隅
314,Muster::N,сер,模様
315,Größe::N,ыжда,大きさ
316,Länge::N,кузя,長さ
317,Höhe::N,сувда,高さ
318,Höhe::N,вылына,高さ
319,Gewicht::N,сьӧкта,重さ
320,Haufen::N,куча,堆積
321,Reihe::N,лёдз,並び
322,Boot::N,пыж,ボート
323,Ruder::N,пелыс,オール
324,Schlitten::N,додь,そり
325,Ski::N,лямпа,スキー
326,Lagerfeuer::N,бипур,篝火
327,Last::N,тягота,荷物
328,Gang::N,мунӧм,歩み
329,Schritt::N,вожмӧв,歩
330,Norden::N,ой,北
331,Süden::N,лун,南
332,Westen::N,рытвыв,西
333,Osten::N,асыв,東
334,Holz::N,пу,木
335,Holz::N,пу,木材
336,Brett::N,пӧв,板
337,Platte::N,плита,盤
338,Stütze::N,пика,支柱
339,Stange::N,зор,棒
340,Stange::N,потш,棒
341,Stock::N,бедь,杖
342,Stab::N,шест,棒
343,Rohr::N,труба,管
344,Haus::N,керку,家
345,Heim::N,керку,家
346,Ofen::N,пӧжавны,ストーブ
347,Fußboden::N,джодж,床
348,Tisch::N,пызан,机
349,Stuhl::N,стул,椅子
350,Wiege::N,зыбка,揺籃
351,Bett::N,кровать,ベッド
352,Regal::N,джадж,棚
353,Kiste::N,ящик,箱
354,Fenster::N,ӧшын,窓
355,Tür::N,ыбӧс,戸
356,Tür::N,ыбӧс,ドア
357,Tor::N,ворота,門
358,Zaun::N,забор,垣根
359,Dach::N,крыша,屋根
360,Leiter::N,лиснич,梯子
361,Besen::N,рос,ほうき
362,Spaten::N,зыр,スコップ
363,Schaufel::N,зыр,シャベル
364,Gabel::N,вила,フォーク
365,Löffel::N,пань,スプーン
366,Messer::N,пурт,ナイフ
367,Nagel::N,кӧрттув,釘
368,Netz::N,кыйӧт,網
369,Haken::N,ем,鉤
370,Haken::N,ем,フック
371,Griff::N,пу,取っ手
372,Schloss::N,замок,錠
373,Bild::N,картина,絵
374,Figur::N,мыгӧр,像
375,Puppe::N,акань,人形
376,Beutel::N,мешӧк,袋
377,Bündel::N,нин,束
378,Bündel::N,нин,包み
379,Tasche::N,сумка,かばん
380,Eimer::N,ведра,バケツ
381,Deckel::N,вевт,蓋
382,Geschirr::N,доз,食器
383,Geschirr::N,бекӧрпань,食器
384,Sack::N,мешӧк,袋
385,Tasse::N,бекӧр,カップ
386,Topf::N,кастрюля,鍋
387,Kessel::N,пӧрт,釜
388,Essen::N,сёйӧм,食事
389,Nahrung::N,вердан,食物
390,Speise::N,сёян,料理
391,Fleisch::N,яй,肉
392,Getreide::N,сю,麦
393,Getreide::N,сю,穀物
394,Brei::N,каша,粥
395,Brot::N,нянь,パン
396,Scheibe::N,шӧрӧм,枚
397,Scheibe::N,шӧрӧм,切れ
398,Fett::N,гос,脂肪
399,Butter::N,ви,バター
400,Öl::N,ви,油
401,Salz::N,сов,塩
402,Suppe::N,шыд,スープ
403,Honig::N,ма,蜂蜜
404,Milch::N,йӧв,牛乳
405,Tee::N,чай,茶
406,Tee::N,чай,お茶
407,Leder::N,кучик,革
408,Wolle::N,гӧн,毛糸
409,Stoff::N,дӧра,布
410,Nadel::N,ем,針
411,Faden::N,сунис,糸
412,Knopf::N,кизь,ボタン
413,Knoten::N,узӧв,結び目
414,Knoten::N,гӧрӧд,結び目
415,Farbe::N,краска,ペンキ
416,Kleidung::N,паськӧм,衣服
417,Hemd::N,йӧрнӧс,シャツ
418,Kragen::N,воротник,襟
419,Ärmel::N,сос,袖
420,Hose::N,вешьян,ズボン
421,Gürtel::N,йи,帯
422,Gürtel::N,йи,ベルト
423,Mütze::N,шапка,帽子
424,Schuh::N,ботинки,靴
425,Stiefel::N,сапог,ブーツ
426,Ring::N,чунькытш,輪
427,Band::N,ленточка,リボン
428,Kamm::N,сынан,櫛
429,Spiegel::N,зеркало,鏡
430,Riemen::N,ремень,緒
431,Schnur::N,гез,紐
432,Leine::N,повод,綱
433,Decke::N,одеяло,掛け布団
434,Kissen::N,подушка,枕
435,Tuch::N,чышьян,スカーフ
436,Handtuch::N,чышкӧт,タオル
437,Kraft::N,прак,力
438,Stärke::N,вын,強さ
439,Gesundheit::N,здоровье,健康
440,Krankheit::N,шог,病気
441,Schmerz::N,зубыт,痛み
442,Wunde::N,рана,傷
443,Fieber::N,лёк тресся,熱
444,Fieber::N,кынтан шогӧт,熱
445,Arznei::N,лекарство,薬
446,Brücke::N,пос,橋
447,Brunnen::N,колодец ,井戸
448,Weide::N,пода йирсян,牧場
449,Pfad::N,туй,小路
450,Weg::N,туй,道
451,Straße::N,туй,街道
452,Dorf::N,деревня,村
453,Stadt::N,город,町
454,Stadt::N,город,都市
455,Brief::N,гижӧт,手紙
456,Buch::N,книга,本
457,Buchstabe::N,буква,文字
458,Zeitung::N,газета,新聞
459,Leben::N,олан,生活
460,Tod::N,кулӧм,死
461,Grab::N,гу,墓
462,Kirche::N,вичку,教会
463,Sünde::N,грек,罪
464,Gott::N,ен,神
465,Arbeiter::N,уджалiсь,労働者
466,Chef::N,начальник,上司
467,Meister::N,мастер,達人
468,Meister::N,мастер,マイスター
469,Arzt::N,врач,医者
470,Lehrer::N,велӧтісь,先生
471,Geld::N,деньга,金
472,Geschäft::N,удж,取り引き
473,Laden::N,магазин,店
474,Preis::N,дон,値段
475,Ware::N,товар,商品
476,Nutzen::N,путь,利益
477,Reichtum::N,богатство,豊かさ
478,Welt::N,му,世界
479,Land::N,страна,国
480,Staat::N,государство,国家
481,König::N,кан,国王
482,Macht::N,власть,権力
483,Grenze::N,граница,国境
484,Krieg::N,война,戦争
485,Feind::N,враг,敵
486,Kampf::N,нярасьӧм,戦い
487,Kampf::N,вермасьӧм,戦い
488,Bogen[Waffe]::N,лук,弓
489,Pfeil::N,ньӧв,矢
490,Gewehr::N,ружьё,銃
491,Fehler::N,ошибка,間違い
492,Lüge::N,ылӧтӧм,嘘
493,Lüge::N,пӧрьялӧм,嘘
494,Schaden::N,лёк,損害
495,Unglück::N,пик,不幸
496,Unglück::N,оказзё,不幸
497,Schuld::N,вина,罪
498,Schluss::N,ком,終わり
499,Zeit::N,кад,時
500,Zeit::N,кад,時間
501,Tag::N,лун,日
502,Morgen::N,асыв,朝
503,Mittag::N,луншӧр кад,昼
504,Abend::N,рыт,晩
505,Abend::N,рыт,夕方
506,Nacht::N,ой,夜
507,Woche::N,неделя,週
508,Monat::N,тӧлicь,月
509,Jahr::N,год,年
510,Frühling::N,тулыс,春
511,Sommer::N,гожум,夏
512,Herbst::N,ар,秋
513,Winter::N,тӧв,冬
514,Januar::N,январ,一月
515,Februar::N,февраль,二月
516,März::N,март,三月
517,April::N,апрель,四月
518,Mai::N,май,五月
519,Juni::N,юнь,六月
520,Juli::N,юль,七月
521,August::N,август,八月
522,September::N,сентяб,九月
523,Oktober::N,октяб,十月
524,November::N,нояб,十一月
525,Dezember::N,декаб,十二月
526,Montag::N,вильлун,月曜日
527,Dienstag::N,мӧдӧдзлун,火曜日
528,Mittwoch::N,шӧрлун,水曜日
529,Donnerstag::N,нёльӧдзлун,木曜日
530,Freitag::N,витӧдзлун,金曜日
531,Samstag::N,пывсянлун,土曜日
532,Sonntag::N,кресення,日曜日
533,groß::A,ыджыт,大きい
534,klein::A,учӧтик,小さい
535,lang::A,кузь,長い
536,kurz::A,дженыт,短い
537,breit::A,ота,広い
538,schmal::A,векнит,狭い
539,dicht::A,тшӧк,密な
540,dick[Gegenstand]::A,кыз,厚い
541,dünn::A,вӧснит,薄い
542,fein::A,вӧснит,細い
543,fest::A,крепыт,硬い
544,flach::A,лапкӧса,平らな
545,glatt::A,волькыт,滑らかな
546,hart::A,чӧрыт,堅い
547,weich::A,небыт,柔らかい
548,rund::A,гӧгрӧса,丸い
549,spitz::A,ёся,尖った
550,scharf::A,лэчыт,鋭い
551,stumpf::A,ныж,鈍い
552,schwer::A,сьӧкыт,重い
553,schön::A,басӧк,綺麗な
554,heiß::A,жар,熱い
555,warm::A,шоныт,温かい
556,kalt::A,кӧдзыт,寒い
557,kalt::A,кӧдзыт,冷たい
558,kühl::A,сайкыт,涼しい
559,frisch::A,виль,ひんやりした
560,feucht::A,вакодь,湿った
561,nass::A,ва,濡れた
562,trocken::A,кӧс,乾いた
563,voll::A,тыра,いっぱいの
564,leer::A,тыртӧм,空の
565,offen::A,оссьӧм,開いた
566,geschlossen::A,игана,閉まった
567,geschlossen::A,пӧдана,閉まった
568,sauber::A,сӧдз,清潔な
569,sauber::A,сӧстӧм,清潔な
570,schmutzig::A,нятьӧсь,汚い
571,roh::A,путӧм,生の
572,reif::A,кисьмалӧм,熟した
573,lecker::A,кӧра ,美味しい
574,süß::A,чӧскыт,甘い
575,bitter::A,курыт,苦い
576,sauer::A,шӧма ,酸っぱい
577,hell::A,югыт,明るい
578,dunkel::A,пемыт,暗い
579,schwarz::A,сьӧд,黒い
580,weiß::A,чочком,白い
581,rot::A,гӧрд,赤い
582,gelb::A,веж,黄色い
583,blau::A,лӧз,青い
584,grün::A,веж,緑の
585,grau::A,руд,灰色の
586,grau::A,бусӧй,灰色の
587,bunt::A,быдрӧма,色取り取りの
588,billig::A,донтӧм,安い
589,teuer::A,дона,高い
590,wertvoll::A,дона,貴重な
591,blind::A,синтӧм,盲目の
592,taub::A,пельтӧм,耳が聞こえない
593,kräftig::A,вына,強力な
594,stark::A,вына,強い
595,schwach::A,некодя,弱い
596,fett::A,госа,太った
597,schlank::A,статя,ほっそりした
598,hübsch::A,басӧк,素敵な
599,böse::A,лёк,悪い
600,dumm::A,бӧбӧв,馬鹿な
601,dumm::A,вежӧртӧм,馬鹿な
602,faul::A,дыш,怠惰な
603,fleißig::A,уджалicь,勤勉な
604,geizig::A,жикмӧра,けちな
605,geizig::A,горшаліcь,けちな
606,klug::A,авья,賢い
607,klug::A,авья,頭のいい
608,klug::A,вежӧра,賢い
609,klug::A,вежӧра,頭のいい
610,geschickt::A,кипода,器用な
611,lieb::A,муса,愛らしい
612,lieb::A,дзулиньӧй,愛らしい
613,lustig::A,гажа,楽しい
614,sanft::A,лебезнӧй,温和な
615,hungrig::A,тшыг,空腹の
616,krank::A,шогалiсь,病気の
617,nackt::A,куш,裸の
618,traurig::A,жугыль,悲しい
619,lebendig::A,ловья,生きた
620,gut::A,бур,良い
621,schlecht::A,умӧль,悪い
622,schlecht::A,умӧль,駄目な
623,schlimm::A,нештӧм,ひどい
624,alt::A,важ,古い
625,neu::A,виль,新しい
626,ehemalig::A,вӧвлӧм,以前の
627,alt[Lebewesen]::A,года,年を取った
628,alt[Lebewesen]::A,годдэза,年を取った
629,jung::A,том,若い
630,arm::A,гов,貧乏な
631,arm::A,беднӧй,貧乏な
632,reich::A,эма,裕福な
633,bekannt::A,тӧдса,有名な
634,fremd::A,чужӧй,見知らぬ
635,verschieden::A,быдкодь,色々な
636,nah::A,матiсь,近い
637,fern::A,ылicь,遠い
638,linker::A,шульга,左の
639,rechter::A,веськытланись,右の
640,anderer::A,мукӧд,別の
641,erster::A,медодзза,一番目
642,zweiter::A,кыкӧт,二番目
643,dritter::A,куимӧт,三番目
644,dritter::A,куимӧдз,三番目
645,letzter::A,бӧрья,最後の
646,letzter::A,мёдбӧрья,最後の
647,auf einmal::ADV,тшӧтш,同時に
648,zusammen::ADV,ӧтлаын,一緒に
649,lange::ADV,дыр,長い間
650,plötzlich::ADV,друг,急に
651,sofort::ADV,тшӧтш,すぐに
652,später::ADV,медбӧрын,後で
653,jetzt::ADV,ӧні,今
654,heute::ADV,талун,今日
655,morgen::ADV,ашын,明日
656,bald::ADV,чожа,間もなく
657,dann::ADV,сыбӧрын,それから
658,gestern::ADV,тӧн,昨日
659,einst::ADV,ӧтпыр,過去に
660,damals::ADV,сэк,あの時
661,damals::ADV,сэки,あの時
662,danach::ADV,сэсся,その後で
663,vorher::ADV,одзжык,以前に
664,zuerst::ADV,наперво,まず
665,zuerst::ADV,наперво,最初に
666,einmal::ADV,ӧтпыр,一回
667,manchmal::ADV,мукӧдпыр,時々
668,oft::ADV,-лы-,よく
669,immer::ADV,быдпыр,いつも
670,immer::ADV,быдпырся,いつも
671,niemals::ADV,некӧр,一度も...ない
672,hier::ADV,татӧн,こちら
673,hierhin::ADV,татчӧ,ここへ
674,hierhin::ADV,татчӧ,こちらへ
675,von hier::ADV,тасянь,ここから
676,dort::ADV,сэтӧн,そちら
677,dorthin::ADV,сэтчин,そこへ
678,dorthin::ADV,сэтчин,そちらへ
679,geradeaus::ADV,веськыта,真っ直ぐに
680,vorwärts::ADV,одзӧ,前へ
681,rückwärts::ADV,бӧр,後ろへ
682,zurück::ADV,бӧр,後ろへ
683,unten::ADV,увтын,下に
684,hinab::ADV,увтас,下へ
685,oben::ADV,вевдӧрас,上に
686,hinauf::ADV,вывлань,上へ
687,hinauf::ADV,вывланьӧ,上へ
688,überall::ADV,быдлан,どこでも
689,nicht::ADV,ог,ない
690,ein wenig::ADV,-ышт,少し
691,ein wenig::ADV,-ышт,ちょっと
692,ein wenig::ADV,невна,少し
693,ein wenig::ADV,невна,ちょっと
694,kaum::ADV,ӧдва,ほとんど～ない
695,sehr::ADV,вывтi,とても
696,so::ADV,сiдз,こう
697,noch::ADV,эшӧ,まだ
698,nur::ADV,только,～だけ
699,schon::ADV,ни,もう
700,wieder::ADV,бӧра,再び
701,vergebens::ADV,весись,無駄に
702,vor::PRP,одзас,前に
703,hinter::PRP,бӧрӧ,後ろに
704,unter::PRP,увтын,下に
705,durch::PRP,пыр,通して
706,neben::PRP,бокам,横に
707,neben::PRP,боксиным,横に
708,zwischen::PRP,коласас,間に
709,wegen::PRP,понда,為に
710,wegen::PRP,понда,せいで
711,dies::PRN,эта,これ
712,das::PRN,сiя,それ
713,alles::PRN,быдӧс,全部
714,ich::PRN,ме,私
715,du::PRN,тэ,あなた
716,er::PRN,сiя,彼
717,wir::PRN,мийӧ,私達
718,ihr::PRN,ті,あなた達
719,sie::PRN,нія,彼ら
720,was::FPRN,мый,何
721,wer::FPRN,кин,誰
722,wer::FPRN,кин,どなた
723,wo::FADV,кытӧн,どこ
724,wo::FADV,кытӧн,どこに
725,wohin::FADV,кытчӧ,どこへ
726,wie::FADV,дзик,どう
727,warum::FADV,мыля,何故
728,warum::FADV,мыля,どうして
729,warum::FADV,мыйсянь,何故
730,warum::FADV,мыйсянь,どうして
731,wieviel::FNUM,мымда,どのくらい
732,eins::NUM,ӧт,一
733,zwei::NUM,кык,二
734,zwei::NUM,кык,二つ
735,drei::NUM,куим,三
736,drei::NUM,куим,三つ
737,vier::NUM,нёль,四
738,vier::NUM,нёль,四つ
739,fünf::NUM,вит,五
740,fünf::NUM,вит,五つ
741,sechs::NUM,квать,六
742,sechs::NUM,квать,六つ
743,sieben::NUM,сизим,七
744,sieben::NUM,сизим,七つ
745,acht::NUM,кыкьямыс,八
746,acht::NUM,кыкьямыс,八つ
747,neun::NUM,ӧкмыс,九
748,neun::NUM,ӧкмыс,九つ
749,zehn::NUM,дас,十
750,elf::NUM,дасотік,十一
751,zwölf::NUM,даскык,十二
752,zwanzig::NUM,кыкдас,二十
753,dreißig::NUM,куимдас,三十
754,vierzig::NUM,нёльдас,四十
755,fünfzig::NUM,витдас,五十
756,sechzig::NUM,кватьдас,六十
757,siebzig::NUM,сизимдас,七十
758,achtzig::NUM,кыкьямысдас,八十
759,neunzig::NUM,ӧкмысдас,九十
760,hundert::NUM,сто,百
761,tausend::NUM,тысяча,千
762,und::CNJ,и,-と
763,und::CNJ,и,そして
764,und::CNJ,да,-と
765,und::CNJ,да,そして
766,oder::CNJ,или,或いは
767,stehen::V,сулавны,立っている
768,sitzen::V,пукавны,座っている
769,liegen::V,куйлыны,横になっている
770,hängen::V,ӧшавны,掛かっている
771,werden::V,лоны,なる
772,passieren::V,аркмыны,起こる
773,beginnen::V,петны,始まる
774,enden::V,-сь,終わる
775,enden::V,бырны,終わる
776,wechseln::V,вежсьыны,変わる
777,aufgehen[Sonne]::V,петавны,出る
778,untergehen[Sonne]::V,пуксьыны,沈む
779,scheinen[Sonne]::V,югьявны,輝く
780,donnern::V,гымавны,雷が鳴る
781,wehen::V,пӧлявны,吹く
782,strömen::V,киссьыны,流れる
783,fließen::V,визывтны,流れる
784,sich drehen::V,бергавны,回転する
785,schwanken::V,кӧвьясьны,揺れる
786,schwingen::V,дюттясьны,振動する
787,fallen::V,усьны,落ちる
788,brennen::V,сотчыны,燃える
789,rauchen::V,тшынасьны,煙を出す
790,regnen::V,зэрны,雨が降る
791,gefrieren::V,гегдыны,凍る
792,tauen::V,сывны,溶ける
793,schmelzen::V,сывны,溶ける
794,trocknen::V,косьмыны,乾く
795,sieden::V,пизьны,沸く
796,faulen::V,нёльзьыны,腐る
797,verfaulen::V,тӧрмыны,朽ちる
798,verfaulen::V,сiсьмыны,朽ちる
799,reißen::V,косясьны,切れる
800,versinken::V,вӧйны,沈む
801,vergehen::V,мунны,経つ
802,erscheinen::V,мыччисьны,現れる
803,verschwinden::V,ӧшны,消える
804,sinken::V,ямны,下がる
805,abnehmen::V,ямны,減る
806,zunehmen::V,паськавны,増える
807,steigen::V,лэбтiсьны,上がる
808,wachsen::V,быдмыны,伸びる
809,glänzen::V,свиттявны,輝く
810,funkeln::V,югйовтлыны,ぴかぴか光る
811,funkeln::V,югйӧв-керны,ぴかぴか光る
812,lärmen::V,чавзыны,騒ぐ
813,läuten::V,диньгыны,鳴る
814,klingeln::V,силькӧтны,鳴る
