,Concept_ID,lez,ba
66,Welle::N,лепе,тулҡын
67,Wasser::N,яд,һыу
68,Stein::N,къван,таш
69,Boden::N,накьв,тупраҡ
70,Erde::N,ччил,балсҡ
71,Staub::N,руг,туҙан
72,Rauch::N,гум,төтөн
73,Funke::N,цӏелхем,осҡон
74,Feuer::N,цӏай,ут
75,Licht::N,экв,яҡтылыҡ
76,Schatten::N,серин,күләгә
77,Wetter::N,гьава,һауа торошо
78,Nebel::N,ччилин циф,төман
79,Wolke::N,циф,болот
80,Regen::N,марф,ямғыр
81,Schnee::N,жив,ҡар
82,Eis::N,мурк,боҙ
83,Frost::N,аяз,һалҡын
84,Kälte::N,мекь,һыуыҡ
85,Kälte::N,мекьивал,һыуыҡ
86,Hitze::N,зегьем,томра
87,Hitze::N,зегьем,эҫелек
88,Raureif::N,къирав,ҡырау
89,Regenbogen::N,яргъируш,йәйғор
90,Donner::N,цавун ван,күк күкрәү
91,Tropfen::N,стӏал,тамсы
92,Schaum::N,каф,күбек
93,Schmutz::N,чирк,батҡаҡ
94,Schmutz::N,кьуруш,батҡаҡ
95,See::N,вир,күл
96,Sumpf::N,уьлен,һаҙлык
97,Wiese::N,векь,болон
98,Wald::N,там,урман
99,Hügel::N,кӏунтӏ,түбә
100,Anhöhe::N,тепе,түбә
101,Anhöhe::N,тепе,ҡалҡыулыҡ
102,Anhöhe::N,гьуьндуьрвал,түбә
103,Anhöhe::N,гьуьндуьрвал,ҡалҡыулыҡ
104,Berg::N,дагъ,тау
105,Gipfel::N,кӏукӏ,түбә
106,Höhle::N,кьветӏ,мәмерйә
107,Abhang::N,гуьне,ипкен
108,Quelle::N,чешме,шишмә
109,Bach::N,булах,шишмә
110,Fluss::N,вацӏ,йылға
111,Ufer::N,къерех,яр
112,Küste::N,къерех,яр буйы
113,Festland::N,кьурамат,ҡоро ер
114,Meer::N,гьуьл,диңгез
115,Bucht::N,бухта,бухта
116,Insel::N,остров,үтрау
117,Blume::N,цуьк,сәскә
118,Gras::N,хъач,үлән
119,Wurzel::N,дувул,тамыр
120,Baum::N,ттар,ағас
121,Stamm::N,тан,олон
122,Stamm::N,тан,көбәк
123,Rinde::N,чкал,ҡабыҡ
124,Ast::N,тӏур,ботаҡ
125,Zweig::N,хел,ботаҡ
126,Zweig::N,хел,тармаҡ
127,Blatt::N,пеш,япраҡ
128,Birke::N,верх,ҡайын
129,Kiefer[Baum]::N,шамагъаж,ҡарғай
130,Weide[Baum]::N,цӏвелин ттар,тал
131,Tanne::N,ель,шыршы
132,Horn::N,карч,мөғөҙ
133,Feder::N,цӏакул,ҡауырһын
134,Fell::N,хам,тире
135,Flügel::N,лув,ҡанат
136,Klaue::N,къармах,тырнаҡ
137,Kralle::N,пац,аяҡ
138,Kralle::N,тапас,аяҡ
139,Schwanz::N,ттум,ҡойроҡ
140,Ei::N,кака,йомортҡа
141,Nest::N,муг,оя
142,Bau::N,тӏеквен,оң
143,Tier::N,гьайван,жайуан
144,Tier::N,гьайван,йыртҡыс
145,Herde::N,суьруь,көтөү
146,Kuh::N,ккал,һыйыр
147,Bulle::N,яц,үгеҙ
148,Bulle::N,бугъа,үгеҙ
149,Pferd::N,балкӏан,ат
150,Schaf::N,хеб,һарыҡ
151,Schwein::N,вак,сусҡа
152,Hund::N,кицӏ,эт
153,Katze::N,кац,бесәй
154,Bär::N,сев,айыу
155,Eichhörnchen::N,белка,тейен
156,Elch::N,лось,мышы
157,Fuchs::N,сикӏ,төлкө
158,Hase::N,къуьр,ҡуян
159,Maus::N,кьиф,сысҡан
160,Wolf::N,жанавур,бүре
161,Vogel::N,луван ничхир,ҡош
162,Schwarm::N,луж,көтөү
163,Huhn::N,верч,тауыҡ
164,Hahn::N,кӏек,әтәс
165,Gans::N,къаз,ҡаҙ
166,Adler::N,лекь,бөркөт
167,Ente::N,пӏатӏ,өйрәк
168,Eule::N,тӏиб,өкө
169,Eule::N,тӏиб,ябалаҡ
170,Kranich::N,дурна,торна
171,Krähe::N,къаргъа,ҡарға
172,Kuckuck::N,кукупӏ,кәкүк
173,Schwan::N,къугь,аҡҡош
174,Fisch::N,гъед,балыҡ
175,Barsch::N,окунь,алабуға
176,Hecht::N,щука,суртан
177,Schlange[Tier]::N,илан,йылан
178,Schlange[Tier]::N,гъуьлягъ,йылан
179,Wurm::N,квак,селяүсен
180,Spinne::N,хуьшрекан,үрмәксе
181,Ameise::N,цегв,ҡырмыҫҡа
182,Laus::N,нет,бет
183,Mücke::N,ветӏ,серәкәй
184,Fliege::N,тӏветӏ,себен
185,Schmetterling::N,чепелукь,күбәләк
186,Beere::N,куьлуь емиш,еләк
187,Apfel::N,ич,алма
188,Pilz::N,къарникъуз,бәшмәк
189,Zwiebel::N,чичӏек,һуган
190,Saat::N,тумар,орлоҡ
191,Korn::N,твар,иген
192,Heu::N,векь,бесән
193,Heu::N,векьер,бесән
194,Schale::N,пириш,ҡабыҡ
195,Schale::N,хъуьруьш,ҡабыҡ
196,Grube::N,фур,соҡор
197,Falle::N,ракьар,тоҙак
198,Falle::N,ракьар,ҡапҡан
199,Schlinge::N,гьалкъа,тоҙак
200,Spur::N,гел,әҫер
201,Asche::N,руьхъ,көл
202,Dreck::N,чирк,батҡаҡ
203,Dreck::N,кьуруш,батҡаҡ
204,Eisen::N,ракь,тимер
205,Gold::N,алтун,алтын
206,Silber::N,гимиш,көмөш
207,Kohle::N,цӏивин,күмер
208,Glas::N,шуьше,быяла
209,Lehm::N,ччеб,балсыҡ
210,Sand::N,къум,ҡом
211,Mensch::N,инсан,кеше
212,Mann::N,итим,ир
213,Frau::N,паб,ҡатын
214,Frau::N,дишегьли,ҡатын
215,Kind::N,аял,бала
216,Junge::N,гада,малай
217,Mädchen::N,руш,ҡыҙ
218,Mädchen::N,руш,ҡыҙыҡай
219,Familie::N,хзан,ғаилә
220,Familie::N,килфет,ғаилә
221,Großvater::N,чӏехи буба,олатай
222,Großmutter::N,чӏехи диде,әбәй
223,Eltern::N,диде-буба,ата-әсә
224,Vater::N,буба,атай
225,Mutter::N,диде,әсә
226,Sohn::N,хва,ул
227,Tochter::N,руш,ҡыҙ
228,Bruder::N,стха,агай
229,Schwester::N,вах,алай
230,Schwester::N,вах,һеңле
231,Onkel::N,ими,ағай
232,Onkel::N,халу,ағай
233,Tante::N,эме,апай
234,Tante::N,хала,апай
235,Ehemann::N,гъуьл,ир
236,Ehefrau::N,паб,ҡатын
237,Freude::N,шадвал,шатлыҡ
238,Freude::N,шадвал,ҡыуаныс
239,Gelächter::N,хъвер,көлөү
240,Glück::N,бахт,бәхет
241,Kummer::N,дерт,ҡайғы
242,Kummer::N,хажалат,ҡайғы
243,Wunsch::N,мурад,теләк
244,Lust::N,гьевес,әүәҫлек
245,Geist::N,руьгь,аң
246,Geist::N,руьгь,рух
247,Gedanke::N,фикир,уй
248,Gedanke::N,фикир,фекер
249,Verstand::N,акьул,аҡыл
250,Sinn::N,мана,мәғәня
251,Grund::N,себеб,сәбәп
252,Wahrheit::N,керчек,дөрөҫлөк
253,Wahrheit::N,гьакъикъат,дөрөҫлөк
254,Gespräch::N,ихтилат,әңгәмә
255,Märchen::N,мах,әкиәт
256,Erzählung::N,кьиса,хикәйә
257,Nachricht::N,хабар,хәбәр
258,Neuigkeit::N,цӏийи хабар,яңылыҡ
259,Name::N,тӏвар,исем
260,Rätsel::N,мискӏал,йомаҡ
261,Rede::N,рахун,телмәр
262,Sprache::N,чӏал,тел
263,Sprache::N,чӏал,телмәр
264,Stimme::N,ван,тауыш
265,Wort::N,гаф,һүҙ
266,Zeichen::N,ишара,билдә
267,Ruf::N,эвер,саҡырыу
268,Lärm::N,ван-сес,шаулау
269,Laut::N,ван,тауыш
270,Laut::N,сес,тауыш
271,Ton::N,ван-сес,яңғырау
272,Lied::N,мани,йыр
273,Ruhe::N,ласвал,ял
274,Ruhe::N,ласвал,тыныслыҡ
275,Ruhe::N,фаракъат,ял
276,Ruhe::N,фаракъат,тыныслыҡ
277,Ruhe::N,асайиш,ял
278,Ruhe::N,асайиш,тыныслыҡ
279,Leute::N,инсанар,кешеләр
280,Volk::N,халкь,халҡ
281,Arbeit::N,кӏвалах,эш
282,Gast::N,мугьман,ҡунаҡ
283,Geschenk::N,савкьат,бүләк
284,Spiel::N,къугъун,уйын
285,Gesellschaft::N,жемят,йәмғиәт
286,Gesellschaft::N,общество,йәмғиәт
287,Hilfe::N,куьмек,ярҙам
288,Freund::N,дуст,дуҫ
289,Kamerad::N,яр-дуст,иптәш
290,Angelegenheit::N,кар,әш
291,Anzahl::N,сан,һан
292,Anzahl::N,кьадар,һан
293,Art::N,жуьре,төр
294,Stück::N,кӏус,киҫәк
295,Teil::N,пай,өлөш
296,Hälfte::N,зур,ярты
297,Hälfte::N,зур пай,ярты
298,Kreis::N,круг,түңәрәк
299,Kreis::N,чкаяр,түңәрәк
300,Kreis::N,элкъвей цӏар,түңәрәк
301,Kreuz::N,хаш,тәре
302,Linie::N,цӏар,һыҙыҡ
303,Strich::N,цӏар,һыҙат
304,Abstand::N,ара,ара
305,Entfernung::N,мензил,алыҫлыҡ
306,Gegend::N,чка,урын
307,Platz::N,ара,арауыҡ
308,Ort::N,чка,ерҙәр
309,Ort::N,чка,урындар
310,Ort::N,чка,эш урыны
311,Seite::N,пад,яҡ
312,Mitte::N,юкь,урталыҡ
313,Gegenstand::N,затӏ,нәмә
314,Sache::N,шей,нәмә
315,Sache::N,шей,әйбер
316,Sache::N,затӏ,нәмә
317,Sache::N,затӏ,әйбер
318,Rand::N,къерех,сит
319,Kante::N,син,ҡабырға
320,Kante::N,син,ян
321,Ecke::N,пӏипӏ,мөйөш
322,Spitze::N,кӏвенкӏв,ос
323,Ende::N,кьил,аҙаҡ
324,Loch::N,тӏеквен,тишек
325,Winkel::N,пӏипӏ,мөйөш
326,Muster::N,гишир,биҙәк
327,Größe::N,кьадар,ҙурлыҡ
328,Länge::N,яргъивал,оҙонлоҡ
329,Höhe::N,кьакьанвал,бейеклек
330,Gewicht::N,заланвал,үлсәү
331,Menge::N,кьадар,һан
332,Haufen::N,хара,өйөм
333,Reihe::N,жерге,рәт
334,Boot::N,луьткве,кәмә
335,Ruder::N,кьусу,ишкәк
336,Schlitten::N,гъелерар,сана
337,Lagerfeuer::N,цӏай,костер
338,Last::N,заланвал,ауырлыҡ
339,Gang::N,ериш,барыу
340,Schritt::N,къадам,аҙым
341,Norden::N,кефер,төньяҡ
342,Norden::N,кефер пад,төньяҡ
343,Süden::N,кьибле,көньяҡ
344,Westen::N,рагъакӏидай пад,көнбайыш
345,Osten::N,рагъэкъечӏдай пад,көнсығыш
346,Holz::N,кӏарас,үағас
347,Brett::N,кьул,таҡта
348,Brett::N,тахта,таҡта
349,Stütze::N,даях,терәк
350,Stange::N,юрк,кәртә
351,Stock::N,лаш,таяҡ
352,Stab::N,юрк,ҡолға
353,Rohr::N,турба,торба
354,Haus::N,ужагъ,өй
355,Haus::N,ужагъ,йорт
356,Heim::N,кӏвал,өй
357,Ofen::N,пич,мейес
358,Fußboden::N,кӏвалин ччил,енес
359,Tisch::N,стол,өҫтәл
360,Stuhl::N,стул,ултырғыс
361,Wiege::N,кьеб,бишек
362,Bett::N,тахт,карауат
363,Regal::N,кьацӏ,кәштә
364,Kiste::N,ящик,йәшинк
365,Fenster::N,дакӏар,тәҙрә
366,Tür::N,рак,ишек
367,Tor::N,варар,ҡапҡа
368,Zaun::N,пару,ҡойма
369,Dach::N,къав,түбә
370,Dach::N,къав,ҡыйыҡ
371,Leiter::N,гурар,баҫҡыс
372,Besen::N,таран кул,һепертке
373,Spaten::N,ппер,көрәк
374,Schaufel::N,хекендаз,көрәк
375,Gabel::N,шиш,сәнске
376,Löffel::N,тӏур,ҡалаҡ
377,Messer::N,чукӏул,бысаҡ
378,Nagel::N,мих,сөй
379,Netz::N,чил,ау
380,Haken::N,къармах,ыргаҡ
381,Griff::N,ттум,тотҡа
382,Schloss::N,куьлег,йоҙаҡ
383,Bild::N,шикил,картина
384,Bild::N,суьрет,картина
385,Figur::N,фигура,һын
386,Puppe::N,нини,ҡурсаҡ
387,Beutel::N,тагъар,тоҡ
388,Bündel::N,галгам,төргәк
389,Tasche::N,чанта,сумка
390,Eimer::N,ведре,биҙрә
391,Deckel::N,кьил,ҡапҡас
392,Deckel::N,къалпагъ,ҡапҡас
393,Geschirr::N,къаб-къажах,һауыт-һаба
394,Sack::N,чувал,тоҡ
395,Tasse::N,сукӏра,сынаяҡ
396,Topf::N,къажгъан,кәстрүл
397,Kessel::N,къажгъан,ҡаҙан
398,Essen::N,тӏуьн,ашау
399,Nahrung::N,тӏуьн,аҙыҡ
400,Speise::N,хуьрек,аш
401,Fleisch::N,як,ит
402,Getreide::N,техил,иген
403,Getreide::N,техил,ашлыҡ
404,Brei::N,хапӏа,бутҡа
405,Brei::N,хешил,бутҡа
406,Brot::N,фу,икмәк
407,Scheibe::N,чӏук,телем
408,Fett::N,ягълу,май
409,Butter::N,гъери,май
410,Öl::N,ягълу,май буяуы
411,Salz::N,кьел,тоҙ
412,Suppe::N,суп,һурпа
413,Suppe::N,шурпа,һурпа
414,Honig::N,вирт,бал
415,Milch::N,нек,һөт
416,Tee::N,чай,сәй
417,Leder::N,тумаж,күн
418,Wolle::N,йис,йөн
419,Stoff::N,парча,туҡыма
420,Nadel::N,раб,энә
421,Faden::N,гъал,еп
422,Knopf::N,дуьгме,төймә
423,Knoten::N,тӏвал,төйөн
424,Farbe::N,ранг,буяу
425,Kleidung::N,партал,кейем
426,Hemd::N,перем,күлдәк
427,Kragen::N,хев,яға
428,Ärmel::N,хел,ең
429,Hose::N,шалвар,салбар
430,Gürtel::N,чӏул,ҡайыш
431,Mütze::N,бармак,бүрк
432,Mütze::N,бапӏах,бүрк
433,Schuh::N,ботинка,туфли
434,Stiefel::N,чекме,итек
435,Ring::N,тупӏал,йөҙөк
436,Ring::N,тупӏал,балдаҡ
437,Band::N,тасма,таҫма
438,Kamm::N,регъ,тараҡ
439,Spiegel::N,гуьзгуь,көзгө
440,Riemen::N,къайиш,ҡайыш
441,Schnur::N,еб,бау
442,Decke::N,яргъан,одеяд
443,Kissen::N,хъуьцуьган,мендәр
444,Tuch::N,шал,яулыҡ
445,Handtuch::N,дасмал,таҫтамал
446,Kraft::N,гуж,көс
447,Stärke::N,къуват,көс
448,Gesundheit::N,сагъвал,һаулыҡ
449,Krankheit::N,тӏал,сир
450,Krankheit::N,тӏал,ауырыу
451,Schmerz::N,тӏал,һыҙлау
452,Schmerz::N,тӏал,әрнеү
453,Schmerz::N,тӏарвал,һыҙлау
454,Schmerz::N,тӏарвал,әрнеү
455,Wunde::N,хер,йәрәхәт
456,Fieber::N,ифин,тапма
457,Fieber::N,ифин,биҙгәк
458,Arznei::N,дарман,дарыу
459,Brücke::N,муьгъ,күпер
460,Brunnen::N,къуй,ҡоҙоҡ
461,Weide::N,уьруьш,көтөүлек
462,Pfad::N,рехъ,һуҡмаҡ
463,Weg::N,рехъ,юл
464,Straße::N,рехъ,урам
465,Dorf::N,хуьр,ауыл
466,Stadt::N,шегьер,ҡала
467,Brief::N,кагъаз,хат
468,Buch::N,улуб,китап
469,Buch::N,улуб,кенәгә
470,Buchstabe::N,гьарф,хәреф
471,Zeitung::N,газета,гәзит
472,Leben::N,уьмуьр,йәшәү
473,Tod::N,кьиникь,үлем
474,Grab::N,сур,ҡәбер
475,Kirche::N,килиса,сиркәү
476,Sünde::N,гунагь,гөнаһ
477,Gott::N,аллагь,алла
478,Gott::N,аллагь,хоҙай
479,Arbeiter::N,фяле,эшсе
480,Chef::N,гьаким,башлыҡ
481,Meister::N,устӏар,оҫта
482,Arzt::N,доктор,врач
483,Lehrer::N,муаллим,уҡытыусы
484,Geld::N,пул,аҡса
485,Laden::N,магазин,магазин
486,Preis::N,къимет,хаҡ
487,Ware::N,мал,тауар
488,Ware::N,товар,тауар
489,Nutzen::N,хийир,файҙа
490,Nutzen::N,менфят,файҙа
491,Reichtum::N,девлет,байлыҡ
492,Welt::N,дуьнья,донъя
493,Land::N,уьлкве,ил
494,Staat::N,пачагьлугъ,дәүләт
495,Staat::N,государство,дәүләт
496,König::N,пачагь,король
497,Macht::N,власть,власть
498,Grenze::N,сергьят,сик
499,Krieg::N,дяве,һуғыш
500,Feind::N,душман,йылан
501,Gewalt::N,гуж,көслөк
502,Kampf::N,женг,көрәш
503,Bogen[Waffe]::N,чӏемерук,йәйә
504,Pfeil::N,хьел,уҡ
505,Gewehr::N,тфенг,мылтыҡ
506,Fehler::N,гъалатӏ,хата
507,Lüge::N,ттаб,ялған
508,Schaden::N,зиян,зыян
509,Schaden::N,зиян,зарар
510,Schaden::N,зарар,зыян
511,Schaden::N,зарар,зарар
512,Unglück::N,бала,ҡаза
513,Unglück::N,бедбахтвал,ҡаза
514,Schuld::N,тахсир,ғәйеп
515,Alter::N,яш,йәш
516,Schluss::N,эхир,һуң
517,Schluss::N,эхир,аҙаҡ
518,Zeit::N,вяде,мәл
519,Zeit::N,вяде,заман
520,Tag::N,югъ,көн
521,Morgen::N,пакама,иртә
522,Morgen::N,пакама,иртәнсәк
523,Mittag::N,нисин,төш
524,Abend::N,няни,кис
525,Nacht::N,йиф,төн
526,Woche::N,гьафте,аҙна
527,Monat::N,варз,ай
528,Jahr::N,йис,йыл
529,Frühling::N,гатфар,яҙ
530,Sommer::N,гад,йәй
531,Herbst::N,зул,көз
532,Winter::N,кьуьд,ҡыш
533,Januar::N,январь,ғинуар
534,Februar::N,февраль,февраль
535,März::N,март,март
536,April::N,апрель,апрель
537,Mai::N,май,май
538,Juni::N,июнь,июнь
539,Juli::N,июль,июль
540,August::N,август,август
541,September::N,сентябрь,сентябрь
542,Oktober::N,октябрь,октябрь
543,November::N,ноябрь,ноябрь
544,Dezember::N,декабрь,декабрь
545,Montag::N,ислен,дүшәмбе
546,Dienstag::N,саласа,шишәмбе
547,Mittwoch::N,арбе,шаршамбы
548,Donnerstag::N,хемис югъ,кесаҙна
549,Freitag::N,жуьмя,йома
550,Freitag::N,жуьмя югъ,йома
551,Samstag::N,киш,шәмбе
552,Sonntag::N,гьяд,йәкшәмбе
553,groß::A,еке,ҙур
554,groß::A,чӏехи,ҙур
555,klein::A,гъвечӏи,бәләкәс
556,lang::A,яргъи,оҙон
557,kurz::A,куьруь,ҡыҫҡа
558,breit::A,гьяркьуь,киң
559,schmal::A,гуьтӏуь,тар
560,dicht::A,къалин,йыш
561,dicht::A,къалин,ҡуйы
562,dünn::A,кьелечӏ,йоҡа
563,dünn::A,кьелечӏ,нәҙек
564,fein::A,шуькӏуь,нескә
565,fest::A,кӏеви,ныҡ
566,flach::A,кьулу,яҫы
567,flach::A,кьулу,ялпаҡ
568,glatt::A,цӏалцӏам,шыма
569,hart::A,кӏеви,ҡаты
570,weich::A,хъуьтуьл,йомшаҡ
571,rund::A,элкъвей,түңәрәк
572,spitz::A,хци,осло түбәле
573,scharf::A,хци,үткер
574,stumpf::A,къуьруь,утмәҫ
575,schwer::A,залан,ауыр
576,schön::A,иер,матур
577,heiß::A,кудай,эҫе
578,warm::A,чими,йылы
579,kalt::A,мекьи,һыуыҡ
580,kühl::A,къайи,һалҡынса
581,frisch::A,таза,һалҡынса
582,frisch::A,михьи,һалҡынса
583,feucht::A,ламу,еүеш
584,feucht::A,ламу,дымлы
585,nass::A,кьежей,еүеш
586,trocken::A,кьуру,кипкән
587,voll::A,ацӏай,тулы
588,leer::A,буш,буш
589,leer::A,ичӏи,буш
590,offen::A,ахъа,асыҡ
591,geschlossen::A,кӏеви,ябыҡ
592,sauber::A,михьи,таҙа
593,schmutzig::A,чиркин,бысраҡ
594,schmutzig::A,кьацӏай,бысраҡ
595,roh::A,чиг,сей
596,roh::A,ицӏи,сей
597,reif::A,дигмиш хьайи,өлгөрғән
598,lecker::A,дадлу,тәмле
599,süß::A,ширин,тямле
600,süß::A,ширин,тәм-том
601,bitter::A,туькьуьл,әсе
602,sauer::A,цуру,әсе
603,hell::A,экуь,яҡты
604,dunkel::A,мичӏи,ҡараңғы
605,schwarz::A,чӏулав,ҡара
606,weiß::A,лацу,аҡ
607,rot::A,яру,матур
608,rot::A,яру,һылыу
609,rot::A,яру,сибәр
610,gelb::A,хъипи,һары
611,blau::A,вили,күк
612,grün::A,къацу,йәшел
613,grau::A,рехи,буҙ
614,bunt::A,цӏару,сыбар
615,bunt::A,цӏару,ала-ҡола
616,bunt::A,яру-цӏару,сыбар
617,bunt::A,яру-цӏару,ала-ҡола
618,billig::A,ужуз,арзан
619,teuer::A,багьа,ҡыйбатлы
620,wertvoll::A,масан,ҡиммәтле
621,blind::A,буьркьуь,һуҡыр
622,taub::A,биши,һаңғырау
623,kräftig::A,гужлу,көслө
624,kräftig::A,гужлу,ҡеүәтле
625,stark::A,къуватлу,көслө
626,stark::A,къуватлу,ҡеүәтле
627,schwach::A,такьатсуз,көсһөҙ
628,fett::A,куьк,һимеҙ
629,schlank::A,шумал,зифа
630,hübsch::A,гуьрчег,матур
631,böse::A,пис,асыулы
632,dumm::A,ахмакь,иҫәр
633,faul::A,тенпел,иренсәк
634,fleißig::A,сяй ийидай,тырыш
635,fleißig::A,сяйи ийидай,тырыш
636,geizig::A,мискьи,һаран
637,klug::A,акьуллу,аҡыллы
638,geschickt::A,магьир,оҫта
639,lieb::A,играми,яғымлы
640,lustig::A,шад,күңелле
641,sanft::A,назик,йыуаш
642,sanft::A,милайим,йыуаш
643,hungrig::A,гишин,ас
644,krank::A,кефсуз,сирле
645,krank::A,кефсуз,ауырыу
646,nackt::A,кьецӏил,яланғас
647,traurig::A,пашман,яманһыу
648,lebendig::A,ччан алай,тере
649,lebendig::A,ччан алай,йәнле
650,gut::A,хъсан,яҡшы
651,gut::A,вижевай,яҡшы
652,schlecht::A,пис,хөрт
653,schlecht::A,пис,алама
654,richtig::A,дуьз,дөрөҫ
655,schlimm::A,нифретлу,хөрт
656,schlimm::A,нифретлу,алама
657,wahr::A,гьакъикъи,дөрөҫ
658,alt::A,эски,иҫке
659,alt::A,эски,боронғо
660,alt::A,куьгьне,иҫке
661,alt::A,куьгьне,боронғо
662,neu::A,цӏийи,яңы
663,ehemalig::A,виликан,элекке
664,alt[Lebewesen]::A,кьуьзуь,ҡарт
665,jung::A,жегьил,йәш
666,arm::A,кесиб,фәҡир
667,reich::A,девлетлу,бай
668,bekannt::A,чидай,таныш
669,berühmt::A,машгьур,атаҡлы
670,berühmt::A,машгьур,данлыҡлы
671,fremd::A,ччара,ят
672,fremd::A,ччара,сит
673,verschieden::A,жуьреба-жуьре,төрлө
674,nah::A,мукьвал,яҡын
675,fern::A,яргъал,алыҫ
676,fern::A,яргъал,йыраҡ
677,linker::A,чапла,һул
678,rechter::A,эрчӏи,уң
679,anderer::A,маса,бутән
680,anderer::A,муькуь,бутән
681,erster::A,сад лагьай,тәүге
682,zweiter::A,кьвед лагьай,икенсе
683,dritter::A,пуд лагьай,өсөнсө
684,letzter::A,эхиримжи,һуңғы
685,allein::ADV,кьилди,бер үҙе
686,allein::ADV,кьилди,яңғыҙ
687,zusammen::ADV,санал,бергә
688,lange::ADV,яргъалди,оҙаҡ
689,plötzlich::ADV,садлагьана,ҡапыл
690,sofort::ADV,гьасятда,шунда уҡ
691,später::ADV,гуьгъуьнлай,һуңыраҡ
692,jetzt::ADV,гила,хәҙер
693,heute::ADV,къе,бөгөн
694,morgen::ADV,пака,иртәгә
695,bald::ADV,мукьва,тиҙҙән
696,bald::ADV,мукьвара,тиҙҙән
697,dann::ADV,ахпа,һуңынан
698,gestern::ADV,накь,кисә
699,einst::ADV,садра,ҡасандыр
700,einst::ADV,садра,бер баҡыт
701,damals::ADV,а чӏавуз,ул саҡта
702,danach::ADV,ахпа,һуңынан
703,vorher::ADV,вилик,элек
704,zuerst::ADV,сифте,башта
705,einmal::ADV,садра,бер
706,manchmal::ADV,гагь-гагь,ҡайһы берҙә
707,oft::ADV,гзаф вахтара,йыш
708,immer::ADV,гьамиша,һәр ҡасан
709,niemals::ADV,са чӏавузни,бер ҡасан да
710,niemals::ADV,са чӏавузни,бер ваҡытта ла
711,niemals::ADV,са вахтундани,бер ҡасан да
712,niemals::ADV,са вахтундани,бер ваҡытта ла
713,hier::ADV,ина,бында
714,hierhin::ADV,иниз,бында
715,von hier::ADV,инай,бынан
716,von hier::ADV,инай,ошонан
717,dort::ADV,ана,шунда
718,dort::ADV,ана,тегендә
719,dorthin::ADV,аниз,шунда
720,dorthin::ADV,аниз,тегеләй
721,geradeaus::ADV,дуьз,тура
722,vorwärts::ADV,вилик,алға
723,vorwärts::ADV,виликди,алға
724,rückwärts::ADV,кьулухъ,кирегә
725,unten::ADV,агъада,түбәндә
726,hinab::ADV,агъуз,түбәнгә
727,oben::ADV,винел,юғарыла
728,hinauf::ADV,виниз,юғарыға
729,überall::ADV,вирина,бөтә урында
730,nicht::ADV,ваъ,тугел
731,ein wenig::ADV,са тӏимил,аҙ
732,kaum::ADV,жизви,көскә
733,kaum::ADV,жизви,саҡ-саҡ
734,sehr::ADV,лап,ифат
735,so::ADV,икӏ,шулай
736,noch::ADV,гьеле,йәнә
737,nur::ADV,анжах,бары
738,schon::ADV,хъувуна,инде
739,schon::ADV,мадни дардиз,инде
