,Concept_ID,ta,uk
51,Geschmack::N,நறுமணம்,смак
52,Geruch::N,துர்நாற்றம்,запах
53,Schlaf::N,தூக்கம்,сон
54,Schlaf::N,தூக்கம்,сплячка
55,Traum::N,கனவு,сон
56,Himmel::N,வானம்,небо
57,Sonne::N,சூரியன்,сонце
58,Mond::N,சந்திரன்,місяць
59,Stern::N,நட்சத்திரம்,зірка
60,Luft::N,காறறு,повітря
61,Wind::N,காற்று,вітер
62,Welle::N,அலை,хвиля
63,Wasser::N,நீர்,вода
64,Stein::N,கல்,камінь
65,Boden::N,தரை,ґрунт
66,Erde::N,மண்,земля
67,Staub::N,தூசி,пил
68,Rauch::N,புகை,дим
69,Funke::N,தீப்பொறி,іскра
70,Feuer::N,தீ,вогонь
71,Licht::N,வெளிச்சம்,світло
72,Schatten::N,நிழல்,тінь
73,Wetter::N,வானிலை,погода
74,Nebel::N,பனிமூட்டம்,туман
75,Wolke::N,மேகம்,хмара
76,Regen::N,மழை,дощ
77,Schnee::N,உறைபனி,сніг
78,Eis::N,பனிக்கட்டி,лід
79,Frost::N,உறைபனி,мороз
80,Kälte::N,குளிர்ந்த,холод
81,Hitze::N,சூடு,жар
82,Raureif::N,உறைபனி வெண்திரை,іній
83,Regenbogen::N,வானவில்,райдуга
84,Donner::N,இடி,грім
85,Strömung::N,நீரோட்டம்,струмина
86,Tropfen::N,துளி,крапля
87,Schaum::N,நுரை,піна
88,Schmutz::N,அழுக்கு,бруд
89,See::N,ஏரி,озеро
90,Sumpf::N,சதுப்பு நிலம்,драговина
91,Moor::N,முட்புதற்காடு,болото
92,Wiese::N,பசும் புல்தரை,луг
93,Wiese::N,பசும் புல்தரை,лука
94,Wald::N,காடு,ліс
95,Hügel::N,குன்று,горб
96,Anhöhe::N,பதுக்கை,височина
97,Berg::N,மலை,гора
98,Gipfel::N,உச்சி மாநாடு,вершина
99,Höhle::N,குகை,печера
100,Abhang::N,சரிவு,схил
101,Quelle::N,மூலம்,джерело
102,Bach::N,ஓடை,струмок
103,Fluss::N,ஆறு,річка
104,Ufer::N,நீர்க்கரை,берег
105,Küste::N,கடற்கரை,узбережжя
106,Festland::N,நிலம்,суша
107,Meer::N,கடல்,море
108,Bucht::N,சிறுகுடா,бухта
109,Bucht::N,சிறுகுடா,затока
110,Insel::N,தீவு,острів
111,Blume::N,பூ,квітка
112,Gras::N,புல்தரை,трава
113,Wurzel::N,வேர்,корінь
114,Baum::N,மரம்,дерево
115,Stamm::N,அடிமரம்,стовбур
116,Rinde::N,பட்டை,кора
117,Rinde::N,மரப்பட்டை,кора
118,Ast::N,கினை,гілка
119,Zweig::N,குச்சி,галузь
120,Blatt::N,இலை,лист
121,Birke::N,பிர்ச் மரம்,береза
122,Kiefer[Baum]::N,தேவதாரு மரம்,сосна
123,Weide[Baum]::N,மர வகைகளுள் ஒன்று,верба
124,Tanne::N,சாதிக்கய்,ялиця
125,Horn::N,கொம்பு,ріг
126,Feder::N,இறகு,перо
127,Fell::N,மென்முடி,хутро
128,Flügel::N,இறக்கை,крило
129,Klaue::N,நகம்,кіготь
130,Kralle::N,நகம்,лапа
131,Schwanz::N,வால்,хвіст
132,Ei::N,முட்டை,яйце
133,Nest::N,கூடு,гніздо
134,Bau::N,குகை,лігво
135,Tier::N,விலங்கு,тварина
136,Herde::N,கூட்டம்,стадо
137,Kuh::N,பசு,корова
138,Bulle::N,காளை,бик
139,Bulle::N,காளை,бугай
140,Pferd::N,குதிரை,кінь
141,Schaf::N,செம்மறிஆடு,вівця
142,Schwein::N,பன்றி,свиня
143,Hund::N,நாய்,собака
144,Katze::N,பூனை,кішка
145,Bär::N,கரடி,ведмідь
146,Eichhörnchen::N,அணில்,білка
147,Elch::N,கடம்பை,лось
148,Fuchs::N,நரி,лисиця
149,Hase::N,முயல்,заєць
150,Maus::N,எலி,миша
151,Wolf::N,ஓநாய்,вовк
152,Vogel::N,பறவை,птах
153,Schwarm::N,தொகுதி,зграя
154,Huhn::N,கோழிக்குஞசு,курка
155,Hahn::N,சேவல்,півень
156,Gans::N,பெண் வாத்து,гуска
157,Adler::N,பருநது,орел
158,Ente::N,வாத்து,качка
159,Eule::N,ஆந்தை,сова
160,Kranich::N,நாரை,журавель
161,Krähe::N,காகம்,ворона
162,Kuckuck::N,குயில்,зозуля
163,Schwan::N,அன்னம்,лебідь
164,Fisch::N,மீன்,риба
165,Barsch::N,பேர்ச்,окунь
166,Hecht::N,கோலாச்சி மீன்,щука
167,Schlange[Tier]::N,பாம்பு,змія
168,Wurm::N,புழு,черв’як
169,Spinne::N,சிலந்தி,павук
170,Ameise::N,எறும்பு,мурашка
171,Laus::N,பேன்,воша
172,Mücke::N,கொசுவினப்பூச்சி,комар
173,Fliege::N,ஈ,муха
174,Schmetterling::N,வண்ணத்துப்பூச்சி,метелик
175,Beere::N,சதைப்பழம்,ягода
176,Apfel::N,ஆப்பிள பழம்,яблуко
177,Pilz::N,காளான்,гриб
178,Zwiebel::N,வெங்காயம்,цибуля
179,Saat::N,விதை,сім’я
180,Korn::N,தானியம்,зерно
181,Heu::N,வைக்கோல்,сіно
182,Schale::N,தோல்,шкірка
183,Grube::N,குழி,яма
184,Falle::N,பொறி,пастка
185,Schlinge::N,கண்ணி,петля
186,Spur::N,சுவடு,слід
187,Asche::N,சாம்பல்,зола
188,Asche::N,சாம்பல்,попіл
189,Dreck::N,அழுக்கு,бруд
190,Eisen::N,இரும்பு,залізо
191,Gold::N,தங்கம்,золото
192,Silber::N,வெள்ளி,срібло
193,Kohle::N,நிலக்கரி,вугілля
194,Glas::N,கண்ணாடி,скло
195,Lehm::N,களிமண்,глина
196,Sand::N,மணல்,пісок
197,Mensch::N,மனிதர்கள்,людина
198,Mann::N,மனிதன்,чоловік
199,Frau::N,பெண்,жінка
200,Kind::N,குழந்தை,дитина
201,Junge::N,பையன்,хлопець
202,Mädchen::N,சிறுமி,дівчина
203,Familie::N,குடும்பம்,сім’я
204,Familie::N,குடும்பம்,родина
205,Großvater::N,தாத்தா,дідусь
206,Großmutter::N,பாட்டி,бабуся
207,Eltern::N,பெற்றோர்,батьки
208,Vater::N,தந்தை,батько
209,Mutter::N,தாய்,мати
210,Sohn::N,மகன்,син
211,Tochter::N,மகள்,дочка
212,Bruder::N,சகோதரன்,брат
213,Schwester::N,அக்கா,сестра
214,Onkel::N,தாய் மாமன்,дядько
215,Tante::N,அத்தை,тітка
216,Ehemann::N,கணவன்,чоловік
217,Ehefrau::N,மனைவி,жінка
218,Ehefrau::N,மனைவி,дружина
219,Freude::N,கொண்டாட்டம்,радощі
220,Gelächter::N,சிரிப்பு,сміх
221,Glück::N,மகிழ்ச்சி,щастя
222,Kummer::N,துயரம்,горе
223,Wunsch::N,விருப்பம்,бажання
224,Lust::N,விருப்பம்,бажання
225,Geist::N,ஆன்மா,дух
226,Gedanke::N,எண்ணம்,думка
227,Gedächtnis::N,ஞாபகம்,пам’ять
228,Verstand::N,மனம்,розум
229,Sinn::N,அர்த்தம்,зміст
230,Sinn::N,அர்த்தம்,значення
231,Grund::N,காரணம்,причина
232,Wahrheit::N,உண்நை,правда
233,Gespräch::N,பெசு,розмова
234,Märchen::N,நம்பத்தகாத கதை,байка
235,Erzählung::N,கதை,повість
236,Erzählung::N,கதை,оповідання
237,Nachricht::N,செய்தி,повідомлення
238,Neuigkeit::N,செய்தி,новина
239,Name::N,பெயர்,ім’я
240,Rätsel::N,புதிர்,загадка
241,Rede::N,பேச்சு,промова
242,Sprache::N,மொழி,мова
243,Stimme::N,குரல்,голос
244,Wort::N,வார்த்தை,слово
245,Zeichen::N,குறி,знак
246,Ruf::N,அழைப்பு,оклик
247,Lärm::N,சத்தம்,шум
248,Laut::N,ஒலி,звук
249,Ton::N,குரல்,тон
250,Lied::N,பாட்டு,пісня
251,Ruhe::N,அமைதி,спокій
252,Leute::N,மக்கள்,люди
253,Volk::N,மக்கள்,народ
254,Arbeit::N,வேலை,робота
255,Gast::N,விருந்தாளி,гість
256,Geschenk::N,பரிசுப் பொருள்,подарунок
257,Spiel::N,விளையாட்டு,гра
258,Gesellschaft::N,சமுதாயம்,товариство
259,Hilfe::N,உதவி,допомога
260,Freund::N,நண்பன்,друг
261,Freund::N,நண்பன்,приятель
262,Kamerad::N,உடனிருப்பவன்,товариш
263,Angelegenheit::N,செய்தி,справа
264,Anzahl::N,எண்ணிக்கை,число
265,Art::N,வகை,рід
266,Stück::N,துண்டம்,кусок
267,Teil::N,பகுதி,частина
268,Hälfte::N,பாதி,половина
269,Kreis::N,வட்டம்,круг
270,Kreis::N,வட்டம்,коло
271,Kreuz::N,சிலுவை,хрест
272,Linie::N,கோடு,лінія
273,Strich::N,வாத நோய்,штрих
274,Abstand::N,இடைவெளி,проміжок
275,Entfernung::N,தூரம்,відстань
276,Gegend::N,வட்டாரம்,місцевість
277,Platz::N,வெற்றிடம்,площа
278,Ort::N,இடம்,місце
279,Seite::N,பக்கம்,сторона
280,Mitte::N,இடைப்பகுதி,середина
281,Gegenstand::N,உருப்படி,предмет
282,Sache::N,பொருள்,річ
283,Rand::N,தொங்கு,край
284,Kante::N,விளிம்பு,ребро
285,Ecke::N,மூலை,ріг
286,Spitze::N,முனை,кінчик
287,Ende::N,முடிவு,кінець
288,Loch::N,துளை,діра
289,Winkel::N,கோணம்,куток
290,Muster::N,பாங்கு,узор
291,Größe::N,அளவு,розмір
292,Länge::N,நீளம்,довжина
293,Höhe::N,உயரம்,висота
294,Gewicht::N,எடை,вага
295,Menge::N,தொகை,кількість
296,Haufen::N,குவியல்,купа
297,Reihe::N,வரிசை,ряд
298,Boot::N,படகு,човен
299,Ruder::N,துடுப்பு,весло
300,Schlitten::N,சகடையிலா வண்டி,сани
301,Ski::N,பனிச் சறுக்கல்,лижа
302,Lagerfeuer::N,மூட்டம்,вогнище
303,Last::N,பாரம்,тягар
304,Last::N,பாரம்,вантаж
305,Gang::N,நடை,хід
306,Schritt::N,காலடி,крок
307,Norden::N,வடக்கு,північ
308,Süden::N,தெற்கு,південь
309,Westen::N,மேற்கு திசை,захід
310,Osten::N,கிழக்கு,схід
311,Holz::N,மரக்கட்டை,дрова
312,Brett::N,பலகை,дошка
313,Platte::N,பலகம்,плита
314,Stütze::N,அடைப்புகன்,підпірка
315,Stange::N,கம்பம்,жердина
316,Stock::N,குச்சி,палиця
317,Stab::N,கம்பு,палиця
318,Rohr::N,குழாய்,труба
319,Haus::N,வீடு,дім
320,Haus::N,வீடு,хата
321,Heim::N,வீடு,житло
322,Ofen::N,அடுப்பு,піч
323,Fußboden::N,தரை,підлога
324,Tisch::N,மேசை,стіл
325,Stuhl::N,நாற்காலி,стілець
326,Wiege::N,தொட்டில்,колиска
327,Bett::N,படுக்கை,ліжко
328,Bett::N,படுக்கை,постіль
329,Regal::N,அலமாரி,полиця
330,Kiste::N,பெட்டி,ящик
331,Fenster::N,சாளரம்,вікно
332,Tür::N,கதவு,двері
333,Tor::N,வாசற்கதவு,ворота
334,Zaun::N,வேலி,паркан
335,Zaun::N,வேலி,огорожа
336,Dach::N,கூரை,дах
337,Leiter::N,ஏணி,драбина
338,Besen::N,விளக்குமாறு,мітла
339,Spaten::N,மண்வெட்டி,заступ
340,Schaufel::N,அடிதண்டா,совок
341,Schaufel::N,அடிதண்டா,лопата
342,Gabel::N,முட்கரண்டி,виделка
343,Löffel::N,கரண்டி,ложка
344,Messer::N,கத்தி,ніж
345,Nagel::N,ஆணி,цвях
346,Netz::N,வலை,сіть
347,Haken::N,கொக்கி,крюк
348,Griff::N,கைப்பிடி,ручка
349,Griff::N,கைப்பிடி,держак
350,Schloss::N,பூட்டு,замок
351,Bild::N,படம்,картина
352,Figur::N,எண்ணிக்கை,фігура
353,Puppe::N,பொம்மை,лялька
354,Beutel::N,பை,мішечок
355,Beutel::N,பை,торбинка
356,Bündel::N,பொதி,в’язка
357,Tasche::N,பை,сумка
358,Eimer::N,வாளி,відро
359,Deckel::N,உறை,кришка
360,Geschirr::N,பாத்திரம்,посуд
361,Sack::N,பை,мішок
362,Tasse::N,கிண்ணம்,чашка
363,Topf::N,பானை,горщик
364,Kessel::N,கெண்டி,котел
365,Essen::N,உணவருந்துதல்,їжа
366,Nahrung::N,உணவு,харч
367,Speise::N,உணவு வகை,страва
368,Fleisch::N,இறைச்சி,м’ясо
369,Getreide::N,மக்காச்சோளம்,хліб
370,Getreide::N,மக்காச்சோளம்,збіжжя
371,Brei::N,கஞ்சி,каша
372,Brot::N,ரொட்டி,хліб
373,Scheibe::N,துண்டு,скибочка
374,Fett::N,கொழுப்பு,жир
375,Butter::N,வெண்ணெய்,масло
376,Öl::N,எண்ணெய்,олія
377,Salz::N,உப்பு,сіль
378,Suppe::N,ரசம்,суп
379,Honig::N,தேன்,мед
380,Milch::N,பால்,молоко
381,Tee::N,தெனீர்,чай
382,Leder::N,பதம் செய்யப்பட்ட தோல்,шкіра
383,Wolle::N,கம்பளி,шерсть
384,Stoff::N,துணி,тканина
385,Nadel::N,ஊசி,голка
386,Faden::N,நூல்,нитка
387,Knopf::N,பொத்தான்,ґудзик
388,Knoten::N,முடிச்சு,вузол
389,Farbe::N,வண்ணக் குழம்பு,фарба
390,Kleidung::N,ஆடைகள்,одяг
391,Kleidung::N,ஆடைகள்,убрання
392,Hemd::N,சட்டை,сорочка
393,Kragen::N,கழுத்துப் பட்டை,комір
394,Ärmel::N,சட்டைக்கை,рукав
395,Hose::N,கால்சட்டை,брюки
396,Gürtel::N,பெல்ட்,пояс
397,Mütze::N,தொப்பி,шапка
398,Schuh::N,காலணி,ботинок
399,Stiefel::N,காலணி,чобіт
400,Ring::N,மோதிரம்,кільце
401,Band::N,நாடா,стрічка
402,Kamm::N,கீப்பு,гребінець
403,Spiegel::N,ஆடி,дзеркало
404,Spiegel::N,கண்ணாடி,дзеркало
405,Riemen::N,வார்,ремінь
406,Schnur::N,கயிறு,вірьовка
407,Leine::N,தோல்வார்,шворка
408,Decke::N,போர்வை,ковдра
409,Kissen::N,தலையணை,подушка
410,Tuch::N,துணி,хустка
411,Handtuch::N,தண்டு,рушник
412,Kraft::N,நிர்பந்தம்,сила
413,Stärke::N,பலம்,сила
414,Gesundheit::N,ஆரோக்கியம்,здоров’я
415,Krankheit::N,நோய்,хвороба
416,Schmerz::N,வலி,біль
417,Wunde::N,காயம்,рана
418,Fieber::N,காய்ச்சல்,гарячка
419,Arznei::N,மருந்து,ліки
420,Brücke::N,பாலம்,міст
421,Brunnen::N,கேணி,колодязь
422,Weide::N,மேய்ச்சல் நிலம்,пасовище
423,Pfad::N,நடை வழி,стежка
424,Weg::N,வழி,шлях
425,Weg::N,வழி,дорога
426,Straße::N,சாலை,вулиця
427,Dorf::N,கிராமம்,село
428,Stadt::N,நகரம்,місто
429,Brief::N,கடிதம்,лист
430,Buch::N,புத்தகம்,книга
431,Buch::N,புத்தகம்,книжка
432,Buchstabe::N,எழத்து,буква
433,Buchstabe::N,எழத்து,літера
434,Zeitung::N,செய்தித்தாள்,газета
435,Leben::N,வாழ்க்கை,життя
436,Tod::N,மரணம்,смерть
437,Grab::N,சமாதி,могила
438,Kirche::N,தேவாலயம்,церква
439,Sünde::N,பாவம்,гріх
440,Gott::N,கடவுள்,бог
441,Arbeiter::N,தொழிலாளி,робітник
442,Chef::N,மேலாளர்,хазяїн
443,Meister::N,தலைவன்,умілець
444,Arzt::N,மருத்துவர்,лікар
445,Lehrer::N,ஆசிரியர்,вчитель
446,Geld::N,பணம்,гроші
447,Geschäft::N,வாணிபம்,заняття
448,Laden::N,கடை,магазин
449,Laden::N,கடை,крамниця
450,Preis::N,விலை,ціна
451,Ware::N,சாமன்கள்,товар
452,Nutzen::N,இலாபம்,вигода
453,Nutzen::N,இலாபம்,користь
454,Reichtum::N,சொத்து,багатство
455,Welt::N,உலகம்,світ
456,Land::N,நாடு,країна
457,Staat::N,நாடு,держава
458,König::N,அரசன்,король
459,Macht::N,அதிகாரம்,влада
460,Grenze::N,எல்லை,кордон
461,Krieg::N,போர்,війна
462,Feind::N,எதிரி,ворог
463,Gewalt::N,வன்முறை,насильство
464,Kampf::N,போராட்டம்,бій
465,Kampf::N,போராட்டம்,боротьба
466,Bogen[Waffe]::N,வில்,лук
467,Pfeil::N,அம்பு,стріла
468,Gewehr::N,துப்பாக்கி,рушниця
469,Gewehr::N,துப்பாக்கி,гвинтівка
470,Fehler::N,தவறு,помилка
471,Lüge::N,பொய்,брехня
472,Schaden::N,சேதாரம்,шкода
473,Schaden::N,சேதாரம்,збиток
474,Unglück::N,இடையூறு,нещастя
475,Schuld::N,குற்றம்,провина
476,Alter::N,வயது,вік
477,Alter::N,வயது,літа
478,Schluss::N,முடிவு,кінець
479,Zeit::N,காலம்,час
480,Tag::N,நாள்,день
481,Morgen::N,காலை நேரம்,ранок
482,Mittag::N,மதியம்,південь
483,Abend::N,மாலைப் பொழுது,вечір
484,Nacht::N,இரவு,ніч
485,Woche::N,வாரம்,тиждень
486,Monat::N,மாதம்,місяць
487,Jahr::N,வருடம்,рік
488,Frühling::N,வசந்தம்,весна
489,Sommer::N,கோடை,літо
490,Herbst::N,இலையுதிர் காலம்,осінь
491,Winter::N,குளிர்காலம்,зима
492,Januar::N,ஜனவரி,січень
493,Februar::N,பிபரவரி மாதம்,лютий
494,März::N,மார்ச் மாதம்,березень
495,April::N,ஏப்ரல் மாதம்,квітень
496,Mai::N,மே மாதம்,травень
497,Juni::N,ஜூன் மாதம்,червень
498,Juli::N,ஜூலை மாதம்,липень
499,August::N,ஆகஸ்ட் மாதம்,серпень
500,September::N,செப்டம்பர் மாதம்,вересень
501,Oktober::N,அக்டோபர் மாதம்,жовтень
502,November::N,நவம்பர் மாதம்,листопад
503,Dezember::N,டிசம்பர்,грудень
504,Montag::N,திங்கட் கிழமை,понеділок
505,Dienstag::N,செவ்வாய்க்கிழமை,вівторок
506,Mittwoch::N,புதன் கிழமை,середа
507,Donnerstag::N,வியாழக் கிழமை,четвер
508,Freitag::N,வெள்ளிக்கிழமை,п’ятниця
509,Samstag::N,சனிக்கிழமை,субота
510,Sonntag::N,ஞாயிறுக் கிழமை,неділя
511,groß::A,பெரிய,великий
512,klein::A,சிறிய,малий
513,klein::A,சிறிய,маленький
514,lang::A,நீண்ட,довгий
515,kurz::A,குட்டையான,короткий
516,breit::A,அகலமான,широкий
517,schmal::A,குறுகலான,вузький
518,dicht::A,அடர்த்தியான,густий
519,dick[Gegenstand]::A,தடித்த,товстий
520,dünn::A,சன்னமான,тонкий
521,fein::A,மெல்லிய,дрібний
522,fest::A,உறுதியாள,міцний
523,flach::A,தட்டையான,плоский
524,glatt::A,வழுவழுப்பான,рівний
525,glatt::A,வழுவழுப்பான,гладенький
526,hart::A,கடினமான,твердий
527,weich::A,மென்மையான,м’який
528,rund::A,உருண்டையான,круглий
529,spitz::A,திகந்தமாக,гострокінцевий
530,scharf::A,கூரான,гострий
531,stumpf::A,உளம் திறந்த,тупий
532,schwer::A,கனமான,важкий
533,schön::A,அழகான,вродливий
534,heiß::A,சூடான,жаркий
535,heiß::A,சூடான,гарячий
536,warm::A,இதமான,теплий
537,kalt::A,குளிர்ச்சியான,холодний
538,kühl::A,குளிர்ச்சியான,прохолодний
539,frisch::A,சுத்தமான,свіжий
540,feucht::A,ஈரமான,вогкий
541,nass::A,ஈரமான,мокрий
542,trocken::A,உலர்ந்த,сухий
543,voll::A,நிரம்பிய,повний
544,leer::A,காலியான,пустий
545,offen::A,திறந்த,відкритий
546,geschlossen::A,மூடப்பட்ட,закритий
547,geschlossen::A,மூடப்பட்ட,зачинений
548,sauber::A,சுத்தமான,чистий
549,sauber::A,சுத்தமான,охайний
550,schmutzig::A,அழக்கான,брудний
551,roh::A,கச்சா,сирий
552,reif::A,பழுத்த,зрілий
553,lecker::A,சுவைமிக்க,смачний
554,süß::A,இனிப்பான,солодкий
555,bitter::A,கசப்பான,гіркий
556,sauer::A,புளிப்பாக,кислий
557,hell::A,பளபளப்பான,світлий
558,dunkel::A,கருமையான,темний
559,schwarz::A,கருப்பு வண்ண,чорний
560,weiß::A,வெண்மையன,сивий
561,rot::A,சிவப்பு,червоний
562,gelb::A,மஞ்சள் வண்ணம்,жовтий
563,blau::A,நீல வண்ண,синій
564,grün::A,பச்சை வண்ண,зелений
565,grau::A,சாம்பல் நிற,сірий
566,bunt::A,வண்ண மயமான,барвистий
567,billig::A,மலிவான,дешевий
568,teuer::A,விலை அதிகமான,дорогий
569,wertvoll::A,மதிப்புள்ள,цінний
570,blind::A,பார்வையற்ற,сліпий
571,taub::A,செவிடான,глухий
572,kräftig::A,வலிமையான,могутній
573,stark::A,பலமான,сильний
574,schwach::A,பலவீனமான,слабкий
575,fett::A,பருமனாக,жирний
576,fett::A,பருமனாக,товстий
577,schlank::A,ஒல்லியான,тонкий
578,schlank::A,ஒல்லியான,стрункий
579,hübsch::A,அழகிய,чарівний
580,böse::A,கேடு விளைவிக்கும்,злий
581,böse::A,கேடு விளைவிக்கும்,лихий
582,dumm::A,முட்டாள்தனமான,дурний
583,faul::A,சோம்பலான,ледачий
584,fleißig::A,ஊக்கந்தளராத,старанний
585,geizig::A,கஞேசத்தனமான,скупий
586,klug::A,சாதுரியமான,мудрий
587,klug::A,சாதுரியமான,розумний
588,geschickt::A,திறமையள்ள,умілий
589,lieb::A,அன்புக்குரிய,милий
590,lustig::A,களிப்புமிக்க,веселий
591,sanft::A,சாதுவான,лагідний
592,hungrig::A,பசியுடன்,голодний
593,krank::A,நோயுற்று,слабий
594,nackt::A,ஆடையற்ற,голий
595,traurig::A,சோகமான,сумний
596,lebendig::A,பிழைப்பு,живий
597,gut::A,நல்ல,добрий
598,schlecht::A,கெட்ட,поганий
599,schlecht::A,கெட்ட,кепський
600,richtig::A,சரியான,правильний
601,schlimm::A,அருவருப்பான,бридкий
602,wahr::A,உண்மையான,справжній
603,alt::A,பழைய,старий
604,neu::A,புதிய,новий
605,ehemalig::A,முன்நாள்,колишній
606,alt[Lebewesen]::A,வயதான,старий
607,jung::A,இளமையான,молодий
608,arm::A,ஏழ்மையான,бідний
609,reich::A,செல்வம் படைத்த,багатий
610,bekannt::A,பழக்கப்பட்ட,знайомий
611,berühmt::A,புகழ்பெற்ற,славетний
612,fremd::A,அயல் நாட்டு,чужий
613,verschieden::A,வித்தியாசமான,різний
614,nah::A,பக்கத்தில் உள்ள,близький
615,fern::A,தொலை தூரத்தில்,далекий
616,linker::A,மீந்திருக்கும்,лівий
617,rechter::A,வலதுபக்கம்,правий
618,anderer::A,மற்ற,інакший
619,erster::A,முதனமையான,перший
620,zweiter::A,இரண்டாவது,другий
621,dritter::A,மூன்றாவது,третій
622,letzter::A,கடைசி,останній
623,allein::ADV,தனியாக,сам
624,allein::ADV,தனியாக,один
625,auf einmal::ADV,தடீரென்று,відразу
626,zusammen::ADV,சேர்ந்து,разом
627,zusammen::ADV,சேர்ந்து,спільно
628,lange::ADV,அதிக நோம்,довго
629,plötzlich::ADV,தடீரென்று,раптом
630,sofort::ADV,உடனடியாக,зараз
631,später::ADV,பிறகு,пізніше
632,jetzt::ADV,இப்பொழது,тепер
633,heute::ADV,இன்று,сьогодні
634,morgen::ADV,நாளைக்கு,завтра
635,bald::ADV,சீக்கிரம்,незабаром
636,dann::ADV,அப்பொழுது,потім
637,gestern::ADV,நேற்று,вчора
638,einst::ADV,ஒரே முறை,колись
639,damals::ADV,அப்பொழுது,тоді
640,danach::ADV,பிற்பாடு,згодом
641,vorher::ADV,முன்பாக,раніше
642,zuerst::ADV,முதலில்,спершу
643,zuerst::ADV,முதலில்,спочатку
644,einmal::ADV,ஒரே முறை,один раз
645,manchmal::ADV,சில நேரங்களில்,іноді
646,manchmal::ADV,சில நேரங்களில்,інколи
647,oft::ADV,அடிக்கடி,часто
648,immer::ADV,எப்பொழுதும்,завжди
649,niemals::ADV,ஒருபோதும் இல்லை,ніколи
650,hier::ADV,இங்கே,тут
651,hierhin::ADV,இவ்விடத்திற்கு,сюди
652,von hier::ADV,இனி,звідси
653,dort::ADV,அங்கே,там
654,dorthin::ADV,அவ்விடத்திற்கு,туди
655,geradeaus::ADV,முன்னாலிருக்கும்,прямо
656,vorwärts::ADV,முன்புறமாக,вперед
657,rückwärts::ADV,பின்னோக்கி,назад
658,zurück::ADV,பின்பக்கம்,назад
659,unten::ADV,கீழாக,внизу
660,hinab::ADV,கீழ் நோக்கி,вниз
661,oben::ADV,மேலே,вгорі
662,hinauf::ADV,மேலே,вгору
663,überall::ADV,எல்லா இடத்திலும்,скрізь
664,nicht::ADV,இல்லை,не
665,ein wenig::ADV,கொஞ்சம்,трохи
666,ein wenig::ADV,கொஞ்சம்,небагато
667,kaum::ADV,அரிதாக,ледве
668,sehr::ADV,மிக்க,дуже
669,so::ADV,மிகவும்,так
670,noch::ADV,இப்பொழுதும்,ще
671,nur::ADV,மட்டும்,лише
672,nur::ADV,மட்டும்,тільки
673,schon::ADV,ஏற்கனவே,вже
674,wieder::ADV,மறுபடியும்,знову
675,vergebens::ADV,வீண்,дарма
676,vor::PRP,முன்,перед
677,hinter::PRP,பின்பக்கம்,ззаду
678,hinter::PRP,பின்பக்கம்,позаду
679,unter::PRP,கீழே,під
680,durch::PRP,ஊடே,крізь
681,neben::PRP,அடுத்து,біля
682,zwischen::PRP,இடையில்,між
683,wegen::PRP,ஏனெனில்,з-за
684,wegen::PRP,ஏனெனில்,через
685,dies::PRN,இது,це
686,das::PRN,அது,то
687,alles::PRN,ஒவ்வொன்றும்,все
688,ich::PRN,நான்,я
689,du::PRN,நீ,ти
690,er::PRN,அவன்,він
691,wir::PRN,நாம்,ми
692,wir::PRN,நாங்கள்,ми
693,ihr::PRN,நீங்கள்,ви
694,sie::PRN,அவர்கள்,вони
695,was::FPRN,என்ன,що
