,Concept_ID,no,mhr
92,Hitze::N,hete,шо́кшо
93,Raureif::N,rimfrost,пӧрш
94,Raureif::N,rimfrost,по́кшым
95,Regenbogen::N,regnbue,шонанпы́л
96,Donner::N,torden,кӱ́дырчӧ
97,Strömung::N,strømning,йо́гын
98,Tropfen::N,dråpe,чӱча́лтыш
99,Schaum::N,skum,шоҥ
100,Schmutz::N,søl,лавыра́
101,Schmutz::N,skitt,лавыра́
102,See::N,sjø,ер
103,Sumpf::N,sump,лӱ́кӧ
104,Sumpf::N,myrlende,лӱ́кӧ
105,Moor::N,myr,куп
106,Moor::N,myrhei,куп
107,Wiese::N,eng,о́лык
108,Wald::N,skog,чодыра́
109,Hügel::N,haug,арка́
110,Hügel::N,bakke,арка́
111,Anhöhe::N,haug,тӧва́
112,Anhöhe::N,haug,кӱкшака́
113,Anhöhe::N,bakke,тӧва́
114,Anhöhe::N,bakke,кӱкшака́
115,Berg::N,berg,ку́рык
116,Berg::N,fjell,ку́рык
117,Gipfel::N,topp,чаҥга́
118,Gipfel::N,topp,курыкву́й
119,Höhle::N,hule,пеще́р
120,Höhle::N,hule,курыкпо́мыш
121,Abhang::N,li,та́йыл
122,Abhang::N,skråning,та́йыл
123,Quelle::N,kilde,важ
124,Quelle::N,kilde,вӱдшинча́
125,Bach::N,bekk,изэҥе́р
126,Fluss::N,elv,эҥе́р
127,Ufer::N,bredd,сер
128,Küste::N,kyst,вӱдтӱ́р
129,Festland::N,fastland,мла́нде
130,Meer::N,hav,те́ҥыз
131,Bucht::N,bukt,икса́
132,Insel::N,øy,отро́
133,Blume::N,blomst,пеле́дыш
134,Gras::N,gress,шу́до
135,Wurzel::N,rot,вож
136,Baum::N,tre,пуше́ҥге
137,Stamm::N,stamme,йы́тыр
138,Rinde::N,bark,шӱм
139,Ast::N,gren,укш
140,Zweig::N,kvist,торма́к
141,Blatt::N,blad,лышта́ш
142,Birke::N,bjørk,куэ́
143,Kiefer[Baum]::N,furu,пӱ́нчӧ
144,Weide[Baum]::N,selje,уа́
145,Weide[Baum]::N,piletre,уа́
146,Tanne::N,gran,кож
147,Horn::N,horn,шур
148,Feder::N,fjær,пы́стыл
149,Fell::N,skinn,кова́ште
150,Flügel::N,vinge,шу́лдыр
151,Klaue::N,klauv,кӱч
152,Kralle::N,klo,ла́па
153,Kralle::N,klo,копа́
154,Schwanz::N,hale,поч
155,Ei::N,egg,му́но
156,Nest::N,rede,пыжа́ш
157,Bau::N,hi,пыжа́ш
158,Tier::N,dyr,я́нлык
159,Tier::N,dyr,живо́тный
160,Herde::N,flokk,кӱ́тӱ
161,Herde::N,flokk,тӱшка́
162,Kuh::N,ku,ушка́л
163,Bulle::N,tyr,ӱ́шкыж
164,Pferd::N,hest,и́мне
165,Schaf::N,får,шо́рык
166,Schwein::N,gris,сӧсна́
167,Hund::N,hund,пий
168,Katze::N,katt,пы́рыс
169,Bär::N,bjørn,маска́
170,Eichhörnchen::N,ekorn,ур
171,Elch::N,elg,шо́рдо
172,Fuchs::N,rev,ры́выж
173,Hase::N,hare,мера́ҥ
174,Maus::N,mus,коля́
175,Wolf::N,ulv,пи́ре
176,Wolf::N,varg,пи́ре
177,Vogel::N,fugl,ка́йык
178,Schwarm::N,sverm,каша́к
179,Huhn::N,høne,чы́ве
180,Hahn::N,hane,агыта́н
181,Gans::N,gås,ко́мбо
182,Adler::N,ørn,карагу́ш
183,Ente::N,and,лу́до
184,Eule::N,ugle,тумна́
185,Kranich::N,trane,турня́
186,Krähe::N,kråke,кора́к
187,Kuckuck::N,gjøk,куку́
188,Schwan::N,svane,йӱ́ксӧ
189,Fisch::N,fisk,кол
190,Barsch::N,abbor,ола́ҥге
191,Hecht::N,gjedde,нуж
192,Hecht::N,gjedde,чорта́н
193,Schlange[Tier]::N,orm,ки́шке
194,Schlange[Tier]::N,slange,ки́шке
195,Wurm::N,orm,шукш
196,Wurm::N,mark,шукш
197,Spinne::N,edderkopp,эҥыре́мыш
198,Ameise::N,maur,ку́тко
199,Laus::N,lus,тий
200,Mücke::N,mygg,шыҥа́
201,Fliege::N,flue,ка́рме
202,Schmetterling::N,sommerfugl,лы́ве
203,Beere::N,bær,мӧр
204,Apfel::N,eple,олма́
205,Pilz::N,sopp,по́ҥго
206,Zwiebel::N,løk,шога́н
207,Saat::N,sæd,нӧ́шмӧ
208,Saat::N,sæd,туш
209,Korn::N,korn,шу́рно
210,Heu::N,høy,шу́до
211,Schale::N,skall,шӱм
212,Grube::N,grop,выне́м
213,Falle::N,felle,лӧ́дӧ
214,Schlinge::N,snare,о́птыш
215,Schlinge::N,snare,шӧрга́лтыш
216,Spur::N,spor,кыша́
217,Asche::N,aske,ло́мыж
218,Dreck::N,møkk,лавыра́
219,Dreck::N,skitt,лавыра́
220,Eisen::N,jern,кӱ́ртньӧ
221,Gold::N,gull,шӧ́ртньӧ
222,Silber::N,sølv,ший
223,Kohle::N,kol,мландышӱ́й
224,Kohle::N,kull,мландышӱ́й
225,Glas::N,glass,янда́
226,Lehm::N,leire,шун
227,Sand::N,sand,ошма́
228,Mensch::N,menneske,еҥ
229,Mensch::N,menneske,айде́ме
230,Mann::N,mann,пӧръе́ҥ
231,Frau::N,kvinne,ӱдырама́ш
232,Kind::N,barn,аза́
233,Junge::N,gutt,рве́зе
234,Mädchen::N,pike,ӱдыра́ш
235,Mädchen::N,jente,ӱдыра́ш
236,Familie::N,familie,еш
237,Großvater::N,bestefar,коча́
238,Großmutter::N,bestemor,кова́
239,Eltern::N,foreldre,ача́-ава́
240,Vater::N,far,ача́
241,Mutter::N,mor,ава́
242,Sohn::N,sønn,э́рге
243,Tochter::N,datter,ӱ́дыр
244,Bruder::N,bror,иза́
245,Bruder::N,bror,шо́льо
246,Schwester::N,søster,ака́
247,Onkel::N,onkel,иза́
248,Tante::N,tante,кока́
249,Ehemann::N,ektemann,мари́й
250,Ehefrau::N,hustru,ва́те
251,Freude::N,glede,куа́н
252,Freude::N,glede,куаныма́ш
253,Gelächter::N,latter,во́штылтыш
254,Glück::N,lykke,пиа́л
255,Kummer::N,sorg,о́йго
256,Wunsch::N,ønske,ку́мыл
257,Lust::N,lyst,ку́мыл
258,Geist::N,ånd,ӧрт
259,Geist::N,ånd,чон
260,Gedanke::N,tanke,ой
261,Gedanke::N,tanke,шоныма́ш
262,Gedächtnis::N,minne,шарныма́ш
263,Gedächtnis::N,hukommelse,шарныма́ш
264,Verstand::N,forstand,уш
265,Sinn::N,mening,смысл
266,Sinn::N,betydning,смысл
267,Grund::N,grunn,ама́л
268,Wahrheit::N,sannhet,чын
269,Gespräch::N,samtale,мутланыма́ш
270,Märchen::N,eventyr,йома́к
271,Erzählung::N,fortelling,ойлыма́ш
272,Nachricht::N,melding,увертарыма́ш
273,Neuigkeit::N,nyhet,уве́р
274,Name::N,navn,лӱм
275,Rätsel::N,gåte,ту́што
276,Rede::N,tale,ойлыма́ш
277,Sprache::N,språk,йы́лме
278,Stimme::N,stemme,йӱк
279,Wort::N,ord,ой
280,Wort::N,ord,мут
281,Zeichen::N,tegn,ти́ште
282,Zeichen::N,tegn,знак
283,Ruf::N,rop,ӱжма́ш
284,Lärm::N,bråk,лӱшкыма́ш
285,Lärm::N,bråk,йӱк-йӱа́н
286,Laut::N,lyd,йӱк
287,Ton::N,tone,йӱксе́м
288,Lied::N,vise,му́ро
289,Ruhe::N,ro,ты́мык
290,Leute::N,folk,еҥ-влак
291,Volk::N,folk,ка́лык
292,Arbeit::N,arbeid,паша́
293,Gast::N,gjest,уна́
294,Geschenk::N,gave,пӧле́к
295,Spiel::N,lek,мо́дыш
296,Spiel::N,lek,модма́ш
297,Spiel::N,spill,мо́дыш
298,Spiel::N,spill,модма́ш
299,Gesellschaft::N,selskap,тӱшка́
300,Hilfe::N,hjelp,по́лыш
301,Freund::N,venn,таҥ
302,Freund::N,venn,йолта́ш
303,Kamerad::N,kamerat,таҥ
304,Angelegenheit::N,sak,паша́
305,Angelegenheit::N,anliggende,паша́
306,Anzahl::N,antall,чот
307,Art::N,art,вид
308,Art::N,slag,вид
309,Stück::N,stykke,ка́тыш
310,Stück::N,stykke,ла́стык
311,Teil::N,del,ужа́ш
312,Hälfte::N,halvdel,пел
313,Hälfte::N,halvdel,пе́ле
314,Kreis::N,ring,ты́ртыш
315,Kreis::N,sirkel,ты́ртыш
316,Kreuz::N,kors,ыре́с
317,Kreuz::N,kryss,ыре́с
318,Linie::N,linje,ли́ний
319,Strich::N,strek,коре́ш
320,Abstand::N,avstand,кокла́
321,Entfernung::N,avstand,тора́
322,Entfernung::N,avstand,ку́жыт
323,Gegend::N,strøk,кунде́м
324,Platz::N,plass,ку́мдык
325,Ort::N,sted,вер
326,Ort::N,sted,о́лмо
327,Seite::N,side,ӧ́рдыж
328,Mitte::N,midte,покше́л
329,Gegenstand::N,gjenstand,наста́
330,Sache::N,sak,наста́
331,Rand::N,rand,тӱр
332,Kante::N,kant,тӱр
333,Ecke::N,hjørne,лук
334,Spitze::N,spiss,вуй
335,Ende::N,ende,муча́ш
336,Loch::N,hull,рож
337,Winkel::N,vinkel,лук
338,Muster::N,mønster,пеза́к
339,Muster::N,mønster,узо́р
340,Muster::N,mønster,ӱ́лгӧ
341,Größe::N,størrelse,кӱ́кшыт
342,Länge::N,lengde,ку́тыш
343,Höhe::N,høyde,кӱ́кшыт
344,Gewicht::N,vekt,не́лыт
345,Menge::N,mengde,чот
346,Haufen::N,haug,кы́шыл
347,Haufen::N,bunke,кы́шыл
348,Reihe::N,rekke,рада́м
349,Boot::N,båt,пуш
350,Ruder::N,åre,эшка́к
351,Schlitten::N,slede,тер
352,Schlitten::N,slede,изде́р
353,Schlitten::N,kjelke,тер
354,Schlitten::N,kjelke,изде́р
355,Ski::N,ski,е́че
356,Lagerfeuer::N,leirbål,туло́то
357,Last::N,bør,нӧ́лтыш
358,Last::N,last,нӧ́лтыш
359,Gang::N,gang,ошкылма́ш
360,Schritt::N,steg,о́шкыл
361,Schritt::N,skritt,о́шкыл
362,Norden::N,nord,йӱдйыма́л
363,Süden::N,sør,кечывалве́л
364,Westen::N,vest,касве́л
365,Osten::N,øst,эрве́л
366,Holz::N,tre,пу
367,Brett::N,fjøl,оҥа́
368,Brett::N,brett,оҥа́
369,Platte::N,plate,аста́р
370,Stütze::N,støtte,чара́к
371,Stange::N,stang,лома́ш
372,Stock::N,pinne,тоя́
373,Stab::N,stav,вара́
374,Stab::N,stav,кашта́
375,Stab::N,kjepp,вара́
376,Stab::N,kjepp,кашта́
377,Rohr::N,rør,пуч
378,Haus::N,hus,пӧрт
379,Heim::N,hjem,мӧ́ҥгӧ
380,Ofen::N,ovn,комака́
381,Fußboden::N,gulv,кӱва́р
382,Tisch::N,bord,ӱсте́л
383,Stuhl::N,stol,пӱке́н
384,Wiege::N,vogge,шепка́
385,Bett::N,seng,ва́кшыш
386,Regal::N,reol,шӧ́рлык
387,Regal::N,hylle,шӧ́рлык
388,Kiste::N,kasse,шо́ндык
389,Kiste::N,kasse,я́шлык
390,Fenster::N,vindu,окна́
391,Tür::N,dør,омса́
392,Tor::N,port,капка́
393,Zaun::N,gjerde,сава́р
394,Dach::N,tak,леве́дыш
395,Leiter::N,stige,тошка́лтыш
396,Besen::N,kost,ӱштерво́штыр
397,Spaten::N,spade,ко́льмо
398,Schaufel::N,skuffe,сово́к
399,Schaufel::N,skuffe,су́ско
400,Gabel::N,gaffel,ви́лке
401,Löffel::N,skje,па́не
402,Löffel::N,skje,совла́
403,Messer::N,kniv,кӱ́зӧ
404,Nagel::N,spiker,пуда́
405,Netz::N,nett,вапш
406,Haken::N,krok,са́гыле
407,Griff::N,tak,кыл
408,Griff::N,håndtak,кыл
409,Schloss::N,lås,кӧгӧ́н
410,Bild::N,bilde,сӱре́т
411,Figur::N,figur,фигу́р
412,Puppe::N,dukke,курча́к
413,Beutel::N,pose,меша́к
414,Bündel::N,bylt,арша́ш
415,Tasche::N,veske,сумка́
416,Eimer::N,bøtte,ведра́
417,Deckel::N,lokk,ко́мдыш
418,Geschirr::N,kjøkkentøy,а́те
419,Sack::N,sekk,куль
420,Sack::N,sekk,меша́к
421,Tasse::N,kopp,чу́кыр
422,Tasse::N,kopp,чашка́
423,Topf::N,gryte,ми́ске
424,Kessel::N,kjele,под
425,Essen::N,mål,ко́чкыш
426,Nahrung::N,mat,ку́рго
427,Nahrung::N,næring,ку́рго
428,Speise::N,matrett,ко́чкыш
429,Fleisch::N,kjøtt,шыл
430,Getreide::N,korn,шу́рно
431,Brei::N,grøt,пу́чымыш
432,Brot::N,brød,ки́нде
433,Scheibe::N,skive,ка́тыш
434,Fett::N,fett,коя́
435,Butter::N,smør,ӱй
436,Öl::N,olje,ӱй
437,Salz::N,salt,шинча́л
438,Suppe::N,suppe,шӱр
439,Honig::N,honning,мӱй
440,Milch::N,melk,шӧр
441,Tee::N,te,чай
442,Leder::N,lær,сура́н
443,Leder::N,lær,шӱ́штӧ
444,Leder::N,skinn,сура́н
445,Leder::N,skinn,шӱ́штӧ
446,Wolle::N,ull,пун
447,Stoff::N,tøy,куэ́м
448,Stoff::N,tøy,посто́
449,Stoff::N,stoff,куэ́м
450,Stoff::N,stoff,посто́
451,Nadel::N,nål,и́ме
452,Faden::N,tråd,шӱ́ртӧ
453,Knopf::N,knapp,по́лдыш
454,Knoten::N,knute,пышке́м
455,Farbe::N,farge,чия́
456,Kleidung::N,påkledning,чие́м
457,Kleidung::N,påkledning,вурге́м
458,Hemd::N,skjorte,ту́выр
459,Kragen::N,krage,сога́
460,Ärmel::N,erme,шокш
461,Hose::N,bukse,йола́ш
462,Gürtel::N,belte,ӱ́штӧ
463,Mütze::N,lue,упш
464,Schuh::N,sko,боти́нке
465,Stiefel::N,støvel,кем
466,Ring::N,ring,шерга́ш
467,Band::N,band,тасма́
468,Band::N,band,ле́нте
469,Kamm::N,kam,шерге́
470,Spiegel::N,speil,вошто́нчыш
471,Riemen::N,rem,кӱзанӱ́штӧ
472,Schnur::N,snor,кере́м
473,Schnur::N,snor,кандыра́
474,Leine::N,line,вӱра́ҥ
475,Decke::N,teppe,леве́дыш
476,Decke::N,teppe,одея́л
477,Kissen::N,pute,кӱ́пчык
478,Tuch::N,tøy,шо́выч
479,Handtuch::N,håndkle,со́лык
480,Kraft::N,kraft,вий
481,Kraft::N,kraft,куа́т
482,Stärke::N,styrke,куа́т
483,Stärke::N,styrke,карма́н
484,Gesundheit::N,helse,таза́лык
485,Gesundheit::N,sunnhet,таза́лык
486,Krankheit::N,syke,чер
487,Krankheit::N,sykdom,чер
488,Schmerz::N,smerte,ко́рштыш
489,Wunde::N,sår,су́сыр
490,Fieber::N,feber,йӱштыму́ж
491,Fieber::N,feber,лихора́дке
492,Arznei::N,medisin,эм
493,Arznei::N,legemiddel,эм
494,Brücke::N,bro,кӱва́р
495,Brunnen::N,brønn,вӱдвыне́м
496,Weide::N,beite,нурше́р
497,Pfad::N,sti,йолго́рно
498,Pfad::N,sti,сокма́к
499,Weg::N,vei,ко́рно
500,Straße::N,gate,ко́рно
501,Dorf::N,landsby,ял
502,Stadt::N,by,ола́
503,Brief::N,brev,се́рыш
504,Buch::N,bok,книга́
505,Buchstabe::N,bokstav,буква́
506,Zeitung::N,avis,газе́т
507,Leben::N,liv,и́лыш
508,Tod::N,død,колыма́ш
509,Grab::N,grav,шӱга́р
510,Kirche::N,kirke,че́рке
511,Sünde::N,synd,су́лык
512,Gott::N,gud,ю́мо
513,Arbeiter::N,arbeider,паша́зе
514,Chef::N,sjef,тӧра́
515,Meister::N,mester,маста́р
516,Arzt::N,lege,врач
517,Lehrer::N,lærer,ту́ныктышо
518,Geld::N,penger,окса́
519,Geschäft::N,forretning,сатулыма́ш
520,Laden::N,butikk,ке́выт
521,Preis::N,pris,ак
522,Ware::N,vare,сату́
523,Nutzen::N,nytte,пайда́
524,Reichtum::N,rikdom,поя́нлык
525,Welt::N,verden,тӱня́
526,Land::N,land,эл
527,Staat::N,stat,кугыжа́ныш
528,König::N,konge,кугыжа́
529,Macht::N,makt,власть
530,Grenze::N,grense,грани́ца
531,Krieg::N,krig,сар
532,Feind::N,fiende,тушма́н
533,Gewalt::N,vold,виешлыма́ш
534,Kampf::N,kamp,кредалма́ш
535,Bogen[Waffe]::N,bue,юҥе́ж
536,Pfeil::N,pil,пикш
537,Gewehr::N,gevær,пыча́л
538,Fehler::N,feil,йо́ҥылыш
539,Lüge::N,løgn,шоя́к
540,Schaden::N,skade,зия́н
541,Unglück::N,uhell,эҥге́к
542,Schuld::N,skyld,тита́к
543,Schuld::N,skyld,йола́
544,Alter::N,alder,ийго́т
545,Schluss::N,slutt,муча́ш
546,Zeit::N,tid,жап
547,Zeit::N,tid,па́гыт
548,Tag::N,dag,ке́че
549,Morgen::N,morgen,эр
550,Mittag::N,middag,кечыва́л
551,Abend::N,aften,кас
552,Nacht::N,natt,йӱд
553,Woche::N,uke,арня́
554,Monat::N,måned,ты́лзе
555,Jahr::N,år,ий
556,Frühling::N,vår,шо́шо
557,Sommer::N,sommer,кеҥе́ж
558,Herbst::N,høst,шы́же
559,Winter::N,vinter,те́ле
560,Januar::N,januar,шоркыйол
561,Januar::N,januar,идалыкву́й
562,Januar::N,januar,янва́рь
563,Februar::N,februar,пургыж
564,Februar::N,februar,февра́ль
565,März::N,mars,ӱярня
566,März::N,mars,март
567,April::N,april,апре́ль
568,Mai::N,mai,ага
569,Mai::N,mai,май
570,Juni::N,juni,пеледыш
571,Juni::N,juni,ию́нь
572,Juli::N,juli,сӱрем
573,Juli::N,juli,ию́ль
574,August::N,august,сорла
575,August::N,august,агарма́н
576,August::N,august,а́вгуст
577,September::N,september,идым
578,September::N,september,сентя́брь
579,Oktober::N,oktober,шыжа
580,Oktober::N,oktober,октя́брь
581,November::N,november,кылме тылзе
582,November::N,november,ноя́брь
583,Dezember::N,desember,дека́брь
584,Montag::N,mandag,шо́чмо
585,Dienstag::N,tirsdag,ку́шкыжмо
586,Mittwoch::N,onsdag,вӱрге́че
587,Donnerstag::N,torsdag,изарня́
588,Freitag::N,fredag,кугарня́
589,Samstag::N,lørdag,шуматке́че
590,Sonntag::N,søndag,рушарня́
591,groß::A,stor,кугу́
592,klein::A,liten,изи́
593,lang::A,lang,кужу́
594,kurz::A,kort,кӱ́чык
595,breit::A,bred,кумда́
596,schmal::A,smal,а́ҥысыр
597,dicht::A,tett,ну́гыдо
598,dick[Gegenstand]::A,tykk,кӱ́жгӧ
599,dünn::A,tynn,ви́чкыж
600,fein::A,fin,ты́гыде
601,fest::A,fast,чо́ткыдо
602,flach::A,flat,лапка́
603,glatt::A,glatt,яклака́
604,hart::A,hard,пе́ҥгыде
605,weich::A,myk,пу́шкыдо
606,weich::A,bløt,пу́шкыдо
607,rund::A,rund,йырге́шке
608,spitz::A,spiss,коша́р
609,scharf::A,kvass,пӱ́сӧ
610,stumpf::A,stubb,токма́к
611,schwer::A,tung,не́ле
612,schön::A,pen,сы́лне
613,schön::A,vakker,сы́лне
614,heiß::A,het,шо́кшо
615,warm::A,varm,ле́ве
616,kalt::A,kald,йӱ́штӧ
617,kühl::A,kjølig,юа́лге
618,kühl::A,kjølig,южгата́
619,frisch::A,fersk,свежа́
620,feucht::A,fuktig,вӱ́дыжгӧ
621,nass::A,våt,нӧ́рӧ
622,trocken::A,tørr,ку́кшо
623,voll::A,full,тич
624,leer::A,tom,яра́
625,offen::A,åpen,виш
626,geschlossen::A,lukket,пе́тырыме
627,geschlossen::A,lukket,тӱ́чмӧ
628,sauber::A,ren,ару́
629,sauber::A,ren,янда́р
630,schmutzig::A,skitten,лавыра́н
631,schmutzig::A,skitten,ла́выргыше
632,roh::A,rå,кӱ́чымӧ
633,reif::A,moden,лӧза́
634,lecker::A,lekker,ту́тло
635,süß::A,søt,ше́ре
636,bitter::A,besk,ко́чо
637,bitter::A,bitter,ко́чо
638,sauer::A,sur,шо́по
639,hell::A,lys,во́лгыдо
640,dunkel::A,mørk,пычке́мыш
641,schwarz::A,svart,шола́
642,weiß::A,hvit,ош
643,rot::A,rød,йошка́р
644,gelb::A,gul,сар
645,blau::A,blå,ка́нде
646,grün::A,grønn,ужа́р
647,grau::A,grå,сур
648,bunt::A,broket,олача́
649,billig::A,billig,шу́лдо
650,teuer::A,dyr,ше́рге
651,wertvoll::A,verdifull,шергака́н
652,blind::A,blind,со́кыр
653,taub::A,døv,соҥгыра́
654,kräftig::A,kraftig,куа́тле
655,stark::A,sterk,вия́н
656,schwach::A,svak,а́лдыме
657,fett::A,fet,коя́
658,schlank::A,slank,йоштката́
659,schlank::A,slank,яжу́
660,hübsch::A,pen,чеве́р
661,böse::A,slem,шы́де
662,dumm::A,dum,аҥыра́
663,faul::A,lat,його
664,faul::A,doven,його
665,fleißig::A,flittig,ты́ршыше
666,geizig::A,gjerrig,чаҥга́
667,klug::A,klok,уша́н
668,geschickt::A,hendig,уста́
669,geschickt::A,skikket,уста́
670,lieb::A,kjær,ала́л
671,lieb::A,snill,ала́л
672,lustig::A,morsom,весела́
673,sanft::A,blid,ны́жылге
674,hungrig::A,sulten,шу́жышо
675,krank::A,syk,че́рле
676,nackt::A,naken,чарама́т
677,traurig::A,sørgmodig,ойга́н
678,lebendig::A,levende,и́лыше
679,gut::A,god,сай
680,schlecht::A,dårlig,уда́
681,schlecht::A,dårlig,шӱ́кшӧ
682,richtig::A,riktig,чы́нле
683,schlimm::A,slem,аля́к
684,schlimm::A,slem,тыра́н
685,wahr::A,sann,чы́нле
686,wahr::A,sann,настоя́щий
687,alt::A,gammel,то́што
688,neu::A,ny,у
689,ehemalig::A,forhenværende,о́нчычсо
690,ehemalig::A,forhenværende,онда́кысе
691,alt[Lebewesen]::A,gammel,шо́нто
692,jung::A,ung,са́мырык
693,arm::A,fattig,нужна́
694,reich::A,rik,поя́н
695,bekannt::A,kjent,па́лыме
696,berühmt::A,berømt,лӱ́млӧ
697,fremd::A,fremmed,йот
698,verschieden::A,forskjellig,тӱ́рлӧ
699,nah::A,nær,ли́шыл
700,fern::A,fjern,тора́
701,fern::A,fjern,мӱ́ндыр
702,linker::A,venstre,шола́
703,rechter::A,høyre,пурла́
704,anderer::A,annen,вес
705,anderer::A,annen,мо́ло
706,erster::A,første,и́кымше
707,zweiter::A,annen,ко́кымшо
708,dritter::A,tredje,ку́мшо
709,letzter::A,sist,пыта́ртыш
710,allein::ADV,alene,шкет
711,auf einmal::ADV,med ett,икана́ште
712,zusammen::ADV,sammen,пырля́
713,lange::ADV,lenge,кужу́н
714,plötzlich::ADV,plutselig,кенета́
715,sofort::ADV,straks,кызыта́к
716,später::ADV,senere,варара́к
717,jetzt::ADV,nå,ы́нде
718,jetzt::ADV,nå,кы́зыт
719,heute::ADV,i dag,та́че
720,morgen::ADV,i morgen,эрла́
721,bald::ADV,snart,вашке́
722,dann::ADV,så,вара́
723,gestern::ADV,i går,теҥге́че
724,einst::ADV,engang,икана́
725,damals::ADV,den gang,туна́м
726,danach::ADV,deretter,вара́
727,vorher::ADV,før,о́нчыч
728,vorher::ADV,i forveien,о́нчыч
729,zuerst::ADV,først,онда́к
730,einmal::ADV,en gang,икана́
731,manchmal::ADV,somme tider,ка́шын
732,manchmal::ADV,somme tider,кокла́н
733,oft::ADV,ofte,чӱ́чкыдын
734,immer::ADV,alltid,эре́
735,immer::ADV,alltid,ту́тыш
736,niemals::ADV,aldri,ок нигуна́м
737,hier::ADV,her,ты́ште
738,hierhin::ADV,hit,ты́шке
739,hierhin::ADV,hit,тыш
740,von hier::ADV,herfra,тыше́ч
741,von hier::ADV,herfra,тыве́ч
742,dort::ADV,der,ту́што
743,dorthin::ADV,dit,туш
744,dorthin::ADV,dit,ту́шко
745,geradeaus::ADV,rett fram,вик
746,vorwärts::ADV,fram,о́нчыко
747,vorwärts::ADV,framover,о́нчыко
748,rückwärts::ADV,baklengs,шеҥге́к
749,zurück::ADV,tilbake,мӧҥге́ш
750,unten::ADV,nede,ӱ́лнӧ
751,unten::ADV,nede,йыма́лне
752,hinab::ADV,ned,йыма́к
753,hinab::ADV,nedover,йыма́к
754,oben::ADV,oppe,кӱ́шнӧ
755,oben::ADV,oppe,ӱмба́лне
756,oben::ADV,ovenpå,кӱ́шнӧ
757,oben::ADV,ovenpå,ӱмба́лне
758,hinauf::ADV,opp,кӱ́ш
759,hinauf::ADV,opp,кӱ́шкӧ
