,Concept_ID,kk,pt
60,Geschmack::N,дәм,gosto
61,Geschmack::N,татым,gosto
62,Geschmack::N,талғам,gosto
63,Geruch::N,иіс,odor
64,Geruch::N,иіс,cheiro
65,Schlaf::N,ұйқы,sono
66,Schlaf::N,ұйықтау,sono
67,Traum::N,түс,sonho
68,Himmel::N,аспан,céu
69,Himmel::N,көқ,céu
70,Himmel::N,таңдай,céu
71,Sonne::N,күн,sol
72,Mond::N,ай,lua
73,Stern::N,жұлдыз,estrela
74,Luft::N,әуе,ar
75,Wind::N,жел,vento
76,Welle::N,толқын,onda
77,Wasser::N,су,água
78,Stein::N,тас,pedra
79,Boden::N,қыртыс,solo
80,Erde::N,топырақ,terra
81,Staub::N,шаң,pó
82,Rauch::N,түтін,fumo
83,Funke::N,ұшқын,faísca
84,Funke::N,ұшқын,centelha
85,Feuer::N,алау,fogo
86,Licht::N,шұғыла,luz
87,Schatten::N,көлеңке,sombra
88,Wetter::N,ауа райы,tempo
89,Nebel::N,тұман,nevoeiro
90,Wolke::N,бұлт,nuvem
91,Regen::N,жаңбыр,chuva
92,Schnee::N,қар,neve
93,Eis::N,мұз,gelo
94,Frost::N,суық,gelo
95,Frost::N,суық,geada
96,Kälte::N,ызғар,frio
97,Kälte::N,суықтық,frio
98,Hitze::N,аптап,ardor
99,Raureif::N,қырау,geada
100,Regenbogen::N,кемпірқосақ,arco-iris
101,Donner::N,күн күркіреу,trovão
102,Strömung::N,ағын,corrente
103,Tropfen::N,тамшы,gota
104,Schaum::N,көбік,espuma
105,Schmutz::N,кір,sujidade
106,Schmutz::N,кір,imundície
107,See::N,көл,lago
108,Sumpf::N,саз,charco
109,Sumpf::N,саз,pântano
110,Moor::N,саз,pântano
111,Wiese::N,шалғын,prado
112,Wald::N,орман,bosque
113,Wald::N,орман,floresta
114,Hügel::N,төбе,colina
115,Hügel::N,белес,colina
116,Hügel::N,белес-белес,colina
117,Anhöhe::N,дөң,alto
118,Anhöhe::N,дөң,outeiro
119,Anhöhe::N,адыр,alto
120,Anhöhe::N,адыр,outeiro
121,Anhöhe::N,қырат,alto
122,Anhöhe::N,қырат,outeiro
123,Berg::N,тау,monte
124,Berg::N,тау,montanha
125,Gipfel::N,төбе,pico
126,Höhle::N,үңгір,caverna
127,Abhang::N,бауыр,encosta
128,Quelle::N,қайнар,fonte
129,Bach::N,жылға,regato
130,Bach::N,жылға,ribeiro
131,Fluss::N,өзен,rio
132,Ufer::N,жиек,beira
133,Küste::N,жиегі,costa
134,Küste::N,жағалау,costa
135,Festland::N,құрылық,terra firme
136,Meer::N,теңіз,mar
137,Bucht::N,шығанақ,baía
138,Insel::N,арал,ilha
139,Blume::N,гүл,flor
140,Gras::N,от,erva
141,Wurzel::N,түбір,raiz
142,Baum::N,ағаш,árvore
143,Baum::N,дарақ,árvore
144,Stamm::N,сояу,tronco
145,Stamm::N,оқпан,tronco
146,Rinde::N,қабық,casca
147,Ast::N,бұтақ,ramo
148,Zweig::N,шыбық,galho
149,Blatt::N,жапырақ,folha
150,Birke::N,қайың,bétula
151,Kiefer[Baum]::N,қарағай,pinheiro
152,Weide[Baum]::N,тал,salgueiro
153,Tanne::N,шырша,abeto
154,Horn::N,мүйіз,corno
155,Horn::N,мүйіз,chifre
156,Feder::N,қаламұш,pena
157,Fell::N,тері,pele
158,Flügel::N,қанат,asa
159,Klaue::N,тырнақ,pata
160,Kralle::N,аяқ,unha
161,Kralle::N,аяқ,garra
162,Schwanz::N,құйрық,rabo
163,Schwanz::N,құйрық,cauda
164,Ei::N,жұмыртқа,ovo
165,Nest::N,ұя,ninho
166,Bau::N,жатақ,toca
167,Bau::N,жатақ,covil
168,Tier::N,айуан,animal
169,Tier::N,жануар,animal
170,Herde::N,пада,rebanho
171,Kuh::N,сиыр,vaca
172,Bulle::N,өгіз,touro
173,Pferd::N,жылқы,cavalo
174,Schaf::N,қой,ovelha
175,Schwein::N,шошқа,porco
176,Hund::N,ит,cão
177,Katze::N,мысық,gata
178,Bär::N,аю,urso
179,Eichhörnchen::N,тиін,esquilo
180,Elch::N,бұғы,alce
181,Fuchs::N,түлкі,raposa
182,Hase::N,қоян,lebre
183,Maus::N,қаптесер,rato
184,Wolf::N,бөрі,lobo
185,Wolf::N,қасқыр,lobo
186,Vogel::N,құс,ave
187,Vogel::N,құс,pássaro
188,Schwarm::N,топ,bando
189,Schwarm::N,топ,enxame
190,Schwarm::N,үйір,bando
191,Schwarm::N,үйір,enxame
192,Huhn::N,тауық,galinha
193,Huhn::N,мекиен,galinha
194,Hahn::N,әтеш,galo
195,Hahn::N,қораз,galo
196,Gans::N,қаз,ganso
197,Adler::N,бүркіт,águia
198,Ente::N,үйрек,pata
199,Eule::N,жапалақ,mocho
200,Eule::N,жапалақ,coruja
201,Kranich::N,тырна,grou
202,Krähe::N,қарға,gralha
203,Kuckuck::N,көкек,cuco
204,Schwan::N,аққу,cisne
205,Fisch::N,балық,peixe
206,Barsch::N,алабұға,perca
207,Hecht::N,шортан,lúcio
208,Schlange[Tier]::N,жылан,serpente
209,Wurm::N,шұбалшаң,verme
210,Spinne::N,өрмекші,aranha
211,Ameise::N,қүмырска,formiga
212,Laus::N,бит,piolho
213,Mücke::N,маса,mosquito
214,Fliege::N,шыбын,mosca
215,Schmetterling::N,көбелек,borboleta
216,Beere::N,жидек,bago
217,Apfel::N,алма,maçã
218,Pilz::N,қозықұйрық,fungo
219,Pilz::N,қозықұйрық,cogumelo
220,Pilz::N,саңыраукулақ,fungo
221,Pilz::N,саңыраукулақ,cogumelo
222,Zwiebel::N,жуа,cebola
223,Saat::N,тұқым,sementeira
224,Korn::N,дән,grão
225,Heu::N,шөп,feno
226,Schale::N,қабық,casca
227,Schale::N,қабығы,casca
228,Grube::N,ор,cova
229,Grube::N,ор,fossa
230,Falle::N,дұзақ,armadilha
231,Falle::N,қақпан,armadilha
232,Schlinge::N,ілмек,laço
233,Spur::N,із,pista
234,Spur::N,із,vestígio
235,Asche::N,күл,cinza
236,Dreck::N,былғаныш,sujidade
237,Eisen::N,темір,ferro
238,Gold::N,алтын,ouro
239,Silber::N,күміс,prata
240,Kohle::N,көмір,carvão
241,Glas::N,шыны,vidro
242,Lehm::N,балшық,barro
243,Lehm::N,балшық,argila
244,Sand::N,құм,areia
245,Mensch::N,адам,homem
246,Mensch::N,адам,pessoa
247,Mann::N,еркек,homem
248,Mann::N,ер адам,homem
249,Frau::N,бике,mulher
250,Frau::N,қатын,mulher
251,Kind::N,бала,filho
252,Kind::N,бала,criança
253,Kind::N,перзент,filho
254,Kind::N,перзент,criança
255,Junge::N,бала,rapaz
256,Junge::N,бала,menino
257,Junge::N,ер бала,rapaz
258,Junge::N,ер бала,menino
259,Mädchen::N,қыз,menina
260,Mädchen::N,қыз,rapariga
261,Familie::N,жанұя,família
262,Großvater::N,ата,avô
263,Großmutter::N,әже,avó
264,Großmutter::N,әжей,avó
265,Eltern::N,ата-аналар,pais
266,Vater::N,әке,pai
267,Mutter::N,ана,mãe
268,Sohn::N,ұл,filho
269,Tochter::N,қызым,filha
270,Bruder::N,бауырым,irmão
271,Schwester::N,әпке,irmã
272,Onkel::N,көке,tio
273,Tante::N,тәте,tia
274,Ehemann::N,ер,esposo
275,Ehefrau::N,зайып,esposa
276,Freude::N,қуаныш,prazer
277,Freude::N,қуаныш,alegria
278,Freude::N,сүйініш,prazer
279,Freude::N,сүйініш,alegria
280,Freude::N,шат-думан,prazer
281,Freude::N,шат-думан,alegria
282,Freude::N,қуаныштылық,prazer
283,Freude::N,қуаныштылық,alegria
284,Gelächter::N,күлу,risada
285,Gelächter::N,күлу,gargalhada
286,Glück::N,бақыт,felicidade
287,Glück::N,бақыттылық,felicidade
288,Kummer::N,аза,aflição
289,Kummer::N,аза,desgosto
290,Kummer::N,қайғы,aflição
291,Kummer::N,қайғы,desgosto
292,Kummer::N,қасырет,aflição
293,Kummer::N,қасырет,desgosto
294,Wunsch::N,мүдде,desejo
295,Lust::N,тәбет,vontade
296,Lust::N,ынтызар,vontade
297,Lust::N,құштарлық,vontade
298,Geist::N,рух,mente
299,Geist::N,рух,espírito
300,Gedanke::N,ой,ideia
301,Gedanke::N,ой,pensamento
302,Gedächtnis::N,ес,memória
303,Gedächtnis::N,жады,memória
304,Gedächtnis::N,ақыл-ес,memória
305,Verstand::N,ақыл,razão
306,Verstand::N,ақыл,inteligência
307,Verstand::N,парасат,razão
308,Verstand::N,парасат,inteligência
309,Sinn::N,мән,sentido
310,Sinn::N,мән,significado
311,Sinn::N,маныз,sentido
312,Sinn::N,маныз,significado
313,Sinn::N,мағына,sentido
314,Sinn::N,мағына,significado
315,Sinn::N,мән-мағына,sentido
316,Sinn::N,мән-мағына,significado
317,Grund::N,себеп,causa
318,Grund::N,себеп,motivo
319,Wahrheit::N,рас,verdade
320,Gespräch::N,әңгіме,conversa
321,Gespräch::N,әңгіме,conversação
322,Märchen::N,ертеп,conto
323,Märchen::N,ертек,conto
324,Erzählung::N,әңгіме,conto
325,Erzählung::N,әңгіме,narrativa
326,Nachricht::N,хабар,mensagem
327,Neuigkeit::N,жаңалық,notícia
328,Neuigkeit::N,жаңалық,novidade
329,Name::N,ат,nome
330,Name::N,атау,nome
331,Rätsel::N,жұмбақ,adivinha
332,Rede::N,сөз,oração
333,Rede::N,сөз,discurso
334,Sprache::N,тіл,língua
335,Stimme::N,үн,voz
336,Stimme::N,әуен,voz
337,Stimme::N,дауыс,voz
338,Wort::N,сөз,palavra
339,Zeichen::N,ишара,marca
340,Ruf::N,айғай,grito
341,Ruf::N,айғай,chamada
342,Lärm::N,айғай-шу,ruído
343,Lärm::N,айғай-шу,barulho
344,Lärm::N,айғай-ұйғай,ruído
345,Lärm::N,айғай-ұйғай,barulho
346,Laut::N,дыбыс,som
347,Laut::N,дауыс,som
348,Ton::N,әуен,tom
349,Lied::N,ән,canção
350,Lied::N,жыр,canção
351,Lied::N,ән-жыр,canção
352,Ruhe::N,тыныштық,calma
353,Ruhe::N,тыныштық,silêncio
354,Leute::N,кісілер,gente
355,Leute::N,кісілер,pessoas
356,Volk::N,халық,povo
357,Volk::N,халық,nação
358,Arbeit::N,еңбек,trabalho
359,Gast::N,қонақ,hóspede
360,Gast::N,қонақ,convidado
361,Gast::N,мейман,hóspede
362,Gast::N,мейман,convidado
363,Geschenk::N,қадия,prenda
364,Geschenk::N,қадия,presente
365,Spiel::N,ойын,jogo
366,Gesellschaft::N,қауым,companhia
367,Gesellschaft::N,жұртшылық,companhia
368,Hilfe::N,жэрдем,ajuda
369,Hilfe::N,жэрдем,socorro
370,Freund::N,дос,amigo
371,Kamerad::N,дос-жар,camarada
372,Angelegenheit::N,жұмыс,assunto
373,Anzahl::N,сан,número
374,Anzahl::N,сан,quantidade
375,Anzahl::N,саны,número
376,Anzahl::N,саны,quantidade
377,Art::N,түр,tipo
378,Art::N,түр,espécie
379,Stück::N,тілім,pedaço
380,Teil::N,үлес,peça
381,Teil::N,үлес,parte
382,Teil::N,бөлшек,peça
383,Teil::N,бөлшек,parte
384,Hälfte::N,жарты,metade
385,Kreis::N,шеңбер,círculo
386,Kreuz::N,крест,cruz
387,Linie::N,сызық,linha
388,Strich::N,сызық,traço
389,Abstand::N,ара,distância
390,Abstand::N,аралық,distância
391,Entfernung::N,аралық,distância
392,Gegend::N,өңір,área
393,Gegend::N,өңір,região
394,Platz::N,орны,lugar
395,Ort::N,орын,sítio
396,Seite::N,жақ,lado
397,Seite::N,бүйір,lado
398,Mitte::N,ортасы,meio
399,Gegenstand::N,зат,objecto
400,Gegenstand::N,нәрсе,objecto
401,Sache::N,бұйым,coisa
402,Rand::N,шет,bordo
403,Rand::N,шет,margem
404,Rand::N,шеті,bordo
405,Rand::N,шеті,margem
406,Kante::N,қыр,borda
407,Kante::N,қыр,aresta
408,Kante::N,қыры,borda
409,Kante::N,қыры,aresta
410,Ecke::N,қыры,esquina
411,Ecke::N,бұрыш,esquina
412,Spitze::N,ұшы,ponta
413,Ende::N,аяқ,cabo
414,Ende::N,аяқ,extremo
415,Ende::N,соңы,cabo
416,Ende::N,соңы,extremo
417,Loch::N,тесік,furo
418,Loch::N,тесік,buraco
419,Winkel::N,мүйіс,canto
420,Winkel::N,мүйіс,ângulo
421,Muster::N,мәнер,padrão
422,Muster::N,мәнер,desenho
423,Größe::N,ауқым,tamanho
424,Größe::N,көлемдік,tamanho
425,Länge::N,бой,comprimento
426,Länge::N,ұзындық,comprimento
427,Höhe::N,жоғарылық,altura
428,Höhe::N,жоғарылық,altitude
429,Höhe::N,биіктік,altura
430,Höhe::N,биіктік,altitude
431,Gewicht::N,салмақ,peso
432,Menge::N,мөлшер,quantidade
433,Haufen::N,үйме,pilha
434,Haufen::N,үйінді,pilha
435,Reihe::N,сап,fila
436,Boot::N,қайық,barco
437,Ruder::N,ескек,remo
438,Schlitten::N,шана,trenó
439,Ski::N,шаңғы,esqui
440,Lagerfeuer::N,алау,fogueira
441,Last::N,ауырлық,carga
442,Last::N,ауыр зат,carga
443,Gang::N,жүріс,curso
444,Gang::N,жүріс,caminhada
445,Schritt::N,адым,passo
446,Norden::N,солтүстік,norte
447,Norden::N,терістік,norte
448,Süden::N,оңтүстік,sul
449,Westen::N,батыс,oeste
450,Westen::N,батыс,ocidente
451,Osten::N,күншығыс,este
452,Osten::N,күншығыс,leste
453,Osten::N,күншығыс,oriente
454,Holz::N,ағаш,madeira
455,Holz::N,сүрек,madeira
456,Brett::N,тақта,tábua
457,Brett::N,тақта,prancha
458,Platte::N,тақта,laje
459,Platte::N,тақта,chapa
460,Stütze::N,тіреу,apoio
461,Stütze::N,тіреу,suporte
462,Stange::N,қада,vara
463,Stange::N,қада,barra
464,Stock::N,сойыл,pau
465,Stock::N,сойыл,bengala
466,Stab::N,сырық,bastão
467,Rohr::N,құбыр,cano
468,Haus::N,үй,casa
469,Heim::N,үйлі,lar
470,Heim::N,үйлі,casa
471,Heim::N,шаңырақ,lar
472,Heim::N,шаңырақ,casa
473,Ofen::N,ошақ,estufa
474,Ofen::N,ошақ,aquecedor
475,Ofen::N,пеш,estufa
476,Ofen::N,пеш,aquecedor
477,Fußboden::N,еден,piso
478,Tisch::N,үстел,mesa
479,Stuhl::N,орындық,cadeira
480,Wiege::N,бесік,berço
481,Bett::N,кереует,cama
482,Regal::N,сөре,estante
483,Regal::N,сөре,prateleira
484,Kiste::N,жәшік,caixa
485,Fenster::N,терезе,janela
486,Tür::N,есік,porta
487,Tor::N,дарбаза,portão
488,Zaun::N,дуал,cerca
489,Zaun::N,дуал,vedação
490,Dach::N,шатыр,telhado
491,Leiter::N,саты,escada
492,Leiter::N,саты,escada móvel
493,Leiter::N,басқыш,escada
494,Leiter::N,басқыш,escada móvel
495,Besen::N,сыпырғыш,vassoura
496,Spaten::N,күрек,pá
497,Schaufel::N,қалақ,pá
498,Gabel::N,аша,garfo
499,Gabel::N,шанышқы,garfo
500,Löffel::N,қасық,colher
501,Messer::N,пышақ,faca
502,Nagel::N,мық,cravo
503,Nagel::N,шеге,cravo
504,Netz::N,керегекөз,rede
505,Haken::N,ілмек,gancho
506,Griff::N,сап,asa
507,Griff::N,сап,cabo
508,Griff::N,тұтқа,asa
509,Griff::N,тұтқа,cabo
510,Schloss::N,құлып,fechadura
511,Schloss::N,бекіткіш,fechadura
512,Bild::N,сурет,imagem
513,Figur::N,тұлға,figura
514,Puppe::N,қуыршақ,boneca
515,Beutel::N,қапшық,saco
516,Beutel::N,қапшық,bolsa
517,Bündel::N,байлам,fardo
518,Tasche::N,дорба,saco
519,Tasche::N,дорба,bolso
520,Eimer::N,шелек,balde
521,Deckel::N,жапқыш,tampa
522,Geschirr::N,ыдыс,louça
523,Sack::N,қап,saca
524,Tasse::N,шыныаяқ,chávena
525,Topf::N,кәстрөл,tacho
526,Topf::N,кәстрөл,panela
527,Kessel::N,қазан,caldeira
528,Essen::N,ас,refeição
529,Nahrung::N,ас,comida
530,Nahrung::N,ас,alimento
531,Nahrung::N,тамақ,comida
532,Nahrung::N,тамақ,alimento
533,Speise::N,тағам,prato
534,Fleisch::N,ет,carne
535,Getreide::N,дәнді,cereais
536,Brei::N,ботқа,puré
537,Brot::N,күлше,pão
538,Scheibe::N,тілім,fatia
539,Fett::N,май,banha
540,Fett::N,май,gordura
541,Butter::N,май,manteiga
542,Öl::N,май,azeite
543,Salz::N,тұз,sal
544,Suppe::N,көже,sopa
545,Suppe::N,көже,caldo
546,Honig::N,бал,mel
547,Milch::N,сүт,leite
548,Tee::N,шай,chá
549,Leder::N,көн,couro
550,Wolle::N,жүн,lã
551,Stoff::N,мата,pano
552,Stoff::N,мата,tecido
553,Stoff::N,кездеме,pano
554,Stoff::N,кездеме,tecido
555,Nadel::N,ине,agulha
556,Faden::N,жіп,fio
557,Knopf::N,түйме,botão
558,Knoten::N,түйін,nó
559,Farbe::N,рең,corante
560,Kleidung::N,киім,roupa
561,Kleidung::N,киім,vestuário
562,Hemd::N,жейде,camisa
563,Kragen::N,жаға,gola
564,Ärmel::N,жең,manga
565,Hose::N,шалбар,calça
566,Gürtel::N,белбеу,cinto
567,Mütze::N,қалпақ,boné
568,Mütze::N,қалпақ,barrete
569,Schuh::N,кебіс,sapato
570,Stiefel::N,етік,bota
571,Ring::N,жүзік,anel
572,Band::N,таспа,fita
573,Band::N,таспа,faixa
574,Kamm::N,тарақ,pente
575,Spiegel::N,айна,espelho
576,Riemen::N,қайыс,correia
577,Schnur::N,жіп,corda
578,Schnur::N,жіп,cordel
579,Leine::N,тізгін,trela
580,Decke::N,көрпе,cobertor
581,Kissen::N,жастық,almofada
582,Tuch::N,орамал,pano
583,Handtuch::N,сүлгі,toalha
584,Kraft::N,қуат,força
585,Kraft::N,қарқын,força
586,Kraft::N,әл-шама,força
587,Kraft::N,әл-дәрмен,força
588,Stärke::N,әл,força
589,Stärke::N,күш,força
590,Gesundheit::N,денсаулык,saúde
591,Krankheit::N,ауру,doença
592,Krankheit::N,ауру,enfermidade
593,Schmerz::N,ауру,dor
594,Wunde::N,зақым,chaga
595,Wunde::N,зақым,ferida
596,Wunde::N,жарақат,chaga
597,Wunde::N,жарақат,ferida
598,Fieber::N,безгек,febre
599,Fieber::N,қалтырау,febre
600,Fieber::N,қызу көтерілуі,febre
601,Arznei::N,дәрі,remédio
602,Arznei::N,дәрі-дәрмек,remédio
603,Brücke::N,көпір,ponte
604,Brunnen::N,құдық,poço
605,Weide::N,өріс,pastagem
606,Weide::N,жайылым,pastagem
607,Pfad::N,жол,senda
608,Pfad::N,жол,trilho
609,Weg::N,жол,caminho
610,Straße::N,жол,via
611,Straße::N,жол,estrada
612,Dorf::N,ауыл,aldeia
613,Stadt::N,қала,cidade
614,Stadt::N,шаһар,cidade
615,Brief::N,хат,carta
616,Brief::N,жазу,carta
617,Buch::N,кітап,livro
618,Buchstabe::N,әріп,letra
619,Buchstabe::N,қаріп,letra
620,Zeitung::N,газет,jornal
621,Leben::N,өмір,vida
622,Leben::N,тіршілік,vida
623,Tod::N,опат,morte
624,Grab::N,мола,túmulo
625,Grab::N,мола,sepultura
626,Grab::N,мазар,túmulo
627,Grab::N,мазар,sepultura
628,Kirche::N,шіркеу,igreja
629,Sünde::N,күнә,pecado
630,Gott::N,алла,deus
631,Gott::N,құдай,deus
632,Gott::N,тәңірі,deus
633,Gott::N,пәруардігер,deus
634,Gott::N,жаратқан тәңірі,deus
635,Arbeiter::N,жүмысшы,operário
636,Arbeiter::N,жүмысшы,trabalhador
637,Chef::N,басшы,chefe
638,Chef::N,басшы,patrão
639,Chef::N,жұмыс басқарушысы,chefe
640,Chef::N,жұмыс басқарушысы,patrão
641,Meister::N,шебер,mestre
642,Meister::N,өнерпаз,mestre
643,Arzt::N,дәрігер,médico
644,Lehrer::N,мұғалім,professor
645,Geld::N,пұл,dinheiro
646,Geschäft::N,бизнес,negócio
647,Laden::N,дүкен,loja
648,Preis::N,ақы,preço
649,Preis::N,құны,preço
650,Preis::N,нарық,preço
651,Ware::N,тауар,mercadoria
652,Nutzen::N,пайда,proveito
653,Reichtum::N,бақ-дәулет,riqueza
654,Welt::N,әлем,mundo
655,Welt::N,жиһан,mundo
656,Land::N,аймақ,país
657,Staat::N,мемлекет,Estado
658,König::N,патша,rei
659,Macht::N,өкімет,poder
660,Macht::N,өкімет,potência
661,Macht::N,қожалық,poder
662,Macht::N,қожалық,potência
663,Grenze::N,шек,fronteira
664,Krieg::N,соғыс,guerra
665,Feind::N,жау,inimigo
666,Feind::N,дұшпан,inimigo
667,Gewalt::N,зорлык,violência
668,Gewalt::N,зорлық-зомбылык,violência
669,Kampf::N,күрес,luta
670,Kampf::N,күрес,combate
671,Kampf::N,алыспақ,luta
672,Kampf::N,алыспақ,combate
673,Bogen[Waffe]::N,саржа,arco
674,Pfeil::N,жебе,seta
675,Pfeil::N,жебе,flecha
676,Gewehr::N,қару,espingarda
677,Fehler::N,әбес,erro
678,Fehler::N,әбес,falha
679,Fehler::N,қаталық,erro
680,Fehler::N,қаталық,falha
681,Lüge::N,өтірік,mentira
682,Schaden::N,зиян,dano
683,Schaden::N,зиян,estrago
684,Schaden::N,зарар,dano
685,Schaden::N,зарар,estrago
686,Unglück::N,пәле,desgraça
687,Unglück::N,қасырет,desgraça
688,Unglück::N,ауыртпалық,desgraça
689,Schuld::N,айыптылық,culpa
690,Alter::N,жас,idade
691,Alter::N,жас шамасы,idade
692,Schluss::N,ада,fim
693,Schluss::N,бітуі,fim
694,Zeit::N,уақыт,tempo
695,Tag::N,күн,dia
696,Morgen::N,таң,manhã
697,Morgen::N,таңертең,manhã
698,Mittag::N,талтүс,meio-dia
699,Abend::N,кеш,noite
700,Abend::N,кеш,tardinha
701,Nacht::N,түн,noite
702,Woche::N,апта,semana
703,Monat::N,ай,mês
704,Jahr::N,жыл,ano
705,Frühling::N,көктем,primavera
706,Sommer::N,жаз,verão
707,Herbst::N,күз,outono
708,Winter::N,қыс,inverno
709,Januar::N,каңтар,Janeiro
710,Februar::N,ақпан,Fevereiro
711,März::N,наурыз,Março
712,April::N,сәуір,Abril
713,Mai::N,мамыр,Maio
714,Juni::N,маусым,Junho
715,Juli::N,шілде,Julho
716,August::N,сүмбіле,Agosto
717,August::N,тамыз,Agosto
718,September::N,қыркүйек,Setembro
719,Oktober::N,ақырап,Outubro
720,November::N,қараша,Novembro
721,Dezember::N,желтоқсан,Dezembro
722,Montag::N,дүйсенбі,segunda-feira
723,Dienstag::N,сейсенбі,terça-feira
724,Mittwoch::N,сәрсенбі,quarta-feira
725,Donnerstag::N,бейсенбі,quinta-feira
726,Freitag::N,жұма,sexta-feira
727,Samstag::N,сенбі,sábado
728,Sonntag::N,жексембі,domingo
729,groß::A,алпамсадай,grande
730,klein::A,кішкене,pequeno
731,klein::A,қарғадай,pequeno
732,lang::A,сопақ,comprido
733,lang::A,сорайған,comprido
734,kurz::A,кеспелтек,curto
735,breit::A,айдынды,largo
736,schmal::A,қысық,estreito
737,dicht::A,жиі,denso
738,dick[Gegenstand]::A,шомбал,grosso
739,dünn::A,жұқа,delgado
740,dünn::A,жіңішке,delgado
741,fein::A,қаңылтақ,fino
742,fein::A,қаңылтақ,subtil
743,fest::A,берік,firme
744,fest::A,берік,sólido
745,fest::A,мызғымас,firme
746,fest::A,мызғымас,sólido
747,flach::A,жалпак,plano
748,glatt::A,типыл,liso
749,hart::A,қатты,duro
750,weich::A,жұмсақ,mole
751,rund::A,домалақ,redondo
752,spitz::A,үшкір,agudo
753,scharf::A,сүйрік,afiado
754,stumpf::A,доғал,rombo
755,stumpf::A,өтпейтін,rombo
756,schwer::A,салмақты,pesado
757,schön::A,сұлу,belo
758,schön::A,сұлу,bonito
759,heiß::A,ыссы,quente
760,warm::A,жылы,quente
761,kalt::A,аязды,frio
762,kühl::A,салқын,fresco
763,frisch::A,таза,fresco
764,frisch::A,жаңа,fresco
765,feucht::A,нам,húmido
766,feucht::A,дымқылды,húmido
767,nass::A,сулы,molhado
768,trocken::A,құрғақ,seco
769,voll::A,толы,cheio
770,leer::A,бос,vazio
771,offen::A,ашып қойылған,aberto
772,geschlossen::A,жабулы,fechado
773,sauber::A,дақсыз,limpo
774,sauber::A,мұнтаздай,limpo
775,schmutzig::A,айғыз,sujo
776,schmutzig::A,сатпақ,sujo
777,schmutzig::A,сатал-сатал,sujo
778,roh::A,шикі,cru
779,reif::A,піскен,maduro
780,lecker::A,дәмді,delicioso
781,süß::A,тәтті,doce
782,bitter::A,ащы,amargo
783,sauer::A,қышқыл,azedo
784,hell::A,жарық,claro
785,hell::A,жарқын,claro
786,dunkel::A,қараңғы,escuro
787,dunkel::A,қараңғы,sombrio
788,schwarz::A,қара,preto
789,weiß::A,ақ,branco
790,rot::A,қызыл,vermelho
791,gelb::A,сары,amarelo
792,blau::A,көк,azul
793,grün::A,жасыл,verde
794,grau::A,бозамық,cinzento
795,bunt::A,алабажак,colorido
796,billig::A,арзан,barato
797,teuer::A,бағалы,caro
798,wertvoll::A,құнды,valioso
799,wertvoll::A,құнды,precioso
800,wertvoll::A,қымбат,valioso
801,wertvoll::A,қымбат,precioso
802,blind::A,көзсіз,cego
803,blind::A,көр,cego
804,blind::A,көр_соқыр,cego
805,taub::A,керең,surdo
806,taub::A,саңырау,surdo
807,kräftig::A,қуатты,forte
808,kräftig::A,қуатты,poderoso
809,kräftig::A,қарымды,forte
810,kräftig::A,қарымды,poderoso
811,stark::A,білекті,forte
812,stark::A,білекті,robusto
813,schwach::A,әлсіз,débil
814,schwach::A,күшсіз,débil
815,schwach::A,қайратсыз,débil
816,fett::A,семіз,gordo
817,schlank::A,ашаң,esbelto
