,Concept_ID,ml,sq
92,Kälte::N,തണുപ്പ്,të ftohtë
93,Hitze::N,ചൂട്,vapë
94,Hitze::N,ചൂട്,nxehtësi
95,Raureif::N,കോടമഞ്ഞ്,cikmë
96,Regenbogen::N,മഴവില്ല്,ylber
97,Donner::N,ഇടി,gjëmim
98,Donner::N,ഇടി,bubullimë
99,Strömung::N,പ്രവാഹം,rrymë
100,Tropfen::N,തുള്ളി,pikë
101,Schaum::N,നുര,shkumë
102,Schmutz::N,അഴുക്ക്,baltë
103,See::N,തടാകം,liqen
104,Sumpf::N,ചതുപ്പുനിലം,batak
105,Moor::N,പാഴ്നിലം,kënetë
106,Wiese::N,പുൽത്തകിടി,livadh
107,Wald::N,വനം,pyll
108,Wald::N,കാട്,pyll
109,Hügel::N,കുന്ന്,kodër
110,Anhöhe::N,ഉയർന്ന ഭൂമി,bregore
111,Berg::N,പർവ്വതം,mal
112,Gipfel::N,ഉച്ചകോടി,kulm
113,Höhle::N,ഗുഹ,shpellë
114,Höhle::N,ഗുഹ,zgafelle
115,Abhang::N,ചരിവ്,shpat
116,Abhang::N,ചരിവ്,tatëpjetë
117,Quelle::N,ഉറവിടം,krua
118,Quelle::N,ഉറവിടം,burim
119,Bach::N,അരുവി,virua
120,Fluss::N,നദി,lumë
121,Ufer::N,തീരം,breg
122,Küste::N,കടൽത്തീരം,anëdet
123,Küste::N,കടൽത്തീരം,bregdet
124,Festland::N,കര,kontinent
125,Meer::N,കടൽ,det
126,Bucht::N,ഉൾക്കടല്,gji deti
127,Insel::N,ദ്വീപ്,ishull
128,Insel::N,ദ്വീപ്,ujdhesë
129,Blume::N,പൂവ്,lule
130,Gras::N,പുല്ല്,bar
131,Wurzel::N,വേര്,rrënjë
132,Baum::N,മരം,pemë
133,Stamm::N,തായ്ത്തടി,trung
134,Rinde::N,പട്ട,lëvore
135,Ast::N,ശാഖ,degë
136,Zweig::N,ശാഖ,bisk
137,Blatt::N,ഇല,fletë
138,Blatt::N,ഇല,gjethe
139,Birke::N,പൂവരശ്,mështekën
140,Kiefer[Baum]::N,പൈൻമരം,pishë
141,Weide[Baum]::N,വില്ലോ,shelg
142,Tanne::N,ദേവദാരു,bredh
143,Horn::N,മൃഗത്തിൻറെ കൊമ്പ്,bri
144,Feder::N,തൂവൽ,pupël
145,Fell::N,മൃദുരോമം,lëkurë
146,Flügel::N,ചിറക്,krah
147,Flügel::N,ചിറക്,fletë
148,Klaue::N,നഖം,kthetër
149,Kralle::N,നഖം,thua
150,Kralle::N,നഖം,kthetër
151,Schwanz::N,വാൽ,bisht
152,Ei::N,മുട്ട,vezë
153,Nest::N,കൂട്,fole
154,Bau::N,മാളം,strofkë
155,Tier::N,മൃഗം,kafshë
156,Herde::N,കൂട്ടം,kope
157,Herde::N,കൂട്ടം,grigjë
158,Kuh::N,പശു,lopë
159,Bulle::N,കാള,dem
160,Pferd::N,കുതിര,kalë
161,Schaf::N,ആട്,dele
162,Schwein::N,പന്നി,derr
163,Hund::N,നായ്,qen
164,Katze::N,പൂച്ച,mace
165,Bär::N,കരടി,ari
166,Eichhörnchen::N,അണ്ണാൻ,ketër
167,Elch::N,കടമാന്,dre brilopatë
168,Fuchs::N,കുറുക്കൻ,dhelpër
169,Hase::N,മുയൽ,lepur
170,Maus::N,ചുണ്ടലി,mi
171,Wolf::N,ചെന്നായ,ujk
172,Vogel::N,പക്ഷി,zog
173,Vogel::N,പക്ഷി,shpend
174,Schwarm::N,കൂട്ടം,luzmë
175,Huhn::N,കോഴി,pulë
176,Hahn::N,പൂവൻകോഴി,gjel
177,Hahn::N,പൂവൻകോഴി,këndes
178,Gans::N,അരയന്നം,patë
179,Adler::N,കഴുകൻ,shqiponjë
180,Ente::N,താറാവ്,rosë
181,Eule::N,മൂങ്ങ,buf
182,Kranich::N,കൊക്ക്,lejlek
183,Kranich::N,കൊക്ക്,kurrillë
184,Krähe::N,കാക്ക,sorrë
185,Kuckuck::N,കുയിൽ,qyqe
186,Schwan::N,അരയന്നം,mjellmë
187,Fisch::N,മത്സ്യം,peshk
188,Barsch::N,ഒരിനം മത്സ്യം,purtekë
189,Hecht::N,ഒരു മത്സ്യം,mlysh
190,Schlange[Tier]::N,പാമ്പ്,gjarpër
191,Wurm::N,വിര,krimb
192,Spinne::N,ചിലന്തി,marimangë
193,Ameise::N,ഉറുമ്പ്,thnegël
194,Ameise::N,ഉറുമ്പ്,milingonë
195,Laus::N,പേന്,morr
196,Mücke::N,മശകം,kunup
197,Mücke::N,മശകം,mushkonjë
198,Fliege::N,ഈച്ച,mizë
199,Schmetterling::N,ചിത്രശലഭം,flutur
200,Beere::N,ബെറി,frutë
201,Beere::N,ബെറി,manaferrë
202,Apfel::N,ആപ്പിൾ,mollë
203,Pilz::N,കൂൺ,kërpudhë
204,Zwiebel::N,സവാള,qepë
205,Saat::N,വിത്ത്,farë
206,Korn::N,ധാന്യം,grurë
207,Korn::N,ധാന്യം,kokërr
208,Heu::N,വയ്ക്കോൽ,sanë
209,Schale::N,തൊലി,lëkurë
210,Grube::N,കുഴി,gropë
211,Falle::N,കെണി,kurth
212,Falle::N,കെണി,grackë
213,Schlinge::N,കുടുക്ക്,nyjë
214,Spur::N,ചുവട്,gjurmë
215,Asche::N,ചാരം,hi
216,Dreck::N,അഴുക്ക്,baltë
217,Eisen::N,ഇരുമ്പ്,hekur
218,Gold::N,സ്വർണ്ണം,ar
219,Gold::N,സ്വർണ്ണം,flori
220,Silber::N,വെള്ളി,argjend
221,Kohle::N,കൽക്കരി,qymyr
222,Glas::N,ഗ്ലാസ്,qelq
223,Lehm::N,കളിമണ്ണ്,argjilë
224,Sand::N,മണൽ,rërë
225,Mensch::N,മനുഷ്യർ,njeri
226,Mann::N,പുരുഷൻ,burrë
227,Mann::N,പുരുഷൻ,mashkull
228,Frau::N,സ്ത്രീ,grua
229,Frau::N,സ്ത്രീ,femër
230,Kind::N,കുഞ്ഞ്,kalama
231,Junge::N,ആൺകുട്ടി,djalë
232,Mädchen::N,പെൺകുട്ടി,gocë
233,Mädchen::N,പെൺകുട്ടി,vajzë
234,Familie::N,കുടുംബം,familje
235,Großvater::N,അപ്പൂപ്പൻ,gjysh
236,Großmutter::N,അമ്മുമ്മ,gjyshe
237,Eltern::N,മാതാപിതാക്കള്,prindër
238,Vater::N,അച്ഛൻ,atë
239,Mutter::N,അമ്മ,nënë
240,Sohn::N,മകൻ,bir
241,Tochter::N,മകൾ,bijë
242,Bruder::N,ചേട്ടൻ,vëlla
243,Bruder::N,അനിയൻ,vëlla
244,Schwester::N,ചേച്ചി,motër
245,Schwester::N,അനിയത്തി,motër
246,Onkel::N,അമ്മാവൻ,dajë
247,Onkel::N,അമ്മാവൻ,xhaxha
248,Tante::N,മാമി,teze
249,Tante::N,മാമി,hallë
250,Ehemann::N,ഭർത്താവ്,burrë
251,Ehemann::N,ഭർത്താവ്,bashkëshort
252,Ehefrau::N,ഭാര്യ,grua
253,Ehefrau::N,ഭാര്യ,bashkëshorte
254,Freude::N,ആഹ്ലാദം,gaz
255,Freude::N,ആഹ്ലാദം,gëzim
256,Gelächter::N,ചിരിയുടെ ശബ്ദം,qeshje
257,Glück::N,സന്തോഷം,lumturi
258,Glück::N,സന്തുഷ്ടി,lumturi
259,Kummer::N,ശോകം,brengë
260,Kummer::N,ശോകം,pikëllim
261,Wunsch::N,ആഗ്രഹം,dëshirë
262,Lust::N,ആഗ്രഹം,epsh
263,Lust::N,ആഗ്രഹം,dashuri
264,Geist::N,ചുറുചുറുക്ക്,frymë
265,Geist::N,ചുറുചുറുക്ക്,shpirt
266,Gedanke::N,ചിന്ത,ide
267,Gedanke::N,ചിന്ത,mendim
268,Gedächtnis::N,ഓർമ്മശക്തി,kujtesë
269,Verstand::N,മനസ്സ്,mend
270,Sinn::N,അർത്ഥം,kuptim
271,Grund::N,കാരണം,arsye
272,Wahrheit::N,സത്യം,vërtetë
273,Gespräch::N,സല്ലാപം,bisedim
274,Märchen::N,യക്ഷിക്കഥ,përrallë
275,Erzählung::N,കഥ,tregim
276,Nachricht::N,സന്ദേശം,lajm
277,Neuigkeit::N,വാർത്ത,risi
278,Name::N,പേര്,emër
279,Rätsel::N,പ്രഹേളിക,gjëzë
280,Rätsel::N,പ്രഹേളിക,gjëegjëzë
281,Rede::N,സംസാരം,fjalim
282,Sprache::N,ഭാഷ,gjuhë
283,Stimme::N,സ്വരം,zë
284,Wort::N,വാക്ക്,fjalë
285,Zeichen::N,സംജ്ഞ,shenjë
286,Ruf::N,വിളി,thirrmë
287,Lärm::N,ആരവം,zhurmë
288,Laut::N,ശബ്ദം,tingull
289,Ton::N,സ്വരഭേദം,ton
290,Lied::N,പാട്ട്,këngë
291,Ruhe::N,നിശ്ചലത,qetësi
292,Leute::N,ജനങ്ങൾ,botë
293,Leute::N,ജനങ്ങൾ,njerëz
294,Volk::N,രാഷ്ടം,popull
295,Arbeit::N,ജോലി,punë
296,Gast::N,അതിലി,mik
297,Gast::N,അതിലി,mysafir
298,Geschenk::N,സമ്മാനം,dhuratë
299,Geschenk::N,സമ്മാനം,peshqesh
300,Spiel::N,കളി,lojë
301,Gesellschaft::N,കൂട്ടായ്മ,shoqëri
302,Hilfe::N,സഹായം,ndihmë
303,Freund::N,സുഹൃത്ത്,mik
304,Kamerad::N,കൂട്ടാളി,shok
305,Angelegenheit::N,കാര്യം,punë
306,Anzahl::N,എണ്ണം,sasi
307,Art::N,തരം,lloj
308,Stück::N,കഷണം,copë
309,Teil::N,ഭാഗം,pjesë
310,Hälfte::N,പകുതി,gjysmë
311,Kreis::N,വൃത്തം,qark
312,Kreis::N,വൃത്തം,rreth
313,Kreuz::N,കുരിശടയാളം,kryq
314,Linie::N,വര,vijë
315,Linie::N,രേഖ,vijë
316,Strich::N,പക്ഷാഘാതം,vizë
317,Abstand::N,വിടവ്,distancë
318,Entfernung::N,അകലം,largim
319,Gegend::N,പ്രദേശം,vise
320,Gegend::N,പ്രദേശം,krahinë
321,Platz::N,ഇടം,shesh
322,Ort::N,സ്ഥലം,vend
323,Seite::N,വശം,anë
324,Mitte::N,മധ്യസ്ഥാനം,mes
325,Gegenstand::N,സാധനം,send
326,Sache::N,വസ്തു,gjë
327,Sache::N,വസ്തു,send
328,Rand::N,തൊങ്ങൽ,qoshe
329,Kante::N,അറ്റം,teh
330,Ecke::N,മൂല,qoshe
331,Spitze::N,അഗ്രം,majë
332,Ende::N,അവസാനം,skaj
333,Ende::N,അവസാനം,bisht
334,Loch::N,ദ്വാരം,vrimë
335,Winkel::N,കോൺ,kënd
336,Muster::N,ക്രമം,mostër
337,Größe::N,വലുപ്പം,madhësi
338,Länge::N,നീളം,gjatësi
339,Höhe::N,ഉയരം,lartësi
340,Gewicht::N,കട്ടി,peshë
341,Menge::N,അളവ്,sasi
342,Haufen::N,കൂമ്പാരം,grumbull
343,Reihe::N,വരി,radhë
344,Reihe::N,വരി,rresht
345,Boot::N,ബോട്ട്,barkë
346,Boot::N,ബോട്ട്,lundër
347,Ruder::N,പങ്കായം,rrem
348,Schlitten::N,ഉരുളില്ലാവണ്ടി,sajë
349,Ski::N,ഹിമപാദുകം,ski
350,Lagerfeuer::N,തീ,flakadan
351,Lagerfeuer::N,തീ,zjarr i madh
352,Last::N,ഭാരം,barrë
353,Gang::N,നടത്തം,ecje
354,Schritt::N,ചുവട്,hap
355,Norden::N,വടക്ക്,veri
356,Süden::N,തെക്ക്,jug
357,Westen::N,പടിഞ്ഞാറ്,perëndim
358,Osten::N,കിഴക്ക്,lindje
359,Holz::N,തടി,dru
360,Brett::N,ബോർഡ്,dërrasë
361,Platte::N,തകിട്,pllakë
362,Stütze::N,താങ്ങ്,shtyllë
363,Stütze::N,താങ്ങ്,mbështetesë
364,Stange::N,കമ്പ്,shufër
365,Stock::N,വടി,dajak
366,Stab::N,കുറുവടി,shkop
367,Rohr::N,കുഴൽ,tub
368,Haus::N,വീട്,shtëpi
369,Heim::N,വീട്,konak
370,Heim::N,വീട്,shtëpi
371,Ofen::N,സ്റ്റൌ,sobë
372,Ofen::N,സ്റ്റൌ,stufë
373,Fußboden::N,തറ,dysheme
374,Tisch::N,മേശ,tryezë
375,Stuhl::N,കസേര,karrige
376,Wiege::N,തൊട്ടിൽ,djep
377,Bett::N,കിടക്ക,shtrat
378,Regal::N,ഷെൽഫ്,raft
379,Kiste::N,പെട്ടി,kuti
380,Fenster::N,ജനൽ,dritare
381,Tür::N,വാതിൽ,derë
382,Tor::N,കവാടം,portë
383,Zaun::N,വേലി,gardh
384,Dach::N,മേൽക്കുര,çati
385,Leiter::N,ഏണി,shkallë
386,Besen::N,ചൂല്,fshesë
387,Spaten::N,തൂമ്പ,lopatë
388,Schaufel::N,തൂമ്പ,qyrek
389,Gabel::N,മുൾക്കത്തി,pirun
390,Löffel::N,സ്പൂൺ,lugë
391,Messer::N,കത്തി,thikë
392,Nagel::N,ആണി,gozhdë
393,Netz::N,വല,rrjetë
394,Haken::N,കൊളുത്ത്,grep
395,Haken::N,കൊളുത്ത്,grremç
396,Griff::N,കൈപ്പിടി,dorak
397,Griff::N,കൈപ്പിടി,dorezë
398,Schloss::N,പൂട്ട്,bravë
399,Bild::N,ചിത്രം,tablo
400,Bild::N,ചിത്രം,pikturë
401,Figur::N,കണക്ക്,figurë
402,Puppe::N,പാവ,kukull
403,Beutel::N,ബാഗ്,qese
404,Beutel::N,ബാഗ്,trastë
405,Bündel::N,കെട്ട്,deng
406,Tasche::N,ബാഗ്,çantë
407,Eimer::N,ബക്കറ്റ്,kovë
408,Deckel::N,ഉറ,kapak
409,Deckel::N,ഉറ,mbulesë
410,Geschirr::N,പിഞ്ഞാണം,enë
411,Sack::N,ചാക്ക്,thes
412,Sack::N,ചാക്ക്,torbë
413,Tasse::N,കപ്പ്,filxhan
414,Topf::N,പാത്രം,kusi
415,Topf::N,പാത്രം,tenxhere
416,Kessel::N,കെറ്റ്ല്,kazan
417,Essen::N,ആഹാരസമയം,ngrënie
418,Nahrung::N,ഭക്ഷണം,ushqim
419,Speise::N,ഡിഷ്,gatesë
420,Fleisch::N,മാംസം,mish
421,Getreide::N,ചോളം,drithë
422,Brei::N,കഞ്ഞി,qull
423,Brot::N,റോട്ടി,bukë
424,Scheibe::N,തുണ്ട്,fetë
425,Fett::N,കൊഴുപ്പ്,lyrë
426,Fett::N,കൊഴുപ്പ്,yndyrë
427,Butter::N,വെണ്ണ,gjalpë
428,Öl::N,എണ്ണ,vaj
429,Salz::N,ഉപ്പ്,kripë
430,Suppe::N,സൂപ്പ്,supë
431,Suppe::N,സൂപ്പ്,çorbë
432,Honig::N,തേൻ,mjaltë
433,Milch::N,പാൽ,qumësht
434,Tee::N,ചായ,çaj
435,Leder::N,തുകൽ,lëkurë
436,Wolle::N,കമ്പിളി,lesh
437,Stoff::N,തുണി,pëlhurë
438,Nadel::N,സൂചി,gjilpërë
439,Faden::N,നൂല്,pe
440,Faden::N,നൂല്,fije
441,Knopf::N,ബട്ടൺ,kopsë
442,Knoten::N,കുരുക്ക്,komb
443,Farbe::N,പെയിൻറ്,bojë
444,Kleidung::N,വസ്ത്രങ്ങൾ,veshje
445,Hemd::N,ഷർട്ട്,këmishë
446,Kragen::N,കുപ്പായക്കഴുത്ത്,jakë
447,Ärmel::N,കുപ്പായക്കൈ,mëngë
448,Hose::N,ട്രൌസർ,brekë
449,Gürtel::N,ബെൽറ്റ്,rrip
450,Mütze::N,തൊപ്പി,kësulë
451,Schuh::N,ഷൂ,këpucë
452,Stiefel::N,ബൂട്ട്,çizme
453,Ring::N,മോതിരം,unazë
454,Band::N,റിബൺ,shirit
455,Kamm::N,ചീപ്പ്,krehër
456,Spiegel::N,കണ്ണാടി,pasqyrë
457,Riemen::N,സ്ട്രാപ്പ്,rrip
458,Schnur::N,ചരട്,litar
459,Schnur::N,ചരട്,cikomë
460,Leine::N,കെട്ടാനുള്ള തോൽവാർ,rrip
461,Decke::N,പുതപ്പ്,batanije
462,Kissen::N,തലയിണ,jastëk
463,Tuch::N,സ്കാർഫ്,shami
464,Handtuch::N,തോർത്ത്,peshqir
465,Kraft::N,ശക്തി,forcë
466,Stärke::N,ശക്തി,koll
467,Gesundheit::N,ആരോഗ്യം,shëndet
468,Krankheit::N,അസുഖം,sëmundje
469,Schmerz::N,വേദന,dhimbje
470,Wunde::N,മുറിവ്,plagë
471,Fieber::N,പനി,ethe
472,Arznei::N,മരുന്ന്,ilaç
473,Brücke::N,പാലം,urë
474,Brunnen::N,കിണർ,pus
475,Weide::N,മേച്ചൽ,kullotë
476,Pfad::N,വഴി,ravë
477,Pfad::N,വഴി,shteg
478,Weg::N,വഴി,udhë
479,Weg::N,വഴി,shteg
480,Straße::N,റോഡ്,rrugë
481,Dorf::N,ഗ്രാമം,fshat
482,Dorf::N,ഗ്രാമം,katund
483,Stadt::N,നഗരം,qytet
484,Brief::N,കത്ത്,letër
485,Buch::N,പുസ്തകം,libër
486,Buchstabe::N,അക്ഷരം,shkronjë
487,Zeitung::N,വർത്തമാനപത്രം,gazetë
488,Leben::N,ജീവൻ,jetë
489,Tod::N,മരണം,mortje
490,Grab::N,ശവക്കുഴി,varr
491,Kirche::N,പള്ളി,kishë
492,Sünde::N,പാപം,mëkat
493,Sünde::N,പാപം,gjynah
494,Gott::N,ദൈവം,hy
495,Gott::N,ദൈവം,zot
496,Arbeiter::N,ജോലിക്കാരൻ,punëtor
497,Chef::N,മേധാവി,shef
498,Chef::N,മേധാവി,drejtues
499,Meister::N,യജമാനൻ,mjeshtër
500,Arzt::N,ഡോക്ടർ,mjek
501,Arzt::N,ഡോക്ടർ,doktor
502,Lehrer::N,അധ്യാപകൻ,mësues
503,Lehrer::N,അധ്യാപകൻ,arsimtar
504,Geld::N,പണം,para
505,Geld::N,പണം,holla
506,Geschäft::N,ബിസിനസ്,ujdi
507,Geschäft::N,ബിസിനസ്,biznes
508,Laden::N,കട,dyqan
509,Preis::N,വില,çmim
510,Ware::N,ചരക്ക്,mall
511,Nutzen::N,ലാഭം,dobi
512,Nutzen::N,ലാഭം,leverdi
513,Reichtum::N,ധനം,kamje
514,Reichtum::N,ധനം,pasuri
515,Welt::N,ലോകം,botë
516,Land::N,രാജ്യം,vend
517,Staat::N,രാജ്യം,shtet
518,König::N,രാജാവ്,mbret
519,Macht::N,അധികാരം,fuqi
520,Macht::N,അധികാരം,pushtet
521,Grenze::N,അതിർത്തി,kufi
522,Krieg::N,യുദ്ധം,luftë
523,Feind::N,ശത്രു,armik
524,Gewalt::N,അക്രമം,dhunë
525,Kampf::N,പോരാട്ടം,luftim
526,Bogen[Waffe]::N,വില്ല്,hark
527,Pfeil::N,അമ്പ്,shigjetë
528,Gewehr::N,തോക്ക്,pushkë
529,Fehler::N,പിശക്,gafë
530,Fehler::N,പിശക്,gabim
531,Lüge::N,കള്ളം,gënjeshtër
532,Schaden::N,കേടുപാട്,dëm
533,Schaden::N,കേടുപാട്,zarar
534,Unglück::N,ദൌർഭാഗ്യം,fatkeqësi
535,Schuld::N,തെറ്റ്,faj
536,Alter::N,വയസ്സ്,moshë
537,Schluss::N,നിഗമനം,fund
538,Zeit::N,സമയം,kohë
539,Tag::N,ദിവസം,ditë
540,Morgen::N,പ്രഭാതം,mëngjes
541,Mittag::N,ഉച്ച,mesditë
542,Abend::N,സായാഹ്നം,mbrëmje
543,Nacht::N,രാത്രി,natë
544,Woche::N,ആഴ്ച,javë
545,Monat::N,മാസം,muaj
546,Jahr::N,വർഷം,vit
547,Frühling::N,വസന്തം,pranverë
548,Sommer::N,വേനൽ,verë
549,Herbst::N,ശരത്കാലം,vjeshtë
550,Winter::N,ശൈത്യം,dimër
551,Januar::N,ജനുവരി,janar
552,Februar::N,ഫെബ്രുവരി,shkurt
553,März::N,മാർച്ച്,mars
554,April::N,ഏപ്രിൾ മാസം,prill
555,Mai::N,മെയ് മാസം,maj
556,Juni::N,ജൂൺ,qershor
557,Juli::N,ജൂലൈ,korrik
558,August::N,ആഗസ്റ്റ്,gusht
559,September::N,സെപ്തംബർ,shtator
560,Oktober::N,ഒക്ടോബർ,tetor
561,November::N,നവംബർ,nëntor
562,Dezember::N,ഡിസംബർ,dhjetor
563,Montag::N,തിങ്കളാഴ്ച,hënë
564,Dienstag::N,ചൊവ്വ,martë
565,Mittwoch::N,ബുധനാഴ്ച,mërkurë
566,Donnerstag::N,വ്യാഴാഴ്ച,enjte
567,Freitag::N,വെള്ളിയാഴ്ച,premte
568,Samstag::N,ശനിയാഴ്ച,shtunë
569,Sonntag::N,ഞായറാഴ്ച,diel
570,groß::A,വലിയ,madh
571,klein::A,ചെറിയ,vogël
572,lang::A,നീണ്ട,gjatë
573,kurz::A,ഹ്രസ്വമായ,shkurtër
574,breit::A,വിശാലമായ,gjerë
575,schmal::A,ഇടുങ്ങിയ,ngushtë
576,dicht::A,നിബിഡമായ,dendur
577,dick[Gegenstand]::A,തടിച്ച,trashë
578,dünn::A,മെലിഞ്ഞ,hollë
579,fein::A,നേർത്ത,imët
580,fest::A,ഉറപ്പുള്ള,fortë
581,flach::A,പരന്ന,sheshtë
582,glatt::A,മിനുസമുള്ള,rrafshët
583,hart::A,കട്ടിയുള്ള,fortë
584,weich::A,മൃദുവായ,butë
585,rund::A,വട്ടത്തിലുള്ള,rrumbullakët
586,spitz::A,മുനയുള്ള,majëmprehtë
587,scharf::A,മൂർച്ചയുള്ള,mprehtë
588,stumpf::A,തുറന്നടിക്കുന്ന,topitur
589,schwer::A,ഭാരമുള്ള,rëndë
590,schön::A,മനോഹരമായ,bukur
591,heiß::A,ചൂടുള്ള,nxehtë
592,warm::A,ചൂടുള്ള,ngrohtë
593,kalt::A,തണുത്ത,ftohtë
594,kühl::A,തണുപ്പുള്ള,freskët
595,frisch::A,ശുദ്ധമായ,pastër
596,feucht::A,ഈറനുള്ള,lagësht
597,nass::A,നനഞ്ഞ,lagur
598,trocken::A,വരണ്ട,thatë
599,voll::A,നിറയെ,plotë
600,leer::A,ഒഴിഞ്ഞ,bosh
601,leer::A,ഒഴിഞ്ഞ,zbrazët
602,offen::A,തുറന്ന,hapur
603,geschlossen::A,അടച്ച,mbyllur
604,sauber::A,വൃത്തിയുള്ള,dëlirë
605,schmutzig::A,അഴുക്കുനിറഞ്ഞ,ndyrë
606,roh::A,അസംസ്കൃതമായ,gjallë
607,reif::A,പഴുത്ത,arrirë
608,lecker::A,രുചികരമായ,shijshëm
609,süß::A,മധുരമുള്ള,ëmbël
610,bitter::A,കടുത്ത,hidhur
611,sauer::A,പുളിപ്പുള്ള,thartë
612,hell::A,ജ്വലിക്കുന്ന,me dritë
613,dunkel::A,ഇരുണ്ട,errët
614,schwarz::A,കറുത്ത,i zi
615,weiß::A,വെളുത്ത,bardhë
616,rot::A,ചുവന്ന,kuq
617,gelb::A,മഞ്ഞനിറമായ,verdhë
618,blau::A,നീലനിറമുള്ള,blu
619,blau::A,നീലനിറമുള്ള,kaltër
620,grün::A,പച്ചനിറമുള്ള,blertë
621,grün::A,പച്ചനിറമുള്ള,gjelbër
622,grau::A,ചാരനിറത്തിലുള്ള,hirtë
623,grau::A,ചാരനിറത്തിലുള്ള,bojë hiri
624,bunt::A,വർണ്ണശബളമായ,shumëngjyrëshëm
625,billig::A,വിലകുറഞ്ഞ,lirë
626,teuer::A,ചെലവേറിയ,shtrenjtë
627,wertvoll::A,വിലപിടിപ്പുള്ള,çmuar
628,wertvoll::A,വിലപിടിപ്പുള്ള,vlershëm
629,blind::A,അന്ധനായ,qorr
630,blind::A,അന്ധനായ,verbër
631,taub::A,കേൾവിക്കുറവുള്ള,shurdhër
632,kräftig::A,ശക്തിയുള്ള,fuqishëm
633,stark::A,ബലമുള്ള,fortë
634,schwach::A,ക്ഷീണിച്ച,dobët
635,fett::A,കൊഴുപ്പുള്ള,dhjamur
636,schlank::A,മെലിഞ്ഞ,hollë
