,Concept_ID,lt,sl
327,Stück::N,gabalas,kós
328,Teil::N,dalis,dél
329,Hälfte::N,pusė,polovíca
330,Kreis::N,ratas,króg
331,Kreis::N,ratas,kolobár
332,Kreis::N,apskritis,króg
333,Kreis::N,apskritis,kolobár
334,Kreis::N,apskritimas,króg
335,Kreis::N,apskritimas,kolobár
336,Kreuz::N,kryžius,kríž
337,Linie::N,linija,próga
338,Strich::N,brėžis,čŕta
339,Strich::N,brūkšnys,čŕta
340,Abstand::N,atstumas,preslédek
341,Entfernung::N,atstumas,oddáljenost
342,Gegend::N,vietovė,kràj
343,Gegend::N,vietovė,dežêla
344,Platz::N,vieta,prôstor
345,Ort::N,vieta,mésto
346,Ort::N,vietovė,mésto
347,Seite::N,pusė,bòk
348,Seite::N,pusė,strán
349,Seite::N,šonas,bòk
350,Seite::N,šonas,strán
351,Mitte::N,vidurys,sredína
352,Gegenstand::N,dalykas,prédmet
353,Sache::N,daiktas,réč
354,Sache::N,daiktas,stvár
355,Rand::N,kraštas,kràj
356,Rand::N,pakraštys,kràj
357,Kante::N,kraštas,rób
358,Ecke::N,kertė,vogál
359,Ecke::N,kampas,vogál
360,Spitze::N,priekis,óst
361,Spitze::N,priešakys,óst
362,Ende::N,galas,kônec
363,Loch::N,skylė,lúknja
364,Winkel::N,kampas,kót
365,Winkel::N,kampelis,kót
366,Muster::N,raštas,vzórec
367,Größe::N,dydis,veličína
368,Größe::N,didumas,veličína
369,Länge::N,ilgis,dolžína
370,Länge::N,ilgumas,dolžína
371,Höhe::N,aukštis,vršína
372,Höhe::N,aukštuma,vršína
373,Gewicht::N,svoris,téža
374,Gewicht::N,svarstis,téža
375,Menge::N,kiekis,količína
376,Menge::N,daugybė,količína
377,Haufen::N,krūva,kùp
378,Haufen::N,krūva,kopíca
379,Haufen::N,šūsnis,kùp
380,Haufen::N,šūsnis,kopíca
381,Reihe::N,greta,níz
382,Reihe::N,greta,vŕsta
383,Boot::N,valtis,čóln
384,Boot::N,laivelis,čóln
385,Ruder::N,irklas,vêslo
386,Schlitten::N,rogės,saní
387,Schlitten::N,rogutės,saní
388,Ski::N,slidė,smučí
389,Lagerfeuer::N,laužas,táborni ôgenj
390,Last::N,našta,tôvor
391,Last::N,nešulys,tôvor
392,Gang::N,eisena,hòd
393,Schritt::N,žingsnis,korák
394,Norden::N,šiaurė,séver
395,Norden::N,žiemiai,séver
396,Süden::N,pietūs,júg
397,Westen::N,vakarai,zapàd
398,Osten::N,rytai,vzhòd
399,Holz::N,mediena,lés
