,Concept_ID,ku,ml
104,Anhöhe::N,sere gir,ഉയർന്ന ഭൂമി
105,Berg::N,kaş,പർവ്വതം
106,Gipfel::N,sere gir,ഉച്ചകോടി
107,Höhle::N,şikeft,ഗുഹ
108,Abhang::N,kaş,ചരിവ്
109,Quelle::N,kanî,ഉറവിടം
110,Bach::N,çem,അരുവി
111,Fluss::N,çem,നദി
112,Fluss::N,rûbar,നദി
113,Ufer::N,kevî,തീരം
114,Küste::N,berav,കടൽത്തീരം
115,Festland::N,bejahî,കര
116,Meer::N,behr,കടൽ
117,Bucht::N,derav,ഉൾക്കടല്
118,Insel::N,girav,ദ്വീപ്
119,Blume::N,kulînk,പൂവ്
120,Gras::N,giha,പുല്ല്
121,Wurzel::N,reh,വേര്
122,Baum::N,dar,മരം
123,Stamm::N,bavik,തായ്ത്തടി
124,Rinde::N,qaqil,പട്ട
125,Ast::N,gulî,ശാഖ
126,Zweig::N,şax,ശാഖ
127,Blatt::N,pel,ഇല
128,Birke::N,dara sipî,പൂവരശ്
129,Kiefer[Baum]::N,dara bî,പൈൻമരം
130,Weide[Baum]::N,dara belalûk,വില്ലോ
131,Tanne::N,merx,ദേവദാരു
132,Horn::N,strô,മൃഗത്തിൻറെ കൊമ്പ്
133,Feder::N,pîrtîk,തൂവൽ
134,Fell::N,heyar,മൃദുരോമം
135,Flügel::N,per,ചിറക്
136,Klaue::N,napîk,നഖം
137,Kralle::N,dinik,നഖം
138,Kralle::N,dirnax,നഖം
139,Schwanz::N,dûv,വാൽ
140,Ei::N,hêk,മുട്ട
141,Nest::N,hêlîn,കൂട്
142,Bau::N,avahî,മാളം
143,Tier::N,heywan,മൃഗം
144,Herde::N,hoz,കൂട്ടം
145,Kuh::N,çêlek,പശു
146,Bulle::N,ga,കാള
147,Pferd::N,hesp,കുതിര
148,Schaf::N,mîh,ആട്
149,Schwein::N,beraz,പന്നി
150,Hund::N,seh,നായ്
151,Katze::N,pişîk,പൂച്ച
152,Bär::N,hirç,കരടി
153,Eichhörnchen::N,pilûr,അണ്ണാൻ
154,Elch::N,pazkovî,കടമാന്
155,Fuchs::N,rovî,കുറുക്കൻ
156,Hase::N,kîroşk,മുയൽ
157,Maus::N,mişk,ചുണ്ടലി
158,Wolf::N,gur,ചെന്നായ
159,Vogel::N,çûk,പക്ഷി
160,Schwarm::N,lufik,കൂട്ടം
161,Huhn::N,mirîşk,കോഴി
162,Hahn::N,dîk,പൂവൻകോഴി
163,Gans::N,qaz,അരയന്നം
164,Adler::N,eylo,കഴുകൻ
165,Ente::N,werdek,താറാവ്
166,Eule::N,bûm,മൂങ്ങ
167,Eule::N,kund,മൂങ്ങ
168,Kranich::N,quling,കൊക്ക്
169,Krähe::N,qijik,കാക്ക
170,Kuckuck::N,pepûk,കുയിൽ
171,Schwan::N,qû,അരയന്നം
172,Fisch::N,masî,മത്സ്യം
173,Barsch::N,okûn,ഒരിനം മത്സ്യം
174,Hecht::N,mesîyê lûf,ഒരു മത്സ്യം
175,Schlange[Tier]::N,mar,പാമ്പ്
176,Wurm::N,kurm,വിര
177,Spinne::N,pîrê,ചിലന്തി
178,Ameise::N,mîro,ഉറുമ്പ്
179,Ameise::N,gêrîk,ഉറുമ്പ്
180,Laus::N,spi,പേന്
181,Mücke::N,mêş,മശകം
182,Fliege::N,mêş,ഈച്ച
183,Schmetterling::N,perperîk,ചിത്രശലഭം
184,Beere::N,hirç,ബെറി
185,Apfel::N,sêv,ആപ്പിൾ
186,Pilz::N,bîrov,കൂൺ
187,Zwiebel::N,pîvaz,സവാള
188,Saat::N,tov,വിത്ത്
189,Korn::N,dexl,ധാന്യം
190,Heu::N,sap,വയ്ക്കോൽ
191,Schale::N,qaşik,തൊലി
192,Grube::N,çahl,കുഴി
193,Falle::N,dafik,കെണി
194,Schlinge::N,dahf,കുടുക്ക്
195,Spur::N,rêç,ചുവട്
196,Asche::N,xweli,ചാരം
197,Dreck::N,gemarî,അഴുക്ക്
198,Eisen::N,hesing,ഇരുമ്പ്
199,Gold::N,zêr,സ്വർണ്ണം
200,Silber::N,zîv,വെള്ളി
201,Kohle::N,komir,കൽക്കരി
202,Glas::N,qedeh,ഗ്ലാസ്
203,Lehm::N,kelpîç,കളിമണ്ണ്
204,Sand::N,qûm,മണൽ
205,Mensch::N,mirov,മനുഷ്യർ
206,Mann::N,mêr,പുരുഷൻ
207,Frau::N,jin,സ്ത്രീ
208,Kind::N,zarok,കുഞ്ഞ്
209,Junge::N,kur,ആൺകുട്ടി
210,Mädchen::N,keç,പെൺകുട്ടി
211,Mädchen::N,keçik,പെൺകുട്ടി
212,Familie::N,malbat,കുടുംബം
213,Großvater::N,bapîr,അപ്പൂപ്പൻ
214,Großmutter::N,pîrik,അമ്മുമ്മ
215,Eltern::N,bavudê,മാതാപിതാക്കള്
216,Vater::N,bav,അച്ഛൻ
217,Mutter::N,dê,അമ്മ
218,Mutter::N,dayik,അമ്മ
219,Sohn::N,kur,മകൻ
220,Tochter::N,keç,മകൾ
221,Bruder::N,bira,ചേട്ടൻ
222,Bruder::N,bira,അനിയൻ
223,Schwester::N,xweh,ചേച്ചി
224,Schwester::N,xweh,അനിയത്തി
225,Onkel::N,am,അമ്മാവൻ
226,Onkel::N,xal,അമ്മാവൻ
227,Tante::N,metik,മാമി
228,Tante::N,xaltîk,മാമി
229,Ehemann::N,mêr,ഭർത്താവ്
230,Ehefrau::N,kulfet,ഭാര്യ
231,Freude::N,kêfxweşî,ആഹ്ലാദം
232,Gelächter::N,pîrqînî,ചിരിയുടെ ശബ്ദം
233,Glück::N,bext,സന്തോഷം
234,Glück::N,bext,സന്തുഷ്ടി
235,Kummer::N,derd,ശോകം
236,Wunsch::N,daxwaz,ആഗ്രഹം
237,Wunsch::N,xwestek,ആഗ്രഹം
238,Lust::N,şewq,ആഗ്രഹം
239,Geist::N,aqil,ചുറുചുറുക്ക്
240,Gedanke::N,fikir,ചിന്ത
241,Gedächtnis::N,aqil,ഓർമ്മശക്തി
242,Verstand::N,fêm,മനസ്സ്
243,Sinn::N,aqil,അർത്ഥം
244,Grund::N,asas,കാരണം
245,Wahrheit::N,rastî,സത്യം
246,Gespräch::N,guftûgo,സല്ലാപം
247,Märchen::N,çirok,യക്ഷിക്കഥ
248,Erzählung::N,çirok,കഥ
249,Erzählung::N,vegotin,കഥ
250,Nachricht::N,nûçe,സന്ദേശം
251,Neuigkeit::N,hewal,വാർത്ത
252,Name::N,nav,പേര്
253,Name::N,paşnav,പേര്
254,Rätsel::N,tiştonek,പ്രഹേളിക
255,Rede::N,gotar,സംസാരം
256,Rede::N,axavtin,സംസാരം
257,Sprache::N,ziman,ഭാഷ
258,Stimme::N,pejn,സ്വരം
259,Wort::N,gotin,വാക്ക്
260,Zeichen::N,şanek,സംജ്ഞ
261,Ruf::N,hawar,വിളി
262,Lärm::N,xarbalix,ആരവം
263,Laut::N,deng,ശബ്ദം
264,Laut::N,hês,ശബ്ദം
265,Ton::N,awaz,സ്വരഭേദം
266,Lied::N,sitran,പാട്ട്
267,Ruhe::N,rihetî,നിശ്ചലത
268,Leute::N,xelk,ജനങ്ങൾ
269,Volk::N,xelk,രാഷ്ടം
270,Arbeit::N,xebat,ജോലി
271,Gast::N,mêvan,അതിലി
272,Geschenk::N,diyarî,സമ്മാനം
273,Spiel::N,lîstik,കളി
274,Gesellschaft::N,komal,കൂട്ടായ്മ
275,Hilfe::N,alîkarî,സഹായം
276,Freund::N,heval,സുഹൃത്ത്
277,Kamerad::N,heval,കൂട്ടാളി
278,Angelegenheit::N,pirsgirêk,കാര്യം
279,Anzahl::N,çend,എണ്ണം
280,Art::N,çeh,തരം
281,Stück::N,lib,കഷണം
282,Stück::N,parçe,കഷണം
283,Teil::N,parçe,ഭാഗം
284,Hälfte::N,nîvî,പകുതി
285,Kreis::N,çemil,വൃത്തം
286,Kreuz::N,xaç,കുരിശടയാളം
287,Linie::N,xezik,വര
288,Linie::N,xezik,രേഖ
289,Strich::N,xezik,പക്ഷാഘാതം
290,Abstand::N,dûrahî,വിടവ്
291,Entfernung::N,dûrahî,അകലം
292,Gegend::N,dever,പ്രദേശം
293,Platz::N,çih,ഇടം
294,Ort::N,dever,സ്ഥലം
295,Seite::N,rûpel,വശം
296,Mitte::N,nav,മധ്യസ്ഥാനം
297,Mitte::N,nabênê,മധ്യസ്ഥാനം
298,Gegenstand::N,tişt,സാധനം
299,Sache::N,tişt,വസ്തു
300,Rand::N,kevî,തൊങ്ങൽ
301,Kante::N,kevî,അറ്റം
302,Ecke::N,qunç,മൂല
303,Spitze::N,derzî,അഗ്രം
304,Ende::N,talî,അവസാനം
305,Loch::N,qul,ദ്വാരം
306,Winkel::N,kurnîşk,കോൺ
307,Muster::N,desen,ക്രമം
308,Größe::N,mezinî,വലുപ്പം
309,Länge::N,dirêjahî,നീളം
310,Höhe::N,bilindayî,ഉയരം
311,Gewicht::N,giranî,കട്ടി
312,Menge::N,qas,അളവ്
313,Haufen::N,lod,കൂമ്പാരം
314,Reihe::N,rêz,വരി
315,Boot::N,kelek,ബോട്ട്
316,Ruder::N,bêrik,പങ്കായം
317,Schlitten::N,xîjik,ഉരുളില്ലാവണ്ടി
318,Ski::N,lakan,ഹിമപാദുകം
319,Lagerfeuer::N,agir,തീ
320,Last::N,bar,ഭാരം
321,Gang::N,fîtêz,നടത്തം
322,Schritt::N,gav,ചുവട്
323,Norden::N,bakur,വടക്ക്
324,Süden::N,başur,തെക്ക്
325,Westen::N,rojava,പടിഞ്ഞാറ്
326,Osten::N,rojhilat,കിഴക്ക്
327,Holz::N,dep,തടി
328,Brett::N,dep,ബോർഡ്
329,Platte::N,dep,തകിട്
330,Stütze::N,destek,താങ്ങ്
331,Stange::N,sing,കമ്പ്
332,Stock::N,çam,വടി
333,Stab::N,qat,കുറുവടി
334,Rohr::N,borî,കുഴൽ
335,Haus::N,mal,വീട്
336,Haus::N,xanî,വീട്
337,Heim::N,mal,വീട്
338,Ofen::N,sobe,സ്റ്റൌ
339,Fußboden::N,binpê,തറ
340,Tisch::N,mase,മേശ
341,Stuhl::N,kursî,കസേര
342,Wiege::N,derguş,തൊട്ടിൽ
343,Bett::N,qerewêle,കിടക്ക
344,Regal::N,rêbaz,ഷെൽഫ്
345,Kiste::N,sindoq,പെട്ടി
346,Fenster::N,çam,ജനൽ
347,Fenster::N,şibeke,ജനൽ
348,Tür::N,derî,വാതിൽ
349,Tor::N,derge,കവാടം
350,Zaun::N,hejik,വേലി
351,Dach::N,sere xanî,മേൽക്കുര
352,Leiter::N,pêling,ഏണി
353,Besen::N,melkes,ചൂല്
354,Spaten::N,mer,തൂമ്പ
355,Schaufel::N,bêr,തൂമ്പ
356,Gabel::N,çetel,മുൾക്കത്തി
357,Löffel::N,kevçî,സ്പൂൺ
358,Messer::N,kêr,കത്തി
359,Nagel::N,bizmar,ആണി
360,Netz::N,tor,വല
361,Haken::N,çenqel,കൊളുത്ത്
362,Griff::N,destî,കൈപ്പിടി
363,Schloss::N,qonax,പൂട്ട്
364,Bild::N,dimen,ചിത്രം
365,Figur::N,figûr,കണക്ക്
366,Puppe::N,bûk,പാവ
367,Beutel::N,kîsik,ബാഗ്
368,Bündel::N,pêçek,കെട്ട്
369,Tasche::N,bêrîk,ബാഗ്
370,Eimer::N,dewl,ബക്കറ്റ്
371,Deckel::N,devik,ഉറ
372,Geschirr::N,ferax,പിഞ്ഞാണം
373,Sack::N,tûr,ചാക്ക്
374,Tasse::N,kada,കപ്പ്
375,Topf::N,beroş,പാത്രം
376,Kessel::N,şîril,കെറ്റ്ല്
377,Essen::N,xwarin,ആഹാരസമയം
378,Nahrung::N,xwarin,ഭക്ഷണം
379,Speise::N,xwarin,ഡിഷ്
380,Fleisch::N,goşt,മാംസം
381,Getreide::N,zad,ചോളം
382,Brei::N,hewdêl,കഞ്ഞി
383,Brot::N,,റോട്ടി
384,Scheibe::N,parçe,തുണ്ട്
385,Fett::N,rûn,കൊഴുപ്പ്
386,Butter::N,rûn,വെണ്ണ
387,Öl::N,rûn,എണ്ണ
388,Salz::N,xwe,ഉപ്പ്
389,Suppe::N,şorbe,സൂപ്പ്
390,Honig::N,hingiv,തേൻ
391,Milch::N,şîr,പാൽ
392,Tee::N,çay,ചായ
393,Leder::N,çerm,തുകൽ
394,Wolle::N,herî,കമ്പിളി
395,Stoff::N,paç,തുണി
396,Nadel::N,derzî,സൂചി
397,Faden::N,ta,നൂല്
398,Knopf::N,bişkok,ബട്ടൺ
399,Knoten::N,girêk,കുരുക്ക്
400,Farbe::N,boyax,പെയിൻറ്
401,Kleidung::N,çil,വസ്ത്രങ്ങൾ
402,Hemd::N,qutik,ഷർട്ട്
403,Hemd::N,miltan,ഷർട്ട്
404,Kragen::N,stûvang,കുപ്പായക്കഴുത്ത്
405,Ärmel::N,hûçik,കുപ്പായക്കൈ
406,Hose::N,şewel,ട്രൌസർ
407,Gürtel::N,qayiş,ബെൽറ്റ്
408,Mütze::N,fîno,തൊപ്പി
409,Schuh::N,şêkal,ഷൂ
410,Stiefel::N,gizme,ബൂട്ട്
411,Stiefel::N,çizme,ബൂട്ട്
412,Ring::N,xelek,മോതിരം
413,Band::N,band,റിബൺ
414,Kamm::N,şeh,ചീപ്പ്
415,Spiegel::N,eynik,കണ്ണാടി
416,Riemen::N,qayiş,സ്ട്രാപ്പ്
417,Schnur::N,doxin,ചരട്
418,Leine::N,şirît,കെട്ടാനുള്ള തോൽവാർ
419,Decke::N,bataniye,പുതപ്പ്
420,Kissen::N,balgî,തലയിണ
421,Tuch::N,şar,സ്കാർഫ്
422,Handtuch::N,dezmal,തോർത്ത്
423,Kraft::N,hêz,ശക്തി
424,Kraft::N,qewet,ശക്തി
425,Stärke::N,xurtî,ശക്തി
426,Gesundheit::N,nojdarî,ആരോഗ്യം
427,Krankheit::N,nexweşî,അസുഖം
428,Schmerz::N,êş,വേദന
429,Wunde::N,kul,മുറിവ്
430,Fieber::N,ta,പനി
431,Arznei::N,derman,മരുന്ന്
432,Brücke::N,kopî,പാലം
433,Brunnen::N,çal,കിണർ
434,Brunnen::N,kani,കിണർ
435,Weide::N,beyar,മേച്ചൽ
436,Pfad::N,xaçirek,വഴി
437,Weg::N,rê,വഴി
438,Straße::N,rê,റോഡ്
439,Dorf::N,gund,ഗ്രാമം
440,Stadt::N,baçar,നഗരം
441,Brief::N,name,കത്ത്
442,Buch::N,kitêb,പുസ്തകം
443,Buch::N,pirtûk,പുസ്തകം
444,Buchstabe::N,herf,അക്ഷരം
445,Zeitung::N,rojname,വർത്തമാനപത്രം
446,Leben::N,jiyan,ജീവൻ
447,Tod::N,mirin,മരണം
448,Grab::N,mezel,ശവക്കുഴി
449,Kirche::N,gilyas,പള്ളി
450,Sünde::N,guneh,പാപം
451,Gott::N,xwedê,ദൈവം
452,Arbeiter::N,hîşçî,ജോലിക്കാരൻ
453,Chef::N,bêg,മേധാവി
454,Meister::N,hoste,യജമാനൻ
455,Arzt::N,doktor,ഡോക്ടർ
456,Lehrer::N,mamoste,അധ്യാപകൻ
457,Geld::N,pere,പണം
458,Geschäft::N,firoşgeh,ബിസിനസ്
459,Laden::N,dikan,കട
460,Preis::N,buha,വില
461,Ware::N,tişt,ചരക്ക്
462,Nutzen::N,fêde,ലാഭം
463,Reichtum::N,serwet,ധനം
464,Welt::N,dinya,ലോകം
465,Land::N,welat,രാജ്യം
466,Staat::N,dewlet,രാജ്യം
467,König::N,şah,രാജാവ്
468,König::N,qral,രാജാവ്
469,Macht::N,qewet,അധികാരം
470,Macht::N,destihilat,അധികാരം
471,Grenze::N,kevî,അതിർത്തി
472,Krieg::N,çeng,യുദ്ധം
473,Krieg::N,sêwaş,യുദ്ധം
474,Feind::N,dijmin,ശത്രു
475,Gewalt::N,zor,അക്രമം
476,Kampf::N,şer,പോരാട്ടം
477,Bogen[Waffe]::N,kêvan,വില്ല്
478,Pfeil::N,çîrik,അമ്പ്
479,Gewehr::N,tifing,തോക്ക്
480,Fehler::N,şaşî,പിശക്
481,Lüge::N,derew,കള്ളം
482,Schaden::N,xisar,കേടുപാട്
483,Unglück::N,bêbextî,ദൌർഭാഗ്യം
484,Schuld::N,suç,തെറ്റ്
485,Alter::N,temen,വയസ്സ്
486,Schluss::N,girtin,നിഗമനം
487,Zeit::N,çax,സമയം
488,Tag::N,roj,ദിവസം
489,Morgen::N,sibeh,പ്രഭാതം
490,Mittag::N,nîro,ഉച്ച
491,Abend::N,êvar,സായാഹ്നം
492,Nacht::N,şev,രാത്രി
493,Woche::N,heftî,ആഴ്ച
494,Monat::N,meh,മാസം
495,Jahr::N,sal,വർഷം
496,Frühling::N,bihar,വസന്തം
497,Sommer::N,havîn,വേനൽ
498,Herbst::N,payîz,ശരത്കാലം
499,Winter::N,zistan,ശൈത്യം
500,Januar::N,çile,ജനുവരി
501,Februar::N,sibat,ഫെബ്രുവരി
502,März::N,adar,മാർച്ച്
503,April::N,nîsan,ഏപ്രിൾ മാസം
504,Mai::N,gûlan,മെയ് മാസം
505,Juni::N,hezîran,ജൂൺ
506,Juli::N,tîmeh,ജൂലൈ
507,August::N,tebax,ആഗസ്റ്റ്
508,September::N,îlon,സെപ്തംബർ
509,Oktober::N,çotmeh,ഒക്ടോബർ
510,November::N,mijdar,നവംബർ
511,Dezember::N,kanûn,ഡിസംബർ
512,Montag::N,duşemb,തിങ്കളാഴ്ച
513,Dienstag::N,sêşem,ചൊവ്വ
514,Mittwoch::N,çarşemb,ബുധനാഴ്ച
515,Donnerstag::N,pêşemb,വ്യാഴാഴ്ച
516,Freitag::N,în,വെള്ളിയാഴ്ച
517,Samstag::N,şemî,ശനിയാഴ്ച
518,Sonntag::N,yekşemb,ഞായറാഴ്ച
519,groß::A,mezin,വലിയ
520,klein::A,çûçik,ചെറിയ
521,lang::A,dirêj,നീണ്ട
522,kurz::A,kin,ഹ്രസ്വമായ
523,breit::A,fireh,വിശാലമായ
524,schmal::A,tenik,ഇടുങ്ങിയ
525,dicht::A,gir,നിബിഡമായ
526,dick[Gegenstand]::A,şîşman,തടിച്ച
527,dünn::A,zirav,മെലിഞ്ഞ
528,fein::A,tenik,നേർത്ത
529,fest::A,saxlem,ഉറപ്പുള്ള
530,flach::A,pahn,പരന്ന
531,glatt::A,dûz,മിനുസമുള്ള
532,glatt::A,şayîk,മിനുസമുള്ള
533,hart::A,hişk,കട്ടിയുള്ള
534,weich::A,nerm,മൃദുവായ
535,rund::A,gilover,വട്ടത്തിലുള്ള
536,spitz::A,pîj,മുനയുള്ള
537,scharf::A,tûj,മൂർച്ചയുള്ള
538,stumpf::A,ne tûj,തുറന്നടിക്കുന്ന
539,schwer::A,giran,ഭാരമുള്ള
540,schön::A,xweş,മനോഹരമായ
541,schön::A,xweşik,മനോഹരമായ
542,heiß::A,kelandî,ചൂടുള്ള
543,warm::A,germ,ചൂടുള്ള
544,kalt::A,sar,തണുത്ത
545,kühl::A,jemîrî,തണുപ്പുള്ള
546,frisch::A,ter,ശുദ്ധമായ
547,feucht::A,şil,ഈറനുള്ള
548,nass::A,şilek,നനഞ്ഞ
549,trocken::A,zuwa,വരണ്ട
550,voll::A,tijî,നിറയെ
551,leer::A,vala,ഒഴിഞ്ഞ
552,offen::A,vekirî,തുറന്ന
553,geschlossen::A,asê,അടച്ച
554,sauber::A,pakij,വൃത്തിയുള്ള
555,schmutzig::A,lewitî,അഴുക്കുനിറഞ്ഞ
556,roh::A,xav,അസംസ്കൃതമായ
557,reif::A,gihaştî,പഴുത്ത
558,lecker::A,xweş,രുചികരമായ
559,süß::A,şîrîn,മധുരമുള്ള
560,bitter::A,tahl,കടുത്ത
561,sauer::A,tirş,പുളിപ്പുള്ള
562,hell::A,ronî,ജ്വലിക്കുന്ന
563,dunkel::A,tarî,ഇരുണ്ട
564,schwarz::A,reş,കറുത്ത
565,weiß::A,sipî,വെളുത്ത
566,rot::A,sor,ചുവന്ന
567,gelb::A,zer,മഞ്ഞനിറമായ
568,blau::A,şîn,നീലനിറമുള്ള
569,grün::A,şîn,പച്ചനിറമുള്ള
570,grau::A,gewr,ചാരനിറത്തിലുള്ള
571,bunt::A,rengîn,വർണ്ണശബളമായ
572,billig::A,erzan,വിലകുറഞ്ഞ
573,teuer::A,biha,ചെലവേറിയ
574,wertvoll::A,hêja,വിലപിടിപ്പുള്ള
575,wertvoll::A,giranbiha,വിലപിടിപ്പുള്ള
576,blind::A,kor,അന്ധനായ
577,taub::A,kerr,കേൾവിക്കുറവുള്ള
578,kräftig::A,gir,ശക്തിയുള്ള
579,kräftig::A,xurt,ശക്തിയുള്ള
580,stark::A,xurt,ബലമുള്ള
581,schwach::A,kesad,ക്ഷീണിച്ച
582,fett::A,qelew,കൊഴുപ്പുള്ള
583,schlank::A,zirav,മെലിഞ്ഞ
584,hübsch::A,xweşik,മനോഹരമായ
585,böse::A,xerab,പാപിയായ
586,böse::A,aciz,പാപിയായ
587,dumm::A,gêj,വിവരംകെട്ട
588,faul::A,têmbêl,അലസനായ
589,fleißig::A,jêhatî,അദ്ധ്വാനശീലമുള്ള
590,geizig::A,destgirtî,പിശുക്കനായ
591,klug::A,baqil,ബുദ്ധിസാമർഥ്യമുള്ള
592,geschickt::A,zîrek,പ്രതിഭാശാലി
593,geschickt::A,ziring,പ്രതിഭാശാലി
594,lieb::A,delal,പ്രിയപ്പെട്ട
595,lustig::A,kêfxweş,ആനന്ദകരമായ
596,sanft::A,nazenîn,സൌമ്യമായ
597,hungrig::A,birçî,വിശപ്പുള്ള
598,krank::A,nexweş,അസുഖമുള്ള
599,nackt::A,rût,നഡമായ
600,nackt::A,tazî,നഡമായ
601,traurig::A,xemgîn,വിഷമമുള്ള
602,lebendig::A,bisaxî,ഉപജീവനം
603,gut::A,baş,നല്ല
604,schlecht::A,xerab,മോശമായ
605,richtig::A,rast,ശരിയായ
606,richtig::A,saxlem,ശരിയായ
607,schlimm::A,nebaş,വൃത്തികെട്ട
608,wahr::A,rast,ശരിയായ
609,alt::A,pîr,പഴയ
610,alt::A,kevn,പഴയ
611,neu::A,nû,പുതിയ
612,ehemalig::A,kevnar,മുൻ
613,ehemalig::A,peşidar,മുൻ
614,alt[Lebewesen]::A,pîr,വയസ്സുള്ള
615,jung::A,xort,കൌമാരമായ
616,arm::A,feqîr,പാവപ്പെട്ട
617,arm::A,desteng,പാവപ്പെട്ട
618,reich::A,dewlemend,സമ്പന്നമായ
619,bekannt::A,naskirî,പരിചിതമായ
620,berühmt::A,navdar,പ്രശസ്തനായ
621,fremd::A,xerîb,വൈദേശികമായ
622,verschieden::A,çîhê,വ്യത്യസ്തമായ
623,nah::A,nêzîk,അരികത്തുള്ള
624,fern::A,dûr,അകലെയുള്ള
625,linker::A,çepê,അവശേഷിച്ച
626,rechter::A,rastê,വലത്തേ
627,anderer::A,yê din,മറ്റുള്ള
628,erster::A,yekemîn,ആദ്യത്തെ
629,zweiter::A,duda,രണ്ടാം
630,dritter::A,sisêya,മൂന്നാമത്
631,letzter::A,paşîn,അവസാനത്തെ
632,allein::ADV,tenê,തനിച്ചുള്ള
633,auf einmal::ADV,jar kê,ഉടന്
634,zusammen::ADV,tev,ഒരുമിച്ച
635,zusammen::ADV,bi hev re,ഒരുമിച്ച
636,lange::ADV,dirêj,നീണ്ട_കാലത്തേയ്ക്ക്
637,plötzlich::ADV,ji nişkave,പെട്ടെന്ന്
638,sofort::ADV,yekser,തത്ക്ഷണം
