,Concept_ID,sq,mrj
182,Adler::N,shqiponjë,кучкыж
183,Ente::N,rosë,лыды
184,Eule::N,buf,тымана
185,Kranich::N,lejlek,тырня
186,Kranich::N,lejlek,тыртня
187,Kranich::N,kurrillë,тырня
188,Kranich::N,kurrillë,тыртня
189,Krähe::N,sorrë,лудыгарак
190,Kuckuck::N,qyqe,куку
191,Schwan::N,mjellmë,йӱксӹ
192,Fisch::N,peshk,кол
193,Barsch::N,purtekë,алангы
194,Hecht::N,mlysh,нуж
195,Hecht::N,mlysh,нужгол
196,Schlange[Tier]::N,gjarpër,кӹшкы
197,Wurm::N,krimb,шукш
198,Spinne::N,marimangë,ӓнгӹремшӹ
199,Ameise::N,thnegël,кыткы
200,Ameise::N,milingonë,кыткы
201,Laus::N,morr,ти
202,Mücke::N,kunup,кужнер
203,Mücke::N,kunup,кужынер
204,Mücke::N,mushkonjë,кужнер
205,Mücke::N,mushkonjë,кужынер
206,Fliege::N,mizë,шӹнгӓ
207,Schmetterling::N,flutur,лӹпӹ
208,Beere::N,frutë,мöр
209,Beere::N,manaferrë,мöр
210,Apfel::N,mollë,олма
211,Pilz::N,kërpudhë,понгы
212,Zwiebel::N,qepë,охыра
213,Saat::N,farë,нӱшмӹ
214,Saat::N,farë,нӱшмӱ
215,Korn::N,grurë,пӹрцӹ
216,Korn::N,kokërr,пӹрцӹ
217,Heu::N,sanë,шуды
218,Schale::N,lëkurë,аваха
219,Schale::N,lëkurë,карлангы
220,Grube::N,gropë,йӓм
221,Falle::N,kurth,лӱдӹ
222,Falle::N,kurth,лӱдӹш
223,Falle::N,grackë,лӱдӹ
224,Falle::N,grackë,лӱдӹш
225,Schlinge::N,nyjë,онгы
226,Spur::N,gjurmë,кишӓ
227,Asche::N,hi,ломых
228,Asche::N,hi,ломпыж
229,Dreck::N,baltë,лявӹрӓ
230,Eisen::N,hekur,кӹртни
231,Gold::N,ar,шöртни
232,Gold::N,ar,шöртньӹ
233,Gold::N,flori,шöртни
234,Gold::N,flori,шöртньӹ
235,Silber::N,argjend,ши
236,Kohle::N,qymyr,шӱ
237,Glas::N,qelq,охоница
238,Lehm::N,argjilë,шун
239,Sand::N,rërë,ошма
240,Mensch::N,njeri,эдем
241,Mann::N,burrë,пӱэргӹ
242,Mann::N,mashkull,пӱэргӹ
243,Frau::N,grua,ӹдӹрӓмӓш
244,Frau::N,femër,ӹдӹрӓмӓш
245,Kind::N,kalama,ӓзӓ
246,Kind::N,kalama,шачшы
247,Junge::N,djalë,рвезӹ
248,Junge::N,djalë,ӹрвезӹ
249,Mädchen::N,gocë,ӹдӹрӓш
250,Mädchen::N,vajzë,ӹдӹрӓш
251,Familie::N,familje,йиш
252,Familie::N,familje,семня
253,Großvater::N,gjysh,тьоти
254,Großmutter::N,gjyshe,папа
255,Eltern::N,prindër,ӓтя-ӓвӓ
256,Vater::N,atë,ӓтя
257,Mutter::N,nënë,ӓвӓ
258,Sohn::N,bir,эргӹ
