,Concept_ID,pt,ta
84,Schnee::N,neve,உறைபனி
85,Eis::N,gelo,பனிக்கட்டி
86,Frost::N,gelo,உறைபனி
87,Frost::N,geada,உறைபனி
88,Kälte::N,frio,குளிர்ந்த
89,Hitze::N,ardor,சூடு
90,Raureif::N,geada,உறைபனி வெண்திரை
91,Regenbogen::N,arco-iris,வானவில்
92,Donner::N,trovão,இடி
93,Strömung::N,corrente,நீரோட்டம்
94,Tropfen::N,gota,துளி
95,Schaum::N,espuma,நுரை
96,Schmutz::N,sujidade,அழுக்கு
97,Schmutz::N,imundície,அழுக்கு
98,See::N,lago,ஏரி
99,Sumpf::N,charco,சதுப்பு நிலம்
100,Sumpf::N,pântano,சதுப்பு நிலம்
101,Moor::N,pântano,முட்புதற்காடு
102,Wiese::N,prado,பசும் புல்தரை
103,Wald::N,bosque,காடு
104,Wald::N,floresta,காடு
105,Hügel::N,colina,குன்று
106,Anhöhe::N,alto,பதுக்கை
107,Anhöhe::N,outeiro,பதுக்கை
108,Berg::N,monte,மலை
109,Berg::N,montanha,மலை
110,Gipfel::N,pico,உச்சி மாநாடு
111,Höhle::N,caverna,குகை
112,Abhang::N,encosta,சரிவு
113,Quelle::N,fonte,மூலம்
114,Bach::N,regato,ஓடை
115,Bach::N,ribeiro,ஓடை
116,Fluss::N,rio,ஆறு
117,Ufer::N,beira,நீர்க்கரை
118,Küste::N,costa,கடற்கரை
119,Festland::N,terra firme,நிலம்
120,Meer::N,mar,கடல்
121,Bucht::N,baía,சிறுகுடா
122,Insel::N,ilha,தீவு
123,Blume::N,flor,பூ
124,Gras::N,erva,புல்தரை
125,Wurzel::N,raiz,வேர்
126,Baum::N,árvore,மரம்
127,Stamm::N,tronco,அடிமரம்
128,Rinde::N,casca,பட்டை
129,Rinde::N,casca,மரப்பட்டை
130,Ast::N,ramo,கினை
131,Zweig::N,galho,குச்சி
132,Blatt::N,folha,இலை
133,Birke::N,bétula,பிர்ச் மரம்
134,Kiefer[Baum]::N,pinheiro,தேவதாரு மரம்
135,Weide[Baum]::N,salgueiro,மர வகைகளுள் ஒன்று
136,Tanne::N,abeto,சாதிக்கய்
137,Horn::N,corno,கொம்பு
138,Horn::N,chifre,கொம்பு
139,Feder::N,pena,இறகு
140,Fell::N,pele,மென்முடி
141,Flügel::N,asa,இறக்கை
142,Klaue::N,pata,நகம்
143,Kralle::N,unha,நகம்
144,Kralle::N,garra,நகம்
145,Schwanz::N,rabo,வால்
146,Schwanz::N,cauda,வால்
147,Ei::N,ovo,முட்டை
148,Nest::N,ninho,கூடு
149,Bau::N,toca,குகை
150,Bau::N,covil,குகை
151,Tier::N,animal,விலங்கு
152,Herde::N,rebanho,கூட்டம்
153,Kuh::N,vaca,பசு
154,Bulle::N,touro,காளை
155,Pferd::N,cavalo,குதிரை
156,Schaf::N,ovelha,செம்மறிஆடு
157,Schwein::N,porco,பன்றி
158,Hund::N,cão,நாய்
159,Katze::N,gata,பூனை
160,Bär::N,urso,கரடி
161,Eichhörnchen::N,esquilo,அணில்
162,Elch::N,alce,கடம்பை
163,Fuchs::N,raposa,நரி
164,Hase::N,lebre,முயல்
165,Maus::N,rato,எலி
166,Wolf::N,lobo,ஓநாய்
167,Vogel::N,ave,பறவை
168,Vogel::N,pássaro,பறவை
169,Schwarm::N,bando,தொகுதி
170,Schwarm::N,enxame,தொகுதி
171,Huhn::N,galinha,கோழிக்குஞசு
172,Hahn::N,galo,சேவல்
173,Gans::N,ganso,பெண் வாத்து
174,Adler::N,águia,பருநது
175,Ente::N,pata,வாத்து
176,Eule::N,mocho,ஆந்தை
177,Eule::N,coruja,ஆந்தை
178,Kranich::N,grou,நாரை
179,Krähe::N,gralha,காகம்
180,Kuckuck::N,cuco,குயில்
181,Schwan::N,cisne,அன்னம்
182,Fisch::N,peixe,மீன்
183,Barsch::N,perca,பேர்ச்
184,Hecht::N,lúcio,கோலாச்சி மீன்
185,Schlange[Tier]::N,serpente,பாம்பு
186,Wurm::N,verme,புழு
187,Spinne::N,aranha,சிலந்தி
188,Ameise::N,formiga,எறும்பு
189,Laus::N,piolho,பேன்
190,Mücke::N,mosquito,கொசுவினப்பூச்சி
191,Fliege::N,mosca,ஈ
192,Schmetterling::N,borboleta,வண்ணத்துப்பூச்சி
193,Beere::N,bago,சதைப்பழம்
194,Apfel::N,maçã,ஆப்பிள பழம்
195,Pilz::N,fungo,காளான்
196,Pilz::N,cogumelo,காளான்
197,Zwiebel::N,cebola,வெங்காயம்
198,Saat::N,sementeira,விதை
199,Korn::N,grão,தானியம்
200,Heu::N,feno,வைக்கோல்
201,Schale::N,casca,தோல்
202,Grube::N,cova,குழி
203,Grube::N,fossa,குழி
204,Falle::N,armadilha,பொறி
205,Schlinge::N,laço,கண்ணி
206,Spur::N,pista,சுவடு
207,Spur::N,vestígio,சுவடு
208,Asche::N,cinza,சாம்பல்
209,Dreck::N,sujidade,அழுக்கு
210,Eisen::N,ferro,இரும்பு
211,Gold::N,ouro,தங்கம்
212,Silber::N,prata,வெள்ளி
213,Kohle::N,carvão,நிலக்கரி
214,Glas::N,vidro,கண்ணாடி
215,Lehm::N,barro,களிமண்
216,Lehm::N,argila,களிமண்
217,Sand::N,areia,மணல்
218,Mensch::N,homem,மனிதர்கள்
219,Mensch::N,pessoa,மனிதர்கள்
220,Mann::N,homem,மனிதன்
221,Frau::N,mulher,பெண்
222,Kind::N,filho,குழந்தை
223,Kind::N,criança,குழந்தை
224,Junge::N,rapaz,பையன்
225,Junge::N,menino,பையன்
226,Mädchen::N,menina,சிறுமி
227,Mädchen::N,rapariga,சிறுமி
228,Familie::N,família,குடும்பம்
229,Großvater::N,avô,தாத்தா
230,Großmutter::N,avó,பாட்டி
231,Eltern::N,pais,பெற்றோர்
232,Vater::N,pai,தந்தை
233,Mutter::N,mãe,தாய்
234,Sohn::N,filho,மகன்
235,Tochter::N,filha,மகள்
236,Bruder::N,irmão,சகோதரன்
237,Schwester::N,irmã,அக்கா
238,Onkel::N,tio,தாய் மாமன்
239,Tante::N,tia,அத்தை
240,Ehemann::N,esposo,கணவன்
241,Ehefrau::N,esposa,மனைவி
242,Freude::N,prazer,கொண்டாட்டம்
243,Freude::N,alegria,கொண்டாட்டம்
244,Gelächter::N,risada,சிரிப்பு
245,Gelächter::N,gargalhada,சிரிப்பு
246,Glück::N,felicidade,மகிழ்ச்சி
247,Kummer::N,aflição,துயரம்
248,Kummer::N,desgosto,துயரம்
249,Wunsch::N,desejo,விருப்பம்
250,Lust::N,vontade,விருப்பம்
251,Geist::N,mente,ஆன்மா
252,Geist::N,espírito,ஆன்மா
253,Gedanke::N,ideia,எண்ணம்
254,Gedanke::N,pensamento,எண்ணம்
255,Gedächtnis::N,memória,ஞாபகம்
256,Verstand::N,razão,மனம்
257,Verstand::N,inteligência,மனம்
258,Sinn::N,sentido,அர்த்தம்
259,Sinn::N,significado,அர்த்தம்
260,Grund::N,causa,காரணம்
261,Grund::N,motivo,காரணம்
262,Wahrheit::N,verdade,உண்நை
263,Gespräch::N,conversa,பெசு
264,Gespräch::N,conversação,பெசு
265,Märchen::N,conto,நம்பத்தகாத கதை
266,Erzählung::N,conto,கதை
267,Erzählung::N,narrativa,கதை
268,Nachricht::N,mensagem,செய்தி
269,Neuigkeit::N,notícia,செய்தி
270,Neuigkeit::N,novidade,செய்தி
271,Name::N,nome,பெயர்
272,Rätsel::N,adivinha,புதிர்
273,Rede::N,oração,பேச்சு
274,Rede::N,discurso,பேச்சு
275,Sprache::N,língua,மொழி
276,Stimme::N,voz,குரல்
277,Wort::N,palavra,வார்த்தை
278,Zeichen::N,marca,குறி
279,Ruf::N,grito,அழைப்பு
280,Ruf::N,chamada,அழைப்பு
281,Lärm::N,ruído,சத்தம்
282,Lärm::N,barulho,சத்தம்
283,Laut::N,som,ஒலி
284,Ton::N,tom,குரல்
285,Lied::N,canção,பாட்டு
286,Ruhe::N,calma,அமைதி
287,Ruhe::N,silêncio,அமைதி
288,Leute::N,gente,மக்கள்
289,Leute::N,pessoas,மக்கள்
290,Volk::N,povo,மக்கள்
291,Volk::N,nação,மக்கள்
292,Arbeit::N,trabalho,வேலை
293,Gast::N,hóspede,விருந்தாளி
294,Gast::N,convidado,விருந்தாளி
295,Geschenk::N,prenda,பரிசுப் பொருள்
296,Geschenk::N,presente,பரிசுப் பொருள்
297,Spiel::N,jogo,விளையாட்டு
298,Gesellschaft::N,companhia,சமுதாயம்
299,Hilfe::N,ajuda,உதவி
300,Hilfe::N,socorro,உதவி
301,Freund::N,amigo,நண்பன்
302,Kamerad::N,camarada,உடனிருப்பவன்
303,Angelegenheit::N,assunto,செய்தி
304,Anzahl::N,número,எண்ணிக்கை
305,Anzahl::N,quantidade,எண்ணிக்கை
306,Art::N,tipo,வகை
307,Art::N,espécie,வகை
308,Stück::N,pedaço,துண்டம்
309,Teil::N,peça,பகுதி
310,Teil::N,parte,பகுதி
311,Hälfte::N,metade,பாதி
312,Kreis::N,círculo,வட்டம்
313,Kreuz::N,cruz,சிலுவை
314,Linie::N,linha,கோடு
315,Strich::N,traço,வாத நோய்
316,Abstand::N,distância,இடைவெளி
317,Entfernung::N,distância,தூரம்
318,Gegend::N,área,வட்டாரம்
319,Gegend::N,região,வட்டாரம்
320,Platz::N,lugar,வெற்றிடம்
321,Ort::N,sítio,இடம்
322,Seite::N,lado,பக்கம்
323,Mitte::N,meio,இடைப்பகுதி
324,Gegenstand::N,objecto,உருப்படி
325,Sache::N,coisa,பொருள்
326,Rand::N,bordo,தொங்கு
327,Rand::N,margem,தொங்கு
328,Kante::N,borda,விளிம்பு
329,Kante::N,aresta,விளிம்பு
330,Ecke::N,esquina,மூலை
331,Spitze::N,ponta,முனை
332,Ende::N,cabo,முடிவு
333,Ende::N,extremo,முடிவு
334,Loch::N,furo,துளை
335,Loch::N,buraco,துளை
336,Winkel::N,canto,கோணம்
337,Winkel::N,ângulo,கோணம்
338,Muster::N,padrão,பாங்கு
339,Muster::N,desenho,பாங்கு
340,Größe::N,tamanho,அளவு
341,Länge::N,comprimento,நீளம்
342,Höhe::N,altura,உயரம்
343,Höhe::N,altitude,உயரம்
344,Gewicht::N,peso,எடை
345,Menge::N,quantidade,தொகை
346,Haufen::N,pilha,குவியல்
347,Reihe::N,fila,வரிசை
348,Boot::N,barco,படகு
349,Ruder::N,remo,துடுப்பு
350,Schlitten::N,trenó,சகடையிலா வண்டி
351,Ski::N,esqui,பனிச் சறுக்கல்
352,Lagerfeuer::N,fogueira,மூட்டம்
353,Last::N,carga,பாரம்
354,Gang::N,curso,நடை
355,Gang::N,caminhada,நடை
356,Schritt::N,passo,காலடி
357,Norden::N,norte,வடக்கு
358,Süden::N,sul,தெற்கு
359,Westen::N,oeste,மேற்கு திசை
360,Westen::N,ocidente,மேற்கு திசை
361,Osten::N,este,கிழக்கு
362,Osten::N,leste,கிழக்கு
363,Osten::N,oriente,கிழக்கு
364,Holz::N,madeira,மரக்கட்டை
365,Brett::N,tábua,பலகை
366,Brett::N,prancha,பலகை
367,Platte::N,laje,பலகம்
368,Platte::N,chapa,பலகம்
369,Stütze::N,apoio,அடைப்புகன்
370,Stütze::N,suporte,அடைப்புகன்
371,Stange::N,vara,கம்பம்
372,Stange::N,barra,கம்பம்
373,Stock::N,pau,குச்சி
374,Stock::N,bengala,குச்சி
375,Stab::N,bastão,கம்பு
376,Rohr::N,cano,குழாய்
377,Haus::N,casa,வீடு
378,Heim::N,lar,வீடு
379,Heim::N,casa,வீடு
380,Ofen::N,estufa,அடுப்பு
381,Ofen::N,aquecedor,அடுப்பு
382,Fußboden::N,piso,தரை
383,Tisch::N,mesa,மேசை
384,Stuhl::N,cadeira,நாற்காலி
385,Wiege::N,berço,தொட்டில்
386,Bett::N,cama,படுக்கை
387,Regal::N,estante,அலமாரி
388,Regal::N,prateleira,அலமாரி
389,Kiste::N,caixa,பெட்டி
390,Fenster::N,janela,சாளரம்
391,Tür::N,porta,கதவு
392,Tor::N,portão,வாசற்கதவு
393,Zaun::N,cerca,வேலி
394,Zaun::N,vedação,வேலி
395,Dach::N,telhado,கூரை
396,Leiter::N,escada,ஏணி
397,Leiter::N,escada móvel,ஏணி
398,Besen::N,vassoura,விளக்குமாறு
399,Spaten::N,pá,மண்வெட்டி
400,Schaufel::N,pá,அடிதண்டா
401,Gabel::N,garfo,முட்கரண்டி
402,Löffel::N,colher,கரண்டி
403,Messer::N,faca,கத்தி
404,Nagel::N,cravo,ஆணி
405,Netz::N,rede,வலை
406,Haken::N,gancho,கொக்கி
407,Griff::N,asa,கைப்பிடி
408,Griff::N,cabo,கைப்பிடி
409,Schloss::N,fechadura,பூட்டு
410,Bild::N,imagem,படம்
411,Figur::N,figura,எண்ணிக்கை
412,Puppe::N,boneca,பொம்மை
413,Beutel::N,saco,பை
414,Beutel::N,bolsa,பை
415,Bündel::N,fardo,பொதி
416,Tasche::N,saco,பை
417,Tasche::N,bolso,பை
418,Eimer::N,balde,வாளி
419,Deckel::N,tampa,உறை
420,Geschirr::N,louça,பாத்திரம்
421,Sack::N,saca,பை
422,Tasse::N,chávena,கிண்ணம்
423,Topf::N,tacho,பானை
424,Topf::N,panela,பானை
425,Kessel::N,caldeira,கெண்டி
426,Essen::N,refeição,உணவருந்துதல்
427,Nahrung::N,comida,உணவு
428,Nahrung::N,alimento,உணவு
429,Speise::N,prato,உணவு வகை
430,Fleisch::N,carne,இறைச்சி
431,Getreide::N,cereais,மக்காச்சோளம்
432,Brei::N,puré,கஞ்சி
433,Brot::N,pão,ரொட்டி
434,Scheibe::N,fatia,துண்டு
435,Fett::N,banha,கொழுப்பு
436,Fett::N,gordura,கொழுப்பு
437,Butter::N,manteiga,வெண்ணெய்
438,Öl::N,azeite,எண்ணெய்
439,Salz::N,sal,உப்பு
440,Suppe::N,sopa,ரசம்
441,Suppe::N,caldo,ரசம்
442,Honig::N,mel,தேன்
443,Milch::N,leite,பால்
444,Tee::N,chá,தெனீர்
445,Leder::N,couro,பதம் செய்யப்பட்ட தோல்
446,Wolle::N,lã,கம்பளி
447,Stoff::N,pano,துணி
448,Stoff::N,tecido,துணி
449,Nadel::N,agulha,ஊசி
450,Faden::N,fio,நூல்
451,Knopf::N,botão,பொத்தான்
452,Knoten::N,nó,முடிச்சு
453,Farbe::N,corante,வண்ணக் குழம்பு
454,Kleidung::N,roupa,ஆடைகள்
455,Kleidung::N,vestuário,ஆடைகள்
456,Hemd::N,camisa,சட்டை
457,Kragen::N,gola,கழுத்துப் பட்டை
458,Ärmel::N,manga,சட்டைக்கை
459,Hose::N,calça,கால்சட்டை
460,Gürtel::N,cinto,பெல்ட்
461,Mütze::N,boné,தொப்பி
462,Mütze::N,barrete,தொப்பி
463,Schuh::N,sapato,காலணி
464,Stiefel::N,bota,காலணி
465,Ring::N,anel,மோதிரம்
466,Band::N,fita,நாடா
467,Band::N,faixa,நாடா
468,Kamm::N,pente,கீப்பு
469,Spiegel::N,espelho,ஆடி
470,Spiegel::N,espelho,கண்ணாடி
471,Riemen::N,correia,வார்
472,Schnur::N,corda,கயிறு
473,Schnur::N,cordel,கயிறு
474,Leine::N,trela,தோல்வார்
475,Decke::N,cobertor,போர்வை
476,Kissen::N,almofada,தலையணை
477,Tuch::N,pano,துணி
478,Handtuch::N,toalha,தண்டு
479,Kraft::N,força,நிர்பந்தம்
480,Stärke::N,força,பலம்
481,Gesundheit::N,saúde,ஆரோக்கியம்
482,Krankheit::N,doença,நோய்
483,Krankheit::N,enfermidade,நோய்
484,Schmerz::N,dor,வலி
485,Wunde::N,chaga,காயம்
486,Wunde::N,ferida,காயம்
487,Fieber::N,febre,காய்ச்சல்
488,Arznei::N,remédio,மருந்து
489,Brücke::N,ponte,பாலம்
490,Brunnen::N,poço,கேணி
491,Weide::N,pastagem,மேய்ச்சல் நிலம்
492,Pfad::N,senda,நடை வழி
493,Pfad::N,trilho,நடை வழி
494,Weg::N,caminho,வழி
495,Straße::N,via,சாலை
496,Straße::N,estrada,சாலை
497,Dorf::N,aldeia,கிராமம்
498,Stadt::N,cidade,நகரம்
499,Brief::N,carta,கடிதம்
500,Buch::N,livro,புத்தகம்
501,Buchstabe::N,letra,எழத்து
502,Zeitung::N,jornal,செய்தித்தாள்
503,Leben::N,vida,வாழ்க்கை
504,Tod::N,morte,மரணம்
505,Grab::N,túmulo,சமாதி
506,Grab::N,sepultura,சமாதி
507,Kirche::N,igreja,தேவாலயம்
508,Sünde::N,pecado,பாவம்
509,Gott::N,deus,கடவுள்
510,Arbeiter::N,operário,தொழிலாளி
511,Arbeiter::N,trabalhador,தொழிலாளி
512,Chef::N,chefe,மேலாளர்
513,Chef::N,patrão,மேலாளர்
514,Meister::N,mestre,தலைவன்
515,Arzt::N,médico,மருத்துவர்
516,Lehrer::N,professor,ஆசிரியர்
517,Geld::N,dinheiro,பணம்
518,Geschäft::N,negócio,வாணிபம்
519,Laden::N,loja,கடை
520,Preis::N,preço,விலை
521,Ware::N,mercadoria,சாமன்கள்
522,Nutzen::N,proveito,இலாபம்
523,Reichtum::N,riqueza,சொத்து
524,Welt::N,mundo,உலகம்
525,Land::N,país,நாடு
526,Staat::N,Estado,நாடு
527,König::N,rei,அரசன்
528,Macht::N,poder,அதிகாரம்
529,Macht::N,potência,அதிகாரம்
530,Grenze::N,fronteira,எல்லை
531,Krieg::N,guerra,போர்
532,Feind::N,inimigo,எதிரி
533,Gewalt::N,violência,வன்முறை
534,Kampf::N,luta,போராட்டம்
535,Kampf::N,combate,போராட்டம்
536,Bogen[Waffe]::N,arco,வில்
537,Pfeil::N,seta,அம்பு
538,Pfeil::N,flecha,அம்பு
539,Gewehr::N,espingarda,துப்பாக்கி
540,Fehler::N,erro,தவறு
541,Fehler::N,falha,தவறு
542,Lüge::N,mentira,பொய்
543,Schaden::N,dano,சேதாரம்
544,Schaden::N,estrago,சேதாரம்
545,Unglück::N,desgraça,இடையூறு
546,Schuld::N,culpa,குற்றம்
547,Alter::N,idade,வயது
548,Schluss::N,fim,முடிவு
549,Zeit::N,tempo,காலம்
550,Tag::N,dia,நாள்
551,Morgen::N,manhã,காலை நேரம்
552,Mittag::N,meio-dia,மதியம்
553,Abend::N,noite,மாலைப் பொழுது
554,Abend::N,tardinha,மாலைப் பொழுது
555,Nacht::N,noite,இரவு
556,Woche::N,semana,வாரம்
557,Monat::N,mês,மாதம்
558,Jahr::N,ano,வருடம்
559,Frühling::N,primavera,வசந்தம்
560,Sommer::N,verão,கோடை
561,Herbst::N,outono,இலையுதிர் காலம்
562,Winter::N,inverno,குளிர்காலம்
563,Januar::N,Janeiro,ஜனவரி
564,Februar::N,Fevereiro,பிபரவரி மாதம்
565,März::N,Março,மார்ச் மாதம்
566,April::N,Abril,ஏப்ரல் மாதம்
567,Mai::N,Maio,மே மாதம்
568,Juni::N,Junho,ஜூன் மாதம்
569,Juli::N,Julho,ஜூலை மாதம்
570,August::N,Agosto,ஆகஸ்ட் மாதம்
571,September::N,Setembro,செப்டம்பர் மாதம்
572,Oktober::N,Outubro,அக்டோபர் மாதம்
573,November::N,Novembro,நவம்பர் மாதம்
574,Dezember::N,Dezembro,டிசம்பர்
575,Montag::N,segunda-feira,திங்கட் கிழமை
576,Dienstag::N,terça-feira,செவ்வாய்க்கிழமை
577,Mittwoch::N,quarta-feira,புதன் கிழமை
578,Donnerstag::N,quinta-feira,வியாழக் கிழமை
579,Freitag::N,sexta-feira,வெள்ளிக்கிழமை
580,Samstag::N,sábado,சனிக்கிழமை
581,Sonntag::N,domingo,ஞாயிறுக் கிழமை
582,groß::A,grande,பெரிய
583,klein::A,pequeno,சிறிய
584,lang::A,comprido,நீண்ட
585,kurz::A,curto,குட்டையான
586,breit::A,largo,அகலமான
587,schmal::A,estreito,குறுகலான
588,dicht::A,denso,அடர்த்தியான
589,dick[Gegenstand]::A,grosso,தடித்த
590,dünn::A,delgado,சன்னமான
591,fein::A,fino,மெல்லிய
592,fein::A,subtil,மெல்லிய
593,fest::A,firme,உறுதியாள
594,fest::A,sólido,உறுதியாள
595,flach::A,plano,தட்டையான
596,glatt::A,liso,வழுவழுப்பான
597,hart::A,duro,கடினமான
598,weich::A,mole,மென்மையான
599,rund::A,redondo,உருண்டையான
600,spitz::A,agudo,திகந்தமாக
601,scharf::A,afiado,கூரான
602,stumpf::A,rombo,உளம் திறந்த
603,schwer::A,pesado,கனமான
604,schön::A,belo,அழகான
605,schön::A,bonito,அழகான
606,heiß::A,quente,சூடான
607,warm::A,quente,இதமான
608,kalt::A,frio,குளிர்ச்சியான
609,kühl::A,fresco,குளிர்ச்சியான
610,frisch::A,fresco,சுத்தமான
611,feucht::A,húmido,ஈரமான
612,nass::A,molhado,ஈரமான
613,trocken::A,seco,உலர்ந்த
614,voll::A,cheio,நிரம்பிய
615,leer::A,vazio,காலியான
616,offen::A,aberto,திறந்த
617,geschlossen::A,fechado,மூடப்பட்ட
618,sauber::A,limpo,சுத்தமான
619,schmutzig::A,sujo,அழக்கான
620,roh::A,cru,கச்சா
621,reif::A,maduro,பழுத்த
622,lecker::A,delicioso,சுவைமிக்க
623,süß::A,doce,இனிப்பான
624,bitter::A,amargo,கசப்பான
625,sauer::A,azedo,புளிப்பாக
626,hell::A,claro,பளபளப்பான
627,dunkel::A,escuro,கருமையான
628,dunkel::A,sombrio,கருமையான
629,schwarz::A,preto,கருப்பு வண்ண
630,weiß::A,branco,வெண்மையன
631,rot::A,vermelho,சிவப்பு
632,gelb::A,amarelo,மஞ்சள் வண்ணம்
633,blau::A,azul,நீல வண்ண
634,grün::A,verde,பச்சை வண்ண
635,grau::A,cinzento,சாம்பல் நிற
636,bunt::A,colorido,வண்ண மயமான
637,billig::A,barato,மலிவான
638,teuer::A,caro,விலை அதிகமான
639,wertvoll::A,valioso,மதிப்புள்ள
640,wertvoll::A,precioso,மதிப்புள்ள
641,blind::A,cego,பார்வையற்ற
642,taub::A,surdo,செவிடான
643,kräftig::A,forte,வலிமையான
644,kräftig::A,poderoso,வலிமையான
645,stark::A,forte,பலமான
646,stark::A,robusto,பலமான
647,schwach::A,débil,பலவீனமான
648,fett::A,gordo,பருமனாக
649,schlank::A,esbelto,ஒல்லியான
650,hübsch::A,giro,அழகிய
651,hübsch::A,bonito,அழகிய
652,böse::A,mau,கேடு விளைவிக்கும்
653,dumm::A,parvo,முட்டாள்தனமான
654,dumm::A,estúpido,முட்டாள்தனமான
655,faul::A,preguiçoso,சோம்பலான
656,fleißig::A,aplicado,ஊக்கந்தளராத
657,fleißig::A,diligente,ஊக்கந்தளராத
658,geizig::A,avarento,கஞேசத்தனமான
659,klug::A,prudente,சாதுரியமான
660,klug::A,inteligente,சாதுரியமான
661,geschickt::A,hábil,திறமையள்ள
662,lieb::A,caro,அன்புக்குரிய
663,lieb::A,querido,அன்புக்குரிய
664,lustig::A,alegre,களிப்புமிக்க
665,sanft::A,suave,சாதுவான
666,sanft::A,brando,சாதுவான
667,hungrig::A,faminto,பசியுடன்
668,krank::A,doente,நோயுற்று
669,krank::A,enfermo,நோயுற்று
670,nackt::A,nu,ஆடையற்ற
671,nackt::A,despido,ஆடையற்ற
672,traurig::A,triste,சோகமான
673,lebendig::A,vivo,பிழைப்பு
674,gut::A,bom,நல்ல
675,schlecht::A,mau,கெட்ட
676,schlecht::A,ruim,கெட்ட
677,richtig::A,justo,சரியான
678,richtig::A,correcto,சரியான
679,schlimm::A,mau,அருவருப்பான
680,schlimm::A,grave,அருவருப்பான
681,wahr::A,verdadeiro,உண்மையான
682,alt::A,velho,பழைய
683,alt::A,antigo,பழைய
684,neu::A,novo,புதிய
685,ehemalig::A,antigo,முன்நாள்
686,alt[Lebewesen]::A,velho,வயதான
687,jung::A,jovem,இளமையான
688,arm::A,pobre,ஏழ்மையான
689,reich::A,rico,செல்வம் படைத்த
690,bekannt::A,conhecido,பழக்கப்பட்ட
691,berühmt::A,famoso,புகழ்பெற்ற
692,berühmt::A,célebre,புகழ்பெற்ற
693,fremd::A,alheio,அயல் நாட்டு
694,fremd::A,estranho,அயல் நாட்டு
695,verschieden::A,diverso,வித்தியாசமான
696,verschieden::A,diferente,வித்தியாசமான
697,nah::A,próximo,பக்கத்தில் உள்ள
698,fern::A,remoto,தொலை தூரத்தில்
699,fern::A,distante,தொலை தூரத்தில்
700,linker::A,esquerdo,மீந்திருக்கும்
701,rechter::A,direito,வலதுபக்கம்
702,anderer::A,outro,மற்ற
703,erster::A,primeiro,முதனமையான
704,zweiter::A,segundo,இரண்டாவது
705,dritter::A,terceiro,மூன்றாவது
