,Concept_ID,ru,et
200,Korn::N,зерно,tera
201,Heu::N,сено,hein
202,Schale::N,шелуха,koor
203,Grube::N,яма,kaevand
204,Falle::N,ловушка,lõks
205,Falle::N,ловушка,püünis
206,Schlinge::N,силок,aas
207,Spur::N,след,jälg
208,Asche::N,зола,tuhk
209,Asche::N,пепел,tuhk
210,Dreck::N,грязь,saast
211,Dreck::N,грязь,mustus
212,Eisen::N,железо,raud
213,Gold::N,золото,kuld
214,Silber::N,серебро,hõbe
215,Kohle::N,уголь,süsi
216,Glas::N,стекло,klaas
217,Lehm::N,глина,savi
218,Sand::N,песок,liiv
219,Mensch::N,человек,inimene
220,Mann::N,мужчина,mees
221,Frau::N,женщина,naine
222,Kind::N,ребенок,laps
223,Junge::N,мальчик,poiss
224,Mädchen::N,девочка,tüdruk
225,Familie::N,семья,perekond
226,Großvater::N,дедушка,vanaisa
227,Großmutter::N,бабушка,vanaema
228,Eltern::N,родители,vanemad
229,Vater::N,отец,isa
230,Mutter::N,мать,ema
231,Sohn::N,сын,poeg
232,Tochter::N,дочь,tütar
233,Bruder::N,брат,vend
234,Schwester::N,сестра,õde
235,Onkel::N,дядя,onu
236,Tante::N,тетя,tädi
237,Ehemann::N,муж,mees
238,Ehemann::N,муж,abikaasa
239,Ehefrau::N,жена,naine
240,Ehefrau::N,жена,abikaasa
241,Freude::N,радость,rõõm
242,Gelächter::N,смех,naer
243,Glück::N,счастье,õnn
244,Kummer::N,горе,mure
245,Kummer::N,горе,kurbus
246,Wunsch::N,желание,soov
247,Lust::N,влечение,himu
248,Geist::N,дух,vaim
249,Gedanke::N,мысль,mõte
250,Gedächtnis::N,память,mälu
251,Verstand::N,ум,aru
252,Verstand::N,ум,mõistus
253,Sinn::N,смысл,tähendus
254,Grund::N,повод,põhjus
255,Wahrheit::N,правда,tõde
256,Gespräch::N,беседа,kõne
257,Gespräch::N,беседа,vestlus
258,Märchen::N,сказка,muinasjutt
259,Erzählung::N,рассказ,jutustus
260,Nachricht::N,сообщение,teade
261,Neuigkeit::N,новость,uudis
262,Name::N,имя,nimi
263,Rätsel::N,загадка,mõistatus
264,Rede::N,речь,kõne
265,Sprache::N,язык,keel
266,Stimme::N,голос,hääl
267,Wort::N,слово,sõna
268,Zeichen::N,знак,märk
269,Ruf::N,зов,hüüe
270,Lärm::N,шум,müra
271,Laut::N,звук,hääl
272,Ton::N,звучание,toon
273,Lied::N,песня,laul
274,Ruhe::N,покой,rahu
275,Ruhe::N,покой,vaikus
276,Leute::N,люди,inimesed
277,Volk::N,народ,rahvas
278,Arbeit::N,работа,töö
279,Gast::N,гость,külaline
280,Geschenk::N,подарок,kingitus
281,Spiel::N,игра,mäng
282,Gesellschaft::N,общество,selts
283,Hilfe::N,помощь,abi
284,Freund::N,друг,sõber
285,Kamerad::N,приятель,sõber
286,Angelegenheit::N,дело,asi
287,Anzahl::N,количество,arv
288,Anzahl::N,количество,hulk
289,Art::N,вид,liik
290,Stück::N,кусок,tükk
291,Teil::N,часть,osa
292,Hälfte::N,половина,pool
293,Kreis::N,круг,ring
294,Kreuz::N,крест,rist
295,Linie::N,линия,joon
296,Strich::N,черта,joon
297,Abstand::N,промежуток,vahe
298,Entfernung::N,расстояние,kaugus
299,Entfernung::N,расстояние,vahemaa
300,Gegend::N,местность,ümbrus
301,Platz::N,пространство,ruum
302,Ort::N,место,paik
303,Seite::N,сторона,pool
304,Mitte::N,середина,keskpaik
305,Gegenstand::N,предмет,ese
306,Sache::N,вещь,ese
307,Rand::N,край,äär
308,Rand::N,край,serv
309,Kante::N,ребро,kant
310,Ecke::N,угол,nurk
311,Spitze::N,кончик,teravik
312,Ende::N,конец,ots
313,Ende::N,конец,jupp
314,Loch::N,дыра,auk
315,Winkel::N,угол,nurk
316,Muster::N,узор,muster
317,Größe::N,размер,suurus
318,Länge::N,длина,pikkus
319,Höhe::N,высота,kõrgus
320,Gewicht::N,вес,kaal
321,Gewicht::N,вес,raskus
322,Menge::N,количество,arv
323,Menge::N,количество,hulk
324,Haufen::N,куча,hunnik
325,Reihe::N,ряд,rivi
326,Boot::N,лодка,paat
327,Ruder::N,весло,aer
328,Schlitten::N,сани,saan
329,Ski::N,лыжа,suusk
330,Lagerfeuer::N,костер,lõke
331,Last::N,тяжесть,koorem
332,Gang::N,ход,käik
333,Schritt::N,шаг,samm
334,Norden::N,север,põhi
335,Süden::N,юг,lõuna
336,Westen::N,запад,lääs
337,Osten::N,восток,ida
338,Holz::N,древесина,puu
339,Brett::N,доска,saelaud
340,Platte::N,плита,plaat
341,Stütze::N,подпорка,tugi
342,Stange::N,жердь,latt
343,Stange::N,жердь,teivas
344,Stock::N,палка,kepp
345,Stab::N,шест,varras
346,Rohr::N,труба,toru
347,Haus::N,дом,maja
348,Heim::N,дом,kodu
349,Ofen::N,печь,ahi
350,Fußboden::N,пол,põrand
351,Tisch::N,стол,laud
352,Stuhl::N,стул,tool
353,Wiege::N,колыбель,häll
354,Wiege::N,колыбель,kätki
355,Bett::N,постель,voodi
356,Regal::N,полка,riiul
357,Kiste::N,ящик,kast
358,Fenster::N,окно,aken
359,Tür::N,дверь,uks
360,Tor::N,ворота,värav
361,Zaun::N,забор,aed
362,Zaun::N,забор,tara
363,Dach::N,крыша,katus
364,Leiter::N,лестница,redel
365,Besen::N,метла,luud
366,Spaten::N,лопата,labidas
367,Schaufel::N,совок,kühvel
368,Gabel::N,вилка,kahvel
369,Löffel::N,ложка,lusikas
370,Messer::N,нож,nuga
371,Nagel::N,гвоздь,nael
372,Netz::N,сеть,võrk
373,Haken::N,крюк,haak
374,Haken::N,крюк,konks
375,Griff::N,ручка,sang
376,Griff::N,ручка,käepide
377,Schloss::N,замок,lukk
378,Bild::N,картина,pilt
379,Figur::N,фигура,kuju
380,Figur::N,фигура,kujund
381,Puppe::N,кукла,nukk
382,Beutel::N,мешок,paun
383,Bündel::N,связка,kimp
384,Tasche::N,сумка,kott
385,Eimer::N,ведро,pang
386,Eimer::N,ведро,ämber
387,Deckel::N,крышка,kaas
388,Geschirr::N,посуда,nõud
389,Sack::N,мешок,kott
390,Tasse::N,чашка,tass
391,Topf::N,кастрюля,pada
392,Kessel::N,котел,pada
393,Essen::N,еда,söök
394,Nahrung::N,пища,toit
395,Speise::N,блюдо,roog
396,Speise::N,кушанье,roog
397,Fleisch::N,мясо,liha
398,Getreide::N,хлеб,teravili
399,Brei::N,каша,puder
400,Brot::N,хлеб,sai
401,Brot::N,хлеб,leib
402,Scheibe::N,ломоть,viil
403,Scheibe::N,ломоть,viilukas
404,Fett::N,жир,rasv
405,Butter::N,масло,või
406,Öl::N,масло,õli
407,Salz::N,соль,sool
408,Suppe::N,суп,supp
409,Honig::N,мед,mesi
410,Milch::N,молоко,piim
411,Tee::N,чай,tee
412,Leder::N,кожа,nahk
413,Wolle::N,шерсть,vill
414,Stoff::N,ткань,kangas
415,Nadel::N,игла,nõel
416,Faden::N,нитка,niit
417,Knopf::N,пуговица,nööp
418,Knoten::N,узел,sõlm
419,Farbe::N,краска,värv
420,Kleidung::N,одежда,riided
421,Kleidung::N,одежда,riietus
422,Hemd::N,рубашка,särk
423,Kragen::N,воротник,krae
424,Ärmel::N,рукав,varrukas
425,Hose::N,брюки,püksid
426,Gürtel::N,пояс,vöö
427,Mütze::N,шапка,müts
428,Schuh::N,ботинок,king
429,Stiefel::N,сапог,saabas
430,Ring::N,кольцо,sõrmus
431,Band::N,лента,lint
432,Kamm::N,расческа,kamm
433,Spiegel::N,зеркало,peegel
434,Riemen::N,ремень,rihm
435,Schnur::N,веревка,nöör
436,Leine::N,поводок,jalutusrihm
437,Decke::N,одеяло,tekk
438,Kissen::N,подушка,padi
439,Tuch::N,платок,kalev
440,Handtuch::N,полотенце,käterätik
441,Kraft::N,сила,jõud
442,Stärke::N,крепость,tugevus
443,Gesundheit::N,здоровье,tervis
444,Krankheit::N,болезнь,haigus
445,Schmerz::N,боль,valu
446,Wunde::N,рана,haav
447,Fieber::N,лихорадка,palavik
448,Fieber::N,температура,palavik
449,Arznei::N,лекарство,ravim
450,Brücke::N,мост,sild
451,Brunnen::N,колодец,kaev
452,Weide::N,пастбище,karjamaa
453,Pfad::N,тропа,rada
454,Weg::N,путь,tee
455,Weg::N,дорога,tee
456,Straße::N,улица,tee
457,Straße::N,дорога,tee
458,Dorf::N,деревня,küla
459,Stadt::N,город,linn
460,Brief::N,письмо,kiri
461,Buch::N,книга,raamat
462,Buchstabe::N,буква,täht
463,Zeitung::N,газета,ajaleht
464,Leben::N,жизнь,elu
465,Tod::N,смерть,surm
466,Grab::N,могила,haud
467,Kirche::N,церковь,kirik
468,Sünde::N,грех,patt
469,Gott::N,бог,jumal
470,Arbeiter::N,рабочий,tööline
471,Chef::N,начальник,ülemus
472,Chef::N,начальник,juhataja
473,Meister::N,мастер,meister
474,Arzt::N,врач,arst
475,Lehrer::N,учитель,õpetaja
476,Geld::N,деньги,raha
477,Geschäft::N,занятие,äri
478,Laden::N,магазин,pood
479,Laden::N,магазин,kauplus
480,Preis::N,цена,hind
481,Ware::N,товар,kaup
482,Nutzen::N,выгода,tulu
483,Nutzen::N,выгода,kasulikkus
484,Reichtum::N,богатство,rikkus
485,Welt::N,мир,maailm
486,Land::N,страна,maa
487,Staat::N,государство,riik
488,König::N,король,kuningas
489,Macht::N,власть,võim
490,Grenze::N,граница,piir
491,Krieg::N,война,sõda
492,Feind::N,враг,vaenlane
493,Gewalt::N,насилие,väevõim
494,Kampf::N,борьба,võitlus
495,Bogen[Waffe]::N,лук,vibu
496,Pfeil::N,стрела,nool
497,Gewehr::N,ружье,püss
498,Fehler::N,ошибка,viga
499,Lüge::N,ложь,vale
500,Schaden::N,вред,kahju
501,Unglück::N,беда,häda
502,Unglück::N,беда,õnnetus
503,Schuld::N,вина,süü
504,Alter::N,возраст,iga
505,Schluss::N,окончание,lõpp
506,Zeit::N,время,aeg
507,Tag::N,день,päev
508,Morgen::N,утро,hommik
509,Mittag::N,полдень,lõuna
510,Mittag::N,полдень,keskpäev
511,Abend::N,вечер,õhtu
512,Nacht::N,ночь,öö
513,Woche::N,неделя,nädal
514,Monat::N,месяц,kuu
515,Jahr::N,год,aasta
516,Frühling::N,весна,kevad
517,Sommer::N,лето,suvi
518,Herbst::N,осень,sügis
519,Winter::N,зима,talv
520,Januar::N,январь,jaanuar
521,Februar::N,февраль,veebruar
522,März::N,март,märts
523,April::N,апрель,aprill
524,Mai::N,май,mai
525,Juni::N,июнь,juuni
526,Juli::N,июль,juuli
527,August::N,август,august
528,September::N,сентябрь,september
529,Oktober::N,октябрь,oktoober
530,November::N,ноябрь,november
531,Dezember::N,декабрь,detsember
532,Montag::N,понедельник,esmaspäev
533,Dienstag::N,вторник,teisipäev
534,Mittwoch::N,среда,kesknädal
535,Donnerstag::N,четверг,neljapäev
536,Freitag::N,пятница,reede
537,Samstag::N,суббота,laupäev
538,Sonntag::N,воскресенье,pühapäev
539,groß::A,большой,suur
540,klein::A,маленький,väike
541,klein::A,маленький,pisike
542,lang::A,длинный,pikk
543,kurz::A,короткий,lühike
544,breit::A,широкий,lai
545,schmal::A,узкий,kitsas
546,dicht::A,густой,tihe
547,dick[Gegenstand]::A,толстый,jäme
548,dünn::A,тонкий,õhuke
549,dünn::A,тонкий,peenike
550,fein::A,тонкий,peen
551,fein::A,тонкий,õhuke
552,fest::A,крепкий,püsiv
553,fest::A,крепкий,kindel
554,flach::A,плоский,lame
555,flach::A,плоский,tasane
556,glatt::A,гладкий,sile
557,hart::A,твердый,kõva
558,weich::A,мягкий,pehme
559,rund::A,круглый,ümar
560,spitz::A,остроконечный,torkav
561,scharf::A,острый,terav
562,stumpf::A,тупой,nüri
563,schwer::A,тяжелый,raske
564,schön::A,красивый,kena
565,heiß::A,жаркий,kuum
566,heiß::A,жаркий,palav
567,warm::A,теплый,soe
568,kalt::A,холодный,külm
569,kühl::A,прохладный,jahe
570,frisch::A,свежий,värske
571,feucht::A,влажный,niiske
572,nass::A,мокрый,märg
573,trocken::A,сухой,kuiv
574,voll::A,полный,täis
575,voll::A,наполненный,täis
576,leer::A,пустой,tühi
577,offen::A,открытый,avatud
578,offen::A,открытый,lahtine
579,geschlossen::A,закрытый,suletud
580,sauber::A,чистый,puhas
581,schmutzig::A,грязный,räpane
582,schmutzig::A,грязный,määrdunud
583,roh::A,сырой,toores
584,reif::A,зрелый,küps
585,lecker::A,вкусный,hõrk
586,lecker::A,вкусный,maitsev
587,süß::A,сладкий,magus
588,bitter::A,горький,mõru
589,sauer::A,кислый,hapu
590,hell::A,светлый,hele
591,dunkel::A,темный,pime
592,schwarz::A,черный,must
593,weiß::A,белый,valge
594,rot::A,красный,punane
595,gelb::A,желтый,kollane
596,blau::A,синий,sinine
597,grün::A,зеленый,roheline
598,grau::A,серый,hall
599,bunt::A,пестрый,kirju
600,bunt::A,пестрый,värviline
601,billig::A,дешевый,odav
602,teuer::A,дорогой,kallis
603,wertvoll::A,ценный,väärtuslik
604,blind::A,слепой,pime
605,taub::A,глухой,kurt
606,kräftig::A,могучий,jõuline
607,stark::A,сильный,tugev
608,schwach::A,слабый,nõrk
609,schwach::A,слабый,jõuetu
610,fett::A,жирный,rasvane
611,schlank::A,стройный,sale
612,hübsch::A,прелестный,kena
613,böse::A,злой,tige
614,dumm::A,глупый,juhm
615,dumm::A,глупый,rumal
616,faul::A,ленивый,laisk
617,fleißig::A,прилежный,virk
618,fleißig::A,прилежный,hoolas
619,geizig::A,жадный,ihne
620,klug::A,умный,tark
621,klug::A,умный,arukas
622,klug::A,умный,mõistlik
623,geschickt::A,искусный,osav
624,lieb::A,милый,armas
625,lustig::A,веселый,lõbus
626,sanft::A,нежный,õrn
627,hungrig::A,голодный,näljane
628,krank::A,больной,haige
629,nackt::A,голый,alasti
630,traurig::A,грустный,kurb
631,lebendig::A,живой,elus
632,gut::A,хороший,hea
633,schlecht::A,плохой,halb
634,richtig::A,правильный,õige
635,schlimm::A,отвратительный,paha
636,schlimm::A,мерзкий,paha
637,wahr::A,настоящий,tõene
638,alt::A,старый,vana
639,neu::A,новый,uus
640,ehemalig::A,бывший,endine
641,alt[Lebewesen]::A,пожилой,vana
642,jung::A,молодой,noor
643,arm::A,бедный,vaene
644,reich::A,богатый,rikas
645,bekannt::A,знакомый,teada
646,bekannt::A,знакомый,tuttav
647,berühmt::A,знаменитый,tuntud
648,fremd::A,чужой,võõras
649,verschieden::A,разный,erinev
650,nah::A,близкий,lähedane
651,fern::A,далекий,kauge
652,linker::A,левый,vasak
653,rechter::A,правый,parem
654,anderer::A,другой,muu
655,anderer::A,другой,teine
656,erster::A,первый,esimene
657,zweiter::A,второй,teine
658,dritter::A,третий,kolmas
659,letzter::A,последний,viimane
660,allein::ADV,один,üksi
661,auf einmal::ADV,сразу,korraga
662,auf einmal::ADV,сразу,ühekorraga
663,zusammen::ADV,вместе,koos
664,zusammen::ADV,вместе,üheskoos
665,lange::ADV,долго,kaua
666,plötzlich::ADV,вдруг,äkki
667,plötzlich::ADV,вдруг,järsku
668,sofort::ADV,тотчас,kohe
669,später::ADV,позже,hiljem
670,jetzt::ADV,сейчас,nüüd
671,heute::ADV,сегодня,täna
672,morgen::ADV,завтра,homme
673,bald::ADV,скоро,pea
674,bald::ADV,скоро,varsti
675,dann::ADV,потом,siis
676,gestern::ADV,вчера,eile
677,einst::ADV,однажды,vanasti
678,damals::ADV,тогда,tookord
679,danach::ADV,затем,seejärel
680,vorher::ADV,раньше,enne
681,zuerst::ADV,сперва,enne
682,zuerst::ADV,сперва,esmalt
683,einmal::ADV,раз,kord
684,einmal::ADV,раз,üks kord
685,manchmal::ADV,иногда,mõnikord
686,oft::ADV,часто,tihti
687,oft::ADV,часто,sageli
688,immer::ADV,всегда,ikka
689,immer::ADV,всегда,alati
690,niemals::ADV,никогда,mitte kunagi
691,hier::ADV,здесь,siin
692,hierhin::ADV,сюда,siia
693,von hier::ADV,отсюда,siit
694,dort::ADV,там,seal
695,dorthin::ADV,туда,sinna
696,geradeaus::ADV,прямо,otse edasi
697,vorwärts::ADV,вперед,edasi
698,rückwärts::ADV,назад,tagurpidi
699,zurück::ADV,обратно,tagasi
700,unten::ADV,внизу,all
701,unten::ADV,внизу,allpool
702,hinab::ADV,вниз,alla
703,oben::ADV,наверху,ülal
704,hinauf::ADV,вверх,üles
705,überall::ADV,везде,kõikjal
706,nicht::ADV,не,ei
707,nicht::ADV,не,mitte
708,ein wenig::ADV,немного,veidi
709,ein wenig::ADV,немного,natuke
710,kaum::ADV,едва,vaevalt
711,sehr::ADV,очень,väga
712,so::ADV,так,nii
713,noch::ADV,еще,veel
714,nur::ADV,только,ainult
715,schon::ADV,уже,juba
716,wieder::ADV,опять,jälle
717,vergebens::ADV,напрасно,asjata
718,vor::PRP,перед,ees
719,hinter::PRP,за,taha
720,hinter::PRP,позади,taha
721,unter::PRP,под,all
722,durch::PRP,сквозь,läbi
723,durch::PRP,сквозь,kaudu
724,neben::PRP,возле,kõrval
725,zwischen::PRP,между,vahel
726,wegen::PRP,из-за,tõttu
727,wegen::PRP,из-за,pärast
728,dies::PRN,это,see
729,das::PRN,то,see
730,alles::PRN,все,kõik
731,ich::PRN,я,mina
732,du::PRN,ты,sina
733,er::PRN,он,tema
734,wir::PRN,мы,me
735,ihr::PRN,вы,te
736,sie::PRN,они,nad
737,was::FPRN,что,mis
738,wer::FPRN,кто,kes
739,wo::FADV,где,kus
740,wohin::FADV,куда,kuhu
741,wie::FADV,как,kuidas
742,warum::FADV,почему,miks
743,wieviel::FNUM,сколько,mitu
744,wieviel::FNUM,сколько,kui palju
745,eins::NUM,один,üks
746,zwei::NUM,два,kaks
747,drei::NUM,три,kolm
748,vier::NUM,четыре,neli
749,fünf::NUM,пять,viis
750,sechs::NUM,шесть,kuus
751,sieben::NUM,семь,seitse
752,acht::NUM,восемь,kaheksa
753,neun::NUM,девять,üheksa
754,zehn::NUM,десять,kümme
755,elf::NUM,одиннадцать,üksteist
756,zwölf::NUM,двенадцать,kaksteist
757,zwanzig::NUM,двадцать,kakskümmend
758,dreißig::NUM,тридцать,kolmkümmend
759,vierzig::NUM,сорок,nelikümmend
760,fünfzig::NUM,пятьдесят,viiskümmend
761,sechzig::NUM,шестьдесят,kuuskümmend
762,siebzig::NUM,семьдесят,seitsekümmend
763,achtzig::NUM,восемьдесят,kaheksakümmend
764,neunzig::NUM,девяносто,üheksakümmend
765,hundert::NUM,сто,sada
766,tausend::NUM,тысяча,tuhat
767,und::CNJ,и,ja
768,oder::CNJ,или,või
769,oder::CNJ,либо,või
770,stehen::V,стоять,seisma
771,sitzen::V,сидеть,istuma
772,liegen::V,лежать,lamama
773,hängen::V,висеть,rippuma
774,werden::V,стать,saama
775,werden::V,стать,hakkama
776,passieren::V,случиться,juhtuma
777,beginnen::V,начаться,algama
778,beginnen::V,начаться,hakkama
779,enden::V,кончиться,lõppema
780,wechseln::V,меняться,vahelduma
781,aufgehen[Sonne]::V,взойти,tõusma
782,untergehen[Sonne]::V,зайти,loojuma
783,scheinen[Sonne]::V,светить,paistma
784,donnern::V,греметь,kõmisema
785,wehen::V,дуть,puhuma
786,strömen::V,литься,voolama
787,fließen::V,течь,voolama
788,sich drehen::V,вращаться,pöörduma
789,schwanken::V,колебаться,kõikuma
790,schwingen::V,качаться,võnkuma
791,fallen::V,падать,langema
792,brennen::V,гореть,põlema
793,rauchen::V,дымить,suitsema
794,regnen::V,дождить,sadama
795,gefrieren::V,замерзнуть,kinni külmuma
796,tauen::V,таять,sulama
797,schmelzen::V,плавиться,sulama
798,trocknen::V,сохнуть,kuivama
799,sieden::V,кипеть,keema
800,faulen::V,гнить,mädanema
801,verfaulen::V,сгнить,mädanema
802,reißen::V,рваться,rebenema
803,versinken::V,тонуть,uppuma
804,vergehen::V,проходить,mööduma
805,erscheinen::V,появиться,ilmuma
806,verschwinden::V,исчезнуть,kaduma
807,sinken::V,спадать,vajuma
808,sinken::V,спадать,langema
809,abnehmen::V,уменьшиться,vähenema
810,abnehmen::V,уменьшиться,kahenema
811,zunehmen::V,увеличиваться,kasvama
812,steigen::V,подниматься,tõusma
813,steigen::V,подниматься,üles minema
814,wachsen::V,расти,kasvama
815,glänzen::V,блестеть,läikimä
816,funkeln::V,сверкать,sädelema
817,lärmen::V,шуметь,lärmama
818,läuten::V,звонить,helisema
819,klingeln::V,звонить,helisema
820,klirren::V,звякать,kõlisema
821,brausen::V,бушевать,kohisema
822,rauschen::V,шелестеть,kohisema
823,klingen::V,звучать,kõlama
824,bellen::V,лаять,haukuma
825,heulen::V,выть,uluma
826,blasen::V,дунуть,puhuma
827,pfeifen::V,свистеть,vilistama
828,schreien::V,кричать,karjuma
829,stöhnen::V,стонать,oigama
830,zittern::V,дрожать,värisema
831,leben::V,жить,elama
832,leben::V,жить,elus olema
833,geboren werden::V,родиться,sündima
834,atmen::V,дышать,hingama
835,trinken::V,пить,jooma
836,essen::V,есть,sööma
837,essen::V,кушать,sööma
838,schlucken::V,глотать,neelama
839,müde werden::V,устать,väsima
840,einschlafen::V,заснуть,uinuma
841,schlafen::V,спать,magama
842,aufwachen::V,проснуться,ärkama
843,aufstehen::V,встать,ärkama
844,aufstehen::V,встать,üles tõusma
