,Concept_ID,sv,ce
148,Horn::N,horn,маӏа
149,Feder::N,fjäder,пелаг
150,Fell::N,fäll,цӏока
151,Fell::N,skinn,цӏока
152,Flügel::N,vinge,тӏам
153,Klaue::N,klöv,мӏара
154,Kralle::N,klo,тlод
155,Schwanz::N,svans,цӏога
156,Schwanz::N,stjärt,цӏога
157,Ei::N,ägg,xӏoa
158,Nest::N,rede,бен
159,Nest::N,näste,бен
160,Bau::N,bo,lуьрг
161,Tier::N,djur,дийнат
162,Herde::N,flock,жа
163,Kuh::N,ko,етт
164,Bulle::N,tjur,сту
165,Pferd::N,häst,говр
166,Schaf::N,får,жий
167,Schaf::N,får,уьстагӏ
168,Schwein::N,svin,хьакха
169,Hund::N,hund,жӏаьла
170,Katze::N,katt,цициг
171,Bär::N,björn,ча
172,Eichhörnchen::N,ekorre,тарсал
173,Elch::N,älg,сай
174,Fuchs::N,räv,цхьогал
175,Hase::N,hare,пхьагал
176,Maus::N,mus,дахка
177,Wolf::N,varg,борз
178,Vogel::N,fågel,олхазар
179,Schwarm::N,svärm,
180,Huhn::N,höns,котам
181,Hahn::N,tupp,нӏаьна
182,Hahn::N,tupp,боргӏал
183,Gans::N,gås,гӏаз
184,Adler::N,örn,aьрзу
185,Ente::N,anka,бад
186,Eule::N,uggla,бухӏа
187,Kranich::N,trana,гӏаргӏули
188,Krähe::N,kråka,къиг
189,Kuckuck::N,gök,aттйокх
190,Schwan::N,svan,гӏургӏаз
191,Fisch::N,fisk,чӏара
192,Barsch::N,abborre,окунь
193,Hecht::N,gädda,гӏазкхийн чӏара
194,Schlange[Tier]::N,orm,лаьхьа
195,Wurm::N,mask,нӏаьна
196,Spinne::N,spindel,гезг
197,Ameise::N,myra,зингат
198,Laus::N,lus,меза
199,Laus::N,lus,гӏениг
200,Mücke::N,mygga,чуьрк
201,Fliege::N,fluga,моза
202,Schmetterling::N,fjäril,полла
203,Beere::N,bär,цӏазам
204,Apfel::N,äpple,ӏаж
205,Pilz::N,svamp,жӏаьлин нускал
206,Zwiebel::N,lök,xох
207,Saat::N,sådd,чlу
208,Korn::N,korn,буьртиг
209,Heu::N,hö,йол
210,Schale::N,skal,пардо
211,Grube::N,grop,ор
212,Falle::N,fälla,кӏело
213,Schlinge::N,snara,
214,Spur::N,spår,лар
215,Asche::N,aska,чим
216,Dreck::N,lort,мода
217,Eisen::N,järn,эчиг
218,Gold::N,guld,деши
219,Silber::N,silver,дети
220,Kohle::N,kol,кӏора
221,Glas::N,glas,aнгали
222,Lehm::N,lera,поппар
223,Sand::N,sand,гӏум
224,Mensch::N,människa,адам
225,Mann::N,man,майра
226,Frau::N,kvinna,зуда
227,Kind::N,barn,бер
228,Junge::N,pojke,жимха
229,Mädchen::N,flicka,жима йоӏ
230,Familie::N,familj,доьзал
231,Großvater::N,morfar,ненада
232,Großmutter::N,farmor,денана
233,Eltern::N,föräldrar,да-нана
234,Vater::N,far,да
235,Mutter::N,mor,нана
236,Sohn::N,son,кӏант
237,Tochter::N,dotter,йоӏ
238,Bruder::N,bror,ваша
239,Schwester::N,syster,йиша
240,Onkel::N,morbror,деваша
241,Tante::N,tant,дейиша
242,Ehemann::N,äkta man,майра
243,Ehefrau::N,hustru,зуда
244,Freude::N,fröjd,самукъа
245,Freude::N,fröjd,хазахетар
246,Freude::N,glädje,самукъа
247,Freude::N,glädje,хазахетар
248,Gelächter::N,åtlöje,белам
249,Glück::N,lycka,ирс
250,Kummer::N,sorg,бала
251,Wunsch::N,önskan,лаам
252,Lust::N,lust,лаам
253,Geist::N,ande,са
254,Gedanke::N,tanke,ойла
255,Gedächtnis::N,minne,диццадалар
256,Verstand::N,förstånd,хьекъал
257,Sinn::N,mening,маьӏна
258,Sinn::N,betydelse,маьӏна
259,Grund::N,skäl,бахьана
260,Grund::N,grund,бахьана
261,Wahrheit::N,sanning,бакъдерг
262,Gespräch::N,samtal,къамел
263,Märchen::N,saga,туьйра
264,Erzählung::N,berättelse,дийцар
265,Nachricht::N,meddelande,хаам
266,Neuigkeit::N,nyhet,керланиг
267,Name::N,namn,цӏе
268,Rätsel::N,gåta,хӏетал-метал
269,Rede::N,tal,къамел
270,Sprache::N,språk,мотт
271,Stimme::N,stämma,aз
272,Wort::N,ord,дош
273,Zeichen::N,tecken,билгало
274,Ruf::N,rop,кхайкхар
275,Lärm::N,bråk,гӏовгӏа
276,Lärm::N,oväsen,гӏовгӏа
277,Laut::N,ljud,аз
278,Ton::N,ton,aз
279,Lied::N,sång,илли
280,Ruhe::N,ro,тийналла
281,Ruhe::N,lugn,тийналла
282,Leute::N,folk,нах
283,Volk::N,folk,халкъ
284,Arbeit::N,arbete,болх
285,Gast::N,gäst,хьаша
286,Geschenk::N,gåva,совгӏат
287,Geschenk::N,present,совгӏат
288,Spiel::N,lek,ловзар
289,Spiel::N,spel,ловзар
290,Gesellschaft::N,sällskap,юкъаралла
291,Hilfe::N,hjälp,гӏо
292,Freund::N,vän,доттагl
293,Kamerad::N,kamrat,накъост
294,Angelegenheit::N,ärende,гӏуллакх
295,Angelegenheit::N,angelägenhet,гӏуллакх
296,Anzahl::N,antal,терахь
297,Art::N,art,
298,Art::N,slag,
299,Stück::N,stycke,юьхк
300,Teil::N,del,дакъа
301,Hälfte::N,halva,ах
302,Kreis::N,krets,го
303,Kreis::N,cirkel,го
304,Kreuz::N,kors,жӏара
305,Kreuz::N,kryss,жӏара
306,Linie::N,linje,сиз
307,Strich::N,streck,сиз
308,Abstand::N,avstånd,юкъ
309,Entfernung::N,avstånd,
310,Gegend::N,trakt,мeттиг
311,Platz::N,plats,майда
312,Ort::N,plats,меттиг
313,Ort::N,ställe,меттиг
314,Seite::N,sida,aгӏo
315,Mitte::N,mitt,юкъ
316,Gegenstand::N,föremål,хӏума
317,Sache::N,sak,хӏума
318,Rand::N,rand,йист
319,Kante::N,kant,йист
320,Ecke::N,vrå,са
321,Ecke::N,hörn,са
322,Spitze::N,spets,ралла
323,Ende::N,ända,юьхьиг
324,Loch::N,hål,ӏуьрг
325,Winkel::N,vinkel,са
326,Muster::N,mönster,дагар
327,Muster::N,mönster,тӏамар
328,Größe::N,storlek,барам
329,Länge::N,längd,йохалла
330,Höhe::N,höjd,локхалла
331,Gewicht::N,tyngd,йозалла
332,Menge::N,mängd,дукхалла
333,Haufen::N,hög,сал
334,Haufen::N,hög,оьла
335,Reihe::N,rad,рагӏ
336,Reihe::N,rad,могӏа
337,Boot::N,båt,кема
338,Ruder::N,åra,пийсиг
339,Schlitten::N,släde,салаз
340,Ski::N,skida,когсалаз
341,Lagerfeuer::N,lägereld,цӏе
342,Last::N,last,дукъ
343,Last::N,börda,дукъ
344,Gang::N,gång,лелар
345,Schritt::N,steg,гӏулч
346,Norden::N,norr,къилбаседе
347,Süden::N,söder,къилбе
348,Westen::N,väster,малхбузе
349,Osten::N,öster,малхбале
350,Holz::N,trä,дечиг
351,Brett::N,bräda,у
352,Platte::N,platta,у
353,Stütze::N,stöd,гӏopтоp
354,Stütze::N,stötta,гӏopтоp
355,Stange::N,stång,гӏуркх
356,Stock::N,käpp,ӏаса
357,Stock::N,pinne,ӏаса
358,Stab::N,stav,гӏаж
359,Rohr::N,rör,биргӏа
360,Haus::N,hus,цӏа
361,Heim::N,hem,кхерч
362,Ofen::N,ugn,кхерч
363,Fußboden::N,golv,цӏенкъа
364,Tisch::N,bord,шун
365,Stuhl::N,stol,гӏант
366,Wiege::N,vagga,ага
367,Bett::N,säng,маьнга
368,Regal::N,hylla,терхи
369,Kiste::N,låda,яьшка
370,Fenster::N,fönster,кор
371,Tür::N,dörr,неӏ
372,Tor::N,port,ков
373,Zaun::N,staket,керт
374,Zaun::N,stängsel,керт
375,Dach::N,tak,тхов
376,Leiter::N,stege,лами
377,Besen::N,kvast,нуй
378,Spaten::N,spade,бел
379,Schaufel::N,skovel,аьшкал
380,Schaufel::N,skyffel,аьшкал
381,Gabel::N,gaffel,мӏара
382,Löffel::N,sked,ӏайг
383,Messer::N,kniv,урс
384,Nagel::N,spik,хьостам
385,Netz::N,nät,бой
386,Haken::N,krok,мӏара
387,Griff::N,tag,
388,Griff::N,handtag,
389,Schloss::N,las,чӏега
390,Bild::N,bild,сурт
391,Figur::N,figur,
392,Puppe::N,docka,тайниг
393,Beutel::N,påse,гали
394,Bündel::N,bunt,кочар
395,Bündel::N,knippa,кочар
396,Tasche::N,väska,тӏоьрмиг
397,Eimer::N,hink,чийлик
398,Eimer::N,ämbar,чийлик
399,Deckel::N,lock,негӏар
400,Geschirr::N,servis,пхьегӏа
401,Geschirr::N,porslin,пхьегӏа
402,Sack::N,säck,гали
403,Tasse::N,kopp,кад
404,Topf::N,gryta,яй
405,Topf::N,kastrull,яй
406,Kessel::N,kittel,яй
407,Essen::N,mål,юург
408,Nahrung::N,näring,кхача
409,Speise::N,maträtt,юург
410,Fleisch::N,kött,жижиг
411,Getreide::N,säd,буьртиг
412,Getreide::N,spannmål,буьртиг
413,Brei::N,gröt,xудар
414,Brot::N,bröd,бепиг
415,Brot::N,bröd,кхаллар
416,Scheibe::N,skiva,цастар
417,Fett::N,fett,мохь
418,Butter::N,smör,налха
419,Öl::N,olja,даьтта
420,Salz::N,salt,туьха
421,Suppe::N,soppa,чорпа
422,Honig::N,honung,моз
423,Milch::N,mjölk,шура
424,Tee::N,te,чай
425,Leder::N,läder,цӏока
426,Wolle::N,ull,тӏapгӏa
427,Wolle::N,ylle,тӏapгӏa
428,Stoff::N,tyg,кӏади
429,Stoff::N,stoff,кӏади
430,Nadel::N,nål,маха
431,Faden::N,tråd,тай
432,Knopf::N,knapp,нуьйда
433,Knoten::N,knut,шад
434,Farbe::N,färg,сир
435,Farbe::N,färg,басар
436,Kleidung::N,klädsel,бедар
437,Hemd::N,skjorta,коч
438,Kragen::N,krage,кач
439,Ärmel::N,ärm,пхьош
440,Hose::N,byxor,хеча
441,Gürtel::N,bälte,доьхка
442,Mütze::N,mössa,куй
443,Schuh::N,sko,мача
444,Stiefel::N,stövel,этка
445,Ring::N,ring,чӏуг
446,Band::N,band,лента
447,Kamm::N,kam,ехк
448,Spiegel::N,spegel,куьзга
449,Riemen::N,rem,доьхка
450,Schnur::N,snöre,муш
451,Leine::N,lina,кочатосу доьхка
452,Decke::N,täcke,юргӏа
453,Kissen::N,dyna,гIайба
454,Kissen::N,kudde,гIайба
455,Tuch::N,sjal,исхар
456,Handtuch::N,handduk,гата
457,Kraft::N,kraft,гӏора
458,Stärke::N,styrka,гӏап
459,Gesundheit::N,hälsa,могашалла
460,Krankheit::N,sjukdom,цамгар
461,Schmerz::N,smärta,лазар
462,Wunde::N,sår,чов
463,Fieber::N,feber,xорша
464,Arznei::N,medicin,молха
465,Arznei::N,läkemedel,молха
466,Brücke::N,bro,тӏай
467,Brunnen::N,brunn,гӏу
468,Weide::N,bete,дак
469,Pfad::N,stig,тача
470,Weg::N,väg,некъ
471,Straße::N,gata,урам
472,Dorf::N,by,юрт
473,Stadt::N,stad,гӏала
474,Brief::N,brev,кехат
475,Buch::N,bok,жайна
476,Buchstabe::N,bokstav,элп
477,Zeitung::N,tidning,газет
478,Leben::N,liv,дахар
479,Tod::N,död,далар
480,Tod::N,död,ӏожалла
481,Grab::N,grav,каш
482,Kirche::N,kyrka,килс
483,Sünde::N,synd,къа
484,Gott::N,gud,дела
485,Arbeiter::N,arbetare,белхало
486,Chef::N,chef,хьаькам
487,Meister::N,mästare,говзанча
488,Arzt::N,läkare,лор
489,Lehrer::N,lärare,хьехархо
490,Geld::N,pengar,aхча
491,Geschäft::N,rörelse,туька
492,Laden::N,affär,туька
493,Preis::N,pris,мах
494,Ware::N,vara,хlума
495,Nutzen::N,gagn,пайда
496,Nutzen::N,nytta,пайда
497,Reichtum::N,rikedom,хьал
498,Welt::N,värld,дуьне
499,Land::N,land,мохк
500,Staat::N,stat,пачхьалкх
501,König::N,kung,паччахь
502,König::N,konung,паччахь
503,Macht::N,makt,ӏедал
504,Grenze::N,gräns,доза
505,Krieg::N,krig,тӏом
506,Feind::N,fiende,мостагӏ
507,Gewalt::N,våld,гӏело
508,Kampf::N,kamp,къийсам
509,Kampf::N,strid,къийсам
510,Bogen[Waffe]::N,båge,
511,Pfeil::N,pil,пха
512,Gewehr::N,gevär,топ
513,Fehler::N,fel,гӏалат
514,Lüge::N,lögn,аьшпаш
515,Schaden::N,skada,зен
516,Unglück::N,otur,бала
517,Unglück::N,olycka,бала
518,Schuld::N,skuld,бехк
519,Alter::N,ålder,хан
520,Schluss::N,slut,чакхе
521,Zeit::N,tid,хан
522,Tag::N,dag,де
523,Morgen::N,morgon,ӏуьйре
524,Mittag::N,middag,делкъе
525,Abend::N,kväll,суьйре
526,Nacht::N,natt,буьйса
527,Woche::N,vecka,кӏира
528,Monat::N,månad,бутт
529,Jahr::N,år,шо
530,Frühling::N,vår,бӏаьсте
531,Sommer::N,sommar,аьхке
532,Herbst::N,höst,гуьйре
533,Winter::N,vinter,ӏа
534,Januar::N,januari,январь
535,Februar::N,februari,февраль
536,März::N,mars,март
537,April::N,april,апрель
538,Mai::N,maj,май
539,Juni::N,juni,июнь
540,Juli::N,juli,июль
541,August::N,augusti,август
542,September::N,september,сентябрь
543,Oktober::N,oktober,октябрь
544,November::N,november,ноябрь
545,Dezember::N,december,декабрь
546,Montag::N,måndag,оршот
547,Dienstag::N,tisdag,шинара
548,Mittwoch::N,onsdag,кхаара
549,Donnerstag::N,torsdag,еара
550,Freitag::N,fredag,пӏераска
551,Samstag::N,lördag,шот
552,Sonntag::N,söndag,кӏиранде
553,groß::A,stor,доккха
554,klein::A,liten,кегий
555,lang::A,lång,еха
556,kurz::A,kort,доца
557,breit::A,bred,шуьйра
558,schmal::A,smal,готта
559,dicht::A,tät,луьста
560,dick[Gegenstand]::A,tjock,стомма
561,dünn::A,tunn,дуткъа
562,fein::A,fin,ховха
563,fest::A,fast,чӏогӏа
564,flach::A,platt,чӏапа
565,glatt::A,glatt,шера
566,hart::A,hård,чӏогӏa
567,weich::A,mjuk,кӏеда
568,rund::A,rund,горга
569,spitz::A,toppig,ира
570,spitz::A,spetsig,ира
571,scharf::A,vass,ира
572,scharf::A,skarp,ира
573,stumpf::A,slö,аьртa
574,schwer::A,tung,деза
575,schön::A,skön,хаза
576,schön::A,vacker,хаза
577,heiß::A,het,довха
578,warm::A,varm,довха
579,kalt::A,kall,шийла
580,kühl::A,sval,шийла
581,kühl::A,kylig,шийла
582,frisch::A,färsk,керла
583,feucht::A,fuktig,тӏуьна
584,nass::A,våt,тӏеда
585,trocken::A,torr,eкъа
586,voll::A,full,дуьзна
587,leer::A,tom,яьсса
588,offen::A,öppen,диллина
589,geschlossen::A,stängd,дӏакъевлина
590,geschlossen::A,stängd,дӏачӏагӏдина
591,sauber::A,ren,цӏена
592,schmutzig::A,snuskig,боьха
593,roh::A,rå,буьйда
594,reif::A,mogen,хилла
595,lecker::A,läcker,чоме
596,süß::A,söt,мерза
597,bitter::A,besk,къаьхьа
598,bitter::A,bitter,къаьхьа
599,sauer::A,sur,муьста
600,hell::A,ljus,сирла
601,dunkel::A,mörk,бодане
602,schwarz::A,svart,ӏаьржа
603,weiß::A,vit,кӏайн
604,rot::A,röd,цӏен
605,gelb::A,gul,можа
606,blau::A,blå,сийна
607,grün::A,grön,баьццара
608,grau::A,grå,cира
609,grau::A,grå,мокха
610,bunt::A,brokig,къорза
611,billig::A,billig,дораха
612,teuer::A,dyr,деза
613,wertvoll::A,värdefull,мехала
614,blind::A,blind,бӏаьрзе
615,taub::A,döv,къора
616,kräftig::A,kraftig,нуьцкъала
617,stark::A,stark,зоьртала
618,stark::A,stark,нуьцкъала
619,schwach::A,svag,гӏорасиза
620,fett::A,fet,дерстана
621,schlank::A,slank,куц долу
622,hübsch::A,snygg,хаза
623,hübsch::A,vacker,хаза
624,böse::A,ond,вон
625,böse::A,elak,вон
626,dumm::A,dum,сонта
627,faul::A,lat,мало ен
628,fleißig::A,flitig,тӏера
629,geizig::A,snål,пис
630,geizig::A,snål,сутара
631,geizig::A,girig,пис
632,geizig::A,girig,сутара
633,klug::A,klok,хьекъале
634,geschickt::A,händig,тӏахъаьлла
635,geschickt::A,skicklig,тӏахъаьлла
636,lieb::A,kär,хьоме
637,lieb::A,snäll,хьоме
638,lustig::A,rolig,самукъане
639,lustig::A,lustig,самукъане
640,sanft::A,mild,кlеда
641,hungrig::A,hungrig,меца
642,krank::A,sjuk,цомгуш долу
643,nackt::A,naken,дерзана
644,traurig::A,ledsen,самукъане воцу
645,traurig::A,sorgsen,самукъане воцу
646,lebendig::A,levande,дийна
647,gut::A,bra,дика
648,schlecht::A,dålig,вон
649,richtig::A,riktig,нийса
650,schlimm::A,illa,вон
651,wahr::A,sann,бакъдолу
652,alt::A,gammal,къена
653,neu::A,ny,керла
654,ehemalig::A,forn,хилла
655,ehemalig::A,tidigare,хилла
656,alt[Lebewesen]::A,gammal,къена
657,jung::A,ung,къона
658,arm::A,fattig,къен
659,reich::A,rik,хьоле
660,bekannt::A,känd,девзаш долу
661,berühmt::A,berömd,цӏеяхана
662,fremd::A,främmande,нехан
663,verschieden::A,åtskillig,тайп-тайпанара
664,nah::A,nära,гергара
665,fern::A,fjärran,гена
666,fern::A,fjärran,генара
667,linker::A,vänster,аьрру
668,rechter::A,höger,аьтту
669,anderer::A,annan,кхин
670,erster::A,första,хьалхара
671,zweiter::A,andra,шолгIа
672,dritter::A,tredje,кхоалгӏа
673,letzter::A,sist,тӏаьххьара
674,allein::ADV,allena,цхьаъ
675,auf einmal::ADV,på en gång,цу сохьтта
676,zusammen::ADV,tillsammans,цхьана
677,lange::ADV,länge,дукха
678,plötzlich::ADV,plötsligt,цIеххьана
679,sofort::ADV,strax,цу сохьтта
680,sofort::ADV,genast,цу сохьтта
681,später::ADV,senare,тӏаьхьо
682,jetzt::ADV,nu,хӏинца
683,heute::ADV,i dag,тахана
684,morgen::ADV,i morgon,кхана
685,bald::ADV,snart,кеста
686,dann::ADV,då,тӏаккха
687,gestern::ADV,i går,селхана
688,einst::ADV,en gång,цкъа
689,damals::ADV,då,хӏетахьь
690,damals::ADV,den gången,хӏетахьь
691,danach::ADV,därefter,тӏаккха
692,vorher::ADV,före,хьалхa
693,vorher::ADV,förut,хьалхa
694,zuerst::ADV,först,хьалха
695,einmal::ADV,en gång,цкъа
696,manchmal::ADV,ibland,цкъаццкъа
697,oft::ADV,ofta,кест-кеста
698,immer::ADV,alltid,даим
699,niemals::ADV,aldrig,цкъа а
700,hier::ADV,här,кхузахь
701,hierhin::ADV,hit,кхуза
702,von hier::ADV,härifrån,кхузара
703,dort::ADV,där,цигахь
704,dorthin::ADV,dit,цига
705,geradeaus::ADV,rätt fram,нийса дӏа
706,vorwärts::ADV,fram,хьалха
707,vorwärts::ADV,framåt,хьалха
708,rückwärts::ADV,baklänges,юха
709,zurück::ADV,tillbaka,юха
710,unten::ADV,nere,лахахь
711,unten::ADV,nedanför,лахахь
712,hinab::ADV,ned,охьа
713,hinab::ADV,nedåt,охьа
714,oben::ADV,ovan,лакхахь
715,oben::ADV,ovanpå,лакхахь
716,hinauf::ADV,upp,хьала
717,hinauf::ADV,uppåt,хьала
718,überall::ADV,överallt,массанхьа
719,nicht::ADV,ej,ца
720,nicht::ADV,inte,ца
721,ein wenig::ADV,litet,кӏеззиг
722,kaum::ADV,knappt,халла
723,kaum::ADV,knappast,халла
724,sehr::ADV,mycket,вуно
725,so::ADV,så,
726,noch::ADV,än,кхин
727,noch::ADV,ännu,кхин
728,nur::ADV,bara,бен ...ца
729,nur::ADV,endast,бен ...ца
730,schon::ADV,redan,хӏинцале
731,wieder::ADV,åter,юха а
732,vergebens::ADV,förgäves,эрна
733,vor::PRP,utanför,хьалха
734,hinter::PRP,bakom,тӏехьа
735,unter::PRP,under,кIелахь
736,durch::PRP,genom,чекх
737,durch::PRP,igenom,чекх
738,neben::PRP,bredvid,юххе
739,neben::PRP,vid sidan av,юххе
740,zwischen::PRP,mellan,юккъехь
741,wegen::PRP,på grund av,дуьхьа
742,dies::PRN,detta,и
743,dies::PRN,detta,иза
744,das::PRN,det,и
745,das::PRN,det,иза
746,alles::PRN,allt,дерриг
747,ich::PRN,jag,cо
748,du::PRN,du,хьо
749,er::PRN,han,и
750,er::PRN,han,иза
751,wir::PRN,vi,тхо
752,wir::PRN,vi,вай
753,ihr::PRN,ni,шу
754,sie::PRN,de,уьш
755,was::FPRN,vad,хӏун
756,wer::FPRN,vem,мила
757,wo::FADV,var,мичaхь
758,wohin::FADV,vart,мича
759,wie::FADV,hur,муха
760,warum::FADV,varför,хӏунда
761,wieviel::FNUM,hur mycket,мел
762,wieviel::FNUM,hur mycket,маса
763,eins::NUM,en,цхьаъ
764,eins::NUM,ett,цхьаъ
765,zwei::NUM,två,шиъ
766,drei::NUM,tre,кхоъ
767,vier::NUM,fyra,диъ
768,fünf::NUM,fem,пхиъ
769,sechs::NUM,sex,ялх
770,sieben::NUM,sju,ворхӏ
771,acht::NUM,åtta,бархӏ
772,neun::NUM,nio,исс
773,zehn::NUM,tio,итт
774,elf::NUM,elva,цхьайтта
775,zwölf::NUM,tolv,шийтта
776,zwanzig::NUM,tjugo,ткъа
777,dreißig::NUM,trettio,ткъе итт
778,vierzig::NUM,fyrtio,шовзткъа
779,fünfzig::NUM,femtio,шовзткъе итт
780,sechzig::NUM,sextio,кхузткъа
781,siebzig::NUM,sjuttio,кхузткъе итт
782,achtzig::NUM,åttio,дезткъа
783,neunzig::NUM,nittio,дезткъе итт
784,hundert::NUM,hundra,бӏе
785,tausend::NUM,tusen,эзар
786,und::CNJ,och,a
787,oder::CNJ,eller,я
788,stehen::V,stå,латта
789,sitzen::V,sitta,хиъна ӏан
790,liegen::V,ligga,ӏилла
791,hängen::V,hänga,кхаза
792,werden::V,bli,хила
793,passieren::V,ske,хила
794,passieren::V,hända,хила
795,beginnen::V,börja,доло
796,enden::V,ända,дӏадерза
797,wechseln::V,växla,хийца
798,aufgehen[Sonne]::V,gå upp,кхета
799,untergehen[Sonne]::V,gå ned,чубуза
800,scheinen[Sonne]::V,skina,серло яла
801,donnern::V,dundra,къекъа
802,wehen::V,blåsa,хьекха
803,strömen::V,forsa,эха
804,strömen::V,strömma,эха
805,fließen::V,flyta,охьаэха
806,sich drehen::V,snurra,хьийза
807,schwanken::V,vackla,леста
808,schwingen::V,svinga,лесто
809,fallen::V,falla,охьакхета
810,brennen::V,brinna,дага
811,rauchen::V,ryka,оза
812,regnen::V,regna,догlа догlу
813,gefrieren::V,frysa,гӏоро
814,tauen::V,töa,даша
815,schmelzen::V,smälta,лала
816,trocknen::V,torka,дакъо
817,sieden::V,koka,кхехка
818,sieden::V,sjuda,кхехка
