,Concept_ID,ps,ca
98,Frost::N,یخ,glaçada
99,Kälte::N,ساړه,fred
100,Hitze::N,تودوخي,calor
101,Raureif::N,سپینه پرخه,gebre
102,Regenbogen::N,بوډۍ ټال,arc iris
103,Regenbogen::N,سره زرغونه,arc iris
104,Donner::N,تالنده,tro
105,Strömung::N,بهېدنه,corrent
106,Tropfen::N,قطره,gota
107,Tropfen::N,څاڅکی,gota
108,Schaum::N,ځګ,escuma
109,Schmutz::N,ناپاکي,brutícia
110,See::N,جهیل,llac
111,Sumpf::N,جبه,pantà
112,Moor::N,جبه,pantà
113,Wiese::N,چمن,prat
114,Wiese::N,چمن,prada
115,Wiese::N,شنېلی,prat
116,Wiese::N,شنېلی,prada
117,Wald::N,ځنګل,bosc
118,Hügel::N,تپه,puig
119,Hügel::N,تپه,pujol
120,Anhöhe::N,غونډۍ,turó
121,Berg::N,غ‍‍‍‍‍ر,muntanya
122,Gipfel::N,څوکه,cim
123,Höhle::N,کاز,cova
124,Abhang::N,لمن,coster
125,Quelle::N,چینه,font
126,Bach::N,واله,riera
127,Fluss::N,سیند,riu
128,Ufer::N,غاړه,riba
129,Küste::N,ساحل,costa
130,Festland::N,وچه,terra ferma
131,Meer::N,بحر,mar
132,Meer::N,سمندر,mar
133,Bucht::N,کارۍ,cala
134,Bucht::N,کارۍ,badia
135,Insel::N,ټاپو,illa
136,Insel::N,جزيره,illa
137,Blume::N,ګل,flor
138,Gras::N,واښه,herba
139,Wurzel::N,ریښه,rel
140,Wurzel::N,ریښه,arrel
141,Baum::N,ونه,arbre
142,Stamm::N,ډډ,tronc
143,Rinde::N,پوستکی,escorça
144,Ast::N,ښاخ,branca
145,Zweig::N,څانګه,ram
146,Blatt::N,پاڼه,fulla
147,Birke::N,توس,bedoll
148,Kiefer[Baum]::N,نښتر,pi
149,Weide[Baum]::N,وله,salze
150,Tanne::N,ناجو,avet
151,Horn::N,ښکر,corn
152,Horn::N,ښکر,banya
153,Feder::N,بڼکه,ploma
154,Fell::N,پوستکی,pell
155,Flügel::N,وزر,ala
156,Klaue::N,پنجه,urpa
157,Klaue::N,منګول,urpa
158,Kralle::N,پنجه,grapa
159,Kralle::N,منګول,grapa
160,Schwanz::N,لکۍ,cua
161,Ei::N,وۍ,ou
162,Ei::N,هګۍ,ou
163,Nest::N,جاله,niu
164,Bau::N,کاز,cau
165,Tier::N,ژوی,animāl
166,Tier::N,حیوان,animāl
167,Herde::N,رمه,ramat
168,Herde::N,غېله,ramat
169,Kuh::N,غوا,vaca
170,Bulle::N,غوئی,toro
171,Pferd::N,آس,cavāll
172,Schaf::N,پسه,be
173,Schaf::N,پسه,ovella
174,Schwein::N,سرکوزی,bacó
175,Hund::N,سپی,ca
176,Hund::N,سپی,gos
177,Katze::N,پشه,gat
178,Bär::N,خرس,ós
179,Eichhörnchen::N,خړ لمی,esquirol
180,Elch::N,ګوزن,ant
181,Fuchs::N,سپلم,guilla
182,Hase::N,سوی,llebre
183,Maus::N,مږک,ratolí
184,Wolf::N,لېوه,llop
185,Vogel::N,مرغه,au
186,Vogel::N,مرغه,ocēll
187,Schwarm::N,سېل,bandada
188,Huhn::N,چرګه,gallina
189,Hahn::N,چرګ,gall
190,Gans::N,بته,oca
191,Adler::N,عقاب,àguila
192,Ente::N,ایلۍ,ànec
193,Eule::N,ګونګی,òliba
194,Eule::N,ګونګی,mussol
195,Kranich::N,کلنګ,grua
196,Krähe::N,کارغه,cornella
197,Kuckuck::N,فاخته,cucut
198,Schwan::N,قو,cigne
199,Fisch::N,کب,peix
200,Fisch::N,ماهی,peix
201,Schlange[Tier]::N,مار,serp
202,Wurm::N,چینجی,cuc
203,Spinne::N,غڼه,aranya
204,Spinne::N,تارکښ,aranya
205,Ameise::N,مېږی,formiga
206,Laus::N,سپږه,poll
207,Mücke::N,ماشی,mosquit
208,Fliege::N,مچ,mosca
209,Schmetterling::N,پتنګ,papallona
210,Beere::N,مېوۍ,baia
211,Apfel::N,مڼه,poma
212,Pilz::N,خرېړی,bolet
213,Zwiebel::N,پیاز,ceba
214,Saat::N,تخم,sembra
215,Korn::N,تخم,gra
216,Korn::N,دانه,gra
217,Heu::N,بوس,fenc
218,Heu::N,پروړه,fenc
219,Schale::N,پوستکی,closca
220,Grube::N,کنده,sot
221,Grube::N,کنده,clot
222,Falle::N,دام,trampa
223,Falle::N,لومه,trampa
224,Schlinge::N,کړۍ,baga
225,Spur::N,نښه,traça
226,Asche::N,آس,cendra
227,Asche::N,ایره,cendra
228,Dreck::N,ناپاکي,llot
229,Eisen::N,اوسپنه,ferro
230,Gold::N,سره زر,or
231,Silber::N,نقره,plata
232,Silber::N,سپین زر,plata
233,Kohle::N,سکور,carbó
234,Kohle::N,سکاره,carbó
235,Glas::N,ښيښه,vidre
236,Lehm::N,خټه,fang
237,Lehm::N,خټه,argila
238,Sand::N,شګه,arena
239,Mensch::N,انسان,humà
240,Mensch::N,انسان,persona
241,Mann::N,سړی,home
242,Mann::N,نارینه,home
243,Frau::N,ښځه,dona
244,Kind::N,بچی,nen
245,Kind::N,ماشوم,nen
246,Junge::N,هلک,noi
247,Mädchen::N,نجلۍ,noia
248,Familie::N,کورنۍ,família
249,Großvater::N,بابا,avi
250,Großmutter::N,انا,àvia
251,Eltern::N,مور او پلار,pares
252,Vater::N,پلار,pare
253,Mutter::N,مور,mare
254,Sohn::N,زوی,fill
255,Tochter::N,لور,filla
256,Bruder::N,ورور,germà
257,Schwester::N,خور,germana
258,Onkel::N,تره,oncle
259,Onkel::N,ماما,oncle
260,Tante::N,خاله,tia
261,Ehemann::N,مېړه,espòs
262,Ehefrau::N,مېرمن,muller
263,Freude::N,خوشحالي,goig
264,Freude::N,خوشحالي,alegria
265,Gelächter::N,خندا,riallada
266,Glück::N,بخت,felicitat
267,Kummer::N,غم,pena
268,Wunsch::N,هيله,desig
269,Wunsch::N,غوښتنه,desig
270,Lust::N,شوق,ganes
271,Lust::N,مینه,ganes
272,Geist::N,روح,ment
273,Geist::N,روح,esperit
274,Gedanke::N,فکر,pensament
275,Gedächtnis::N,یاد,memòria
276,Gedächtnis::N,حافظه,memòria
277,Verstand::N,عقل,raó
278,Verstand::N,عقل,seny
279,Verstand::N,شعور,raó
280,Verstand::N,شعور,seny
281,Sinn::N,معنی,solta
282,Sinn::N,معنی,sentit
283,Grund::N,علت,raó
284,Grund::N,علت,causa
285,Grund::N,اساس,raó
286,Grund::N,اساس,causa
287,Wahrheit::N,حقیقت,veritāt
288,Gespräch::N,مرکه,conversa
289,Gespräch::N,خبرې اترې,conversa
290,Märchen::N,افسانه,conte
291,Erzählung::N,قصه,narració
292,Erzählung::N,کیسه,narració
293,Nachricht::N,خبر,missatge
294,Neuigkeit::N,نوی خبر,novetat
295,Name::N,نوم,nom
296,Rätsel::N,کیسۍ,endevinalla
297,Rätsel::N,چیستان,endevinalla
298,Rede::N,وینا,discurs
299,Sprache::N,ژبه,llēngua
300,Stimme::N,غږ,veu
301,Stimme::N,اواز,veu
302,Wort::N,لغت,mot
303,Wort::N,لغت,paraula
304,Wort::N,کلمه,mot
305,Wort::N,کلمه,paraula
306,Zeichen::N,نښه,signe
307,Zeichen::N,نښه,senyal
308,Zeichen::N,اشاره,signe
309,Zeichen::N,اشاره,senyal
310,Ruf::N,ږغ,crida
311,Ruf::N,بلنه,crida
312,Lärm::N,غالمغال,sorōll
313,Laut::N,ږغ,so
314,Ton::N,اواز,to
315,Lied::N,غزله,cançó
316,Lied::N,سندره,cançó
317,Ruhe::N,ارامي,calma
318,Ruhe::N,ارامي,silenci
319,Leute::N,خلک,gent
320,Volk::N,ولس,poble
321,Arbeit::N,کار,labor
322,Arbeit::N,کار,treball
323,Gast::N,مېلمه,hoste
324,Geschenk::N,تحفه,regal
325,Geschenk::N,تحفه,obsequi
326,Geschenk::N,سوغات,regal
327,Geschenk::N,سوغات,obsequi
328,Spiel::N,لوبه,joc
329,Gesellschaft::N,ډله,companyia
330,Hilfe::N,کومک,ajut
331,Hilfe::N,مرسته,ajut
332,Freund::N,ملګری,amīc
333,Kamerad::N,انډيوال,company
334,Kamerad::N,انډيوال,camarada
335,Angelegenheit::N,موضوع,afer
336,Angelegenheit::N,موضوع,assumpte
337,Anzahl::N,شمېر,nombre
338,Anzahl::N,شمېر,quantitat
339,Anzahl::N,تعداد,nombre
340,Anzahl::N,تعداد,quantitat
341,Art::N,ډول,tipus
342,Art::N,ډول,classe
343,Stück::N,ټوټه,peça
344,Teil::N,برخه,part
345,Hälfte::N,نیم,meitat
346,Kreis::N,دایره,cercle
347,Kreuz::N,صلیب,creu
348,Linie::N,خط,línia
349,Linie::N,لیکه,línia
350,Strich::N,کرښه,traç
351,Strich::N,کرښه,ratlla
352,Abstand::N,فاصله,distància
353,Entfernung::N,واټن,distància
354,Gegend::N,سیمه,regió
355,Gegend::N,سیمه,contrada
356,Gegend::N,منطقه,regió
357,Gegend::N,منطقه,contrada
358,Platz::N,ځای,cabuda
359,Ort::N,ځای,lloc
360,Seite::N,مخ,banda
361,Seite::N,مخ,costāt
362,Seite::N,اړخ,banda
363,Seite::N,اړخ,costāt
364,Mitte::N,وسط,mig
365,Mitte::N,وسط,centre
366,Mitte::N,مینځ,mig
367,Mitte::N,مینځ,centre
368,Gegenstand::N,شی,objecte
369,Sache::N,شی,cosa
370,Sache::N,څيز,cosa
371,Rand::N,څنډه,vora
372,Rand::N,څنډه,marge
373,Rand::N,کناره,vora
374,Rand::N,کناره,marge
375,Kante::N,اړخ,caire
376,Kante::N,اړخ,cantell
377,Ecke::N,ګوټ,cantonada
378,Spitze::N,څوکه,punta
379,Ende::N,څوکه,cap
380,Loch::N,سوری,forāt
381,Winkel::N,کنج,racó
382,Winkel::N,کوتی,racó
383,Muster::N,نمونه,dibuix
384,Muster::N,نمونه,disseny
385,Größe::N,قد,grandària
386,Größe::N,لويوالی,grandària
387,Länge::N,طول,longitud
388,Länge::N,اوږد والی,longitud
389,Höhe::N,جګوالی,altura
390,Höhe::N,جګوالی,altitud
391,Gewicht::N,وزن,pes
392,Menge::N,اندازه,quantitat
393,Haufen::N,کوټه,pila
394,Reihe::N,صف,fila
395,Reihe::N,کتار,fila
396,Boot::N,قايق,bot
397,Boot::N,قايق,barca
398,Ruder::N,چپه,rem
399,Schlitten::N,ښویېدونی,trineu
400,Ski::N,سکي,esquí
401,Lagerfeuer::N,اور,foc de campament
402,Last::N,بار,càrrega
403,Last::N,پېټی,càrrega
404,Gang::N,تګ,marxa
405,Schritt::N,ګام,pas
406,Norden::N,شمال,nord
407,Süden::N,سوېل,sud
408,Westen::N,لوېدېځ,oest
409,Westen::N,لوېدېځ,occident
410,Osten::N,شرق,est
411,Osten::N,شرق,orient
412,Osten::N,ختیځ,est
413,Osten::N,ختیځ,orient
414,Holz::N,لرګی,fusta
415,Brett::N,تخته,taula
416,Platte::N,تخته,placa
417,Stütze::N,تکیوان,suport
418,Stange::N,ډاګه,vara
419,Stock::N,لرګی,pal
420,Stab::N,چيخله,bastó
421,Rohr::N,نل,tub
422,Haus::N,کور,casa
423,Heim::N,کور,llar
424,Ofen::N,تودنۍ,estufa
425,Fußboden::N,غولی,terra
426,Tisch::N,مېز,taula
427,Stuhl::N,چوکۍ,cadira
428,Wiege::N,زانګو,bressol
429,Bett::N,کټ,llit
430,Bett::N,چپرکټ,llit
431,Regal::N,تاخچۍ,prestatgeria
432,Kiste::N,صندوق,caixa
433,Fenster::N,کړکۍ,finestra
434,Tür::N,دروازه,porta
435,Tor::N,دروازه,portal
436,Zaun::N,کټاره,tanca
437,Dach::N,بام,teulada
438,Leiter::N,زينه,escala
439,Leiter::N,زينه,escala de mà
440,Besen::N,جارو,escombra
441,Spaten::N,یوم,pala
442,Schaufel::N,بېلچه,pala
443,Gabel::N,پنجه,forquilla
444,Löffel::N,کاشوغه,cullera
445,Messer::N,چاقو,coltell
446,Nagel::N,ميخ,clau
447,Netz::N,جال,filat
448,Haken::N,څنګک,ganxo
449,Griff::N,لاستی,puny
450,Griff::N,لاستی,mànec
451,Schloss::N,کلپ,pany
452,Bild::N,رسم,imatge
453,Figur::N,قدوقامت,figura
454,Puppe::N,ګوډۍ,nina
455,Beutel::N,کڅوړه,bossa
456,Bündel::N,دسته,feix
457,Bündel::N,دسته,paquet
458,Tasche::N,بکس,bossa
459,Tasche::N,توبره,bossa
460,Eimer::N,سطل,galleda
461,Deckel::N,سرپوښ,tapa
462,Deckel::N,سرپوښ,tapadora
463,Geschirr::N,لوښی,vaixella
464,Sack::N,جوال,sac
465,Sack::N,جوال,saca
466,Tasse::N,پیاله,tassa
467,Topf::N,دېګی,pot
468,Topf::N,دېګی,olla
469,Kessel::N,دېګ,caldera
470,Essen::N,خوراک,àpat
471,Essen::N,خوراک,menjada
472,Nahrung::N,خوراک,aliment
473,Speise::N,خواړه,plat
474,Fleisch::N,غوښه,carn
475,Getreide::N,غله,cereals
476,Brei::N,اوګره,puré
477,Brot::N,ډوډۍ,pa
478,Scheibe::N,مړۍ,tall
479,Scheibe::N,مړۍ,llesca
480,Fett::N,غوړي,greix
481,Butter::N,کوچ,mantega
482,Öl::N,تېل,oli
483,Salz::N,مالګه,sal
484,Suppe::N,شوربا,sopa
485,Honig::N,شات,mel
486,Milch::N,شوده,llet
487,Tee::N,چای,te
488,Leder::N,څرمن,cuir
489,Wolle::N,پشم,llana
490,Stoff::N,ټوټه,tela
491,Nadel::N,ستن,agulla
492,Faden::N,تار,fil
493,Knopf::N,تڼۍ,botó
494,Knopf::N,تکمه,botó
495,Knoten::N,غوټه,nus
496,Farbe::N,رنګ,pintura
497,Kleidung::N,کالي,roba
498,Kleidung::N,کالي,vestits
499,Hemd::N,کميس,camisa
500,Kragen::N,غاړه,coll
501,Ärmel::N,لستوڼی,màniga
502,Hose::N,پطلون,pantalōns
503,Gürtel::N,کمربند,cinturó
504,Mütze::N,خولۍ,gorra
505,Schuh::N,بوټ,sabata
506,Stiefel::N,موزه,bota
507,Ring::N,ګوته,anell
508,Band::N,فيته,veta
509,Band::N,فيته,cinta
510,Kamm::N,ګمنځ,pinta
511,Spiegel::N,ایینه,mirāll
512,Spiegel::N,هنداره,mirāll
513,Riemen::N,تسمه,corretja
514,Schnur::N,مزی,corda
515,Leine::N,رسۍ,corretja
516,Decke::N,بړستن,manta
517,Decke::N,بړستن,flassada
518,Kissen::N,بالښت,coixí
519,Tuch::N,ټیکری,mocador
520,Handtuch::N,دسمال,tovallola
521,Kraft::N,زور,força
522,Kraft::N,توان,força
523,Stärke::N,قوت,vigor
524,Gesundheit::N,صحت,salut
525,Gesundheit::N,روغتیا,salut
526,Krankheit::N,مرض,malaltia
527,Krankheit::N,ناروغي,malaltia
528,Schmerz::N,درد,dolor
529,Wunde::N,ټپ,ferida
530,Wunde::N,زخم,ferida
531,Fieber::N,تبه,febre
532,Arznei::N,دوا,medicament
533,Arznei::N,دارو,medicament
534,Brücke::N,پول,pont
535,Brunnen::N,څاه,pou
536,Brunnen::N,کوهی,pou
537,Weide::N,وله,pastura
538,Pfad::N,تړه,senda
539,Pfad::N,تړه,sender
540,Weg::N,لیار,camí
541,Straße::N,سړک,carretera
542,Dorf::N,کلی,poble
543,Stadt::N,ښار,ciutāt
544,Brief::N,لیک,carta
545,Brief::N,مکتوب,carta
546,Buch::N,کتاب,llibre
547,Buchstabe::N,حرف,lletra
548,Buchstabe::N,توری,lletra
549,Zeitung::N,اخبار,diāri
550,Leben::N,ژوند,vida
551,Tod::N,مرګ,mort
552,Tod::N,مړینه,mort
553,Grab::N,قبر,tomba
554,Grab::N,ډورۍ,tomba
555,Kirche::N,کلیسا,església
556,Sünde::N,ګناه,pecat
557,Gott::N,خدای,déu
558,Arbeiter::N,کاریګر,obrer
559,Chef::N,آمر,cap
560,Meister::N,استاد,mestre
561,Arzt::N,طبیب,metge
562,Arzt::N,ډاکټر,metge
563,Lehrer::N,معلم,mestre
564,Lehrer::N,ښوونکی,mestre
565,Geld::N,پیسې,dinērs
566,Geschäft::N,سوداګري,negoci
567,Laden::N,دکان,tenda
568,Laden::N,دکان,botiga
569,Laden::N,مغازه,tenda
570,Laden::N,مغازه,botiga
571,Preis::N,بیه,preu
572,Ware::N,مال,mercaderia
573,Nutzen::N,ګټه,profit
574,Reichtum::N,شتمني,riquesa
575,Welt::N,نړۍ,món
576,Welt::N,دنیا,món
577,Land::N,هېواد,país
578,Staat::N,دولت,estat
579,König::N,باچا,rei
580,König::N,پادشاه,rei
581,Macht::N,قدرت,poder
582,Macht::N,قدرت,potència
583,Grenze::N,حد,frontera
584,Grenze::N,سرحد,frontera
585,Krieg::N,جګړه,guerra
586,Feind::N,دښمن,enemic
587,Gewalt::N,زور,violència
588,Gewalt::N,تشدد,violència
589,Kampf::N,جنګ,lluita
590,Kampf::N,مبارزه,lluita
591,Bogen[Waffe]::N,لیندۍ,arc
592,Pfeil::N,غشی,fletxa
593,Gewehr::N,ټوپک,fusell
594,Gewehr::N,ټوپک,escopeta
595,Fehler::N,خطا,falta
596,Fehler::N,غلطي,falta
597,Lüge::N,دروغ,mentida
598,Schaden::N,زیان,dany
599,Schaden::N,تاوان,dany
600,Unglück::N,بدبختي,desgràcia
601,Schuld::N,ګناه,culpa
602,Alter::N,منګ,edat
603,Schluss::N,اخر,fi
604,Schluss::N,اخر,final
605,Zeit::N,وخت,temps
606,Tag::N,ورځ,dia
607,Morgen::N,سبا,matí
608,Morgen::N,سهار,matí
609,Mittag::N,غرمه,migdia
610,Abend::N,ماښام,vespre
611,Nacht::N,شپه,nit
612,Woche::N,اونۍ,setmana
613,Monat::N,مياشت,mes
614,Jahr::N,کال,any
615,Frühling::N,پسرلی,primavera
616,Sommer::N,دوبی,estīu
617,Herbst::N,منی,tardor
618,Herbst::N,خزان,tardor
619,Winter::N,ژمی,hivērn
620,Januar::N,جنوري,gener
621,Februar::N,فبروري,febrer
622,März::N,مارچ,març
623,April::N,اپریل,abril
624,Mai::N,مې,maig
625,Juni::N,جون,juny
626,Juli::N,جولای,juliol
627,August::N,اګست,agost
628,September::N,سپټامبر,setembre
629,Oktober::N,اکتوبر,octubre
630,November::N,نومبر,novembre
631,Dezember::N,دسمبر,desembre
632,Montag::N,دوشنبه,dilluns
633,Dienstag::N,سه شنبه,dimarts
634,Mittwoch::N,چارشنبه,dimecres
635,Donnerstag::N,پنجشنبه,dijous
636,Freitag::N,جمعه,divendres
637,Samstag::N,خالي,dissabte
638,Sonntag::N,یکشنبه,diumenge
639,groß::A,لوی,gros
640,klein::A,وړوکی,petīt
641,lang::A,اوړد,llarg
642,kurz::A,لنډ,curt
643,breit::A,پراخه,ample
644,schmal::A,تنګ,estret
645,dicht::A,ګڼ,dens
646,dick[Gegenstand]::A,پنډ,gruixūt
647,dünn::A,نری,prim
648,fein::A,نازک,fi
649,fest::A,کلک,ferm
650,fest::A,کلک,sòlid
651,fest::A,ټینګ,ferm
652,fest::A,ټینګ,sòlid
653,flach::A,هوار,pla
654,glatt::A,ښوی,llis
655,hart::A,کلک,dur
656,weich::A,نرم,tou
657,weich::A,پوست,tou
658,rund::A,ګرد,rodó
659,spitz::A,تېره,punxegut
660,scharf::A,تېز,agut
661,scharf::A,تېره,agut
662,stumpf::A,پڅ,rom
663,stumpf::A,پڅ,esmussat
664,schwer::A,دروند,pesāt
665,schön::A,ښکلی,bonīc
666,heiß::A,تود,calēnt
667,warm::A,تود,càlid
668,kalt::A,ېخ,fred
669,kalt::A,سوړ,fred
670,kühl::A,ېخ,fresc
671,kühl::A,سوړ,fresc
672,frisch::A,تازه,fresc
673,feucht::A,مرطوب,humit
674,nass::A,لوند,mullat
675,trocken::A,وچ,sec
676,voll::A,ډک,ple
677,leer::A,خالی,buit
678,offen::A,خلاص,obert
679,offen::A,پرانیستی,obert
680,geschlossen::A,تړلی,tancat
681,sauber::A,پاک,net
682,schmutzig::A,چټل,brut
683,roh::A,خام,cru
684,reif::A,پوخ,madur
685,reif::A,رسېدلی,madur
686,lecker::A,خوندور,deliciós
687,lecker::A,مزه دار,deliciós
688,süß::A,خوږ,dolç
689,süß::A,شیرین,dolç
690,bitter::A,تریخ,amarg
691,sauer::A,ټاک,agre
692,sauer::A,تريو,agre
693,hell::A,روڼ,clar
694,hell::A,روښان,clar
695,dunkel::A,تیاره,fosc
696,schwarz::A,تور,negre
697,weiß::A,سپين,blanc
698,rot::A,سور,vermēll
699,gelb::A,زېړ,groc
700,blau::A,شین,blau
701,blau::A,اسماني رنګه,blau
702,grün::A,زرغون,verd
703,grau::A,خړ,gris
704,bunt::A,رنګارنګ,multicolor
705,billig::A,ارزان,barat
706,teuer::A,ګران,car
707,wertvoll::A,قیمتي,preciós
708,blind::A,ړوند,cec
709,taub::A,کوڼ,sord
710,kräftig::A,قوی,fort
711,kräftig::A,قوی,vigorós
712,stark::A,قوی,fort
713,stark::A,تکړه,fort
714,schwach::A,ضعیف,feble
715,schwach::A,کمزوری,feble
716,fett::A,چاغ,gras
717,schlank::A,خوش اندام,esvelt
718,hübsch::A,ښکلی,maco
719,hübsch::A,ښایسته,maco
720,böse::A,شریر,dolent
721,böse::A,قهرناک,dolent
722,dumm::A,احمق,ximple
723,dumm::A,احمق,estúpid
724,faul::A,لټ,gandūl
725,faul::A,لټ,mandrós
726,faul::A,تنبل,gandūl
727,faul::A,تنبل,mandrós
728,fleißig::A,زحمت کښ,diligēnt
729,geizig::A,بخیل,avar
730,klug::A,عاقل,intel·ligent
731,klug::A,هوښیار,intel·ligent
732,geschickt::A,ماهر,hàbil
733,lieb::A,عزیز,amat
734,lieb::A,عزیز,estimat
735,lieb::A,محبوب,amat
736,lieb::A,محبوب,estimat
737,lustig::A,خوشحال,alegre
738,sanft::A,پوست,suau
739,sanft::A,ملایم,suau
740,hungrig::A,وږی,afamat
741,krank::A,مريض,malālt
742,krank::A,ناروغ,malālt
743,nackt::A,لوڅ,nu
744,traurig::A,غمجن,trist
745,lebendig::A,ژوندی,viu
746,gut::A,ښه,bo
747,schlecht::A,بد,dolēnt
748,schlecht::A,خراب,dolēnt
749,richtig::A,سم,just
750,richtig::A,سم,correcte
751,richtig::A,صحیح,just
752,richtig::A,صحیح,correcte
753,schlimm::A,بد,greu
754,schlimm::A,مخوف,greu
755,wahr::A,واقعي,vertader
756,wahr::A,واقعي,veritable
757,alt::A,زوړ,vell
758,neu::A,نوی,nou
759,ehemalig::A,پخوانی,antic
760,alt[Lebewesen]::A,زوړ,vell
761,jung::A,ځوان,jove
762,arm::A,غریب,pobre
763,arm::A,بې وزله,pobre
764,reich::A,شتمن,ric
765,reich::A,دولتمند,ric
766,bekannt::A,اشنا,conegut
767,berühmt::A,مشهور,famós
768,fremd::A,پردی,estrany
769,fremd::A,بېګانه,estrany
770,verschieden::A,مختلف,diferent
771,nah::A,نژدې,pròxim
772,fern::A,لیری,llunyà
773,fern::A,لیری,distant
774,linker::A,چپ,esquerre
775,linker::A,کیڼ,esquerre
776,rechter::A,ښی,dret
777,anderer::A,بل,altre
778,erster::A,لومړی,primer
779,zweiter::A,دوهم,segon
780,dritter::A,درېم,tercer
781,letzter::A,آخرنی,últim
782,letzter::A,وروستی,últim
783,allein::ADV,یوازې,sol
784,auf einmal::ADV,په یوه وخت کی,d'una vegada
785,zusammen::ADV,یو ځای,junt
786,lange::ADV,ډېر وخت,molt de temps
787,lange::ADV,ډېره موده,molt de temps
788,plötzlich::ADV,ناببره,de cop
789,plötzlich::ADV,ناببره,de sobte
790,plötzlich::ADV,یوناڅاپه,de cop
791,plötzlich::ADV,یوناڅاپه,de sobte
792,sofort::ADV,فوراً,de seguida
793,sofort::ADV,سمدلاسه,de seguida
794,später::ADV,وروسته,més tard
795,jetzt::ADV,اوس,ara
796,heute::ADV,نن,avūi
797,morgen::ADV,سبا,demà
798,bald::ADV,ژر,aviāt
799,dann::ADV,پس,després
800,dann::ADV,وروسته,després
801,gestern::ADV,پرون,ahir
802,einst::ADV,پخوا,anteriorment
803,damals::ADV,هغه وخت,llavōrs
804,damals::ADV,هغه وخت,aleshores
805,danach::ADV,بیا,després
806,vorher::ADV,دمخه,abāns
807,zuerst::ADV,لومړی,primer
808,einmal::ADV,یو ځل,una vegada
809,manchmal::ADV,ګاهی ګاهی,de vegades
810,oft::ADV,ډېر ځله,sovint
811,immer::ADV,تل,sempre
812,immer::ADV,همېشه,sempre
813,niemals::ADV,هیڅکله نه,no ... mai
814,hier::ADV,دلته,aquí
