,Concept_ID,el,hr
136,Höhle::N,σπηλιά,pećina
137,Höhle::N,σπηλιά,spilja
138,Abhang::N,πλαγιά,obronak
139,Abhang::N,πλαγιά,nizbrdica
140,Quelle::N,πηγή,izvor
141,Quelle::N,πηγή,vrelo
142,Quelle::N,βρύση,izvor
143,Quelle::N,βρύση,vrelo
144,Bach::N,ρυάκι,potok
145,Fluss::N,ποτάμι,rijeka
146,Fluss::N,ποταμός,rijeka
147,Ufer::N,όχθη,obala
148,Küste::N,ακτή,obala
149,Küste::N,ακτή,morska obala
150,Küste::N,ακρογιαλιά,obala
151,Küste::N,ακρογιαλιά,morska obala
152,Festland::N,στεριά,kopno
153,Meer::N,θάλασσα,more
154,Bucht::N,κόλπος,zaliv
155,Insel::N,νησί,ada
156,Insel::N,νησί,otok
157,Insel::N,νήσος,ada
158,Insel::N,νήσος,otok
159,Blume::N,άνθος,cvijet
160,Blume::N,λουλούδι,cvijet
161,Gras::N,χόρτο,trava
162,Gras::N,χορτάρι,trava
163,Wurzel::N,ρίζα,korijen
164,Baum::N,δέντρο,drvo
165,Baum::N,δέντρο,stablo
166,Stamm::N,κορμός,deblo
167,Stamm::N,κορμός,stablo
168,Rinde::N,φλούδα,kora
169,Ast::N,κλαδί,grana
170,Zweig::N,κλαδί,grana
171,Zweig::N,κλάδος,grana
172,Blatt::N,φύλλο,list
173,Birke::N,σημύδα,breza
174,Kiefer[Baum]::N,πεύκο,bor
175,Weide[Baum]::N,ιτιά,iva
176,Weide[Baum]::N,ιτιά,vŕba
177,Tanne::N,έλατο,jela
178,Horn::N,κέρας,rog
179,Horn::N,κέρατο,rog
180,Feder::N,φτερό,pero
181,Fell::N,δέρμα,koža
182,Fell::N,τομάρι,koža
183,Flügel::N,πτερύγιο,krilo
184,Klaue::N,κουλό,papak
185,Kralle::N,νύχι,pandža
186,Schwanz::N,ουρά,rep
187,Ei::N,αβγό,jaje
188,Nest::N,φωλιά,gnijezdo
189,Bau::N,φωλιά,jazbina
190,Tier::N,ζώο,životinja
191,Herde::N,κοπάδι,krdo
192,Herde::N,κοπάδι,stado
193,Kuh::N,αγελάδα,krava
194,Bulle::N,ταύρος,bik
195,Pferd::N,άλογο,konj
196,Schaf::N,πρόβατο,ovca
197,Schwein::N,γουρούνι,svinja
198,Hund::N,σκυλί,pas
199,Hund::N,σκυλί,pseto
200,Hund::N,σκύλος,pas
201,Hund::N,σκύλος,pseto
202,Katze::N,γάτα,mačka
203,Bär::N,άρκτος,medvjed
204,Bär::N,αρκούδα,medvjed
205,Eichhörnchen::N,βερβερίτσα,vjeverica
206,Elch::N,άλκη,los
207,Fuchs::N,αλεπού,lisica
208,Hase::N,λαγός,zec
209,Maus::N,ποντικός,miš
210,Wolf::N,λύκος,vuk
211,Wolf::N,λύκος,kurjak
212,Vogel::N,πουλί,ptica
213,Schwarm::N,σμήνος,roj
214,Schwarm::N,σμήνος,jato
215,Huhn::N,κότα,kokoš
216,Huhn::N,όρνιθα,kokoš
217,Hahn::N,πετεινός,kokot
218,Hahn::N,πετεινός,pijevac
219,Gans::N,χήνα,guska
220,Adler::N,αετός,orao
221,Ente::N,πάπια,patka
222,Eule::N,κουκουβάγια,sova
223,Kranich::N,γερανός,ždral
224,Krähe::N,καρακάξα,vrana
225,Kuckuck::N,κούκος,kukavica
226,Schwan::N,κύκνος,labud
227,Fisch::N,ψάρι,riba
228,Barsch::N,πέρκα,grgeč
229,Hecht::N,λούτσος,štuka
230,Schlange[Tier]::N,φίδι,guja
231,Schlange[Tier]::N,φίδι,zmija
232,Wurm::N,σκουλήκι,crv
233,Spinne::N,αράχνη,pauk
234,Ameise::N,μυρμήγκι,mrav
235,Laus::N,ψείρα,uš
236,Mücke::N,κουνούπι,komarac
237,Fliege::N,μύγα,muha
238,Schmetterling::N,πεταλούδα,leptir
239,Beere::N,ρόγα,boba
240,Beere::N,ρόγα,bobica
241,Apfel::N,μήλο,jabuka
242,Pilz::N,μανιτάρι,pečurka
243,Zwiebel::N,κρεμμύδι,luk
244,Zwiebel::N,κρεμμύδι,kapula
245,Saat::N,σπόρος,sjemenje
246,Korn::N,σπυρί,zrno
247,Heu::N,σανός,sijeno
248,Schale::N,τσόφλι,kora
249,Schale::N,τσόφλι,ljuska
250,Grube::N,λάκκος,jama
251,Falle::N,παγίδα,zamka
252,Falle::N,παγίδα,klopka
253,Schlinge::N,θηλειά,uzao
254,Schlinge::N,θηλειά,petlja
255,Spur::N,ίχνος,trag
256,Spur::N,ίχνος,slijed
257,Asche::N,στάχτη,pepeo
258,Dreck::N,βρωμιά,blato
259,Eisen::N,σίδερο,željezo
260,Gold::N,μάλαμα,zlato
261,Gold::N,χρυσάφι,zlato
262,Silber::N,ασήμι,srebro
263,Silber::N,άργυρος,srebro
264,Kohle::N,κάρβουνο,ugalj
265,Kohle::N,κάρβουνο,ugljen
266,Glas::N,γυαλί,staklo
267,Lehm::N,πηλός,glina
268,Lehm::N,πηλός,ilovača
269,Sand::N,άμμος,pijesak
270,Mensch::N,άνθρωπος,čovjek
271,Mann::N,άνδρας,muškarac
272,Frau::N,γυναίκα,žena
273,Kind::N,παιδί,čedo
274,Kind::N,παιδί,dijete
275,Junge::N,αγόρι,momče
276,Junge::N,αγόρι,dječak
277,Mädchen::N,κοπέλα,djevojka
278,Mädchen::N,κοπέλα,djevojčica
279,Mädchen::N,κορίτσι,djevojka
280,Mädchen::N,κορίτσι,djevojčica
281,Familie::N,οικογένεια,obitelj
282,Familie::N,οικογένεια,porodica
283,Großvater::N,παππούς,djed
284,Großmutter::N,γιαγιά,baka
285,Eltern::N,γονείς,roditelji
286,Vater::N,πατέρας,otac
287,Mutter::N,μητέρα,majka
288,Sohn::N,γιος,sin
289,Tochter::N,κόρη,kći
290,Tochter::N,κόρη,kćerka
291,Bruder::N,αδελφός,brat
292,Schwester::N,αδελφή,sestra
293,Onkel::N,θείος,čika
294,Onkel::N,θείος,ujak
295,Tante::N,θεία,ujna
296,Tante::N,θεία,tetka
297,Ehemann::N,σύζυγος,muž
298,Ehemann::N,σύζυγος,suprug
299,Ehefrau::N,σύζυγος,žena
300,Ehefrau::N,σύζυγος,supruga
301,Freude::N,χαρά,radost
302,Gelächter::N,γέλια,grohot
303,Glück::N,ευτυχία,sreća
304,Kummer::N,έγνοια,jad
305,Kummer::N,έγνοια,briga
306,Wunsch::N,επιθυμία,želja
307,Lust::N,όρεξη,volja
308,Geist::N,πνέυμα,duh
309,Gedanke::N,σκέψη,misao
310,Gedächtnis::N,μνήμη,pamćenje
311,Verstand::N,νους,um
312,Verstand::N,νους,razum
313,Sinn::N,νόημα,smisao
314,Sinn::N,νόημα,značenje
315,Grund::N,λόγος,razlog
316,Wahrheit::N,αλήθεια,istina
317,Gespräch::N,συνομιλία,razgovor
318,Märchen::N,παραμύθι,bajka
319,Erzählung::N,διήγημα,priča
320,Erzählung::N,διήγημα,pripovijest
321,Nachricht::N,είδηση,vijest
322,Neuigkeit::N,νέο,novost
323,Name::N,όνομα,ime
324,Rätsel::N,αίνιγμα,zagonetka
325,Rede::N,λόγος,govor
326,Rede::N,λόγος,besjeda
327,Rede::N,ομιλία,govor
328,Rede::N,ομιλία,besjeda
329,Sprache::N,γλώσσα,jezik
330,Stimme::N,φωνή,glas
331,Wort::N,λέξη,riječ
332,Zeichen::N,σημείο,znak
333,Ruf::N,κραυγή,povik
334,Ruf::N,κραυγή,poklik
335,Lärm::N,θόρυβος,buka
336,Lärm::N,θόρυβος,galama
337,Laut::N,ήχος,zvuk
338,Ton::N,ήχος,ton
339,Ton::N,τόνος,ton
340,Lied::N,τραγούδι,pjesma
341,Ruhe::N,ησυχία,tišina
342,Ruhe::N,ησυχία,počinak
343,Leute::N,κόσμος,ljudi
344,Leute::N,άνθρωποι,ljudi
345,Volk::N,λαός,puk
346,Volk::N,λαός,narod
347,Arbeit::N,εργασία,rad
348,Arbeit::N,εργασία,posao
349,Gast::N,επισκέπτης,gost
350,Geschenk::N,δώρο,dar
351,Geschenk::N,δώρο,poklon
352,Spiel::N,παιχνίδι,igra
353,Gesellschaft::N,κοινωνία,društvo
354,Gesellschaft::N,κοινωνία,kompanija
355,Hilfe::N,βοήθεια,pomoć
356,Freund::N,φίλος,prijatelj
357,Kamerad::N,σύντροφος,drug
358,Kamerad::N,σύντροφος,drugar
359,Angelegenheit::N,υπόθεση,posao
360,Anzahl::N,αριθμός,broj
361,Anzahl::N,αριθμός,brojnost
362,Art::N,είδος,vid
363,Art::N,είδος,vrst
364,Stück::N,κομμάτι,komad
365,Teil::N,μέρος,dio
366,Hälfte::N,μισό,polovina
367,Kreis::N,κύκλος,krug
368,Kreuz::N,σταυρός,križ
369,Linie::N,γραμμή,crta
370,Strich::N,γραμμή,crta
371,Abstand::N,απόσταση,razmak
372,Abstand::N,απόσταση,odstojanje
373,Entfernung::N,απόσταση,udaljenost
374,Gegend::N,περιοχή,kraj
375,Gegend::N,περιοχή,predeo
376,Gegend::N,τοποθεσία,kraj
377,Gegend::N,τοποθεσία,predeo
378,Platz::N,χώρος,mjesto
379,Ort::N,τόπος,mjesto
380,Seite::N,πλευρά,bok
381,Seite::N,πλευρά,strana
382,Mitte::N,μέση,sredina
383,Gegenstand::N,αντικείμενο,predmet
384,Sache::N,πράγμα,posao
385,Rand::N,άκρη,rub
386,Rand::N,άκρη,kraj
387,Rand::N,χείλος,rub
388,Rand::N,χείλος,kraj
389,Kante::N,άκρη,brid
390,Kante::N,άκρη,ivica
391,Ecke::N,γωνιά,ugao
392,Spitze::N,μύτη,vrh
393,Spitze::N,μύτη,šiljak
394,Ende::N,άκρη,konac
395,Loch::N,τρύπα,rupa
396,Winkel::N,γωνία,kut
397,Winkel::N,γωνία,ugao
398,Muster::N,σχέδιο,uzor
399,Größe::N,μέγεθος,veličina
400,Länge::N,μήκος,duljina
401,Höhe::N,ύψος,visina
402,Gewicht::N,βάρος,težina
403,Menge::N,ποσότητα,mnoštvo
404,Menge::N,ποσότητα,količina
405,Haufen::N,σωρός,hrpa
406,Haufen::N,σωρός,gomila
407,Reihe::N,αράδα,red
408,Boot::N,βάρκα,čun
409,Boot::N,βάρκα,čamac
410,Ruder::N,κουπί,veslo
411,Schlitten::N,έλκηθρο,saone
412,Ski::N,σκι,ski
413,Ski::N,σκι,smučka
414,Lagerfeuer::N,φωτιά,logorska vatra
415,Last::N,φορτίο,tovar
416,Gang::N,δρόμος,hod
417,Schritt::N,βήμα,korak
418,Norden::N,βορράς,sjever
419,Süden::N,νότος,jug
420,Westen::N,δύση,zapad
421,Osten::N,ανατολή,istok
422,Holz::N,ξύλο,drvo
423,Brett::N,σανίδι,daska
424,Platte::N,πλάκα,ploča
425,Stütze::N,στήριγμα,potpora
426,Stange::N,ραβδί,motka
427,Stange::N,κοντός,motka
428,Stock::N,ξύλο,štap
429,Stock::N,ξύλο,palica
430,Stock::N,μπαστούνι,štap
431,Stock::N,μπαστούνι,palica
432,Stab::N,ραβδί,štap
433,Stab::N,ραβδί,šipka
434,Rohr::N,σωλήνας,cijev
435,Haus::N,σπίτι,kuća
436,Heim::N,σπίτι,dom
437,Ofen::N,σόμπα,peć
438,Ofen::N,θερμάστρα,peć
439,Fußboden::N,πάτωμα,pod
440,Tisch::N,τραπέζι,stol
441,Tisch::N,τραπέζι,trpeza
442,Stuhl::N,καρέκλα,stolac
443,Stuhl::N,καρέκλα,stolica
444,Wiege::N,κούνια,kolijevka
445,Bett::N,κρεβάτι,krevet
446,Bett::N,κρεβάτι,postelja
447,Regal::N,ράφι,polica
448,Kiste::N,κιβώτιο,sanduk
449,Fenster::N,παράθυρο,prozor
450,Tür::N,πόρτα,vrata
451,Tor::N,πύλη,vrata
452,Tor::N,πύλη,kapija
453,Zaun::N,φράχτης,plot
454,Zaun::N,φράχτης,ograda
455,Dach::N,στέγη,krov
456,Leiter::N,σκάλα,ljestve
457,Leiter::N,σκάλα,ljestvice
458,Leiter::N,κλίμακα,ljestve
459,Leiter::N,κλίμακα,ljestvice
460,Besen::N,σκούπα,metla
461,Spaten::N,φτυάρι,ašov
462,Schaufel::N,φτυάρι,lopata
463,Gabel::N,πιρούνι,viljuška
464,Löffel::N,κουτάλι,žlica
465,Messer::N,μαχαίρι,nož
466,Nagel::N,καρφί,čavao
467,Netz::N,δίχτυ,mreža
468,Haken::N,γάντζος,kuka
469,Haken::N,αγκίστρι,kuka
470,Griff::N,λαβή,držak
471,Griff::N,λαβή,ručica
472,Schloss::N,κλειδαριά,brava
473,Bild::N,εικόνα,slika
474,Figur::N,ανάστημα,figura
475,Puppe::N,κούκλα,lutka
476,Beutel::N,πουγγί,kesa
477,Bündel::N,δεμάτι,snop
478,Bündel::N,δεμάτι,svežanj
479,Tasche::N,τσάντα,torba
480,Tasche::N,τσάντα,taška
481,Eimer::N,κουβάς,kabao
482,Deckel::N,καπάκι,poklopac
483,Geschirr::N,σκεύη,suđe
484,Geschirr::N,σκεύη,posuđe
485,Sack::N,σάκος,džak
486,Sack::N,σάκος,vreća
487,Tasse::N,φλιτζάνι,šalica
488,Topf::N,χύτρα,lonac
489,Kessel::N,καζάνι,kazan
490,Essen::N,φαγητό,obrok
491,Nahrung::N,τροφή,hrana
492,Speise::N,φαγητό,jelo
493,Fleisch::N,κρέας,meso
494,Getreide::N,σιτάρι,žito
495,Getreide::N,σιτάρι,žitarice
496,Brei::N,χυλός,kaša
497,Brot::N,ψωμί,kruh
498,Brot::N,άρτος,kruh
499,Scheibe::N,φέτα,kriška
500,Fett::N,πάχος,mast
501,Fett::N,πάχος,salo
502,Butter::N,βούτυρο,buter
503,Butter::N,βούτυρο,maslac
504,Öl::N,λάδι,ulje
505,Salz::N,αλάτι,sol
506,Suppe::N,σούπα,supa
507,Honig::N,μέλι,med
508,Milch::N,γάλα,mlijeko
509,Tee::N,τσάι,čaj
510,Leder::N,πετσί,koža
511,Wolle::N,μαλλί,vuna
512,Stoff::N,ύφασμα,štof
513,Stoff::N,ύφασμα,tkanina
514,Nadel::N,βελόνα,igla
515,Faden::N,κλωστή,nit
516,Faden::N,κλωστή,konac
517,Knopf::N,κουμπί,dugme
518,Knoten::N,κόμπος,čvor
519,Knoten::N,κόμπος,uzao
520,Farbe::N,μπογιά,farba
521,Kleidung::N,ρούχα,odjeća
522,Kleidung::N,ενδυμασία,odjeća
523,Hemd::N,πουκάμισο,košulja
524,Kragen::N,κολάρο,ovratnik
525,Ärmel::N,μανίκι,rukav
526,Hose::N,πανταλόνι,hlače
527,Gürtel::N,ζώνη,pas
528,Gürtel::N,ζώνη,pojas
529,Mütze::N,σκούφος,kapa
530,Schuh::N,παπούτσι,cipela
531,Stiefel::N,μπότα,čizma
532,Ring::N,δαχτυλίδι,prsten
533,Band::N,κορδέλα,vrpca
534,Kamm::N,χτένα,češalj
535,Spiegel::N,καθρέφτης,zrcalo
536,Spiegel::N,καθρέφτης,ogledalo
537,Riemen::N,λουρί,kaiš
538,Riemen::N,λουρί,remen
539,Schnur::N,κορδόνι,vrpca
540,Leine::N,σχοινί,uzica
541,Decke::N,κουβέρτα,ćebe
542,Decke::N,κουβέρτα,pokrivač
543,Kissen::N,μαξιλάρι,jastuk
544,Tuch::N,πανί,rubac
545,Tuch::N,πανί,marama
546,Tuch::N,μαντήλι,rubac
547,Tuch::N,μαντήλι,marama
548,Handtuch::N,πετσέτα,ručnik
549,Kraft::N,δύναμη,snaga
550,Stärke::N,ισχύς,jakost
551,Stärke::N,δύναμη,jakost
552,Gesundheit::N,υγεία,zdravlje
553,Krankheit::N,αρρώστια,bolest
554,Schmerz::N,πόνος,bol
555,Wunde::N,πληγή,rana
556,Fieber::N,πυρετός,groznica
557,Arznei::N,φάρμακο,lijek
558,Brücke::N,γέφυρα,most
559,Brücke::N,γέφυρα,ćuprija
560,Brunnen::N,πηγάδι,bunar
561,Brunnen::N,πηγάδι,zdenac
562,Weide::N,βοσκή,paša
563,Weide::N,βοσκή,pašnjak
564,Pfad::N,μονοπάτι,staza
565,Weg::N,δρόμος,put
566,Straße::N,οδός,drum
567,Straße::N,οδός,cesta
568,Straße::N,δρόμος,drum
569,Straße::N,δρόμος,cesta
570,Dorf::N,χωριό,selo
571,Stadt::N,πόλη,grad
572,Stadt::N,πόλη,varoš
573,Brief::N,γράμμα,list
574,Brief::N,γράμμα,pismo
575,Brief::N,επιστολή,list
576,Brief::N,επιστολή,pismo
577,Buch::N,βιβλίο,knjiga
578,Buchstabe::N,γράμμα,slovo
579,Zeitung::N,εφημερίδα,novine
580,Leben::N,ζωή,život
581,Leben::N,βίος,život
582,Tod::N,θάνατος,smrt
583,Grab::N,τάφος,raka
584,Kirche::N,εκκλησία,crkva
585,Sünde::N,αμαρτία,grijeh
586,Gott::N,θεός,bog
587,Arbeiter::N,εργάτης,radnik
588,Chef::N,προϊστάμενος,šef
589,Meister::N,μάστορας,majstor
590,Meister::N,αρχιτεχνίτης,majstor
591,Arzt::N,γιατρός,liječnik
592,Lehrer::N,δάσκαλος,učitelj
593,Geld::N,λεφτά,novac
594,Geld::N,χρήματα,novac
595,Geschäft::N,συναλλαγή,posao
596,Geschäft::N,συναλλαγή,trgovina
597,Laden::N,μαγαζί,dućan
598,Laden::N,κατάστημα,dućan
599,Preis::N,τιμή,cijena
600,Ware::N,εμπόρευμα,roba
601,Nutzen::N,όφελος,korist
602,Reichtum::N,πλούτος,bogatstvo
603,Welt::N,κόσμος,svijet
604,Land::N,χώρα,zemlja
605,Staat::N,κράτος,država
606,Staat::N,πολιτεία,država
607,König::N,βασιλιάς,kralj
608,Macht::N,εξουσία,moć
609,Macht::N,εξουσία,vlast
610,Grenze::N,σύνορα,granica
611,Krieg::N,πόλεμος,rat
612,Feind::N,εχθρός,neprijatelj
613,Gewalt::N,βία,sila
614,Gewalt::N,βία,nasilje
615,Kampf::N,αγώνας,boj
616,Kampf::N,αγώνας,borba
617,Bogen[Waffe]::N,τόξο,luk
618,Pfeil::N,σαΐτα,strijela
619,Gewehr::N,τουφέκι,puška
620,Fehler::N,λάθος,pogreška
621,Fehler::N,λάθος,griješka
622,Fehler::N,σφάλμα,pogreška
623,Fehler::N,σφάλμα,griješka
624,Lüge::N,ψέμα,laž
625,Lüge::N,ψεύδος,laž
626,Schaden::N,ζημία,šteta
627,Unglück::N,δυστυχία,nesreća
628,Schuld::N,ενοχή,krivnja
629,Schuld::N,φταίξιμο,krivnja
630,Alter::N,ηλικία,dob
631,Schluss::N,τέλος,kraj
632,Schluss::N,τέλος,konac
633,Zeit::N,χρόνος,doba
634,Zeit::N,χρόνος,vrijeme
635,Tag::N,μέρα,dan
636,Tag::N,ημέρα,dan
637,Morgen::N,πρωί,jutro
638,Mittag::N,μεσημέρι,podne
639,Abend::N,βράδυ,veče
640,Abend::N,βράδυ,večer
641,Nacht::N,νύχτα,noć
642,Woche::N,εβδομάδα,sedmica
643,Monat::N,μήνας,mjesec
644,Jahr::N,έτος,godina
645,Jahr::N,χρόνος,godina
646,Frühling::N,άνοιξη,proljeće
647,Sommer::N,καλοκαίρι,ljeto
648,Herbst::N,φθινόπωρο,jesen
649,Winter::N,χειμώνας,zima
650,Januar::N,Ιανουάριος,januar
651,Januar::N,Ιανουάριος,siječanj
652,Februar::N,Φεβρουάριος,veljača
653,Februar::N,Φεβρουάριος,februar
654,März::N,Μάρτιος,mart
655,März::N,Μάρτιος,ožujak
656,April::N,Απρίλιος,april
657,April::N,Απρίλιος,travanj
658,Mai::N,Μάιος,maj
659,Mai::N,Μάιος,svibanj
660,Juni::N,Ιούνιος,juni
661,Juni::N,Ιούνιος,lipanj
662,Juli::N,Ιούλιος,juli
663,Juli::N,Ιούλιος,srpanj
664,August::N,Αύγουστος,august
665,August::N,Αύγουστος,kolovoz
666,September::N,Σεπτέμβριος,rujan
667,September::N,Σεπτέμβριος,septembar
668,Oktober::N,Οκτώβριος,oktobar
669,Oktober::N,Οκτώβριος,listopad
670,November::N,Νοέμβριος,studeni
671,November::N,Νοέμβριος,novembar
672,Dezember::N,Δεκέμβριος,prosinac
673,Montag::N,Δευτέρα,ponedjeljak
674,Montag::N,Δευτέρα,ponedjeljnik
675,Dienstag::N,Τρίτη,utorak
676,Dienstag::N,Τρίτη,utornik
677,Mittwoch::N,Τετάρτη,srijeda
678,Donnerstag::N,Πέμπτη,četvrtak
679,Freitag::N,Παρασκευή,petak
680,Samstag::N,Σάββατο,subota
681,Sonntag::N,Κυριακή,nedjelja
682,groß::A,μεγάλος,velik
683,klein::A,μικρός,mali
684,klein::A,μικρός,malen
685,lang::A,μακρύς,dug
686,lang::A,μακρύς,dugačak
687,kurz::A,κοντός,kratak
688,breit::A,φαρδύς,širok
689,schmal::A,στενός,uski
690,schmal::A,στενός,uzak
691,dicht::A,πυκνός,gust
692,dick[Gegenstand]::A,παχύς,debeo
693,dick[Gegenstand]::A,χοντρός,debeo
694,dünn::A,ψιλός,tanak
695,dünn::A,λεπτός,tanak
696,fein::A,ψιλός,fin
697,fein::A,ψιλός,tanak
698,fest::A,στερεός,čvrst
699,flach::A,επίπεδος,ravan
700,flach::A,επίπεδος,plosnat
701,glatt::A,λείος,gladak
702,glatt::A,ομαλός,gladak
703,hart::A,σκληρός,tvrd
704,weich::A,μαλακός,mek
705,weich::A,μαλακός,mekan
706,rund::A,στρογγυλός,okrugao
707,spitz::A,μυτερός,oštar
708,spitz::A,μυτερός,šiljast
709,scharf::A,κοφτερός,oštar
710,scharf::A,κοφτερός,bridak
711,stumpf::A,αμβλύς,tup
712,schwer::A,βαρύς,težak
713,schön::A,ωραίος,krasan
714,schön::A,όμορφος,krasan
715,heiß::A,ζεστός,vruć
716,warm::A,θερμός,topao
717,kalt::A,κρύος,hladan
718,kalt::A,ψυχρός,hladan
719,kühl::A,δροσερός,hladan
720,frisch::A,νωπός,svjež
721,frisch::A,φρέσκος,svjež
722,feucht::A,υγρός,vlažan
723,nass::A,βρεγμένος,mokar
724,trocken::A,ξηρός,suh
725,trocken::A,στεγνός,suh
726,voll::A,γεμάτος,pun
727,leer::A,άδειος,prazan
728,offen::A,ανοιχτός,otvoren
729,geschlossen::A,κλειστός,zatvoren
730,sauber::A,καθαρός,čist
731,schmutzig::A,βρώμικος,nečist
732,schmutzig::A,βρώμικος,blatan
733,schmutzig::A,λερωμένος,nečist
734,schmutzig::A,λερωμένος,blatan
735,roh::A,ωμός,sirov
736,reif::A,ώριμος,zreo
737,lecker::A,νόστιμος,tečan
738,lecker::A,νόστιμος,ukusan
739,süß::A,γλυκός,sladak
740,bitter::A,πικρός,gorak
741,sauer::A,ξινός,kiseo
742,hell::A,φωτεινός,vedar
743,hell::A,φωτεινός,svijetao
744,dunkel::A,σκοτεινός,taman
