,Concept_ID,xal,et
157,Schwein::N,һаха,siga
158,Hund::N,ноха,koer
159,Katze::N,мис,kass
160,Bär::N,аю,karu
161,Eichhörnchen::N,кермн,orav
162,Elch::N,хандһа,põder
163,Fuchs::N,арат,rebane
164,Hase::N,туула,jänes
165,Maus::N,хулһн,hiir
166,Wolf::N,чон,hunt
167,Vogel::N,шовун,lind
168,Schwarm::N,зел,parv
169,Huhn::N,така,kana
170,Hahn::N,эр така,kukk
171,Gans::N,һалун,hani
172,Adler::N,һәрд,kotkas
173,Ente::N,нуһсн,part
174,Eule::N,һурвлһ,kakk
175,Eule::N,һурвлһ,öökull
176,Kranich::N,тоһрун,kurg
177,Krähe::N,шаазһа,vares
178,Kuckuck::N,эргин хуцдг,kägu
179,Schwan::N,хун,luik
180,Fisch::N,заһсн,kala
181,Barsch::N,шүрг,ahven
182,Hecht::N,цурх,haug
183,Schlange[Tier]::N,моһа,uss
184,Wurm::N,өтн,uss
185,Wurm::N,өтн,vagel
186,Spinne::N,аралҗн,ämblik
187,Ameise::N,шорһлҗн,sipelgas
188,Laus::N,бөөсн,täi
189,Mücke::N,бөкүн,sääsk
190,Fliege::N,батхн,kärbes
191,Schmetterling::N,эрвәкә,liblikas
192,Beere::N,бөөлҗрһн,mari
193,Apfel::N,альмн,õun
194,Pilz::N,теңгрин ки,seen
195,Zwiebel::N,мәңгрснә толһа,sibul
196,Saat::N,буудян экн,seeme
197,Korn::N,экн,iva
198,Korn::N,экн,tera
199,Heu::N,өвсн,hein
200,Schale::N,хальсн,koor
201,Grube::N,нүкн,kaevand
202,Falle::N,урх,lõks
203,Falle::N,урх,püünis
204,Falle::N,хавх,lõks
205,Falle::N,хавх,püünis
206,Schlinge::N,бүтү,aas
207,Spur::N,мөр,jälg
208,Asche::N,үмсн,tuhk
209,Dreck::N,бальчг,saast
210,Dreck::N,бальчг,mustus
211,Eisen::N,төмр,raud
212,Gold::N,алтн,kuld
213,Silber::N,мөңгн,hõbe
214,Silber::N,цаһан мөңгн,hõbe
215,Kohle::N,нүүрсн,süsi
216,Glas::N,шил,klaas
217,Lehm::N,шавр,savi
218,Sand::N,элсн,liiv
219,Mensch::N,күн,inimene
220,Mensch::N,күмн,inimene
221,Mann::N,эр,mees
222,Frau::N,күүкд күн,naine
223,Kind::N,үрн,laps
224,Junge::N,көвүн,poiss
225,Mädchen::N,бичкн күүкн,tüdruk
226,Familie::N,бүл,perekond
227,Großvater::N,өвк эцк,vanaisa
228,Großvater::N,наһц эцк,vanaisa
229,Großmutter::N,эмг эк,vanaema
230,Großmutter::N,наһц эк,vanaema
231,Eltern::N,эк эцк хойр,vanemad
232,Vater::N,эцк,isa
233,Mutter::N,эк,ema
234,Sohn::N,көвүн,poeg
235,Tochter::N,күүкн,tütar
236,Bruder::N,дү көвүн,vend
237,Schwester::N,эгч,õde
238,Schwester::N,дү күүкн,õde
239,Onkel::N,авһ,onu
240,Onkel::N,наһцх,onu
241,Tante::N,наһц эгч,tädi
242,Ehemann::N,залу,mees
243,Ehemann::N,залу,abikaasa
244,Ehefrau::N,гергн,naine
245,Ehefrau::N,гергн,abikaasa
246,Freude::N,байр,rõõm
247,Gelächter::N,инәдн,naer
248,Glück::N,җирһл,õnn
249,Glück::N,сәәхн җирһл,õnn
250,Kummer::N,зовлң,mure
251,Kummer::N,зовлң,kurbus
252,Wunsch::N,дурн,soov
253,Lust::N,җилвтлһн,himu
254,Geist::N,зөрг,vaim
255,Gedanke::N,ухан,mõte
256,Gedächtnis::N,чееҗин тодлвр,mälu
257,Verstand::N,ухан,aru
258,Verstand::N,ухан,mõistus
259,Sinn::N,учр-утх,tähendus
260,Grund::N,учр,põhjus
261,Grund::N,шалтан,põhjus
262,Wahrheit::N,үнн,tõde
263,Gespräch::N,күүндвүр,kõne
264,Gespräch::N,күүндвүр,vestlus
265,Märchen::N,тууль,muinasjutt
266,Erzählung::N,келвр,jutustus
267,Nachricht::N,медүллһн,teade
268,Neuigkeit::N,зәңг,uudis
269,Name::N,нерн,nimi
270,Rätsel::N,тәәлвртә тууль,mõistatus
271,Rede::N,келлһн,kõne
272,Sprache::N,келн,keel
273,Stimme::N,дун,hääl
274,Wort::N,үг,sõna
275,Zeichen::N,темдг,märk
276,Ruf::N,дуудлһн,hüüe
277,Lärm::N,шууган,müra
278,Laut::N,ә,hääl
279,Ton::N,дун,toon
280,Lied::N,дун,laul
281,Ruhe::N,амулң,rahu
282,Ruhe::N,амулң,vaikus
283,Leute::N,әмтн,inimesed
284,Volk::N,улс,rahvas
285,Arbeit::N,көдлмш,töö
286,Gast::N,гиич,külaline
287,Geschenk::N,белг,kingitus
288,Spiel::N,наадн,mäng
289,Gesellschaft::N,олн,selts
290,Hilfe::N,нөкд,abi
291,Freund::N,иньг,sõber
292,Kamerad::N,үр,sõber
293,Angelegenheit::N,керг,asi
294,Anzahl::N,то,arv
295,Anzahl::N,то,hulk
296,Art::N,зүүл,liik
297,Stück::N,хусг,tükk
298,Teil::N,хүв,osa
299,Hälfte::N,өрәл,pool
300,Kreis::N,төгрг,ring
301,Kreuz::N,кирс,rist
302,Linie::N,зурасн,joon
303,Strich::N,татасн,joon
304,Abstand::N,зә,vahe
305,Entfernung::N,һазр,kaugus
306,Entfernung::N,һазр,vahemaa
307,Gegend::N,һазр,ümbrus
308,Platz::N,зә,ruum
309,Ort::N,бәәрн,paik
310,Seite::N,тал,pool
311,Seite::N,хаҗу,pool
312,Seite::N,хәврһ,pool
313,Mitte::N,дунд,keskpaik
314,Gegenstand::N,юмн,ese
315,Sache::N,юмн,ese
316,Rand::N,зах,äär
317,Rand::N,зах,serv
318,Kante::N,ирмәг,kant
319,Ecke::N,өнцг,nurk
320,Spitze::N,үзүр,teravik
321,Ende::N,үзүр,ots
322,Ende::N,үзүр,jupp
323,Loch::N,хаһрха,auk
324,Winkel::N,булң,nurk
325,Muster::N,намч,muster
326,Größe::N,кемҗән,suurus
327,Länge::N,ут,pikkus
328,Höhe::N,өндр,kõrgus
329,Gewicht::N,күнд,kaal
330,Gewicht::N,күнд,raskus
331,Gewicht::N,чиңнүр,kaal
332,Gewicht::N,чиңнүр,raskus
333,Menge::N,ик,arv
334,Menge::N,ик,hulk
335,Haufen::N,ова,hunnik
336,Reihe::N,зерг,rivi
337,Reihe::N,зерглән,rivi
338,Boot::N,оңһц,paat
339,Ruder::N,хәәв,aer
340,Schlitten::N,цан,saan
341,Ski::N,лыҗ,suusk
342,Lagerfeuer::N,костёр,lõke
343,Last::N,күнд,koorem
344,Gang::N,йовлһн,käik
345,Schritt::N,ишкм,samm
346,Norden::N,ар үзг,põhi
347,Süden::N,өмн,lõuna
348,Süden::N,өмн үзг,lõuna
349,Westen::N,барун,lääs
350,Westen::N,барун үзг,lääs
351,Osten::N,зүн,ida
352,Osten::N,зүн үзг,ida
353,Holz::N,модн,puu
354,Brett::N,харһа,saelaud
355,Platte::N,хавтха чолун,plaat
356,Stütze::N,тулг,tugi
357,Stange::N,уньн,latt
358,Stange::N,уньн,teivas
359,Stock::N,модн,kepp
360,Stab::N,шуург,varras
361,Rohr::N,турва,toru
362,Haus::N,гер,maja
363,Heim::N,гер-бул,kodu
364,Ofen::N,беш,ahi
365,Fußboden::N,девскр,põrand
366,Tisch::N,ширә,laud
367,Stuhl::N,стул,tool
368,Wiege::N,өлгә,häll
369,Wiege::N,өлгә,kätki
370,Wiege::N,дүүҗң,häll
371,Wiege::N,дүүҗң,kätki
372,Bett::N,орн,voodi
373,Bett::N,орндг,voodi
374,Regal::N,таг,riiul
375,Regal::N,тәвц,riiul
376,Kiste::N,яршг,kast
377,Fenster::N,терз,aken
378,Tür::N,үүдн,uks
379,Tor::N,үүдн,värav
380,Tor::N,өргн үүдн,värav
381,Tor::N,хашан үүдн,värav
382,Zaun::N,хаша,aed
383,Zaun::N,хаша,tara
384,Dach::N,деевр,katus
385,Leiter::N,шат,redel
386,Leiter::N,давшур,redel
387,Besen::N,сәвүр,luud
388,Spaten::N,күрз,labidas
389,Schaufel::N,совг,kühvel
390,Gabel::N,серә,kahvel
391,Löffel::N,ухр,lusikas
392,Messer::N,утх,nuga
393,Nagel::N,хадасн,nael
394,Netz::N,гөлм,võrk
395,Haken::N,дегә,haak
396,Haken::N,дегә,konks
397,Griff::N,иш,sang
398,Griff::N,иш,käepide
399,Griff::N,бәрүл,sang
400,Griff::N,бәрүл,käepide
401,Schloss::N,оньс,lukk
402,Bild::N,зург,pilt
403,Figur::N,фигур,kuju
404,Figur::N,фигур,kujund
405,Puppe::N,наадһа,nukk
406,Beutel::N,мишг,paun
407,Bündel::N,багла,kimp
408,Bündel::N,боодһа,kimp
409,Tasche::N,сумк,kott
410,Eimer::N,суулһ,pang
411,Eimer::N,суулһ,ämber
412,Deckel::N,бүркәсн,kaas
413,Geschirr::N,сав,nõud
414,Geschirr::N,сав-сарх,nõud
415,Sack::N,мишг,kott
416,Tasse::N,ааһ,tass
417,Topf::N,кастрюль,pada
418,Kessel::N,хәәсн,pada
419,Essen::N,зоогллһн,söök
420,Nahrung::N,теҗәл,toit
421,Speise::N,хот,roog
422,Fleisch::N,махн,liha
423,Getreide::N,хот болҗ эдлгддг цецгүдтә урһмл,teravili
424,Brei::N,хаш,puder
425,Brot::N,өдмг,sai
426,Brot::N,өдмг,leib
427,Scheibe::N,зүсм,viil
428,Scheibe::N,зүсм,viilukas
429,Fett::N,өөкн,rasv
430,Butter::N,тосн,või
431,Öl::N,тосн,õli
432,Salz::N,давсн,sool
433,Suppe::N,шөлн,supp
434,Honig::N,бал,mesi
435,Milch::N,үсн,piim
436,Tee::N,цә,tee
437,Leder::N,арсн,nahk
438,Wolle::N,утцн,vill
439,Wolle::N,эд,vill
440,Stoff::N,эд,kangas
441,Nadel::N,зүн,nõel
442,Faden::N,утцн,niit
443,Knopf::N,товч,nööp
444,Knoten::N,зәңгдә,sõlm
445,Farbe::N,будг,värv
446,Kleidung::N,хувцн,riided
447,Kleidung::N,хувцн,riietus
448,Kleidung::N,хувц-хунр,riided
449,Kleidung::N,хувц-хунр,riietus
450,Hemd::N,киилг,särk
451,Kragen::N,зах,krae
452,Ärmel::N,ханцн,varrukas
453,Hose::N,шалвур,püksid
454,Gürtel::N,бүс,vöö
455,Mütze::N,махла,müts
456,Schuh::N,башмгуд,king
457,Stiefel::N,һосн,saabas
458,Ring::N,билцг,sõrmus
459,Band::N,лент,lint
460,Kamm::N,сам,kamm
461,Spiegel::N,толь,peegel
462,Riemen::N,бүс,rihm
463,Schnur::N,деесн,nöör
464,Leine::N,бурнтг,jalutusrihm
465,Leine::N,нохан көтлвр,jalutusrihm
466,Decke::N,көнҗл,tekk
467,Kissen::N,дер,padi
468,Tuch::N,альчур,kalev
469,Handtuch::N,полотенц,käterätik
470,Handtuch::N,һар-нүүрин альчур,käterätik
471,Kraft::N,күчн,jõud
472,Stärke::N,чидл,tugevus
473,Gesundheit::N,эрүл-менд,tervis
474,Krankheit::N,өвчн,haigus
475,Schmerz::N,өвдлһн,valu
476,Wunde::N,шав,haav
477,Fieber::N,безг,palavik
478,Arznei::N,эм,ravim
479,Brücke::N,тагт,sild
480,Brunnen::N,худг,kaev
481,Weide::N,малын идг,karjamaa
482,Pfad::N,цувг,rada
483,Weg::N,хаалһ,tee
484,Straße::N,зам,tee
485,Dorf::N,хотн,küla
486,Stadt::N,балһсн,linn
487,Brief::N,бичг,kiri
488,Buch::N,дегтр,raamat
489,Buchstabe::N,үзг,täht
490,Zeitung::N,газет,ajaleht
491,Leben::N,җирһл,elu
492,Tod::N,үкл,surm
493,Tod::N,өңгрлһн,surm
494,Grab::N,оршалһна нүкн,haud
495,Kirche::N,чонҗ,kirik
496,Sünde::N,нүл,patt
497,Sünde::N,килнц,patt
498,Gott::N,бурхн,jumal
499,Arbeiter::N,көдлмшч,tööline
500,Chef::N,толһач,ülemus
501,Chef::N,толһач,juhataja
502,Meister::N,урн,meister
503,Arzt::N,эмч,arst
504,Lehrer::N,багш,õpetaja
505,Geld::N,мөңгн,raha
506,Geschäft::N,көдлмш,äri
507,Laden::N,лавк,pood
508,Laden::N,лавк,kauplus
509,Preis::N,үн,hind
510,Ware::N,эд-тавр,kaup
511,Nutzen::N,олз,tulu
512,Nutzen::N,олз,kasulikkus
513,Reichtum::N,зөөр,rikkus
514,Welt::N,орчлң,maailm
515,Welt::N,делкә,maailm
516,Land::N,орн-нутг,maa
517,Staat::N,государств,riik
518,König::N,хан,kuningas
519,Macht::N,йосн,võim
520,Grenze::N,меҗә,piir
521,Krieg::N,дән,sõda
522,Feind::N,дәәсн,vaenlane
523,Gewalt::N,күч һарһлһн,väevõim
524,Kampf::N,ноолдан,võitlus
525,Kampf::N,бәрлдлһн,võitlus
526,Bogen[Waffe]::N,саадг,vibu
527,Pfeil::N,сумн,nool
528,Gewehr::N,бу,püss
529,Fehler::N,алдг,viga
530,Lüge::N,худл,vale
531,Schaden::N,хорлт,kahju
532,Unglück::N,гүрм,häda
533,Unglück::N,гүрм,õnnetus
534,Schuld::N,гем,süü
535,Schuld::N,буру,süü
536,Alter::N,насн,iga
537,Schluss::N,чилгч,lõpp
538,Zeit::N,цаг,aeg
539,Tag::N,өдр,päev
540,Morgen::N,өрүн,hommik
541,Mittag::N,үд,lõuna
542,Mittag::N,үд,keskpäev
543,Abend::N,асхн,õhtu
544,Nacht::N,сө,öö
545,Woche::N,долан хонг,nädal
546,Monat::N,сар,kuu
547,Jahr::N,җил,aasta
548,Frühling::N,хавр,kevad
549,Sommer::N,зун,suvi
550,Herbst::N,намр,sügis
551,Winter::N,үвл,talv
552,Januar::N,январь,jaanuar
553,Februar::N,февраль,veebruar
554,März::N,март,märts
555,März::N,моһа сар,märts
556,April::N,апрель,aprill
557,Mai::N,май,mai
558,Juni::N,июнь,juuni
559,Juni::N,мөчн сар,juuni
560,Juli::N,июль,juuli
561,August::N,август,august
562,September::N,һаха сар,september
563,Oktober::N,октябрь,oktoober
564,November::N,ноябрь,november
565,November::N,үкр сар,november
566,Dezember::N,бар сар,detsember
567,Montag::N,понедельник,esmaspäev
568,Dienstag::N,вторник,teisipäev
569,Mittwoch::N,среда,kesknädal
570,Mittwoch::N,үлмҗ өдр,kesknädal
571,Donnerstag::N,четверг,neljapäev
572,Donnerstag::N,пүрвә өдр,neljapäev
573,Freitag::N,пятниц,reede
574,Samstag::N,суббот,laupäev
575,Sonntag::N,нарн өдр,pühapäev
576,Sonntag::N,воскресень,pühapäev
577,groß::A,ик,suur
578,klein::A,бичкн,väike
579,klein::A,бичкн,pisike
580,lang::A,ут,pikk
581,kurz::A,оһтр,lühike
582,breit::A,өргн,lai
583,schmal::A,уутьхн,kitsas
584,dicht::A,нигт,tihe
585,dick[Gegenstand]::A,зузан,jäme
586,dünn::A,нимгн,õhuke
587,dünn::A,нимгн,peenike
588,fein::A,нәрхн,peen
589,fein::A,нәрхн,õhuke
590,fest::A,бат,püsiv
591,fest::A,бат,kindel
592,flach::A,хавтха,lame
593,flach::A,хавтха,tasane
594,glatt::A,тегш,sile
595,glatt::A,тиньгр,sile
596,hart::A,хату,kõva
597,weich::A,җөөлн,pehme
598,weich::A,җөөлкн,pehme
599,rund::A,төгрг,ümar
600,spitz::A,шовһр,torkav
601,scharf::A,хурц,terav
602,stumpf::A,мука,nüri
603,schwer::A,күнд,raske
604,schön::A,сәәхн,kena
605,heiß::A,халун,kuum
606,heiß::A,халун,palav
607,warm::A,дулан,soe
608,kalt::A,киитн,külm
609,kühl::A,серүн,jahe
610,frisch::A,серүн,värske
611,feucht::A,чиигтә,niiske
612,nass::A,чиигтә,märg
613,trocken::A,хагсу,kuiv
614,voll::A,дүүрң,täis
615,leer::A,сул,tühi
616,leer::A,хоосн,tühi
617,offen::A,секәтә,avatud
618,offen::A,секәтә,lahtine
619,geschlossen::A,хаалһата,suletud
620,sauber::A,цевр,puhas
621,schmutzig::A,киртә,räpane
622,schmutzig::A,киртә,määrdunud
623,roh::A,түүкә,toores
624,reif::A,болсн,küps
625,lecker::A,әмтәхн,hõrk
626,lecker::A,әмтәхн,maitsev
627,süß::A,әмтәхн,magus
628,bitter::A,һашун,mõru
629,bitter::A,һашута,mõru
630,sauer::A,ишклң,hapu
631,hell::A,герлтә,hele
632,dunkel::A,харңһу,pime
633,schwarz::A,хар,must
634,weiß::A,цаһан,valge
635,rot::A,улан,punane
636,gelb::A,шар,kollane
637,blau::A,көк,sinine
638,grün::A,көк,roheline
639,grau::A,бор,hall
640,bunt::A,алг,kirju
641,bunt::A,алг,värviline
642,bunt::A,эрәтә,kirju
643,bunt::A,эрәтә,värviline
644,billig::A,кимд,odav
645,teuer::A,үнтә,kallis
646,wertvoll::A,үнтә,väärtuslik
647,wertvoll::A,эрднь,väärtuslik
648,blind::A,сохр,pime
649,taub::A,дүлә,kurt
650,kräftig::A,күчтә,jõuline
651,stark::A,чаңһ,tugev
652,schwach::A,күчн тату,nõrk
653,schwach::A,күчн тату,jõuetu
654,fett::A,тарһн,rasvane
655,schlank::A,эццн,sale
656,hübsch::A,көркхн,kena
657,böse::A,уурта,tige
658,dumm::A,тенг,juhm
659,dumm::A,тенг,rumal
660,faul::A,залху,laisk
661,fleißig::A,кинән,virk
662,fleißig::A,кинән,hoolas
663,fleißig::A,кинмһә,virk
664,fleißig::A,кинмһә,hoolas
665,geizig::A,ховдг,ihne
666,klug::A,ухата,tark
667,klug::A,ухата,arukas
668,klug::A,ухата,mõistlik
669,geschickt::A,чадмг,osav
670,lieb::A,эңкр,armas
671,lustig::A,сергмҗтә,lõbus
672,lustig::A,җирһлтә,lõbus
673,sanft::A,номһн,õrn
674,hungrig::A,өлн,näljane
675,hungrig::A,харһнсн,näljane
676,krank::A,өвчтә,haige
677,krank::A,шалтгта,haige
678,nackt::A,нүцкн,alasti
679,traurig::A,һундлта,kurb
680,lebendig::A,әмд,elus
681,gut::A,сән,hea
682,schlecht::A,му,halb
683,richtig::A,зөвтә,õige
684,schlimm::A,җигшүртә,paha
685,wahr::A,үнн,tõene
686,wahr::A,мөн,tõene
687,alt::A,хуучн,vana
688,neu::A,шин,uus
689,ehemalig::A,хуучн,endine
690,alt[Lebewesen]::A,көгшн,vana
691,jung::A,баһ,noor
692,arm::A,угатя,vaene
693,reich::A,байн,rikas
694,bekannt::A,таньл,teada
695,bekannt::A,таньл,tuttav
696,bekannt::A,таньдг,teada
697,bekannt::A,таньдг,tuttav
698,berühmt::A,туурсн,tuntud
699,fremd::A,күүнә,võõras
700,verschieden::A,әдл биш,erinev
701,verschieden::A,йилһәтә,erinev
702,nah::A,өөрхн,lähedane
703,fern::A,хол,kauge
704,linker::A,зүн,vasak
705,rechter::A,барун,parem
706,anderer::A,талдан,muu
707,anderer::A,талдан,teine
708,erster::A,негдгч,esimene
709,zweiter::A,хойрдгч,teine
710,dritter::A,һурвдгч,kolmas
711,letzter::A,отхн,viimane
712,allein::ADV,һанцарн,üksi
713,auf einmal::ADV,нег дәкҗ,korraga
714,auf einmal::ADV,нег дәкҗ,ühekorraga
715,zusammen::ADV,хамдан,koos
716,zusammen::ADV,хамдан,üheskoos
717,lange::ADV,удан,kaua
718,plötzlich::ADV,генткн,äkki
719,plötzlich::ADV,генткн,järsku
720,sofort::ADV,дарунь,kohe
721,später::ADV,сүүлд,hiljem
722,jetzt::ADV,ода,nüüd
723,heute::ADV,эндр,täna
724,morgen::ADV,маңһдур,homme
725,bald::ADV,дарунь,pea
726,bald::ADV,дарунь,varsti
727,dann::ADV,дәкәд,siis
728,gestern::ADV,өцклдүр,eile
729,einst::ADV,нег саамд,vanasti
730,damals::ADV,тиигхд,tookord
731,danach::ADV,тегәд,seejärel
732,vorher::ADV,урд,enne
733,zuerst::ADV,түрүләд,enne
734,zuerst::ADV,түрүләд,esmalt
735,einmal::ADV,нег дәкҗ,kord
736,einmal::ADV,нег дәкҗ,üks kord
737,manchmal::ADV,зәрмдән,mõnikord
738,oft::ADV,хара биш,tihti
739,oft::ADV,хара биш,sageli
740,oft::ADV,хатяр биш,tihti
741,oft::ADV,хатяр биш,sageli
742,oft::ADV,дару-дарунь,tihti
743,oft::ADV,дару-дарунь,sageli
744,immer::ADV,оньдинд,ikka
745,immer::ADV,оньдинд,alati
746,niemals::ADV,кезә чмгн биш,mitte kunagi
747,hier::ADV,энд,siin
748,hier::ADV,энүнд,siin
749,hierhin::ADV,нааран,siia
750,von hier::ADV,эндәс,siit
751,dort::ADV,тенд,seal
752,dorthin::ADV,тиигән,sinna
753,geradeaus::ADV,шуд,otse edasi
754,vorwärts::ADV,уралан,edasi
755,rückwärts::ADV,гедргән,tagurpidi
756,zurück::ADV,хәрү,tagasi
757,unten::ADV,дор,all
758,unten::ADV,дор,allpool
759,hinab::ADV,дор,alla
760,hinab::ADV,доракшан,alla
761,oben::ADV,деер,ülal
762,hinauf::ADV,өөдән,üles
763,hinauf::ADV,деер,üles
764,überall::ADV,альд болв чигн,kõikjal
765,nicht::ADV,эс,ei
766,nicht::ADV,эс,mitte
767,nicht::ADV,биш,ei
768,nicht::ADV,биш,mitte
769,nicht::ADV,бичә,ei
770,nicht::ADV,бичә,mitte
771,ein wenig::ADV,баахн,veidi
772,ein wenig::ADV,баахн,natuke
773,ein wenig::ADV,баахнар,veidi
774,ein wenig::ADV,баахнар,natuke
775,kaum::ADV,әрә,vaevalt
776,sehr::ADV,йир,väga
777,so::ADV,иигҗ,nii
778,noch::ADV,ода чигн,veel
779,nur::ADV,һанцхн,ainult
780,schon::ADV,одх,juba
781,wieder::ADV,бас,jälle
782,vergebens::ADV,киидән,asjata
783,vor::PRP,урд,ees
784,hinter::PRP,ца,taha
785,unter::PRP,дор,all
786,durch::PRP,ивт,läbi
787,durch::PRP,ивт,kaudu
788,durch::PRP,дундаһур,läbi
789,durch::PRP,дундаһур,kaudu
790,neben::PRP,хаҗуд,kõrval
791,zwischen::PRP,хоорнд,vahel
792,wegen::PRP,көлтә,tõttu
793,wegen::PRP,көлтә,pärast
794,wegen::PRP,деерәс,tõttu
795,wegen::PRP,деерәс,pärast
796,dies::PRN,эн,see
797,das::PRN,тер,see
798,alles::PRN,цуһар,kõik
799,ich::PRN,би,mina
800,du::PRN,чи,sina
801,er::PRN,тер,tema
802,wir::PRN,мадн,me
803,ihr::PRN,та,te
804,sie::PRN,тедн,nad
805,was::FPRN,юн,mis
