,Concept_ID,uk,sl
145,Ei::N,яйце,jájce
146,Nest::N,гніздо,gnézdo
147,Bau::N,лігво,brlòg
148,Tier::N,тварина,živál
149,Herde::N,стадо,čréda
150,Kuh::N,корова,kráva
151,Bulle::N,бик,bìk
152,Bulle::N,бугай,bìk
153,Pferd::N,кінь,kònj
154,Schaf::N,вівця,ôvca
155,Schwein::N,свиня,svínja
156,Hund::N,собака,pès
157,Katze::N,кішка,máčka
158,Bär::N,ведмідь,mêdved
159,Eichhörnchen::N,білка,véverica
160,Elch::N,лось,lós
161,Fuchs::N,лисиця,lisíca
162,Hase::N,заєць,zájec
163,Maus::N,миша,mìš
164,Wolf::N,вовк,vólk
165,Vogel::N,птах,ptìč
166,Vogel::N,птах,ptíca
167,Schwarm::N,зграя,játa
168,Huhn::N,курка,kokóš
169,Hahn::N,півень,petêlin
170,Gans::N,гуска,gós
171,Adler::N,орел,ôrel
172,Ente::N,качка,ráca
173,Eule::N,сова,sôva
174,Kranich::N,журавель,žerjàv
175,Krähe::N,ворона,vrána
176,Kuckuck::N,зозуля,kúkavica
177,Schwan::N,лебідь,labód
178,Fisch::N,риба,ríba
179,Barsch::N,окунь,ostríž
180,Hecht::N,щука,ščúka
181,Schlange[Tier]::N,змія,káča
182,Wurm::N,черв’як,čr̀v
183,Wurm::N,черв’як,glísta
184,Spinne::N,павук,pájek
185,Ameise::N,мурашка,mrávlja
186,Laus::N,воша,úš
187,Mücke::N,комар,komár
188,Fliege::N,муха,múha
189,Schmetterling::N,метелик,metúlj
190,Beere::N,ягода,jágoda
191,Apfel::N,яблуко,jábolko
192,Pilz::N,гриб,góba
193,Zwiebel::N,цибуля,čebúla
194,Saat::N,сім’я,séme
195,Korn::N,зерно,zŕno
196,Heu::N,сіно,senó
197,Schale::N,шкірка,lupína
198,Grube::N,яма,jáma
199,Falle::N,пастка,pást
200,Schlinge::N,петля,zánka
201,Schlinge::N,петля,pêtlja
202,Spur::N,слід,sléd
203,Asche::N,зола,pepél
204,Asche::N,попіл,pepél
205,Dreck::N,бруд,bláto
206,Eisen::N,залізо,želézo
207,Gold::N,золото,zlató
208,Silber::N,срібло,srebró
209,Kohle::N,вугілля,ógel
210,Glas::N,скло,stêklo
211,Lehm::N,глина,ílo
212,Sand::N,пісок,pések
213,Mensch::N,людина,člôvek
214,Mann::N,чоловік,móž
215,Mann::N,чоловік,môški
216,Frau::N,жінка,gospá
217,Frau::N,жінка,žénska
218,Kind::N,дитина,déte
219,Kind::N,дитина,otròk
220,Junge::N,хлопець,fànt
221,Junge::N,хлопець,déček
222,Mädchen::N,дівчина,deklè
223,Mädchen::N,дівчина,déklica
224,Familie::N,сім’я,družína
225,Familie::N,родина,družína
226,Großvater::N,дідусь,dèd
227,Großvater::N,дідусь,dédek
228,Großmutter::N,бабуся,bábica
229,Eltern::N,батьки,stárši
230,Vater::N,батько,ôče
231,Mutter::N,мати,máma
232,Sohn::N,син,sín
233,Tochter::N,дочка,hčí
234,Tochter::N,дочка,hčérka
235,Bruder::N,брат,bràt
236,Schwester::N,сестра,sêstra
237,Onkel::N,дядько,újec
238,Onkel::N,дядько,stríc
239,Tante::N,тітка,têta
240,Tante::N,тітка,strína
241,Ehemann::N,чоловік,móž
242,Ehemann::N,чоловік,sopróg
243,Ehefrau::N,жінка,žêna
244,Ehefrau::N,жінка,sopróga
245,Ehefrau::N,дружина,žêna
246,Ehefrau::N,дружина,sopróga
247,Freude::N,радощі,rádost
248,Freude::N,радощі,vesêlje
249,Gelächter::N,сміх,sméh
250,Gelächter::N,сміх,grohòt
251,Glück::N,щастя,sréča
252,Kummer::N,горе,gorjé
253,Wunsch::N,бажання,žêlja
254,Lust::N,бажання,poželênje
255,Geist::N,дух,dúša
256,Gedanke::N,думка,mísel
257,Gedächtnis::N,пам’ять,pámet
258,Verstand::N,розум,
259,Sinn::N,зміст,pomèn
260,Sinn::N,зміст,smísel
261,Sinn::N,значення,pomèn
262,Sinn::N,значення,smísel
263,Grund::N,причина,vzròk
264,Wahrheit::N,правда,resníca
265,Gespräch::N,розмова,pogóvor
266,Märchen::N,байка,právljica
267,Erzählung::N,повість,povést
268,Erzählung::N,оповідання,povést
269,Nachricht::N,повідомлення,sporočílo
270,Neuigkeit::N,новина,novóst
271,Name::N,ім’я,imé
272,Rätsel::N,загадка,ugánka
273,Rede::N,промова,góvor
274,Sprache::N,мова,jêzik
275,Stimme::N,голос,glás
276,Wort::N,слово,beséda
277,Zeichen::N,знак,znák
278,Ruf::N,оклик,klíc
279,Lärm::N,шум,hrúp
280,Lärm::N,шум,trúšč
281,Laut::N,звук,glás
282,Ton::N,тон,tón
283,Lied::N,пісня,pésem
284,Ruhe::N,спокій,pokòj
285,Leute::N,люди,ljudjé
286,Volk::N,народ,národ
287,Arbeit::N,робота,délo
288,Gast::N,гість,gòst
289,Geschenk::N,подарунок,darílo
290,Spiel::N,гра,ígra
291,Gesellschaft::N,товариство,drúžba
292,Hilfe::N,допомога,pomóč
293,Freund::N,друг,prijátelj
294,Freund::N,приятель,prijátelj
295,Kamerad::N,товариш,továriš
296,Angelegenheit::N,справа,zadéva
297,Anzahl::N,число,števílo
298,Art::N,рід,vŕsta
299,Stück::N,кусок,kós
300,Teil::N,частина,dél
301,Hälfte::N,половина,polovíca
302,Kreis::N,круг,króg
303,Kreis::N,круг,kolobár
304,Kreis::N,коло,króg
305,Kreis::N,коло,kolobár
306,Kreuz::N,хрест,kríž
307,Linie::N,лінія,próga
308,Strich::N,штрих,čŕta
309,Abstand::N,проміжок,preslédek
310,Entfernung::N,відстань,oddáljenost
311,Gegend::N,місцевість,kràj
312,Gegend::N,місцевість,dežêla
313,Platz::N,площа,prôstor
314,Ort::N,місце,mésto
315,Seite::N,сторона,bòk
316,Seite::N,сторона,strán
317,Mitte::N,середина,sredína
318,Gegenstand::N,предмет,prédmet
319,Sache::N,річ,réč
320,Sache::N,річ,stvár
321,Rand::N,край,kràj
322,Kante::N,ребро,rób
323,Ecke::N,ріг,vogál
324,Spitze::N,кінчик,óst
325,Ende::N,кінець,kônec
326,Loch::N,діра,lúknja
327,Winkel::N,куток,kót
328,Muster::N,узор,vzórec
329,Größe::N,розмір,veličína
330,Länge::N,довжина,dolžína
331,Höhe::N,висота,vršína
332,Gewicht::N,вага,téža
333,Menge::N,кількість,količína
334,Haufen::N,купа,kùp
335,Haufen::N,купа,kopíca
336,Reihe::N,ряд,níz
337,Reihe::N,ряд,vŕsta
338,Boot::N,човен,čóln
339,Ruder::N,весло,vêslo
340,Schlitten::N,сани,saní
341,Ski::N,лижа,smučí
342,Lagerfeuer::N,вогнище,táborni ôgenj
343,Last::N,тягар,tôvor
344,Last::N,вантаж,tôvor
345,Gang::N,хід,hòd
346,Schritt::N,крок,korák
347,Norden::N,північ,séver
348,Süden::N,південь,júg
349,Westen::N,захід,zapàd
350,Osten::N,схід,vzhòd
351,Holz::N,дрова,lés
352,Brett::N,дошка,deskà
353,Platte::N,плита,plôča
354,Stütze::N,підпірка,opóra
355,Stütze::N,підпірка,zaslómba
356,Stange::N,жердина,gréd
357,Stock::N,палиця,pálica
358,Stab::N,палиця,pálica
359,Rohr::N,труба,cév
360,Haus::N,дім,híša
361,Haus::N,хата,híša
362,Heim::N,житло,dóm
363,Ofen::N,піч,péč
364,Fußboden::N,підлога,pòd
365,Tisch::N,стіл,míza
366,Stuhl::N,стілець,stòl
367,Wiege::N,колиска,zíbel
368,Bett::N,ліжко,póstelja
369,Bett::N,постіль,póstelja
370,Regal::N,полиця,políca
371,Kiste::N,ящик,zabòj
372,Fenster::N,вікно,ôkno
373,Tür::N,двері,vráta
374,Tor::N,ворота,velíka vráta
375,Zaun::N,паркан,ográja
376,Zaun::N,огорожа,ográja
377,Dach::N,дах,stréha
378,Leiter::N,драбина,léstev
379,Besen::N,мітла,mêtla
380,Spaten::N,заступ,lopáta
381,Schaufel::N,совок,lopáta
382,Schaufel::N,лопата,lopáta
383,Gabel::N,виделка,vílice
384,Löffel::N,ложка,žlíca
385,Messer::N,ніж,nòž
386,Nagel::N,цвях,žebèlj
387,Netz::N,сіть,mréža
388,Haken::N,крюк,kljúka
389,Griff::N,ручка,ročáj
390,Griff::N,ручка,oprijèm
391,Griff::N,держак,ročáj
392,Griff::N,держак,oprijèm
393,Schloss::N,замок,ključávnica
394,Bild::N,картина,slíka
395,Figur::N,фігура,figúra
396,Figur::N,фігура,postáva
397,Puppe::N,лялька,lútka
398,Beutel::N,мішечок,môšnja
399,Beutel::N,торбинка,môšnja
400,Bündel::N,в’язка,cúla
401,Bündel::N,в’язка,svéženj
402,Tasche::N,сумка,tórba
403,Tasche::N,сумка,tobôlec
404,Eimer::N,відро,vêdro
405,Deckel::N,кришка,pokròv
406,Deckel::N,кришка,poklópec
407,Geschirr::N,посуд,posóda
408,Sack::N,мішок,vréča
409,Tasse::N,чашка,skodélica
410,Topf::N,горщик,lônec
411,Kessel::N,котел,kôtel
412,Essen::N,їжа,hrána
413,Nahrung::N,харч,živílo
414,Speise::N,страва,jéd
415,Fleisch::N,м’ясо,mesó
416,Getreide::N,хліб,žíto
417,Getreide::N,збіжжя,žíto
418,Brei::N,каша,káša
419,Brot::N,хліб,krùh
420,Scheibe::N,скибочка,réženj
421,Fett::N,жир,mást
422,Fett::N,жир,maščôba
423,Butter::N,масло,máslo
424,Öl::N,олія,ólje
425,Salz::N,сіль,sól
426,Suppe::N,суп,júha
427,Honig::N,мед,méd
428,Milch::N,молоко,mléko
429,Tee::N,чай,čáj
430,Leder::N,шкіра,úsnje
431,Wolle::N,шерсть,vólna
432,Stoff::N,тканина,blagó
433,Nadel::N,голка,ígla
434,Faden::N,нитка,nít
435,Knopf::N,ґудзик,gúmb
436,Knoten::N,вузол,vôzel
437,Farbe::N,фарба,bárva
438,Kleidung::N,одяг,obléka
439,Kleidung::N,убрання,obléka
440,Hemd::N,сорочка,srájca
441,Kragen::N,комір,ovrátnik
442,Ärmel::N,рукав,rokáv
443,Hose::N,брюки,hláče
444,Gürtel::N,пояс,pás
445,Mütze::N,шапка,kápa
446,Mütze::N,шапка,čépica
447,Schuh::N,ботинок,čévelj
448,Stiefel::N,чобіт,škórenj
449,Ring::N,кільце,pŕstan
450,Band::N,стрічка,trák
451,Kamm::N,гребінець,glavník
452,Spiegel::N,дзеркало,zrcálo
453,Spiegel::N,дзеркало,ogledálo
454,Riemen::N,ремінь,jêrmen
455,Schnur::N,вірьовка,vŕvca
456,Leine::N,шворка,konôpec
457,Decke::N,ковдра,odéja
458,Kissen::N,подушка,blazína
459,Tuch::N,хустка,pŕt
460,Tuch::N,хустка,rúta
461,Handtuch::N,рушник,brisáča
462,Kraft::N,сила,síla
463,Stärke::N,сила,jákost
464,Gesundheit::N,здоров’я,zdrávje
465,Krankheit::N,хвороба,bolézen
466,Schmerz::N,біль,ból
467,Schmerz::N,біль,bolečína
468,Wunde::N,рана,rána
469,Fieber::N,гарячка,vročína
470,Arznei::N,ліки,lék
471,Arznei::N,ліки,zdravílo
472,Brücke::N,міст,móst
473,Brunnen::N,колодязь,vodnják
474,Weide::N,пасовище,páša
475,Pfad::N,стежка,stezà
476,Weg::N,шлях,pót
477,Weg::N,дорога,pót
478,Straße::N,вулиця,césta
479,Dorf::N,село,vás
480,Stadt::N,місто,mésto
481,Brief::N,лист,písmo
482,Buch::N,книга,knjíga
483,Buch::N,книжка,knjíga
484,Buchstabe::N,буква,čŕka
485,Buchstabe::N,літера,čŕka
486,Zeitung::N,газета,čásnik
487,Leben::N,життя,življênje
488,Tod::N,смерть,smŕt
489,Grab::N,могила,gròb
490,Kirche::N,церква,cérkev
491,Sünde::N,гріх,gréh
492,Gott::N,бог,bóg
493,Arbeiter::N,робітник,délavec
494,Chef::N,хазяїн,šéf
495,Meister::N,умілець,mójster
496,Arzt::N,лікар,zdravník
497,Lehrer::N,вчитель,učítelj
498,Geld::N,гроші,denár
499,Geschäft::N,заняття,kupčíja
500,Laden::N,магазин,trgovína
501,Laden::N,крамниця,trgovína
502,Preis::N,ціна,céna
503,Ware::N,товар,róba
504,Nutzen::N,вигода,príd
505,Nutzen::N,користь,príd
506,Reichtum::N,багатство,bogástvo
507,Welt::N,світ,svét
508,Land::N,країна,dežêla
509,Staat::N,держава,držáva
510,König::N,король,králj
511,Macht::N,влада,oblást
512,Grenze::N,кордон,mêja
513,Krieg::N,війна,vôjna
514,Feind::N,ворог,sovrážnik
515,Gewalt::N,насильство,nasílje
516,Kampf::N,бій,bòj
517,Kampf::N,бій,bórba
518,Kampf::N,боротьба,bòj
519,Kampf::N,боротьба,bórba
520,Bogen[Waffe]::N,лук,lók
521,Pfeil::N,стріла,puščíca
522,Gewehr::N,рушниця,púška
523,Gewehr::N,гвинтівка,púška
524,Fehler::N,помилка,zmóta
525,Lüge::N,брехня,láž
526,Schaden::N,шкода,okvára
527,Schaden::N,збиток,okvára
528,Unglück::N,нещастя,nesréča
529,Schuld::N,провина,krívda
530,Alter::N,вік,dôba
531,Alter::N,літа,dôba
532,Schluss::N,кінець,kônec
533,Zeit::N,час,čàs
534,Tag::N,день,dán
535,Morgen::N,ранок,jútro
536,Mittag::N,південь,póldan
537,Abend::N,вечір,večér
538,Nacht::N,ніч,nóč
539,Woche::N,тиждень,téden
540,Monat::N,місяць,mésec
541,Jahr::N,рік,léto
542,Frühling::N,весна,pomlád
543,Sommer::N,літо,polétje
544,Herbst::N,осінь,jesén
545,Winter::N,зима,zíma
546,Januar::N,січень,jánuar
547,Februar::N,лютий,fébruar
548,März::N,березень,márec
549,April::N,квітень,apríl
550,Mai::N,травень,máj
551,Juni::N,червень,júnij
552,Juli::N,липень,júlij
553,August::N,серпень,avgúst
554,September::N,вересень,septêmber
555,Oktober::N,жовтень,október
556,November::N,листопад,novêmber
557,Dezember::N,грудень,decémber
558,Montag::N,понеділок,ponedéljek
559,Dienstag::N,вівторок,tôrek
560,Mittwoch::N,середа,sréda
561,Donnerstag::N,четвер,četŕtek
562,Freitag::N,п’ятниця,pétek
563,Samstag::N,субота,sobóta
564,Sonntag::N,неділя,nedélja
565,groß::A,великий,vêlik
566,klein::A,малий,májhen
567,klein::A,маленький,májhen
568,lang::A,довгий,dólg
569,kurz::A,короткий,krátek
570,breit::A,широкий,širòk
571,schmal::A,вузький,ózek
572,dicht::A,густий,góst
573,dick[Gegenstand]::A,товстий,dêbel
574,dünn::A,тонкий,tánek
575,fein::A,дрібний,drôben
576,fest::A,міцний,tŕden
577,flach::A,плоский,plán
578,flach::A,плоский,plòsk
579,glatt::A,рівний,gládek
580,glatt::A,гладенький,gládek
581,hart::A,твердий,tŕd
582,weich::A,м’який,mehák
583,rund::A,круглий,okrógel
584,spitz::A,гострокінцевий,šílast
585,scharf::A,гострий,óster
586,stumpf::A,тупий,tóp
587,stumpf::A,тупий,skŕhan
588,schwer::A,важкий,têžek
589,schön::A,вродливий,lép
590,schön::A,вродливий,krásen
591,heiß::A,жаркий,vròč
592,heiß::A,гарячий,vròč
593,warm::A,теплий,tôpel
594,kalt::A,холодний,mŕzel
595,kalt::A,холодний,hláden
596,kühl::A,прохолодний,hláden
597,frisch::A,свіжий,svéž
598,feucht::A,вогкий,vlážen
599,nass::A,мокрий,móker
600,trocken::A,сухий,súh
601,voll::A,повний,póln
602,leer::A,пустий,prázen
603,offen::A,відкритий,odpŕt
604,geschlossen::A,закритий,zapŕt
605,geschlossen::A,зачинений,zapŕt
606,sauber::A,чистий,číst
607,sauber::A,чистий,líčen
608,sauber::A,охайний,číst
609,sauber::A,охайний,líčen
610,schmutzig::A,брудний,umázan
611,roh::A,сирий,suròv
612,reif::A,зрілий,zrèl
613,lecker::A,смачний,okúsen
614,süß::A,солодкий,sládek
615,bitter::A,гіркий,grenák
616,sauer::A,кислий,kísel
617,hell::A,світлий,svetèl
618,dunkel::A,темний,temèn
619,schwarz::A,чорний,čŕn
620,weiß::A,сивий,bél
621,rot::A,червоний,rdèč
622,gelb::A,жовтий,žólt
623,gelb::A,жовтий,rumèn
624,blau::A,синій,móder
625,grün::A,зелений,zelèn
626,grau::A,сірий,sív
627,bunt::A,барвистий,písan
628,billig::A,дешевий,pocéni
629,teuer::A,дорогий,drág
630,wertvoll::A,цінний,dragocén
631,blind::A,сліпий,slép
632,taub::A,глухий,glúh
633,kräftig::A,могутній,močán
634,stark::A,сильний,ják
635,schwach::A,слабкий,šíbek
636,fett::A,жирний,dêbel
637,fett::A,товстий,dêbel
638,schlank::A,тонкий,vítek
639,schlank::A,стрункий,vítek
640,hübsch::A,чарівний,lép
641,böse::A,злий,zèl
642,böse::A,злий,hudôben
643,böse::A,лихий,zèl
644,böse::A,лихий,hudôben
645,dumm::A,дурний,glúp
646,dumm::A,дурний,bédast
647,faul::A,ледачий,lén
648,fleißig::A,старанний,marljív
649,geizig::A,скупий,škŕt
650,klug::A,мудрий,pámeten
651,klug::A,розумний,pámeten
652,geschickt::A,умілий,spréten
653,lieb::A,милий,míl
654,lieb::A,милий,ljúb
655,lustig::A,веселий,vesél
656,sanft::A,лагідний,láhek
657,hungrig::A,голодний,láčen
658,krank::A,слабий,bolán
659,nackt::A,голий,nág
660,traurig::A,сумний,túžen
661,lebendig::A,живий,žív
662,gut::A,добрий,dóber
663,schlecht::A,поганий,malopríden
664,schlecht::A,кепський,malopríden
665,richtig::A,правильний,pravílen
666,schlimm::A,бридкий,húd
667,wahr::A,справжній,resníčen
668,alt::A,старий,stàr
669,neu::A,новий,nòv
670,ehemalig::A,колишній,nekdánji
671,alt[Lebewesen]::A,старий,stàr
672,jung::A,молодий,mlád
673,arm::A,бідний,ubóg
674,arm::A,бідний,réven
675,reich::A,багатий,bogàt
676,bekannt::A,знайомий,znán
677,berühmt::A,славетний,sláven
678,berühmt::A,славетний,znamenít
679,fremd::A,чужий,túj
680,verschieden::A,різний,razlíčen
681,nah::A,близький,blížnji
682,fern::A,далекий,dáleč
683,linker::A,лівий,lévi
684,rechter::A,правий,désni
685,anderer::A,інакший,drúgi
686,erster::A,перший,pŕvi
687,zweiter::A,другий,drúgi
688,dritter::A,третій,trétji
689,letzter::A,останній,poslédnji
690,allein::ADV,сам,sám
691,allein::ADV,один,sám
692,auf einmal::ADV,відразу,obênem
693,zusammen::ADV,разом,skúpaj
694,zusammen::ADV,спільно,skúpaj
695,lange::ADV,довго,dólgo
696,plötzlich::ADV,раптом,náglo
697,plötzlich::ADV,раптом,nenádoma
698,sofort::ADV,зараз,prècej
699,später::ADV,пізніше,poznêje
700,jetzt::ADV,тепер,zdàj
701,heute::ADV,сьогодні,dánes
702,morgen::ADV,завтра,jútri
703,bald::ADV,незабаром,kmálu
704,dann::ADV,потім,nató
705,gestern::ADV,вчора,včéraj
706,einst::ADV,колись,nékdaj
707,damals::ADV,тоді,tedàj
708,damals::ADV,тоді,takràt
709,danach::ADV,згодом,potèm
710,vorher::ADV,раніше,poprèj
711,zuerst::ADV,спершу,spŕva
712,zuerst::ADV,спочатку,spŕva
713,einmal::ADV,один раз,ênkrat
714,manchmal::ADV,іноді,včásih
715,manchmal::ADV,інколи,včásih
716,oft::ADV,часто,pogósto
717,immer::ADV,завжди,védno
718,immer::ADV,завжди,zméraj
719,niemals::ADV,ніколи,nikdàr
720,hier::ADV,тут,tù
721,hier::ADV,тут,túkaj
722,hierhin::ADV,сюди,sèmkaj
723,von hier::ADV,звідси,od tú
724,dort::ADV,там,tàm
725,dorthin::ADV,туди,tjà
726,geradeaus::ADV,прямо,rávno napréj
727,vorwärts::ADV,вперед,napréj
728,rückwärts::ADV,назад,zádaj
729,zurück::ADV,назад,nazáj
730,unten::ADV,внизу,dôli
731,unten::ADV,внизу,spôdaj
732,hinab::ADV,вниз,dôl
733,oben::ADV,вгорі,gôri
734,oben::ADV,вгорі,zgôraj
735,hinauf::ADV,вгору,gôr
736,überall::ADV,скрізь,povsód
737,nicht::ADV,не,ne
738,ein wenig::ADV,трохи,málo
739,ein wenig::ADV,небагато,málo
740,kaum::ADV,ледве,kómaj
741,sehr::ADV,дуже,zeló
742,so::ADV,так,takó
743,noch::ADV,ще,še
744,nur::ADV,лише,samó
745,nur::ADV,тільки,samó
746,schon::ADV,вже,žè
747,wieder::ADV,знову,spét
748,vergebens::ADV,дарма,zamàn
749,vergebens::ADV,дарма,zastónj
750,vor::PRP,перед,pred
751,hinter::PRP,ззаду,za
752,hinter::PRP,позаду,za
753,unter::PRP,під,pod
754,durch::PRP,крізь,skózi
755,neben::PRP,біля,kràj
756,neben::PRP,біля,póleg
757,zwischen::PRP,між,med
758,zwischen::PRP,між,izmed
759,wegen::PRP,з-за,zarádi
760,wegen::PRP,через,zarádi
761,dies::PRN,це,tó
762,das::PRN,то,tó
763,alles::PRN,все,vsè
764,ich::PRN,я,jàz
765,du::PRN,ти,tí
766,er::PRN,він,òn
767,wir::PRN,ми,mí
768,ihr::PRN,ви,ví
769,sie::PRN,вони,ôni
770,was::FPRN,що,káj
771,wer::FPRN,хто,kdó
772,wo::FADV,де,kjé
773,wohin::FADV,куди,kám
774,wie::FADV,як,kakó
775,warum::FADV,чому,zakáj
776,wieviel::FNUM,скільки,kóliko
777,eins::NUM,один,êden
778,zwei::NUM,два,dvá
779,drei::NUM,три,trí
780,vier::NUM,чотири,štíri
781,fünf::NUM,п’ять,pét
782,sechs::NUM,шість,šést
783,sieben::NUM,сім,sédem
784,acht::NUM,вісім,ósem
785,neun::NUM,дев’ять,devét
786,zehn::NUM,десять,desét
787,elf::NUM,одинадцять,enájst
788,zwölf::NUM,дванадцять,dvánajst
789,zwanzig::NUM,двадцять,dvájset
790,dreißig::NUM,тридцять,trídeset
791,vierzig::NUM,сорок,štírideset
792,fünfzig::NUM,п’ятдесят,pétdeset
793,sechzig::NUM,шістдесят,šéstdeset
794,siebzig::NUM,сімдесят,sédemdeset
795,achtzig::NUM,вісімдесят,ósemdeset
796,neunzig::NUM,дев’яносто,devétdeset
797,hundert::NUM,сто,stó
798,tausend::NUM,тисяча,tísoč
799,und::CNJ,і,in
800,oder::CNJ,або,áli
801,stehen::V,стояти,státi
802,sitzen::V,сидіти,sedéti
803,liegen::V,лежати,ležáti
804,hängen::V,висіти,viséti
805,werden::V,стати,postáti
806,werden::V,робитися,postáti
807,passieren::V,трапитися,zgodíti se
808,beginnen::V,початися,začéti se
809,enden::V,кінчитися,končáti se
810,wechseln::V,мінятися,ménjati se
811,aufgehen[Sonne]::V,зійти,vzíti
812,untergehen[Sonne]::V,зайти,zaíti
813,scheinen[Sonne]::V,світити,sijáti
814,donnern::V,гриміти,grméti
815,wehen::V,віяти,píhati
816,strömen::V,литися,líti
817,fließen::V,текти,têči
818,sich drehen::V,обертатися,vrtéti se
819,schwanken::V,коливатися,kolébati
820,schwingen::V,хитатися,níhati
821,schwingen::V,гойдатися,níhati
822,fallen::V,падати,pádati
823,brennen::V,горіти,goréti
824,rauchen::V,диміти,kadíti se
