,Concept_ID,cv,sl
70,Boden::N,тӑпра,tlà
71,Erde::N,ҫӗр,pŕst
72,Erde::N,ҫӗр,zêmlja
73,Staub::N,тусан,práh
74,Rauch::N,тӗтӗм,dìm
75,Funke::N,хӗм,ískra
76,Feuer::N,вут,ôgenj
77,Feuer::N,ҫулӑм,ôgenj
78,Licht::N,ҫутӑ,lúč
79,Schatten::N,сулхӑн,sénca
80,Wetter::N,ҫанталӑк,vrême
81,Nebel::N,тӗтре,meglà
82,Wolke::N,пӗлӗт,oblák
83,Regen::N,ҫумӑр,dèž
84,Schnee::N,юр,snég
85,Eis::N,пӑр,léd
86,Frost::N,сивӗ,zmrzál
87,Kälte::N,сивӗ,mràz
88,Hitze::N,вӗри,pripéka
89,Hitze::N,шӑрӑх,pripéka
90,Raureif::N,пас,ívje
91,Raureif::N,пас,slána
92,Regenbogen::N,асамат кӗперӗ,mávrica
93,Donner::N,аслати,gròm
94,Strömung::N,юхӑ,strúja
95,Tropfen::N,тумлам,káplja
96,Schaum::N,кӑпӑк,péna
97,Schmutz::N,пылчӑк,nesnága
98,See::N,кӳлӗ,jézero
99,Sumpf::N,шур,močvírje
100,Sumpf::N,шурлӑх,močvírje
101,Moor::N,торфлӑ шурлӑх,bárje
102,Wiese::N,улӑх,trávnik
103,Wiese::N,ҫаран,trávnik
104,Wald::N,вӑрман,lés
105,Wald::N,вӑрман,gòzd
106,Hügel::N,сӑрт,brég
107,Hügel::N,сӑрт,goríca
108,Hügel::N,тӗмеске,brég
109,Hügel::N,тӗмеске,goríca
110,Anhöhe::N,сӑрт,gríč
111,Anhöhe::N,сӑрт,višína
112,Berg::N,ту,gôra
113,Berg::N,ту,planína
114,Gipfel::N,тӳпе,vŕh
115,Höhle::N,ҫӗр хӑвӑлӗ,jáma
116,Höhle::N,ҫӗр хӑвӑлӗ,votlína
117,Abhang::N,тӑвайкки,pobóčje
118,Quelle::N,ҫӑл куҫ,izvír
119,Bach::N,пӗчӗк шыв,pôtok
120,Fluss::N,юхан шыв,réka
121,Ufer::N,ҫыран,brég
122,Küste::N,тинӗс ҫыранӗ,obála
123,Küste::N,тинӗс ҫыранӗ,obréžje
124,Festland::N,тип ҫӗр,celína
125,Festland::N,тип ҫӗр,kopnína
126,Meer::N,тинӗс,mórje
127,Bucht::N,тинӗс кукӑрӗ,zalív
128,Insel::N,утрав,ôtok
129,Blume::N,чечек,cvetlíca
130,Gras::N,курӑк,tráva
131,Wurzel::N,тымар,korenína
132,Baum::N,йывӑҫ,drevó
133,Stamm::N,вулӑ,dêblo
134,Rinde::N,хуйӑр,lúbje
135,Rinde::N,хуйӑр,skórja
136,Ast::N,турат,véja
137,Zweig::N,турат,véja
138,Blatt::N,ҫулҫӑ,líst
139,Birke::N,хурӑн,bréza
140,Kiefer[Baum]::N,хыр,bòr
141,Weide[Baum]::N,хӑва,vŕba
142,Tanne::N,чӑрӑш,hója
143,Horn::N,мӑйрака,róg
144,Feder::N,тӗк,peró
145,Fell::N,ҫӑм,kŕzno
146,Flügel::N,ҫунат,krílo
147,Klaue::N,чӗрне,párkelj
148,Kralle::N,ура,krémpelj
149,Schwanz::N,хӳре,rèp
150,Ei::N,ҫӑмарта,jájce
151,Nest::N,йӑва,gnézdo
152,Bau::N,йӗнӗ,brlòg
153,Tier::N,выльӑх,živál
154,Herde::N,кӗтӳ,čréda
155,Kuh::N,ӗне,kráva
156,Bulle::N,вӑкӑр,bìk
157,Pferd::N,лаша,kònj
158,Schaf::N,сурӑх,ôvca
159,Schwein::N,сысна,svínja
160,Hund::N,йытӑ,pès
161,Katze::N,кушак,máčka
162,Bär::N,упа,mêdved
163,Eichhörnchen::N,пакша,véverica
164,Elch::N,пӑши,lós
165,Fuchs::N,тилӗ,lisíca
166,Hase::N,куян,zájec
167,Hase::N,мулкач,zájec
168,Maus::N,шӑши,mìš
169,Wolf::N,кашкӑр,vólk
170,Vogel::N,кайӑк,ptìč
171,Vogel::N,кайӑк,ptíca
172,Vogel::N,вӗҫен кайӑк,ptìč
173,Vogel::N,вӗҫен кайӑк,ptíca
174,Schwarm::N,ушкӑн,játa
175,Huhn::N,чӑх,kokóš
176,Huhn::N,чӑхӑ,kokóš
177,Hahn::N,автан,petêlin
178,Gans::N,хур,gós
179,Adler::N,ӑмӑрт кайӑк,ôrel
180,Ente::N,кӑвакал,ráca
181,Eule::N,тӑмана,sôva
182,Kranich::N,тӑрна,žerjàv
183,Krähe::N,ула курак,vrána
184,Kuckuck::N,куккук,kúkavica
185,Schwan::N,акӑш,labód
186,Fisch::N,пулӑ,ríba
187,Barsch::N,уланкӑ,ostríž
188,Hecht::N,ҫӑрттан,ščúka
189,Schlange[Tier]::N,ҫӗлен,káča
190,Wurm::N,ӑман,čr̀v
191,Wurm::N,ӑман,glísta
192,Spinne::N,эрешмен,pájek
193,Ameise::N,кӑткӑ,mrávlja
194,Laus::N,пыйтӑ,úš
195,Mücke::N,вӑрӑм туна,komár
196,Fliege::N,шӑна,múha
197,Schmetterling::N,лӗпӗш,metúlj
198,Beere::N,ҫырла,jágoda
199,Apfel::N,улма,jábolko
200,Apfel::N,пан улми,jábolko
201,Pilz::N,кӑмпа,góba
202,Zwiebel::N,сухан,čebúla
203,Saat::N,вӑрӑ,séme
204,Korn::N,тӗшӗ,zŕno
205,Korn::N,пӗрчӗ,zŕno
206,Heu::N,утӑ,senó
207,Schale::N,хупӑ,lupína
208,Grube::N,шӑтӑк,jáma
209,Falle::N,тапӑ,pást
210,Falle::N,капкӑн,pást
211,Schlinge::N,йӑлӑ,zánka
212,Schlinge::N,йӑлӑ,pêtlja
213,Spur::N,йӗр,sléd
214,Asche::N,кӗл,pepél
215,Dreck::N,пылчӑк,bláto
216,Eisen::N,тимӗр,želézo
217,Gold::N,ылтӑн,zlató
218,Silber::N,кӗмӗл,srebró
219,Kohle::N,кӑмрӑк,ógel
220,Glas::N,кӗленче,stêklo
221,Lehm::N,тӑм,ílo
222,Sand::N,хӑйӑр,pések
223,Mensch::N,ҫын,člôvek
224,Mensch::N,этем,člôvek
225,Mann::N,ар,móž
226,Mann::N,ар,môški
227,Frau::N,хӗрарӑм,gospá
228,Frau::N,хӗрарӑм,žénska
229,Kind::N,ача,déte
230,Kind::N,ача,otròk
231,Junge::N,ача,fànt
232,Junge::N,ача,déček
233,Junge::N,ар ҫын ача,fànt
234,Junge::N,ар ҫын ача,déček
235,Mädchen::N,хӗр ача,deklè
236,Mädchen::N,хӗр ача,déklica
237,Familie::N,ҫемье,družína
238,Familie::N,кил-йыш,družína
239,Großvater::N,кукаҫи,dèd
240,Großvater::N,кукаҫи,dédek
241,Großmutter::N,кукамай,bábica
242,Eltern::N,аҫа-ама,stárši
243,Vater::N,атте,ôče
244,Mutter::N,анне,máma
245,Sohn::N,ывӑл,sín
246,Tochter::N,хӗр,hčí
247,Tochter::N,хӗр,hčérka
248,Bruder::N,ар тӑван,bràt
249,Schwester::N,аппа,sêstra
250,Schwester::N,йӑмӑк,sêstra
251,Onkel::N,мучи,újec
252,Onkel::N,мучи,stríc
253,Onkel::N,пичче,újec
254,Onkel::N,пичче,stríc
255,Tante::N,аппа,têta
256,Tante::N,аппа,strína
257,Ehemann::N,упӑшка,móž
258,Ehemann::N,упӑшка,sopróg
259,Ehefrau::N,арӑм,žêna
260,Ehefrau::N,арӑм,sopróga
261,Freude::N,савӑнӑҫ,rádost
262,Freude::N,савӑнӑҫ,vesêlje
263,Freude::N,хаваслӑх,rádost
264,Freude::N,хаваслӑх,vesêlje
265,Gelächter::N,кулӑ,sméh
266,Gelächter::N,кулӑ,grohòt
267,Glück::N,телей,sréča
268,Glück::N,ӑраскал,sréča
269,Kummer::N,хурлӑх,gorjé
270,Wunsch::N,ӗмӗт,žêlja
271,Wunsch::N,кӑмӑл,žêlja
272,Lust::N,кӑмӑл,poželênje
273,Geist::N,чун-чӗм,dúša
274,Geist::N,ыр-усал,dúša
275,Geist::N,чун хавалӗ,dúša
276,Gedanke::N,шухӑш,mísel
277,Gedächtnis::N,ас,pámet
278,Verstand::N,ӑс,
279,Verstand::N,ӑс-тӑн,
280,Verstand::N,ӑс-хакӑл,
281,Sinn::N,тупсӑм,pomèn
282,Sinn::N,тупсӑм,smísel
283,Sinn::N,пӗлтерӗш,pomèn
284,Sinn::N,пӗлтерӗш,smísel
285,Grund::N,сӑлтав,vzròk
286,Wahrheit::N,чӑнлӑх,resníca
287,Gespräch::N,калаҫу,pogóvor
288,Märchen::N,юмах,právljica
289,Erzählung::N,акалав,povést
290,Erzählung::N,каласа пани,povést
291,Nachricht::N,хыпар,sporočílo
292,Neuigkeit::N,ҫӗнӗ хыпар,novóst
293,Name::N,ят,imé
294,Rätsel::N,сутмалли юмах,ugánka
295,Rede::N,сӑмах,góvor
296,Sprache::N,чӗлхе,jêzik
297,Stimme::N,сасӑ,glás
298,Wort::N,сӑмах,beséda
299,Zeichen::N,паллӑ,znák
300,Ruf::N,йыхрав,klíc
301,Ruf::N,чӗнӳ,klíc
302,Lärm::N,шав,hrúp
303,Lärm::N,шав,trúšč
304,Laut::N,сасӑ,glás
305,Ton::N,сасӑ,tón
306,Lied::N,юрӑ,pésem
307,Ruhe::N,канӑҫлӑх,pokòj
308,Ruhe::N,лӑпкӑлӑх,pokòj
309,Leute::N,ҫамрӑксем,ljudjé
310,Leute::N,ҫамрӑк ҫынсем,ljudjé
311,Volk::N,халӑх,národ
312,Arbeit::N,ӗҫхӗл,délo
313,Arbeit::N,ӗҫлев,délo
314,Gast::N,хӑна,gòst
315,Geschenk::N,парне,darílo
316,Geschenk::N,кучченеҫ,darílo
317,Spiel::N,вӑйӑ,ígra
318,Gesellschaft::N,общество,drúžba
319,Hilfe::N,пулӑшу,pomóč
320,Freund::N,тус,prijátelj
321,Kamerad::N,юлташ,továriš
322,Kamerad::N,тус,továriš
323,Angelegenheit::N,ӗҫ,zadéva
324,Anzahl::N,йыш,števílo
325,Anzahl::N,хисеп,števílo
326,Art::N,тӗс,vŕsta
327,Stück::N,татӑк,kós
328,Teil::N,пай,dél
329,Hälfte::N,ҫурӑ,polovíca
330,Kreis::N,ункӑ,króg
331,Kreis::N,ункӑ,kolobár
332,Kreis::N,ҫавракӑш,króg
333,Kreis::N,ҫавракӑш,kolobár
334,Kreuz::N,хӗрес,kríž
335,Linie::N,йӗр,próga
336,Strich::N,йӗр,čŕta
337,Abstand::N,хушӑ,preslédek
338,Entfernung::N,хушӑ,oddáljenost
339,Gegend::N,вырӑн,kràj
340,Gegend::N,вырӑн,dežêla
341,Platz::N,хутлӑх,prôstor
342,Ort::N,вырӑн,mésto
343,Seite::N,ен,bòk
344,Seite::N,ен,strán
345,Seite::N,аяк,bòk
346,Seite::N,аяк,strán
347,Seite::N,айӑк,bòk
348,Seite::N,айӑк,strán
349,Mitte::N,варӑ,sredína
350,Gegenstand::N,япала,prédmet
351,Sache::N,япала,réč
352,Sache::N,япала,stvár
353,Rand::N,вӗҫ,kràj
354,Rand::N,хӗрӗ,kràj
355,Rand::N,хӗрри,kràj
356,Kante::N,хайкача,rób
357,Kante::N,хысак,rób
358,Ecke::N,кӗтес,vogál
359,Spitze::N,вӗҫ,óst
360,Ende::N,вӗҫ,kônec
361,Loch::N,шӑтӑк,lúknja
362,Winkel::N,кӗтес,kót
363,Muster::N,эреш,vzórec
364,Größe::N,пысӑкӑш,veličína
365,Länge::N,вӑрӑмӑш,dolžína
366,Höhe::N,ҫӳллӗш,vršína
367,Gewicht::N,виҫе,téža
368,Gewicht::N,йывӑрӑш,téža
369,Menge::N,йыш,količína
370,Haufen::N,купа,kùp
371,Haufen::N,купа,kopíca
372,Reihe::N,рет,níz
373,Reihe::N,рет,vŕsta
374,Boot::N,кимӗ,čóln
375,Ruder::N,кӗсмен,vêslo
376,Schlitten::N,ҫуна,saní
377,Ski::N,йӗлтӗр,smučí
378,Lagerfeuer::N,вут,táborni ôgenj
379,Lagerfeuer::N,кӑвайт,táborni ôgenj
380,Last::N,сулмаклӑх,tôvor
381,Last::N,йывӑр япала,tôvor
382,Gang::N,куҫӑм,hòd
383,Schritt::N,утӑм,korák
384,Schritt::N,пусӑм,korák
385,Norden::N,ҫурҫӗр,séver
386,Süden::N,кӑнтӑр,júg
387,Westen::N,анӑҫ,zapàd
388,Westen::N,хӗвел анӑҫ,zapàd
389,Osten::N,хӗвел тухӑҫ,vzhòd
390,Holz::N,йывӑҫ,lés
391,Brett::N,хӑма,deskà
392,Platte::N,плита,plôča
393,Stütze::N,ура,opóra
394,Stütze::N,ура,zaslómba
395,Stange::N,шерте,gréd
396,Stock::N,патак,pálica
397,Stab::N,шӑчӑ,pálica
398,Rohr::N,пӑрӑх,cév
399,Haus::N,ҫурт,híša
400,Heim::N,кил,dóm
401,Ofen::N,кӑмака,péč
402,Fußboden::N,урай,pòd
403,Tisch::N,сӗтел,míza
404,Stuhl::N,пукан,stòl
405,Wiege::N,сӑпка,zíbel
406,Bett::N,кравать,póstelja
407,Regal::N,ҫӳлӗк,políca
408,Regal::N,сентре,políca
409,Kiste::N,ещӗк,zabòj
410,Kiste::N,сунтӑх,zabòj
411,Fenster::N,чӳрече,ôkno
412,Tür::N,алӑк,vráta
413,Tor::N,хапха,velíka vráta
414,Zaun::N,хӳме,ográja
415,Dach::N,тӑрӑ,stréha
416,Leiter::N,пусма,léstev
417,Besen::N,шӑпӑр,mêtla
418,Spaten::N,кӗреҫе,lopáta
419,Schaufel::N,кӗреҫе,lopáta
420,Gabel::N,вилка,vílice
421,Löffel::N,кашӑк,žlíca
422,Messer::N,ҫӗҫӗ,nòž
423,Nagel::N,пӑта,žebèlj
424,Netz::N,тетел,mréža
425,Haken::N,йӑрхах,kljúka
426,Haken::N,ҫекӗл,kljúka
427,Griff::N,хӑлӑп,ročáj
428,Griff::N,хӑлӑп,oprijèm
429,Schloss::N,ҫӑра,ključávnica
430,Bild::N,сӑн,slíka
431,Bild::N,сӑнлӑх,slíka
432,Bild::N,картина,slíka
433,Figur::N,кӗлетке,figúra
434,Figur::N,кӗлетке,postáva
435,Puppe::N,пукане,lútka
436,Beutel::N,михӗ,môšnja
437,Bündel::N,ҫыхӑ,cúla
438,Bündel::N,ҫыхӑ,svéženj
439,Bündel::N,тӗрке,cúla
440,Bündel::N,тӗрке,svéženj
441,Tasche::N,сумка,tórba
442,Tasche::N,сумка,tobôlec
443,Eimer::N,витре,vêdro
444,Deckel::N,хупӑ,pokròv
445,Deckel::N,хупӑ,poklópec
446,Geschirr::N,савӑт-сапа,posóda
447,Sack::N,михӗ,vréča
448,Tasse::N,курка,skodélica
449,Topf::N,кастрюль,lônec
450,Kessel::N,хуран,kôtel
451,Essen::N,апат,hrána
452,Nahrung::N,апат-ҫимӗс,živílo
453,Speise::N,апат,jéd
454,Speise::N,ҫимӗҫ,jéd
455,Fleisch::N,аш,mesó
456,Fleisch::N,какай,mesó
457,Getreide::N,тырӑ,žíto
458,Brei::N,пӑтӑ,káša
459,Brot::N,ҫӑкӑр,krùh
460,Scheibe::N,чӗлӗ,réženj
461,Scheibe::N,касӑк,réženj
462,Fett::N,ҫу,mást
463,Fett::N,ҫу,maščôba
464,Butter::N,ҫу,máslo
465,Öl::N,ҫу,ólje
466,Salz::N,тӑвар,sól
467,Suppe::N,яшка,júha
468,Honig::N,пыл,méd
469,Milch::N,сӗт,mléko
470,Tee::N,чей,čáj
471,Leder::N,сӑран,úsnje
472,Wolle::N,ҫӑм,vólna
473,Stoff::N,тӗртӗм,blagó
474,Nadel::N,йӗп,ígla
475,Faden::N,ҫип,nít
476,Knopf::N,тӳме,gúmb
477,Knoten::N,йӑлӑ,vôzel
478,Farbe::N,сӑрӑ,bárva
479,Kleidung::N,тум,obléka
480,Kleidung::N,ҫипуҫ,obléka
481,Kleidung::N,тум-тир,obléka
482,Hemd::N,кӗпе,srájca
483,Kragen::N,ҫуха,ovrátnik
484,Ärmel::N,ҫанӑ,rokáv
485,Hose::N,шӑлавар,hláče
486,Gürtel::N,пиҫиххи,pás
487,Mütze::N,ҫӗлӗк,kápa
488,Mütze::N,ҫӗлӗк,čépica
489,Schuh::N,пушмак,čévelj
490,Schuh::N,ботинок,čévelj
491,Stiefel::N,атӑ,škórenj
492,Ring::N,ҫӗрӗ,pŕstan
493,Band::N,хаю,trák
494,Band::N,йӗсме,trák
495,Kamm::N,тура,glavník
496,Spiegel::N,тӗкӗр,zrcálo
497,Spiegel::N,тӗкӗр,ogledálo
498,Spiegel::N,куҫ кӗски,zrcálo
499,Spiegel::N,куҫ кӗски,ogledálo
500,Riemen::N,чӗн,jêrmen
501,Schnur::N,кантра,vŕvca
502,Leine::N,касмӑк,konôpec
503,Decke::N,утиял,odéja
504,Kissen::N,ҫытар,blazína
505,Kissen::N,минтер,blazína
506,Tuch::N,тутӑр,pŕt
507,Tuch::N,тутӑр,rúta
508,Handtuch::N,ал шӑлли,brisáča
509,Kraft::N,вӑй,síla
510,Kraft::N,хӑват,síla
511,Stärke::N,хал,jákost
512,Stärke::N,хӑват,jákost
513,Gesundheit::N,хал,zdrávje
514,Gesundheit::N,сывлӑх,zdrávje
515,Krankheit::N,чир,bolézen
516,Schmerz::N,ырату,ból
517,Schmerz::N,ырату,bolečína
518,Wunde::N,суран,rána
519,Fieber::N,сив чир,vročína
520,Arznei::N,эмел,lék
521,Arznei::N,эмел,zdravílo
522,Brücke::N,кӗпер,móst
523,Brunnen::N,ҫӑл,vodnják
524,Brunnen::N,пусӑ,vodnják
525,Weide::N,ҫаран,páša
526,Pfad::N,йӗр,stezà
527,Pfad::N,сукмак,stezà
528,Weg::N,ҫул,pót
529,Weg::N,ҫул-йӗр,pót
530,Straße::N,ҫӳрев,césta
531,Straße::N,ҫул ҫӳрени,césta
532,Dorf::N,ял,vás
533,Stadt::N,хула,mésto
534,Brief::N,ҫыру,písmo
535,Buch::N,кӗнеке,knjíga
536,Buchstabe::N,сас палли,čŕka
537,Zeitung::N,хаҫат,čásnik
538,Leben::N,пурнӑҫ,življênje
539,Tod::N,вилӗм,smŕt
540,Grab::N,масар шӑтӑкӗ,gròb
541,Kirche::N,чиркӳ,cérkev
542,Sünde::N,ҫылӑх,gréh
543,Gott::N,турӑ,bóg
544,Arbeiter::N,рабочи,délavec
545,Chef::N,пуҫлӑх,šéf
546,Meister::N,ӑста,mójster
547,Meister::N,мастер,mójster
548,Arzt::N,врач,zdravník
549,Arzt::N,тухтӑр,zdravník
550,Lehrer::N,учитель,učítelj
551,Lehrer::N,вӗрентекен,učítelj
552,Geld::N,укҫа,denár
553,Geschäft::N,бизнес,kupčíja
554,Laden::N,магазин,trgovína
555,Preis::N,хак,céna
556,Ware::N,тавар,róba
557,Nutzen::N,пайта,príd
558,Reichtum::N,мул,bogástvo
559,Welt::N,тӗнче,svét
560,Land::N,ҫӗр-шыв,dežêla
561,Staat::N,патшàлӑх,držáva
562,König::N,король,králj
563,Macht::N,власть,oblást
564,Grenze::N,чикӗ,mêja
565,Krieg::N,вӑрҫӑ,vôjna
566,Feind::N,тӑшман,sovrážnik
567,Gewalt::N,ирӗксӗрлӳ,nasílje
568,Kampf::N,кӗрешӳ,bòj
569,Kampf::N,кӗрешӳ,bórba
570,Bogen[Waffe]::N,ухӑ,lók
571,Pfeil::N,ҫӗмрен,puščíca
572,Pfeil::N,ухӑ йӗппи,puščíca
573,Gewehr::N,пӑшал,púška
574,Fehler::N,йӑнӑш,zmóta
575,Lüge::N,суя,láž
576,Lüge::N,ултав,láž
577,Schaden::N,сиен,okvára
578,Unglück::N,шар,nesréča
579,Unglück::N,инкек,nesréča
580,Schuld::N,айӑп,krívda
581,Alter::N,ҫул шучӗ,dôba
582,Schluss::N,пӗтни,kônec
583,Schluss::N,пӗтмӗш,kônec
584,Zeit::N,вӑхӑт,čàs
585,Tag::N,кун,dán
586,Morgen::N,ир,jútro
587,Mittag::N,кӑнтӑрла,póldan
588,Abend::N,каҫ,večér
589,Nacht::N,каҫ,nóč
590,Woche::N,эрне,téden
591,Monat::N,уйӑх,mésec
592,Jahr::N,ҫулталӑк,léto
593,Frühling::N,ҫур,pomlád
594,Frühling::N,ҫуркунне,pomlád
595,Sommer::N,ҫу,polétje
596,Sommer::N,ҫулла,polétje
597,Herbst::N,кӗр,jesén
598,Herbst::N,кӗркунне,jesén
599,Winter::N,хӗл,zíma
600,Winter::N,хӗлле,zíma
601,Januar::N,январь,jánuar
602,Februar::N,февраль,fébruar
603,Februar::N,кӗҫӗн кӑрлач,fébruar
604,März::N,март,márec
605,März::N,пуш уйӑхӗ,márec
606,April::N,апрель,apríl
607,Mai::N,май,máj
608,Juni::N,июнь,júnij
609,Juli::N,июль,júlij
610,August::N,август,avgúst
611,September::N,сентябрь,septêmber
612,September::N,авӑн уйӑхӗ,septêmber
613,Oktober::N,октябрь,október
614,November::N,ноябрь,novêmber
615,Dezember::N,раштав,decémber
616,Dezember::N,декабрь,decémber
617,Montag::N,тунти кун,ponedéljek
618,Dienstag::N,ытлари кун,tôrek
619,Mittwoch::N,юн кун,sréda
620,Donnerstag::N,кӗҫнерни кун,četŕtek
621,Freitag::N,эрне кун,pétek
622,Samstag::N,шӑмат кун,sobóta
623,Sonntag::N,вырсарни кун,nedélja
624,groß::A,пысӑк,vêlik
625,klein::A,пӗчӗк,májhen
626,lang::A,вӑрӑм,dólg
627,kurz::A,кӗске,krátek
628,breit::A,сарлака,širòk
629,schmal::A,ансӑр,ózek
630,dicht::A,йӑвӑ,góst
631,dick[Gegenstand]::A,хулӑн,dêbel
632,dünn::A,ҫинҫе,tánek
633,dünn::A,ҫӳхе,tánek
634,fein::A,тарай,drôben
635,fein::A,вӗлтӗрти,drôben
636,fest::A,тӗреклӗ,tŕden
637,flach::A,лаптак,plán
638,flach::A,лаптак,plòsk
639,glatt::A,такӑр,gládek
640,hart::A,хытӑ,tŕd
641,weich::A,ҫемҫе,mehák
642,rund::A,ҫавра,okrógel
643,spitz::A,шӗвӗр,šílast
644,scharf::A,ҫивӗч,óster
645,stumpf::A,мӑка,tóp
646,stumpf::A,мӑка,skŕhan
647,stumpf::A,пуклак,tóp
648,stumpf::A,пуклак,skŕhan
649,stumpf::A,тӗрӗнчӗк,tóp
650,stumpf::A,тӗрӗнчӗк,skŕhan
651,stumpf::A,ӑнкарусӑр,tóp
652,stumpf::A,ӑнкарусӑр,skŕhan
653,schwer::A,йывӑр,têžek
654,schön::A,илемлӗ,lép
655,schön::A,илемлӗ,krásen
656,heiß::A,вӗри,vròč
657,warm::A,ӑшӑ,tôpel
658,kalt::A,сивӗ,mŕzel
659,kalt::A,сивӗ,hláden
660,kühl::A,уҫӑ,hláden
661,frisch::A,уҫӑ,svéž
662,feucht::A,йӗпе,vlážen
663,nass::A,нӳрӗ,móker
664,trocken::A,типӗ,súh
665,voll::A,тулли,póln
666,leer::A,пушӑ,prázen
667,offen::A,уҫӑ,odpŕt
668,geschlossen::A,хупӑ,zapŕt
669,sauber::A,таса,číst
670,sauber::A,таса,líčen
671,schmutzig::A,пылчӑклӑ,umázan
672,schmutzig::A,вараланчӑк,umázan
673,roh::A,чӗрӗ,suròv
674,reif::A,пулнӑ,zrèl
675,reif::A,пиҫӗхнӗ,zrèl
676,reif::A,аталаннӑ,zrèl
677,reif::A,пиҫсе ҫитнӗ,zrèl
678,lecker::A,тутлӑ,okúsen
679,lecker::A,техӗмлӗ,okúsen
680,süß::A,пылак,sládek
681,bitter::A,йӳҫӗ,grenák
682,sauer::A,йӳҫӗ,kísel
683,sauer::A,йӳҫек,kísel
684,sauer::A,кӑвасак,kísel
685,hell::A,ҫутӑ,svetèl
686,dunkel::A,тӗттӗм,temèn
687,schwarz::A,хура,čŕn
688,weiß::A,шурӑ,bél
689,rot::A,хӗрлӗ,rdèč
690,gelb::A,сарӑ,žólt
691,gelb::A,сарӑ,rumèn
692,blau::A,кӑвак,móder
693,grün::A,симӗс,zelèn
694,grün::A,пиҫмен,zelèn
695,grün::A,ӑс пухман,zelèn
696,grau::A,кӑвак,sív
697,bunt::A,чӑпар,písan
698,billig::A,йӳнӗ,pocéni
699,teuer::A,хаклӑ,drág
700,wertvoll::A,паха,dragocén
701,blind::A,суккӑр,slép
702,taub::A,хӑлхасӑр,glúh
703,kräftig::A,хӑватлӑ,močán
704,stark::A,вирлӗ,ják
705,schwach::A,халсӑр,šíbek
706,fett::A,самӑр,dêbel
707,fett::A,мӑнтӑр,dêbel
708,schlank::A,йӑрӑс,vítek
709,schlank::A,яштака,vítek
710,hübsch::A,хитре,lép
711,böse::A,усал,zèl
712,böse::A,усал,hudôben
713,dumm::A,ухмах,glúp
714,dumm::A,ухмах,bédast
715,faul::A,наян,lén
716,faul::A,юлхав,lén
717,faul::A,ӳркенчӗк,lén
718,fleißig::A,хастар,marljív
719,geizig::A,хытӑ,škŕt
720,klug::A,ӑслӑ,pámeten
721,geschickt::A,ӑста,spréten
722,lieb::A,савнӑ,míl
723,lieb::A,савнӑ,ljúb
724,lustig::A,хаваслӑ,vesél
725,sanft::A,ачаш,láhek
