,Concept_ID,mn,av
1424,mitteilen::V,дуулгах,лъазабизе
1425,mitteilen::V,мэдээлэх,лъазабизе
1426,nennen::V,нэрлэх,цӏар лъезе
1427,rufen::V,дуудах,ахӏизе
1428,prahlen::V,бардах,беццаризе
1429,prahlen::V,сайрхах,беццаризе
1430,übersetzen::V,орчуулах,буссинабизе
1431,denken::V,санах,ургъизе
1432,glauben::V,итгэх,божизе
1433,bemerken::V,ажих,берречӏчӏизе
1434,bemerken::V,ажиглах,берречӏчӏизе
1435,erkennen::V,таних,лъазе
1436,erkennen::V,таних,батӏаго бахъизе
1437,begreifen::V,ойлгох,бичӏчӏизе
1438,verstehen::V,мэдэж авах,
1439,lernen::V,сурах,цӏализе
1440,wissen::V,мэдэх,лъазе
1441,sich erinnern an::V,дурсах,ракӏалде щвезе
1442,vergessen::V,мартах,кӏочене
1443,messen::V,хэмжих,борцине
1444,zählen::V,тоолох,рикӏкӏине
1445,rechnen::V,тооцоох,рикӏкӏине
1446,lesen::V,унших,цӏализе
1447,malen::V,зурах,бахъизе
1448,zeichnen::V,дүрслэн бичих,бахъизе
1449,schreiben::V,бичих,хъвазе
1450,besitzen::V,эзэмших,щвезе
1451,besitzen::V,эзэмших,бу́кӏине
1452,kaufen::V,худалдан авах,босизе
1453,verkaufen::V,худалдах,бичизе
1454,bezahlen::V,төлөх,кьезе
1455,zahlen::V,төлөх,кьезе
1456,beherrschen::V,эзэмших,
1457,ertragen::V,тэсэх,баччизе
