,Concept_ID,hr,av
183,Bulle::N,bik,оц
184,Pferd::N,konj,чу
185,Schaf::N,ovca,чахъу
186,Schwein::N,svinja,болъон
187,Hund::N,pas,гьой
188,Hund::N,pseto,гьой
189,Katze::N,mačka,кету
190,Bär::N,medvjed,ци
191,Eichhörnchen::N,vjeverica,гвангва
192,Elch::N,los,
193,Fuchs::N,lisica,цер
194,Hase::N,zec,гӏанкӏ
195,Maus::N,miš,гӏункӏкӏ
196,Wolf::N,vuk,бацӏ
197,Wolf::N,kurjak,бацӏ
198,Vogel::N,ptica,хӏинчӏ
199,Schwarm::N,roj,тӏел
200,Schwarm::N,jato,тӏел
201,Huhn::N,kokoš,гӏанкӏу
202,Hahn::N,kokot,хӏелеко
203,Hahn::N,pijevac,хӏелеко
204,Gans::N,guska,хъаз
205,Adler::N,orao,цӏум
206,Ente::N,patka,ордек
207,Eule::N,sova,беццаруз
208,Kranich::N,ždral,къункъра
209,Krähe::N,vrana,гъеду
210,Kuckuck::N,kukavica,гагу
211,Schwan::N,labud,хӏанкъва
212,Fisch::N,riba,ччугӏа
213,Barsch::N,grgeč,окунь
214,Hecht::N,štuka,щука
215,Schlange[Tier]::N,guja,борохь
216,Schlange[Tier]::N,zmija,борохь
217,Wurm::N,crv,хӏапара
218,Spinne::N,pauk,хъанхъра
219,Ameise::N,mrav,цӏунцӏра
220,Laus::N,uš,нацӏ
221,Mücke::N,komarac,кӏкӏара
222,Fliege::N,muha,тӏутӏ
223,Schmetterling::N,leptir,кӏалкӏучӏ
224,Beere::N,boba,
225,Beere::N,bobica,
226,Apfel::N,jabuka,гӏеч
227,Pilz::N,pečurka,гӏурдахӏан
228,Zwiebel::N,luk,кӏочӏопер
229,Zwiebel::N,kapula,кӏочӏопер
230,Saat::N,sjemenje,хьон
231,Korn::N,zrno,мугь
232,Heu::N,sijeno,хер
233,Schale::N,kora,хъал
234,Schale::N,ljuska,хъал
235,Grube::N,jama,гвенд
236,Falle::N,zamka,къор
237,Falle::N,zamka,къотен
238,Falle::N,klopka,къор
239,Falle::N,klopka,къотен
240,Schlinge::N,uzao,кӏичӏ
241,Schlinge::N,petlja,кӏичӏ
242,Spur::N,trag,лъалкӏ
243,Spur::N,slijed,лъалкӏ
244,Asche::N,pepeo,рахъу
245,Dreck::N,blato,гъиз
246,Dreck::N,blato,хӏарщ
247,Eisen::N,željezo,махх
248,Gold::N,zlato,месед
249,Silber::N,srebro,гӏарац
250,Kohle::N,ugalj,тӏурччи
251,Kohle::N,ugljen,тӏурччи
252,Glas::N,staklo,цӏер
253,Lehm::N,glina,хӏатӏ
254,Lehm::N,ilovača,хӏатӏ
255,Sand::N,pijesak,сали
256,Mensch::N,čovjek,чи
257,Mann::N,muškarac,бихьинчи
258,Frau::N,žena,гӏадан
259,Kind::N,čedo,лъимер
260,Kind::N,dijete,лъимер
261,Junge::N,momče,вас
262,Junge::N,dječak,вас
263,Mädchen::N,djevojka,яс
264,Mädchen::N,djevojčica,яс
265,Familie::N,obitelj,хъизан
266,Familie::N,porodica,хъизан
267,Großvater::N,djed,кӏудада
268,Großmutter::N,baka,кӏодо
269,Eltern::N,roditelji,эбел-эмен
270,Vater::N,otac,эмен
271,Mutter::N,majka,эбел
272,Sohn::N,sin,вас
273,Tochter::N,kći,яс
274,Tochter::N,kćerka,яс
275,Bruder::N,brat,вац
276,Schwester::N,sestra,яц
277,Onkel::N,čika,даци
278,Onkel::N,ujak,даци
279,Tante::N,ujna,ада
280,Tante::N,tetka,ада
281,Ehemann::N,muž,рос
282,Ehemann::N,suprug,рос
283,Ehefrau::N,žena,чӏужу
284,Ehefrau::N,supruga,чӏужу
285,Freude::N,radost,ракӏбохи
286,Gelächter::N,grohot,релъи
287,Glück::N,sreća,талихӏ
288,Glück::N,sreća,талихӏ-рохел
289,Kummer::N,jad,хӏалкъай
290,Kummer::N,briga,хӏалкъай
291,Wunsch::N,želja,къасд
292,Lust::N,volja,гъира
293,Geist::N,duh,чӏанкӏ
294,Geist::N,duh,рухӏ-жан
295,Gedanke::N,misao,пикру
296,Gedächtnis::N,pamćenje,
297,Verstand::N,um,лумалъи
298,Verstand::N,um,цӏодорлъи
299,Verstand::N,razum,лумалъи
300,Verstand::N,razum,цӏодорлъи
301,Sinn::N,smisao,магӏна
302,Sinn::N,značenje,магӏна
303,Grund::N,razlog,багьана
304,Wahrheit::N,istina,ритӏухълъи
305,Gespräch::N,razgovor,накъит
306,Märchen::N,bajka,маргьа
307,Erzählung::N,priča,къиса
308,Erzählung::N,pripovijest,къиса
309,Nachricht::N,vijest,хабар
310,Neuigkeit::N,novost,хабар-гӏазаб
311,Name::N,ime,цӏар
312,Rätsel::N,zagonetka,бицанкӏо
313,Rede::N,govor,речь
314,Rede::N,govor,калам
315,Rede::N,besjeda,речь
316,Rede::N,besjeda,калам
317,Sprache::N,jezik,мацӏ
318,Stimme::N,glas,гьаракь
319,Wort::N,riječ,рагӏи
320,Zeichen::N,znak,ишара
321,Zeichen::N,znak,гӏаламат
322,Ruf::N,povik,ахӏи
323,Ruf::N,poklik,ахӏи
324,Lärm::N,buka,хъуй
325,Lärm::N,buka,хъуди
326,Lärm::N,galama,хъуй
327,Lärm::N,galama,хъуди
328,Laut::N,zvuk,гьаракь
329,Laut::N,zvuk,сас
330,Ton::N,ton,
331,Lied::N,pjesma,кечӏ
332,Ruhe::N,tišina,рахӏат
333,Ruhe::N,počinak,рахӏат
334,Leute::N,ljudi,гӏадамал
335,Volk::N,puk,халкъ
336,Volk::N,narod,халкъ
337,Arbeit::N,rad,хӏалтӏи
338,Arbeit::N,posao,хӏалтӏи
339,Gast::N,gost,гьобол
340,Geschenk::N,dar,сайигъат
341,Geschenk::N,poklon,сайигъат
342,Spiel::N,igra,хӏай
343,Spiel::N,igra,расанди
344,Gesellschaft::N,društvo,жамагӏат
345,Gesellschaft::N,kompanija,жамагӏат
346,Hilfe::N,pomoć,кумек
347,Freund::N,prijatelj,гьудул
348,Kamerad::N,drug,гьалмагъ
349,Kamerad::N,drugar,гьалмагъ
350,Angelegenheit::N,posao,къваригӏел
351,Anzahl::N,broj,рикӏкӏен
352,Anzahl::N,brojnost,рикӏкӏен
353,Art::N,vid,жинс
354,Art::N,vrst,жинс
355,Stück::N,komad,кесек
356,Teil::N,dio,пай
357,Hälfte::N,polovina,бащдаб
358,Kreis::N,krug,гор
359,Kreuz::N,križ,хъанч
360,Linie::N,crta,мухъ
361,Strich::N,crta,хӏучч
362,Abstand::N,razmak,манзил
363,Abstand::N,odstojanje,манзил
364,Entfernung::N,udaljenost,манзил
365,Gegend::N,kraj,рахъ
366,Gegend::N,predeo,рахъ
367,Platz::N,mjesto,бакӏ
368,Ort::N,mjesto,бакӏ
369,Seite::N,bok,рахъ
370,Seite::N,strana,рахъ
371,Mitte::N,sredina,бакьулъбакӏ
372,Gegenstand::N,predmet,жо
373,Sache::N,posao,жо
374,Rand::N,rub,мицӏир
375,Rand::N,kraj,мицӏир
376,Kante::N,brid,рагӏал
377,Kante::N,brid,рагӏа-ракьан
378,Kante::N,ivica,рагӏал
379,Kante::N,ivica,рагӏа-ракьан
380,Ecke::N,ugao,цили
381,Spitze::N,vrh,тӏогь
382,Spitze::N,šiljak,тӏогь
383,Ende::N,konac,кӏал
384,Loch::N,rupa,каратӏ
385,Winkel::N,kut,
386,Winkel::N,ugao,
387,Muster::N,uzor,накъиш
388,Größe::N,veličina,кӏодо́лъи
389,Länge::N,duljina,халалъи
390,Höhe::N,visina,борхалъи
391,Gewicht::N,težina,бакӏлъи
392,Menge::N,mnoštvo,
393,Menge::N,količina,
394,Haufen::N,hrpa,гъуни
395,Haufen::N,gomila,гъуни
396,Reihe::N,red,ирга́
397,Boot::N,čun,раса
398,Boot::N,čamac,раса
399,Ruder::N,veslo,раххан
400,Schlitten::N,saone,чанагъ
401,Ski::N,ski,лыжаби
402,Ski::N,smučka,лыжаби
403,Lagerfeuer::N,logorska vatra,цӏа
404,Last::N,tovar,бакӏлъи
405,Gang::N,hod,хьвади
406,Gang::N,hod,хьвада-чӏвади
407,Schritt::N,korak,гали
408,Norden::N,sjever,шимал
409,Süden::N,jug,юг
410,Süden::N,jug,къибла
411,Westen::N,zapad,гъарб
412,Westen::N,zapad,магъриб
413,Osten::N,istok,шаркъ
414,Osten::N,istok,машрикъ
415,Holz::N,drvo,цӏул
416,Brett::N,daska,хъарщи
417,Platte::N,ploča,къоно
418,Stütze::N,potpora,
419,Stange::N,motka,гӏер
420,Stock::N,štap,тӏил
421,Stock::N,palica,тӏил
422,Stab::N,štap,гӏер
423,Stab::N,šipka,гӏер
424,Rohr::N,cijev,турба
425,Haus::N,kuća,ригь
426,Haus::N,kuća,рукъзал
427,Heim::N,dom,рукъ
428,Ofen::N,peć,печь
429,Fußboden::N,pod,чӏабар
430,Tisch::N,stol,стол
431,Tisch::N,trpeza,стол
432,Stuhl::N,stolac,бакӏу
433,Stuhl::N,stolica,бакӏу
434,Wiege::N,kolijevka,кини
435,Bett::N,krevet,кровать
436,Bett::N,postelja,кровать
437,Regal::N,polica,хъарщи
438,Kiste::N,sanduk,ящик
439,Kiste::N,sanduk,тӏалагъуд
440,Fenster::N,prozor,гордо
441,Tür::N,vrata,нуцӏа
442,Tor::N,vrata,каву
443,Tor::N,kapija,каву
444,Zaun::N,plot,раци
445,Zaun::N,ograda,раци
446,Dach::N,krov,тӏох
447,Leiter::N,ljestve,мали
448,Leiter::N,ljestvice,мали
449,Besen::N,metla,жул
450,Spaten::N,ašov,бел
451,Schaufel::N,lopata,раххан
452,Gabel::N,viljuška,гӏучӏ
453,Löffel::N,žlica,гъуд
454,Messer::N,nož,нус
455,Nagel::N,čavao,магӏ
456,Netz::N,mreža,гьин
457,Haken::N,kuka,гъанцӏа
458,Griff::N,držak,гӏоркь
459,Griff::N,ručica,гӏоркь
460,Schloss::N,brava,кӏулал
461,Bild::N,slika,сурат
462,Figur::N,figura,
463,Puppe::N,lutka,нани
464,Beutel::N,kesa,таргьа
465,Bündel::N,snop,къай
466,Bündel::N,svežanj,къай
467,Tasche::N,torba,сумка
468,Tasche::N,torba,къвачӏа
469,Tasche::N,taška,сумка
470,Tasche::N,taška,къвачӏа
471,Eimer::N,kabao,ведро
472,Deckel::N,poklopac,тӏалъел
473,Deckel::N,poklopac,дадитӏалъел
474,Geschirr::N,suđe,цӏарагӏ
475,Geschirr::N,posuđe,цӏарагӏ
476,Sack::N,džak,хъап
477,Sack::N,džak,къандалъо
478,Sack::N,vreća,хъап
479,Sack::N,vreća,къандалъо
480,Tasse::N,šalica,чашка
481,Topf::N,lonac,хьаг
482,Kessel::N,kazan,хьаг
483,Kessel::N,kazan,гереги
484,Essen::N,obrok,тӏагӏам
485,Nahrung::N,hrana,квен
486,Speise::N,jelo,квен
487,Fleisch::N,meso,гьан
488,Getreide::N,žito,бугӏа-ролъ
489,Getreide::N,žito,могьолабл_культураби
490,Getreide::N,žitarice,бугӏа-ролъ
491,Getreide::N,žitarice,могьолабл_культураби
492,Brei::N,kaša,карщ
493,Brot::N,kruh,чед
494,Scheibe::N,kriška,мочӏу
495,Fett::N,mast,беэнлъи
496,Fett::N,salo,беэнлъи
497,Butter::N,buter,нах
498,Butter::N,maslac,нах
499,Öl::N,ulje,нах
500,Salz::N,sol,цӏам
501,Suppe::N,supa,чурпа
502,Honig::N,med,гьоцӏо
503,Milch::N,mlijeko,рахь
504,Tee::N,čaj,чай
505,Leder::N,koža,тӏом
506,Wolle::N,vuna,квас
507,Stoff::N,štof,ххам
508,Stoff::N,tkanina,ххам
509,Nadel::N,igla,рокӏкӏен
510,Faden::N,nit,кун
511,Faden::N,konac,кун
512,Knopf::N,dugme,маргъал
513,Knoten::N,čvor,гарацӏ
514,Knoten::N,uzao,гарацӏ
515,Farbe::N,farba,релъен
516,Kleidung::N,odjeća,ретӏел
517,Hemd::N,košulja,гурде
518,Kragen::N,ovratnik,габур
519,Ärmel::N,rukav,къвал
520,Hose::N,hlače,тӏажу
521,Gürtel::N,pas,рачел
522,Gürtel::N,pojas,рачел
523,Mütze::N,kapa,тӏагъур
524,Schuh::N,cipela,
525,Stiefel::N,čizma,этек
526,Stiefel::N,čizma,чакма
527,Ring::N,prsten,баргъич
528,Band::N,vrpca,лента
529,Kamm::N,češalj,гьоркьо
530,Spiegel::N,zrcalo,матӏу
531,Spiegel::N,ogledalo,матӏу
532,Riemen::N,kaiš,рижу
533,Riemen::N,remen,рижу
534,Schnur::N,vrpca,
535,Leine::N,uzica,
536,Decke::N,ćebe,одея́ло
537,Decke::N,pokrivač,одея́ло
538,Kissen::N,jastuk,къандалъо
539,Tuch::N,rubac,квархьи
540,Tuch::N,marama,квархьи
541,Handtuch::N,ručnik,беркӏалрацӏцӏ
542,Kraft::N,snaga,гуч
543,Kraft::N,snaga,къуват
544,Stärke::N,jakost,хӏалкӏвей
545,Gesundheit::N,zdravlje,сахлъи́
546,Krankheit::N,bolest,унти
547,Krankheit::N,bolest,щокълъи
548,Schmerz::N,bol,унти
549,Wunde::N,rana,ругъун
550,Fieber::N,groznica,цӏа-кан
551,Arznei::N,lijek,дару
552,Brücke::N,most,кьо
553,Brücke::N,ćuprija,кьо
554,Brunnen::N,bunar,гъуй
555,Brunnen::N,zdenac,гъуй
556,Weide::N,paša,рицӏцӏ
557,Weide::N,paša,лъичӏирма
558,Weide::N,paša,гӏурдаллъи
559,Weide::N,paša,ри́цӏигъветӏ
560,Weide::N,paša,рицӏцӏигъветӏ
561,Weide::N,pašnjak,рицӏцӏ
562,Weide::N,pašnjak,лъичӏирма
563,Weide::N,pašnjak,гӏурдаллъи
564,Weide::N,pašnjak,ри́цӏигъветӏ
565,Weide::N,pašnjak,рицӏцӏигъветӏ
566,Pfad::N,staza,сухъмахъ
567,Weg::N,put,нух
568,Straße::N,drum,нух
569,Straße::N,cesta,нух
570,Dorf::N,selo,росу
571,Stadt::N,grad,шагьар
572,Stadt::N,varoš,шагьар
573,Brief::N,list,кагъат
574,Brief::N,list,рисалат
575,Brief::N,pismo,кагъат
576,Brief::N,pismo,рисалат
577,Buch::N,knjiga,тӏехь
578,Buchstabe::N,slovo,хӏарп
579,Zeitung::N,novine,газет
580,Leben::N,život,яшав
581,Tod::N,smrt,хвел
582,Grab::N,raka,хоб
583,Kirche::N,crkva,килиса
584,Sünde::N,grijeh,хӏакъ
585,Sünde::N,grijeh,мунагь
586,Gott::N,bog,бичас
587,Gott::N,bog,аллагь
588,Arbeiter::N,radnik,хӏалтӏухъан
589,Chef::N,šef,хӏаким
590,Chef::N,šef,начальник
591,Meister::N,majstor,устар
592,Meister::N,majstor,мастер
593,Meister::N,majstor,махщалилав
594,Arzt::N,liječnik,жайрахӏ
595,Lehrer::N,učitelj,мугӏалим
596,Geld::N,novac,гӏарац
597,Geschäft::N,posao,
598,Geschäft::N,trgovina,
599,Laden::N,dućan,тукен
600,Preis::N,cijena,багьа
601,Ware::N,roba,къайи
602,Nutzen::N,korist,мунпагӏат
603,Reichtum::N,bogatstvo,бечелъи
604,Welt::N,svijet,дуниял
605,Land::N,zemlja,улка
606,Land::N,zemlja,икълим
607,Staat::N,država,пачалихъ
608,König::N,kralj,пача
609,König::N,kralj,малик
610,König::N,kralj,къирал
611,König::N,kralj,падишагь
612,Macht::N,moć,кверщел
613,Macht::N,vlast,кверщел
614,Grenze::N,granica,гӏорхъи
615,Krieg::N,rat,рагъ
616,Feind::N,neprijatelj,тушман
617,Gewalt::N,sila,зулму
618,Gewalt::N,nasilje,зулму
619,Kampf::N,boj,къеркьей
620,Kampf::N,borba,къеркьей
621,Bogen[Waffe]::N,luk,газаргъо
622,Pfeil::N,strijela,чӏор
623,Gewehr::N,puška,туманкӏ
624,Fehler::N,pogreška,гъалатӏ
625,Fehler::N,griješka,гъалатӏ
626,Lüge::N,laž,гьереси
627,Schaden::N,šteta,зиян
628,Schaden::N,šteta,зарал
629,Unglück::N,nesreća,балагь
630,Schuld::N,krivnja,гӏайиб
631,Alter::N,dob,гӏумру
632,Schluss::N,kraj,ахир
633,Schluss::N,konac,ахир
634,Zeit::N,doba,заман
635,Zeit::N,vrijeme,заман
636,Tag::N,dan,къо
637,Morgen::N,jutro,радалмех
638,Mittag::N,podne,къадемех
639,Abend::N,veče,релъедамех
640,Abend::N,večer,релъедамех
641,Nacht::N,noć,сордо
642,Woche::N,sedmica,анкь
643,Monat::N,mjesec,моцӏ
644,Jahr::N,godina,сон
645,Jahr::N,godina,лъагӏел
646,Frühling::N,proljeće,их
647,Sommer::N,ljeto,рии
648,Herbst::N,jesen,хасалихълъи
649,Winter::N,zima,кьин
650,Januar::N,januar,январь
651,Januar::N,siječanj,январь
652,Februar::N,veljača,февра́ль
653,Februar::N,februar,февра́ль
654,März::N,mart,март
655,März::N,ožujak,март
656,April::N,april,апрель
657,April::N,travanj,апрель
658,Mai::N,maj,май
659,Mai::N,svibanj,май
660,Juni::N,juni,июнь
661,Juni::N,lipanj,июнь
662,Juli::N,juli,июль
663,Juli::N,srpanj,июль
664,August::N,august,август
665,August::N,kolovoz,август
666,September::N,rujan,сентябрь
667,September::N,septembar,сентябрь
668,Oktober::N,oktobar,октябрь
669,Oktober::N,listopad,октябрь
670,November::N,studeni,ноябрь
671,November::N,novembar,ноябрь
672,Dezember::N,prosinac,декабрь
673,Montag::N,ponedjeljak,итни
674,Montag::N,ponedjeljnik,итни
675,Dienstag::N,utorak,талат
676,Dienstag::N,utornik,талат
677,Mittwoch::N,srijeda,арбагӏ
678,Donnerstag::N,četvrtak,хамиз
679,Freitag::N,petak,рузман
680,Samstag::N,subota,щамат
681,Sonntag::N,nedjelja,гьатӏан
682,groß::A,velik,кӏудияб
683,klein::A,mali,гьитӏинаб
684,klein::A,malen,гьитӏинаб
685,lang::A,dug,халатаб
686,lang::A,dugačak,халатаб
687,kurz::A,kratak,къокъаб
688,breit::A,širok,гӏебаб
689,schmal::A,uski,къваридаб
690,schmal::A,uzak,къваридаб
691,dicht::A,gust,ризаб
692,dick[Gegenstand]::A,debeo,бицатаб
693,dünn::A,tanak,тӏеренаб
694,fein::A,fin,тӏеренаб
695,fein::A,tanak,тӏеренаб
696,fest::A,čvrst,къвакӏараб
697,flach::A,ravan,чӏепараб
698,flach::A,plosnat,чӏепараб
699,glatt::A,gladak,цӏвакараб
700,hart::A,tvrd,кьварараб
701,weich::A,mek,тамахаб
702,weich::A,mekan,тамахаб
703,rund::A,okrugao,гургинаб
704,spitz::A,oštar,бегӏераб
705,spitz::A,šiljast,бегӏераб
706,scharf::A,oštar,рекӏараб
707,scharf::A,bridak,рекӏараб
708,stumpf::A,tup,тӏехӏараб
709,stumpf::A,tup,рекӏинчӏеб
710,schwer::A,težak,бакӏаб
711,schön::A,krasan,берцинаб
712,heiß::A,vruć,лагьараб
713,warm::A,topao,хинаб
714,kalt::A,hladan,квачараб
715,kühl::A,hladan,квачараб
716,frisch::A,svjež,цӏияб
717,feucht::A,vlažan,рагьараб
718,nass::A,mokar,би́ччараб
719,trocken::A,suh,бакъвараб
720,voll::A,pun,
721,leer::A,prazan,чӏобогояб
722,offen::A,otvoren,рагьараб
723,geschlossen::A,zatvoren,рахараб-къараб
724,sauber::A,čist,бацӏцӏадаб
725,schmutzig::A,nečist,гъизараб
726,schmutzig::A,blatan,гъизараб
727,roh::A,sirov,хамаб
728,roh::A,sirov,гӏатӏгояб
729,reif::A,zreo,барщараб
730,lecker::A,tečan,тӏагӏамаб
731,lecker::A,ukusan,тӏагӏамаб
732,süß::A,sladak,гьуинаб
733,bitter::A,gorak,кьогӏаб
734,sauer::A,kiseo,цӏекӏаб
735,hell::A,vedar,канаб
736,hell::A,svijetao,канаб
737,dunkel::A,taman,бецӏаб
738,schwarz::A,crn,чӏегӏераб
739,weiß::A,bio,хъахӏаб
740,weiß::A,bijel,хъахӏаб
741,rot::A,crven,багӏараб
742,gelb::A,žut,гӏобилаб
743,gelb::A,žut,тӏогьилаб
744,blau::A,plav,хъахӏилаб
745,blau::A,modar,хъахӏилаб
746,grün::A,zelen,гӏурччинаб
747,grau::A,siv,накӏкӏуяб
748,bunt::A,šaren,къвекӏаб
749,bunt::A,šaren,чара-гъараб
750,billig::A,jeftin,учузаб
751,teuer::A,skup,хири́яб
752,wertvoll::A,vrijedan,къиматаб
753,wertvoll::A,dragocjen,къиматаб
754,blind::A,slijep,беццаб
755,taub::A,gluh,гъугъаб
756,kräftig::A,snažan,гучаб
757,stark::A,jak,къуватаб
758,stark::A,snažan,къуватаб
759,schwach::A,slab,гӏажизаб
760,fett::A,pretio,кьарияб
761,schlank::A,vitak,чергесаб
762,hübsch::A,zgodan,гьайбатаб
763,böse::A,zao,ракӏквешаб
764,böse::A,opak,ракӏквешаб
765,dumm::A,glup,гьагаб
766,dumm::A,glup,гӏантаб
767,faul::A,lijen,кӏохӏалаб
768,faul::A,lijen,кӏухӏа́лаб
769,fleißig::A,radin,хӏаракатаб
770,fleißig::A,marljiv,хӏаракатаб
771,geizig::A,škrt,къарумаб
772,klug::A,razborit,лумияб
