,Concept_ID,uz,ml
160,Kranich::N,turna,കൊക്ക്
161,Krähe::N,qarg'a,കാക്ക
162,Kuckuck::N,kakku,കുയിൽ
163,Schwan::N,oqkush,അരയന്നം
164,Fisch::N,baliq,മത്സ്യം
165,Barsch::N,olabug'a,ഒരിനം മത്സ്യം
166,Hecht::N,cho'rtan,ഒരു മത്സ്യം
167,Schlange[Tier]::N,ilon,പാമ്പ്
168,Wurm::N,qurt,വിര
169,Spinne::N,o'rgimchak,ചിലന്തി
170,Ameise::N,chumoli,ഉറുമ്പ്
171,Laus::N,bit,പേന്
172,Mücke::N,chivin,മശകം
173,Fliege::N,pashsha,ഈച്ച
174,Schmetterling::N,kapalak,ചിത്രശലഭം
175,Beere::N,meva,ബെറി
176,Apfel::N,olma,ആപ്പിൾ
177,Pilz::N,qo'ziqorin,കൂൺ
178,Zwiebel::N,piyoz,സവാള
179,Saat::N,äkin,വിത്ത്
180,Korn::N,zarra,ധാന്യം
181,Heu::N,xashak,വയ്ക്കോൽ
182,Schale::N,po'choq,തൊലി
183,Grube::N,co'ra,കുഴി
184,Falle::N,qopqon,കെണി
185,Schlinge::N,sirtmoq,കുടുക്ക്
186,Spur::N,iz,ചുവട്
187,Asche::N,kul,ചാരം
188,Dreck::N,kir,അഴുക്ക്
189,Eisen::N,temir,ഇരുമ്പ്
190,Gold::N,tilla,സ്വർണ്ണം
191,Silber::N,kumush,വെള്ളി
192,Kohle::N,ko'mir,കൽക്കരി
193,Glas::N,oyna,ഗ്ലാസ്
194,Lehm::N,loy,കളിമണ്ണ്
195,Sand::N,qum,മണൽ
196,Mensch::N,odam,മനുഷ്യർ
197,Mann::N,ärkak,പുരുഷൻ
198,Frau::N,ayol,സ്ത്രീ
199,Kind::N,bola,കുഞ്ഞ്
200,Kind::N,kichkintoy,കുഞ്ഞ്
201,Junge::N,bola,ആൺകുട്ടി
202,Mädchen::N,qiz,പെൺകുട്ടി
203,Familie::N,oila,കുടുംബം
204,Großvater::N,buva,അപ്പൂപ്പൻ
205,Großvater::N,katta ota,അപ്പൂപ്പൻ
206,Großmutter::N,buvi,അമ്മുമ്മ
207,Großmutter::N,katta oyi,അമ്മുമ്മ
208,Eltern::N,ota-ona,മാതാപിതാക്കള്
209,Vater::N,ota,അച്ഛൻ
210,Mutter::N,ona,അമ്മ
211,Sohn::N,o'g'il,മകൻ
212,Tochter::N,qiz,മകൾ
213,Bruder::N,og'a,ചേട്ടൻ
214,Bruder::N,og'a,അനിയൻ
215,Bruder::N,uka,ചേട്ടൻ
216,Bruder::N,uka,അനിയൻ
217,Schwester::N,opa,ചേച്ചി
218,Schwester::N,opa,അനിയത്തി
219,Schwester::N,singil,ചേച്ചി
220,Schwester::N,singil,അനിയത്തി
221,Onkel::N,amaki,അമ്മാവൻ
222,Tante::N,amma,മാമി
223,Tante::N,xola,മാമി
224,Ehemann::N,är,ഭർത്താവ്
225,Ehefrau::N,rafiqa,ഭാര്യ
226,Freude::N,ayish,ആഹ്ലാദം
227,Gelächter::N,kulgi,ചിരിയുടെ ശബ്ദം
228,Glück::N,saodat,സന്തോഷം
229,Glück::N,saodat,സന്തുഷ്ടി
230,Kummer::N,g'am,ശോകം
231,Wunsch::N,orzu,ആഗ്രഹം
232,Lust::N,rag'bat,ആഗ്രഹം
233,Geist::N,ruh,ചുറുചുറുക്ക്
234,Gedanke::N,fikr,ചിന്ത
235,Gedächtnis::N,äs,ഓർമ്മശക്തി
236,Verstand::N,aql,മനസ്സ്
237,Sinn::N,ma'ni,അർത്ഥം
238,Grund::N,sabab,കാരണം
239,Wahrheit::N,haq,സത്യം
240,Gespräch::N,gap,സല്ലാപം
241,Märchen::N,ärtak,യക്ഷിക്കഥ
242,Erzählung::N,rivoyat,കഥ
243,Nachricht::N,xabar,സന്ദേശം
244,Neuigkeit::N,yangilik,വാർത്ത
245,Name::N,ot,പേര്
246,Rätsel::N,topishmoq,പ്രഹേളിക
247,Rede::N,nutq,സംസാരം
248,Sprache::N,til,ഭാഷ
249,Stimme::N,ovoz,സ്വരം
250,Wort::N,so'z,വാക്ക്
251,Zeichen::N,alomat,സംജ്ഞ
252,Ruf::N,chaqiriq,വിളി
253,Lärm::N,taraq,ആരവം
254,Laut::N,tovush,ശബ്ദം
255,Ton::N,un,സ്വരഭേദം
256,Lied::N,ashula,പാട്ട്
257,Ruhe::N,tinchlik,നിശ്ചലത
258,Leute::N,xaloyiq,ജനങ്ങൾ
259,Volk::N,xalq,രാഷ്ടം
260,Arbeit::N,ish,ജോലി
261,Gast::N,mehmon,അതിലി
262,Geschenk::N,hadya,സമ്മാനം
263,Spiel::N,o'yin,കളി
264,Gesellschaft::N,jamiyat,കൂട്ടായ്മ
265,Hilfe::N,yordam,സഹായം
266,Freund::N,do'st,സുഹൃത്ത്
267,Kamerad::N,yo'ldosh,കൂട്ടാളി
268,Angelegenheit::N,daxl,കാര്യം
269,Anzahl::N,son,എണ്ണം
270,Art::N,tur,തരം
271,Stück::N,parcha,കഷണം
272,Teil::N,bo'lak,ഭാഗം
273,Hälfte::N,yarim,പകുതി
274,Kreis::N,aylana,വൃത്തം
275,Kreuz::N,xoch,കുരിശടയാളം
276,Linie::N,liniya,വര
277,Linie::N,liniya,രേഖ
278,Strich::N,chiziq,പക്ഷാഘാതം
279,Abstand::N,oralik,വിടവ്
280,Entfernung::N,uzoqlik,അകലം
281,Gegend::N,yer,പ്രദേശം
282,Platz::N,oralig,ഇടം
283,Ort::N,joy,സ്ഥലം
284,Seite::N,yon,വശം
285,Mitte::N,o'rta,മധ്യസ്ഥാനം
286,Gegenstand::N,ashyo,സാധനം
287,Sache::N,buyum,വസ്തു
288,Rand::N,chek,തൊങ്ങൽ
289,Kante::N,tig',അറ്റം
290,Ecke::N,burchak,മൂല
291,Spitze::N,uch,അഗ്രം
292,Ende::N,oxir,അവസാനം
293,Loch::N,teshik,ദ്വാരം
294,Winkel::N,go'sha,കോൺ
295,Muster::N,nusha,ക്രമം
296,Größe::N,kattalik,വലുപ്പം
297,Länge::N,uzunlik,നീളം
298,Höhe::N,yuksaklik,ഉയരം
299,Gewicht::N,solmoq,കട്ടി
300,Menge::N,miqdor,അളവ്
301,Haufen::N,uyum,കൂമ്പാരം
302,Reihe::N,saf,വരി
303,Boot::N,qayiq,ബോട്ട്
304,Ruder::N,äshkak,പങ്കായം
305,Schlitten::N,chana,ഉരുളില്ലാവണ്ടി
306,Ski::N,chang'i,ഹിമപാദുകം
307,Lagerfeuer::N,gulxan,തീ
308,Last::N,yuk,ഭാരം
309,Gang::N,yurish,നടത്തം
310,Schritt::N,qadam,ചുവട്
311,Norden::N,shimol,വടക്ക്
312,Süden::N,janub,തെക്ക്
313,Westen::N,g'arb,പടിഞ്ഞാറ്
314,Osten::N,sharq,കിഴക്ക്
315,Holz::N,yog'och,തടി
316,Brett::N,taxta,ബോർഡ്
317,Platte::N,tabaqa,തകിട്
318,Stütze::N,tayanchi,താങ്ങ്
319,Stange::N,qo'noq,കമ്പ്
320,Stock::N,tayoq,വടി
321,Stab::N,gavron,കുറുവടി
322,Rohr::N,tarnov,കുഴൽ
323,Haus::N,uy,വീട്
324,Heim::N,makon,വീട്
325,Ofen::N,pechka,സ്റ്റൌ
326,Fußboden::N,pol,തറ
327,Tisch::N,mosa,മേശ
328,Stuhl::N,o'rindiq,കസേര
329,Wiege::N,beshik,തൊട്ടിൽ
330,Bett::N,yotoq,കിടക്ക
331,Regal::N,tokcha,ഷെൽഫ്
332,Kiste::N,sandiq,പെട്ടി
333,Fenster::N,deraza,ജനൽ
334,Tür::N,äshik,വാതിൽ
335,Tor::N,darvoza,കവാടം
336,Zaun::N,panjara,വേലി
337,Dach::N,tom,മേൽക്കുര
338,Leiter::N,narvon,ഏണി
339,Besen::N,supurgi,ചൂല്
340,Spaten::N,bel,തൂമ്പ
341,Schaufel::N,kurak,തൂമ്പ
342,Gabel::N,bilka,മുൾക്കത്തി
343,Löffel::N,qoshiq,സ്പൂൺ
344,Messer::N,pichoq,കത്തി
345,Nagel::N,mix,ആണി
346,Netz::N,to'r,വല
347,Haken::N,ilgak,കൊളുത്ത്
348,Griff::N,sop,കൈപ്പിടി
349,Griff::N,tutqich,കൈപ്പിടി
350,Schloss::N,qulf,പൂട്ട്
351,Bild::N,rasm,ചിത്രം
352,Figur::N,shakl,കണക്ക്
353,Puppe::N,ko'g'irchoq,പാവ
354,Beutel::N,to'rva,ബാഗ്
355,Bündel::N,bog'lam,കെട്ട്
356,Tasche::N,kissa,ബാഗ്
357,Eimer::N,chelak,ബക്കറ്റ്
358,Deckel::N,qopqoq,ഉറ
359,Geschirr::N,idish,പിഞ്ഞാണം
360,Sack::N,qop,ചാക്ക്
361,Tasse::N,piyola,കപ്പ്
362,Topf::N,tuvak,പാത്രം
363,Kessel::N,qozon,കെറ്റ്ല്
364,Essen::N,tomoq,ആഹാരസമയം
365,Nahrung::N,emak,ഭക്ഷണം
366,Speise::N,taom,ഡിഷ്
367,Fleisch::N,go'sht,മാംസം
368,Getreide::N,g'alla,ചോളം
369,Brei::N,bo'tqa,കഞ്ഞി
370,Brot::N,non,റോട്ടി
371,Scheibe::N,disk,തുണ്ട്
372,Fett::N,moy,കൊഴുപ്പ്
373,Butter::N,yog',വെണ്ണ
374,Öl::N,moy,എണ്ണ
375,Salz::N,tuz,ഉപ്പ്
376,Suppe::N,sho'rva,സൂപ്പ്
377,Honig::N,asal,തേൻ
378,Milch::N,sut,പാൽ
379,Tee::N,choy,ചായ
380,Leder::N,charm,തുകൽ
381,Wolle::N,jun,കമ്പിളി
382,Stoff::N,mato,തുണി
383,Nadel::N,igna,സൂചി
384,Faden::N,ip,നൂല്
385,Knopf::N,tugma,ബട്ടൺ
386,Knoten::N,tugun,കുരുക്ക്
387,Farbe::N,bo'yok,പെയിൻറ്
388,Kleidung::N,kiyim,വസ്ത്രങ്ങൾ
389,Hemd::N,ko'ylak,ഷർട്ട്
390,Kragen::N,yoqa,കുപ്പായക്കഴുത്ത്
391,Ärmel::N,yeng,കുപ്പായക്കൈ
392,Hose::N,shim,ട്രൌസർ
393,Gürtel::N,tasma,ബെൽറ്റ്
394,Mütze::N,shapka,തൊപ്പി
395,Schuh::N,but,ഷൂ
396,Stiefel::N,botinka,ബൂട്ട്
397,Ring::N,yuzuk,മോതിരം
398,Band::N,rishta,റിബൺ
399,Kamm::N,taroq,ചീപ്പ്
400,Spiegel::N,ko'zgu,കണ്ണാടി
401,Riemen::N,qayish,സ്ട്രാപ്പ്
402,Schnur::N,bog'ich,ചരട്
403,Leine::N,etak,കെട്ടാനുള്ള തോൽവാർ
404,Decke::N,odyol,പുതപ്പ്
405,Kissen::N,yostiq,തലയിണ
406,Tuch::N,gazlama,സ്കാർഫ്
407,Handtuch::N,sochiq,തോർത്ത്
408,Kraft::N,kuch,ശക്തി
409,Stärke::N,quvvat,ശക്തി
410,Gesundheit::N,sog'lik,ആരോഗ്യം
411,Krankheit::N,kasallik,അസുഖം
412,Schmerz::N,og'riq,വേദന
413,Wunde::N,yara,മുറിവ്
414,Fieber::N,bezgak,പനി
415,Arznei::N,dori,മരുന്ന്
416,Brücke::N,ko'prik,പാലം
417,Brunnen::N,buloq,കിണർ
418,Weide::N,yaylov,മേച്ചൽ
419,Pfad::N,dorojka,വഴി
420,Weg::N,yo'l,വഴി
421,Straße::N,ko'cha,റോഡ്
422,Dorf::N,ovul,ഗ്രാമം
423,Stadt::N,shahar,നഗരം
424,Brief::N,maktub,കത്ത്
425,Buch::N,kitob,പുസ്തകം
426,Buchstabe::N,harf,അക്ഷരം
427,Zeitung::N,gazet,വർത്തമാനപത്രം
428,Leben::N,hayot,ജീവൻ
429,Tod::N,o'lim,മരണം
430,Grab::N,go'r,ശവക്കുഴി
431,Kirche::N,cherkov,പള്ളി
432,Sünde::N,gunoh,പാപം
433,Gott::N,olloh,ദൈവം
434,Arbeiter::N,ishchi,ജോലിക്കാരൻ
435,Chef::N,rais,മേധാവി
436,Meister::N,usta,യജമാനൻ
437,Arzt::N,hakim,ഡോക്ടർ
438,Lehrer::N,muallim,അധ്യാപകൻ
439,Geld::N,pul,പണം
440,Geschäft::N,savdo,ബിസിനസ്
441,Laden::N,do'kon,കട
442,Preis::N,baho,വില
443,Ware::N,mol,ചരക്ക്
444,Nutzen::N,foyda,ലാഭം
445,Reichtum::N,boylik,ധനം
446,Welt::N,olam,ലോകം
447,Land::N,o'lka,രാജ്യം
448,Staat::N,davlat,രാജ്യം
449,König::N,qirol,രാജാവ്
450,Macht::N,iqtidor,അധികാരം
451,Grenze::N,chegara,അതിർത്തി
452,Krieg::N,harb,യുദ്ധം
453,Feind::N,dushman,ശത്രു
454,Gewalt::N,zo'rlik,അക്രമം
455,Kampf::N,kurash,പോരാട്ടം
456,Bogen[Waffe]::N,yoy,വില്ല്
457,Pfeil::N,o'q,അമ്പ്
458,Gewehr::N,vintovka,തോക്ക്
459,Fehler::N,xato,പിശക്
460,Lüge::N,yolg'on,കള്ളം
461,Schaden::N,ziyon,കേടുപാട്
462,Unglück::N,balo,ദൌർഭാഗ്യം
463,Schuld::N,ayb,തെറ്റ്
464,Alter::N,yosh,വയസ്സ്
465,Schluss::N,tamom,നിഗമനം
466,Zeit::N,vaqt,സമയം
467,Tag::N,kun,ദിവസം
468,Morgen::N,saboh,പ്രഭാതം
469,Mittag::N,kun tushlik,ഉച്ച
470,Abend::N,oqshom,സായാഹ്നം
471,Nacht::N,tun,രാത്രി
472,Woche::N,hafta,ആഴ്ച
473,Monat::N,oy,മാസം
474,Jahr::N,yil,വർഷം
475,Frühling::N,bahor,വസന്തം
476,Sommer::N,yoz,വേനൽ
477,Herbst::N,kuz,ശരത്കാലം
478,Herbst::N,xazon,ശരത്കാലം
479,Winter::N,qish,ശൈത്യം
480,Januar::N,yanvar',ജനുവരി
481,Februar::N,fevral',ഫെബ്രുവരി
482,März::N,mart,മാർച്ച്
483,April::N,aprel',ഏപ്രിൾ മാസം
484,Mai::N,may,മെയ് മാസം
485,Juni::N,iyun',ജൂൺ
486,Juli::N,iyul',ജൂലൈ
487,August::N,avgust,ആഗസ്റ്റ്
488,September::N,sentyabr',സെപ്തംബർ
489,Oktober::N,oktyabr',ഒക്ടോബർ
490,November::N,noyabr',നവംബർ
491,Dezember::N,dekabr',ഡിസംബർ
492,Montag::N,dushanba,തിങ്കളാഴ്ച
493,Dienstag::N,seshanba,ചൊവ്വ
494,Mittwoch::N,chorshanba,ബുധനാഴ്ച
495,Donnerstag::N,payshanba,വ്യാഴാഴ്ച
496,Freitag::N,juma,വെള്ളിയാഴ്ച
497,Samstag::N,shanba,ശനിയാഴ്ച
498,Sonntag::N,yakshanba,ഞായറാഴ്ച
499,groß::A,buyuk,വലിയ
500,klein::A,kichik,ചെറിയ
501,lang::A,uzun,നീണ്ട
502,kurz::A,qisqa,ഹ്രസ്വമായ
503,breit::A,keng,വിശാലമായ
504,schmal::A,änsiz,ഇടുങ്ങിയ
505,dicht::A,quyuq,നിബിഡമായ
506,dick[Gegenstand]::A,qalin,തടിച്ച
507,dünn::A,ingichka,മെലിഞ്ഞ
508,fein::A,mayin,നേർത്ത
509,fest::A,qattiq,ഉറപ്പുള്ള
510,flach::A,yalpoq,പരന്ന
511,glatt::A,tekis,മിനുസമുള്ള
512,hart::A,qattiq,കട്ടിയുള്ള
513,weich::A,yumshoq,മൃദുവായ
514,rund::A,yumaloq,വട്ടത്തിലുള്ള
515,spitz::A,uchli,മുനയുള്ള
516,scharf::A,keskir,മൂർച്ചയുള്ള
517,stumpf::A,to'mtoq,തുറന്നടിക്കുന്ന
518,schwer::A,salmoqli,ഭാരമുള്ള
519,schön::A,go'zal,മനോഹരമായ
520,heiß::A,qiziq,ചൂടുള്ള
521,warm::A,issiq,ചൂടുള്ള
522,kalt::A,sovuq,തണുത്ത
523,kühl::A,salqin,തണുപ്പുള്ള
524,frisch::A,toza,ശുദ്ധമായ
525,feucht::A,namli,ഈറനുള്ള
526,nass::A,nam,നനഞ്ഞ
527,trocken::A,quruq,വരണ്ട
528,voll::A,to'la,നിറയെ
529,leer::A,puch,ഒഴിഞ്ഞ
530,offen::A,ochiq,തുറന്ന
531,geschlossen::A,berk,അടച്ച
532,sauber::A,ozoda,വൃത്തിയുള്ള
533,schmutzig::A,kir,അഴുക്കുനിറഞ്ഞ
534,roh::A,xom,അസംസ്കൃതമായ
535,reif::A,pishiq,പഴുത്ത
536,lecker::A,shirin,രുചികരമായ
537,süß::A,shirin,മധുരമുള്ള
538,bitter::A,achchiq,കടുത്ത
539,sauer::A,achchiq,പുളിപ്പുള്ള
540,hell::A,yorug',ജ്വലിക്കുന്ന
541,dunkel::A,qorong'i,ഇരുണ്ട
542,schwarz::A,qora,കറുത്ത
543,weiß::A,oq,വെളുത്ത
544,rot::A,qizil,ചുവന്ന
545,gelb::A,sariq,മഞ്ഞനിറമായ
546,blau::A,zangori,നീലനിറമുള്ള
547,grün::A,yashil,പച്ചനിറമുള്ള
548,grau::A,bo'z,ചാരനിറത്തിലുള്ള
549,bunt::A,ola,വർണ്ണശബളമായ
550,billig::A,arzon,വിലകുറഞ്ഞ
551,teuer::A,qimmat,ചെലവേറിയ
552,wertvoll::A,qimmat,വിലപിടിപ്പുള്ള
553,blind::A,ko'r,അന്ധനായ
554,taub::A,garang,കേൾവിക്കുറവുള്ള
555,kräftig::A,kuchli,ശക്തിയുള്ള
556,stark::A,quvvatli,ബലമുള്ള
557,schwach::A,kuchsiz,ക്ഷീണിച്ച
558,fett::A,semiz,കൊഴുപ്പുള്ള
559,schlank::A,ingichka,മെലിഞ്ഞ
560,hübsch::A,ko'rkam,മനോഹരമായ
561,böse::A,yovuz,പാപിയായ
562,dumm::A,aqlsiz,വിവരംകെട്ട
563,faul::A,ärinchak,അലസനായ
564,fleißig::A,ishchan,അദ്ധ്വാനശീലമുള്ള
565,geizig::A,qurumsoq,പിശുക്കനായ
566,klug::A,oqil,ബുദ്ധിസാമർഥ്യമുള്ള
567,geschickt::A,äpchil,പ്രതിഭാശാലി
568,lieb::A,aziz,പ്രിയപ്പെട്ട
569,lustig::A,chaqchaq,ആനന്ദകരമായ
570,sanft::A,asta,സൌമ്യമായ
571,hungrig::A,och,വിശപ്പുള്ള
572,krank::A,kasal,അസുഖമുള്ള
573,nackt::A,yalang,നഡമായ
574,traurig::A,xafa,വിഷമമുള്ള
575,lebendig::A,hayotiy,ഉപജീവനം
576,gut::A,soz,നല്ല
577,schlecht::A,yomon,മോശമായ
578,richtig::A,rost,ശരിയായ
579,schlimm::A,yovuz,വൃത്തികെട്ട
580,wahr::A,haqiqiy,ശരിയായ
581,alt::A,äski,പഴയ
582,neu::A,yangi,പുതിയ
583,ehemalig::A,sobiq,മുൻ
584,alt[Lebewesen]::A,qari,വയസ്സുള്ള
585,jung::A,navqiron,കൌമാരമായ
586,arm::A,abgor,പാവപ്പെട്ട
587,reich::A,boy,സമ്പന്നമായ
588,bekannt::A,ma'lum,പരിചിതമായ
589,berühmt::A,mashhur,പ്രശസ്തനായ
590,fremd::A,yot,വൈദേശികമായ
591,verschieden::A,turli,വ്യത്യസ്തമായ
592,nah::A,yaqindagi,അരികത്തുള്ള
593,fern::A,uzoq,അകലെയുള്ള
594,linker::A,so'l,അവശേഷിച്ച
595,rechter::A,o'ng,വലത്തേ
596,anderer::A,boshqa,മറ്റുള്ള
597,erster::A,birinchi,ആദ്യത്തെ
598,zweiter::A,ikkinchi,രണ്ടാം
599,dritter::A,uchinchi,മൂന്നാമത്
600,letzter::A,oxirgi,അവസാനത്തെ
601,allein::ADV,o'zicha,തനിച്ചുള്ള
602,auf einmal::ADV,varakay,ഉടന്
603,zusammen::ADV,barobar,ഒരുമിച്ച
604,lange::ADV,uzoq,നീണ്ട_കാലത്തേയ്ക്ക്
605,plötzlich::ADV,qo'qqisdan,പെട്ടെന്ന്
606,sofort::ADV,darrov,തത്ക്ഷണം
607,später::ADV,so'ngra,പിന്നീട്
608,jetzt::ADV,hozirgina,ഇപ്പോൾ
609,heute::ADV,bugun,ഇന്ന്
610,morgen::ADV,ärta,നാളെ
611,bald::ADV,toz,ഉടനെ
612,dann::ADV,keyin,അപ്പോൾ
613,gestern::ADV,kecha,ഇന്നലെ
614,einst::ADV,avvallari,പണ്ടൊരിക്കല്
615,damals::ADV,ugal,അപ്പോൾ
616,danach::ADV,so'ngra,പിന്നീട്
617,vorher::ADV,avval,മുൻപ്
618,zuerst::ADV,avval,ആദ്യം
619,einmal::ADV,bir marta,ഒരിക്കൽ
620,manchmal::ADV,onda-sonda,ചിലപ്പോൾ
621,oft::ADV,tez-tez,പലപ്പോഴും
622,immer::ADV,har vaqt,എപ്പോഴും
623,niemals::ADV,hargiz,ഒരിക്കലും
624,hier::ADV,shu erda,ഇവിടെ
625,hierhin::ADV,beri,ഇവിടേക്ക്
626,von hier::ADV,shu erdan,ഇവിടെനിന്ന്
