,Concept_ID,no,it
67,Traum::N,drøm,sogno
68,Himmel::N,himmel,cielo
69,Sonne::N,sol,sole
70,Mond::N,måne,luna
71,Stern::N,stjerne,stella
72,Luft::N,luft,aria
73,Wind::N,vind,vento
74,Welle::N,bølge,onda
75,Wasser::N,vann,acqua
76,Stein::N,stein,sasso
77,Stein::N,stein,pietra
78,Boden::N,bakke,suolo
79,Boden::N,bakke,terreno
80,Erde::N,jord,terra
81,Staub::N,støv,polvere
82,Rauch::N,røyk,fumo
83,Funke::N,gnist,scintilla
84,Feuer::N,ild,fuoco
85,Licht::N,lys,luce
86,Schatten::N,skygge,ombra
87,Wetter::N,vær,tempo
88,Nebel::N,tåke,nebbia
89,Wolke::N,sky,nube
90,Wolke::N,sky,nùvola
91,Regen::N,regn,pioggia
92,Schnee::N,snø,neve
93,Eis::N,is,ghiaccio
94,Frost::N,frost,gelo
95,Kälte::N,kulde,freddo
96,Hitze::N,hete,caldo
97,Hitze::N,hete,calura
98,Raureif::N,rimfrost,brina
99,Regenbogen::N,regnbue,arcobaleno
100,Donner::N,torden,tuono
101,Strömung::N,strømning,corrente
102,Tropfen::N,dråpe,goccia
103,Schaum::N,skum,spuma
104,Schaum::N,skum,schiuma
105,Schmutz::N,søl,sudiciume
106,Schmutz::N,skitt,sudiciume
107,See::N,sjø,lago
108,Sumpf::N,sump,palude
109,Sumpf::N,myrlende,palude
110,Moor::N,myr,torbiera
111,Moor::N,myrhei,torbiera
112,Wiese::N,eng,prato
113,Wald::N,skog,bosco
114,Wald::N,skog,foresta
115,Hügel::N,haug,colle
116,Hügel::N,haug,collina
117,Hügel::N,bakke,colle
118,Hügel::N,bakke,collina
119,Anhöhe::N,haug,altura
120,Anhöhe::N,bakke,altura
121,Berg::N,berg,monte
122,Berg::N,berg,montagna
123,Berg::N,fjell,monte
124,Berg::N,fjell,montagna
125,Gipfel::N,topp,cima
126,Höhle::N,hule,grotta
127,Höhle::N,hule,caverna
128,Abhang::N,li,pendìo
129,Abhang::N,skråning,pendìo
130,Quelle::N,kilde,sorgente
131,Bach::N,bekk,ruscello
132,Fluss::N,elv,fiume
133,Ufer::N,bredd,riva
134,Küste::N,kyst,costa
135,Festland::N,fastland,terraferma
136,Meer::N,hav,mare
137,Bucht::N,bukt,cala
138,Insel::N,øy,ìsola
139,Blume::N,blomst,fiore
140,Gras::N,gress,erba
141,Wurzel::N,rot,radice
142,Baum::N,tre,àlbero
143,Stamm::N,stamme,tronco
144,Rinde::N,bark,corteccia
145,Ast::N,gren,ramo
146,Zweig::N,kvist,ramo
147,Blatt::N,blad,foglia
148,Birke::N,bjørk,betulla
149,Kiefer[Baum]::N,furu,pino
150,Weide[Baum]::N,selje,sàlice
151,Weide[Baum]::N,piletre,sàlice
152,Tanne::N,gran,abete
153,Horn::N,horn,corno
154,Feder::N,fjær,penna
155,Fell::N,skinn,manto
156,Fell::N,skinn,pelame
157,Flügel::N,vinge,ala
158,Klaue::N,klauv,grinfia
159,Kralle::N,klo,unghia
160,Kralle::N,klo,artiglio
161,Schwanz::N,hale,coda
162,Ei::N,egg,uovo
163,Nest::N,rede,nido
164,Bau::N,hi,covo
165,Tier::N,dyr,bestia
166,Tier::N,dyr,animale
167,Herde::N,flokk,gregge
168,Kuh::N,ku,vacca
169,Bulle::N,tyr,toro
170,Pferd::N,hest,cavallo
171,Schaf::N,får,pècora
172,Schwein::N,gris,porco
173,Schwein::N,gris,maiale
174,Hund::N,hund,cane
175,Katze::N,katt,gatta
176,Bär::N,bjørn,orso
177,Eichhörnchen::N,ekorn,scoiàttolo
178,Elch::N,elg,alce
179,Fuchs::N,rev,volpe
180,Hase::N,hare,lepre
181,Maus::N,mus,topo
182,Maus::N,mus,sorcio
183,Wolf::N,ulv,lupo
184,Wolf::N,varg,lupo
185,Vogel::N,fugl,uccello
186,Schwarm::N,sverm,stormo
187,Huhn::N,høne,gallina
188,Hahn::N,hane,gallo
189,Gans::N,gås,oca
190,Adler::N,ørn,àquila
191,Ente::N,and,ànatra
192,Eule::N,ugle,gufo
193,Eule::N,ugle,civetta
194,Kranich::N,trane,gru
195,Krähe::N,kråke,cornacchia
196,Kuckuck::N,gjøk,cuccù
197,Kuckuck::N,gjøk,cùculo
198,Schwan::N,svane,cigno
199,Fisch::N,fisk,pesce
200,Barsch::N,abbor,pèrsico
201,Hecht::N,gjedde,luccio
202,Schlange[Tier]::N,orm,serpente
203,Schlange[Tier]::N,slange,serpente
204,Wurm::N,orm,baco
205,Wurm::N,orm,verme
206,Wurm::N,mark,baco
207,Wurm::N,mark,verme
208,Spinne::N,edderkopp,ragno
209,Ameise::N,maur,formica
210,Laus::N,lus,pidocchio
211,Mücke::N,mygg,zanzara
212,Fliege::N,flue,mosca
213,Schmetterling::N,sommerfugl,farfalla
214,Beere::N,bær,bacca
215,Apfel::N,eple,mela
216,Pilz::N,sopp,fungo
217,Zwiebel::N,løk,cipolla
218,Saat::N,sæd,semente
219,Korn::N,korn,grano
220,Heu::N,høy,fieno
221,Schale::N,skall,buccia
222,Grube::N,grop,cava
223,Grube::N,grop,fossa
224,Falle::N,felle,tràppola
225,Schlinge::N,snare,laccio
226,Spur::N,spor,traccia
227,Asche::N,aske,cenere
228,Dreck::N,møkk,fango
229,Dreck::N,skitt,fango
230,Eisen::N,jern,ferro
231,Gold::N,gull,oro
232,Silber::N,sølv,argento
233,Kohle::N,kol,carbone
234,Kohle::N,kull,carbone
235,Glas::N,glass,vetro
236,Lehm::N,leire,argilla
237,Sand::N,sand,arena
238,Sand::N,sand,sabbia
239,Mensch::N,menneske,uomo
240,Mensch::N,menneske,èssere umano
241,Mann::N,mann,uomo
242,Frau::N,kvinne,donna
243,Kind::N,barn,bambino
244,Junge::N,gutt,ragazzo
245,Mädchen::N,pike,ragazza
246,Mädchen::N,jente,ragazza
247,Familie::N,familie,famiglia
248,Großvater::N,bestefar,nonno
249,Großmutter::N,bestemor,nonna
250,Eltern::N,foreldre,genitori
251,Vater::N,far,padre
252,Mutter::N,mor,madre
253,Sohn::N,sønn,figlio
254,Tochter::N,datter,figlia
255,Bruder::N,bror,fratello
256,Schwester::N,søster,sorella
257,Onkel::N,onkel,zio
258,Tante::N,tante,zia
259,Ehemann::N,ektemann,marito
260,Ehefrau::N,hustru,moglie
261,Freude::N,glede,gioia
262,Freude::N,glede,piacere
263,Gelächter::N,latter,risata
264,Glück::N,lykke,felicità
265,Kummer::N,sorg,afflizione
266,Wunsch::N,ønske,desiderio
267,Lust::N,lyst,voglia
268,Geist::N,ånd,mente
269,Geist::N,ånd,spìrito
270,Gedanke::N,tanke,idea
271,Gedanke::N,tanke,pensiero
272,Gedächtnis::N,minne,memoria
273,Gedächtnis::N,hukommelse,memoria
274,Verstand::N,forstand,intelletto
275,Sinn::N,mening,senso
276,Sinn::N,mening,significato
277,Sinn::N,betydning,senso
278,Sinn::N,betydning,significato
279,Grund::N,grunn,causa
280,Grund::N,grunn,motivo
281,Grund::N,grunn,ragione
282,Wahrheit::N,sannhet,verità
283,Gespräch::N,samtale,discorso
284,Gespräch::N,samtale,conversazione
285,Märchen::N,eventyr,fiaba
286,Märchen::N,eventyr,fàvola
287,Erzählung::N,fortelling,racconto
288,Erzählung::N,fortelling,narrazione
289,Nachricht::N,melding,messaggio
290,Neuigkeit::N,nyhet,notizia
291,Name::N,navn,nome
292,Rätsel::N,gåte,indovinello
293,Rede::N,tale,discorso
294,Sprache::N,språk,lingua
295,Sprache::N,språk,linguaggio
296,Stimme::N,stemme,voce
297,Wort::N,ord,parola
298,Zeichen::N,tegn,segno
299,Zeichen::N,tegn,segnale
300,Ruf::N,rop,chiamata
301,Lärm::N,bråk,chiasso
302,Lärm::N,bråk,strèpito
303,Laut::N,lyd,suono
304,Ton::N,tone,tono
305,Lied::N,vise,canto
306,Lied::N,vise,canzone
307,Ruhe::N,ro,calma
308,Ruhe::N,ro,tranquillità
309,Leute::N,folk,gente
310,Volk::N,folk,pòpolo
311,Arbeit::N,arbeid,lavoro
312,Gast::N,gjest,òspite
313,Gast::N,gjest,invitato
314,Geschenk::N,gave,regalo
315,Spiel::N,lek,gioco
316,Spiel::N,spill,gioco
317,Gesellschaft::N,selskap,compagnìa
318,Hilfe::N,hjelp,aiuto
319,Hilfe::N,hjelp,soccorso
320,Freund::N,venn,amico
321,Kamerad::N,kamerat,camerata
322,Angelegenheit::N,sak,affare
323,Angelegenheit::N,sak,faccenda
324,Angelegenheit::N,anliggende,affare
325,Angelegenheit::N,anliggende,faccenda
326,Anzahl::N,antall,nùmero
327,Anzahl::N,antall,quantità
328,Art::N,art,tipo
329,Art::N,art,specie
330,Art::N,slag,tipo
331,Art::N,slag,specie
332,Stück::N,stykke,pezzo
333,Teil::N,del,parte
334,Hälfte::N,halvdel,metà
335,Kreis::N,ring,cìrcolo
336,Kreis::N,sirkel,cìrcolo
337,Kreuz::N,kors,croce
338,Kreuz::N,kryss,croce
339,Linie::N,linje,lìnea
340,Strich::N,strek,tratto
341,Abstand::N,avstand,distanza
342,Entfernung::N,avstand,distanza
343,Entfernung::N,avstand,lontananza
344,Gegend::N,strøk,regione
345,Platz::N,plass,posto
346,Platz::N,plass,spazio
347,Ort::N,sted,luogo
348,Ort::N,sted,località
349,Seite::N,side,lato
350,Seite::N,side,parte
351,Mitte::N,midte,mezzo
352,Mitte::N,midte,centro
353,Gegenstand::N,gjenstand,oggetto
354,Sache::N,sak,cosa
355,Rand::N,rand,orlo
356,Rand::N,rand,bordo
357,Kante::N,kant,spìgolo
358,Ecke::N,hjørne,canto
359,Spitze::N,spiss,punta
360,Ende::N,ende,capo
361,Ende::N,ende,estremità
362,Loch::N,hull,buco
363,Winkel::N,vinkel,àngolo
364,Muster::N,mønster,disegno
365,Größe::N,størrelse,taglia
366,Größe::N,størrelse,grandezza
367,Länge::N,lengde,lunghezza
368,Höhe::N,høyde,altezza
369,Gewicht::N,vekt,peso
370,Menge::N,mengde,quantità
371,Haufen::N,haug,cùmulo
372,Haufen::N,haug,mucchio
373,Haufen::N,bunke,cùmulo
374,Haufen::N,bunke,mucchio
375,Reihe::N,rekke,fila
376,Boot::N,båt,barca
377,Boot::N,båt,battello
378,Ruder::N,åre,remo
379,Schlitten::N,slede,slitta
380,Schlitten::N,kjelke,slitta
381,Ski::N,ski,sci
382,Lagerfeuer::N,leirbål,falò
383,Lagerfeuer::N,leirbål,fuoco di bivacco
384,Last::N,bør,càrico
385,Last::N,last,càrico
386,Gang::N,gang,andata
387,Schritt::N,steg,passo
388,Schritt::N,skritt,passo
389,Norden::N,nord,nord
390,Norden::N,nord,settentrione
391,Süden::N,sør,sud
392,Süden::N,sør,meridione
393,Westen::N,vest,òvest
394,Westen::N,vest,occidente
395,Osten::N,øst,est
396,Osten::N,øst,oriente
397,Holz::N,tre,legno
398,Brett::N,fjøl,asse
399,Brett::N,fjøl,tàvola
400,Brett::N,brett,asse
401,Brett::N,brett,tàvola
402,Platte::N,plate,lastra
403,Platte::N,plate,piastra
404,Stütze::N,støtte,supporto
405,Stange::N,stang,sbarra
406,Stange::N,stang,pèrtica
407,Stock::N,pinne,verga
408,Stock::N,pinne,bastone
409,Stock::N,pinne,bacchetta
410,Stab::N,stav,asta
411,Stab::N,kjepp,asta
412,Rohr::N,rør,tubo
413,Haus::N,hus,casa
414,Heim::N,hjem,casa
415,Ofen::N,ovn,stufa
416,Fußboden::N,gulv,pavimento
417,Tisch::N,bord,tàvolo
418,Stuhl::N,stol,sedia
419,Wiege::N,vogge,culla
420,Bett::N,seng,letto
421,Regal::N,reol,scaffale
422,Regal::N,hylle,scaffale
423,Kiste::N,kasse,cassa
424,Fenster::N,vindu,finestra
425,Tür::N,dør,porta
426,Tor::N,port,portone
427,Zaun::N,gjerde,recinto
428,Dach::N,tak,tetto
429,Leiter::N,stige,scala
430,Leiter::N,stige,scala a pioli
431,Besen::N,kost,scopa
432,Spaten::N,spade,vanga
433,Schaufel::N,skuffe,pala
434,Gabel::N,gaffel,forchetta
435,Löffel::N,skje,cucchiaio
436,Messer::N,kniv,coltello
437,Nagel::N,spiker,chiodo
438,Netz::N,nett,rete
439,Haken::N,krok,uncino
440,Griff::N,tak,mànico
441,Griff::N,tak,maniglia
442,Griff::N,håndtak,mànico
443,Griff::N,håndtak,maniglia
444,Schloss::N,lås,serratura
445,Bild::N,bilde,quadro
446,Bild::N,bilde,immàgine
447,Figur::N,figur,figura
448,Puppe::N,dukke,bàmbola
449,Beutel::N,pose,borsa
450,Beutel::N,pose,sacchetto
451,Bündel::N,bylt,fascio
452,Bündel::N,bylt,fagotto
453,Tasche::N,veske,borsa
454,Eimer::N,bøtte,secchio
455,Deckel::N,lokk,coperchio
456,Geschirr::N,kjøkkentøy,stoviglie
457,Sack::N,sekk,sacco
458,Tasse::N,kopp,tazza
459,Topf::N,gryte,pèntola
460,Kessel::N,kjele,paiolo
461,Kessel::N,kjele,calderone
462,Essen::N,mål,pasto
463,Essen::N,mål,mangiare
464,Nahrung::N,mat,cibo
465,Nahrung::N,mat,alimento
466,Nahrung::N,næring,cibo
467,Nahrung::N,næring,alimento
468,Speise::N,matrett,piatto
469,Fleisch::N,kjøtt,carne
470,Getreide::N,korn,cereali
471,Brei::N,grøt,purè
472,Brei::N,grøt,pappa
473,Brot::N,brød,pane
474,Scheibe::N,skive,fetta
475,Scheibe::N,skive,trancia
476,Fett::N,fett,grasso
477,Butter::N,smør,burro
478,Öl::N,olje,olio
479,Salz::N,salt,sale
480,Suppe::N,suppe,zuppa
481,Suppe::N,suppe,minestra
482,Honig::N,honning,miele
483,Milch::N,melk,latte
484,Tee::N,te,tè
485,Leder::N,lær,pelle
486,Leder::N,skinn,pelle
487,Wolle::N,ull,lana
488,Stoff::N,tøy,panno
489,Stoff::N,tøy,tessuto
490,Stoff::N,stoff,panno
491,Stoff::N,stoff,tessuto
492,Nadel::N,nål,ago
493,Faden::N,tråd,filo
494,Knopf::N,knapp,bottone
495,Knoten::N,knute,nodo
496,Farbe::N,farge,pittura
497,Kleidung::N,påkledning,vestiti
498,Kleidung::N,påkledning,vestiario
499,Hemd::N,skjorte,camicia
500,Kragen::N,krage,bàvero
501,Kragen::N,krage,colletto
502,Ärmel::N,erme,mànica
503,Hose::N,bukse,calzoni
504,Gürtel::N,belte,cintura
505,Mütze::N,lue,berretto
506,Schuh::N,sko,scarpa
507,Stiefel::N,støvel,stivale
508,Ring::N,ring,anello
509,Band::N,band,nastro
510,Band::N,band,fettuccia
511,Kamm::N,kam,pèttine
512,Spiegel::N,speil,specchio
513,Riemen::N,rem,cinghia
514,Schnur::N,snor,corda
515,Leine::N,line,guinzaglio
516,Decke::N,teppe,coperta
517,Kissen::N,pute,cuscino
518,Kissen::N,pute,guanciale
519,Tuch::N,tøy,fazzoletto
520,Handtuch::N,håndkle,asciugamano
521,Kraft::N,kraft,forza
522,Stärke::N,styrke,forza
523,Stärke::N,styrke,vigore
524,Stärke::N,styrke,fortezza
525,Gesundheit::N,helse,salute
526,Gesundheit::N,sunnhet,salute
527,Krankheit::N,syke,malattìa
528,Krankheit::N,sykdom,malattìa
529,Schmerz::N,smerte,dolore
530,Wunde::N,sår,piaga
531,Wunde::N,sår,ferita
532,Fieber::N,feber,febbre
533,Arznei::N,medisin,fàrmaco
534,Arznei::N,medisin,medicina
535,Arznei::N,legemiddel,fàrmaco
536,Arznei::N,legemiddel,medicina
537,Brücke::N,bro,ponte
538,Brunnen::N,brønn,pozzo
539,Weide::N,beite,pàscolo
540,Pfad::N,sti,sentiero
541,Weg::N,vei,via
542,Weg::N,vei,cammino
543,Straße::N,gate,strada
544,Dorf::N,landsby,paese
545,Dorf::N,landsby,villaggio
546,Stadt::N,by,città
547,Brief::N,brev,lèttera
548,Buch::N,bok,libro
549,Buchstabe::N,bokstav,lèttera
550,Zeitung::N,avis,giornale
551,Leben::N,liv,vita
552,Tod::N,død,morte
553,Grab::N,grav,tomba
554,Grab::N,grav,sepolcro
555,Kirche::N,kirke,chiesa
556,Sünde::N,synd,peccato
557,Gott::N,gud,dio
558,Arbeiter::N,arbeider,operaio
559,Arbeiter::N,arbeider,lavoratore
560,Chef::N,sjef,capo
561,Chef::N,sjef,padrone
562,Meister::N,mester,mastro
563,Meister::N,mester,maestro
564,Arzt::N,lege,mèdico
565,Arzt::N,lege,dottore
566,Lehrer::N,lærer,professore
567,Geld::N,penger,soldi
568,Geld::N,penger,denaro
569,Geschäft::N,forretning,affare
570,Geschäft::N,forretning,negozio
571,Laden::N,butikk,negozio
572,Preis::N,pris,prezzo
573,Ware::N,vare,merce
574,Nutzen::N,nytte,ùtile
575,Nutzen::N,nytte,profitto
576,Reichtum::N,rikdom,ricchezza
577,Welt::N,verden,mondo
578,Land::N,land,paese
579,Staat::N,stat,Stato
580,König::N,konge,re
581,Macht::N,makt,potere
582,Grenze::N,grense,confine
583,Grenze::N,grense,frontiera
584,Krieg::N,krig,guerra
585,Feind::N,fiende,nemico
586,Gewalt::N,vold,violenza
587,Kampf::N,kamp,lotta
588,Bogen[Waffe]::N,bue,arco
589,Pfeil::N,pil,freccia
590,Gewehr::N,gevær,fucile
591,Fehler::N,feil,errore
592,Fehler::N,feil,sbaglio
593,Lüge::N,løgn,bugìa
594,Lüge::N,løgn,menzogna
595,Schaden::N,skade,danno
596,Unglück::N,uhell,sfortuna
597,Schuld::N,skyld,colpa
598,Alter::N,alder,età
599,Schluss::N,slutt,fine
600,Zeit::N,tid,tempo
601,Tag::N,dag,giorno
602,Tag::N,dag,giornata
603,Morgen::N,morgen,mattina
604,Mittag::N,middag,mezzogiorno
605,Abend::N,aften,sera
606,Abend::N,aften,serata
607,Nacht::N,natt,notte
608,Woche::N,uke,settimana
609,Monat::N,måned,mese
610,Jahr::N,år,anno
611,Frühling::N,vår,primavera
612,Sommer::N,sommer,estate
613,Herbst::N,høst,autunno
614,Winter::N,vinter,inverno
615,Januar::N,januar,gennaio
616,Februar::N,februar,febbraio
617,März::N,mars,marzo
618,April::N,april,aprile
619,Mai::N,mai,maggio
620,Juni::N,juni,giugno
621,Juli::N,juli,luglio
622,August::N,august,agosto
623,September::N,september,settembre
624,Oktober::N,oktober,ottobre
625,November::N,november,novembre
626,Dezember::N,desember,dicembre
627,Montag::N,mandag,lunedì
628,Dienstag::N,tirsdag,martedì
629,Mittwoch::N,onsdag,mercoledì
630,Donnerstag::N,torsdag,giovedì
631,Freitag::N,fredag,venerdì
632,Samstag::N,lørdag,sàbato
633,Sonntag::N,søndag,domenica
634,groß::A,stor,grande
635,klein::A,liten,pìccolo
636,lang::A,lang,lungo
637,kurz::A,kort,corto
638,breit::A,bred,largo
639,schmal::A,smal,stretto
640,dicht::A,tett,denso
641,dick[Gegenstand]::A,tykk,spesso
642,dünn::A,tynn,sottile
643,fein::A,fin,fine
644,fein::A,fin,delicato
645,fest::A,fast,sodo
646,fest::A,fast,fisso
647,flach::A,flat,piano
648,flach::A,flat,piatto
649,glatt::A,glatt,liscio
650,hart::A,hard,duro
651,weich::A,myk,molle
652,weich::A,bløt,molle
653,rund::A,rund,rotondo
654,spitz::A,spiss,aguzzo
655,spitz::A,spiss,appuntito
656,scharf::A,kvass,affilato
657,scharf::A,kvass,tagliente
658,stumpf::A,stubb,smussato
659,schwer::A,tung,pesante
660,schön::A,pen,bello
661,schön::A,vakker,bello
662,heiß::A,het,caldo
663,heiß::A,het,bollente
664,warm::A,varm,caldo
665,kalt::A,kald,freddo
666,kühl::A,kjølig,fresco
667,frisch::A,fersk,fresco
668,feucht::A,fuktig,ùmido
669,nass::A,våt,bagnato
670,trocken::A,tørr,secco
671,voll::A,full,pieno
672,leer::A,tom,vuoto
673,offen::A,åpen,aperto
674,geschlossen::A,lukket,chiuso
675,sauber::A,ren,netto
676,sauber::A,ren,pulito
677,schmutzig::A,skitten,sporco
678,schmutzig::A,skitten,sùdicio
679,roh::A,rå,crudo
680,reif::A,moden,maturo
681,lecker::A,lekker,ghiotto
682,lecker::A,lekker,squisito
683,süß::A,søt,dolce
684,bitter::A,besk,amaro
685,bitter::A,bitter,amaro
686,sauer::A,sur,aspro
687,sauer::A,sur,acerbo
688,hell::A,lys,chiaro
689,dunkel::A,mørk,buio
690,dunkel::A,mørk,oscuro
691,schwarz::A,svart,nero
692,weiß::A,hvit,bianco
693,rot::A,rød,rosso
694,gelb::A,gul,giallo
695,blau::A,blå,blu
696,blau::A,blå,azzurro
697,grün::A,grønn,verde
698,grau::A,grå,grigio
699,bunt::A,broket,variopinto
700,billig::A,billig,a buon prezzo
701,billig::A,billig,a buon mercato
702,teuer::A,dyr,caro
703,wertvoll::A,verdifull,prezioso
704,blind::A,blind,cieco
705,taub::A,døv,sordo
706,kräftig::A,kraftig,forte
707,kräftig::A,kraftig,robusto
708,stark::A,sterk,forte
709,stark::A,sterk,vigoroso
710,schwach::A,svak,dèbole
711,fett::A,fet,grasso
712,schlank::A,slank,snello
713,schlank::A,slank,slanciato
714,hübsch::A,pen,bello
715,hübsch::A,pen,carino
716,böse::A,slem,cattivo
717,dumm::A,dum,stùpido
718,faul::A,lat,pigro
719,faul::A,doven,pigro
720,fleißig::A,flittig,diligente
721,geizig::A,gjerrig,avaro
722,klug::A,klok,intelligente
723,geschickt::A,hendig,àbile
724,geschickt::A,skikket,àbile
725,lieb::A,kjær,caro
726,lieb::A,snill,caro
727,lustig::A,morsom,gaio
728,lustig::A,morsom,allegro
729,sanft::A,blid,dolce
730,hungrig::A,sulten,affamato
731,krank::A,syk,malato
732,krank::A,syk,infermo
733,nackt::A,naken,nudo
734,traurig::A,sørgmodig,triste
735,lebendig::A,levende,vivo
736,gut::A,god,buono
737,schlecht::A,dårlig,cattivo
738,richtig::A,riktig,giusto
739,schlimm::A,slem,grave
740,wahr::A,sann,vero
741,alt::A,gammel,vecchio
742,neu::A,ny,nuovo
743,ehemalig::A,forhenværende,vecchio
744,ehemalig::A,forhenværende,d'una_volta
745,alt[Lebewesen]::A,gammel,anziano
746,jung::A,ung,giovane
747,arm::A,fattig,pòvero
748,reich::A,rik,ricco
749,bekannt::A,kjent,noto
750,bekannt::A,kjent,conosciuto
751,berühmt::A,berømt,famoso
752,berühmt::A,berømt,cèlebre
753,fremd::A,fremmed,estràneo
754,fremd::A,fremmed,straniero
755,verschieden::A,forskjellig,diverso
756,verschieden::A,forskjellig,differente
757,nah::A,nær,vicino
758,nah::A,nær,propinquo
759,fern::A,fjern,lontano
760,linker::A,venstre,sinistro
761,rechter::A,høyre,destro
762,anderer::A,annen,altro
763,erster::A,første,primo
764,zweiter::A,annen,secondo
765,dritter::A,tredje,terzo
766,letzter::A,sist,ùltimo
767,allein::ADV,alene,solo
768,allein::ADV,alene,da solo
769,auf einmal::ADV,med ett,insieme
770,zusammen::ADV,sammen,insieme
771,lange::ADV,lenge,a lungo
772,plötzlich::ADV,plutselig,all'improvviso
773,sofort::ADV,straks,sùbito
774,sofort::ADV,straks,all'istante
775,später::ADV,senere,più tardi
776,jetzt::ADV,nå,ora
777,jetzt::ADV,nå,adesso
778,heute::ADV,i dag,oggi
779,morgen::ADV,i morgen,domani
780,bald::ADV,snart,presto
781,bald::ADV,snart,tra poco
782,dann::ADV,så,allora
783,gestern::ADV,i går,ieri
784,einst::ADV,engang,prima
785,einst::ADV,engang,un tempo
786,damals::ADV,den gang,allora
787,danach::ADV,deretter,poi
788,danach::ADV,deretter,dopo
789,vorher::ADV,før,prima
790,vorher::ADV,i forveien,prima
791,zuerst::ADV,først,prima
792,zuerst::ADV,først,dapprima
793,einmal::ADV,en gang,una volta
794,manchmal::ADV,somme tider,talvolta
795,manchmal::ADV,somme tider,qualche volta
796,oft::ADV,ofte,spesso
797,immer::ADV,alltid,sempre
798,niemals::ADV,aldri,non mai
799,hier::ADV,her,qua
800,hierhin::ADV,hit,qua
801,von hier::ADV,herfra,ne
802,von hier::ADV,herfra,da qui
803,dort::ADV,der,lì
804,dorthin::ADV,dit,là
805,geradeaus::ADV,rett fram,diritto
806,vorwärts::ADV,fram,avanti
807,vorwärts::ADV,framover,avanti
808,rückwärts::ADV,baklengs,all'indietro
809,zurück::ADV,tilbake,di indietro
810,unten::ADV,nede,giù
811,unten::ADV,nede,sotto
812,hinab::ADV,ned,giù
813,hinab::ADV,ned,in giù
814,hinab::ADV,nedover,giù
815,hinab::ADV,nedover,in giù
816,oben::ADV,oppe,su
817,oben::ADV,oppe,sopra
818,oben::ADV,ovenpå,su
819,oben::ADV,ovenpå,sopra
820,hinauf::ADV,opp,in sù
821,hinauf::ADV,opp,in alto
822,hinauf::ADV,oppover,in sù
823,hinauf::ADV,oppover,in alto
824,überall::ADV,overalt,dappertutto
825,nicht::ADV,ikke,non
826,ein wenig::ADV,litt,un po'
827,ein wenig::ADV,litt,un poco
828,kaum::ADV,neppe,a appena
829,sehr::ADV,svært,molto
830,so::ADV,så,così
831,so::ADV,så,tanto
832,noch::ADV,enda,ancora
833,nur::ADV,bare,solo
834,nur::ADV,bare,soltanto
835,schon::ADV,alt,già
836,schon::ADV,allerede,già
837,wieder::ADV,igjen,di nuovo
838,vergebens::ADV,forgjeves,invano
839,vor::PRP,foran,davanti a
840,vor::PRP,utenfor,davanti a
841,hinter::PRP,bak,dietro
842,hinter::PRP,bakom,dietro
843,unter::PRP,under,sotto
844,durch::PRP,gjennom,per
845,durch::PRP,gjennom,attraverso
846,durch::PRP,igjennom,per
847,durch::PRP,igjennom,attraverso
848,neben::PRP,ved siden av,a accanto a
849,zwischen::PRP,mellom,fra
850,wegen::PRP,på grunn av,a causa di
